"","Table 8#19# Dividends Paid and Received by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"19","12","Persons \3\","B1447C",5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,76.1,83.5,90.8,97.5,106.1,112.1,129.4,154.8,165.4,178.3,185.3,203,234.7,254,297.4,334.9,348.3,328,375.7,409.2
"20","13","  Publicly administered government employee retirement plans","B1452C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.3,0.3,0.5,0.8,0.8,0.8,1.3,1.7,1.9,1.8,2.2,2.8,3.2,3.7,4.3,5,5.7,7.1,8.8,10.4,11.5,12.9,14,14.7,15.4,18.3,21.4,22.4,23.5,22.9,22.8
"21","14","  Other","B1453C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,24.1,24.1,24.7,26.5,29.4,32.4,32.1,38.1,43.5,49.1,55.5,62.2,71.5,73.3,80.3,87.1,93.2,101.2,106.4,122.3,146,155,166.7,172.5,188.9,220,238.5,279.1,313.5,325.9,304.6,352.8,386.4
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Net corporate dividend payments (16+17)","B056RC",5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,76.2,83.6,91,97.7,106.3,112.2,129.6,155,165.6,178.4,185.5,203.1,234.9,254.2,297.7,335.2,348.7,328.4,376.1,409.6
"24","16","    Domestic corporate business (2-7)","A2223C",5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,59.8,71.2,78.4,85.6,88.3,95.7,98.2,126.5,144.2,156.4,161.5,182.3,197,221.6,257.3,283.9,309.2,299.6,349.5,383.1
"25","17","    Rest of the world (5-10)","A2224C",0.4,0.7,0.8,0.8,1,1.2,1.1,1.1,1.4,1.6,1.8,1.9,1.7,1.9,2,2.4,2.7,2.7,3.2,3.3,2.8,3.2,3.4,3.8,3.9,4.7,4.9,6.8,9.8,6.6,9,11.1,11.2,16,16.7,15.4,16.4,12.4,12.6,12,18,16.6,31.4,28.5,21.4,22,24,20.8,37.9,32.6,40.4,51.4,39.5,28.8,26.6,26.5
"26","18","  Personal dividend income (15-11)","B703RC",5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,76.1,83.5,90.8,97.5,106.1,112.1,129.4,154.8,165.4,178.3,185.3,203,234.7,254,297.4,334.9,348.3,328,375.7,409.2
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28"," 1. Remitted earnings to foreign residents from their unincorporated  U.S. affiliates are treated as dividends paid by domestic ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","corporate business (line 2) and as dividends received by the rest of the world (line 10).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30"," 2. Earnings of U.S. residents remitted by their unincorporated foreign affiliates are treated as dividends paid by the rest of ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","the world (line 5) and as dividends received by domestic corporate business (line 7).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32"," 3. Dividends received by insured private pension plans are included in dividends received by financial corporate business (line ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","8), and in imputed interest received by persons, table 8.20 (line 53).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
