"","Table 8#9B# Real Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"37","30","      Domestic","AB71RX",5.3,-1.3,2.3,-4.4,-1.4,0.6,0.9,2.4,3.3,-3.9,-0.3,1.5,0,0.7,-7.6,6
"38","31","      Foreign","AB72RX",2.6,-0.3,-0.7,0.5,0.1,-0.6,0.1,-1.5,-0.7,-1.6,0.2,1,1.2,0.5,0.7,1.2
"39","32","    Used","B147RX",1,1.9,1.3,-0.2,0.7,-0.5,1,0.6,1,2.1,1.3,0.8,0.2,0.9,0.6,0.5
"40","33","  New trucks","B709RX",2.4,0.5,1.7,-1.6,-2.2,0.8,-0.5,3.4,3,-0.7,3.5,-2.2,7.3,3.3,-8.8,4.4
"41","34","    Domestic","AB73RX",2.5,0.6,1.8,-1.1,-1.8,0.8,0.1,3.1,3.3,-0.8,2.8,-2.1,6.8,2.6,-8.3,3.2
"42","35","    Foreign","AB74RX",-0.3,-0.1,-0.1,-0.6,-0.4,0,-0.6,0.3,-0.3,0.1,0.6,-0.1,0.5,0.8,-0.5,1.4
"43","36","Residual","A974RX",0.2,0,-0.2,-0.1,-0.1,-0.1,-0.3,0.1,0,0.1,0.2,-0.7,0.5,-1,-3.9,0.7
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","  Final sales of motor vehicles to domestic purchasers","AB75RX",284.8,299.5,292.4,282.9,249.1,268.6,290.9,320.8,321.1,333.2,349.3,384.9,425.5,431.1,432.5,445
"46","38","  Private fixed investment in new autos and new light trucks","AB76RX",72,79.5,73.3,76.7,80.1,83.2,91.7,110.8,113.2,128,138.8,145.4,157.5,155.2,143.8,140.5
"47","39","  Domestic output of new autos \2\","B148RX",114.9,116.8,115.5,105.5,97.3,104.4,109.7,125.8,119.9,116.7,116.3,114.5,117.4,118.1,108.4,115.3
"48","40","  Sales of imported new autos \3\","B149RX",64.9,69.1,63,63.1,54.1,56.2,58.5,58.9,56.8,55.3,59.9,68.3,79.9,85.4,84.6,87.1
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50"," 1. Except for exports and imports, consists of new trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51"," 2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52"," 3. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","value of the corresponding series, divided by 100.  Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","the sum of the most detailed lines, excluding the lines in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","  Chain-type quantity indexes for the series in this table are shown in table 7.18B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
