"","Table 2#4# Personal Consumption Expenditures by Type of Expendit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","12","  Shoes (n.d.)","BSHURC",1.7,1.4,1.2,1,0.9,1.1,1,1.1,1.3,1.3,1.2,1.3,1.4,1.8,1.9,2,2.3,2.8,3,3.1,3.1,3.3,3.3,3.3,3.3,3.3,3.6,3.8,3.8,4.1,4.4,4.5,4.6,4.8,4.8,5.2,5.4,6,6.4,7.1,7.8,7.8,8.1,8.9,9.8,9.9,10.3,11.1,12.2,14.1,16,17.4,19.3,19.2,20.4,21.6,22.9,24.5,26,27.6,30.4,31.5,31.3,32.9,34,35.8,37.1,38.8,40.1,42.4,44.7,46.3,47
"20","13","  Clothing and accessories except shoes \2\","A497RC",7.7,6.7,5.7,4,3.7,4.6,5,5.4,5.5,5.5,5.9,6.2,7.1,8.5,10.5,11.6,13.1,15.1,15.6,16.8,16,16,17.5,18.5,18.7,18.9,19.6,20.5,20.6,20.7,22,22.4,23,24.2,24.9,27.1,28.6,31.2,32.6,35.9,38.5,39.8,43.4,47.4,52.6,56,60.4,65.5,71.8,80.1,85,89.8,97.7,101.1,110.3,120.8,129.1,138.5,148.2,157.7,168.4,172.4,177.2,188.7,196.8,204.6,210.4,219.5,231.3,242,256.1,267.1,267.9
"21","14","    Women's and children's (n.d.)","AWCLRC",4.7,4.1,3.5,2.4,2.3,2.8,3.1,3.2,3.3,3.3,3.6,3.8,4.3,5.3,6.9,7.8,8.8,9.7,9.9,10.9,10.2,10,10.9,11.6,12,12,12.5,13.1,13.3,13.5,14.3,14.6,15,15.8,16.4,17.8,18.6,20.2,20.9,23,24.6,25.6,28.1,30.4,33.7,36,38.8,42.1,45.9,51.7,55,58,63.2,65.7,72.1,79.4,85.3,92.1,98.4,104.2,110.7,113,115.6,123.4,128.4,132.3,135.5,140.8,148,154.6,164.1,171.9,172.6
"22","15","    Men's and boys' (n.d.)","AMCLRC",3,2.6,2.2,1.6,1.5,1.8,1.9,2.2,2.3,2.2,2.3,2.4,2.8,3.2,3.5,3.8,4.3,5.4,5.6,5.9,5.8,6,6.6,6.8,6.8,6.8,7.1,7.4,7.4,7.2,7.7,7.8,8,8.3,8.5,9.3,9.9,11,11.8,12.9,13.9,14.3,15.3,17,18.9,20,21.6,23.3,25.8,28.4,30.1,31.8,34.5,35.5,38.2,41.4,43.8,46.4,49.8,53.5,57.6,59.4,61.5,65.3,68.3,72.3,74.9,78.6,83.3,87.4,92,95.2,95.3
"23","16","  Standard clothing issued to military personnel (n.d)","BMICRC",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,1,1,1.1,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"24","17","  Cleaning, storage, and repair of clothing and shoes (s.)","A478RC",1.1,1,0.9,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.5,1.6,1.7,2.2,2.4,2.5,2.5,2.5,2.7,2.8,2.9,2.9,3,3.1,3.2,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.8,4,4.1,4.3,4.5,4.5,4.3,4.5,4.4,4.4,4.5,4.7,4.9,5.3,5.5,5.7,5.9,5.8,6.3,6.9,7.3,7.7,8.4,9.6,10.7,11.5,11.2,11.4,11.4,11.6,12.2,12.7,13.2,13.8,14.6,15.5,15.6
"25","18","  Jewelry and watches (d.)","BJRYRC",0.6,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.9,1,1.2,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2,1.9,1.9,2,2.2,2.4,2.7,3.2,3.5,3.8,4,4.1,4.4,4.8,6,7,8.1,9.8,11,12.3,13,15,16,15.6,17.4,19.8,21.1,24.3,26.2,28.3,29.2,30.3,30.2,31.6,34.1,36.2,38.1,40.3,41.2,44.3,48.5,51.1,51
"26","19","  Other (s.) \3\","ACOTRC",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.2,1.3,1.3,1.5,1.8,1.9,2.2,2.5,2.7,3.2,3.7,4.2,4.8,5.1,6.5,6.7,7.8,9,9.9,12.3,13.8,15.8,13.7,16,17.4,18.6,19.2,21.7,22,24.4,27,29.5,30.8
"27","20","Personal care","A532RC",1.1,1,1,0.8,0.7,0.8,0.8,0.9,1,1,1,1,1.2,1.4,1.6,1.8,2,2.1,2.2,2.3,2.3,2.4,2.7,2.9,3.1,3.4,3.7,4.1,4.6,4.9,5.2,5.6,6.1,6.7,7,7.5,8.1,9,9.8,10.5,10.9,11.5,11.7,12.3,13.6,14.8,16.1,17.5,19.9,21.9,23.8,25.5,27.1,28,31.8,34.7,37.6,40.7,44.5,47.7,51,53.7,54.9,58,60.1,63.3,67.4,71.6,76.1,79.9,84,87.8,89.1
"28","21","  Toilet articles and preparations (n.d.)","BTLGRC",0.6,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.2,2.4,2.6,2.7,3,3.3,3.6,3.9,4.2,4.5,5,5.4,5.9,6.2,6.6,6.9,7.4,8.3,9.3,10.3,11.3,12.6,14,15.5,16.9,18.4,19.3,21.4,23.7,25.7,27.7,30,31.8,33.9,36,36.9,37.9,40,42.5,45,48,50.6,52.7,55.1,56.5,56.5
"29","22","  Barbershops, beauty parlors, and health clubs (s.)","BBBBRC",0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1,1,1.1,1.2,1.3,1.4,1.6,1.7,2,2.2,2.3,2.5,2.6,2.8,3.1,3.2,3.4,3.6,4,4.4,4.6,4.6,4.9,4.8,4.9,5.2,5.5,5.8,6.2,7.3,8,8.3,8.6,8.7,8.7,10.5,11,11.9,12.9,14.5,15.9,17.1,17.7,18,20.1,20.1,20.8,22.4,23.5,25.5,27.2,28.9,31.2,32.6
"30","23","Housing","A174RC",11.7,11.2,10.5,9.2,8.1,7.8,7.9,8.2,8.8,9.2,9.4,9.7,10.4,11.2,11.8,12.3,12.8,14.2,16,17.9,19.6,21.7,24.3,27,29.9,32.3,34.4,36.7,39.3,42,45,48.2,51.2,54.7,58,61.4,65.4,69.5,74.1,79.7,86.8,94,102.7,112.1,122.7,134.1,147,161.5,179.5,201.7,226.5,255.1,287.7,313,338.7,370.3,406.8,442,476.4,511.9,546.4,585.6,616,641.3,666.5,704.7,740.8,772.5,810.5,859.7,912.6,960,1014.5
"31","24","  Owner-occupied nonfarm dwellings--space rent (s.) \4\","AOWNRC",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,200.9,217.9,235.6,257.2,279.3,303.1,328.2,356.1,383.1,410.7,434.1,452.3,475.2,502.6,529.3,555.4,585.5,625,666.4,704.9,751
"32","25","  Tenant-occupied nonfarm dwellings--rent (s.) \5\","ATENRC",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.4,107.8,118.9,126.5,132.4,138.5,148.7,154.5,159.3,160.3,169.3,177,180.6,186.1,194,202.8,207.8,217.1
"33","26","  Rental value of farm dwellings (s.)","BFARRC",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,3.9,4,4.1,4.3,4.6,4.9,5.1,5.2,5,5.1,5.1,5,4.9,4.9,4.8,5,5.1,5.2,5.3,5.6,5.9,6,6.2,6.4,6.7,7.2,7.6,8
"34","27","  Other (s.) \6\","AOHORC",0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.4,1.4,1.4,1.5,1.5,1.6,1.8,1.9,2.1,2.3,2.6,2.8,3.1,3.4,3.5,3.9,4.3,4.7,5.3,6.2,6.8,7.8,9.1,9.8,10.6,11.4,12.5,13.6,14.6,15.2,16.8,18.5,19.8,21,22.1,24.3,25.5,27,28.5,30.2,32.5,34,36.1,39.6,38.5
"35","28","Household operation","A534RC",10.7,9.5,8.4,6.8,6.4,7.2,7.7,8.8,9.4,8.8,9.6,10.4,11.8,12.7,13.1,14,15.5,19.9,23.7,26.1,25.6,29.1,31.1,31.5,33,33.7,37.3,39.8,41.2,42.3,45,46.7,48.2,51,54,58.4,62.1,67.3,71,76.4,81.3,85,90.3,99.7,111.7,123.8,136,152.6,171.4,190.5,212.7,233.8,255,272.4,297.3,323.2,344,360.8,377.8,399.8,423.4,433.6,444.3,463.6,497.2,528.2,555,589.2,617.8,642.9,677.7,723.9,747.3
"36","29","  Furniture, including mattresses and bedsprings (d.)","BFNRRC",1.2,0.9,0.8,0.5,0.5,0.5,0.7,0.8,0.9,0.8,0.9,1.1,1.3,1.3,1.2,1.3,1.5,2.2,2.5,2.8,2.7,3.1,3.2,3.5,3.7,3.8,4.4,4.6,4.5,4.5,4.8,4.7,4.8,5.1,5.5,6.1,6.5,7,7.3,7.9,8.4,8.6,9.2,10.4,11.8,12.5,12.8,14.1,16.3,18,20.3,20.7,21.7,21,23.8,27.2,29.3,32.5,34.5,35.9,39.5,38.4,37.7,39,41.8,45.1,47.5,50.9,53.8,56.7,60.3,64.4,64
"37","30","  Kitchen and other household appliances (d.) \7\","BAPPRC",0.7,0.6,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.6,0.7,0.8,1.1,0.7,0.3,0.2,0.3,1.6,2.9,3.1,2.8,3.6,3.5,3.5,3.6,3.7,4.1,4.3,4.3,4.1,4.4,4.3,4.3,4.3,4.5,4.9,4.9,5.3,5.5,6.2,6.8,7.3,7.9,9,9.9,10.3,10.6,11.5,12.7,13.6,14.8,15.1,15.5,15.2,16.8,18.4,19.8,21.2,21.8,22.7,23.9,23.7,23.3,24.3,25.9,27.5,29.1,30,30.8,32.1,34.1,35.7,36.1
"38","31","  China, glassware, Tableware, and utensils (d.)","BCHNRC",0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.8,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.9,1.9,2.1,2.4,2.7,2.9,3.3,3.4,3.5,3.6,4,4.6,5.1,5.6,6.3,7.1,8.3,9.3,10.3,11.5,12.5,13,13.7,14,14.8,14.7,15.9,17.1,17.9,18.1,19.6,20.8,22.5,23.8,25.4,27.2,29.1,31.4,33.3,34.1
"39","32","  Other durable house furnishings (d.) \8\","AODHRC",1.1,0.9,0.8,0.6,0.5,0.6,0.6,0.8,0.9,0.8,0.9,1,1.2,1.3,1.4,1.4,1.5,2.2,2.4,2.7,2.7,3.1,3.5,3.2,3.1,2.9,3.3,3.6,3.8,3.8,4.1,4.2,4.3,4.6,5.1,5.8,6.3,6.9,7.2,7.9,8,7.9,8.1,9,10.3,11.5,12,13.5,15.2,17,18.9,20,21.2,21.7,24.5,27.7,29.4,32.7,36.3,38.3,38.6,38.6,37.3,38.8,41.3,45.1,47.7,50.5,53.5,57.1,61.6,65.1,66.4
"40","33","  Semidurable house furnishings (n.d.) \9\","BSDHRC",0.7,0.6,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.9,1.1,1.3,1.5,1.5,2,2.1,2.4,2.3,2.6,2.8,2.6,2.6,2.4,2.6,2.7,2.7,2.6,2.7,2.8,2.9,3.2,3.3,3.7,3.9,4.3,4.6,4.9,4.9,4.9,5,5.3,5.9,6.3,6.6,7.2,7.9,8.7,9.7,10.6,11.8,12.4,13.7,15.4,16.4,18.3,19.3,20.8,21.7,22.5,23.3,25.6,26.8,28.5,29.7,31,33.1,34.5,36.8,38.3,38.7
"41","34","  Cleaning and polishing preparations, and miscellaneous household supplies and paper products (n.d)","ACLPRC",0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.9,1.5,1.6,1.6,1.8,2,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.5,3.7,4.2,4.6,4.9,5.3,5.7,6.3,6.7,7.1,7.6,8.2,8.4,8.9,10,11.4,12.5,13.5,14.6,16.8,19.4,21.9,24,25.7,27.1,29.2,30.6,32,33.1,35.1,37.1,38.9,39.7,41.1,43.1,45.4,47.3,49.8,51.4,53.5,56.9,59.3,61.7
"42","35","  Stationery and writing supplies (n.d.)","BSTYRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.3,2.2,2.4,2.7,2.9,3.1,3.3,3.7,4.5,5,5.5,6.2,6.6,7.1,8,8.5,9,10,11.1,12.4,13.2,13.9,14.9,15.7,16.7,17.7,18.8,20,21.3,22.6,23.4,23.5
"43","36","  Household utilities","A535RC",3.1,3.1,2.9,2.6,2.6,2.7,2.8,3,3,3,3.1,3.4,3.6,3.9,4.1,4.2,4.5,5,5.8,6.6,6.5,7.3,7.9,8.3,8.7,9.4,10.2,11,11.6,12.3,12.9,13.5,14.1,14.8,15.7,16.5,17.4,18.3,19.3,20.1,21.4,22.9,25,27.8,31.1,36.8,43.1,49.3,56.2,62.1,70.5,82.4,91.1,100.3,109.1,115.3,121.3,119.6,123.2,130.8,138.2,141.1,148.6,151.4,164.7,169.5,175,185,188.1,186.2,190.1,209.2,221.7
"44","37","    Electricity (s.)","BELCRC",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6,6.3,6.6,7,7.5,8.1,8.9,9.8,10.9,12.2,13.7,16.6,20,22.4,26,29,31.8,38.4,43.9,48.6,53.3,57.2,61.2,62.6,65.4,69.1,72,74.2,79.2,79.3,85.9,87.2,91,93.3,93.8,96.3,96.7,101.5,105.3
"45","38","    Gas (s.)","BNGSRC",0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.6,1.8,2,2.3,2.4,2.7,2.9,3.3,3.5,3.8,3.9,4.1,4.3,4.5,4.7,4.9,5.2,5.6,6,6.6,6.7,7.4,9.1,10.8,12.4,14,16,19.1,20.9,25.6,29.1,29.3,29.5,26.6,25.5,27.2,29,26.8,28.2,29.5,32.7,32.6,31.5,35.5,36.6,32.5,33.3,40.8,49.1
