"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","        State and local employee retirement plan transactions \1\","L319031",1.9,2.1,2.3,2.6,2.8,3.1,3.4,3.7,4.3,4.9,5.7,6.5,7.5,8.5,10.1,10.9,12.4,14.5,14.4,19,21.9,25.4,30.4,34.1,42.5,46.2,53.2,69.4,79.5,77.8,81.2,94.3,87.2,105.9,104,110.5,123.6,157.8,199.3,236.8,238.3,273.9,100.2,-29.3,NA
"12","4","          Contributions \2\","L319041",1.4,1.5,1.6,1.7,1.9,2,2.2,2.4,2.7,3.1,3.5,4,4.5,5,6,6.4,7.1,8.2,8.3,10.9,11.4,12.2,14,15,16.5,17.1,18.7,20.4,21.8,22.7,24.3,26.3,28.2,28.4,29.2,31.3,34.4,35.9,38.1,39.2,40.4,42,42.3,43.2,NA
"13","5","          Interest received \3\","L319051",0.5,0.6,0.7,0.8,1,1.1,1.2,1.4,1.6,1.7,2,2.3,2.7,3.2,3.7,3.9,4.4,5.5,5.2,6.6,8.8,11.3,14.5,16.6,23,25.6,27.4,31.7,35.7,39,40,48,40.7,46.7,38.6,44.1,52.7,52.7,53.6,69.3,63.8,73.6,53.6,48.5,NA
"14","6","          Dividends received \3\","L319061",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.3,0.3,0.4,0.6,0.9,0.8,1,1.5,1.8,1.9,1.8,2.5,3,3.4,4,4.6,5.3,6.3,8,9.6,11,12.2,13.2,13.5,14.3,14.3,20,20.8,22.2,22.3,20.7,18.3,NA
"15","7","          Capital gains net of losses \4\","L319071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,12.6,16.6,9.8,8.8,10.3,7.4,18.6,22.9,21.6,22.2,54.9,87.6,107.6,111.9,136,-16.3,-139.4,NA
"16","8","        Unemployment insurance fund contributions and earnings \5\","L319081",1.8,2.3,2.5,2.8,3.2,3.3,3.2,3.3,3.3,3,3,3.1,3.1,3.6,5,5.7,8.2,15.2,15.3,13.2,12.9,13.5,18.6,16.9,21.6,16.8,17.6,18.3,18.9,17.3,19.7,18.4,18,27,34.6,29.9,37.2,33.9,34.8,23.2,22.2,23.4,23.3,27.1,NA
"17","9","        Certain grant programs","L319091",0,0,0.1,0.1,0.2,0,-0.1,0.2,0.3,-0.6,-0.4,-1.2,-1.2,-2.1,-2.2,-1,-2.8,-3.8,-3.4,-6.5,-6.2,-6.2,-5.8,-2.9,-1.9,0.1,2.4,0.8,2.4,4,3.2,2.8,2.9,5.7,8.8,7.6,5.8,4.8,8.9,9.3,7.1,6.2,11.2,15.7,NA
"18","10","        Capital transfers received \6\","L319101",2.9,3.3,3.1,3.3,3.6,4.3,4.8,4.9,4.9,5.9,7,6.6,6.5,6.9,7.6,8.3,9.5,11.2,12.5,13.2,14.5,17.4,18.7,17,17.5,18.7,20.8,23.2,22.7,22.5,23.4,24.1,25.7,26,27.1,29.6,31.9,32.9,34.4,35,37.8,42.4,46.1,51,NA
"19","11","        Financial transactions \4\","L319111",0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.5,1.2,0.4,0.6,0.8,0.9,1.2,1.5,1.3,1.5,1.8,2.1,2.3,1.5,1.7,1.9,2,2.1,2,1.8,2,2.3,2.3,2.3,2,3.3,3.1,3.9,NA
"20","12","        Sale of land","L319121",0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.3,1.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.8,0.6,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.9,0.7,0.6,0.6,0.6,0.7,0.7,1,1.4,1.4,1.3,1.7,1.8,NA
"21","13","        Certain dividends","W720RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.1,-0.2,-0.3,-0.5,-0.5,-0.8,-1,-1.3,-1.3,-1.3,-1.4,-1.4,NA
"22","14","        Current surplus of Indian tribal government enterprises","W721RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-0.1,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6,-0.7,-0.8,NA
"23","15","        Imputed interest received and net insurance settlements","W722RC1",-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.9,-1.1,-1.2,-1.1,-1.1,-1.7,-1.7,-1.5,-1.5,-1.2,-1,-0.7,-1,-2.4,-2.7,-3.4,-3.7,-3.5,-3,-2.8,-2.9,-3.3,-3.8,-3.9,-3.3,-3.5,-3.6,-4.1,-4.3,-4.7,-4.9,-5.1,-4.9,NA
"24","16","Less: Netting and grossing differences","L319141",8.2,8.9,9.5,10.3,11.3,12.2,13.3,14.6,16.1,17.9,19.9,22.3,25.3,28.1,31,35.1,39.5,45,51,57.1,65.3,75,86.5,98.6,106.8,116.1,124.7,134.2,143.7,154.2,167.2,180.8,193.5,208.8,223.5,238.3,252.6,265.9,275.5,288.2,300.2,320.5,342.3,366.7,NA
"25","17","        Current expenditures of government enterprises \7\","W723RC1",4.9,5.3,5.7,6,6.4,6.9,7.4,8,8.6,9.4,10.3,11.5,12.8,14.3,16,18.5,21.6,24.8,28.1,31.8,36.5,42.5,49.4,56,61.1,65.8,70.9,76.1,81.2,86.4,92.2,98.1,103.8,109.3,115.4,123,129.6,134.5,139.3,145,151.5,159.2,168.7,178,NA
"26","18","        Government sales included in Census total revenue \8\","L319161",3,3.3,3.6,4,4.5,4.9,5.5,6.3,7.2,8.1,9.2,10.4,12,13.5,14.6,16.2,17.5,19.9,22.7,25,28.5,32.2,36.6,42.1,45.1,49.5,52.8,57,61.5,66.7,74,81.8,89.1,99.1,107.8,115.2,122.9,131,135.8,142.8,148.2,160.7,172.6,187.9,NA
"27","19","        Insurance claims included in Census total revenue","W724RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.6,0.6,0.7,0.8,1,1.2,1.3,1.4,1.3,1.3,1.3,1.1,1.1,1.1,1,1.1,1.2,1.1,1.2,1.3,1.3,1.7,1.5,NA
"28","20","        Employer contributions to own social insurance funds","L319181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.4,-0.6,-0.7,-0.9,-1,-0.7,-0.8,-0.8,-0.8,-0.8,-0.7,-0.8,NA
"29","21","Plus: Timing and other differences \9\","L319191",-0.2,-1.1,-1,-0.5,-0.5,0,-0.1,0.1,-0.3,2.1,1.2,1.2,-0.1,0.2,0,0.6,0,-0.3,-3.4,0.1,-0.3,-1.4,-1.3,-2.2,-1.8,4.1,-6.5,3,3.2,5.1,2.5,-1.2,4.2,0.8,-7.6,-1.5,4,-4,3.6,-0.6,5,7.1,-11.7,6,NA
"30","22","        Corporate profits taxes timing differences \9\","L319201",0.1,0,-0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.2,-0.3,0.3,0.1,0.1,0,-0.2,1.4,0.9,0.6,0.5,0.3,0.3,-1.7,-0.2,1.7,0.1,1.5,0.5,1.2,0.6,-1.2,0.8,0.7,-1.7,-0.3,0,0.7,-0.6,0.6,1.1,0.9,-2.4,0.9,NA
"31","23","        Other timing differences and other \9\","L319211",-0.3,-1.1,-0.9,-0.6,-0.5,-0.1,-0.1,0,-0.5,2,1,1.5,-0.4,0,-0.1,0.6,0.2,-1.7,-4.3,-0.5,-0.8,-1.7,-1.6,-0.6,-1.6,2.5,-6.6,1.5,2.8,3.9,2,0,3.4,0,-5.9,-1.2,4,-4.7,4.3,-1.2,3.8,6.2,-9.3,5.1,NA
"32","24","Equals: State and local government current receipts, national income and product accounts","L319221",39.1,42.7,46.1,50,53.8,58.7,63.4,71.1,77.6,88.9,98.3,113.7,125.8,146.8,167,180.2,198.3,221.1,245.4,276.3,296,324.2,355.8,380.7,405.3,458.7,495.8,541.4,580.9,614.1,661.8,710.7,758.5,818.8,863.6,915.6,972.3,1016.1,1067.9,1130.1,1196.6,1285.3,1358.5,1383.7,NA
"33",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","Census total expenditures","L319231",58.6,61,67,70.5,75.8,80.6,87,94.9,106,116.2,131.6,148.1,170.8,190.5,205.2,226,269.2,304.2,324.6,346.8,381.9,434.1,487,524.8,566.9,600.2,657.9,717.5,777,826.8,890.9,975.9,1063.3,1156.8,1210.8,1264.3,1351.4,1397.6,1460.7,1529.3,1625.9,1746.7,1899.2,2047.7,NA
"35","26","Less: Coverage differences","L319241",14.2,12.7,14.6,14.6,14.9,16,17,17.6,18.8,19.7,21.4,22.1,26.2,26.6,26.2,27.6,37.6,43.7,38.2,32.8,38.2,47.7,54.7,50.9,54.3,47,55.9,65,72.3,76.2,84.2,97.5,111,128.5,129.9,126.3,144.6,150.1,159.7,166.4,185.7,208.2,232.5,276.2,NA
"36","27","        State and local employee retirement plan transactions \10\","L319251",0.2,0.1,0,0.2,0.1,0.2,0.5,0.3,0.4,0.2,0.5,0.5,0.5,0.9,1.3,1.3,1.3,1.4,1.6,1.7,2.5,2.5,2.9,3.6,4.6,5.9,6.9,8.5,10.4,13.4,16.4,18.5,22.2,27.7,30.6,35.7,38.4,45.9,48.5,59.3,65.2,77.2,89.4,98.8,NA
"37","28","          Employer contributions to own retirement plans","L319261",-0.9,-1.2,-1.4,-1.4,-1.6,-1.7,-1.8,-2,-2.3,-2.7,-2.9,-3.3,-3.8,-4.1,-4.7,-5.5,-6.4,-7.2,-8.2,-9.3,-10,-11.7,-13.1,-14.6,-15.1,-16.8,-18.1,-18.8,-20,-19.7,-19.6,-21.2,-21.4,-20.4,-22,-22.8,-25.3,-25.1,-27.8,-24.7,-24.9,-23.3,-22.9,-23.1,NA
"38","29","          Benefits paid","L319271",1.1,1.3,1.4,1.6,1.7,1.8,2.3,2.2,2.6,2.8,3.2,3.6,4.2,4.8,5.8,6.6,7.4,8.4,9.6,10.8,12.3,14,15.7,17.8,19.3,22.3,24.4,26.5,29.6,32.1,34.9,38.4,42.1,46.4,50.8,56.4,61.4,68.1,72.9,80.3,85.6,95.7,105.1,114.2,NA
"39","30","          Administrative expenses","L319281",0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.9,1,1.1,1.3,1.5,1.7,1.8,2.1,2.2,2.9,3.4,3.7,4.5,4.8,7.2,7.8,NA
"40","31","        Unemployment insurance fund benefits paid \5\","L319291",3.3,2.4,3.5,2.8,2.8,2.6,2.3,1.9,1.9,2.1,2,2.7,4.7,4.7,4.1,4.7,12.3,17.9,14.7,10.7,8.9,12.1,17.9,18.1,24.2,14.1,15,14.9,15.2,13.1,12.9,16.5,22.1,32.9,35.4,28.6,35.2,29.5,27.2,17.8,19.2,18.6,23,42.2,NA
"41","32","        Net investment \11\","L319301",10.2,9.8,10.5,10.7,11.2,12.1,13.1,14.2,15.5,16.2,17.8,18.3,20.1,20.4,20,20.7,23.4,24,21.5,19.8,25.9,31.7,31.7,27.1,26,27.8,35,42.3,46.8,48.5,53.7,60.4,64.9,67.4,64.2,62.2,71.8,75.1,86.8,92.9,104.7,115.9,123.6,138.4,NA
"42","33","        Services provided without payment by domestic securities brokers","L319311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.7,-0.8,-0.7,-0.7,-0.8,-0.8,-0.9,-1,-1.1,-0.9,-0.1,-0.7,-0.7,-0.8,-0.9,-1,-1.1,NA
"43","34","        Purchases of land","L319321",1,1,1.1,1.2,1.3,1.5,1.5,1.6,1.6,1.7,1.8,1.7,2,1.8,2,2,2.3,2.1,2,2,2.1,2.5,2.6,2.7,2.8,3.1,3.5,4.2,4.6,5.2,5.1,6.2,6.6,6.4,6.5,6.5,6.8,7.3,7,7.2,8.8,9.5,10.3,10.8,NA
"44","35","        Indian tribal government expenditures","W725RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-0.7,-1.2,-1.9,-2.5,-3.1,-4.1,-5.1,-5.9,-6.6,-7.2,-7.6,-8.1,NA
"45","36","        Imputed banking and insurance services","W726RC1",-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.9,-1.1,-1.2,-1.1,-1.1,-1.7,-1.7,-1.5,-1.5,-1.2,-1,-0.7,-1,-2.4,-2.7,-3.4,-3.7,-3.5,-3,-2.8,-2.9,-3.3,-3.8,-3.9,-3.3,-3.5,-3.6,-4.1,-4.3,-4.7,-4.9,-5.1,-4.9,NA
"46","37","        Other","L319331",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,-0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,-0.7,-0.8,-0.5,-0.5,-0.5,-0.4,-0.3,-0.2,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","38","Less: Netting and grossing differences","L319341",8.2,8.9,9.5,10.3,11.3,12.2,13.3,14.6,16.1,17.9,19.9,22.3,25.3,28.1,31,35.1,39.5,45,51,57.1,65.3,75,86.5,98.6,106.8,116.1,124.7,134.2,143.7,154.2,167.2,180.8,193.5,208.8,223.5,238.3,252.6,265.9,275.5,288.2,300.2,320.5,342.3,366.7,NA
"48","39","        Current expenditures of government enterprises \7\","W727RC1",4.9,5.3,5.7,6,6.4,6.9,7.4,8,8.6,9.4,10.3,11.5,12.8,14.3,16,18.5,21.6,24.8,28.1,31.8,36.5,42.5,49.4,56,61.1,65.8,70.9,76.1,81.2,86.4,92.2,98.1,103.8,109.3,115.4,123,129.6,134.5,139.3,145,151.5,159.2,168.7,178,NA
"49","40","        Government sales included in Census total revenue \8\","L319361",3,3.3,3.6,4,4.5,4.9,5.5,6.3,7.2,8.1,9.2,10.4,12,13.5,14.6,16.2,17.5,19.9,22.7,25,28.5,32.2,36.6,42.1,45.1,49.5,52.8,57,61.5,66.7,74,81.8,89.1,99.1,107.8,115.2,122.9,131,135.8,142.8,148.2,160.7,172.6,187.9,NA
"50","41","        Insurance claims included in Census total revenue","W728RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.6,0.6,0.7,0.8,1,1.2,1.3,1.4,1.3,1.3,1.3,1.1,1.1,1.1,1,1.1,1.2,1.1,1.2,1.3,1.3,1.7,1.5,NA
"51","42","        Employer contributions to own social insurance funds","L319381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.4,-0.6,-0.7,-0.9,-1,-0.7,-0.8,-0.8,-0.8,-0.8,-0.7,-0.8,NA
"52","43","Plus: Timing and other differences \9\","L319391",-0.5,-0.8,-1,-0.3,-1.3,0.3,0.5,0.6,0,2.2,1.1,1.2,1.9,-0.3,2.3,4,1.3,1.9,0.7,1,2.4,0.6,1.1,2.3,3.9,1.2,-1.2,1.9,-0.8,0.9,0.9,-1.4,3.2,1.3,8.9,9.5,5.4,14.1,10.1,8.8,4.8,10.6,-2.8,-3.8,NA
"53","44","Equals: State and local government current expenditures, national income and product accounts","L319401",35.6,38.5,41.9,45.4,48.3,52.6,57.2,63.3,71,80.8,91.4,104.8,121.2,135.5,150.3,167.4,193.5,217.4,236.1,257.9,280.8,311.9,347,377.7,409.6,438.3,476.1,520.2,560.2,597.4,640.3,696.4,762,820.8,866.3,909.2,959.6,995.7,1035.7,1083.5,1144.9,1228.7,1321.5,1401.1,NA
"54",NA,"      Net state and local government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","Census total revenue less Census total expenditures (1-25)","L319411",-4.6,-0.7,-2.5,-1.1,-0.4,0.9,1.2,2.7,0.6,1.3,0.6,2.1,-4.7,0.3,12.4,11.9,-5.2,-0.9,13.3,24.8,23.1,17.5,19.7,22.9,26.5,51.8,62.2,65.9,67.3,57.3,62.9,56.2,17.6,33.2,56.8,67.2,66.5,116,154,191.6,168.2,195.6,-8.3,-240.1,NA
"56","46","Plus: Net investment (32)","L319421",10.2,9.8,10.5,10.7,11.2,12.1,13.1,14.2,15.5,16.2,17.8,18.3,20.1,20.4,20,20.7,23.4,24,21.5,19.8,25.9,31.7,31.7,27.1,26,27.8,35,42.3,46.8,48.5,53.7,60.4,64.9,67.4,64.2,62.2,71.8,75.1,86.8,92.9,104.7,115.9,123.6,138.4,NA
"57","47","Less: Net capital transfers received (10)","L319431",2.9,3.3,3.1,3.3,3.6,4.3,4.8,4.9,4.9,5.9,7,6.6,6.5,6.9,7.6,8.3,9.5,11.2,12.5,13.2,14.5,17.4,18.7,17,17.5,18.7,20.8,23.2,22.7,22.5,23.4,24.1,25.7,26,27.1,29.6,31.9,32.9,34.4,35,37.8,42.4,46.1,51,NA
"58","48","      State and local employee retirement plans (3-27)","L319441",1.6,2,2.3,2.3,2.7,2.9,2.9,3.5,3.9,4.6,5.2,6,6.9,7.6,8.8,9.6,11.1,13.1,12.9,17.3,19.4,22.9,27.5,30.6,37.9,40.3,46.3,60.9,69.1,64.4,64.8,75.8,65,78.2,73.3,74.7,85.2,111.8,150.8,177.5,173.1,196.7,10.9,-128.1,NA
"59","49","      Other coverage differences (8+9+11+12+13+14+15-31-33-34-35-36-37)","L319451",-2.1,-0.7,-1.6,-0.9,-0.3,-0.6,-0.3,0.3,0.5,-1.1,-0.7,-1.2,-4.5,-4.7,-2.9,-1.5,-8.5,-7.1,-4,-5.1,-2.9,-5.5,-6,-5.1,-4.3,3.1,5,4.1,5.7,6.4,8.6,2.5,-3.7,-2.1,6.7,7.6,7,8,17,16.1,10.3,12.1,12.6,2.5,NA
"60","50","      Timing and other differences (43-21)","L319461",-0.3,0.2,0,0.2,-0.8,0.3,0.6,0.5,0.3,0.1,0,0.1,1.9,-0.4,2.2,3.4,1.3,2.2,4.1,0.9,2.8,2,2.4,4.6,5.7,-2.9,5.3,-1.1,-4,-4.2,-1.6,-0.2,-1,0.5,16.5,11,1.4,18.1,6.4,9.4,-0.1,3.5,8.8,-9.7,NA
"61","51","Equals: State and local government net saving, national income and product accounts (24-44)","L319471",3.5,4.2,4.2,4.7,5.5,6.1,6.2,7.8,6.5,8,6.9,8.8,4.6,11.3,16.7,12.8,4.8,3.7,9.3,18.4,15.2,12.3,8.8,3,-4.3,20.3,19.7,21.2,20.6,16.7,21.5,14.3,-3.4,-2,-2.7,6.4,12.7,20.3,32.2,46.6,51.8,56.6,37,-17.3,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Contributions received, interest received, and dividends received are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Capital gains net of losses are excluded from the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Consists of employer and employee contributions, except employer contributions to their own employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","3. Prior to 1968, dividends received is included in interest received (line 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4. Prior to 1985, capital gains (net of losses) of state and local employee retirement plans is included in line 11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","5. Unemployment insurance is recorded as a Federal program in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","6. Consists of estate and gift taxes and Federal investment grants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","7. Excludes current expenditures of Indian tribal government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","8. In the NIPAs, final expenditure components of GDP are recorded net of sales or receipts; all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","current-account sales by general government are therefore deducted in the calculation of NIPA current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
