"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"13","6","    Other motor vehicles (72)","BOAURA3",0.439,0.323,0.239,0.139,0.179,0.278,0.351,0.456,0.461,0.307,0.428,0.446,0.587,0,0,0,0,0.956,1.172,1.289,0.987,1.161,1.254,0.916,0.894,0.835,1.263,1.28,1.17,0.982,1.165,1.185,1.011,1.437,1.748,2.015,2.567,3.104,3.255,4.517,5.333,5.041,6.721,9.533,11.665,10.007,11.041,16.253,20.209,22.625,18.282,12.121,12.121,14.063,19.704,25.312,33.024,36.64,38.648,42.42,46.36,45.939,41.966,48.031,52.937,56.935,57.628,63.593,72.006,84.797,95.86,100,112.873,126.617,140.803
"14","7","    Tires, tubes, accessories, and other parts (73)","BTBARA3",3.259,2.827,2.738,2.156,1.884,2.262,2.386,2.594,2.655,2.489,3.067,3.547,4.439,1.744,2.047,2.346,3.402,7.091,6.814,6.343,5.88,7.27,6.276,6.813,6.184,5.699,6.823,7.385,8.335,8.934,10.098,10.87,11.567,12.692,13.315,14.301,14.684,15.699,16.284,18.11,20.547,22.093,24.981,27.834,31.766,31.792,31.543,32.546,34.54,36.951,38.147,37.665,39.142,39.881,44.735,48.52,50.676,51.599,52.431,56.787,57.118,59.666,58.296,59.984,65.554,72.397,75.775,80.91,84.595,89.302,96.219,100,97.703,99.212,103.126
"15","8","  Furniture and household equipment","B166RA3",2.735,2.456,2.244,1.819,1.668,1.819,2.064,2.572,2.687,2.421,2.736,3.027,3.551,2.929,2.211,1.9,2.099,3.889,4.521,4.717,4.637,5.558,5.275,5.365,5.634,5.753,6.477,6.774,6.581,6.48,6.974,6.89,7.015,7.458,8.025,9.04,9.898,11.165,11.689,12.438,12.764,12.905,13.419,14.86,16.483,16.658,16.276,17.357,18.851,19.958,21.083,20.714,20.737,20.297,23.064,25.82,28.085,31.606,33.858,36.171,38.08,38.306,38.698,40.83,45.089,50.1,55.389,61.798,69.117,78.19,89.717,100,106.038,115.286,125.771
"16","9","    Furniture, including mattresses and bedsprings (29)","BFNRRA3",11.446,9.203,8.873,6.974,6.13,6.27,8.285,10.198,10.147,9.316,10.881,11.982,13.509,11.164,9.075,7.993,8.416,12.115,13.203,13.583,13.586,15.307,14.412,15.547,16.631,17.074,19.672,20.393,19.368,19.288,20.565,20.393,20.207,21.523,23.078,25.774,27.161,28.64,28.536,29.559,29.904,29.164,30.348,33.833,36.999,36.185,34.281,36.316,40.582,42.622,44.881,42.372,41.699,38.716,42.829,47.958,50.369,54.488,56.875,57.988,64.039,61.823,60.653,61.172,64.803,68.625,72.101,76.569,82.86,87.635,93.533,100,101.111,104.896,108.193
"17","10","    Kitchen and other household appliances (30)","BAPPRA3",3.91,3.577,3.256,2.288,2.88,3.623,4.369,5.137,5.717,4.792,5.282,6.241,7.804,4.733,1.536,0.848,1.693,8.414,13.44,13.909,12.95,16.567,15.232,15.053,15.867,16.354,18.67,20.779,20.991,20.665,22.07,21.721,22.138,22.867,24.322,26.571,27.361,30.348,31.419,34.593,37.019,38.51,41.306,46.539,51.132,50.802,46.835,48.252,51.492,52.377,54.057,52.525,51.007,47.003,50.542,55.189,60.868,65.56,66.702,69.378,73.013,72.925,72.439,76.112,78.694,79.636,82.55,83.351,82.85,87.374,95.087,100,102.088,105.857,114.62
"18","11","    China, glassware, tableware, and utensils (31)","BCHNRA3",16.528,11.979,12.813,12.981,11.915,11.938,11.03,13.143,14.637,13.415,13.499,14.495,17.342,16.272,13.466,12.561,15.054,23.796,24.778,26.171,24.378,25.33,24.603,23.466,23.715,23.584,24.613,23.479,21.467,20.518,21.066,20.401,20.348,21.001,20.769,22.808,25.458,28.787,30.106,30.843,31.102,30.621,31.191,32.641,35.664,34.904,32.799,35.031,37.801,41.231,42.425,42.497,43.268,45.036,46.088,48.539,49.434,50.623,49.283,52.647,55.815,57.448,56.718,60.181,63.879,68.096,72.724,77.119,80.691,84.699,93.36,100,102.884,109.497,115.311
"19","12","    Video and audio goods, including musical instruments, and computer goods (91)","BRADRA3",0.111,0.132,0.097,0.074,0.06,0.065,0.071,0.097,0.109,0.1,0.129,0.15,0.178,0.156,0.098,0.07,0.078,0.249,0.253,0.246,0.27,0.392,0.367,0.42,0.479,0.534,0.593,0.606,0.562,0.549,0.62,0.617,0.662,0.726,0.808,0.956,1.177,1.524,1.732,1.874,1.963,2.09,2.165,2.431,2.734,2.869,3.092,3.362,3.579,3.852,4.207,4.375,4.611,4.824,6.276,7.387,8.76,10.934,12.475,14.295,15.132,15.971,17.434,19.28,23.217,28.136,33.94,41.937,51.855,65.934,83.173,100,113.507,132.384,151.514
"20","13","      Video and audio goods, including musical instruments (92)","BVAMRA3",0.422,0.502,0.37,0.282,0.227,0.247,0.272,0.368,0.416,0.379,0.489,0.568,0.678,0.592,0.373,0.266,0.295,0.946,0.961,0.936,1.025,1.491,1.393,1.596,1.821,2.031,2.254,2.303,2.137,2.087,2.355,2.344,2.515,2.761,3.07,3.634,4.475,5.793,6.585,7.121,7.462,7.945,8.23,9.241,10.39,10.904,11.753,12.777,13.58,14.599,15.903,16.405,17.103,16.987,20.533,24.141,29.028,33.633,37.564,41.338,43.485,44.205,44.156,46.354,50.913,57.641,63.081,67.048,69.866,77.7,88.47,100,106.539,115.332,123.563
"21","14","      Computers, peripherals, and software (93)","BCPTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.001,0.002,0.006,0.014,0.057,0.172,0.205,0.21,0.504,0.665,0.962,1.053,1.346,2.136,2.858,4.709,6.963,10.734,18.387,31.342,50.124,75.05,100,126.391,167.536,214.005
"22","15","    Other durable house furnishings (32)","BODHRA3",8.299,7.062,6.697,5.469,4.478,4.918,5.321,7.012,6.816,6.304,7.064,7.397,8.426,7.853,7.587,6.875,6.959,9.981,10.521,11.597,11.499,12.809,12.677,11.881,11.617,10.921,12.368,12.97,13.207,13.089,14.155,14.017,14.26,15.387,16.944,19.251,20.889,22.698,23.335,24.839,24.665,24.229,24.766,27.026,30.504,31.645,30.794,33.329,36.526,39.062,41.292,39.856,39.027,37.855,41.76,46.275,48.109,53.164,57.982,60.039,59.707,58.261,55.406,57.042,61.198,67.087,71.211,75.724,80.655,85.644,93.768,100,101.919,106.105,114.844
"23","16","  Other","B167RA3",3.239,2.911,2.361,1.788,1.544,1.858,2.134,2.423,2.929,2.843,3.025,3.238,3.809,3.986,4.666,4.78,5.415,7.066,6.725,6.776,6.409,6.785,6.947,7.35,7.687,8.064,8.899,9.554,9.747,9.912,10.468,10.35,10.313,11.012,11.707,13.056,14.453,17.204,17.979,19.588,20.464,21.491,21.841,24.648,27.662,28.503,29.619,31.918,34.223,36.497,37.929,35.118,35.572,35.018,37.036,42.355,44.432,48.873,52.01,54.838,55.961,56.577,54.149,55.049,59.168,63.602,67.838,72.988,77.658,83.927,92.555,100,99.552,104.271,113.772
"24","17","    Ophthalmic products and orthopedic appliances (46)","BOPTRA3",3.648,3.739,3.297,2.75,2.841,3.823,4.038,4.337,5.085,4.837,5.234,5.618,6.827,7.705,8.869,9.408,9.74,10.819,10.527,10.897,11.112,11.795,12.64,13.277,14.012,13.96,13.687,14.922,14.766,14.395,13.757,13.097,12.823,15.402,16.13,17.207,18.343,19.926,17.803,20.017,22.208,24.084,23.004,25.299,26.931,27.244,28.096,28.128,28.234,29.221,30.631,30.074,29.61,30.399,33.44,38.72,43.752,49.348,54.35,63.875,67.927,78.41,69.335,69.03,69.294,73.915,73.927,81.07,89.098,93.887,96.932,100,90.946,94.24,97.252
"25","18","    Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","BWHGRA3",1.144,0.894,0.869,0.676,0.602,0.761,0.894,1.186,1.404,1.362,1.508,1.621,1.985,1.72,1.659,1.731,2.076,3.976,4.328,4.258,3.695,3.97,3.771,4.154,4.616,5.05,6.078,6.76,7.232,7.531,8.413,8.165,7.996,8.213,8.791,10.149,11.693,14.489,15.982,17.922,18.943,19.139,19.792,25.568,28.7,28.334,29.622,32.197,34.555,36.532,39.848,35.246,35.138,33.831,34.439,40.865,42.151,45.589,49.84,52.07,53.708,52.846,51.026,51.306,56.392,60.752,65.835,70.119,74.823,81.504,90.368,100,103.737,108.146,123.072
"26","19","    Jewelry and watches (18)","BJRYRA3",3.68,3.397,2.181,1.787,1.219,1.449,1.775,1.901,2.457,2.549,2.709,2.941,3.485,3.752,4.728,4.462,5.142,6.413,5.882,5.983,5.684,5.951,5.983,6.527,6.651,7.217,7.943,8.201,8.352,8.61,8.927,8.848,8.715,9.355,9.825,10.392,11.904,14.806,15.831,16.968,16.851,16.895,17.859,18.9,22.94,25.241,27.26,32.084,35.299,37.58,36.444,33.515,34.493,34.426,37.692,42.526,45.776,52.41,52.567,53.765,53.439,52.335,50.605,52.413,56.764,60.308,64.417,70.799,74.081,82.517,92.585,100,97.249,103.781,112.935
"27","20","    Books and maps (87)","BBKSRA3",10.05,8.895,8.945,5.634,5.901,6.469,7.173,8.076,9.288,8.316,8.427,8.754,9.421,10.716,12.537,14.994,16.69,18.236,15.211,15.295,15.402,16.324,18.358,17.547,17.726,17.036,17.981,19.478,18.781,18.354,19.223,19.997,21.098,22.254,24.073,28.246,28.322,30.63,29.944,30.943,33.319,39.929,38.371,36.184,36.456,37.397,35.241,31.221,32.535,36.432,38.709,39.739,40.886,40.193,42.018,45.616,45.147,46.59,51.972,55.049,56.195,57.158,56.291,57.294,61.4,67.484,72.939,76.144,80.964,83.936,93.432,100,101.616,105.164,110.757
"28","21","Nondurable goods","B004RA3",15.102,14.394,14.323,13.153,12.956,14.066,14.907,16.655,17.251,17.492,18.397,19.218,20.512,20.867,21.559,22.413,24.02,25.331,24.643,24.726,25.108,25.892,26.572,27.627,28.494,28.853,30.25,31.281,31.857,32.164,33.491,33.994,34.621,35.71,36.463,38.248,40.277,42.487,43.157,45.126,46.326,47.436,48.294,50.422,52.068,51.02,51.771,54.301,55.609,57.687,59.226,59.137,59.839,60.409,62.417,64.898,66.665,69.06,70.715,73.016,75.044,76.209,76.033,77.553,79.619,82.369,84.152,86.3,88.605,92.154,96.374,100,102.027,104.63,108.481
"29","22","  Food","B168RA3",18.429,18.116,18.203,17.072,17.332,19.12,20.193,22.97,24.055,24.514,25.202,26.352,27.717,28.342,29.091,31.188,33.531,35.109,33.837,33.4,33.636,34.263,35.21,36.365,37.737,38.459,40.093,41.375,42.217,42.211,43.695,44.021,44.52,45.088,45.596,47.406,50.043,52.121,52.789,55.355,56.776,58.534,59.084,60.973,61.162,60.201,61.695,64.897,66.144,66.831,68.147,68.719,68.798,69.9,71.907,73.464,75.248,76.956,78,81.061,82.54,84.782,84.669,85.166,86.704,88.832,89.4,90.223,91.362,93.557,96.586,100,101.63,103.592,107.556
"30","23","    Food purchased for off-premise consumption (3)","BOPFRA3",20.332,19.777,19.522,17.961,18.688,20.785,22.151,25.447,26.227,26.805,27.121,28.398,29.53,29.421,28.435,29.929,31.614,35.672,35.953,35.741,36.069,36.908,37.187,38.297,39.93,41.089,43.189,44.713,45.928,46.185,48.175,48.644,49.365,49.795,50.248,52.129,54.897,57.115,58.476,61.119,62.848,64.703,65.538,66.835,65.931,64.69,65.933,69.203,70.337,70.124,71.203,72.02,71.921,73.289,75.281,76.919,79.373,80.895,80.561,82.761,83.871,85.703,85.567,85.396,86.273,88.83,89.491,90.567,91.465,93.25,96.841,100,102.109,104.081,107.504
"31","24","    Purchased meals and beverages (4)","BPMBRA3",9.973,10.229,10.864,10.709,9.509,10.844,11.659,13.341,15.238,15.417,16.886,17.835,19.561,20.786,23.32,25.47,28.901,28.771,25.577,24.948,25.318,25.593,27.515,28.776,29.982,29.952,30.849,31.821,32.125,31.678,32.453,32.749,32.727,33.817,34.58,36.436,38.987,40.667,39.834,42.559,43.546,45.32,45.596,48.763,51.213,50.339,52.351,55.371,57.015,59.548,61.337,61.421,61.779,62.46,64.771,66.406,67.247,69.549,73.27,77.855,79.996,83.011,82.96,84.585,87.249,88.688,89.097,89.521,91.086,93.98,96.124,100,100.861,102.826,107.688
"32","25","    Food furnished to employees (including military) and food produced and consumed on farms (5+6)","B483RA3",153.405,153.124,160.868,159.344,170.238,165.449,156.308,161.177,163.247,164.435,169.417,169.882,179.105,208.912,268.27,308.187,329.154,235.285,187.97,178.13,170.642,168.58,188.797,193.303,185.969,179.336,172.863,168.442,159.69,153.594,142.335,133.537,135.284,129.621,126.313,123.546,122.474,130.181,131.639,125.572,121.383,117.054,108.121,106.505,104.925,118.837,121.8,128.307,124.334,123.418,125.225,126.317,128.604,127.26,120.587,114.853,108.545,101.042,91.453,92.588,92.779,92.599,91.655,92.02,92.893,94.068,94.725,94.744,95.095,96.494,98.277,100,101.325,102.581,105.323
"33","26","    Addenda: Food excluding alcoholic beverages(8)","BFXARA3",23.191,22.796,22.906,21.483,20.552,20.286,20.642,23.015,23.948,24.85,25.511,26.778,27.919,28.296,28.99,31.351,33.652,35.019,33.477,33.407,33.759,34.21,35.244,36.637,38,38.974,40.686,42.008,42.998,42.969,44.494,44.923,45.517,45.889,46.322,48.201,51.011,53.067,53.997,56.535,57.748,59.24,59.463,61.058,60.717,59.415,60.951,64.237,65.142,65.652,66.699,67.061,67.066,68.233,70.345,72.142,73.929,75.71,76.979,80.178,81.593,83.49,83.981,84.796,86.59,88.818,89.412,90.198,91.308,93.481,96.641,100,101.763,103.881,107.891
"34","27","             Alcoholic beverages purchased for off-premise consumption (9)","BAOPRA3",NA,NA,NA,NA,1.332,11.881,16.259,20.844,21.591,19.635,19.904,20.422,22.279,23.74,23.747,24.827,26.348,28.209,28.74,25.399,24.939,26.236,25.315,25.139,26.027,25.264,25.973,26.567,26.154,26.229,27.732,27.885,28.105,29.834,30.748,31.972,33.13,34.968,35.954,39.192,42.829,46.398,50.465,53.631,56.693,58.897,59.966,62.451,66.245,67.725,70.706,72.994,74.13,76.049,77.8,77.448,80.505,82.16,80.898,81.487,83.049,86.857,80.236,75.647,77.506,81.899,84.296,87.811,90.844,93.391,95.656,100,101.333,101.77,105.892
"35","28","             Other alcoholic beverages (10)","BAPMRA3",NA,NA,NA,NA,15.359,18.015,20.473,24.287,29.92,30.229,32.966,33.974,37.535,39.929,44.682,44.631,50.478,55.018,53.319,54.953,54.773,57.317,62.967,62.315,65.421,64.945,67.639,70.205,71.814,72.131,71.978,70.189,69.151,70.332,71.134,72.953,75.905,79.057,71.791,72.497,71.76,74.281,72.08,77.143,82.342,81.638,83.071,85.686,89.568,93.182,97.857,100.135,99.665,96.694,96.186,95.686,94.249,94.098,94.511,99.4,102.238,109.762,108.87,112.917,107.861,102.984,99.211,95.508,93.556,95.542,97.134,100,99.301,100.756,103.456
"36","29","  Clothing and shoes","B169RA3",12.224,10.993,10.834,9.628,8.644,9.12,9.87,10.741,10.637,10.789,11.65,12.029,12.933,13.484,14.712,14.235,14.712,15.051,14.378,14.518,14.587,14.95,14.888,15.696,15.853,15.879,16.658,17.098,16.982,17.149,18.029,18.19,18.531,19.368,19.715,21.271,22.146,23.64,23.775,24.775,25.221,24.907,26.105,27.859,29.81,29.391,30.392,31.831,33.555,36.896,38.822,39.748,42.175,42.831,46.004,49.909,52.234,56.417,58.44,60.193,63.633,63.2,63.401,66.919,69.659,73.393,76.377,80.176,82.619,88.373,94.95,100,102.027,106.377,110.914
"37","30","    Shoes (12)","BSHURA3",19.496,16.961,17.303,17.486,15.757,17.533,17.244,18.979,20.207,20.03,19.792,20.158,21.734,22.955,21.651,20.949,22.955,25.621,23.393,22.679,23.198,24.51,21.815,21.87,22.17,21.762,23.461,23.351,22.938,24.168,24.568,24.592,24.634,25.331,25.331,27.277,27.827,29.178,29.462,31.118,32.318,30.643,31.061,32.883,34.977,33.119,33.248,34.186,36.063,40.162,42.474,43.035,45.801,44.555,47.238,49.707,52.412,56.504,58.597,59.79,63.543,64.606,62.834,64.498,66.921,71.757,75.22,79.653,82.27,87.783,95.033,100,102.313,106.858,111.61
"38","31","    Women's and children's clothing and accessories except shoes (14)","BWCLRA3",10.114,9.313,9.141,7.784,6.748,7.04,7.888,8.288,8.013,8.413,9.327,9.734,10.006,10.234,11.666,11.191,11.281,11.846,11.547,11.85,11.747,11.757,11.91,13.062,13.404,13.489,14.124,14.595,14.699,14.904,15.757,16.001,16.425,17.355,17.832,19.222,20.012,21.298,21.048,21.879,22.24,22.291,23.699,25.022,26.78,26.748,27.899,29.438,30.978,34.238,36.172,37.4,40.193,41.709,45.38,50,52.577,57.524,59.19,60.81,64.436,63.151,63.707,67.761,70.238,72.903,75.746,79.381,81.071,87.186,94.44,100,101.659,105.752,109.831
"39","32","    Men's and boys' clothing and accessories except shoes (15+16)","B484RA3",13.683,12.074,11.758,10.352,9.781,10.172,11.002,12.561,12.385,12.093,13.168,13.468,15.466,16.469,17.969,17.62,18.513,17.435,16.46,16.493,16.811,17.628,18.085,18.335,18.002,18.058,18.753,19.323,18.835,18.45,19.565,19.591,19.869,20.537,20.744,22.441,23.631,25.607,26.511,27.546,27.81,27.358,28.451,31.084,33.351,32.793,33.874,35.314,37.333,40.42,42.109,42.588,44.079,44.054,46.516,49.799,51.45,54.235,56.892,59.179,62.108,62.494,63.041,66.514,69.897,75.012,77.996,81.753,85.409,90.663,95.759,100,102.5,107.184,112.387
"40","33","  Gasoline, fuel oil, and other energy goods","A173RA3",17.299,17.199,16.8,15.747,16.116,16.945,17.802,19.243,20.013,19.781,21.214,22.626,24.461,21.055,17.206,17.317,20.233,28.477,30.171,31.332,31.391,32.987,34.734,36.203,37.121,38.158,41.192,42.948,44.008,45.979,47.091,47.764,47.573,49.085,50.804,53.398,55.916,58.974,60.464,63.032,65.75,68.223,70.558,74.115,78.405,72.073,73.589,77.618,79.045,80.401,78.46,71.605,70.708,70.743,72.128,74.061,75.446,79.003,80.734,82.963,84.303,82.748,81.849,85.02,87.153,88.608,90.334,92.008,93.826,97.293,100.619,100,100.997,102.384,103.062
"41","34","    Gasoline and oil (75)","B170RA3",8.224,8.303,8.646,7.967,7.981,8.506,9.021,9.747,10.49,10.793,11.501,12.191,13.599,10.25,6.503,6.708,8.837,16.039,17.066,18.153,19.739,20.469,22.25,24.085,25.415,26.223,28.505,30.229,31.393,32.884,34.573,35.757,36.126,37.658,38.815,40.94,42.874,45.549,47.029,50.304,53.686,57.009,59.77,62.206,65.44,62.217,64.07,66.633,68.675,70.258,69.315,65.358,66.349,67.176,68.676,70.833,72.225,75.734,77.762,79.81,81.515,80.75,79.862,83.093,85.204,86.338,87.935,89.888,92.666,96.941,100.351,100,101.481,102.871,103.587
"42","35","    Fuel oil and coal (40)","B171RA3",169.715,165.821,150.486,144.027,151.501,156.564,162.428,175.678,173.918,161.382,174.839,188.227,194.016,199.405,203.139,201.089,214.767,230.996,243.298,244.478,215.671,231.757,231.241,224.728,217.19,221.423,235.317,235.791,233.795,242.691,231.845,222.035,211.377,210.891,221.303,229.973,240.756,247.751,247.861,234.688,222.384,206.904,199.85,219.748,238.575,188.26,184.752,207.526,200.876,199.313,185.199,143.173,120.134,111.45,111.609,111.153,112.489,116.652,115.124,119.422,116.531,105.816,104.79,107.255,109.637,114.914,118.175,116.468,107.038,101.32,103.68,100,95.771,97.123,97.397
"43","36","  Other","B172RA3",8.11,7.405,7.322,6.505,6.413,7.017,7.357,8.143,8.573,8.672,9.455,9.857,10.891,11.6,12.581,13.142,14.252,14.282,14.195,14.771,15.816,16.977,17.738,18.531,19.245,19.137,20.088,20.984,21.742,22.178,23.527,24.584,25.866,27.738,28.951,30.277,32.099,34.655,35.623,37.148,38.216,39.454,39.727,41.803,44.594,44.493,43.003,44.639,45.306,48.58,51.374,52.23,53.332,53.046,54.267,57.443,58.845,60.515,62.925,64.277,66.351,67.745,67.424,68.695,71.131,74.637,77.719,81.25,85.696,90.295,95.447,100,103.075,106.279,110.646
