"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Equals: Gross national product","A001RC1",105.3,92.9,77.9,59.9,57.5,67.1,74.6,85.1,93.4,87.8,93.8,103.2,129.8,166.4,203.5,224.9,228.4,228.5,251.1,276.3,274.1,301.6,349.2,369.7,391.6,393.2,428.6,452.9,477.9,484.7,525.2,546.4,566.8,609.2,643.1,690.7,749,820.1,867.1,948.6,1026
"12","5","Less: Consumption of fixed capital","A262RC1",10.4,10.2,9.5,8.3,8,8.4,8.5,8.8,9.7,10,10.1,10.6,12.1,14.9,18,21.4,23.2,25.8,29.2,31.4,32.3,33.4,37.8,40.6,43.5,46,48.9,54.1,58.9,62.4,65.4,67.9,70.6,74.1,78,82.4,88,95.3,103.5,113.3,124.9
"13","6","  Private","A024RC1",9.4,9.2,8.6,7.5,7,7.3,7.3,7.5,8.4,8.6,8.6,9,10,11.2,11.5,12,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33,35,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4
"14","7","    Domestic business","W276RC1",8.1,7.9,7.4,6.5,6.1,6.2,6.3,6.4,7.2,7.3,7.3,7.6,8.5,9.6,9.8,10.2,10.5,11.9,14.8,17.4,18.9,20.4,23.2,24.6,26.1,27.4,28.9,32.2,35.2,37.5,39,40,41.3,42.9,44.9,47.4,50.9,55.6,60.9,67,74.2
"15","8","      Capital consumption allowances","Y0000C1",6.6,6.7,6.6,6.1,5.8,5.7,5.7,5.9,6,6.2,6.3,6.5,7.2,8.3,8.9,9.8,10.3,9,11.1,13.1,15,16.6,18.8,20.7,23.1,25.3,28.3,30.8,33.5,35.3,37.5,39.7,41.7,46.6,49.9,53.2,57,61.9,66.9,72.5,79.7
"16","9","      Less: Capital consumption adjustment","Y0004C1",-1.5,-1.3,-0.8,-0.4,-0.3,-0.6,-0.6,-0.6,-1.1,-1.2,-1,-1.1,-1.3,-1.3,-0.9,-0.3,-0.2,-3,-3.7,-4.3,-3.9,-3.8,-4.3,-3.9,-3,-2.1,-0.6,-1.3,-1.7,-2.3,-1.5,-0.3,0.4,3.6,5,5.8,6.1,6.2,6,5.6,5.5
"17","10","    Households and institutions","W279RC1",1.3,1.3,1.2,1,0.9,1,1,1.1,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.9,2,2.3,3,3.4,3.7,4,4.6,5,5.3,5.6,6.1,6.6,7.1,7.4,7.8,8.2,8.5,8.8,9.3,9.9,10.7,11.5,12.4,13.6,15.2
"18","11","  Government","A264RC1",1,1,0.9,0.9,1,1.1,1.1,1.3,1.4,1.5,1.5,1.6,2.1,3.6,6.5,9.3,10.7,11.5,11.5,10.6,9.7,9.1,10,11.1,12.1,13,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.8,25.1,26.4,28.1,30.2,32.7,35.4
"19","12","    General government","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.8,3.4,6.2,9,10.4,11.2,11.1,10.1,9.3,8.6,9.4,10.4,11.4,12.3,13.1,14.5,15.7,16.5,17.6,18.6,19.7,21.1,22.5,23.7,24.9,26.5,28.4,30.8,33.2
"20","13","    Government enterprises","A266RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2
"21","14","Equals: Net national product","A027RC1",94.9,82.7,68.4,51.6,49.5,58.7,66.1,76.3,83.7,77.7,83.8,92.7,117.7,151.5,185.4,203.5,205.2,202.7,221.9,244.9,241.8,268.2,311.4,329.1,348.2,347.3,379.7,398.8,419,422.2,459.8,478.5,496.2,535.1,565.1,608.3,661,724.8,763.6,835.2,901.1
"22","15","Less: Statistical discrepancy","A030RC1",0.7,-0.4,0.7,0.3,0.5,0.4,-0.2,1.2,-0.1,0.7,1.3,1.1,0.3,-0.9,-1.8,2.5,3.8,1.2,2.9,-0.3,1.7,1.2,3.4,2.6,3.8,2.9,2.1,-2.1,-0.4,0.6,0.1,-1.4,-1,-0.1,-1.5,0,0.8,5.1,3.4,3.2,1.6
"23","16","Equals: National income","A032RC1",94.2,83.1,67.7,51.3,49,58.3,66.4,75.2,83.7,77.1,82.5,91.6,117.4,152.4,187.3,201,201.4,201.5,219,245.1,240,267,308,326.5,344.4,344.4,377.6,400.9,419.4,421.6,459.6,479.9,497.2,535.2,566.6,608.3,660.3,719.7,760.2,832.1,899.5
"24",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",10.8,7.5,3,-0.2,-0.2,2.5,4,6.2,7.1,5,6.6,9.9,15.7,20.8,24.9,25,20.5,18.2,24.2,31.4,29.1,36.1,41.2,39.7,40.3,39.5,50.2,49.6,49.1,43.9,55.5,54.7,55.9,64,70.5,77.7,89.3,96.1,93.9,101.7,98.4
"26","18","  Taxes on production and imports less subsidies \1\","W254RC1",6.8,6.9,6.5,6.5,6.7,7.2,7.4,8.2,8.6,8.5,8.3,9,10.6,11,11.8,12.7,13.9,15.5,17.7,19.2,20.4,22.1,23.7,26.4,28.6,28.6,31.3,33.5,35.5,36.4,40,43.4,45,48.1,51.2,54.5,57.7,59.3,64.1,72.2,79.3
"27","19","  Contributions for government social insurance, domestic","A061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10,11.4,11.4,13.8,16.4,17,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1
"28","20","  Net interest and miscellaneous payments on assets","W255RC1",4.6,4.8,4.8,4.5,4,4,4.1,3.8,3.7,3.6,3.6,3.3,3.3,3.2,2.9,2.4,2.3,1.9,2.5,2.6,2.9,3.2,3.7,4.1,4.8,5.7,6.3,6.9,8.1,9.6,9.7,10.7,12.6,14.3,15.3,17.5,19.8,22.5,25.7,27.6,33.6
"29","21","  Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.8,1.2,1.2,1.2,0.9,1.3,1.7,1.8,1.7,1.7,1.7,1.9,2.1,2.5,3,3.5,3.4,3.6,4.2,4.8
"30","22","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.3,0.4,0.8,0.8,0.7,0.3,0.2,0.3,0
"31","23","Plus: Personal income receipts on assets","W210RC1",12.6,11.9,10.5,8.6,7.6,8.3,8.5,10,10.4,8.8,9.4,9.7,10.2,10,10.4,10.9,11.7,13.6,15.4,16.8,17.9,20.7,21.4,22.5,24.6,26.6,29.4,32.4,35.6,37.3,40.6,44.3,47.2,51.6,56,62.5,68.7,74.2,79.8,87.3,98.7
"32","24","Plus: Personal current transfer receipts","A577RC1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3
"33","25","Equals: Personal income","A065RC1",85.3,76.5,65.6,50.3,47.2,54.1,60.8,69.2,74.7,69.1,73.6,79.4,97.9,126.7,156.2,169.7,175.8,182.7,194.6,213.7,211.2,233.9,264.5,282.7,299.6,302.6,324.6,348.4,368.5,379.5,403.2,422.5,441.1,469.1,492.8,528.4,570.8,620.6,665.7,730.7,800.3
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Gross domestic income","A261RC1",103.8,92.6,76.7,59.3,56.7,66.4,74.5,83.7,93.1,86.7,92.2,101.9,129,166.9,205,222,224.3,226.6,247.1,275.1,271.1,298.9,343.9,365.2,386,388.3,424.1,452.2,475.2,481.4,522.3,544.6,564.3,605.2,640.1,685.8,743,809.9,858.3,939.3,1018.3
"36","27","  Gross national income","A023RC1",104.6,93.3,77.2,59.6,57,66.7,74.8,83.9,93.4,87.1,92.6,102.2,129.5,167.3,205.3,222.4,224.6,227.2,248.2,276.5,272.4,300.4,345.8,367.1,387.9,390.4,426.5,455,478.3,484.1,525.1,547.8,567.8,609.3,644.6,690.7,748.2,815,863.7,945.4,1024.4
"37","28","  Gross national factor income \2\","X023RC1",97.3,86,70.1,52.6,49.7,59.1,66.9,75.2,84.3,78.2,83.8,92.7,118.3,155.8,192.8,208.9,209.8,211.1,229.8,256.6,251.3,277.5,320.9,339.6,358.1,360.9,393.9,419.8,441,446,482.9,502.1,520.6,558.7,590.1,632.4,686.4,752.1,795.8,868.7,940.3
"38","29","  Net domestic product","A362RC1",94.2,82,67.9,51.2,49.2,58.4,65.8,76.1,83.3,77.4,83.4,92.4,117.3,151.1,185.1,203.2,205,202,220.7,243.4,240.5,266.8,309.5,327.1,346.3,345.2,377.3,396,415.9,419.6,457,475.4,492.7,531,560.6,603.4,655.7,719.7,758.2,829.2,895
"39","30","  Net domestic income","W256RC1",93.4,82.4,67.2,50.9,48.7,58,66,74.9,83.3,76.7,82.1,91.3,117,152,186.9,200.6,201.2,200.8,217.9,243.7,238.8,265.5,306.1,324.5,342.5,342.3,375.2,398.1,416.3,419,456.9,476.7,493.7,531.1,562.1,603.4,655,714.6,754.8,826,893.4
"40","31","  Net national factor income \3\","X032RC1",86.9,75.8,60.6,44.3,41.7,50.7,58.5,66.4,74.6,68.2,73.7,82.1,106.3,140.9,174.8,187.5,186.6,185.3,200.6,225.2,219,244,283.1,299,314.6,314.9,345.1,365.7,382.1,383.6,417.4,434.3,450,484.6,512.1,550,598.4,656.8,692.3,755.3,815.4
"41","32","  Net domestic purchases","W367RC1",93.8,81.7,67.9,51.2,49.1,58.1,66,76.2,83.2,76.4,82.5,90.9,116.3,151.4,187.4,205.2,205.7,194.9,209.9,237.9,235.3,266,307,325.9,347,344.8,376.8,393.6,411.9,419.1,456.6,471.2,487.8,526.9,555.6,596.5,650.1,715.9,754.7,827.8,893.6
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
