"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Motor vehicles and parts","DMOTRA3",8.558,5.955,4.646,2.971,3.54,4.405,6.103,7.536,7.658,4.954,6.749,8.505,9.667,1.55,1.59,1.471,1.821,6.138,8.898,10.054,12.889,16.665,14.062,12.662,15.743,15.014,20.556,17.496,18.314,15.163,18.07,19.191,17.271,20.508,23.068,24.35,28.207,28.67,27.976,32.355,33.538
"12","5","      New motor vehicles (55)","DNMVRA3",8.599,5.611,4.072,2.374,3.237,4.078,6.108,7.748,7.858,4.594,6.474,8.384,9.327,0.375,0.378,0.124,0.117,6.056,10.317,11.688,15.947,21.095,17.105,14.4,19.677,18.897,26.694,21.36,21.919,16.409,21.236,22.847,19.657,24.667,28.527,30.379,36.337,36.737,34.808,41.733,42.438
"13","6","      Net purchases of used motor vehicles (56)","DNPVRA3",9.105,7.387,5.373,3.697,4.108,5.119,6.856,9.023,9.421,6.942,8.483,9.167,10.001,9.286,8.204,7.657,7.261,5.862,9.582,13.862,17.827,20.685,22.042,23.938,20.839,18.14,21.402,22.464,24.675,25.841,22.764,22.337,21.496,21.012,21.781,21.596,23.384,23.392,25.027,25.046,26.25
"14","7","      Motor vehicle parts and accessories (58)","DMVPRA3",3.938,3.416,3.309,2.605,2.277,2.733,2.883,3.135,3.208,3.008,3.707,4.286,5.365,2.108,2.473,2.835,4.111,8.569,8.235,7.666,7.106,8.786,7.585,8.234,7.474,6.887,8.245,8.925,10.073,10.797,12.204,13.137,13.979,15.338,16.092,17.283,17.747,18.973,19.68,21.887,24.831
"15","8","    Furnishings and durable household equipment","DFDHRA3",6.122,5.064,4.934,4.076,3.824,4.153,4.709,5.814,6.015,5.439,6.088,6.673,7.738,6.414,5.073,4.493,4.874,8.241,9.581,10.139,9.915,11.428,10.867,10.822,11.151,11.151,12.566,13.179,12.928,12.767,13.597,13.397,13.479,14.234,15.168,16.888,17.993,19.558,20.003,21.206,21.651
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",7.614,6.271,6.168,5.016,4.287,4.517,5.388,6.865,6.73,6.245,7.242,7.748,8.656,7.64,6.853,6.134,6.188,8.695,9.076,9.706,9.827,10.997,10.519,10.749,11.116,11.073,12.672,13.172,12.897,12.841,13.761,13.544,13.548,14.484,15.681,17.655,18.785,19.955,20.125,21.174,21.253
"17","10","      Household appliances (part of 33)","DAPPRA3",2.962,2.709,2.466,1.733,2.181,2.744,3.31,3.891,4.33,3.63,4.001,4.727,5.911,3.585,1.163,0.642,1.282,6.374,10.181,10.536,9.81,12.549,11.538,11.403,12.019,12.388,14.142,15.74,15.901,15.653,16.718,16.454,16.77,17.322,18.424,20.128,20.726,22.989,23.8,26.204,28.042
"18","11","      Glassware, tableware, and household utensils (34)","DUTERA3",11.042,8.046,8.575,8.668,7.945,7.963,7.365,8.784,9.767,8.964,9.031,9.694,11.569,10.855,9.008,8.397,10.022,15.777,16.411,17.364,16.231,16.897,16.438,15.667,15.809,15.695,16.4,15.666,14.355,13.728,14.101,13.669,13.65,14.096,13.962,15.33,17.105,19.326,20.207,20.705,20.88
"19","12","      Tools and equipment for house and garden (35)","DTOORA3",3.636,3.244,2.732,2.234,2.119,2.306,2.41,2.952,3.181,2.927,3.3,3.633,4.159,4.167,4.084,4.207,4.604,6.26,6.54,7.1,7.287,8.185,8.355,7.469,6.808,5.914,6.273,6.427,6.417,6.377,6.784,7.121,7.263,7.919,8.383,9.297,10.694,12.551,13.455,14.217,14.507
"20","13","    Recreational goods and vehicles","DREQRA3",0.195,0.206,0.17,0.125,0.11,0.124,0.139,0.177,0.201,0.186,0.217,0.241,0.285,0.256,0.212,0.201,0.23,0.462,0.468,0.462,0.465,0.595,0.582,0.634,0.698,0.751,0.847,0.892,0.872,0.868,0.967,0.96,0.998,1.064,1.162,1.364,1.59,1.957,2.151,2.383,2.542
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.029,0.034,0.025,0.019,0.015,0.017,0.019,0.025,0.029,0.026,0.033,0.038,0.046,0.04,0.026,0.02,0.023,0.066,0.068,0.066,0.071,0.1,0.094,0.107,0.122,0.135,0.151,0.155,0.146,0.143,0.162,0.16,0.168,0.183,0.205,0.239,0.291,0.37,0.42,0.457,0.48
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",0.67,0.541,0.536,0.434,0.385,0.445,0.501,0.612,0.696,0.685,0.758,0.804,0.972,0.876,0.843,0.856,1.001,1.761,1.893,1.928,1.812,2.038,2.081,2.221,2.345,2.445,2.845,3.087,3.264,3.375,3.778,3.943,4.19,4.204,4.184,4.776,5.397,6.613,7.092,7.569,7.665
"23","16","      Sports and recreational vehicles (79)","DWHLRA3",1.31,1.015,0.955,0.723,0.668,0.867,1.028,1.36,1.573,1.46,1.658,1.777,2.194,1.661,1.603,1.672,2.005,4.319,4.768,4.762,4.057,4.418,4.286,4.444,4.861,5.227,6.452,7.102,7.478,7.646,8.593,7.64,6.979,7.765,8.874,11.178,13.287,16.419,18.107,23.663,28.144
"24","17","      Recreational books (part of 90)","DRBKRA3",10.148,8.982,9.032,5.689,5.959,6.532,7.244,8.155,9.379,8.398,8.509,8.84,9.513,10.821,12.66,15.141,16.853,18.415,15.36,15.445,15.553,16.484,18.538,17.718,17.899,17.203,18.157,19.669,18.965,18.534,19.411,20.192,21.304,22.471,24.309,28.523,28.599,30.93,30.236,31.246,33.645
"25","18","      Musical instruments (part of 80)","DMSCRA3",2.011,2.391,1.762,1.345,1.079,1.176,1.294,1.754,1.982,1.805,2.327,2.707,3.23,2.821,1.775,1.269,1.404,4.507,4.579,4.461,4.883,7.1,6.637,7.602,8.673,9.676,10.739,10.971,10.178,9.942,11.219,11.212,11.858,12.719,14.032,15.974,18.555,22.264,23.735,24.142,23.25
"26","19","    Other durable goods","DODGRA3",3.864,3.564,2.806,2.314,1.897,2.179,2.477,2.707,3.134,3.15,3.364,3.58,4.116,4.438,5.33,5.227,5.737,6.78,6.383,6.512,6.357,6.655,6.873,7.379,7.585,7.878,8.399,8.789,8.862,8.958,9.245,9.312,9.5,10.378,10.75,11.678,12.878,14.813,14.944,16.403,17.043
"27","20","      Jewelry and watches (part of 119)","DJRYRA3",3.368,3.109,1.996,1.635,1.115,1.326,1.624,1.74,2.249,2.333,2.48,2.692,3.19,3.434,4.327,4.084,4.706,5.869,5.384,5.475,5.203,5.446,5.475,5.974,6.087,6.605,7.27,7.506,7.644,7.88,8.17,8.098,7.977,8.563,8.992,9.511,10.895,13.551,14.489,15.53,15.423
"28","21","      Therapeutic appliances and equipment (42)","DTAERA3",1.915,1.928,1.718,1.455,1.488,1.934,2.034,2.184,2.525,2.425,2.616,2.791,3.346,3.776,4.35,4.612,4.788,5.319,5.178,5.381,5.501,5.857,6.301,6.598,6.938,6.929,6.892,7.518,7.565,7.479,7.415,7.507,7.657,9.099,9.007,9.898,10.687,11.711,10.283,11.619,12.817
"29","22","      Educational books (96)","DEBKRA3",23.755,21.026,21.143,13.318,13.949,15.29,16.956,19.09,21.954,19.658,19.919,20.693,22.269,25.331,29.635,35.443,39.45,43.106,35.956,36.154,36.407,38.586,43.394,41.476,41.9,40.27,42.503,46.042,44.394,43.385,45.439,47.295,50.312,54.534,59.895,68.391,66.731,71.06,69.154,71.471,77.538
"30","23","      Luggage and similar personal items (part of 119)","DLUGRA3",8.297,7.388,6.892,5.996,5,5.112,5.721,6.434,6.534,6.701,7.225,7.5,8.07,8.347,9.534,9.139,9.508,10.733,10.614,10.778,10.608,10.939,11.243,12.306,12.669,12.812,13.616,14.045,14.089,14.117,14.843,15.18,16.209,17.086,17.674,19.603,21.336,22.737,23.043,26.274,28.033
"31","24","      Telephone and facsimile equipment (67)","DTCERA3",0.138,0.13,0.117,0.103,0.086,0.088,0.088,0.11,0.112,0.111,0.119,0.125,0.132,0.124,0.116,0.106,0.106,0.136,0.134,0.156,0.176,0.2,0.208,0.193,0.181,0.165,0.183,0.188,0.192,0.188,0.197,0.205,0.218,0.241,0.262,0.291,0.305,0.325,0.336,0.355,0.354
"32","25","  Nondurable goods","DNDGRA3",13.89,13.166,13.025,11.877,11.835,12.8,13.533,15.078,15.449,15.673,16.388,17.089,18.114,18.163,18.276,18.659,19.816,21.605,21.478,21.639,21.96,22.693,23.038,23.904,24.646,25.037,26.337,27.263,27.809,28.179,29.447,29.936,30.54,31.481,32.159,33.668,35.365,37.33,38.132,39.745,40.845
"33","26","    Food and beverages purchased for off-premises consumption","DFXARA3",20.833,20.32,20.217,18.757,19.603,21.512,22.611,25.702,26.413,26.986,27.341,28.486,29.419,29.276,28.511,29.745,31.35,35.133,35.14,34.858,35.043,35.789,35.979,36.963,38.371,39.406,41.308,42.681,43.698,43.879,45.695,46.022,46.663,46.973,47.357,48.97,51.421,53.428,54.65,57.073,58.647
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",24.628,23.947,23.619,21.676,22.083,21.369,21.815,24.541,25.274,26.469,26.746,28.147,29.006,28.51,27.355,28.838,30.449,34.706,34.942,35.45,35.941,36.646,37.186,38.501,40.186,41.678,43.93,45.564,47.059,47.339,49.39,49.871,50.637,50.78,51.102,52.881,55.744,57.892,59.238,61.613,62.871
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",NA,NA,NA,NA,1.117,9.629,13.161,16.865,17.47,15.894,16.112,16.533,18.032,19.21,19.213,20.087,21.318,22.828,23.256,20.565,20.196,21.243,20.502,20.364,21.084,20.474,21.051,21.534,21.205,21.266,22.484,22.612,22.799,24.188,24.924,25.924,26.87,28.37,29.177,31.795,34.738
"36","29","      Food produced and consumed on farms (6)","DFFDRA3",2130.551,2133.426,2285.772,2319.483,2507.949,2376.501,2179.751,2212.892,2203.348,2245.789,2331.315,2272.124,2138.484,2078.635,2186.72,2081.734,2128.58,2242.872,2011.169,1924.545,1809.774,1769.452,1675.976,1627.103,1529.435,1485.633,1443.545,1388.3,1253.972,1191.099,1080.218,976.571,953.71,839.235,801.647,751.424,661.673,609.831,566.841,524.066,485.661
"37","30","    Clothing and footwear","DCLORA3",10.575,9.514,9.396,8.356,7.521,7.944,8.586,9.334,9.236,9.364,10.112,10.439,11.225,11.703,12.74,12.33,12.741,12.993,12.396,12.518,12.593,12.911,12.845,13.515,13.636,13.648,14.313,14.688,14.585,14.732,15.492,15.632,15.921,16.642,16.947,18.236,18.995,20.268,20.409,21.228,21.637
"38","31","      Garments","DGARRA3",9.763,8.844,8.673,7.475,6.73,7.029,7.756,8.415,8.188,8.338,9.182,9.483,9.926,9.835,10.649,10.276,10.528,11.227,10.926,11.153,11.162,11.339,11.466,12.281,12.441,12.556,13.119,13.538,13.468,13.484,14.287,14.462,14.78,15.493,15.855,17.143,17.921,19.159,19.33,20.055,20.412
"39","32","        Women's and girls' clothing (10)","DWGCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.611,12.829,13.171,13.927,14.325,15.511,16.123,17.177,17.036,17.665,17.927
"40","33","        Men's and boys' clothing (11)","DMBCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.967,19.005,19.229,19.842,20.041,21.689,22.758,24.465,25.298,26.218,26.519
"41","34","        Children's and infants' clothing (12)","DCICRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.896,5.188,5.626,6.028,6.806,6.819,8.144,8.791,9.539,10.328,12.864
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRA3",15.614,13.694,13.892,13.764,12.376,13.582,13.618,14.922,15.681,15.658,15.752,16.234,19.233,23.539,26.03,25.418,26.978,23.598,20.877,20.216,20.748,21.999,20.635,20.265,20.108,19.441,20.702,20.765,20.464,21.41,21.86,21.792,21.897,22.643,22.61,23.857,24.475,25.906,25.883,27.194,27.884
"43","36","    Gasoline and other energy goods","DGOERA3",18.543,18.437,18.015,16.884,17.278,18.168,19.088,20.633,21.463,21.219,22.756,24.269,26.242,22.572,18.424,18.545,21.678,30.55,32.367,33.617,33.697,35.407,37.29,38.876,39.869,40.984,44.244,46.136,47.279,49.397,50.6,51.407,51.067,52.725,54.549,57.458,60.194,63.48,65.108,67.858,70.806
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",8.751,8.835,9.2,8.477,8.493,9.051,9.599,10.372,11.162,11.484,12.238,12.972,14.471,10.907,6.92,7.138,9.403,17.067,18.16,19.316,21.003,21.781,23.676,25.628,27.044,27.903,30.332,32.166,33.405,34.991,36.789,38.049,38.441,40.072,41.302,43.563,45.621,48.468,50.042,53.527,57.126
"45","38","      Fuel oil and other fuels (29)","DFULRA3",209.486,204.679,185.751,177.778,187.003,193.253,200.491,216.846,214.674,199.199,215.811,232.335,239.481,246.133,250.742,248.212,265.095,285.127,300.312,301.769,266.211,286.066,285.429,277.39,268.085,273.31,290.46,291.045,288.582,299.563,286.163,275.67,259.459,259.508,271.89,285.096,299.052,307.519,308.103,291.132,276.024
"46","39","    Other nondurable goods","DONGRA3",6.34,5.81,5.715,5.068,5.001,5.473,5.738,6.334,6.671,6.747,7.305,7.618,8.43,8.984,9.742,10.205,11.129,11.066,11.093,11.491,12.228,13.063,13.67,14.291,14.884,14.836,15.556,16.264,16.865,17.208,18.246,19.109,20.102,21.517,22.498,23.496,24.916,26.897,27.689,28.809,29.601
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",1.244,1.176,1.09,0.984,0.988,1.127,1.172,1.258,1.368,1.407,1.497,1.555,1.754,2.003,2.381,2.498,2.633,2.882,2.754,2.903,3.031,3.31,3.678,3.799,3.919,3.935,4.258,4.692,5.1,5.29,5.72,6.285,7.087,7.888,8.522,8.787,9.176,9.553,10.274,11.341,12.288
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRA3",2.241,1.984,1.897,1.729,1.608,1.584,1.611,1.913,1.868,2.062,2.377,2.407,2.771,2.506,2.368,2.414,2.682,3.401,3.399,3.404,3.66,4.123,4.484,4.537,4.692,4.743,4.971,5.294,5.472,5.48,6.069,6.504,6.807,7.35,7.983,8.732,9.612,10.735,11.098,11.815,12.192
"49","42","      Household supplies (parts of 32 and 36)","DHOURA3",6.295,5.791,5.908,5.282,5.327,5.831,6.162,7.27,7.707,7.626,8.809,9.444,10.146,10.092,10.43,10.253,9.7,11.846,11.818,12.344,13.821,15.451,15.288,15.506,16.2,16.22,17.492,18.257,18.846,18.961,20.546,21.615,23.663,25.935,27.303,29.819,32.077,34.896,35.781,37.195,37.688
"50","43","      Personal care products (part of 118)","DOPCRA3",3.53,3.148,3.173,2.713,2.107,2.696,2.719,2.873,3.064,3.155,3.482,3.668,4.238,4.67,5.509,5.96,6.408,6.158,5.769,5.819,6.044,6.699,6.677,7.335,7.806,8.065,8.853,9.661,10.311,10.791,11.013,12.164,13.392,14.584,15.543,16.711,18.184,20.34,21.654,22.884,23.433
"51","44","      Tobacco (127)","DTOBRA3",62.377,56.593,57.073,50.672,53.288,57.166,60.555,65.251,69.284,69.826,71.567,73.655,79.972,87.248,91.775,89.58,93.378,105.59,109.597,112.986,113.323,115.02,119.014,123.376,122.123,117.53,119.027,122.568,127.347,131.425,138.331,140.348,144.699,145.166,146.329,144.17,147.954,147.954,149.284,148.224,146.258
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",18.866,17.992,16.606,14.347,14.522,15.618,16.603,17.851,18.783,18.049,19.518,20.646,23.1,23.929,26.601,27.687,30.785,34.142,34.911,34.602,34.639,35.14,36.092,37.119,38.346,39.239,39.866,40.015,39.961,39.96,41.748,42.419,40.173,44.14,45.437,44.994,46.691,53.362,52.649,53.457,56.474
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRA3",6.988,6.842,6.668,6.265,6.033,6.329,6.55,6.953,7.279,7.221,7.502,7.791,8.254,8.708,9.403,9.928,10.46,10.936,10.981,11.271,11.542,12.047,12.758,13.33,13.891,14.376,15.098,15.822,16.366,16.896,17.729,18.422,19.101,20.005,20.856,22.097,23.322,24.473,25.474,26.818,28.011
"55","48","  Household consumption expenditures (for services)","DHCERA3",7.305,7.133,6.937,6.523,6.296,6.634,6.879,7.314,7.678,7.601,7.905,8.202,8.704,9.187,9.917,10.463,11.043,11.55,11.633,11.947,12.242,12.794,13.582,14.163,14.765,15.277,16.06,16.817,17.406,17.959,18.814,19.502,20.228,21.197,22.103,23.381,24.68,25.913,26.968,28.391,29.686
"56","49","    Housing and utilities","DHUTRA3",5.927,5.91,5.877,5.776,5.665,5.968,6.042,6.173,6.304,6.416,6.595,6.831,7.203,7.583,7.86,8.177,8.391,9.149,9.933,10.595,11.328,12.209,13.169,14.065,14.876,15.699,16.564,17.485,18.395,19.327,20.435,21.527,22.585,23.892,25.008,26.221,27.609,28.871,30.171,31.684,33.425
"57","50","      Housing","DHSGRA3",6.149,6.075,6.016,5.911,5.801,6.114,6.164,6.259,6.361,6.462,6.612,6.81,7.199,7.566,7.851,8.151,8.324,9.04,9.767,10.351,11.029,11.804,12.674,13.501,14.23,14.925,15.678,16.455,17.293,18.132,19.11,20.104,21.088,22.262,23.263,24.372,25.693,26.855,28.048,29.452,31.052
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",10.632,10.712,10.872,10.914,10.345,11.516,11.678,11.983,12.352,12.721,13.13,13.601,14.252,14.713,14.713,14.62,14.119,14.779,15.402,16.096,17.014,17.836,18.808,19.616,20.373,20.876,21.294,21.781,22.69,23.606,24.684,25.773,27.114,28.609,30.034,31.608,33.346,34.839,36.298,38.514,40.481
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",3.948,3.838,3.724,3.591,3.627,3.671,3.683,3.709,3.726,3.748,3.816,3.92,4.209,4.539,4.885,5.287,5.645,6.353,7.076,7.637,8.246,9,9.834,10.666,11.383,12.13,12.979,13.833,14.642,15.468,16.447,17.439,18.333,19.445,20.348,21.328,22.54,23.618,24.721,25.906,27.409
"60","53","        Rental value of farm dwellings (22)","DFARRA3",61.928,61.685,61.413,60.994,60.614,60.206,60.175,60.215,60.422,60.379,60.594,61.145,61.856,62.172,62.25,62.202,62.013,63.475,64.577,66.05,67.348,68.39,69.302,69.933,70.511,70.949,71.078,71.396,71.635,71.791,72.166,72.342,72.831,73.174,73.54,74.013,74.3,74.77,75.324,75.801,76.182
"61","54","        Group housing (23)","DGRHRA3",78.158,75.379,71.441,64.501,63.283,72.47,78.158,84.94,88.97,88.374,90.969,96.69,103.125,100.91,115.563,125.222,137.378,148.472,185.038,167.004,158.19,159.035,165.005,170.346,175.726,181.067,187.567,196.971,209.035,204.88,184.529,172.358,167.106,152.7,141.582,150.363,160.841,165.477,194.1,203.881,225.807
"62","55","      Household utilities","DUTLRA3",4.567,4.882,4.99,4.92,4.803,5.051,5.225,5.507,5.761,5.922,6.237,6.646,6.922,7.351,7.577,7.967,8.39,9.345,10.411,11.497,12.525,14.022,15.498,16.784,18.09,19.738,21.308,23.167,24.505,26.017,27.951,29.639,31.125,33.256,35.094,36.931,38.668,40.522,42.467,44.614,47.211
"63","56","        Water supply and sanitation (25)","DWRSRA3",11.705,12.441,12.441,12.056,12.782,14.1,13.881,14.542,14.761,14.584,15.468,15.808,16.386,16.893,17.198,17.489,17.644,18.808,19.435,20.1,20.874,21.4,22.159,22.575,23.111,23.452,23.512,24.434,24.214,23.277,25.331,27.81,29.128,31.029,33.951,35.439,36.973,37.365,37.602,38.97,41.669
"64","57","        Electricity and gas","DELGRA3",3.793,4.06,4.172,4.131,3.955,4.11,4.307,4.545,4.793,4.977,5.232,5.632,5.874,6.282,6.493,6.88,7.315,8.227,9.315,10.427,11.466,13.046,14.586,15.966,17.362,19.177,20.959,22.956,24.538,26.459,28.369,29.914,31.428,33.596,35.226,37.126,38.899,41.042,43.334,45.64,48.2
"65","58","          Electricity (27)","DELCRA3",2.013,2.228,2.366,2.396,2.361,2.527,2.705,2.912,3.138,3.369,3.591,3.89,4.151,4.402,4.53,4.888,5.214,6.037,6.778,7.604,8.488,9.645,10.705,11.748,12.825,13.982,15.025,16.299,17.476,18.456,19.599,20.734,21.743,23.175,24.376,25.872,27.261,29.06,30.837,32.909,34.906
"66","59","          Natural gas (28)","DGHERA3",11.151,11.499,11.376,10.962,10.124,10.125,10.309,10.593,10.835,10.714,11.031,11.76,11.824,12.818,13.345,13.735,14.523,15.559,17.869,19.924,21.351,24.353,27.579,30.051,32.449,36.687,41.279,45.947,48.861,54.522,59.364,62.275,65.612,70.45,73.519,76.669,79.644,82.712,86.642,89.321,93.661
"67","60","    Health care","DHLCRA3",5.3,5.183,5.085,4.806,4.455,4.577,4.6,4.9,5.02,4.917,5.174,5.314,5.485,5.735,5.725,6.106,6.236,7.311,7.645,8.332,8.518,8.922,9.18,9.68,10.156,10.906,11.236,11.919,12.586,13.572,14.598,14.785,15.442,16.832,17.946,19.978,20.889,22.027,23.055,24.844,26.686
"68","61","      Outpatient services","DOUTRA3",5.758,5.388,5.133,4.732,4.329,4.551,4.53,4.935,5.042,4.783,5.072,5.189,5.403,5.6,5.429,5.911,6.059,7.457,7.955,8.793,8.777,9.096,9.405,9.78,10.219,11.023,11.103,11.662,12.263,13.151,13.993,14.465,14.904,16.129,16.921,19.381,20.048,20.213,20.084,20.816,21.744
"69","62","        Physician services (44)","DPHYRA3",6.454,6.081,5.819,5.457,5.07,5.398,5.477,6.017,6.165,5.803,6.079,6.19,6.368,6.604,6.322,7.181,7.27,9.151,10.181,11.272,11.32,11.743,12.239,12.648,13.158,14.166,14.064,14.786,15.517,16.806,17.541,17.853,17.978,19.189,19.985,22.91,23.189,23.182,24.026,24.756,26.182
"70","63","        Dental services (45)","DDENRA3",14.618,13.659,13.013,11.813,10.542,10.977,10.475,11.297,11.546,11.273,12.353,12.893,13.973,14.413,14.389,14.169,14.703,17.279,16.382,18.045,17.717,18.327,18.623,19.961,21.208,23.236,24.424,25.577,26.871,27.804,27.875,28.426,29.483,30.786,30.437,34.484,35.433,36.166,38.853,40.463,43.944
"71","64","        Paramedical services (46)","DPMSRA3",2.079,1.895,1.773,1.565,1.404,1.416,1.401,1.492,1.501,1.389,1.457,1.457,1.458,1.529,1.467,1.634,1.742,2.118,2.324,2.563,2.56,2.647,2.714,2.741,2.83,2.977,2.954,3.11,3.317,3.637,4.813,5.45,6.1,7.262,8.331,9.622,10.68,10.903,8.751,9.208,8.748
"72","65","      Hospital and nursing home services","DHPNRA3",3.997,4.423,4.675,4.665,4.442,4.351,4.464,4.526,4.664,4.896,5.069,5.248,5.317,5.664,5.993,6.14,6.223,6.624,6.66,7.067,7.547,8.051,8.218,8.855,9.351,9.97,10.637,11.453,12.168,13.228,14.447,14.23,15.128,16.643,18.102,19.452,20.617,22.944,25.427,28.48,31.392
"73","66","        Hospitals (51)","DHSPRA3",4.858,5.375,5.681,5.67,5.399,5.288,5.425,5.501,5.669,5.95,6.16,6.379,6.462,6.884,7.284,7.462,7.563,8.051,8.095,8.589,9.172,9.785,9.987,10.762,11.365,12.117,12.928,13.92,14.789,16.077,17.545,16.603,17.37,18.966,20.301,21.167,22.634,24.916,27.376,30.43,33.073
