"","Table 7#14# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","  Posttabulation amendments and revisions \1\","B1201C1",2,2,3,2.5,2.4,1.9,2.9,2.5,1.5,0.5,-1.3,-0.5,0.7,-4.5,-7.6,-15.5,-19.2,-19,-4.2,-4.1,-6,0.1,0.2,-6.7,-24.2,-42.4,-45.8,-71.5,-84.6,-81.6,-97.6,-111.3,-90.3,-109.8,-150.1,-201,-296.5,-353.2,-331.1,-70.1,-129.8,-267.4,-245.1,-340.5,"....."
"12","4","  Depletion on domestic minerals","B1202C1",0.4,0.4,0.4,0.4,0.4,0.9,0.8,0.7,0.8,0.8,1.2,1.3,1.5,2.2,1.6,1.3,1.5,1.4,1,1,1,1.2,1,0.9,0.8,0.8,0.8,0.9,0.9,0.7,0.8,1.1,1.1,1,1.1,1.5,1.9,1.9,1.8,2.5,1.4,2,2.3,2.2,"....."
"13","5","  Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1203C1",0,0,0,0,0,0.2,0.7,0.7,1.5,2.2,1.7,4,8.7,7.7,1.2,-0.9,-1.9,-2.5,-2.4,-2.1,-1.1,-1.1,-2.6,-1.8,-1.2,0.8,0.8,0.7,2.9,4.1,1.2,0.9,6.5,7.8,11.2,12.1,25.5,27.9,17.1,17.4,-4,2.5,5.6,12,"....."
"14","6","  Bad debt expense","B1205C1",0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.1,1.4,1.9,2,2.3,2.8,4.5,3.8,3.9,3.7,3.6,4.6,6.1,6.9,8.3,9.5,10.8,13.4,15.2,13.5,14,15.3,12.3,21.2,32.2,40.3,32.6,14.8,25,"....."
"15","7","  Income received by fiduciaries","B1206C1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.5,1.6,1.7,1.8,"....."
"16","8","  Income of tax-exempt cooperatives","B1207C1",0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.6,1.9,1.6,1.6,2.2,2.5,2.6,2.2,2.5,2.6,2.6,3.1,3.2,3,3.3,2.6,2,1.9,2,1.8,1.8,2.9,3.1,3.7,4.4,5.2,5.6,5.8,6.2,6.9,"....."
"17","9","  Adjustment to depreciate expenditures for intellectual property products \2\","Y370RC1",0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.4,0.3,0.6,0.8,0.9,1.1,0.9,1,1.4,1.7,1.7,2,2.3,2.4,1.9,2.1,1.9,2,1.8,2,2.3,3.6,5.2,7.3,9,8.4,7.8,7.1,6.5,7.1,7.3,7.6,8.6,6,5.3,5.1,5.5,"....."
"18","10","  Disaster adjustments (net) \3\","W778RC1",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,-1.2,-2.6,0,0,-1,0,0,0,-1.3,"....."
"19","11","Equals: Nonfarm proprietors' income, NIPAs","B046RC1",65,65.9,71.8,79,85.5,92.8,98.9,116.2,130.7,148.3,159.1,161.7,157.2,154.4,167.8,185.3,189.1,197.9,228.1,270.4,280.2,303.7,313,349.7,381.3,411.7,449.5,490.5,526,579.5,627.7,674,730.4,763,768.9,816.1,871,947.8,865.5,838.5,796.8,842.9,885.7,1031.7,"1,087.4"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","payments written off, of adjustments for corporate partners and statutory employees, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","interest income, and of margins on owner-built housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Intellectual property consists of software, research and development, and entertainment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","literary, and artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Consists of disaster losses valued at historic-cost less net insurance receipts for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
