"","Table 7#15# Relation of Net Farm Income in the National Income a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","  Farm housing expenses excluding depreciation","B1007C1",1.1,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.7,1.8,1.8,1.9,2,2,2.2,2.3,2.5,2.5,2.4,2.6,2.7,2.7,2.8,2.9,3.2,3.7,3.9,4.1,4.2,4.4,4.8,5.7,6.1,6.4,6.8,7.3,7.7,8,9.7,9.9,10.1,10.3,10.5,10.6,11.1
"12","4","  Monetary interest received by farm corporations","B1450C1",0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.4,0.3,0.4,0.3,0.3,0.4,0.5,0.4,0.3,0.3,0.2,0.2,0.1
"13","5","  Valuation adjustment, Commodity Credit Corporation loans","B2637C1",-0.1,0,0,-0.1,-0.9,-0.8,0,0.1,-0.1,-0.3,-0.4,-0.3,-0.8,-1.2,-2.2,0.2,-1.1,-0.9,0,-1.5,-0.2,-0.1,-0.1,-0.4,-0.1,-0.4,-0.9,-0.6,0.3,0,-0.1,0.4,0,0,1.7,-0.9,-0.1,3.7,-0.3,-2.9,-0.6,1.4,-0.1,0,0.3
"14","6","  Change in farm materials and supplies inventories","W250RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,1.3,-0.3,1.2,-1.9,0.9,0.4,0.5,-1.1,0.6,-0.6,1.2,-0.2,-0.2,0.3,-0.3,-0.2,-0.5,0.1,-0.5,-0.4,-0.5,0.7
"15",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Consumption of fixed capital, NIPAs","B366RC1",4.8,5.1,5.4,5.8,6.4,7.5,8.9,10,11.2,12.5,14.3,16.4,18,19.1,18.9,18.6,18.2,17.9,17.4,17.3,17.6,17.9,18.3,18.3,18.3,18.8,19.6,20.3,21.1,22.1,22.6,22.8,23.2,23.6,24.3,25.8,27.8,29.5,31,32.9,34.2,35,35.1,36.7,38
"17","8","  Gross rental value of farm housing, USDA","B2638C1",3,3.3,3.5,3.7,4.1,4.9,5.4,6.1,7.3,8.1,9.3,11,12.6,13.1,12.6,4.9,4.7,4.6,5,7.7,7.2,7.2,7.2,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,19.5,20.6,20.5,20.7,21.2,22.4,23.3,24.6
"18","9","  Patronage dividends received from cooperatives","B2639C1",0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.6,0.8,0.6,0.6,0.6,0.6,0.2,0.2,0.2,0.3,0.3,0.7,0.4,0.4,0.4,0.7,1,0.8
"19","10","  Other \1\","B1451C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.8,1,1.7,1.8,1.7,1.9,2.6,2,1.3,1.8,2,1,1.8,1.8,1.8,2,1.6,0.7,0.8,0.4,0.6,0.7,-2.4,-2.1,-2.1
"20","11","  Statistical differences \2\","W713RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,1.1,0.4,-3.3,0.4,3.2,-1.2,-3.1,-0.1,0.1,0.1
"21","12","Equals: Farm proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1",13.6,13.6,14.2,18.4,32.5,25.1,24.2,18.6,17.4,22.5,25.5,11.9,21.5,14,3.7,23.3,23.7,25.9,33.1,30.9,39.8,39.1,32.1,43.1,37.8,44,26.4,48.4,41.2,35.5,33.8,39,40.4,26.5,49.6,68.5,60.4,45.9,50.4,59.6,42.4,62.5,100.9,95.4,112.6
"22","13","  Proprietors' income","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,26.8,34.8,31.4,34.7,22,37.3,32.4,28.4,28.1,31.5,32.1,19.9,38,50.4,46.4,36,38.1,47,35.5,46,75.5,72.3,83.2
"23","14","  Corporate profits","B1023C1",0.7,0.7,0.8,1.3,3.4,1.7,2.2,1.4,1.5,2.6,3.4,0.2,2.5,0.7,-2.5,2.4,2.7,3.1,4.2,4.1,6.8,7,5.3,8.4,6.5,9.3,4.4,11.1,8.9,7.1,5.7,7.5,8.3,6.6,11.6,18.1,14,9.9,12.3,12.7,6.9,16.5,25.4,23.1,29.5
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Consists largely of salaries paid to certain farm operators.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Statistical differences result from updates to the USDA farm income estimates that have not yet been incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","into the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","USDA U.S. Department of Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
