"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","2","Personal consumption expenditures","DPCERY2",2.21,1.39,2.29,3.67,2.97,-0.5,1.36,3.41,2.59,2.69,1.44,-0.19,0.91,0.86,3.54,3.32,3.25,2.63,2.14,2.66,1.86,1.31,0.15,2.38,2.24,2.52,1.94,2.28,2.45,3.45,3.44,3.32,1.71,1.72,2.1,2.59,2.36,2.04,1.5,-0.23,-1.08,1.32,1.55,1.25,1.64,1.72
"12","3","  Goods","DGDSRY2",0.92,0.23,1.23,1.9,1.51,-1.08,0.2,2.02,1.24,1.18,0.45,-0.72,0.33,0.19,1.69,1.91,1.37,1.45,0.47,0.95,0.64,0.16,-0.49,0.76,0.99,1.25,0.71,1.06,1.12,1.54,1.82,1.22,0.71,0.91,1.14,1.19,0.96,0.85,0.63,-0.58,-0.68,0.77,0.71,0.64,0.78,0.78
"13","4","    Durable goods","DDURRY2",0.33,-0.23,0.83,1.07,0.93,-0.58,0.02,1.05,0.79,0.48,-0.05,-0.68,0.08,-0.01,1.07,1.15,0.84,0.84,0.18,0.52,0.2,-0.04,-0.44,0.44,0.58,0.64,0.33,0.61,0.67,0.99,1.08,0.75,0.46,0.64,0.62,0.71,0.47,0.36,0.38,-0.41,-0.41,0.43,0.43,0.52,0.49,0.5
"14","5","      Motor vehicles and parts","DMOTRY2",0.14,-0.38,0.62,0.5,0.36,-0.62,-0.02,0.64,0.38,0.17,-0.22,-0.44,0.07,0.08,0.57,0.55,0.47,0.29,-0.17,0.22,-0.01,-0.06,-0.41,0.25,0.18,0.21,-0.05,0.16,0.23,0.35,0.32,0.11,0.18,0.19,0.1,0.09,-0.04,-0.11,0.06,-0.36,-0.16,0.04,0.07,0.17,0.12,0.19
"15","6","      Furnishings and durable household equipment","DFDHRY2",0.06,0,0.12,0.26,0.27,-0.01,-0.14,0.15,0.23,0.13,0.1,-0.09,-0.04,-0.1,0.18,0.22,0.12,0.18,0.09,0.08,0.11,-0.03,-0.05,0.07,0.1,0.1,0.09,0.08,0.09,0.15,0.22,0.19,0.1,0.15,0.14,0.19,0.14,0.1,0.02,-0.09,-0.16,0.12,0.09,0.07,0.1,0.1
"16","7","      Recreational goods and vehicles","DREQRY2",0.11,0.11,0.06,0.26,0.18,0.01,0.12,0.16,0.12,0.12,0.09,-0.07,0.04,0.01,0.24,0.27,0.18,0.26,0.21,0.18,0.08,0.04,0.06,0.11,0.25,0.28,0.27,0.3,0.3,0.38,0.42,0.35,0.2,0.24,0.28,0.33,0.3,0.29,0.25,0.07,-0.03,0.22,0.2,0.22,0.2,0.17
"17","8","      Other durable goods","DODGRY2",0.03,0.04,0.04,0.05,0.11,0.04,0.05,0.1,0.06,0.05,-0.01,-0.09,0.01,0,0.08,0.1,0.07,0.11,0.04,0.04,0.01,0.01,-0.05,0.02,0.05,0.05,0.02,0.07,0.05,0.1,0.12,0.09,-0.02,0.06,0.1,0.09,0.08,0.08,0.05,-0.04,-0.06,0.05,0.06,0.06,0.07,0.04
"18","9","    Nondurable goods","DNDGRY2",0.58,0.47,0.39,0.83,0.58,-0.5,0.18,0.97,0.46,0.7,0.5,-0.03,0.25,0.2,0.62,0.77,0.54,0.61,0.29,0.44,0.45,0.19,-0.05,0.32,0.41,0.61,0.38,0.45,0.45,0.55,0.74,0.48,0.26,0.27,0.51,0.48,0.5,0.49,0.25,-0.17,-0.27,0.34,0.28,0.12,0.29,0.28
"19","10","      Food and beverages purchased for off-premises consumption","DFXARY2",0.26,0.26,0.11,0.18,-0.16,-0.18,0.17,0.45,0.13,-0.04,0.12,0.09,-0.03,0.15,0.2,0.15,0.21,0.14,-0.04,0.18,0.08,0.13,-0.01,-0.03,0.05,0.17,0.03,0.06,0.05,0.08,0.22,0.13,0.07,0.02,0.12,0.12,0.2,0.16,0.07,-0.06,-0.08,0.11,0.06,0.04,0.05,0
"20","11","      Clothing and footwear","DCLORY2",0.08,-0.05,0.18,0.3,0.3,-0.08,0.1,0.18,0.2,0.39,0.21,0.11,0.22,0.06,0.24,0.28,0.15,0.25,0.13,0.1,0.18,-0.02,0,0.17,0.14,0.18,0.13,0.14,0.1,0.17,0.18,0.13,0.03,0.08,0.12,0.11,0.13,0.08,0.05,-0.01,-0.11,0.11,0.08,0.02,0.02,0.02
"21","12","      Gasoline and other energy goods","DGOERY2",0.11,0.09,0.08,0.12,0.13,-0.22,0.07,0.15,0.05,0.04,-0.08,-0.31,-0.05,0.01,0.07,0.08,0.05,0.11,0.04,0.06,0.03,-0.04,-0.02,0.08,0.05,0.03,0.03,0.03,0.04,0.04,0.03,-0.04,0,0.01,0,0.02,-0.01,0,0,-0.12,0.01,-0.02,-0.07,-0.05,0.02,0.02
"22","13","      Other nondurable goods","DONGRY2",0.13,0.16,0.02,0.23,0.31,-0.02,-0.15,0.19,0.07,0.31,0.25,0.08,0.1,-0.02,0.12,0.25,0.12,0.1,0.17,0.11,0.16,0.12,-0.03,0.1,0.17,0.24,0.2,0.21,0.27,0.26,0.31,0.26,0.16,0.16,0.27,0.23,0.18,0.26,0.14,0.02,-0.09,0.13,0.21,0.11,0.2,0.24
"23","14","  Services","DSERRY2",1.29,1.16,1.06,1.77,1.46,0.59,1.16,1.39,1.34,1.51,0.99,0.53,0.58,0.67,1.85,1.4,1.88,1.19,1.67,1.71,1.22,1.16,0.64,1.62,1.25,1.27,1.23,1.22,1.33,1.91,1.62,2.09,1,0.81,0.97,1.39,1.4,1.19,0.87,0.35,-0.4,0.55,0.84,0.61,0.86,0.94
"24","15","    Household consumption expenditures (for services)","DHCERY2",1.28,1.1,1,1.71,1.45,0.6,1.16,1.33,1.32,1.46,0.96,0.47,0.5,0.5,1.68,1.23,1.79,1.04,1.58,1.54,1.05,0.91,0.47,1.37,1.15,1.15,1.17,1.14,1.44,1.79,1.51,1.97,0.87,0.64,0.86,1.36,1.4,0.99,0.83,0.13,-0.42,0.53,0.86,0.52,0.78,0.86
"25","16","      Housing and utilities","DHUTRY2",0.54,0.38,0.44,0.55,0.48,0.47,0.33,0.3,0.29,0.5,0.37,0.36,0.16,0.09,0.25,0.39,0.45,0.28,0.32,0.4,0.29,0.22,0.25,0.24,0.32,0.39,0.36,0.28,0.26,0.36,0.35,0.38,0.31,0.08,0.16,0.3,0.49,0.24,0.12,0.13,0.14,0.16,0.16,0.08,0.16,0.1
"26","17","      Health care","DHLCRY2",0.29,0.22,0.32,0.31,0.33,0.16,0.26,0.24,0.27,0.26,0.19,0.16,0.29,0.02,0.21,0.11,0.21,0.22,0.3,0.3,0.09,0.27,0.17,0.28,0.05,0.07,0.19,0.19,0.29,0.3,0.14,0.31,0.45,0.56,0.27,0.36,0.34,0.24,0.25,0.23,0.19,0.15,0.28,0.37,0.24,0.3
"27","18","      Transportation services","DTRSRY2",0.11,0.06,0.08,0.11,0.03,0.01,0.02,0.1,0.14,0.05,0.06,-0.12,-0.07,-0.04,0.14,0.22,0.21,0.09,0.09,0.12,0.05,0,-0.1,0.1,0.12,0.2,0.17,0.19,0.18,0.11,0.14,0.12,-0.02,-0.07,0.02,0.06,0.02,0.01,0.02,-0.11,-0.21,-0.02,0.05,0.04,0.05,0.05
"28","19","      Recreation services","DRCARY2",0.07,0.04,0.04,0.07,0.11,0.09,0.07,0.1,0.09,0.07,0.07,0.05,0.12,0.07,0.13,0.11,0.12,0.08,0.08,0.17,0.12,0.09,-0.01,0.14,0.14,0.11,0.17,0.11,0.08,0.08,0.12,0.07,0,0.01,0.08,0.13,0.06,0.09,0.1,-0.02,-0.09,0.03,0.06,0.04,0.06,0
"29","20","      Food services and accommodations","DFSARY2",0.08,0.13,0,0.29,0.19,-0.04,0.16,0.25,0.11,0.18,0.13,0,0.04,0.03,0.14,0.12,0.05,0.12,0.21,0.25,0.12,0.15,0,0.11,0.1,0.07,0.01,0.02,0.09,0.1,0.1,0.18,-0.01,0.06,0.15,0.16,0.14,0.13,0.05,-0.04,-0.17,0.06,0.11,0.11,0.09,0.13
"30","21","      Financial services and insurance","DIFSRY2",0.04,0.1,0.11,0.17,0.17,0.07,0.28,0.17,0.2,0.17,0.1,0.04,-0.03,0.25,0.51,0.04,0.43,0.2,0.24,0.09,0.22,0.1,0.34,0.31,0.32,0.11,0.16,0.17,0.26,0.44,0.5,0.53,-0.11,-0.03,0.01,0.2,0.27,0.12,0.16,-0.04,-0.13,0.11,0.09,-0.23,0.1,0.21
"31","22","      Other services","DOTSRY2",0.15,0.16,0.02,0.22,0.14,-0.16,0.04,0.18,0.23,0.25,0.04,-0.02,-0.02,0.09,0.3,0.24,0.32,0.05,0.34,0.2,0.16,0.09,-0.18,0.19,0.11,0.2,0.11,0.18,0.29,0.39,0.17,0.38,0.25,0.03,0.16,0.14,0.07,0.17,0.12,-0.02,-0.15,0.04,0.12,0.11,0.07,0.07
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRY2",0.01,0.06,0.06,0.05,0.01,-0.02,0.01,0.06,0.02,0.05,0.03,0.05,0.09,0.17,0.17,0.18,0.09,0.14,0.09,0.17,0.17,0.24,0.17,0.25,0.11,0.11,0.06,0.08,-0.11,0.12,0.11,0.12,0.13,0.17,0.11,0.03,0,0.2,0.05,0.22,0.02,0.02,-0.02,0.09,0.07,0.08
"33","24","      Gross output of nonprofit institutions \2\","DNPERY2",0.17,0.17,0.25,0.21,0.11,0.05,0.15,0.22,0.16,0.22,0.12,0.13,0.18,0.2,0.19,0.17,0.17,0.24,0.2,0.28,0.19,0.32,0.21,0.32,0.15,0.13,0.08,0.15,0.09,0.28,0.2,0.23,0.29,0.38,0.14,0.18,0.17,0.26,0.16,0.22,0.12,0.09,0.08,0.23,0.13,0.18
"34","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRY2",0.16,0.11,0.19,0.16,0.1,0.06,0.14,0.16,0.14,0.18,0.08,0.08,0.1,0.02,0.02,0,0.08,0.09,0.11,0.11,0.02,0.08,0.04,0.07,0.05,0.02,0.02,0.08,0.2,0.16,0.1,0.11,0.16,0.21,0.03,0.14,0.17,0.06,0.11,0,0.1,0.08,0.1,0.14,0.06,0.11
"35","26","Gross private domestic investment","A006RY2",0.93,-1.03,1.63,1.9,1.95,-1.24,-2.9,2.91,2.47,2.21,0.71,-2.07,1.63,-2.55,1.6,4.73,-0.01,0.03,0.53,0.45,0.72,-0.45,-1.09,1.11,1.23,1.9,0.55,1.49,2,1.76,1.6,1.25,-1.19,-0.11,0.71,1.55,1.2,0.42,-0.61,-1.71,-3.52,1.66,0.73,1.33,0.76,0.93
"36","27","  Fixed investment","A007RY2",0.93,-0.33,1.07,1.84,1.47,-0.98,-1.67,1.54,2.23,2.09,1.11,-1.18,0.5,-1.25,1.32,2.83,1.02,0.34,0.11,0.58,0.55,-0.25,-0.84,0.83,1.16,1.29,1,1.48,1.48,1.8,1.62,1.31,-0.3,-0.64,0.69,1.18,1.24,0.37,-0.37,-1.22,-2.77,0.21,0.86,1.17,0.7,0.83
"37","28","    Nonresidential","A008RY2",0.79,-0.1,-0.01,0.97,1.5,0.1,-1.13,0.66,1.26,1.72,1.33,0,0.87,-0.53,-0.06,2.18,0.91,-0.24,0.01,0.63,0.71,0.14,-0.48,0.34,0.84,0.91,1.15,1.13,1.37,1.42,1.32,1.27,-0.34,-0.93,0.23,0.62,0.83,0.87,0.76,-0.09,-2.04,0.28,0.85,0.84,0.37,0.78
"38","29","      Structures","A009RY2",0.19,0.01,-0.06,0.12,0.3,-0.08,-0.42,0.09,0.15,0.52,0.51,0.26,0.39,-0.09,-0.56,0.58,0.31,-0.49,-0.11,0.02,0.07,0.05,-0.37,-0.18,-0.01,0.05,0.16,0.15,0.21,0.15,0,0.23,-0.05,-0.56,-0.1,-0.01,0.04,0.2,0.39,0.21,-0.7,-0.49,0.06,0.32,-0.01,0.22
"39","30","      Equipment","Y033RY2",0.51,-0.11,0.05,0.74,1.12,0.14,-0.73,0.39,1,1.07,0.62,-0.35,0.28,-0.57,0.32,1.29,0.39,0.08,0.03,0.43,0.35,-0.14,-0.28,0.34,0.73,0.75,0.78,0.65,0.76,0.91,0.89,0.7,-0.31,-0.36,0.19,0.44,0.56,0.51,0.19,-0.42,-1.29,0.7,0.66,0.37,0.26,0.36
"40","31","        Information processing equipment","Y034RY2",0.22,0.13,0.09,0.18,0.23,0.19,-0.05,0.2,0.35,0.48,0.35,0.31,0.31,0.02,0.35,0.6,0.24,0.18,0.1,0.21,0.22,0.03,0.04,0.3,0.29,0.3,0.45,0.49,0.5,0.58,0.55,0.53,-0.03,-0.11,0.19,0.2,0.17,0.25,0.23,0.01,-0.17,0.17,0.03,0.06,0.05,0.05
"41","32","          Computers and peripheral equipment","B935RY2",0.08,0.05,0.07,0.12,0.02,0.07,0,0.09,0.1,0.23,0.18,0.19,0.22,0.01,0.27,0.37,0.18,0.11,0.17,0.1,0.15,-0.01,0.05,0.21,0.17,0.16,0.33,0.34,0.36,0.38,0.36,0.2,0.02,0.04,0.07,0.08,0.07,0.13,0.08,0.03,0,0.05,-0.01,0.02,0,-0.01
"42","33","          Other","A937RY2",0.14,0.08,0.01,0.06,0.21,0.12,-0.05,0.11,0.24,0.25,0.18,0.11,0.09,0.01,0.08,0.23,0.05,0.07,-0.07,0.11,0.07,0.04,-0.01,0.09,0.11,0.14,0.12,0.15,0.14,0.2,0.19,0.33,-0.06,-0.15,0.13,0.13,0.1,0.12,0.15,-0.03,-0.17,0.12,0.04,0.03,0.05,0.06
"43","34","        Industrial equipment","A680RY2",0.12,0.03,-0.15,0.13,0.3,0.14,-0.32,0.01,0.11,0.21,0.15,-0.09,-0.03,-0.18,-0.15,0.23,0.08,-0.01,-0.04,0.08,0.11,-0.1,-0.1,0.03,0.12,0.13,0.15,0.06,0.04,0.07,0.01,0.13,-0.12,-0.1,0.01,-0.02,0.1,0.1,0.04,-0.07,-0.29,-0.01,0.22,0.05,0.05,0.16
"44","35","        Transportation equipment","A681RY2",0.07,-0.33,0.12,0.25,0.34,-0.18,-0.24,0.17,0.35,0.2,0.09,-0.38,-0.05,-0.18,0.17,0.28,0.06,-0.06,-0.08,0.08,-0.14,-0.02,-0.03,0.03,0.22,0.22,0.11,0.05,0.11,0.13,0.29,-0.04,-0.15,-0.14,-0.1,0.16,0.16,0.1,-0.06,-0.3,-0.56,0.43,0.29,0.21,0.08,0.16
"45","36","        Other equipment","A862RY2",0.09,0.06,0,0.18,0.25,-0.02,-0.12,0.01,0.2,0.18,0.04,-0.19,0.05,-0.23,-0.06,0.18,0.01,-0.03,0.04,0.06,0.15,-0.05,-0.2,-0.01,0.1,0.09,0.06,0.05,0.12,0.13,0.04,0.08,-0.01,-0.01,0.09,0.09,0.13,0.06,-0.02,-0.07,-0.27,0.1,0.13,0.05,0.07,0
"46","37","      Intellectual property products","Y001RY2",0.09,0,0.01,0.11,0.08,0.05,0.01,0.18,0.11,0.12,0.2,0.09,0.21,0.12,0.17,0.3,0.21,0.17,0.1,0.18,0.29,0.22,0.18,0.17,0.12,0.11,0.21,0.33,0.41,0.36,0.44,0.34,0.02,-0.02,0.14,0.19,0.23,0.16,0.17,0.11,-0.05,0.07,0.13,0.15,0.13,0.19
"47","38","        Software \4\","B985RY2",0.05,0.05,0.01,0.03,0.03,0.04,0.04,0.02,0.01,0.05,0.06,0.05,0.05,0.06,0.07,0.12,0.09,0.06,0.08,0.11,0.18,0.13,0.1,0.14,0.1,0.09,0.09,0.17,0.3,0.25,0.32,0.23,0.01,0,0.11,0.16,0.1,0.07,0.1,0.08,0,-0.02,0.11,0.1,0.05,0.07
"48","39","        Research and development \5\","Y006RY2",0.07,0,0,0.05,0.07,0,-0.02,0.07,0.06,0.08,0.08,0.07,0.08,0.06,0.08,0.14,0.12,0.06,0.03,0.06,0.09,0.08,0.07,0,-0.01,0,0.07,0.13,0.09,0.08,0.1,0.08,0.02,-0.04,-0.01,0.01,0.08,0.09,0.09,0.05,-0.04,0.04,0.02,0.03,0.06,0.11
"49","40","        Entertainment, literary, and artistic originals","Y020RY2",-0.03,-0.05,-0.01,0.03,-0.02,0,-0.01,0.09,0.05,-0.01,0.06,-0.04,0.07,0,0.02,0.05,0,0.05,-0.01,0,0.02,0.02,0,0.02,0.03,0.03,0.04,0.04,0.02,0.03,0.02,0.03,-0.02,0.03,0.04,0.01,0.04,0.01,-0.01,-0.02,-0.01,0.05,0,0.02,0.01,0.01
"50","41","    Residential","A011RY2",0.14,-0.22,1.08,0.87,-0.04,-1.08,-0.54,0.88,0.97,0.38,-0.22,-1.18,-0.37,-0.72,1.38,0.65,0.11,0.58,0.1,-0.05,-0.16,-0.38,-0.35,0.49,0.32,0.38,-0.15,0.35,0.11,0.38,0.29,0.03,0.04,0.29,0.47,0.56,0.41,-0.5,-1.13,-1.12,-0.73,-0.07,0.01,0.33,0.33,0.05
"51","42","  Change in private inventories","A014RY2",0,-0.7,0.56,0.06,0.48,-0.26,-1.23,1.37,0.24,0.12,-0.4,-0.89,1.13,-1.3,0.28,1.9,-1.03,-0.31,0.41,-0.13,0.17,-0.21,-0.25,0.28,0.07,0.61,-0.44,0.02,0.52,-0.04,-0.02,-0.05,-0.89,0.53,0.02,0.37,-0.04,0.04,-0.23,-0.49,-0.76,1.45,-0.14,0.15,0.06,0.1
"52","43","    Farm","B018RY2",-0.14,-0.07,0.22,-0.12,0.09,-0.23,0.4,-0.22,0.3,-0.12,0.1,-0.34,0.5,-0.05,-0.6,0.57,0.03,-0.15,-0.11,-0.05,0.23,0.05,-0.06,0.13,-0.19,0.26,-0.31,0.26,-0.05,-0.02,-0.04,0.01,0.02,-0.02,0.03,0.07,-0.06,-0.03,0.03,0.01,-0.02,-0.04,0.07,-0.07,0.13,0
"53","44","    Nonfarm","A015RY2",0.14,-0.63,0.33,0.17,0.39,-0.03,-1.63,1.59,-0.05,0.24,-0.49,-0.55,0.63,-1.25,0.87,1.33,-1.07,-0.16,0.52,-0.09,-0.06,-0.25,-0.2,0.15,0.26,0.35,-0.13,-0.25,0.57,-0.03,0.02,-0.06,-0.91,0.55,-0.01,0.3,0.02,0.07,-0.26,-0.5,-0.74,1.49,-0.2,0.22,-0.07,0.1
"54","45","Net exports of goods and services","A019RY2",-0.03,0.33,-0.18,-0.19,0.79,0.73,0.86,-1.05,-0.7,0.04,0.64,1.64,-0.15,-0.59,-1.32,-1.54,-0.39,-0.29,0.17,0.81,0.51,0.4,0.62,-0.04,-0.56,-0.4,0.12,-0.15,-0.31,-1.13,-0.97,-0.82,-0.22,-0.64,-0.42,-0.66,-0.34,-0.08,0.58,1.11,1.19,-0.46,-0.02,0.04,0.22,-0.23
"55","46","  Exports","A020RY2",0.25,0.54,0.1,0.42,1.08,0.56,-0.05,0.36,0.19,0.8,0.8,0.95,0.12,-0.71,-0.21,0.61,0.24,0.53,0.76,1.22,0.97,0.78,0.6,0.66,0.31,0.84,1.02,0.86,1.26,0.25,0.27,0.88,-0.61,-0.16,0.16,0.89,0.61,0.9,0.99,0.67,-1.07,1.33,0.87,0.44,0.41,0.42
"56","47","    Goods","A253RY2",0.2,0.42,0,0.43,1.05,0.48,-0.14,0.34,0.12,0.64,0.69,0.88,-0.05,-0.63,-0.21,0.41,0.19,0.28,0.61,0.98,0.71,0.56,0.45,0.52,0.22,0.65,0.83,0.68,1.1,0.17,0.31,0.74,-0.47,-0.24,0.12,0.55,0.5,0.67,0.57,0.5,-1.03,1.08,0.57,0.34,0.26,0.37
"57","48","    Services","A646RY2",0.05,0.11,0.1,-0.01,0.02,0.08,0.09,0.02,0.07,0.17,0.11,0.07,0.17,-0.08,0,0.2,0.05,0.25,0.15,0.24,0.26,0.22,0.16,0.14,0.09,0.19,0.19,0.18,0.15,0.08,-0.04,0.13,-0.14,0.07,0.04,0.33,0.11,0.24,0.42,0.17,-0.04,0.25,0.29,0.1,0.15,0.05
"58","49","  Imports","A021RY2",-0.28,-0.21,-0.28,-0.61,-0.28,0.17,0.91,-1.4,-0.89,-0.76,-0.16,0.69,-0.27,0.12,-1.1,-2.15,-0.63,-0.82,-0.59,-0.41,-0.46,-0.37,0.01,-0.7,-0.87,-1.24,-0.89,-1.01,-1.57,-1.39,-1.24,-1.7,0.4,-0.47,-0.59,-1.55,-0.94,-0.99,-0.41,0.44,2.26,-1.79,-0.89,-0.4,-0.19,-0.65
"59","50","    Goods","A255RY2",-0.2,-0.14,-0.32,-0.55,-0.33,0.17,0.85,-1.31,-0.82,-0.65,-0.13,0.66,-0.18,0.2,-0.98,-1.78,-0.5,-0.8,-0.38,-0.35,-0.37,-0.25,-0.04,-0.75,-0.82,-1.14,-0.84,-0.91,-1.4,-1.18,-1.3,-1.45,0.38,-0.41,-0.54,-1.27,-0.84,-0.78,-0.25,0.54,2.15,-1.69,-0.78,-0.3,-0.13,-0.56
"60","51","    Services","A656RY2",-0.08,-0.07,0.04,-0.06,0.05,0,0.06,-0.1,-0.07,-0.1,-0.02,0.03,-0.09,-0.08,-0.12,-0.38,-0.13,-0.02,-0.21,-0.07,-0.09,-0.12,0.05,0.05,-0.05,-0.1,-0.06,-0.1,-0.17,-0.21,0.06,-0.25,0.01,-0.07,-0.05,-0.27,-0.11,-0.2,-0.16,-0.1,0.1,-0.1,-0.11,-0.1,-0.06,-0.09
"61","52","Government consumption expenditures and gross investment","A822RY2",0.04,-0.49,-0.44,-0.11,-0.07,0.49,0.49,0.12,0.26,0.61,0.38,0.38,0.2,0.38,0.81,0.76,1.38,1.14,0.63,0.28,0.59,0.66,0.25,0.11,-0.17,0.02,0.1,0.18,0.35,0.38,0.61,0.34,0.67,0.81,0.42,0.31,0.12,0.29,0.3,0.54,0.64,0.02,-0.65,-0.3,-0.39,-0.03
"62","53","  Federal","A823RY2",-0.33,-0.8,-0.8,-0.37,-0.4,0.07,0.05,0.02,0.21,0.24,0.21,0.4,0.43,0.36,0.67,0.35,0.8,0.61,0.39,-0.13,0.16,0.2,0,-0.14,-0.31,-0.3,-0.21,-0.09,-0.06,-0.06,0.13,0.02,0.24,0.46,0.47,0.33,0.13,0.18,0.12,0.5,0.44,0.37,-0.24,-0.15,-0.45,-0.14
"63","54","    National defense","A824RY2",-0.44,-0.83,-0.97,-0.59,-0.4,-0.07,-0.07,-0.03,0.06,0.05,0.16,0.23,0.4,0.48,0.53,0.39,0.64,0.52,0.38,-0.02,-0.02,0.02,-0.07,-0.3,-0.31,-0.28,-0.21,-0.08,-0.13,-0.09,0.06,-0.04,0.13,0.28,0.36,0.27,0.09,0.09,0.11,0.36,0.27,0.18,-0.13,-0.18,-0.33,-0.1
"64","55","      Consumption expenditures","A997RY2",-0.3,-0.66,-0.58,-0.46,-0.46,-0.16,-0.12,-0.12,0.03,0.04,0.04,0.14,0.25,0.28,0.25,0.14,0.28,0.28,0.19,0.12,0.03,0.02,0.08,-0.21,-0.16,-0.19,-0.16,-0.07,-0.05,-0.09,0.05,-0.04,0.09,0.17,0.26,0.18,0.04,0.04,0.06,0.25,0.25,0.16,-0.07,-0.12,-0.24,-0.03
"65","56","      Gross investment","A788RY2",-0.14,-0.16,-0.38,-0.14,0.05,0.09,0.05,0.08,0.03,0.01,0.12,0.1,0.15,0.19,0.28,0.25,0.36,0.23,0.19,-0.14,-0.05,0,-0.14,-0.09,-0.15,-0.08,-0.05,-0.01,-0.07,0,0.01,0.01,0.05,0.11,0.1,0.09,0.05,0.06,0.06,0.1,0.02,0.02,-0.06,-0.06,-0.09,-0.07
"66","57","    Nondefense","A825RY2",0.11,0.03,0.17,0.22,0.01,0.14,0.12,0.05,0.15,0.19,0.05,0.16,0.03,-0.11,0.14,-0.04,0.16,0.09,0.01,-0.12,0.18,0.18,0.06,0.16,0,-0.02,0,-0.01,0.07,0.03,0.07,0.05,0.11,0.18,0.11,0.05,0.03,0.09,0.01,0.14,0.17,0.19,-0.11,0.03,-0.12,-0.04
