"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","  Nonfarm \2\","B358RA3",12.17,12.468,12.15,12.774,12.913,12.896,13.006,12.953,12.866,12.782,12.957,12.828,13.374,13.86,14.62,14.778,15.059,15.137,15.33,15.371,15.535,15.444,15.483,16.205,16.5,16.575,16.487,16.157,15.966,15.965,16.188,16.589,17.176,17.448,17.697,17.848,17.724,17.835,17.761,18.047,18.272,18.166,18.338,18.013,17.347,17.428,17.973,18.547,18.953,19.566,19.494,19.456,20.035,19.788,19.714,19.287,19.41,19.921,20.304,20.764,21.187,21.413,21.641,21.647,21.906,22.258,22.773,22.967,23.626,23.879,24.217,24.211,24.945,25.341,25.852,26.589,27.342,27.428,27.594,27.706,27.893,27.825,28.015,28.232,28.917,29.475,29.66,29.786,30.305,30.336,30.507
"12","4","  Farm","B359RA3",19.804,16.604,21.266,16.032,17.509,22.571,21.876,22.891,20.158,20.439,20.55,20.135,22.517,22.312,20.285,20.495,18.785,20.05,21.329,20.606,20.223,21.292,22.37,21.096,22.29,23.407,21.923,21.64,23.386,23.488,22.946,22.584,22.601,24.377,24.574,22.984,22.722,23.595,23.455,24.761,21.871,22.188,22.488,24.224,24.456,24.803,23.171,21.602,23.575,22.794,22.6,24.429,22.417,23.528,25.692,26.968,26.355,24.936,24.381,23.829,24.115,24.787,24.085,24.606,26.626,25.377,24.434,24.25,23.139,23.878,24.755,25.705,26.054,25.047,26.659,26.012,26.549,25.166,23.394,25.017,26.661,27.197,27.277,26.947,26.263,25.904,25.928,26.191,26.717,26.862,27.24
"13","5","Households and institutions","B193RA3",9.878,9.93,10.037,10.192,10.39,10.574,10.744,10.895,11.026,11.19,11.384,11.606,11.855,12.092,12.316,12.527,12.717,12.913,13.105,13.292,13.497,13.691,13.893,14.109,14.316,14.531,14.727,14.906,15.089,15.306,15.571,15.886,16.245,16.577,16.88,17.157,17.401,17.643,17.875,18.1,18.325,18.559,18.812,19.084,19.364,19.641,19.902,20.151,20.364,20.679,21.028,21.428,21.77,22.139,22.44,22.759,22.956,22.982,23.213,23.686,23.984,24.296,24.653,25.02,25.157,25.342,25.627,25.834,26.084,26.45,26.687,26.971,27.26,27.617,28.083,28.485,28.719,28.866,29.321,29.624,29.819,30.129,30.508,30.925,31.286,31.69,32.088,32.421,32.806,33.185,33.445
"14","6","  Households","B701RA3",9.982,10.028,10.101,10.195,10.308,10.436,10.573,10.719,10.871,11.058,11.279,11.531,11.81,12.079,12.335,12.578,12.8,13.025,13.244,13.457,13.693,13.909,14.127,14.358,14.573,14.8,15.007,15.195,15.391,15.626,15.916,16.264,16.662,17.026,17.357,17.654,17.915,18.174,18.423,18.664,18.908,19.153,19.41,19.682,19.952,20.237,20.516,20.793,21.04,21.37,21.702,22.069,22.324,22.661,22.962,23.34,23.617,23.621,23.873,24.427,24.687,24.992,25.373,25.8,25.916,26.09,26.401,26.591,26.823,27.241,27.434,27.715,27.959,28.303,28.781,29.198,29.302,29.38,29.893,30.251,30.465,30.755,31.05,31.323,31.414,31.621,31.872,32.144,32.525,32.959,33.269
"15","7","  Nonprofit institutions serving households \3\","B702RA3",9.724,9.792,9.993,10.316,10.754,11.1,11.358,11.527,11.602,11.702,11.826,11.97,12.137,12.288,12.426,12.554,12.663,12.781,12.899,13.019,13.146,13.286,13.444,13.62,13.809,13.993,14.163,14.32,14.468,14.639,14.839,15.069,15.328,15.574,15.807,16.029,16.231,16.432,16.623,16.806,16.983,17.193,17.436,17.71,18.019,18.279,18.496,18.674,18.8,19.081,19.478,19.965,20.528,20.978,21.281,21.454,21.454,21.536,21.716,21.993,22.384,22.715,23.016,23.24,23.43,23.64,23.867,24.111,24.403,24.652,24.988,25.279,25.67,26.055,26.49,26.857,27.37,27.669,27.998,28.188,28.346,28.696,29.243,29.945,30.855,31.662,32.357,32.808,33.192,33.455,33.616
"16","8","General government \4\","B765RA3",34.471,33.026,32.571,31.904,31.796,31.294,31.541,31.764,31.714,31.681,31.522,31.012,30.618,31.103,31.732,34.226,35.186,37.765,39.623,40.01,40.766,41.377,41.679,41.621,41.947,42.158,42.311,42.133,42.067,42.091,42.246,42.358,42.317,42.112,42.387,42.603,42.681,42.886,43.374,43.67,43.794,44.047,44.359,44.046,43.946,44.239,44.807,45.022,44.807,44.961,45.194,45.496,45.965,46.721,46.861,47.158,47.615,47.896,48.466,49.333,49.735,50.109,50.447,50.561,50.955,51.481,52.073,52.333,52.756,53.289,53.739,54.177,54.248,54.864,55.612,56.435,57.167,58.103,59.29,60.437,61.14,61.458,62.236,62.641,63.506,64.24,64.723,64.719,65.229,65.747,66.26
"17","9","  Federal","B766RA3",75.281,70.392,68.528,66.039,65.688,64.01,64.494,64.671,63.723,62.791,61.497,59.241,57.778,59.199,61.113,69.187,72.078,80.314,86.174,87.034,89.319,91.056,91.627,90.888,91.464,91.601,91.422,90.19,89.417,88.975,88.904,88.569,87.955,86.659,86.671,86.48,86.14,85.582,86.201,86.31,86.212,86.342,86.39,84.245,83.167,82.953,83.791,83.673,82.579,82.604,82.668,82.914,83.45,84.967,84.315,84.395,84.59,85.109,86.09,88.424,89.509,89.813,89.885,89.248,89.598,90.382,90.94,90.759,90.699,91.226,91.724,91.65,91.027,91.258,92.078,93.374,94.834,96.586,99.179,101.374,103.798,103.941,104.926,104.808,105.484,106.638,106.875,105.592,105.966,106.511,106.996
"18","10","  State and local","B767RA3",17.066,17.333,17.57,17.749,17.734,17.748,17.895,18.151,18.521,18.915,19.279,19.558,19.632,19.691,19.751,19.846,19.983,20.147,20.333,20.527,20.653,20.799,20.992,21.218,21.44,21.68,21.968,22.222,22.443,22.653,22.897,23.186,23.376,23.621,24.008,24.394,24.643,25.165,25.598,25.971,26.185,26.489,26.91,27.357,27.67,28.182,28.643,29.005,29.164,29.373,29.682,30.013,30.459,30.899,31.373,31.761,32.328,32.508,32.908,33.172,33.297,33.696,34.141,34.559,34.97,35.388,35.99,36.43,37.052,37.589,38.021,38.675,39.037,39.814,40.534,41.161,41.589,42.187,42.794,43.51,43.523,43.907,44.594,45.199,46.129,46.687,47.262,47.771,48.33,48.828,49.343
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",10.074,10.142,10.239,10.36,10.501,10.656,10.822,10.995,11.175,11.361,11.552,11.748,11.943,12.151,12.366,12.588,12.811,13.048,13.293,13.543,13.817,14.058,14.285,14.5,14.677,14.885,15.099,15.321,15.565,15.792,16.018,16.241,16.462,16.68,16.897,17.113,17.316,17.548,17.794,18.053,18.352,18.621,18.886,19.15,19.376,19.657,19.957,20.276,20.705,20.984,21.369,21.731,22.04,22.311,22.631,23.03,23.312,23.552,23.873,24.335,24.599,25.052,25.397,25.874,26.027,26.281,26.609,26.936,27.174,27.464,27.785,28.244,28.571,28.91,29.332,29.716,29.951,30.21,30.619,30.988,31.301,31.629,32.042,32.394,32.66,32.798,33.141,33.573,33.968,34.424,34.814
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
