"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"11","3","  Durable goods","DDURRC1",42.3,44.2,44.4,45.1,45.4,46,45.4,46.2,47.4,44.8,44.7,42.8,43.2,45.7,47.4,49.1,45.7,44.5,44.9,45.8,47.1,46.7,45.1,42.3,41.6,41.9,43.2,42.7,43.5,43.8,44.1,44.6,45,45.6,46.7,47.7,47.5,47.4,48.2,48.4,49.6,49.1,49.2,49,50.5,49,52.1,53.5,53.1,52.4,52.3,53.2,53.5,55,55.5,54.1,54.6,54.2,55.6,57.4,57.9,58.4,57.6,58.2,59.7,60.6,61.6,62.1,60.3,61.2,58.9,58,61,65.4,68.4,67.3,65.1,62,63.5,66,70.6,69.5,69.1,68.8,70.2,72.3,74.4,72.5,68.7,68,69.6,72.3,75.1,73.4,72.3,72.2,72.5,69.9,71,74.3,74,75.2,74.4,73.6,76,74.1,75.1,77.7,79.7,79.5,83.4,81.4,84,83.8,86.9,87.6,88.1,88.1,87.5,87.9,90.1,90.8,89.1,90.4,90.5,90.5,88.6,90.7,92.6,91.4,90.7,90.4
"12","4","  Nondurable goods","DNDGRC1",125.1,125.4,127.7,125.6,128,127.9,127.3,127.9,129.4,129.8,129,129.7,129.6,128.4,130.8,134.1,130.3,131.5,132.2,131.4,131.1,132.6,133.1,131.5,132.3,133.3,134.6,133.9,134.3,134.5,133.9,134.6,135.3,135.3,136.3,136.9,137.2,137.4,138.9,139,139.5,137.8,138.2,139.2,142.5,141,141.7,141.8,142.8,141.9,142.7,142.1,142.4,143.9,144.7,146.5,144.3,144,145,146.9,147.2,148.9,149.8,149.4,152.3,152.7,154.3,155.5,154.8,155.8,153.6,157.9,157.3,159,157,160,161.3,161,163.8,163.4,165,170.6,169.8,171.2,172.5,174.3,175.4,177.7,176.2,177.9,179.7,179.1,180.5,180,180.7,180.5,181.5,182.7,182.9,183.6,183.6,184.9,183.7,185.8,187.8,185.1,187.8,190.7,191.3,193,196.4,195.8,197.3,200.3,202.6,203.7,202.2,203.5,207,204.5,207.3,209.3,209.9,210.8,213.6,212.3,214.6,217.3,216,219.2,219.3,220.7
"13","5","Services","DSERRC1",139.3,140.6,141.1,142.1,143.4,144.9,145.6,146.6,148,148.8,149.7,151,151.3,151.8,152.5,153.9,154.6,154.7,154.9,155,155.8,156.8,157.9,158.1,158.9,159.2,160.6,161.7,162.8,163.3,163.2,163.6,164.8,166.3,167.6,168.5,169.2,170,171,172.4,173.7,174.2,174.8,175.4,176.5,177.3,178.7,179.1,179.3,179.8,180.6,181.7,182,183.5,184.9,186.4,187.3,188.6,189.5,191,192.4,193.6,195.2,196.1,197.3,198.9,199.8,200.9,202.3,203.4,204.7,205.9,207,207.9,208.7,210.5,212,213.1,214.6,215.8,217.3,219.2,221.1,222.5,223.3,224.5,226.1,227.7,229.2,230.6,232.3,232.8,234.5,236,238.1,240.2,241.3,241.5,243,244.5,245.8,247.8,249.7,251.5,252.8,254.1,255.6,257.9,261,262.2,265.7,267.9,269.6,273.3,274.8,276.8,279.1,281.2,283.5,285.5,287.5,290.1,291.3,294.1,297.7,299.6,300.9,303.4,306.1,309.4,312,313.2
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRC1",222.3,226.1,230.2,229.9,232.3,233.9,233.7,236,239.8,237.7,238.1,237.7,239.3,241.4,243.7,249.2,244,243.8,244.7,245.7,247.5,249.2,247.6,244.6,244.9,246.5,250.3,249.5,252.1,252.9,253.6,254.5,256.4,259.1,262.1,264.2,265,264.8,267.9,270,272.6,271.4,272.4,273.2,277.8,275.9,280.9,282.7,282.4,281.7,283.6,285.7,285.9,290.4,292.1,292.9,293.5,294,296.8,301.1,302.9,306,306.9,307.7,312.6,314.7,317.4,319.4,318.4,320.6,318.8,320.8,325.4,331,333.3,335.6,335.5,331.9,336.4,339.9,348,350,351.8,352.8,356.3,360.4,364.4,365.1,361.7,363.9,367.8,370.7,375.9,375.7,376.8,378.2,380.5,378.5,381.8,387,387.2,391.2,391.9,394.5,399.2,396,399.8,405.5,411.6,413.7,422,422.6,427.6,432.3,438.2,440.9,442.6,445.7,448.6,449.5,454.7,458.9,458.6,463.7,468.1,469.4,470,475.5,479.4,482.1,483.6,485.3
"16","7","  Food \1\","DFXARC1",61.9,61.4,60.5,60.3,61.6,61.9,61.6,61.6,62.1,62.1,61.5,62.7,61.6,61.1,62.6,63.4,62.8,62.6,63.2,62.3,62,62.6,63.8,62.6,63.5,63.8,63.9,64.1,63.8,63.9,63,63.8,64,63.6,63.5,64.2,63.8,64.5,64.6,64.2,64.6,64.3,64.3,64.9,65.8,65.1,65.1,64.7,65.4,65,65.2,64.9,65.3,65.8,66.5,66.9,65.6,66.2,66.9,66.6,67.4,67.4,68.2,68.2,69.1,69.3,70.2,70.6,70.4,70.5,70.1,72.5,71.4,72.1,71.5,72.6,73.1,73.9,74.9,75.1,74.4,78.3,77.2,78.8,78.5,79.7,80.3,81.1,80.3,80.3,81.5,80.8,81.4,80.6,81.4,81.2,81.8,81.8,82,82.1,81.5,82.3,81.4,82.7,83.3,83,83.4,85.3,84.7,85,87.4,86.8,87.8,89.2,89.9,90.5,90,90.6,92.7,91.3,92.8,93.3,93.1,93.1,95,94.1,95.2,96.6,96,98,98.3,98.8
"17","8","  Energy goods and services \2\","DNRGRC1",22.6,22.7,22.7,22.5,22.8,23,23,23.1,22.9,23.5,23.9,23,23.3,23.4,24.4,24.5,23.9,24.2,24.1,24.2,24.5,24.3,24.6,24.7,24.5,24.2,24.2,24.7,24.7,24.8,24.7,24.5,24.6,24.5,25,24.7,25.1,25.4,25.7,25.6,25.5,25.5,25.4,25.6,25.9,26.3,26.5,27,27.3,27.4,26.8,26.4,26.7,26.1,26.4,27.1,27.1,26.5,26.5,27.6,27.3,27.5,27.6,27.8,27.5,28.1,28.2,28.6,28.6,29.3,28.3,28.6,28.4,29.1,29.3,29.7,29.8,30.2,30.6,30.2,30.5,31,31,30.9,31.2,30.9,31.2,31.7,32,32.3,32.3,32.6,32.9,33,32.9,33.5,33,33.7,33,33.3,34.6,34.4,34.5,33.7,34.2,34.4,35.4,35.4,35.6,35.9,36,35.7,35.5,35.9,36.2,36.7,36.8,36.6,36.8,37,37.4,37.9,38.7,38.5,38.6,38.8,38.9,39.3,39.4,39.9,40.1,40.3
"18","9","  Market-based PCE \3\","DPCMRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
