"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","          Value added","W102RA3",34.471,33.026,32.571,31.904,31.796,31.294,31.541,31.764,31.714,31.681,31.522,31.012,30.618,31.103,31.732,34.226,35.186,37.765,39.623,40.01,40.766,41.377,41.679,41.621,41.947,42.158,42.311,42.133,42.067,42.091,42.246,42.358,42.317,42.112,42.387,42.603,42.681,42.886,43.374,43.67,43.794,44.047,44.359,44.046,43.946,44.239,44.807,45.022,44.807,44.961,45.194,45.496,45.965,46.721,46.861,47.158,47.615,47.896,48.466,49.333,49.735,50.109,50.447,50.561,50.955,51.481,52.073,52.333,52.756,53.289,53.739,54.177,54.248,54.864,55.612,56.435,57.167,58.103,59.29,60.437,61.14,61.458,62.236,62.641,63.506,64.24,64.723,64.719,65.229,65.747,66.26
"12","4","            Compensation of general government employees","A194RA3",31.207,30,30.11,29.855,30.293,30.153,31.045,31.881,32.144,32.452,32.572,32.184,31.914,32.816,33.887,37.591,39.007,42.671,45.236,45.553,46.321,46.871,47.023,46.614,46.759,46.749,46.741,46.242,45.871,45.735,45.788,45.844,45.693,45.336,45.661,45.929,45.981,46.206,46.797,47.172,47.291,47.579,47.971,47.466,47.281,47.642,48.356,48.599,48.151,48.244,48.468,48.744,49.267,50.204,50.287,50.58,51.139,51.404,52.109,53.154,53.531,53.923,54.225,54.245,54.648,55.248,55.923,56.128,56.595,57.209,57.732,58.224,58.25,58.986,59.887,60.918,61.783,62.921,64.374,65.77,66.553,66.835,67.72,68.121,69.149,70.012,70.543,70.456,71.067,71.698,72.317
"13","5","            Consumption of general government fixed capital \2\","A265RA3",32.854,31.284,29.929,28.701,27.688,26.661,25.756,24.891,24.309,23.684,23.061,22.441,21.913,21.538,21.23,21.055,21.012,21.153,21.398,21.812,22.382,22.969,23.471,24.048,24.629,25.192,25.604,26.049,26.561,26.876,27.192,27.388,27.562,27.694,27.82,27.894,28.005,28.132,28.327,28.414,28.52,28.66,28.76,28.876,28.968,29.07,29.237,29.357,29.655,29.905,30.114,30.416,30.688,30.922,31.162,31.415,31.568,31.837,32.01,32.333,32.721,32.988,33.352,33.653,33.964,34.232,34.538,34.883,35.13,35.387,35.592,35.829,36.001,36.226,36.487,36.672,36.965,37.253,37.594,37.938,38.333,38.692,39.082,39.438,39.757,40.048,40.334,40.557,40.727,40.87,41.025
"14","6","          Intermediate goods and services purchased \3\","W104RA3",4.63,5.803,5.746,5.442,5.565,7.001,7.368,8.249,8.706,9.623,9.35,8.842,9.438,10.055,7.66,8.37,11.728,12.546,15.044,15.478,17.124,19.048,19.227,20.091,21.238,21.862,21.068,21.682,19.252,17.761,17.066,17.033,17.206,17.545,17.677,16.731,15.956,17.39,15.266,16.969,18.352,18.313,18.283,19.711,18.282,20.412,18.56,19.707,18.06,19.447,20.339,20.41,18.339,18.4,19.189,19.515,18.514,19.479,19.767,19.941,21.074,21.584,22.828,23.1,23.013,22.313,24.407,24.042,24.046,23.835,23.593,22.882,23.187,23.666,25.512,26.856,27.139,29.106,29.265,29.114,32.406,32.444,32.537,33.136,34.909,34.565,34.526,35.449,34.332,35.093,34.854
"15","7","            Durable goods","W105RA3",5.57,5.361,5.584,5.349,9.349,8.67,9.385,11.164,10.005,11.126,12.485,11.603,15.885,16.123,18.793,20.302,26.729,35.883,42.617,52.926,60.43,67.135,70.472,75.385,79.765,84.911,72.399,67.944,59.485,61.058,52.407,52.758,50.066,52.004,47.597,42.739,43.448,48.956,44.515,46.63,47.059,49.954,48.538,47.911,49.726,52.567,48.341,49.015,35.302,36.515,37.96,37.171,32.315,31.162,32.494,31.677,26.211,26.806,27.997,28.209,32.765,33.406,34.229,33.741,34.954,34.155,34.092,34.574,31.312,30.883,30.022,30.612,30.99,34.043,32.04,33.825,38.252,45.635,43.505,51.704,44.999,44.162,43.888,43.702,50.709,49.578,50.342,50.544,46.438,43.771,43.792
"16","8","            Nondurable goods","W106RA3",5.628,7.725,7.254,6.898,5.722,8.987,10.097,11.537,14.301,13.903,14.497,14.218,12.581,14.183,6.848,8.954,12.525,12.178,13.156,12.531,13.748,15.625,15.553,17.062,25.13,27.189,25.152,25.334,21.405,19.524,18.847,23.79,15.509,18.982,18.521,16.214,13.816,13.98,11.027,12.297,15.295,11.196,11.634,17.661,11.592,15.864,15.314,17.908,19.421,24.045,24.862,23.337,16.38,17.723,18.806,19.863,15.043,18.372,19.55,19.417,18.356,22.157,26.115,25.205,22.375,19.613,25.073,21.703,23.217,23.45,24.391,21.966,21.662,22.077,27.75,28.312,25.946,30.904,25.93,24.746,36.391,36.373,35.404,36.273,40.792,41.135,40.966,42.548,42.186,43.537,45.007
"17","9","            Services","W107RA3",3.818,4.698,4.809,4.541,4.735,5.501,5.453,5.908,5.516,6.961,6.081,5.554,6.612,6.781,6.046,5.985,8.606,8.695,11.116,10.61,11.495,12.633,12.423,12.373,10.162,9.487,10.955,12.471,11.682,9.969,10.495,8.224,12.548,11.238,12.291,12.553,12.288,13.622,12.26,14.057,14.868,16.102,16.094,15.875,15.887,17.008,15.009,15.617,14.631,14.648,15.485,16.399,16.932,16.642,17.212,17.426,18.844,18.866,18.622,18.917,20.384,19.511,19.719,20.612,21.436,21.598,22.697,23.422,23.377,23.02,22.399,22.154,22.697,22.765,23.743,25.335,25.998,25.826,28.48,27.371,28.995,29.2,29.769,30.391,30.265,29.775,29.654,30.445,29.524,30.617,29.709
"18","10","        Less: Own-account investment \4\","W108RA3",9.386,9.735,10.096,10.487,11.242,12.829,14.76,16.014,15.678,17.62,19.485,19.377,17.737,17.974,21.585,21.891,22.476,26.234,28.952,28.814,32.891,34.363,35.565,35.73,36.345,34.334,33.942,32.998,33.846,33.5,32.804,31.261,30.831,30.229,30.082,29.453,30.64,32.508,33.623,32.02,33.14,33.541,33.959,34.708,34.4,35.024,37.079,39.695,44.214,46.792,46.032,44.577,41.988,43.884,43.047,43.4,47.031,40.883,43.195,49.101,45.361,42.01,49.518,50.681,47.831,49.489,50.786,48.288,47.654,48.334,48.459,48.41,46.782,49.368,51.128,51.302,52.335,54.13,52.543,53.617,52.974,48.503,47.409,47.383,49.222,51.295,48.708,49.033,48.701,48.931,49.633
"19","11","              Sales to other sectors","W109RA3",12.858,11.388,7.746,7.658,9.515,7.905,7.883,9.421,8.087,8.385,9.235,8.916,9.167,13.295,9.011,8.983,16.701,9.269,9.228,9.104,8.97,9.865,9.142,9.527,9.629,9.586,9.604,9.763,9.837,11.686,10.288,10.843,12.4,20.783,12.806,12.939,12.375,13.944,12.292,12.535,13.932,14.918,15.362,15.701,14.743,18.544,14.535,16.255,16.761,15.001,15.331,16.5,16.256,16.189,16.161,15.964,16.247,16.922,17.032,16.969,18.242,18.742,18.739,18.885,21.421,19.69,20.549,20.735,22.228,21.352,22.643,23.07,23.893,24.035,25.492,25.662,27.507,28.862,27.547,27.807,28.297,28.884,29.537,29.871,30.527,31.331,31.924,32.619,32.535,33.147,33.35
"20","12","Federal consumption expenditures \1\","A957RA3",31.197,31.291,31.288,29.83,29.607,31.765,32.608,33.677,34.114,34.981,33.513,31.683,31.598,32.109,29.922,34.462,39.548,46.323,53.046,54.249,58.384,61.398,63.019,63.979,65.893,67.424,65.718,66.552,61.775,58.516,57.4,57.178,56.104,53.892,56.451,54.838,53.748,55.544,52.651,55.523,57.485,57.06,56.691,57.999,55.084,57.316,55.561,56.842,53.447,56.025,57.288,57.107,54.141,54.52,55.745,56.195,54.286,55.629,56.883,57.905,59.972,60.793,62.611,62.654,62.118,61.685,64.694,63.943,63.36,63.38,62.713,61.401,61.196,61.788,64.346,66.785,67.085,70.304,72.042,72.563,78.315,78.242,78.453,79.056,81.653,81.3,80.866,81.07,79.304,80.116,79.576
"21","13","      Gross output of general government","W110RA3",32.424,32.108,31.122,29.649,29.991,31.61,32.445,33.882,33.834,34.691,33.456,31.52,31.4,32.977,29.773,34.229,41.439,46.06,52.717,53.864,57.884,61.133,62.535,63.566,65.499,66.91,65.207,65.979,61.331,58.578,56.994,56.821,56.11,56.154,56.448,54.831,53.605,55.808,52.537,55.337,57.626,57.433,57.141,58.449,55.21,58.317,55.518,57.185,53.919,55.997,57.27,57.403,54.281,54.672,55.834,56.236,54.366,55.707,56.888,57.845,59.928,60.823,62.608,62.636,62.42,61.542,64.689,63.802,63.547,63.163,62.729,61.416,61.225,61.767,64.54,66.825,67.556,70.918,72.139,72.569,78.084,77.963,78.238,78.694,81.212,80.882,80.463,80.756,78.883,79.811,79.262
"22","14","        Value added","W111RA3",75.281,70.392,68.528,66.039,65.688,64.01,64.494,64.671,63.723,62.791,61.497,59.241,57.778,59.199,61.113,69.187,72.078,80.314,86.174,87.034,89.319,91.056,91.627,90.888,91.464,91.601,91.422,90.19,89.417,88.975,88.904,88.569,87.955,86.659,86.671,86.48,86.14,85.582,86.201,86.31,86.212,86.342,86.39,84.245,83.167,82.953,83.791,83.673,82.579,82.604,82.668,82.914,83.45,84.967,84.315,84.395,84.59,85.109,86.09,88.424,89.509,89.813,89.885,89.248,89.598,90.382,90.94,90.759,90.699,91.226,91.724,91.65,91.027,91.258,92.078,93.374,94.834,96.586,99.179,101.374,103.798,103.941,104.926,104.808,105.484,106.638,106.875,105.592,105.966,106.511,106.996
"23","15","          Compensation of general government employees","B568RA3",72.19,66.938,66.573,64.871,66.663,66.031,69.213,71.784,71.51,71.341,70.492,67.902,66.549,70.1,74.444,90.103,95.75,110.953,121.515,122.19,125.172,127.109,127.062,124.385,124.16,123.162,121.973,118.761,116.247,114.842,114.152,113.253,111.9,109.406,109.338,109.004,108.313,107.187,108.095,108.298,108.086,108.233,108.32,104.356,102.434,102.064,103.433,103.186,100.888,100.623,100.516,100.542,101.149,103.583,102.153,102.002,102.257,102.852,104.451,108.141,109.502,109.733,109.365,107.882,108.126,109.228,109.867,109.153,108.861,109.563,110.31,110.03,108.933,109.206,110.428,112.586,114.835,117.589,121.665,125.072,128.788,128.715,130.011,129.51,130.4,132.135,132.349,130.148,130.774,131.723,132.543
"24","16","          Consumption of general government fixed capital \2\","B995RA3",56.886,53.731,50.997,48.493,46.408,44.27,42.379,40.56,39.303,37.967,36.633,35.291,34.134,33.292,32.582,32.117,31.923,32.095,32.486,33.221,34.274,35.346,36.256,37.31,38.375,39.399,40.098,40.853,41.743,42.227,42.692,42.923,43.105,43.207,43.291,43.276,43.333,43.418,43.615,43.609,43.633,43.716,43.724,43.74,43.718,43.714,43.845,43.878,44.195,44.485,44.694,45.085,45.418,45.675,45.94,46.228,46.318,46.635,46.763,47.185,47.73,48.032,48.518,48.875,49.248,49.526,49.87,50.279,50.483,50.703,50.817,50.986,51.025,51.159,51.356,51.399,51.647,51.877,52.208,52.537,52.96,53.316,53.732,54.085,54.369,54.596,54.816,54.911,54.906,54.848,54.818
"25","17","        Intermediate goods and services purchased \3\","W113RA3",3.506,5.967,5.627,4.985,5.631,8.588,9.477,11.291,11.732,13.351,12.371,10.941,11.528,12.838,7.799,9.55,17.346,19.168,24.646,25.634,29.643,33.017,34.568,36.288,38.501,40.268,38.123,39.74,34.124,30.779,28.759,28.706,28.105,28.817,29.194,27.188,25.763,28.945,24.295,27.941,31.003,30.684,30.279,33.151,29.405,33.713,29.439,31.786,27.808,30.771,32.607,32.667,27.718,27.354,29.503,30.045,27.146,28.797,29.929,29.874,32.279,33.413,36.001,36.451,35.905,34.07,38.501,37.272,36.926,35.979,34.98,33.004,33.122,33.798,37.533,40.201,40.332,44.412,44.523,43.707,50.608,50.335,50.101,50.887,54.363,53.036,52.202,53.578,50.333,51.42,50.209
"26","18","          Durable goods","W114RA3",7.778,7.31,7.582,7.171,13.416,12.307,13.634,16.742,14.8,16.475,18.543,16.909,24.341,24.786,29.45,32.147,42.825,58.461,69.94,87.613,100.204,111.639,117.356,125.718,133.163,141.926,120.488,112.806,98.125,100.867,85.974,86.534,82.117,85.316,77.84,69.617,70.51,79.802,72.153,75.685,75.967,80.722,78.148,76.939,80.351,85.098,77.863,78.883,55.23,57.284,59.63,58.289,49.945,47.859,50.114,48.658,39.139,40.232,42.149,42.458,49.971,51.138,52.344,51.413,53.268,52.005,51.799,52.473,46.808,45.998,44.363,45.204,45.449,50.602,46.943,49.832,57.284,69.739,65.968,79.871,68.119,66.741,66.33,65.874,77.254,74.763,75.576,75.554,68.265,63.303,62.951
"27","19","          Nondurable goods","W115RA3",3.475,11.548,9.285,8.365,5.062,17.96,22.672,27.926,36.682,33.232,34.802,33.854,26.325,34.794,2.165,5.113,28.226,27.818,32.91,30.426,36.236,41.283,44.517,50.549,87.108,98.309,87.931,89.491,71.376,62.608,57.647,79.831,39.862,54.845,52.993,43.03,34.093,35.167,21.801,27.246,41.898,22.538,23.106,49.225,19.323,36.848,33.017,43.737,45.738,65.902,68.932,61.578,29.175,34.798,39.395,43.486,20.524,34.573,39.466,38.302,33.221,50.731,68.29,63.589,49.433,35.91,60.937,44.191,50.5,49.907,52.989,40.791,37.985,38.902,64.783,66.889,54.642,77.161,53.784,47.233,100.646,100.011,94.592,96.966,116.822,116.977,114.265,119.419,116.024,121.147,126.256
"28","20","          Services","W116RA3",2.668,4.207,4.271,3.743,4.308,5.5,5.565,6.391,5.344,7.904,6.099,4.922,6.311,6.558,5.25,5.14,9.903,10.153,14.542,13.662,15.615,17.069,17.473,17.264,12.928,11.921,14.334,17.341,15.667,12.476,13.185,9.011,16.228,13.866,15.863,16.365,15.984,18.448,15.985,19.237,20.655,22.773,22.587,22.075,21.629,23.563,19.817,20.931,19.565,19.508,21.1,22.871,23.743,22.545,24.262,24.553,26.757,26.216,26.519,26.58,29.366,27.598,27.887,29.549,30.921,30.97,32.828,33.906,33.491,32.424,30.808,29.998,30.59,30.339,31.863,34.622,35.458,34.74,39.706,37.087,39.822,39.83,40.473,41.236,40.674,39.287,38.428,39.473,36.991,38.566,36.263
"29","21","      Less: Own-account investment \4\","W117RA3",11.642,13.661,13.082,12.822,15.638,18.048,25.065,29.885,23.727,26.097,32.438,31.581,25.48,26.152,43.121,41.602,44.146,57.496,72.266,74.022,79.452,88.371,96.132,96.681,105.695,96.737,90.717,81.947,87.988,84.857,79.835,71.806,72.745,67.652,66.401,62.699,60.265,67.743,74.219,65.403,69.748,72.624,76.978,79.326,73.532,76.813,82.831,93.714,83.684,92.683,87.716,88.914,82.49,87.72,82.648,89.17,93.154,85.858,85.827,92.039,81.031,87.75,94.719,95.142,64.207,86.244,94.489,81.076,79.571,77.984,78.114,80.754,74.312,85.04,85.117,82.643,87.166,90.078,89.846,94.142,79.809,73.174,74.658,70.374,71.004,67.477,64.293,66.074,63.451,64.687,63.921
"30","22","            Sales to other sectors","W118RA3",110.788,84.686,23.048,20.831,53.338,22.209,20.732,42.998,14.882,14.336,25.231,16.311,16.161,84.953,11.814,12.473,150.011,19.945,18.734,16.104,12.412,27.328,13.323,18.752,18.915,16.395,16.695,17.121,17.375,46.063,16.612,23.18,45.682,191.501,45.309,44.673,35.133,62.18,30.975,33.054,55.49,69.426,72.638,73.588,50.412,111.198,35.136,59.4,67.875,33.875,38.023,58.232,46.667,45.991,45.331,39.992,38.571,43.165,39.801,34.041,42.395,45.84,43.03,41.867,76.612,35.503,45.662,40.619,63.518,35.858,51.383,48.426,51.856,44.54,63.503,56.525,86.599,100.045,64.607,56.677,52.883,52.03,56.4,48.259,45.598,48.31,50.172,56.12,47.521,55.847,54.886
"31","23","    Defense consumption expenditures \1\","A997RA3",40.066,37.39,38.05,38.023,37,36.355,36.012,37.349,37.465,37.33,37.008,35.024,35.139,35.492,37.151,42.311,51.073,60.6,70.54,73.179,77.403,82.58,84.284,85.845,86.805,86.065,85.549,86.543,78.268,76.064,74.384,71.846,72.254,67.729,71.156,69.848,68.738,71.445,69.006,72.486,74.052,75.889,75.81,75.07,73.98,74.769,72.628,72.806,66.796,67.126,68.872,69.076,68.104,68.154,69.638,69.245,69.126,69.378,70.992,72.465,74.946,74.884,75.79,75.758,75.499,75.246,77.072,76.854,75.476,74.361,74.357,72.531,71.751,72.427,74.785,78.781,80.005,83.401,87.214,89.143,94.478,96.033,96.967,96.957,100.917,101.234,99.278,99.425,96.214,97.143,95.853
"32","24","      Gross output of general government","W085RA3",39.686,37.037,37.685,37.636,36.798,36.184,35.876,37.202,37.221,37.107,36.782,34.819,34.907,35.293,36.93,42.064,53.728,60.138,70.023,72.663,76.827,81.953,83.699,85.245,86.234,85.49,84.931,85.878,77.756,75.604,73.906,71.383,72.279,67.776,71.21,69.905,68.582,71.546,68.854,72.311,73.986,75.748,75.977,75.25,74.236,75.145,72.562,73.321,66.632,66.981,68.678,68.979,68.083,68.173,69.57,69.102,68.937,69.338,70.738,72.176,74.67,74.818,75.639,75.631,75.027,75.058,76.914,76.613,75.314,74.141,74.231,72.516,71.662,72.4,75.023,78.833,80.494,84.308,87.459,89.247,94.133,95.816,96.267,96.285,100.173,100.505,98.534,98.774,95.525,96.532,95.174
"33","25","        Value added","W086RA3",93.633,85.84,84.272,85.481,79.749,76.753,76.862,76.898,76.545,75.022,73.33,70.821,68.373,68.9,70.77,80.697,89,100.33,110.163,112.674,115.585,118.016,118.775,117.852,119.406,120.058,120.382,118.888,117.858,117.033,117.303,116.362,115.556,113.745,113.35,113.054,112.394,111.732,112.464,112.382,112.014,111.995,112.188,109.512,107.073,106.716,107.62,107.466,106.076,105.979,106.009,106.378,106.22,107.584,107.247,107.491,107.546,108.009,109.121,112.581,113.869,113.955,113.616,112.692,112.309,113.155,113.754,113.577,113.168,113.562,114.092,113.862,112.832,112.878,113.575,115.386,117.687,119.748,122.801,125.787,129.42,129.114,130.049,130.164,130.701,132.128,132.405,130.834,130.902,131.686,132.302
"34","26","          Compensation of general government employees","B237RA3",83.473,74.548,76.287,83.647,75.97,73.979,77.833,81.38,83.118,82.657,81.78,79.333,76.734,79.257,84.235,104.98,122.122,144.648,163.78,167.375,171.169,173.989,173.612,169.602,170.612,169.892,169.142,164.53,160.827,158.11,157.789,155.386,153.415,149.61,148.727,148.141,146.668,145.201,146.265,146.105,145.276,145.132,145.5,140.118,135.441,134.7,136.268,135.861,132.618,131.924,131.587,131.624,130.725,132.913,131.763,131.822,131.737,132.122,134.014,140.074,141.68,141.389,140.036,137.795,136.619,137.913,138.623,137.869,136.909,137.521,138.482,138.006,136.316,136.425,137.669,141.109,145.24,148.862,154.088,159.184,165.314,164.404,165.666,165.479,166.202,168.501,168.804,166.034,166.237,167.765,168.961
"35","27","          Consumption of general government fixed capital \2\","B432RA3",77.053,72.516,68.58,64.949,61.939,58.858,56.071,53.464,51.63,49.673,47.764,45.836,44.126,42.937,41.918,41.211,40.888,41.116,41.703,42.734,44.209,45.693,47.051,48.576,50.09,51.535,52.531,53.684,54.858,55.624,56.25,56.622,56.885,57.053,57.139,57.142,57.261,57.372,57.659,57.655,57.721,57.802,57.824,57.866,57.779,57.83,57.984,58.069,58.512,58.923,59.244,59.796,60.289,60.647,61.068,61.412,61.571,61.988,62.177,62.629,63.341,63.724,64.319,64.724,65.112,65.382,65.749,66.122,66.308,66.413,66.424,66.475,66.291,66.27,66.306,66.159,66.18,66.274,66.535,66.802,67.207,67.554,67.969,68.366,68.607,68.86,69.057,69.063,68.976,68.822,68.685
"36","28","        Intermediate goods and services purchased \3\","W087RA3",2.891,3.778,5.777,5.025,7.082,7.896,7.416,9.234,9.474,10.18,10.675,9.273,10.776,11.011,12.247,13.946,24.925,27.633,35.518,37.662,41.582,47.152,49.068,51.615,52.144,50.806,49.871,51.898,41.672,39.234,36.83,33.987,35.591,30.583,35.358,33.783,32.371,36.642,32.653,37.323,39.74,42.094,42.312,42.782,42.755,44.191,40.129,41.214,32.472,32.985,35.478,35.692,34.468,33.745,36.067,35.211,34.923,35.224,36.61,36.574,39.472,39.643,41.067,41.635,40.972,40.474,42.925,42.589,40.868,38.792,38.583,36.078,35.437,36.547,40.144,44.865,45.888,50.523,53.389,54.159,59.329,62.16,62.24,62.19,67.979,67.51,64.162,65.662,60.38,61.439,58.827
