"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","Less: Income payments to the rest of the world","A655RA3",0.805,0.783,0.757,0.89,0.836,0.841,0.992,0.872,1.012,0.982,1.012,1.022,1.066,1.094,1.123,1.139,1.217,1.225,1.203,1.196,1.15,1.236,1.248,1.296,1.274,1.266,1.308,1.375,1.328,1.321,1.302,1.306,1.344,1.458,1.487,1.48,1.496,1.454,1.523,1.53,1.534,1.523,1.56,1.569,1.605,1.496,1.569,1.643,1.715,1.794,1.899,2.014,2.233,2.168,2.138,2.064,2.098,2.107,2.185,2.248,2.142,2.18,2.196,2.22,2.253,2.368,2.471,2.553,2.594,2.652,2.655,2.803,2.822,2.878,2.955,3.039,3.08,3.139,3.35,3.435,3.436,3.432,3.405,3.572,3.783,4.028,4.127,4.174,4.611,5.138,5.755
"12","4","Equals: Gross national product","B001RA3",13.996,13.979,13.967,14.182,14.414,14.682,14.761,14.784,14.575,14.52,14.679,14.535,15.124,15.587,16.209,16.492,16.695,16.987,17.328,17.364,17.53,17.55,17.665,18.243,18.58,18.726,18.601,18.308,18.23,18.252,18.458,18.839,19.381,19.697,19.96,20.074,19.997,20.152,20.13,20.439,20.587,20.549,20.738,20.49,19.942,20.065,20.528,21.003,21.424,21.962,21.945,22.03,22.516,22.414,22.457,22.179,22.319,22.725,23.093,23.563,23.982,24.261,24.485,24.571,24.88,25.182,25.656,25.856,26.449,26.742,27.109,27.168,27.858,28.24,28.792,29.462,30.187,30.287,30.481,30.735,31.001,31.002,31.268,31.499,32.149,32.696,32.925,33.065,33.583,33.671,33.872
"13","5","Less: Consumption of fixed capital","A262RA3",10.143,10.061,10.014,9.981,9.979,9.969,9.969,9.966,9.991,10.011,10.032,10.053,10.085,10.139,10.203,10.282,10.377,10.484,10.594,10.713,10.84,10.978,11.112,11.262,11.419,11.572,11.706,11.843,11.985,12.107,12.232,12.347,12.463,12.577,12.692,12.802,12.919,13.034,13.15,13.248,13.344,13.457,13.578,13.714,13.863,13.988,14.094,14.168,14.236,14.298,14.354,14.422,14.484,14.558,14.642,14.744,14.845,14.962,15.068,15.189,15.32,15.446,15.592,15.74,15.898,16.053,16.213,16.38,16.536,16.707,16.888,17.089,17.296,17.521,17.758,17.999,18.263,18.522,18.782,19.037,19.293,19.541,19.792,20.037,20.274,20.516,20.765,21.014,21.265,21.515,21.771
"14","6","        Private","A024RA3",6.905,7.042,7.181,7.321,7.462,7.595,7.721,7.838,7.947,8.055,8.162,8.269,8.376,8.485,8.595,8.706,8.819,8.92,9.01,9.088,9.153,9.228,9.31,9.402,9.502,9.6,9.696,9.789,9.88,9.975,10.073,10.176,10.282,10.391,10.502,10.615,10.731,10.841,10.945,11.042,11.134,11.24,11.362,11.5,11.654,11.779,11.874,11.939,11.972,12.005,12.038,12.07,12.102,12.148,12.209,12.286,12.377,12.469,12.561,12.653,12.745,12.847,12.961,13.085,13.219,13.355,13.493,13.631,13.771,13.928,14.102,14.293,14.502,14.723,14.956,15.201,15.458,15.709,15.955,16.194,16.428,16.658,16.886,17.111,17.333,17.564,17.803,18.051,18.308,18.569,18.835
"15","7","        Government","A264RA3",29.444,28.09,26.947,25.886,25.017,24.138,23.375,22.639,22.147,21.616,21.095,20.568,20.128,19.827,19.592,19.452,19.426,19.559,19.79,20.159,20.672,21.209,21.663,22.173,22.686,23.182,23.548,23.957,24.421,24.704,24.991,25.173,25.34,25.474,25.605,25.683,25.797,25.931,26.115,26.208,26.324,26.468,26.571,26.689,26.79,26.899,27.07,27.192,27.479,27.723,27.921,28.222,28.477,28.721,28.947,29.202,29.358,29.629,29.811,30.113,30.48,30.743,31.09,31.374,31.668,31.933,32.224,32.562,32.804,33.054,33.273,33.513,33.696,33.927,34.179,34.375,34.663,34.958,35.293,35.622,36.008,36.347,36.727,37.079,37.396,37.697,37.986,38.23,38.423,38.59,38.767
"16","8","          General government","A265RA3",32.854,31.284,29.929,28.701,27.688,26.661,25.756,24.891,24.309,23.684,23.061,22.441,21.913,21.538,21.23,21.055,21.012,21.153,21.398,21.812,22.382,22.969,23.471,24.048,24.629,25.192,25.604,26.049,26.561,26.876,27.192,27.388,27.562,27.694,27.82,27.894,28.005,28.132,28.327,28.414,28.52,28.66,28.76,28.876,28.968,29.07,29.237,29.357,29.655,29.905,30.114,30.416,30.688,30.922,31.162,31.415,31.568,31.837,32.01,32.333,32.721,32.988,33.352,33.653,33.964,34.232,34.538,34.883,35.13,35.387,35.592,35.829,36.001,36.226,36.487,36.672,36.965,37.253,37.594,37.938,38.333,38.692,39.082,39.438,39.757,40.048,40.334,40.557,40.727,40.87,41.025
"17","9","          Government enterprises","A266RA3",8.322,8.362,8.596,8.599,8.652,8.705,8.833,8.906,8.988,9.056,9.177,9.232,9.348,9.516,9.747,9.819,9.904,9.998,10.142,10.23,10.395,10.631,10.801,10.896,10.996,11.082,11.167,11.359,11.531,11.621,11.73,11.825,11.957,12.1,12.27,12.372,12.513,12.692,12.81,12.941,13.121,13.299,13.423,13.554,13.718,13.868,14.063,14.204,14.43,14.643,14.778,15.083,15.238,15.556,15.694,15.972,16.154,16.45,16.692,16.871,17.119,17.362,17.619,17.8,17.997,18.247,18.452,18.764,18.982,19.199,19.513,19.785,20.05,20.323,20.534,20.803,21.074,21.429,21.731,21.978,22.321,22.542,22.872,23.209,23.526,23.9,24.215,24.61,24.949,25.276,25.603
"18","10","Equals: Net national product","A027RA3",14.632,14.625,14.619,14.878,15.151,15.469,15.562,15.589,15.339,15.27,15.454,15.279,15.969,16.505,17.227,17.547,17.769,18.094,18.477,18.497,18.669,18.666,18.776,19.431,19.8,19.944,19.77,19.398,19.278,19.281,19.501,19.93,20.549,20.901,21.19,21.304,21.19,21.351,21.303,21.65,21.807,21.739,21.94,21.618,20.939,21.061,21.589,22.137,22.624,23.25,23.22,23.307,23.87,23.736,23.77,23.421,23.567,24.026,24.441,24.975,25.445,25.75,25.988,26.061,26.396,26.724,27.254,27.458,28.13,28.444,28.843,28.876,29.651,30.06,30.668,31.413,32.22,32.289,32.469,32.722,32.988,32.943,33.211,33.438,34.161,34.76,34.984,35.103,35.668,35.726,35.916
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",14.672,14.661,14.656,14.912,15.178,15.493,15.586,15.613,15.366,15.3,15.488,15.321,16.011,16.546,17.256,17.579,17.808,18.116,18.496,18.508,18.69,18.686,18.8,19.463,19.837,19.974,19.814,19.438,19.307,19.311,19.531,19.947,20.567,20.925,21.215,21.326,21.195,21.359,21.306,21.677,21.808,21.726,21.937,21.65,20.962,21.083,21.62,22.175,22.667,23.298,23.256,23.333,23.908,23.769,23.796,23.434,23.571,24.043,24.458,24.992,25.467,25.757,25.994,26.036,26.386,26.725,27.255,27.454,28.111,28.437,28.832,28.883,29.632,30.036,30.668,31.443,32.249,32.318,32.505,32.749,33.021,32.983,33.228,33.464,34.187,34.786,35.004,35.126,35.694,35.763,35.967
"21","12","  Net domestic purchases","W367RA3",13.369,13.383,13.379,13.793,14.165,14.588,14.686,14.735,14.373,14.31,14.547,14.512,15.199,15.735,16.545,16.797,16.977,17.157,17.423,17.423,17.633,17.741,17.973,18.677,19.026,19.197,19.006,18.63,18.492,18.455,18.641,19.007,19.616,20.031,20.263,20.399,20.267,20.349,20.27,20.528,20.651,20.619,20.836,20.601,20.069,20.221,20.719,21.306,21.737,22.359,22.293,22.37,22.823,22.617,22.643,22.218,22.353,22.838,23.313,23.812,24.307,24.482,24.806,24.891,25.167,25.362,25.983,26.098,26.635,26.95,27.376,27.412,28.264,28.523,29.237,29.933,30.776,30.805,31.142,31.337,31.589,31.556,31.859,32.123,32.868,33.435,33.644,33.771,34.374,34.393,34.614
