"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"21","2","Contributions for government social insurance","W780RC1","43,314.0","45,504.0","50,330.0","58,258.0","74,546.0","84,085.0","88,054.0","99,786.0","111,078.0","128,715.0","149,798.0","163,631.0","193,009.0","206,043.0","223,068.0","254,129.0","277,909.0","298,933.0","317,431.0","354,779.0","377,963.0","402,040.0","420,613.0","443,965.0","465,517.0","496,152.0","521,903.0","545,413.0","579,432.0","617,402.0","654,826.0","698,571.0","723,253.0","739,279.0","762,774.0","807,626.0","852,625.0","904,642.0","945,290.0","973,127.0","949,128.0","969,805.0","905,451.0"
"22","3","  Employee and self-employed contributions","A1585C1","21,030.0","22,184.0","24,379.0","27,635.0","35,262.0","40,017.0","42,109.0","46,428.0","51,367.0","59,039.0","69,364.0","76,791.0","91,397.0","98,275.0","105,037.0","117,095.0","132,521.0","144,018.0","154,836.0","174,627.0","189,702.0","201,652.0","212,658.0","223,725.0","234,738.0","250,990.0","266,120.0","278,059.0","296,042.0","315,636.0","336,157.0","358,018.0","371,561.0","381,696.0","392,570.0","414,565.0","439,768.0","470,674.0","495,796.0","512,513.0","500,352.0","508,874.0","417,875.0"
"23","4","  Employer contributions","A1580C1","22,071.0","23,086.0","25,623.0","30,249.0","38,742.0","43,499.0","45,358.0","52,719.0","58,952.0","68,811.0","79,505.0","85,825.0","100,444.0","106,576.0","116,776.0","135,698.0","143,963.0","153,463.0","161,070.0","178,478.0","186,555.0","198,422.0","205,905.0","218,103.0","228,558.0","242,675.0","253,080.0","264,566.0","280,376.0","298,664.0","315,376.0","337,000.0","347,944.0","353,833.0","366,285.0","388,675.0","408,196.0","429,384.0","444,765.0","455,789.0","443,818.0","456,006.0","483,137.0"
"24","5","    Government","L313051","2,815.0","3,242.0","3,819.0","4,296.0","5,037.0","5,828.0","6,950.0","7,678.0","8,031.0","8,664.0","9,743.0","10,757.0","12,764.0","13,756.0","15,625.0","17,246.0","18,931.0","20,664.0","21,943.0","25,785.0","27,873.0","30,730.0","33,223.0","35,627.0","36,767.0","37,624.0","38,302.0","39,312.0","40,817.0","42,144.0","44,372.0","47,088.0","50,041.0","53,415.0","56,234.0","58,525.0","60,589.0","63,582.0","66,725.0","69,881.0","73,649.0","76,444.0","77,737.0"
"25","6","    Other","L313061","19,256.0","19,844.0","21,804.0","25,953.0","33,705.0","37,671.0","38,408.0","45,041.0","50,921.0","60,147.0","69,762.0","75,068.0","87,680.0","92,820.0","101,151.0","118,452.0","125,032.0","132,799.0","139,127.0","152,693.0","158,682.0","167,691.0","172,682.0","182,476.0","191,791.0","205,051.0","214,778.0","225,254.0","239,559.0","256,520.0","271,004.0","289,912.0","297,903.0","300,418.0","310,051.0","330,150.0","347,607.0","365,802.0","378,040.0","385,908.0","370,169.0","379,562.0","405,400.0"
"26","7","  From the rest of the world","W781RC1","213.0","234.0","328.0","374.0","542.0","569.0","587.0","639.0","759.0","865.0","929.0","1,015.0","1,168.0","1,192.0","1,255.0","1,336.0","1,425.0","1,452.0","1,525.0","1,674.0","1,706.0","1,967.0","2,050.0","2,137.0","2,221.0","2,487.0","2,703.0","2,788.0","3,014.0","3,102.0","3,293.0","3,553.0","3,748.0","3,750.0","3,919.0","4,386.0","4,661.0","4,584.0","4,729.0","4,825.0","4,958.0","4,925.0","4,439.0"
"27","8","Interest received","L313071","2,464.0","3,652.0","3,434.0","3,553.0","4,036.0","4,629.0","4,748.0","4,542.0","4,486.0","4,856.0","5,187.0","5,915.0","6,833.0","6,719.0","5,992.0","9,046.0","11,672.0","12,692.0","15,177.0","20,419.0","27,957.0","34,803.0","39,319.0","43,456.0","45,800.0","48,322.0","53,301.0","56,655.0","62,688.0","65,898.0","77,921.0","88,618.0","98,136.0","106,333.0","106,931.0","109,764.0","115,764.0","126,296.0","133,664.0","139,861.0","139,405.0","137,165.0","131,764.0"
"28","9","Other \1\","W798RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","108,076.0"
"29","10","    Current expenditures","A1670C1","40,081.0","48,195.0","56,770.0","62,452.0","72,702.0","85,504.0","109,082.0","120,353.0","129,622.0","138,267.0","155,028.0","185,319.0","214,120.0","247,136.0","266,914.0","272,535.0","288,703.0","305,974.0","318,149.0","336,147.0","363,277.0","394,462.0","435,274.0","482,057.0","508,484.0","529,122.0","559,581.0","589,153.0","613,178.0","625,019.0","640,208.0","672,907.0","733,247.0","795,913.0","832,152.0","867,134.0","919,364.0","1,018,577.0","1,081,923.0","1,165,986.0","1,341,470.0","1,399,060.0","1,422,952.0"
"30","11","Administrative expenses (consumption expenditures)","L313091","1,515.0","1,767.0","1,932.0","2,331.0","2,248.0","2,753.0","3,188.0","3,595.0","3,756.0","4,055.0","4,245.0","4,780.0","5,248.0","5,658.0","6,119.0","6,292.0","6,548.0","6,526.0","6,611.0","7,261.0","7,242.0","7,408.0","8,338.0","9,042.0","9,708.0","8,837.0","9,463.0","9,633.0","9,144.0","9,654.0","9,788.0","10,055.0","10,730.0","12,045.0","12,407.0","13,152.0","14,387.0","14,725.0","14,624.0","15,480.0","16,320.0","18,194.0","18,277.0"
"31","12","Government social benefits","W026RC1","38,566.0","46,428.0","54,838.0","60,121.0","70,454.0","82,751.0","105,894.0","116,758.0","125,866.0","134,212.0","150,783.0","180,539.0","208,872.0","241,478.0","260,795.0","266,243.0","282,155.0","299,448.0","311,538.0","328,886.0","356,035.0","387,054.0","426,936.0","473,015.0","498,776.0","520,285.0","550,118.0","579,520.0","604,034.0","615,365.0","630,420.0","662,852.0","722,517.0","783,868.0","819,745.0","853,982.0","904,977.0","1,003,852.0","1,067,299.0","1,150,506.0","1,325,150.0","1,380,866.0","1,404,675.0"
"32","13","  To persons","A1588C1","37,983.0","45,711.0","54,031.0","59,237.0","69,385.0","81,594.0","104,495.0","114,937.0","124,071.0","132,306.0","148,692.0","178,139.0","205,985.0","238,507.0","257,674.0","263,027.0","278,637.0","295,618.0","307,820.0","324,872.0","351,720.0","382,324.0","421,418.0","467,507.0","493,172.0","514,055.0","543,965.0","572,754.0","597,000.0","607,949.0","622,871.0","654,866.0","713,660.0","774,821.0","810,222.0","843,921.0","894,379.0","992,091.0","1,054,772.0","1,137,165.0","1,310,252.0","1,365,232.0","1,388,491.0"
"33","14","  To the rest of the world","W872RC1","583.0","717.0","807.0","884.0","1,069.0","1,157.0","1,399.0","1,821.0","1,795.0","1,906.0","2,091.0","2,400.0","2,887.0","2,971.0","3,121.0","3,216.0","3,518.0","3,830.0","3,718.0","4,014.0","4,315.0","4,730.0","5,518.0","5,508.0","5,604.0","6,230.0","6,153.0","6,766.0","7,034.0","7,416.0","7,549.0","7,986.0","8,857.0","9,047.0","9,523.0","10,061.0","10,598.0","11,761.0","12,527.0","13,341.0","14,898.0","15,634.0","16,184.0"
"34","15","    Net saving","B243RC1","5,697.0","961.0","-3,006.0","-641.0","5,880.0","3,210.0","-16,280.0","-16,025.0","-14,058.0","-4,696.0","-43.0","-15,773.0","-14,278.0","-34,374.0","-37,854.0","-9,360.0","878.0","5,651.0","14,459.0","39,051.0","42,643.0","42,381.0","24,658.0","5,364.0","2,833.0","15,352.0","15,623.0","12,915.0","28,942.0","58,281.0","92,539.0","114,282.0","88,142.0","49,699.0","37,553.0","50,256.0","49,025.0","12,361.0","-2,969.0","-52,998.0","-252,937.0","-292,090.0","-277,661.0"
"35",NA,"          State and local"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","    Current receipts","A743RC1","1,142.0","1,224.0","1,328.0","1,492.0","1,693.0","1,903.0","2,118.0","2,501.0","3,150.0","3,908.0","4,574.0","4,421.0","4,848.0","5,298.0","5,637.0","6,325.0","6,723.0","7,886.0","9,239.0","10,493.0","11,170.0","12,372.0","14,251.0","16,173.0","17,307.0","17,645.0","17,093.0","16,157.0","14,514.0","14,898.0","15,116.0","16,086.0","18,287.0","19,814.0","23,876.0","28,247.0","29,186.0","26,612.0","23,883.0","23,302.0","24,086.0","24,617.0","25,009.0"
"37","17","Contributions for government social insurance","B104RC1","1,026.0","1,089.0","1,174.0","1,320.0","1,492.0","1,665.0","1,843.0","2,187.0","2,775.0","3,410.0","3,880.0","3,572.0","3,860.0","4,043.0","4,140.0","4,677.0","4,886.0","5,957.0","7,207.0","8,377.0","8,974.0","10,035.0","11,619.0","13,123.0","14,129.0","14,515.0","13,600.0","12,453.0","10,823.0","10,351.0","9,752.0","10,822.0","13,691.0","15,924.0","20,062.0","24,068.0","24,753.0","21,771.0","18,922.0","18,989.0","18,968.0","18,373.0","18,319.0"
"38","18","  Employee and self-employed contributions","B738RC1","343.0","336.0","351.0","412.0","451.0","470.0","477.0","508.0","623.0","693.0","798.0","457.0","694.0","850.0","1,034.0","1,337.0","1,115.0","1,551.0","2,017.0","2,222.0","1,856.0","2,005.0","2,392.0","2,828.0","3,008.0","3,051.0","2,560.0","2,214.0","1,606.0","1,778.0","1,789.0","2,602.0","3,649.0","3,646.0","3,920.0","4,648.0","5,457.0","4,448.0","3,756.0","4,691.0","5,924.0","6,278.0","6,563.0"
"39","19","  Employer contributions","A744RC1","683.0","753.0","823.0","908.0","1,041.0","1,195.0","1,366.0","1,679.0","2,152.0","2,717.0","3,082.0","3,115.0","3,166.0","3,193.0","3,106.0","3,340.0","3,771.0","4,406.0","5,190.0","6,155.0","7,118.0","8,030.0","9,227.0","10,295.0","11,121.0","11,464.0","11,040.0","10,239.0","9,217.0","8,573.0","7,963.0","8,220.0","10,042.0","12,278.0","16,142.0","19,420.0","19,296.0","17,323.0","15,166.0","14,298.0","13,044.0","12,095.0","11,756.0"
"40","20","    Government","B739RC1","121.0","136.0","154.0","163.0","185.0","184.0","246.0","349.0","472.0","635.0","791.0","830.0","853.0","853.0","776.0","714.0","761.0","835.0","834.0","929.0","1,064.0","1,208.0","1,639.0","2,100.0","2,453.0","2,895.0","2,830.0","2,455.0","2,404.0","2,456.0","2,393.0","2,203.0","2,294.0","2,549.0","2,856.0","3,357.0","3,450.0","3,557.0","3,500.0","3,383.0","3,245.0","3,214.0","3,167.0"
"41","21","    Other","B740RC1","562.0","617.0","669.0","745.0","856.0","1,011.0","1,120.0","1,330.0","1,680.0","2,082.0","2,291.0","2,285.0","2,313.0","2,340.0","2,330.0","2,626.0","3,010.0","3,571.0","4,356.0","5,226.0","6,054.0","6,822.0","7,588.0","8,195.0","8,668.0","8,569.0","8,210.0","7,784.0","6,813.0","6,117.0","5,570.0","6,017.0","7,748.0","9,729.0","13,286.0","16,063.0","15,846.0","13,766.0","11,666.0","10,915.0","9,799.0","8,881.0","8,589.0"
"42","22","Interest received","B746RC1","116.0","135.0","154.0","172.0","201.0","238.0","275.0","314.0","375.0","498.0","694.0","849.0","988.0","1,255.0","1,497.0","1,648.0","1,837.0","1,929.0","2,032.0","2,116.0","2,196.0","2,337.0","2,632.0","3,050.0","3,178.0","3,130.0","3,493.0","3,704.0","3,691.0","4,547.0","5,364.0","5,264.0","4,596.0","3,890.0","3,814.0","4,179.0","4,433.0","4,841.0","4,961.0","4,313.0","5,118.0","6,244.0","6,690.0"
"43","23","    Current expenditures","A745RC1","983.0","1,044.0","1,100.0","1,232.0","1,386.0","1,526.0","1,652.0","1,896.0","2,164.0","2,421.0","2,802.0","3,103.0","3,544.0","4,074.0","4,428.0","4,898.0","5,408.0","6,022.0","7,047.0","7,970.0","8,840.0","10,395.0","11,892.0","13,033.0","13,115.0","13,006.0","13,048.0","13,340.0","13,341.0","13,205.0","13,409.0","14,106.0","15,684.0","18,297.0","20,485.0","21,339.0","21,778.0","21,942.0","22,030.0","22,100.0","22,350.0","22,408.0","22,222.0"
"44","24","Administrative expenses (consumption expenditures)","B741RC1","97.0","106.0","115.0","125.0","140.0","155.0","169.0","185.0","219.0","237.0","268.0","313.0","366.0","416.0","451.0","474.0","506.0","570.0","663.0","760.0","928.0","1,147.0","1,362.0","1,553.0","1,745.0","2,032.0","2,312.0","2,386.0","2,612.0","2,821.0","2,783.0","2,722.0","2,986.0","4,107.0","4,800.0","4,693.0","4,791.0","5,036.0","4,656.0","4,423.0","4,086.0","3,610.0","3,551.0"
"45","25","Government social benefit payments to persons","B742RC1","886.0","938.0","985.0","1,107.0","1,246.0","1,371.0","1,483.0","1,711.0","1,945.0","2,184.0","2,534.0","2,790.0","3,178.0","3,658.0","3,977.0","4,424.0","4,902.0","5,452.0","6,384.0","7,210.0","7,912.0","9,248.0","10,530.0","11,480.0","11,370.0","10,974.0","10,736.0","10,954.0","10,729.0","10,384.0","10,626.0","11,384.0","12,698.0","14,190.0","15,685.0","16,646.0","16,987.0","16,906.0","17,374.0","17,677.0","18,264.0","18,798.0","18,671.0"
"46","26","    Net saving","B118RC1","159.0","180.0","228.0","260.0","307.0","377.0","466.0","605.0","986.0","1,487.0","1,772.0","1,318.0","1,304.0","1,224.0","1,209.0","1,427.0","1,315.0","1,864.0","2,192.0","2,523.0","2,330.0","1,977.0","2,359.0","3,140.0","4,192.0","4,639.0","4,045.0","2,817.0","1,173.0","1,693.0","1,707.0","1,980.0","2,603.0","1,517.0","3,391.0","6,908.0","7,408.0","4,670.0","1,853.0","1,202.0","1,735.0","2,209.0","2,787.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Beginning with 2011, includes government transfers to the Social Security trust fund to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","offset the reduction in contributions from employees and the self-employed during the payroll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","tax holiday which was established by the Tax Relief, Unemployment Insurance Reauthorization,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","and Job Creation Act of 2010.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
