"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","    For consistent accounting at historical cost","A1400C1","17,643.0","18,485.0","19,852.0","23,585.0","25,022.0","28,418.0","31,974.0","33,789.0","40,723.0","46,531.0","53,865.0","62,900.0","95,530.0","113,363.0","132,752.0","157,469.0","184,090.0","174,719.0","169,945.0","174,905.0","172,377.0","150,307.0","140,995.0","135,897.0","140,714.0","150,642.0","163,233.0","171,241.0","187,302.0","190,180.0","207,095.0","207,825.0","232,277.0","294,280.0","287,291.0","276,086.0","69,096.0","88,377.0","98,985.0","297,598.0","235,312.0","262,679.0","432,462.0"
"21","3","    For current-cost valuation","A1401C1","-10,793.0","-12,825.0","-15,035.0","-16,454.0","-18,845.0","-26,951.0","-39,284.0","-43,769.0","-50,071.0","-57,475.0","-67,665.0","-81,379.0","-97,387.0","-104,662.0","-96,284.0","-89,965.0","-86,512.0","-86,134.0","-85,000.0","-91,237.0","-95,462.0","-98,902.0","-101,488.0","-95,519.0","-94,484.0","-94,958.0","-98,108.0","-93,048.0","-88,575.0","-81,700.0","-80,169.0","-86,846.0","-89,992.0","-91,909.0","-97,420.0","-115,978.0","-149,186.0","-184,007.0","-202,550.0","-220,677.0","-202,398.0","-191,663.0","-208,659.0"
"22","4","Domestic corporate business","A2201C1","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-180,480.0","-67,093.0","-101,296.0","-75,204.0","35,386.0"
"23","5","    For consistent accounting at historical cost","A1402C1","16,418.0","17,084.0","18,356.0","21,315.0","22,268.0","24,799.0","27,134.0","28,157.0","33,872.0","38,017.0","42,789.0","49,452.0","75,748.0","91,291.0","102,832.0","118,055.0","136,300.0","121,602.0","120,271.0","123,309.0","119,143.0","106,229.0","99,682.0","92,029.0","94,671.0","107,521.0","118,283.0","120,812.0","127,592.0","125,174.0","128,720.0","117,564.0","119,095.0","166,210.0","146,105.0","126,312.0","-52,209.0","-47,147.0","-36,380.0","93,126.0","44,393.0","62,517.0","188,671.0"
"24","6","    For current-cost valuation","A1403C1","-7,448.0","-9,018.0","-10,577.0","-11,503.0","-13,166.0","-19,228.0","-28,822.0","-32,178.0","-36,841.0","-42,017.0","-49,431.0","-59,438.0","-71,596.0","-76,682.0","-69,555.0","-64,077.0","-61,240.0","-60,498.0","-59,289.0","-64,440.0","-67,686.0","-70,575.0","-72,720.0","-67,382.0","-65,969.0","-65,890.0","-68,110.0","-63,119.0","-58,612.0","-51,384.0","-49,007.0","-54,004.0","-55,696.0","-56,799.0","-60,512.0","-74,530.0","-101,166.0","-129,228.0","-144,100.0","-160,219.0","-145,689.0","-137,721.0","-153,285.0"
"25","7","  Financial","B393RC1","-105.0","-190.0","-231.0","-70.0","151.0","37.0","-472.0","-861.0","-1,051.0","-780.0","-1,389.0","-2,778.0","-2,345.0","-3,144.0","-1,960.0","-2,206.0","-1,095.0","-1,568.0","-1,636.0","-3,444.0","-5,292.0","-10,683.0","-12,598.0","-15,651.0","-14,162.0","-12,385.0","-7,451.0","-5,353.0","3,675.0","6,286.0","10,838.0","11,712.0","16,442.0","21,931.0","14,071.0","2,047.0","-24,562.0","-20,382.0","-21,679.0","-35,432.0","-45,871.0","-40,534.0","-27,270.0"
"26","8","    For consistent accounting at historical cost","B1404C1","46.0","13.0","11.0","176.0","497.0","594.0","435.0","89.0","38.0","313.0","16.0","-906.0","-40.0","-534.0","402.0","-345.0","484.0","134.0","411.0","-719.0","-2,301.0","-7,339.0","-8,909.0","-12,879.0","-11,471.0","-9,715.0","-4,651.0","-4,022.0","3,665.0","4,674.0","9,377.0","11,723.0","16,187.0","21,708.0","15,146.0","5,932.0","-17,911.0","-11,051.0","-10,647.0","-23,710.0","-34,074.0","-29,389.0","-14,212.0"
"27","9","    For current-cost valuation","B1405C1","-151.0","-203.0","-242.0","-246.0","-346.0","-557.0","-907.0","-950.0","-1,089.0","-1,093.0","-1,405.0","-1,872.0","-2,305.0","-2,610.0","-2,362.0","-1,861.0","-1,579.0","-1,702.0","-2,047.0","-2,725.0","-2,991.0","-3,344.0","-3,689.0","-2,772.0","-2,691.0","-2,670.0","-2,800.0","-1,331.0","10.0","1,612.0","1,461.0","-11.0","255.0","223.0","-1,075.0","-3,886.0","-6,652.0","-9,331.0","-11,032.0","-11,722.0","-11,797.0","-11,145.0","-13,058.0"
"28","10","  Nonfinancial","A2203C1","9,075.0","8,256.0","8,010.0","9,882.0","8,951.0","5,534.0","-1,216.0","-3,160.0","-1,918.0","-3,220.0","-5,253.0","-7,208.0","6,497.0","17,753.0","35,237.0","56,184.0","76,155.0","62,672.0","62,618.0","62,313.0","56,749.0","46,337.0","39,560.0","40,298.0","42,864.0","54,016.0","57,624.0","63,046.0","65,305.0","67,504.0","68,875.0","51,848.0","46,957.0","87,480.0","71,522.0","49,736.0","-128,812.0","-155,993.0","-158,801.0","-31,661.0","-55,425.0","-34,670.0","62,656.0"
"29","11","    For consistent accounting at historical cost","B1406C1","16,373.0","17,071.0","18,345.0","21,139.0","21,771.0","24,205.0","26,700.0","28,068.0","33,834.0","37,704.0","42,774.0","50,358.0","75,788.0","91,825.0","102,431.0","118,400.0","135,816.0","121,468.0","119,861.0","124,027.0","121,443.0","113,568.0","108,591.0","104,909.0","106,142.0","117,236.0","122,934.0","124,835.0","123,927.0","120,500.0","119,342.0","105,841.0","102,908.0","144,502.0","130,958.0","120,380.0","-34,298.0","-36,096.0","-25,733.0","116,836.0","78,467.0","91,906.0","202,883.0"
"30","12","    For current-cost valuation","B1407C1","-7,298.0","-8,815.0","-10,335.0","-11,257.0","-12,820.0","-18,671.0","-27,916.0","-31,228.0","-35,752.0","-40,924.0","-48,027.0","-57,566.0","-69,291.0","-74,072.0","-67,194.0","-62,216.0","-59,661.0","-58,796.0","-57,243.0","-61,714.0","-64,694.0","-67,231.0","-69,031.0","-64,611.0","-63,278.0","-63,220.0","-65,310.0","-61,789.0","-58,622.0","-52,996.0","-50,467.0","-53,993.0","-55,951.0","-57,022.0","-59,436.0","-70,644.0","-94,514.0","-119,897.0","-133,068.0","-148,497.0","-133,892.0","-126,576.0","-140,227.0"
"31","13","Domestic noncorporate business","W282RC1","-2,120.0","-2,405.0","-2,962.0","-2,681.0","-2,925.0","-4,104.0","-5,623.0","-5,959.0","-6,379.0","-6,944.0","-7,158.0","-8,493.0","-6,009.0","-5,907.0","3,190.0","13,526.0","22,518.0","27,481.0","23,963.0","24,799.0","25,459.0","15,751.0","12,546.0","15,730.0","17,528.0","14,054.0","14,953.0","20,499.0","29,747.0","34,690.0","47,213.0","57,419.0","78,886.0","92,960.0","104,278.0","108,326.0","73,285.0","80,745.0","76,915.0","144,014.0","134,209.0","146,219.0","188,417.0"
"32","14","  Sole proprietorships and partnerships","A2204C1","-1,121.0","-1,325.0","-1,716.0","-1,265.0","-1,245.0","-2,032.0","-3,109.0","-3,160.0","-3,126.0","-3,042.0","-2,577.0","-3,102.0","48.0","544.0","9,703.0","20,170.0","29,237.0","34,467.0","31,247.0","32,387.0","33,322.0","23,818.0","20,660.0","23,845.0","25,947.0","22,758.0","24,035.0","29,764.0","39,294.0","44,521.0","57,510.0","68,348.0","90,434.0","104,794.0","116,809.0","122,276.0","88,751.0","97,719.0","94,322.0","161,156.0","150,214.0","161,870.0","204,096.0"
"33","15","    Farm \1\","B044RC1","-790.0","-904.0","-1,064.0","-1,179.0","-1,253.0","-1,822.0","-2,615.0","-2,917.0","-3,287.0","-3,724.0","-4,428.0","-5,578.0","-6,545.0","-7,110.0","-6,975.0","-6,677.0","-6,194.0","-6,067.0","-5,866.0","-5,733.0","-5,764.0","-5,692.0","-5,678.0","-5,560.0","-5,401.0","-5,342.0","-5,251.0","-5,116.0","-4,803.0","-4,602.0","-4,539.0","-4,467.0","-4,442.0","-4,362.0","-4,441.0","-4,883.0","-5,539.0","-6,017.0","-6,132.0","-6,505.0","-6,339.0","-5,828.0","-5,912.0"
"34","16","    Nonfarm","A2205C1","-331.0","-421.0","-652.0","-86.0","8.0","-210.0","-494.0","-243.0","161.0","682.0","1,851.0","2,476.0","6,593.0","7,654.0","16,678.0","26,847.0","35,431.0","40,534.0","37,113.0","38,120.0","39,086.0","29,510.0","26,338.0","29,405.0","31,348.0","28,100.0","29,286.0","34,880.0","44,097.0","49,123.0","62,049.0","72,815.0","94,876.0","109,156.0","121,250.0","127,159.0","94,290.0","103,736.0","100,454.0","167,661.0","156,553.0","167,698.0","210,008.0"
"35","17","      For consistent accounting at historical cost","B1409C1","1,225.0","1,402.0","1,496.0","2,270.0","2,754.0","3,619.0","4,839.0","5,632.0","6,851.0","8,514.0","11,076.0","13,448.0","19,782.0","22,073.0","29,919.0","39,414.0","47,790.0","53,117.0","49,674.0","51,596.0","53,235.0","44,078.0","41,314.0","43,867.0","46,043.0","43,122.0","44,951.0","50,428.0","59,710.0","65,006.0","78,375.0","90,261.0","113,182.0","128,070.0","141,186.0","149,774.0","121,305.0","135,524.0","135,365.0","204,472.0","190,918.0","200,161.0","243,791.0"
"36","18","      For current-cost valuation","B1410C1","-1,556.0","-1,823.0","-2,148.0","-2,356.0","-2,746.0","-3,829.0","-5,333.0","-5,875.0","-6,690.0","-7,832.0","-9,225.0","-10,972.0","-13,189.0","-14,419.0","-13,241.0","-12,567.0","-12,359.0","-12,583.0","-12,561.0","-13,476.0","-14,149.0","-14,568.0","-14,976.0","-14,462.0","-14,695.0","-15,022.0","-15,665.0","-15,548.0","-15,613.0","-15,883.0","-16,326.0","-17,446.0","-18,306.0","-18,914.0","-19,936.0","-22,615.0","-27,015.0","-31,788.0","-34,911.0","-36,811.0","-34,365.0","-32,463.0","-33,783.0"
"37","19","  Other private business \1\","A2206C1","-999.0","-1,080.0","-1,246.0","-1,416.0","-1,680.0","-2,072.0","-2,514.0","-2,799.0","-3,253.0","-3,902.0","-4,581.0","-5,391.0","-6,057.0","-6,451.0","-6,513.0","-6,644.0","-6,719.0","-6,986.0","-7,284.0","-7,588.0","-7,863.0","-8,067.0","-8,114.0","-8,115.0","-8,419.0","-8,704.0","-9,082.0","-9,265.0","-9,547.0","-9,831.0","-10,297.0","-10,929.0","-11,548.0","-11,834.0","-12,531.0","-13,950.0","-15,466.0","-16,974.0","-17,407.0","-17,142.0","-16,005.0","-15,651.0","-15,679.0"
"38","20","    Rental income of persons","B050RC1","-936.0","-1,002.0","-1,149.0","-1,311.0","-1,561.0","-1,904.0","-2,268.0","-2,516.0","-2,934.0","-3,541.0","-4,164.0","-4,876.0","-5,468.0","-5,834.0","-5,901.0","-6,048.0","-6,138.0","-6,411.0","-6,707.0","-6,979.0","-7,224.0","-7,401.0","-7,448.0","-7,463.0","-7,769.0","-8,046.0","-8,416.0","-8,615.0","-8,916.0","-9,238.0","-9,728.0","-10,349.0","-10,980.0","-11,278.0","-11,989.0","-13,370.0","-14,820.0","-16,243.0","-16,558.0","-16,202.0","-15,085.0","-14,727.0","-14,713.0"
"39","21","      Nonfarm tenant-occupied housing","B2611C1","-853.0","-913.0","-1,050.0","-1,202.0","-1,439.0","-1,755.0","-2,088.0","-2,325.0","-2,724.0","-3,300.0","-3,890.0","-4,561.0","-5,121.0","-5,469.0","-5,539.0","-5,681.0","-5,769.0","-6,026.0","-6,302.0","-6,555.0","-6,780.0","-6,940.0","-6,983.0","-7,000.0","-7,287.0","-7,537.0","-7,880.0","-8,069.0","-8,357.0","-8,658.0","-9,116.0","-9,703.0","-10,300.0","-10,580.0","-11,257.0","-12,552.0","-13,885.0","-15,200.0","-15,468.0","-15,118.0","-14,032.0","-13,740.0","-13,709.0"
"40","22","      Farm tenant-occupied housing","W283RC1","-30.0","-31.0","-33.0","-36.0","-40.0","-47.0","-52.0","-55.0","-62.0","-72.0","-83.0","-93.0","-101.0","-105.0","-104.0","-106.0","-107.0","-111.0","-115.0","-119.0","-123.0","-126.0","-126.0","-126.0","-131.0","-138.0","-144.0","-146.0","-150.0","-152.0","-160.0","-166.0","-174.0","-177.0","-187.0","-208.0","-228.0","-242.0","-242.0","-234.0","-223.0","-219.0","-220.0"
"41","23","      Farms owned by nonoperator landlords","B2614C1","-36.0","-37.0","-40.0","-44.0","-49.0","-55.0","-62.0","-65.0","-73.0","-85.0","-96.0","-108.0","-117.0","-121.0","-120.0","-123.0","-124.0","-129.0","-133.0","-138.0","-141.0","-144.0","-143.0","-144.0","-148.0","-155.0","-160.0","-162.0","-165.0","-169.0","-175.0","-183.0","-190.0","-195.0","-204.0","-221.0","-238.0","-252.0","-251.0","-240.0","-227.0","-219.0","-219.0"
"42","24","      Nonfarm nonresidential properties","B2615C1","-17.0","-21.0","-26.0","-29.0","-33.0","-47.0","-66.0","-71.0","-75.0","-84.0","-95.0","-114.0","-129.0","-139.0","-138.0","-138.0","-138.0","-145.0","-157.0","-167.0","-180.0","-191.0","-196.0","-193.0","-203.0","-216.0","-232.0","-238.0","-244.0","-259.0","-277.0","-297.0","-316.0","-326.0","-341.0","-389.0","-469.0","-549.0","-597.0","-610.0","-603.0","-549.0","-565.0"
"43","25","    Proprietors' income","B1411C1","-63.0","-78.0","-97.0","-105.0","-119.0","-168.0","-246.0","-283.0","-319.0","-361.0","-417.0","-515.0","-589.0","-617.0","-612.0","-596.0","-581.0","-575.0","-577.0","-609.0","-639.0","-666.0","-666.0","-652.0","-650.0","-658.0","-666.0","-650.0","-631.0","-593.0","-569.0","-580.0","-568.0","-556.0","-542.0","-580.0","-646.0","-731.0","-849.0","-940.0","-920.0","-924.0","-966.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Except for farm proprietorships and partnerships (line 15) and other private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","business (line 19), the capital consumption adjustment is calculated in two parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","based on the service lives and depreciation schedules employed by firms when filing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","schedules.  The adjustment for current-cost valuation converts the historical-cost series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","with consistent accounting to a series valued at current cost.  For farm proprietorships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and partnerships and for other private business, the historical-cost series is based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","consistent service lives and empirically based depreciation schedules, so the adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","reflects only a conversion to current-cost valuation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
