"","Table 7#13# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"11","3","      Depreciation or amortization of intangible assets \1\","B1210C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.7,2.2,2.6,3.1,3.7,7.1,8.6,10.4,13.3,16.3,18.6,21.2,22.9,24.1,27.7,32,38.5,46.8,56.1,67.2,78.8,84.4,89.7,96.1,104.1,NA,NA
"12","4","      Other \2\","B1211C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.4,0.4,0.1,0.1,0.3,0.1,0.2,0.1,0.3,0.5,0.6,0.8,1.8,2.1,2.4,2.8,3.3,3.9,4.5,5.2,5.9,6.6,7.1,7.9,9.2,10.1,10.9,11.8,12.2,13.3,15.4,17.5,19.3,21.7,23.7,25.8,27.4,27.2,30,28.5,NA,NA
"13","5","Plus: Accidental damage to fixed capital other than repairable damage","B1212C1",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.8,1.6,1.1,1.1,1.2,1.1,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.9,2.1,2.2,2.3,4.1,2.7,2.9,6.1,5.9,9,4.1,4,4,4.1,5.3,4.7,15.1,5.1,5.2,14.3,23.4,NA,NA
"14","6","      Depreciation of computer software not in IRS depreciation","B1215C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.1,1.4,1.7,2.1,2.6,3.1,3.6,3.9,4.6,5.4,6.3,7.6,9.2,11.1,13.3,15.7,18,20.6,23.9,28,32.7,37.5,42.1,46.4,50.7,55.4,62.2,71.8,84.3,99.4,113.9,124.1,130.6,135.6,139.3,NA,NA
"15","7","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C1",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2,2.1,2.1,2.2,2.5,2.9,3.2,3.8,4.7,6,7.8,10,12,13.8,15.6,16.7,17.1,17.4,17.8,18,18,16.9,15.9,14.5,13.3,12.3,12.3,12.1,12.3,12.6,13.4,14.1,14.6,15.7,17.3,NA,NA
"16","8","      Depreciation of motor vehicles not in IRS depreciation \3\","B1315C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1,1.7,1.9,2.1,2.2,2.3,2.6,3,3.4,3.8,4.1,4.3,4.7,5.1,5.4,5.4,5.3,5.5,5.4,5.4,5.4,5.5,5.5,5.7,2.8,2.7,2.7,2.7,2.8,NA,NA
"17","9","      Depreciation of railroad track charged to current expense \4\","B1628C1",0.4,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.9,0.9,1.3,1.5,1.5,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","      Other \5\","B1214C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.7,0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0,0.1,0.3,0.2,0.3,0.5,0.6,0.9,1.1,1.2,1.3,1.3,1.1,0.9,0.5,0.2,0.1,0.2,0.2,0.2,0.5,0.6,0.8,0.8,2.9,2.3,1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.5,1.5,1.7,1.8,1.9,NA,NA
"19","11","Equals: Capital consumption allowances, NIPAs","A677RC1",4.6,4.6,4.6,4.2,3.9,3.8,3.8,3.8,3.9,3.9,3.9,4,4.5,5.4,5.8,6.6,6.9,5.2,6.3,7.5,8.5,9.3,10.8,12.1,13.8,15.5,17.9,19.4,21.4,22.4,24,25.6,27,30.8,32.9,35.1,38,41.3,45,49.1,54.1,58.1,62.6,70,76.2,84.4,92.7,100.5,115.1,130.2,148.7,169.9,212.3,246.1,273.8,306.9,346.8,350.9,367.5,387.7,403.8,408.7,419,429.8,450.2,492.2,527.6,563.7,609.8,652.1,706.4,748.6,800.6,862.2,858.5,866.8,724,727.1,752.6
"20","12","Less: Capital consumption adjustment","A059RC1",-0.3,-0.1,0.2,0.3,0.3,0.1,0,0,-0.3,-0.4,-0.3,-0.4,-0.4,-0.2,0.2,0.8,0.8,-1.8,-2.4,-2.6,-2.4,-2.3,-2.4,-1.9,-1,-0.2,1.4,0.8,0.8,0.8,2.2,2.3,3,6.2,6.8,7.9,8.6,8.6,9.3,10,9.9,9.2,9.7,10.9,10.2,6.2,-0.2,-2.3,-2.3,-5.8,-8.5,-10.2,7,18.6,37.8,54,72.9,66.5,67.5,68.7,59.2,41.2,23.3,21.1,28.8,35.7,40.7,50.1,56.2,63.1,74.5,58.6,48.1,120.1,98.7,69.7,-134.8,-165.7,-192.7
"21","13","Equals: Consumption of fixed capital, NIPAs","B128RC1",4.9,4.7,4.4,3.9,3.7,3.7,3.7,3.8,4.2,4.3,4.2,4.4,4.9,5.6,5.6,5.8,6.1,7,8.7,10.1,10.9,11.6,13.2,14,14.8,15.7,16.6,18.7,20.5,21.6,21.8,23.3,23.9,24.6,26,27.2,29.4,32.7,35.6,39.1,44.2,48.9,52.9,59.1,65.9,78.2,92.9,102.8,117.4,136,157.2,180.1,205.3,227.5,236,252.9,274,284.4,300,318.9,344.6,367.5,395.7,408.7,421.3,456.6,486.9,513.6,553.6,589,632,690,752.5,742.1,759.8,797.1,858.9,892.8,945.3
"22",NA,"       Nonfarm sole proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","14","Depreciation and amortization, IRS","B1218C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,5.9,5.8,6,6.2,6.5,6.8,7.1,7.5,7.9,8.8,9.6,10.4,11.7,13.4,15.4,17.3,18.9,21.2,24.6,29.7,34.6,42.8,49.6,59.5,72.6,85,94.1,93.6,99.4,104.7,96.5,94.6,98,102.3,102.4,107.3,116.8,130.5,143.4,163.4,182.7,211.4,232,251.2,263.7,236.3,257.6,NA
"24","15","Less: Depreciation or amortization of intangible assets \1\","B1219C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.9,2.7,5.7,6.5,7.7,8.5,9.3,10,10.6,9.4,10.3,NA
"25","16","      Adjustment for misreporting on income tax returns","B1220C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.9,1,1.2,1.5,1.9,2.5,3.1,2.9,5,5.1,6.6,7.5,8.4,8.1,8.6,9.3,8.5,8.6,9,9,9.3,9.2,9.6,10.3,11.2,12.8,14.4,16.2,17.8,19.9,20.5,18.9,20.6,NA
"26","17","      Other \6\","B2626C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1,NA
"27","18","Plus: Accidental damage to fixed capital other than repairable damage","B1221C1",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.8,0.6,0.6,1.2,0.9,4,0.8,0.4,0.4,0.4,0.5,0.4,1.2,0.5,0.6,2.5,5.5,0.6,NA
"28","19","      Depreciation of computer software not in IRS depreciation","B1226C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8,1,1.1,1.2,1.4,1.6,1.7,2,2.2,2.4,2.6,2.8,3.1,3.5,4,4.7,5.5,6.3,6.9,7.3,7.6,7.8,8,NA
"29","20","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1222C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1.1,1.8,2.6,3.2,3.5,3.7,3.7,3.8,3.8,3.8,3.7,3.6,3.7,3.2,2.6,2.2,2.2,2.3,2.7,3,3.2,3.5,3.9,4.4,5.1,6.1,7.4,NA
"30","21","      Depreciation of motor vehicles not in IRS depreciation \3\","B1313C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.5,0.5,NA
"31","22","Equals: Capital consumption allowances, NIPAs","B1314C1",0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.3,1.3,1.4,1.6,2.3,2.7,3.2,3.5,3.9,4.2,4.5,4.6,4.8,5.4,5.8,5.9,6,6,6,6.1,6.4,6.7,6.8,7.1,7.6,8,8.9,9.7,10.5,12.1,13.5,15.1,17,18.4,20.6,23.8,28.6,33.3,42.4,48.1,58.6,70.7,82.4,90.9,90.8,96.1,101.2,93.6,91.6,95.4,99,101.3,102.6,110.8,123.4,133.1,151.9,169.2,197.5,216,233.3,247.6,226.9,242.1,264.6
"32","23","Less: Capital consumption adjustment","A2205C1",-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.3,0,0.3,0.3,0.1,0.3,0.2,0.4,0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.4,-0.1,0,-0.4,-0.4,-0.1,0,0.1,1.1,2,6.5,7.6,16.7,25.4,33.2,38.8,35.8,37.4,37.6,28.1,24,27.8,30.6,26.5,26.2,31.4,40.7,44,55.4,66,94.4,112.8,126.4,130.5,91.6,110.6,126.3
"33","24","Equals: Consumption of fixed capital, NIPAs","B1617C1",1.5,1.5,1.4,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.6,1.5,1.6,1.6,1.8,2.4,2.9,3.2,3.4,4,4.1,4.2,4.4,4.6,5.1,5.4,5.8,5.7,5.8,5.8,5.9,6.1,6.3,6.7,7.2,7.7,8.2,9.2,10.1,10.8,12.2,13.5,15.5,17.4,18.6,20.6,23.7,27.4,31.3,35.9,40.5,41.9,45.2,49.2,52.1,55,58.8,63.6,65.5,67.6,67.6,68.4,74.8,76.4,79.3,82.7,89.2,96.5,103.2,103.1,103.3,106.9,117.1,135.3,131.5,138.3
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Consists of intangible assets that the IRS allows to be amortized.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Consists of depreciation or amortization of the following items: Breeding, dairy, and work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","animals; motion picture films; rental videocassettes; and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Consists of depreciation of employees' motor vehicles reimbursed by business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","depreciation of business motor vehicles charged to current expense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Beginning with 1981, included in IRS depreciation (line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","5. Consists of depreciation of assets owned by Federal Reserve banks, Federally sponsored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","credit agencies, credit unions, and nonprofit institutions serving business; depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","interest paid by public utilities for own-account investment prior to 1987 (beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1987, included in line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","6. Consists of depreciation or amortization of rental videocassettes and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
