"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"17","10","    Information processing equipment and software","A679RX1",100.7,105.9,122.2,138.2,155.7,182.7,218.9,269.9,328.9,398.5,467.6,459,437.4,462.7,505.7,546.7,596.6,653.9,687
"18","11","      Computers and peripheral equipment \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","      Software \3\","B985RX1",39.9,45.1,53,59.3,65.1,71.6,84.1,108.8,129.4,157.2,176.2,173.8,169.7,177.3,193.6,207,215.5,237,249.2
"20","13","      Other \4\","A937RX1",80.1,79.6,84.4,90.9,99.4,107,117.2,127.3,143.2,158,190,181.7,161.1,167.1,181.1,191.6,206.7,218,226.3
"21","14","    Industrial equipment","A680RX1",109.2,102.2,104,112.9,122.9,134.9,139.9,143,148.1,147.9,159.2,145.7,134.5,138.4,134,145.3,153.5,155.7,149
"22","15","    Transportation equipment","A681RX1",81,78.8,80.2,95.1,111.4,120.6,125.4,135.9,145.4,167.7,160.8,142.8,126,113.8,130.6,149.5,159.5,139.4,98.7
"23","16","    Other equipment \5\","A862RX1",96,82,81.6,89.3,96.5,101.7,105.6,115.8,125.7,126.7,131.2,126.9,122.9,130.4,138.3,150.4,156.5,148.4,146.2
"24","17","Residential","A011RX1",298.9,270.2,307.6,332.7,364.8,353.1,381.3,388.6,418.3,443.6,446.9,448.5,469.9,509.4,560.2,595.4,552.9,453.8,359.2
"25","18","  Structures","A012RX1",292.6,264,301.4,326.4,358.6,346.8,375.1,382.4,411.9,436.6,439.5,441.1,462.2,501.2,551.2,586,543.5,444.9,351.1
"26","19","    Permanent site","A943RX1",181.3,156.1,182,194.3,217.6,203.2,222.3,223.5,244.7,262.9,265,266.6,277.3,304.5,339.7,363.7,332.9,247.1,167.6
"27","20","      Single family","A944RX1",154.2,135.1,164.1,179.7,198.9,180.6,197.3,196.6,218.1,234.2,236.8,237.1,246.3,272.6,305.3,325.9,294.9,214.1,135.7
"28","21","      Multifamily","C292RX1",26.7,20.6,17.5,14.1,18.2,22.6,25,26.9,26.6,28.7,28.3,29.5,31,31.9,34.3,37.8,38,33.1,31.6
"29","22","    Other structures \6\","A863RX1",111.6,107.8,119.5,132.1,141.2,143.4,152.8,158.8,167.1,173.6,174.5,174.5,184.9,196.7,211.3,222,210.6,199.4,186.1
"30","23","  Equipment","B013RX1",6,5.8,6,6.1,6.1,6.2,6.2,6.1,6.4,7,7.4,7.4,7.7,8.1,9,9.3,9.6,9.5,9.1
"31","24","Residual","A972RX1",-99,-78,-69,-64.4,-62.5,-44.8,-33.3,-19.7,-8.6,-1.7,-0.1,0.5,-2.4,-3.9,-4.6,-12.3,-41,-78.2,-93.4
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Private fixed investment in structures","A349RX1",567.2,508.1,531.2,554.8,591.3,594,636.4,662.6,706.4,729.7,752.7,747.2,715.4,743.6,796.7,834.4,814.4,756.3,706.5
"34","26","  Private fixed investment in equipment and software","A327RX1",360.7,351.3,376.8,423.3,473.1,529.2,584.8,664.4,752,847.2,926.2,881.6,827.9,851.2,914.1,998.9,1070.6,1088.4,1056.3
"35","27","  Private fixed investment in new structures \7\","W040RX1",538.5,478.6,499.1,522.2,556.2,558.1,596.2,617.7,656.2,676,697.1,688.2,654.7,675.8,716.6,747.1,736.6,690.1,651.8
"36","28","    Nonresidential structures","A771RX1",275.3,244.9,230.3,228.4,232.3,246.9,260.4,278.2,293.5,292.3,312.1,302.3,253.6,243.3,245.8,248.4,269.4,303.5,339.1
"37","29","    Residential structures","A756RX1",263.7,234.1,268.9,293.6,323.6,311.1,335.7,339.4,362.6,383.7,385,385.9,401.8,433.5,472,500,466.8,380.7,299.7
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. The quantity index for computers can be used to accurately measure the real growth rate of this component.  However,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","because computers exhibit rapid changes in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","should not be used to measure the component's relative importance or its contribution to the growth rate of more aggregate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","series; accurate estimates of these contributions are shown in table 5.3.2 and real growth rates are shown in table 5.3.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","7. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
