"","Table 7#14# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","Net profit (less loss) of nonfarm proprietorships and partnerships, plus payments to partners, IRS","B1200C1","41,926.0","41,504.0","42,593.0","45,446.0","48,309.0","49,353.0","49,134.0","56,793.0","64,951.0","70,173.0","74,741.0","67,319.0","55,935.0","48,994.0","63,452.0","75,191.0","78,185.0","80,667.0","90,203.0","124,340.0","129,981.0","140,307.0","146,708.0","184,447.0","209,550.0","231,802.0","248,179.0","287,770.0","311,298.0","335,789.0","369,511.0","393,201.0","401,700.0","414,846.0","443,240.0","512,895.0","634,720.0","692,706.0","626,499.0","410,528.0","431,893.0","....."
"20","2","Plus: Adjustments for misreporting on income tax returns","B2636C1","19,065.0","20,449.0","24,147.0","28,911.0","32,478.0","38,481.0","43,181.0","53,246.0","59,558.0","71,826.0","79,523.0","86,091.0","86,566.0","96,201.0","104,774.0","120,302.0","125,186.0","131,580.0","136,646.0","143,434.0","147,812.0","153,688.0","158,458.0","163,420.0","187,108.0","211,178.0","234,780.0","260,074.0","280,405.0","303,208.0","333,779.0","367,138.0","386,182.0","422,969.0","439,646.0","465,255.0","479,382.0","501,880.0","494,562.0","421,517.0","444,051.0","....."
"21","3","      Posttabulation amendments and revisions \1\","B1201C1","2,705.0","2,813.0","3,979.0","3,552.0","3,575.0","3,039.0","3,716.0","3,269.0","2,471.0","1,945.0","608.0","1,390.0","2,401.0","-3,055.0","-5,435.0","-13,158.0","-16,105.0","-15,407.0","-715.0","-527.0","-2,425.0","3,493.0","3,435.0","-3,609.0","-16,251.0","-29,572.0","-27,971.0","-48,279.0","-55,742.0","-46,988.0","-60,236.0","-59,022.0","-64,813.0","-96,614.0","-131,442.0","-140,546.0","-207,742.0","-220,197.0","-201,323.0","4,676.0","-170,596.0","....."
"22","4","      Depletion on domestic minerals","B1202C1","418.0","365.0","376.0","406.0","424.0","893.0","792.0","721.0","778.0","758.0","1,197.0","1,339.0","1,515.0","2,229.0","1,588.0","1,258.0","1,485.0","1,414.0","951.0","973.0","1,009.0","1,178.0","1,021.0","947.0","783.0","843.0","781.0","938.0","947.0","699.0","784.0","1,093.0","1,145.0","964.0","1,126.0","1,469.0","1,879.0","1,855.0","1,844.0","2,514.0","1,386.0","....."
"23","5","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1203C1","34.0","18.0","0.0","25.0","35.0","173.0","691.0","657.0","1,450.0","2,242.0","1,685.0","3,989.0","8,699.0","7,700.0","1,241.0","-879.0","-1,894.0","-2,472.0","-2,401.0","-2,068.0","-1,137.0","-1,066.0","-2,641.0","-1,790.0","-1,201.0","805.0","833.0","711.0","2,898.0","4,084.0","1,157.0","858.0","4,072.0","3,087.0","5,682.0","5,518.0","10,820.0","10,382.0","11,077.0","8,438.0","-8,845.0","....."
"24","6","      Bad debt expense","B1205C1","495.0","559.0","545.0","524.0","592.0","694.0","723.0","654.0","770.0","786.0","902.0","952.0","1,054.0","1,099.0","1,199.0","1,140.0","1,389.0","1,861.0","2,018.0","2,294.0","2,758.0","4,508.0","3,839.0","3,910.0","3,706.0","3,595.0","4,560.0","6,076.0","6,928.0","8,262.0","9,513.0","10,798.0","13,412.0","15,226.0","13,523.0","14,000.0","15,251.0","12,290.0","21,223.0","32,217.0","40,337.0","....."
"25","7","      Income received by fiduciaries","B1206C1","379.0","380.0","389.0","398.0","416.0","421.0","421.0","423.0","420.0","424.0","422.0","524.0","476.0","472.0","492.0","568.0","610.0","597.0","704.0","816.0","874.0","931.0","940.0","1,011.0","1,031.0","1,060.0","1,102.0","1,139.0","1,184.0","1,218.0","1,229.0","1,313.0","1,358.0","1,319.0","1,374.0","1,449.0","1,548.0","1,639.0","1,704.0","1,701.0","1,526.0","....."
"26","8","      Income of tax-exempt cooperatives","B1207C1","512.0","527.0","574.0","663.0","721.0","732.0","796.0","853.0","936.0","994.0","1,085.0","1,085.0","1,193.0","1,345.0","1,616.0","1,860.0","1,607.0","1,565.0","2,209.0","2,464.0","2,555.0","2,211.0","2,465.0","2,560.0","2,596.0","3,094.0","3,173.0","2,992.0","3,274.0","2,571.0","2,021.0","1,944.0","1,966.0","1,835.0","1,775.0","2,892.0","3,076.0","3,699.0","4,361.0","5,167.0","6,884.0","....."
"27","9","      Disaster adjustments (net) \2\","W778RC1",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-47.0","0.0","-112.0","0.0","0.0","-1,189.0","-2,607.0","0.0","0.0","-1,040.0","0.0","....."
"28","10","Equals: Nonfarm proprietors' income, NIPAs","B046RC1","65,533.0","66,615.0","72,603.0","79,925.0","86,550.0","93,786.0","99,454.0","116,616.0","131,334.0","149,148.0","160,163.0","162,689.0","157,839.0","154,985.0","168,927.0","186,282.0","190,463.0","199,805.0","229,615.0","271,726.0","281,427.0","305,250.0","314,225.0","350,896.0","387,322.0","422,805.0","465,437.0","511,421.0","551,192.0","608,840.0","657,712.0","717,321.0","744,910.0","763,632.0","774,924.0","861,742.0","936,327.0","1,004,254.0","959,947.0","885,717.0","746,636.0","792,965.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","payments written off, of adjustments for corporate partners and statutory employees, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","interest income, and of margins on owner-built housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Consists of disaster losses valued at historic-cost less net insurance receipts for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
