"","Table 5#7#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"34","15","      Nonmerchant wholesalers","A805RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17,826.0","18,009.0","18,553.0","18,506.0","18,958.0","19,365.0","19,804.0","19,877.0","19,625.0","19,686.0","19,923.0","20,191.0","20,606.0","20,981.0","21,405.0","21,783.0","22,169.0","22,477.0","22,854.0","23,149.0","23,371.0","23,460.0","23,533.0","23,644.0","23,855.0","23,938.0","24,117.0","24,228.0","24,416.0","24,716.0","25,275.0","25,741.0","26,352.0","27,277.0","27,760.0","28,072.0","28,530.0","28,519.0","29,097.0","29,387.0","29,578.0","30,084.0","30,516.0","30,878.0","31,076.0"
"35","16","        Durable goods","B806RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,680.0","6,787.0","7,114.0","6,964.0","7,193.0","7,481.0","7,744.0","7,771.0","7,630.0","7,559.0","7,577.0","7,763.0","8,003.0","8,287.0","8,501.0","8,688.0","8,849.0","9,055.0","9,350.0","9,457.0","9,483.0","9,501.0","9,527.0","9,563.0","9,669.0","9,757.0","9,934.0","10,013.0","10,100.0","10,266.0","10,492.0","10,854.0","11,153.0","11,585.0","11,832.0","11,985.0","12,170.0","12,211.0","12,345.0","12,446.0","12,522.0","12,803.0","13,009.0","13,182.0","13,319.0"
"36","17","        Nondurable goods","B807RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,737.0","12,808.0","13,001.0","13,177.0","13,406.0","13,477.0","13,634.0","13,687.0","13,581.0","13,775.0","14,060.0","14,113.0","14,274.0","14,309.0","14,524.0","14,720.0","14,970.0","15,042.0","15,060.0","15,276.0","15,528.0","15,618.0","15,672.0","15,761.0","15,868.0","15,832.0","15,779.0","15,797.0","15,903.0","16,028.0","16,402.0","16,420.0","16,739.0","17,255.0","17,487.0","17,648.0","17,955.0","17,864.0","18,434.0","18,659.0","18,792.0","18,983.0","19,212.0","19,403.0","19,422.0"
"37","18","  Retail trade","A382RX1","39,101.0","39,534.0","38,725.0","41,148.0","43,726.0","44,022.0","44,571.0","45,663.0","44,644.0","44,173.0","46,221.0","44,488.0","44,996.0","46,400.0","48,765.0","51,935.0","54,437.0","54,916.0","53,096.0","52,204.0","50,783.0","49,606.0","50,606.0","52,058.0","52,529.0","53,701.0","54,145.0","53,494.0","53,611.0","53,758.0","54,143.0","53,597.0","55,807.0","57,194.0","58,189.0","59,970.0","60,343.0","60,445.0","60,123.0","60,214.0","60,345.0","61,364.0","62,286.0","62,785.0","61,665.0","60,964.0","60,911.0","61,536.0","62,839.0","64,957.0","65,201.0","64,955.0","69,043.0","69,229.0","69,819.0","69,496.0","67,003.0","67,145.0","67,759.0","68,166.0","69,513.0","70,186.0","71,507.0","72,974.0","73,887.0","73,908.0","75,006.0","76,961.0","78,522.0","80,475.0","82,191.0","81,133.0","84,977.0","86,649.0","87,495.0","89,311.0","91,451.0","94,720.0","94,516.0","96,598.0","97,002.0","96,191.0","95,244.0","96,570.0","98,713.0","100,947.0","100,793.0","104,825.0","106,034.0","107,214.0","110,368.0","112,115.0"
"38","19","    Durable goods","B383RX1","17,163.0","17,562.0","18,027.0","18,441.0","20,284.0","20,495.0","20,591.0","21,073.0","20,548.0","19,687.0","21,953.0","20,082.0","19,387.0","20,346.0","21,322.0","24,650.0","25,472.0","26,364.0","26,111.0","25,388.0","24,627.0","23,852.0","23,952.0","24,859.0","25,551.0","26,123.0","26,840.0","26,061.0","25,693.0","25,779.0","25,807.0","25,255.0","26,505.0","27,684.0","27,916.0","28,842.0","29,123.0","28,361.0","27,922.0","27,827.0","27,760.0","28,549.0","29,424.0","29,962.0","28,929.0","28,029.0","27,590.0","27,809.0","28,592.0","29,811.0","29,562.0","28,813.0","31,386.0","31,786.0","31,962.0","31,808.0","29,702.0","29,425.0","29,151.0","29,005.0","29,260.0","29,336.0","30,342.0","30,959.0","31,101.0","30,859.0","31,463.0","32,992.0","34,099.0","34,837.0","35,841.0","34,438.0","37,128.0","38,284.0","39,065.0","39,572.0","40,709.0","42,853.0","42,320.0","43,288.0","42,373.0","41,215.0","40,502.0","41,232.0","42,489.0","44,551.0","43,784.0","47,089.0","47,554.0","47,458.0","49,551.0","50,673.0"
"39","20","      Motor vehicle dealers \4\","B864RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,227.0","11,997.0","13,227.0","12,764.0","11,729.0","14,615.0","15,150.0","15,384.0","15,174.0","12,969.0","12,983.0","12,975.0","12,984.0","13,220.0","13,155.0","13,919.0","14,694.0","15,045.0","14,794.0","15,236.0","16,675.0","17,513.0","17,911.0","19,120.0","16,909.0","19,135.0","20,618.0","21,400.0","22,320.0","22,514.0","24,204.0","23,131.0","24,542.0","23,603.0","21,746.0","20,634.0","21,518.0","22,750.0","24,422.0","23,090.0","26,432.0","26,604.0","26,202.0","27,792.0","28,792.0"
"40","21","      Other \4\","A865RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","15,454.0","15,548.0","15,677.0","15,809.0","15,939.0","16,005.0","15,952.0","15,930.0","15,952.0","15,782.0","15,535.0","15,308.0","15,176.0","15,219.0","15,333.0","15,627.0","15,581.0","15,443.0","15,421.0","15,611.0","15,857.0","16,186.0","16,524.0","16,501.0","16,914.0","17,581.0","17,486.0","17,583.0","17,351.0","18,168.0","18,768.0","19,076.0","18,890.0","18,792.0","19,143.0","19,341.0","19,325.0","19,498.0","20,035.0","20,345.0","20,738.0","21,007.0","21,215.0","21,839.0","22,067.0"
"41","22","    Nondurable goods","B384RX1","21,178.0","21,232.0","20,084.0","21,956.0","22,735.0","22,818.0","23,238.0","23,820.0","23,340.0","23,723.0","23,490.0","23,636.0","24,811.0","25,231.0","26,575.0","26,416.0","28,039.0","27,639.0","26,120.0","25,957.0","25,320.0","24,939.0","25,825.0","26,344.0","26,102.0","26,682.0","26,385.0","26,538.0","27,038.0","27,097.0","27,455.0","27,484.0","28,395.0","28,546.0","29,307.0","30,124.0","30,202.0","31,147.0","31,299.0","31,502.0","31,710.0","31,887.0","31,870.0","31,786.0","31,781.0","32,067.0","32,509.0","32,918.0","33,392.0","34,224.0","34,767.0","35,368.0","36,726.0","36,469.0","36,888.0","36,725.0","36,493.0","36,954.0","37,905.0","38,495.0","39,613.0","40,229.0","40,476.0","41,313.0","42,104.0","42,394.0","42,861.0","43,189.0","43,579.0","44,787.0","45,452.0","45,910.0","46,922.0","47,384.0","47,407.0","48,724.0","49,689.0","50,729.0","51,089.0","52,177.0","53,577.0","53,998.0","53,802.0","54,373.0","55,205.0","55,260.0","55,929.0","56,481.0","57,214.0","58,521.0","59,497.0","60,076.0"
"42","23","  Other","A385RX1","27,537.0","27,836.0","28,737.0","29,674.0","29,135.0","29,037.0","29,076.0","29,223.0","29,223.0","28,567.0","27,625.0","26,606.0","26,872.0","27,102.0","27,534.0","29,553.0","29,871.0","30,486.0","31,224.0","32,290.0","33,192.0","33,490.0","33,423.0","32,534.0","32,042.0","31,080.0","30,428.0","29,674.0","29,828.0","29,746.0","29,777.0","29,830.0","29,471.0","29,510.0","29,198.0","28,672.0","29,377.0","29,847.0","30,329.0","31,351.0","31,719.0","31,670.0","32,496.0","33,220.0","33,213.0","33,213.0","33,190.0","33,166.0","33,318.0","33,884.0","34,025.0","34,710.0","34,740.0","35,377.0","35,753.0","35,829.0","36,511.0","37,414.0","38,106.0","39,523.0","39,438.0","39,616.0","39,517.0","39,399.0","40,197.0","40,944.0","41,207.0","42,117.0","42,495.0","43,716.0","44,317.0","44,728.0","45,124.0","45,972.0","46,209.0","46,644.0","46,626.0","46,515.0","46,836.0","47,888.0","48,590.0","49,903.0","51,919.0","53,545.0","54,285.0","54,290.0","54,988.0","55,068.0","55,743.0","56,881.0","57,731.0","57,920.0"
"43","24","    Durable goods","B386RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,987.0","3,211.0","3,296.0","3,165.0","3,296.0","3,311.0","3,301.0","3,342.0","3,498.0","3,858.0","4,065.0","4,424.0","4,764.0","4,883.0","5,008.0","5,107.0","5,076.0","5,181.0","5,249.0","5,207.0","5,046.0","5,243.0","5,377.0","5,222.0","5,346.0","5,617.0","5,914.0","5,888.0","5,863.0","5,588.0","5,382.0","5,343.0","5,555.0","5,417.0","5,624.0","5,905.0","6,142.0","5,878.0","5,488.0","5,216.0","4,960.0","4,511.0","4,492.0","5,049.0","4,948.0"
"44","25","    Nondurable goods","B387RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","30,258.0","30,152.0","30,628.0","30,926.0","31,470.0","31,483.0","32,142.0","32,477.0","32,374.0","32,654.0","33,331.0","33,613.0","34,659.0","34,433.0","34,466.0","34,250.0","34,169.0","34,857.0","35,536.0","35,852.0","36,967.0","37,120.0","38,206.0","39,001.0","39,275.0","39,365.0","39,886.0","40,157.0","40,628.0","40,920.0","41,039.0","41,407.0","42,231.0","43,091.0","44,190.0","45,916.0","47,297.0","48,341.0","48,792.0","49,818.0","50,204.0","51,432.0","52,607.0","52,819.0","53,114.0"
"45","26","Residual","A968RX1","23,600.0","22,900.0","21,200.0","19,700.0","20,100.0","20,600.0","21,100.0","21,600.0","21,500.0","21,600.0","22,100.0","22,700.0","22,200.0","21,900.0","21,800.0","19,800.0","19,400.0","18,000.0","16,700.0","15,900.0","15,300.0","15,800.0","16,300.0","16,800.0","17,200.0","17,700.0","18,400.0","18,900.0","18,900.0","18,700.0","18,600.0","18,400.0","18,600.0","18,800.0","19,000.0","19,500.0","19,500.0","19,400.0","18,900.0","18,500.0","18,400.0","18,800.0","18,900.0","18,700.0","18,400.0","18,100.0","18,500.0","18,300.0","18,400.0","18,100.0","17,400.0","16,800.0","17,400.0","17,300.0","17,100.0","16,800.0","15,500.0","14,800.0","15,100.0","14,800.0","15,700.0","15,500.0","15,900.0","15,900.0","16,200.0","16,000.0","15,600.0","15,000.0","15,000.0","14,700.0","14,500.0","14,900.0","15,400.0","15,700.0","16,100.0","16,100.0","16,700.0","16,900.0","17,800.0","17,400.0","17,600.0","18,200.0","17,600.0","16,800.0","17,100.0","17,500.0","17,300.0","17,300.0","17,400.0","17,300.0","17,100.0","17,500.0"
"46","27","    Final sales of domestic business \5\","A809RX1","95,621.0","96,300.0","97,374.0","97,708.0","98,058.0","98,233.0","98,028.0","98,418.0","98,601.0","99,609.0","99,618.0","100,401.0","102,086.0","104,838.0","110,538.0","107,454.0","109,057.0","108,057.0","110,421.0","112,035.0","111,916.0","112,922.0","111,090.0","115,473.0","117,917.0","118,599.0","118,429.0","117,144.0","117,453.0","118,744.0","120,444.0","122,867.0","125,647.0","127,495.0","129,541.0","130,135.0","129,963.0","130,783.0","131,658.0","133,414.0","133,972.0","133,048.0","134,077.0","133,173.0","129,204.0","128,559.0","131,724.0","134,253.0","138,914.0","141,051.0","142,499.0","141,294.0","144,017.0","145,200.0","144,220.0","144,612.0","144,924.0","146,369.0","147,289.0","150,971.0","152,450.0","155,296.0","155,822.0","156,801.0","157,978.0","161,626.0","163,900.0","166,126.0","170,696.0","172,994.0","175,611.0","176,129.0","179,492.0","183,027.0","185,916.0","191,309.0","194,930.0","194,414.0","195,499.0","195,430.0","195,793.0","198,241.0","198,794.0","200,300.0","204,354.0","206,621.0","210,151.0","211,209.0","214,253.0","214,650.0","215,773.0","215,496.0"
"47","28","    Final sales of goods and structures of domestic business \5\","A810RX1","54,534.0","54,616.0","55,312.0","55,944.0","56,272.0","56,112.0","56,041.0","56,230.0","56,120.0","56,864.0","57,107.0","57,792.0","58,907.0","60,760.0","64,528.0","62,176.0","63,270.0","61,874.0","63,484.0","64,807.0","64,514.0","64,981.0","63,549.0","66,798.0","68,331.0","68,685.0","68,552.0","67,976.0","67,834.0","68,607.0","69,306.0","71,026.0","72,987.0","75,181.0","76,018.0","75,767.0","75,457.0","76,029.0","76,411.0","77,054.0","77,856.0","77,040.0","77,664.0","76,395.0","74,010.0","73,473.0","75,119.0","77,061.0","79,530.0","80,578.0","81,630.0","80,443.0","82,420.0","82,830.0","82,647.0","82,431.0","82,457.0","82,661.0","83,705.0","85,934.0","86,887.0","88,232.0","88,940.0","89,256.0","89,973.0","91,903.0","93,685.0","94,723.0","97,499.0","98,525.0","100,394.0","100,146.0","102,296.0","104,050.0","106,274.0","109,782.0","112,450.0","111,091.0","112,173.0","111,492.0","111,234.0","113,016.0","113,117.0","113,790.0","116,242.0","117,177.0","119,423.0","119,759.0","122,052.0","121,559.0","122,190.0","121,202.0"
"48",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","29","  Private inventories to final sales","A811RX2","3.88","3.84","3.76","3.74","3.76","3.81","3.88","3.91","3.90","3.82","3.81","3.73","3.69","3.62","3.47","3.67","3.68","3.81","3.79","3.76","3.79","3.75","3.85","3.74","3.69","3.69","3.72","3.74","3.72","3.66","3.59","3.52","3.46","3.44","3.42","3.44","3.48","3.48","3.48","3.45","3.44","3.48","3.47","3.48","3.56","3.56","3.48","3.44","3.35","3.34","3.31","3.37","3.37","3.36","3.41","3.37","3.35","3.33","3.35","3.30","3.32","3.29","3.32","3.32","3.34","3.29","3.27","3.25","3.19","3.17","3.15","3.17","3.17","3.15","3.14","3.09","3.09","3.16","3.19","3.26","3.32","3.31","3.34","3.35","3.32","3.34","3.32","3.33","3.32","3.35","3.38","3.40"
"50","30","  Nonfarm inventories to final sales","A812RX2","2.27","2.27","2.23","2.25","2.27","2.30","2.34","2.36","2.36","2.30","2.29","2.23","2.22","2.20","2.12","2.30","2.33","2.45","2.47","2.46","2.49","2.44","2.51","2.45","2.42","2.43","2.45","2.45","2.42","2.38","2.32","2.28","2.25","2.26","2.26","2.29","2.33","2.35","2.36","2.35","2.35","2.38","2.38","2.37","2.41","2.38","2.32","2.30","2.25","2.27","2.27","2.32","2.35","2.34","2.38","2.34","2.32","2.30","2.32","2.29","2.32","2.31","2.33","2.34","2.35","2.32","2.33","2.32","2.29","2.29","2.29","2.31","2.33","2.32","2.32","2.29","2.31","2.38","2.42","2.50","2.55","2.54","2.57","2.59","2.57","2.58","2.56","2.58","2.59","2.61","2.64","2.68"
"51","31","  Nonfarm inventories to final sales of goods and structures","A813RX2","3.99","4.00","3.93","3.93","3.96","4.03","4.10","4.13","4.14","4.02","4.00","3.87","3.84","3.79","3.63","3.97","4.01","4.28","4.29","4.24","4.31","4.24","4.38","4.23","4.17","4.20","4.23","4.22","4.20","4.11","4.04","3.94","3.88","3.83","3.85","3.94","4.02","4.04","4.07","4.07","4.05","4.11","4.10","4.14","4.20","4.17","4.07","4.00","3.93","3.98","3.96","4.08","4.10","4.11","4.15","4.10","4.07","4.07","4.08","4.03","4.07","4.06","4.09","4.11","4.12","4.08","4.07","4.07","4.01","4.02","4.00","4.07","4.08","4.08","4.06","3.99","4.00","4.16","4.22","4.38","4.50","4.46","4.52","4.57","4.51","4.55","4.51","4.56","4.54","4.61","4.67","4.76"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Beginning with the fourth quarter of 1990, farm inventories includes materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Prior to the fourth quarter of 1958, inventories held by construction establishments are included in line 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","dealers.  Beginning with 1981, these inventories are included in ""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","periods are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1972 SIC; later estimates for these industries are based on the 1987 SIC.  The resulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
