"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"22","3","  Personal current taxes","W071RC1","11,858.0","12,324.0","13,363.0","13,679.0","14,017.0","14,148.0","14,317.0","14,386.0","14,711.0","15,606.0","16,015.0","17,276.0","19,501.0","20,966.0","21,217.0","21,848.0","21,899.0","22,317.0","23,113.0","23,975.0","23,264.0","24,082.0","25,163.0","25,583.0","25,724.0","26,456.0","27,167.0","28,161.0","29,468.0","30,598.0","31,601.0","32,629.0","33,530.0","34,719.0","35,927.0","37,288.0","38,636.0","40,140.0","40,922.0","42,102.0","42,034.0","42,063.0","45,392.0","46,639.0","46,552.0","48,001.0","49,406.0","51,605.0","52,535.0","53,673.0","55,488.0","56,764.0","57,302.0","58,066.0","60,412.0","60,808.0","61,335.0","64,271.0","68,090.0","70,724.0","73,286.0","75,848.0","76,770.0","78,188.0","79,267.0","80,942.0","81,497.0","83,734.0","84,479.0","85,012.0","87,494.0","91,835.0","92,391.0","101,458.0","94,123.0","98,428.0","99,411.0","97,227.0","104,140.0","107,598.0","113,385.0","118,249.0","114,509.0","112,413.0","119,335.0","122,553.0","123,722.0","124,626.0","121,197.0","124,526.0","126,101.0","129,420.0","127,470.0","136,898.0","136,698.0","140,154.0","136,451.0","138,310.0","143,566.0","145,941.0","146,892.0","141,914.0","151,151.0","152,003.0","156,833.0","152,354.0","160,645.0","162,604.0","165,285.0","165,897.0","169,346.0","174,164.0","177,782.0","176,887.0","184,075.0","189,248.0","195,535.0","201,439.0","201,602.0","206,308.0","208,140.0","209,393.0","216,433.0","223,978.0","232,121.0","243,253.0","236,676.0","234,782.0","250,753.0","259,807.0","232,012.0","229,500.0","222,455.0","211,936.0","225,625.0","227,188.0","219,105.0","210,248.0","234,392.0","240,931.0","240,468.0","237,553.0","252,039.0","264,256.0","269,286.0","273,018.0","277,882.0","286,734.0","298,438.0","305,505.0","300,410.0","305,531.0","322,272.0","325,251.0","323,282.0","321,567.0","335,876.0","369,157.0","325,745.0","306,770.0","282,284.0","275,721.0","289,850.0","291,273.0","289,905.0","286,620.0","300,483.0","313,060.0","319,026.0","330,817.0"
"23","4","    Income taxes","B245RC1","8,940.0","9,316.0","10,287.0","10,533.0","10,770.0","10,853.0","10,979.0","11,010.0","11,301.0","12,164.0","12,539.0","13,756.0","15,911.0","17,317.0","17,496.0","18,064.0","18,026.0","18,393.0","19,099.0","19,938.0","19,166.0","19,938.0","20,965.0","21,335.0","21,430.0","22,075.0","22,707.0","23,600.0","24,775.0","25,816.0","26,730.0","27,715.0","28,644.0","29,799.0","30,931.0","32,166.0","33,365.0","34,715.0","35,391.0","36,453.0","36,332.0","36,313.0","39,551.0","40,660.0","40,437.0","41,734.0","43,049.0","45,156.0","45,985.0","47,018.0","48,761.0","49,884.0","50,246.0","50,866.0","53,064.0","53,372.0","53,693.0","56,542.0","60,204.0","62,701.0","65,049.0","67,393.0","68,102.0","69,340.0","70,249.0","71,769.0","72,181.0","74,289.0","74,965.0","75,357.0","77,667.0","81,807.0","82,077.0","90,923.0","83,369.0","87,467.0","88,279.0","85,800.0","92,491.0","95,826.0","101,291.0","105,833.0","102,142.0","99,814.0","106,638.0","109,512.0","110,751.0","111,475.0","107,950.0","111,221.0","112,227.0","115,482.0","112,714.0","122,258.0","121,935.0","124,601.0","121,765.0","123,948.0","128,663.0","130,524.0","131,395.0","125,763.0","135,082.0","136,724.0","140,623.0","136,122.0","144,241.0","145,962.0","148,999.0","149,633.0","152,847.0","157,825.0","160,726.0","159,572.0","166,757.0","171,613.0","177,707.0","183,227.0","183,384.0","187,762.0","189,319.0","190,540.0","197,424.0","204,845.0","212,702.0","224,026.0","217,048.0","215,640.0","231,612.0","240,092.0","212,146.0","209,494.0","202,613.0","191,302.0","204,888.0","206,249.0","197,956.0","188,537.0","211,780.0","218,015.0","217,024.0","214,102.0","228,094.0","239,728.0","244,666.0","248,287.0","252,761.0","261,086.0","272,406.0","279,124.0","273,950.0","278,836.0","295,288.0","298,200.0","296,048.0","294,124.0","309,336.0","342,407.0","299,005.0","280,004.0","254,995.0","248,048.0","261,516.0","261,929.0","260,016.0","256,072.0","269,564.0","281,948.0","287,748.0","299,127.0"
"24","5","    Other","B247RC1","2,918.0","3,008.0","3,076.0","3,146.0","3,247.0","3,295.0","3,338.0","3,376.0","3,410.0","3,442.0","3,476.0","3,520.0","3,590.0","3,649.0","3,721.0","3,784.0","3,873.0","3,924.0","4,014.0","4,037.0","4,098.0","4,144.0","4,198.0","4,248.0","4,294.0","4,381.0","4,460.0","4,561.0","4,693.0","4,782.0","4,871.0","4,914.0","4,886.0","4,920.0","4,996.0","5,122.0","5,271.0","5,425.0","5,531.0","5,649.0","5,702.0","5,750.0","5,841.0","5,979.0","6,115.0","6,267.0","6,357.0","6,449.0","6,550.0","6,655.0","6,727.0","6,880.0","7,056.0","7,200.0","7,348.0","7,436.0","7,642.0","7,729.0","7,886.0","8,023.0","8,237.0","8,455.0","8,668.0","8,848.0","9,018.0","9,173.0","9,316.0","9,445.0","9,514.0","9,655.0","9,827.0","10,028.0","10,314.0","10,535.0","10,754.0","10,961.0","11,132.0","11,427.0","11,649.0","11,772.0","12,094.0","12,416.0","12,367.0","12,599.0","12,697.0","13,041.0","12,971.0","13,151.0","13,247.0","13,305.0","13,874.0","13,938.0","14,756.0","14,640.0","14,763.0","15,553.0","14,686.0","14,362.0","14,903.0","15,417.0","15,497.0","16,151.0","16,069.0","15,279.0","16,210.0","16,232.0","16,404.0","16,642.0","16,286.0","16,264.0","16,499.0","16,339.0","17,056.0","17,315.0","17,318.0","17,635.0","17,828.0","18,212.0","18,218.0","18,546.0","18,821.0","18,853.0","19,009.0","19,133.0","19,419.0","19,227.0","19,628.0","19,142.0","19,141.0","19,715.0","19,866.0","20,006.0","19,842.0","20,634.0","20,737.0","20,939.0","21,149.0","21,711.0","22,612.0","22,916.0","23,444.0","23,451.0","23,945.0","24,528.0","24,620.0","24,731.0","25,121.0","25,648.0","26,032.0","26,381.0","26,460.0","26,695.0","26,984.0","27,051.0","27,234.0","27,443.0","26,540.0","26,750.0","26,740.0","26,766.0","27,289.0","27,673.0","28,334.0","29,344.0","29,889.0","30,548.0","30,919.0","31,112.0","31,278.0","31,690.0"
"25","6","  Taxes on production and imports","W072RC1","63,309.0","65,073.0","66,989.0","68,805.0","70,610.0","72,431.0","74,324.0","75,963.0","78,252.0","80,227.0","82,806.0","84,719.0","86,368.0","88,526.0","90,350.0","92,544.0","95,060.0","96,333.0","98,669.0","99,622.0","101,022.0","103,992.0","106,834.0","107,504.0","109,021.0","111,683.0","114,899.0","117,257.0","120,870.0","123,516.0","126,025.0","129,645.0","132,880.0","135,500.0","138,332.0","141,052.0","142,960.0","147,695.0","144,235.0","147,590.0","150,585.0","152,557.0","155,558.0","158,968.0","161,901.0","163,344.0","168,150.0","173,273.0","180,182.0","183,668.0","188,322.0","190,688.0","193,929.0","198,298.0","201,721.0","205,960.0","209,600.0","215,983.0","222,042.0","227,967.0","234,672.0","240,280.0","244,724.0","250,216.0","254,683.0","260,049.0","265,063.0","268,529.0","273,003.0","276,559.0","282,339.0","286,799.0","291,907.0","298,533.0","305,966.0","310,014.0","315,524.0","323,271.0","327,395.0","332,358.0","340,281.0","348,136.0","353,804.0","354,283.0","369,086.0","368,737.0","375,747.0","382,742.0","384,567.0","390,279.0","399,339.0","407,119.0","412,607.0","418,002.0","424,049.0","425,666.0","427,584.0","433,188.0","439,626.0","446,670.0","456,437.0","465,531.0","469,682.0","473,398.0","478,312.0","477,949.0","483,732.0","489,407.0","498,112.0","506,536.0","509,928.0","517,024.0","523,680.0","530,547.0","536,611.0","544,274.0","549,642.0","555,413.0","561,529.0","568,514.0","576,204.0","585,419.0","595,252.0","603,737.0","612,440.0","618,924.0","623,769.0","630,087.0","637,016.0","637,748.0","641,773.0","653,095.0","660,739.0","669,678.0","684,092.0","689,435.0","698,193.0","710,291.0","724,538.0","736,998.0","750,043.0","761,796.0","772,997.0","791,564.0","808,799.0","824,480.0","840,029.0","852,292.0","871,936.0","883,767.0","891,754.0","902,187.0","920,561.0","929,427.0","935,582.0","945,226.0","942,399.0","951,588.0","952,234.0","932,243.0","917,519.0","911,776.0","921,447.0","931,698.0","942,605.0","948,607.0","955,430.0","963,566.0","980,676.0","989,076.0"
"26","7","    Sales taxes","B248RC1","27,095.0","28,095.0","29,125.0","29,933.0","30,587.0","31,336.0","32,099.0","32,558.0","33,557.0","34,495.0","36,139.0","37,265.0","38,075.0","39,369.0","40,312.0","41,448.0","42,951.0","43,332.0","44,925.0","45,112.0","45,708.0","47,845.0","49,733.0","49,354.0","49,534.0","50,842.0","52,608.0","53,828.0","55,915.0","57,189.0","57,966.0","59,970.0","61,844.0","63,116.0","64,675.0","66,437.0","67,291.0","70,772.0","71,973.0","73,964.0","75,393.0","76,253.0","77,906.0","79,572.0","81,164.0","80,847.0","83,457.0","85,964.0","89,554.0","89,552.0","91,754.0","92,128.0","92,949.0","95,514.0","97,041.0","99,292.0","101,492.0","106,199.0","109,851.0","113,058.0","116,787.0","119,871.0","121,993.0","125,349.0","127,272.0","130,561.0","132,827.0","133,836.0","136,075.0","137,802.0","142,044.0","143,479.0","145,133.0","148,616.0","152,891.0","154,664.0","157,811.0","162,274.0","163,723.0","165,760.0","168,673.0","172,850.0","174,553.0","173,200.0","183,732.0","181,184.0","185,337.0","186,911.0","184,795.0","187,859.0","193,068.0","196,922.0","200,641.0","201,560.0","207,369.0","207,654.0","210,945.0","214,724.0","217,447.0","222,456.0","225,725.0","230,942.0","233,128.0","235,889.0","240,359.0","239,551.0","243,727.0","247,303.0","252,409.0","255,711.0","256,763.0","259,861.0","262,845.0","266,783.0","270,497.0","274,475.0","277,533.0","281,522.0","285,534.0","290,891.0","292,846.0","298,854.0","305,208.0","309,364.0","314,093.0","316,600.0","316,599.0","319,964.0","322,287.0","320,146.0","319,478.0","325,301.0","325,178.0","328,618.0","334,964.0","335,680.0","339,354.0","345,598.0","352,353.0","357,999.0","363,060.0","367,322.0","371,163.0","381,439.0","391,128.0","399,608.0","408,049.0","410,087.0","423,728.0","429,645.0","432,826.0","435,509.0","442,405.0","447,058.0","448,492.0","450,281.0","448,470.0","447,108.0","446,310.0","434,028.0","424,506.0","416,721.0","421,909.0","424,124.0","429,461.0","434,717.0","442,180.0","446,990.0","453,067.0","459,929.0"
"27","8","    Property taxes","B249RC1","31,551.0","32,291.0","33,132.0","34,078.0","35,129.0","36,166.0","37,193.0","38,208.0","39,207.0","40,102.0","40,893.0","41,578.0","42,158.0","42,818.0","43,557.0","44,375.0","45,273.0","46,065.0","46,751.0","47,331.0","47,805.0","48,465.0","49,310.0","50,340.0","51,554.0","52,772.0","53,993.0","55,217.0","56,442.0","57,655.0","58,853.0","60,038.0","61,543.0","62,817.0","63,841.0","64,599.0","65,275.0","66,057.0","61,336.0","62,324.0","63,164.0","63,992.0","64,816.0","65,640.0","66,516.0","67,796.0","69,464.0","71,528.0","73,892.0","76,248.0","78,020.0","80,160.0","82,440.0","84,492.0","86,328.0","87,940.0","89,325.0","90,901.0","92,665.0","94,617.0","96,757.0","98,793.0","100,717.0","102,533.0","104,469.0","106,454.0","108,480.0","110,561.0","112,643.0","114,908.0","117,291.0","119,790.0","122,548.0","125,141.0","127,719.0","130,280.0","132,398.0","134,891.0","137,744.0","140,951.0","145,019.0","148,377.0","151,545.0","154,515.0","156,622.0","159,703.0","163,080.0","166,727.0","171,212.0","174,726.0","177,846.0","180,500.0","182,865.0","184,417.0","185,424.0","186,006.0","184,818.0","185,890.0","187,799.0","190,525.0","196,002.0","198,767.0","200,758.0","201,949.0","200,773.0","201,623.0","202,984.0","204,936.0","208,120.0","210,867.0","213,747.0","216,674.0","219,976.0","222,560.0","224,818.0","226,766.0","227,908.0","229,604.0","231,856.0","234,664.0","238,032.0","241,284.0","244,429.0","247,463.0","250,389.0","253,271.0","256,109.0","258,907.0","261,658.0","265,304.0","269,841.0","275,269.0","281,585.0","287,244.0","292,238.0","296,569.0","300,225.0","304,313.0","308,801.0","313,701.0","319,014.0","324,213.0","329,300.0","334,277.0","339,139.0","344,188.0","349,410.0","354,811.0","360,390.0","366,489.0","373,100.0","380,225.0","387,570.0","393,869.0","399,124.0","403,333.0","404,303.0","406,933.0","409,647.0","412,449.0","415,337.0","418,276.0","421,251.0","424,272.0","427,336.0","429,878.0","431,895.0","433,391.0","434,274.0","435,149.0"
"28","9","    Other","W073RC1","4,663.0","4,687.0","4,732.0","4,794.0","4,894.0","4,929.0","5,032.0","5,197.0","5,488.0","5,630.0","5,774.0","5,876.0","6,135.0","6,339.0","6,481.0","6,721.0","6,836.0","6,936.0","6,993.0","7,179.0","7,509.0","7,682.0","7,791.0","7,810.0","7,933.0","8,069.0","8,298.0","8,212.0","8,513.0","8,672.0","9,206.0","9,637.0","9,493.0","9,567.0","9,816.0","10,016.0","10,394.0","10,866.0","10,926.0","11,302.0","12,028.0","12,312.0","12,836.0","13,756.0","14,221.0","14,701.0","15,229.0","15,781.0","16,736.0","17,868.0","18,548.0","18,400.0","18,540.0","18,292.0","18,352.0","18,728.0","18,783.0","18,883.0","19,526.0","20,292.0","21,128.0","21,616.0","22,014.0","22,334.0","22,942.0","23,034.0","23,756.0","24,132.0","24,285.0","23,849.0","23,004.0","23,530.0","24,226.0","24,776.0","25,356.0","25,070.0","25,315.0","26,106.0","25,928.0","25,647.0","26,589.0","26,909.0","27,706.0","26,568.0","28,732.0","27,850.0","27,330.0","29,104.0","28,560.0","27,694.0","28,425.0","29,697.0","29,101.0","32,025.0","31,256.0","32,006.0","31,821.0","32,574.0","34,380.0","33,689.0","34,710.0","35,822.0","35,796.0","35,560.0","37,180.0","36,775.0","37,021.0","37,168.0","37,583.0","39,958.0","39,418.0","40,489.0","40,859.0","41,204.0","41,296.0","43,033.0","44,201.0","44,287.0","44,139.0","42,959.0","45,326.0","45,281.0","45,615.0","46,910.0","47,958.0","49,053.0","51,061.0","51,216.0","53,071.0","52,298.0","52,454.0","52,525.0","53,976.0","53,816.0","56,890.0","57,186.0","58,614.0","60,380.0","63,384.0","65,298.0","67,969.0","70,261.0","72,534.0","75,848.0","78,532.0","80,684.0","82,570.0","87,394.0","87,818.0","87,633.0","85,828.0","86,453.0","90,586.0","88,500.0","87,966.0","91,612.0","89,626.0","97,547.0","96,277.0","85,766.0","77,676.0","76,779.0","78,287.0","83,302.0","85,808.0","84,012.0","81,355.0","83,185.0","93,335.0","93,998.0"
"29","10","  Taxes on corporate income","B102RC1","3,808.0","3,668.0","3,516.0","3,448.0","3,756.0","3,736.0","3,832.0","3,636.0","4,088.0","4,216.0","4,372.0","4,460.0","4,992.0","5,044.0","5,224.0","5,748.0","6,036.0","6,072.0","5,856.0","6,148.0","6,328.0","6,632.0","7,280.0","6,476.0","6,112.0","6,636.0","8,196.0","8,444.0","9,676.0","9,628.0","9,660.0","9,580.0","10,516.0","11,388.0","11,848.0","11,964.0","10,516.0","12,372.0","12,480.0","13,056.0","13,692.0","13,792.0","13,608.0","13,180.0","16,068.0","12,756.0","13,952.0","15,088.0","16,816.0","15,164.0","15,656.0","14,132.0","14,140.0","14,268.0","14,380.0","13,348.0","12,784.0","15,664.0","17,392.0","17,744.0","20,068.0","19,860.0","17,544.0","17,724.0","19,964.0","19,628.0","20,920.0","20,476.0","21,384.0","22,048.0","22,376.0","24,836.0","22,679.0","24,519.0","24,825.0","23,582.0","23,424.0","25,223.0","27,305.0","28,176.0","27,812.0","24,247.0","22,801.0","22,096.0","21,420.0","22,111.0","22,978.0","23,436.0","23,784.0","23,420.0","23,731.0","23,629.0","25,193.0","24,742.0","23,177.0","24,408.0","24,832.0","26,754.0","25,192.0","30,847.0","27,106.0","28,721.0","31,401.0","32,653.0","32,540.0","31,287.0","31,887.0","30,909.0","31,931.0","33,527.0","33,284.0","33,350.0","33,109.0","33,558.0","35,546.0","34,368.0","34,686.0","34,544.0","35,679.0","34,827.0","36,254.0","35,462.0","35,583.0","35,885.0","37,188.0","36,549.0","33,479.0","33,708.0","30,114.0","30,385.0","28,312.0","26,601.0","28,300.0","30,157.0","31,466.0","33,533.0","34,516.0","31,731.0","33,559.0","36,181.0","37,828.0","40,794.0","43,889.0","44,320.0","55,301.0","52,976.0","53,306.0","58,189.0","59,596.0","60,223.0","61,648.0","55,133.0","59,090.0","59,340.0","56,209.0","56,504.0","50,129.0","51,541.0","52,760.0","35,021.0","37,617.0","45,040.0","53,108.0","53,859.0","64,151.0","58,203.0","57,936.0","51,129.0","51,727.0","54,350.0"
"30","11","Contributions for government social insurance","B104RC1","980.0","1,016.0","1,040.0","1,068.0","1,072.0","1,080.0","1,092.0","1,112.0","1,132.0","1,164.0","1,184.0","1,216.0","1,256.0","1,308.0","1,336.0","1,380.0","1,424.0","1,468.0","1,520.0","1,556.0","1,596.0","1,644.0","1,684.0","1,736.0","1,752.0","1,800.0","1,868.0","1,952.0","2,036.0","2,132.0","2,236.0","2,344.0","2,512.0","2,704.0","2,856.0","3,028.0","3,184.0","3,348.0","3,484.0","3,624.0","3,768.0","3,856.0","3,932.0","3,964.0","3,608.0","2,916.0","3,812.0","3,952.0","3,744.0","3,828.0","3,908.0","3,960.0","4,012.0","4,036.0","4,056.0","4,068.0","4,036.0","4,056.0","4,148.0","4,320.0","4,520.0","4,672.0","4,752.0","4,764.0","4,724.0","4,760.0","4,896.0","5,164.0","5,488.0","5,792.0","6,116.0","6,432.0","6,732.0","7,036.0","7,344.0","7,716.0","8,016.0","8,292.0","8,508.0","8,692.0","8,760.0","8,860.0","9,020.0","9,256.0","9,532.0","9,856.0","10,216.0","10,536.0","10,988.0","11,420.0","11,832.0","12,236.0","12,608.0","12,972.0","13,308.0","13,604.0","13,828.0","14,052.0","14,236.0","14,400.0","14,568.0","14,604.0","14,528.0","14,360.0","13,992.0","13,748.0","13,468.0","13,192.0","13,012.0","12,660.0","12,280.0","11,860.0","11,288.0","10,908.0","10,640.0","10,456.0","10,480.0","10,460.0","10,336.0","10,128.0","9,876.0","9,700.0","9,664.0","9,768.0","10,024.0","10,440.0","11,028.0","11,796.0","12,688.0","13,460.0","14,076.0","14,540.0","14,928.0","15,440.0","16,184.0","17,144.0","18,288.0","19,476.0","20,640.0","21,844.0","22,996.0","23,912.0","24,520.0","24,844.0","25,088.0","25,108.0","24,756.0","24,060.0","23,064.0","22,128.0","21,304.0","20,588.0","19,652.0","18,888.0","18,548.0","18,600.0","18,716.0","18,836.0","19,040.0","19,364.0","19,748.0","20,088.0","20,332.0","20,484.0","20,568.0","20,684.0","20,856.0","21,080.0","21,316.0","21,592.0"
"31","12","Income receipts on assets","W074RC1","3,984.0","4,225.0","4,458.0","4,681.0","4,944.0","5,113.0","5,238.0","5,317.0","5,447.0","5,480.0","5,511.0","5,542.0","5,652.0","5,768.0","5,986.0","6,306.0","6,928.0","7,444.0","8,015.0","8,653.0","9,429.0","10,021.0","10,487.0","10,823.0","11,228.0","11,284.0","11,215.0","11,013.0","10,511.0","10,351.0","10,347.0","10,523.0","10,915.0","11,355.0","11,890.0","12,500.0","13,222.0","14,079.0","15,082.0","16,249.0","18,215.0","19,531.0","20,784.0","21,982.0","24,347.0","25,563.0","26,877.0","28,293.0","29,937.0","31,358.0","32,673.0","33,884.0","35,222.0","36,270.0","37,252.0","38,140.0","39,532.0","40,693.0","42,021.0","43,526.0","44,918.0","46,687.0","48,556.0","50,535.0","52,864.0","54,468.0","55,369.0","56,663.0","57,659.0","58,303.0","58,708.0","58,906.0","58,518.0","57,993.0","58,039.0","58,122.0","59,052.0","59,888.0","61,031.0","62,181.0","64,121.0","65,222.0","66,254.0","67,175.0","67,462.0","68,406.0","69,610.0","68,366.0","68,795.0","68,312.0","67,736.0","67,081.0","66,887.0","65,025.0","64,180.0","63,176.0","61,972.0","61,334.0","60,885.0","60,929.0","61,631.0","62,419.0","63,901.0","65,165.0","66,570.0","67,782.0","69,233.0","70,471.0","71,583.0","72,780.0","74,101.0","75,324.0","76,638.0","77,707.0","78,659.0","79,632.0","80,434.0","81,010.0","81,760.0","82,652.0","83,058.0","84,408.0","86,478.0","89,180.0","92,936.0","94,824.0","94,956.0","94,416.0","92,980.0","91,347.0","89,183.0","86,634.0","83,417.0","80,527.0","78,268.0","76,360.0","75,115.0","73,941.0","73,459.0","73,374.0","74,108.0","75,779.0","77,763.0","80,878.0","83,040.0","86,286.0","89,867.0","93,827.0","97,913.0","101,908.0","105,465.0","108,710.0","112,068.0","114,155.0","115,683.0","115,982.0","112,366.0","109,088.0","104,558.0","101,236.0","96,925.0","93,357.0","91,748.0","91,154.0","91,413.0","91,453.0","90,499.0","90,315.0","90,576.0","89,121.0"
"32","13","  Interest receipts \1\","B112RC1","3,217.0","3,458.0","3,691.0","3,914.0","4,123.0","4,292.0","4,417.0","4,496.0","4,542.0","4,575.0","4,606.0","4,637.0","4,665.0","4,781.0","4,999.0","5,319.0","5,770.0","6,282.0","6,853.0","7,491.0","8,146.0","8,734.0","9,200.0","9,532.0","9,862.0","9,918.0","9,845.0","9,643.0","9,126.0","8,961.0","8,957.0","9,132.0","9,621.0","10,061.0","10,592.0","11,202.0","11,847.0","12,693.0","13,692.0","14,852.0","16,203.0","17,515.0","18,768.0","19,966.0","21,147.0","22,359.0","23,665.0","25,073.0","26,485.0","27,899.0","29,210.0","30,414.0","31,589.0","32,629.0","33,607.0","34,487.0","35,402.0","36,353.0","37,476.0","38,797.0","40,018.0","41,650.0","43,399.0","45,273.0","47,621.0","49,081.0","49,779.0","50,831.0","51,320.0","51,860.0","52,268.0","52,576.0","52,410.0","52,218.0","52,709.0","53,347.0","54,194.0","55,224.0","56,522.0","57,780.0","59,722.0","60,897.0","62,009.0","63,008.0","63,484.0","64,407.0","64,352.0","64,049.0","64,152.0","63,480.0","62,768.0","62,012.0","61,150.0","59,995.0","59,130.0","58,101.0","56,885.0","56,218.0","55,754.0","55,767.0","56,409.0","57,144.0","58,619.0","59,796.0","61,218.0","62,427.0","63,678.0","64,781.0","65,842.0","66,847.0","67,955.0","69,208.0","70,433.0","71,395.0","72,292.0","73,284.0","74,216.0","74,753.0","75,462.0","76,337.0","76,702.0","77,925.0","79,763.0","82,162.0","85,540.0","87,279.0","87,332.0","86,545.0","85,076.0","83,516.0","81,253.0","78,751.0","75,562.0","72,582.0","70,014.0","67,878.0","66,058.0","64,744.0","63,949.0","63,682.0","64,327.0","65,703.0","67,288.0","69,358.0","71,750.0","74,529.0","77,821.0","81,564.0","85,491.0","89,291.0","92,787.0","95,955.0","98,865.0","100,594.0","101,557.0","101,408.0","97,533.0","94,342.0","89,730.0","86,131.0","82,428.0","79,285.0","77,189.0","76,002.0","75,894.0","75,663.0","74,490.0","73,897.0","73,815.0","72,034.0"
"33","14","  Dividends","B081RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","28.0","28.0","28.0","28.0","32.0","32.0","36.0","36.0","36.0","40.0","40.0","40.0","44.0","44.0","44.0","44.0","44.0","48.0","48.0","52.0","64.0","68.0","76.0","80.0","84.0","84.0","84.0","88.0","92.0","100.0","108.0","116.0","124.0","128.0","136.0","144.0","152.0","156.0","164.0","172.0","176.0","180.0","176.0","172.0","164.0","160.0","160.0","160.0","156.0","156.0","152.0","152.0","148.0","148.0","152.0","156.0","160.0","164.0","168.0","172.0","176.0","176.0","180.0","176.0","176.0","176.0","180.0","181.0","206.0","254.0","311.0","303.0","327.0","349.0","393.0","403.0","448.0","484.0","525.0","533.0","571.0","597.0","643.0","681.0","743.0","755.0","845.0","843.0","839.0","1,026.0","1,144.0","1,172.0","1,326.0","1,495.0","1,419.0","1,410.0","1,504.0","1,579.0","1,607.0","1,570.0","1,649.0","1,674.0","1,627.0","1,552.0","1,491.0","1,475.0","1,470.0","1,472.0","1,337.0","1,228.0","1,383.0","1,416.0","1,351.0","1,470.0","1,451.0","1,463.0","1,489.0","1,642.0","1,610.0","1,837.0","1,669.0","1,734.0","1,720.0","1,685.0","1,779.0","1,903.0","2,597.0","1,941.0","2,066.0","2,099.0","2,142.0","2,213.0","2,340.0","2,355.0","2,408.0","2,419.0","2,328.0","2,432.0","2,405.0","2,731.0","2,710.0","2,860.0","3,207.0","2,669.0","2,182.0","2,473.0","2,740.0","2,646.0","2,537.0","2,459.0","2,650.0","2,859.0","3,009.0"
"34","15","  Rents and royalties","S230541","767.0","767.0","767.0","767.0","821.0","821.0","821.0","821.0","905.0","905.0","905.0","905.0","987.0","987.0","987.0","987.0","1,134.0","1,134.0","1,134.0","1,134.0","1,255.0","1,255.0","1,255.0","1,255.0","1,330.0","1,330.0","1,330.0","1,330.0","1,345.0","1,346.0","1,346.0","1,347.0","1,250.0","1,250.0","1,250.0","1,250.0","1,323.0","1,322.0","1,322.0","1,321.0","1,932.0","1,932.0","1,932.0","1,932.0","3,112.0","3,112.0","3,112.0","3,112.0","3,336.0","3,335.0","3,335.0","3,334.0","3,489.0","3,489.0","3,489.0","3,489.0","3,958.0","4,164.0","4,365.0","4,553.0","4,728.0","4,873.0","4,997.0","5,102.0","5,083.0","5,231.0","5,434.0","5,680.0","6,187.0","6,295.0","6,292.0","6,178.0","5,952.0","5,615.0","5,166.0","4,607.0","4,686.0","4,488.0","4,333.0","4,221.0","4,223.0","4,149.0","4,069.0","3,987.0","3,797.0","3,793.0","5,004.0","4,006.0","4,340.0","4,505.0","4,619.0","4,676.0","5,334.0","4,582.0","4,566.0","4,550.0","4,554.0","4,545.0","4,534.0","4,519.0","4,541.0","4,532.0","4,527.0","4,524.0","4,509.0","4,516.0","4,529.0","4,546.0","4,569.0","4,607.0","4,651.0","4,697.0","4,795.0","4,808.0","4,788.0","4,741.0","4,648.0","4,608.0","4,624.0","4,688.0","4,804.0","4,992.0","5,240.0","5,548.0","5,924.0","6,208.0","6,396.0","6,488.0","6,488.0","6,480.0","6,460.0","6,432.0","6,392.0","6,456.0","6,612.0","6,872.0","7,220.0","7,528.0","7,776.0","7,972.0","8,096.0","8,297.0","8,572.0","8,923.0","9,349.0","9,691.0","9,947.0","10,121.0","10,209.0","10,277.0","10,323.0","10,347.0","10,784.0","11,233.0","11,694.0","12,169.0","12,102.0","12,036.0","11,968.0","11,898.0","11,828.0","11,890.0","12,086.0","12,412.0","12,873.0","13,253.0","13,550.0","13,768.0","13,902.0","14,078.0"
