"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"42","23","  Other","B980RX1","15,199.0","14,519.0","15,081.0","14,719.0","15,687.0","15,123.0","15,322.0","15,396.0","15,806.0","15,326.0","15,252.0","14,802.0","14,656.0","14,168.0","13,901.0","14,667.0","13,910.0","14,091.0","14,182.0","14,093.0","14,451.0","13,935.0","13,527.0","13,064.0","13,178.0","13,472.0","13,675.0","13,836.0","13,817.0","13,282.0","12,796.0","12,253.0","12,108.0","12,128.0","12,149.0","12,316.0","12,416.0","12,718.0","12,680.0","12,665.0","12,468.0","12,239.0","12,413.0","12,420.0","12,598.0","12,704.0","12,804.0","13,308.0","12,918.0","13,001.0","13,391.0","13,984.0","14,386.0","14,880.0","14,841.0","14,653.0","13,964.0","13,517.0","12,943.0","12,582.0","13,051.0","12,576.0","12,255.0","12,171.0","12,300.0","12,375.0"
"43","24","Residual","A977RX1","-22,900.0","-20,700.0","-18,900.0","-15,900.0","-13,300.0","-14,800.0","-12,700.0","-14,700.0","-11,200.0","-8,700.0","-6,700.0","-6,400.0","-8,300.0","-8,500.0","-9,500.0","-9,000.0","-6,400.0","-4,200.0","-3,100.0","-2,800.0","1,000.0","3,100.0","5,100.0","5,100.0","3,100.0","300.0","-2,100.0","-2,100.0","-4,100.0","-3,600.0","-2,800.0","-3,200.0","-3,400.0","-1,800.0","-1,400.0","-500.0","-900.0","-1,200.0","-300.0","0.0","-100.0","400.0","100.0","-500.0","-100.0","-300.0","-300.0","-200.0","-300.0","-100.0","300.0","800.0","2,000.0","1,200.0","100.0","2,700.0","7,400.0","9,400.0","7,100.0","7,600.0","5,400.0","2,500.0","1,900.0","1,200.0","200.0","-5,500.0"
"44","25","    Imports of goods and services","A021RX1","932,582.0","941,450.0","944,686.0","956,756.0","987,859.0","1,009,970.0","1,042,719.0","1,063,286.0","1,108,700.0","1,145,918.0","1,188,147.0","1,213,792.0","1,259,320.0","1,288,179.0","1,305,541.0","1,347,767.0","1,382,095.0","1,426,142.0","1,477,878.0","1,513,328.0","1,574,694.0","1,622,698.0","1,679,374.0","1,678,131.0","1,653,653.0","1,604,402.0","1,565,564.0","1,546,899.0","1,585,655.0","1,639,198.0","1,666,244.0","1,696,194.0","1,675,715.0","1,699,638.0","1,719,621.0","1,783,761.0","1,829,202.0","1,902,640.0","1,930,429.0","1,979,389.0","1,990,914.0","2,012,881.0","2,025,283.0","2,082,083.0","2,121,521.0","2,145,233.0","2,170,909.0","2,168,194.0","2,199,757.0","2,210,676.0","2,216,020.0","2,186,527.0","2,194,139.0","2,180,094.0","2,143,325.0","2,058,579.0","1,855,266.0","1,781,167.0","1,849,651.0","1,925,207.0","1,982,954.0","2,082,438.0","2,143,545.0","2,131,023.0","2,173,924.0","2,181,352.0"
"45","26","Imports of goods \1\","A255RX1","754,684.0","765,094.0","766,734.0","775,361.0","802,954.0","823,150.0","851,047.0","871,732.0","909,253.0","943,837.0","978,202.0","1,000,217.0","1,037,200.0","1,061,515.0","1,073,634.0","1,113,116.0","1,143,462.0","1,183,605.0","1,229,934.0","1,262,821.0","1,311,697.0","1,353,031.0","1,400,830.0","1,401,221.0","1,380,124.0","1,324,857.0","1,299,488.0","1,287,842.0","1,313,207.0","1,369,004.0","1,394,302.0","1,412,296.0","1,396,772.0","1,433,156.0","1,439,172.0","1,490,333.0","1,525,833.0","1,592,490.0","1,618,495.0","1,660,409.0","1,674,942.0","1,694,898.0","1,706,331.0","1,755,749.0","1,782,795.0","1,804,992.0","1,829,623.0","1,818,935.0","1,856,121.0","1,863,846.0","1,865,304.0","1,839,237.0","1,836,355.0","1,825,945.0","1,783,061.0","1,694,014.0","1,508,835.0","1,436,050.0","1,501,635.0","1,577,447.0","1,631,498.0","1,728,455.0","1,779,821.0","1,777,406.0","1,818,382.0","1,825,412.0"
"46","27","  Foods, feeds, and beverages","B647RX1","34,599.0","33,991.0","34,539.0","34,885.0","36,575.0","37,188.0","38,811.0","39,230.0","39,821.0","41,147.0","43,212.0","42,994.0","44,448.0","44,597.0","45,040.0","45,333.0","47,162.0","49,063.0","49,580.0","50,258.0","50,665.0","52,012.0","53,394.0","53,406.0","52,651.0","53,715.0","56,953.0","55,745.0","56,046.0","57,381.0","58,624.0","58,566.0","60,212.0","61,367.0","62,693.0","64,223.0","64,814.0","66,269.0","65,434.0","66,329.0","66,020.0","67,305.0","69,152.0","69,900.0","71,961.0","71,394.0","72,186.0","73,337.0","74,362.0","72,864.0","73,321.0","72,018.0","73,526.0","73,104.0","72,853.0","73,837.0","69,665.0","69,020.0","69,224.0","69,037.0","70,396.0","71,282.0","72,038.0","69,360.0","70,803.0","71,474.0"
"47","28","  Industrial supplies and materials, except petroleum and products","A649RX1","152,331.0","153,747.0","147,687.0","148,088.0","152,606.0","156,087.0","161,442.0","165,957.0","165,964.0","170,806.0","173,760.0","178,051.0","185,876.0","192,163.0","192,852.0","193,821.0","191,485.0","197,086.0","202,413.0","210,835.0","213,550.0","213,647.0","215,949.0","212,850.0","214,620.0","204,117.0","204,574.0","203,117.0","205,354.0","210,231.0","214,607.0","219,801.0","210,075.0","213,656.0","219,846.0","219,946.0","228,663.0","247,704.0","259,580.0","261,856.0","264,046.0","263,051.0","261,563.0","275,467.0","277,562.0","277,887.0","282,813.0","271,327.0","264,980.0","272,405.0","272,803.0","255,909.0","253,435.0","251,072.0","254,989.0","234,295.0","197,514.0","174,109.0","185,379.0","196,539.0","207,434.0","217,973.0","223,058.0","215,301.0","225,470.0","237,704.0"
"48","29","    Durable goods","A820RX1","74,441.0","73,295.0","68,631.0","69,478.0","72,854.0","75,319.0","77,847.0","80,109.0","79,509.0","81,499.0","82,466.0","86,167.0","91,077.0","95,222.0","96,268.0","97,922.0","96,046.0","97,308.0","98,061.0","104,461.0","106,858.0","105,750.0","104,738.0","104,639.0","103,774.0","98,207.0","97,924.0","97,519.0","102,608.0","102,826.0","104,833.0","107,868.0","105,200.0","103,166.0","104,180.0","109,883.0","113,746.0","124,155.0","132,400.0","137,916.0","136,412.0","136,109.0","130,843.0","140,697.0","151,644.0","148,747.0","151,131.0","143,383.0","138,717.0","138,305.0","133,719.0","126,324.0","129,018.0","124,855.0","125,070.0","116,993.0","95,592.0","80,412.0","82,189.0","89,745.0","96,056.0","101,634.0","101,886.0","98,948.0","108,981.0","112,090.0"
"49","30","    Nondurable goods","B696RX1","78,162.0","80,945.0","79,717.0","79,196.0","80,227.0","81,164.0","84,005.0","86,257.0","86,936.0","89,851.0","91,930.0","92,278.0","95,042.0","97,021.0","96,545.0","95,668.0","95,307.0","99,909.0","104,830.0","106,467.0","106,592.0","107,987.0","111,543.0","108,533.0","111,119.0","106,178.0","106,992.0","105,953.0","102,646.0","107,615.0","110,048.0","112,211.0","105,215.0","110,645.0","115,827.0","110,153.0","115,089.0","123,740.0","127,212.0","123,644.0","127,732.0","126,992.0","130,703.0","134,637.0","125,893.0","128,813.0","131,109.0","127,562.0","126,177.0","134,632.0","140,440.0","130,668.0","125,121.0","127,002.0","130,797.0","118,069.0","102,669.0","94,585.0","104,674.0","107,942.0","112,442.0","117,377.0","122,674.0","117,699.0","116,860.0","126,522.0"
"50","31","  Petroleum and products","B648RX1","168,724.0","161,327.0","170,674.0","171,792.0","177,092.0","180,659.0","183,672.0","187,821.0","188,419.0","185,971.0","188,584.0","196,455.0","199,959.0","200,719.0","204,428.0","206,667.0","208,755.0","205,078.0","205,714.0","198,766.0","213,728.0","211,630.0","215,955.0","222,334.0","233,708.0","222,121.0","212,008.0","221,257.0","210,428.0","215,282.0","214,812.0","227,705.0","218,382.0","237,294.0","239,841.0","230,694.0","247,720.0","241,209.0","243,267.0","255,351.0","250,575.0","249,075.0","249,014.0","258,759.0","244,119.0","247,101.0","259,753.0","237,499.0","253,383.0","259,270.0","250,960.0","252,024.0","246,647.0","240,920.0","235,303.0","253,521.0","247,346.0","224,403.0","218,752.0","213,863.0","219,378.0","232,390.0","234,050.0","221,868.0","228,876.0","222,113.0"
"51","32","  Capital goods, except automotive","A650RX1","123,323.0","131,240.0","138,976.0","145,791.0","149,803.0","153,196.0","160,299.0","170,487.0","182,282.0","194,924.0","205,958.0","212,208.0","222,185.0","227,110.0","229,241.0","236,201.0","241,689.0","257,495.0","269,580.0","279,848.0","288,722.0","312,991.0","328,820.0","328,938.0","312,609.0","279,612.0","263,800.0","260,023.0","267,270.0","275,879.0","276,564.0","278,289.0","279,591.0","286,288.0","288,567.0","307,544.0","320,206.0","338,433.0","349,487.0","360,070.0","362,749.0","380,460.0","383,688.0","396,061.0","411,149.0","420,101.0","429,249.0","432,806.0","443,059.0","449,126.0","455,732.0","458,010.0","472,239.0","478,461.0","467,534.0","431,344.0","379,339.0","361,465.0","380,224.0","410,323.0","422,633.0","461,402.0","480,963.0","495,782.0","509,319.0","529,501.0"
"52","33","    Civilian aircraft, engines, and parts","B932RX1","14,530.0","14,967.0","13,980.0","14,274.0","14,406.0","16,346.0","16,847.0","17,858.0","17,505.0","19,162.0","23,547.0","22,418.0","22,159.0","27,674.0","27,520.0","29,427.0","27,016.0","27,764.0","30,781.0","28,764.0","27,601.0","29,251.0","30,999.0","35,016.0","35,323.0","34,936.0","34,337.0","36,051.0","31,553.0","27,231.0","24,472.0","28,603.0","25,337.0","25,761.0","24,458.0","27,737.0","22,171.0","25,573.0","24,771.0","28,275.0","25,956.0","28,242.0","23,927.0","24,878.0","27,541.0","26,572.0","26,089.0","29,054.0","30,789.0","32,025.0","31,659.0","31,485.0","32,785.0","33,118.0","29,424.0","27,144.0","25,016.0","26,007.0","24,245.0","25,039.0","23,888.0","24,382.0","25,390.0","25,829.0","25,840.0","26,322.0"
"53","34","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"54","35","    Other","B853RX1","101,233.0","107,111.0","112,674.0","115,928.0","119,056.0","119,804.0","125,859.0","134,737.0","142,918.0","151,115.0","156,605.0","163,029.0","168,929.0","167,318.0","168,789.0","168,758.0","171,299.0","181,151.0","189,271.0","199,542.0","210,586.0","227,807.0","236,710.0","236,665.0","224,217.0","194,205.0","180,399.0","173,413.0","177,504.0","189,591.0","192,334.0","190,299.0","192,701.0","197,338.0","198,927.0","209,187.0","223,699.0","233,431.0","240,367.0","244,044.0","248,324.0","261,334.0","264,554.0","272,503.0","279,366.0","286,150.0","291,610.0","291,263.0","291,084.0","298,547.0","306,029.0","306,452.0","314,191.0","316,540.0","313,412.0","295,727.0","252,242.0","228,934.0","237,187.0","249,344.0","261,061.0","287,561.0","309,721.0","324,889.0","337,418.0","343,750.0"
"55","36","  Automotive vehicles, engines, and parts","B651RX1","138,616.0","134,749.0","126,973.0","124,480.0","129,998.0","137,314.0","140,700.0","134,602.0","146,187.0","146,484.0","147,725.0","146,064.0","151,174.0","152,813.0","150,419.0","169,965.0","178,161.0","182,779.0","191,197.0","194,496.0","204,964.0","202,344.0","204,131.0","200,069.0","195,685.0","197,525.0","199,050.0","194,575.0","200,468.0","210,576.0","215,821.0","215,327.0","211,687.0","217,873.0","211,017.0","223,358.0","225,002.0","232,690.0","232,268.0","232,407.0","232,143.0","234,697.0","240,011.0","250,945.0","256,769.0","255,898.0","250,127.0","259,791.0","250,927.0","253,255.0","260,553.0","247,766.0","249,358.0","242,931.0","219,810.0","185,107.0","125,778.0","123,525.0","166,853.0","191,506.0","197,010.0","213,923.0","223,721.0","220,901.0","240,371.0","213,518.0"
"56","37","  Consumer goods, except automotive","A652RX1","153,014.0","153,744.0","154,190.0","150,673.0","157,832.0","160,065.0","167,714.0","172,971.0","177,161.0","185,567.0","192,515.0","199,130.0","206,517.0","213,811.0","217,155.0","218,560.0","227,014.0","232,853.0","245,274.0","255,829.0","266,060.0","280,302.0","287,273.0","295,624.0","292,503.0","288,388.0","285,252.0","281,611.0","292,207.0","312,531.0","324,577.0","328,613.0","334,342.0","335,805.0","342,694.0","357,429.0","362,260.0","383,020.0","380,542.0","396,398.0","408,492.0","412,683.0","409,251.0","415,707.0","430,367.0","437,088.0","447,249.0","463,093.0","476,618.0","467,745.0","463,822.0","472,077.0","475,426.0","477,689.0","475,131.0","438,785.0","412,516.0","407,497.0","411,337.0","433,875.0","441,108.0","465,235.0","483,547.0","483,904.0","493,974.0","499,835.0"
"57","38","    Durable goods","B697RX1","75,383.0","75,442.0","75,374.0","74,518.0","78,433.0","79,744.0","83,897.0","84,662.0","87,275.0","91,015.0","94,152.0","98,162.0","102,869.0","106,804.0","108,468.0","110,755.0","112,759.0","119,680.0","125,832.0","130,683.0","139,587.0","144,487.0","147,468.0","153,091.0","148,766.0","143,933.0","143,544.0","143,341.0","150,727.0","163,198.0","167,204.0","166,815.0","166,188.0","168,477.0","176,737.0","187,320.0","189,405.0","201,953.0","202,843.0","214,432.0","219,704.0","220,786.0","226,985.0","228,580.0","236,799.0","235,469.0","242,384.0","254,597.0","259,785.0","253,548.0","258,135.0","264,686.0","262,207.0","264,672.0","265,251.0","238,400.0","219,582.0","219,314.0","217,532.0","229,959.0","238,664.0","254,875.0","265,845.0","267,534.0","272,566.0","268,859.0"
"58","39","    Nondurable goods","B698RX1","77,962.0","78,678.0","79,235.0","76,443.0","79,650.0","80,549.0","84,011.0","88,753.0","90,265.0","94,995.0","98,850.0","101,386.0","103,978.0","107,319.0","109,002.0","108,003.0","114,627.0","113,265.0","119,555.0","125,300.0","126,394.0","135,902.0","139,933.0","142,569.0","143,945.0","144,830.0","142,009.0","138,480.0","141,604.0","149,367.0","157,514.0","162,032.0","168,508.0","167,623.0","166,100.0","170,170.0","172,934.0","181,130.0","177,728.0","181,949.0","188,783.0","191,895.0","182,272.0","187,128.0","193,572.0","201,635.0","204,871.0","208,467.0","216,813.0","214,177.0","205,681.0","207,399.0","213,204.0","213,023.0","209,905.0","200,336.0","192,779.0","188,096.0","193,632.0","203,750.0","202,411.0","210,444.0","217,840.0","216,601.0","221,611.0","230,782.0"
"59","40","  Other","A653RX1","45,916.0","47,918.0","44,470.0","47,211.0","48,433.0","49,117.0","47,380.0","47,421.0","51,028.0","53,773.0","57,904.0","59,150.0","59,419.0","61,081.0","66,666.0","71,364.0","74,314.0","75,655.0","77,267.0","76,969.0","81,278.0","80,086.0","93,126.0","87,745.0","86,486.0","88,890.0","86,808.0","87,278.0","87,767.0","90,672.0","91,079.0","91,018.0","84,858.0","88,279.0","83,310.0","87,196.0","81,823.0","83,387.0","88,374.0","89,531.0","91,626.0","87,666.0","93,564.0","88,254.0","93,141.0","97,743.0","88,206.0","85,998.0","96,709.0","91,818.0","93,135.0","85,701.0","74,450.0","75,617.0","69,713.0","67,797.0","68,269.0","68,442.0","66,297.0","66,035.0","76,899.0","72,250.0","71,894.0","86,508.0","66,577.0","74,189.0"
"60","41","Imports of services \1\","B656RX1","180,769.0","178,458.0","180,281.0","183,984.0","187,043.0","188,544.0","193,221.0","192,517.0","200,412.0","202,556.0","210,496.0","214,042.0","222,682.0","227,185.0","232,580.0","235,039.0","238,882.0","242,591.0","247,829.0","250,205.0","262,828.0","269,377.0","278,181.0","276,392.0","273,038.0","280,052.0","266,191.0","259,012.0","272,471.0","270,029.0","271,761.0","283,797.0","278,893.0","266,630.0","280,270.0","293,214.0","303,139.0","310,052.0","311,913.0","318,983.0","316,024.0","318,023.0","318,948.0","326,246.0","338,642.0","340,145.0","341,285.0","349,475.0","343,824.0","346,901.0","350,647.0","347,108.0","357,840.0","354,016.0","361,091.0","366,051.0","346,963.0","344,806.0","348,402.0","348,784.0","352,759.0","355,621.0","365,486.0","355,580.0","357,543.0","357,925.0"
"61","42","  Direct defense expenditures","B752RX1","14,093.0","12,362.0","12,503.0","13,116.0","14,379.0","14,198.0","14,475.0","14,534.0","15,757.0","15,361.0","17,175.0","18,096.0","17,868.0","17,003.0","18,468.0","17,799.0","18,147.0","19,322.0","20,416.0","18,666.0","19,027.0","20,327.0","21,131.0","19,570.0","20,130.0","20,438.0","21,473.0","25,414.0","26,590.0","27,023.0","27,185.0","27,794.0","28,555.0","30,109.0","31,461.0","33,201.0","32,111.0","33,572.0","32,821.0","30,241.0","29,828.0","30,419.0","29,999.0","30,054.0","30,873.0","29,219.0","29,522.0","28,326.0","24,944.0","24,601.0","23,687.0","22,624.0","22,576.0","21,800.0","22,492.0","25,723.0","26,633.0","26,420.0","25,671.0","24,814.0","26,179.0","27,311.0","27,212.0","25,453.0","24,997.0","23,853.0"
"62","43","  Travel","B768RX1","56,658.0","55,286.0","54,019.0","57,080.0","58,668.0","56,895.0","57,998.0","58,238.0","61,821.0","61,221.0","63,741.0","65,006.0","69,848.0","71,136.0","72,013.0","71,632.0","70,447.0","72,014.0","73,024.0","74,653.0","79,490.0","80,292.0","80,411.0","82,836.0","81,022.0","85,889.0","74,474.0","66,274.0","73,678.0","71,648.0","69,740.0","73,666.0","69,358.0","58,253.0","66,225.0","69,359.0","70,020.0","70,882.0","70,190.0","69,760.0","70,585.0","69,073.0","67,178.0","69,044.0","69,572.0","69,591.0","68,562.0","69,749.0","69,148.0","67,704.0","67,658.0","67,243.0","68,988.0","65,098.0","65,364.0","68,218.0","67,476.0","62,005.0","63,764.0","63,598.0","65,048.0","62,554.0","65,015.0","63,983.0","63,058.0","63,873.0"
"63","44","  Passenger fares","B769RX1","19,583.0","20,639.0","21,297.0","21,648.0","21,608.0","21,946.0","22,644.0","22,307.0","23,251.0","24,382.0","24,794.0","23,349.0","24,214.0","26,121.0","26,911.0","26,881.0","26,756.0","26,662.0","27,007.0","27,826.0","28,628.0","29,699.0","30,232.0","28,011.0","25,776.0","27,094.0","25,689.0","20,866.0","20,897.0","20,514.0","19,617.0","22,484.0","20,646.0","19,834.0","22,287.0","23,235.0","24,576.0","26,638.0","26,228.0","25,548.0","25,203.0","25,871.0","26,971.0","26,550.0","26,106.0","26,490.0","26,038.0","25,627.0","24,277.0","24,924.0","25,605.0","25,725.0","25,529.0","24,621.0","23,920.0","23,913.0","20,259.0","20,947.0","22,171.0","20,312.0","19,113.0","19,695.0","20,455.0","20,537.0","20,927.0","21,243.0"
"64","45","  Other transportation","B770RX1","41,060.0","40,256.0","40,581.0","39,131.0","37,964.0","40,399.0","40,603.0","39,739.0","41,341.0","42,696.0","42,421.0","44,925.0","45,553.0","45,026.0","45,273.0","47,264.0","46,601.0","45,049.0","45,886.0","46,427.0","48,658.0","50,807.0","52,868.0","51,884.0","51,069.0","49,372.0","45,774.0","47,415.0","46,918.0","50,266.0","50,443.0","52,242.0","53,910.0","51,783.0","50,546.0","51,156.0","56,393.0","56,766.0","58,033.0","60,389.0","63,971.0","61,874.0","59,564.0","62,339.0","62,416.0","64,418.0","67,385.0","68,567.0","55,126.0","57,087.0","56,180.0","53,849.0","56,031.0","55,525.0","54,478.0","51,153.0","45,789.0","43,849.0","43,471.0","43,524.0","48,022.0","50,746.0","51,563.0","47,374.0","49,764.0","49,942.0"
"65","46","  Royalties and license fees","B908RX1","7,824.0","8,199.0","8,748.0","9,441.0","8,748.0","8,800.0","11,061.0","9,316.0","10,538.0","10,409.0","11,566.0","11,041.0","12,919.0","12,562.0","13,362.0","14,145.0","14,492.0","15,027.0","15,310.0","16,043.0","17,166.0","17,445.0","20,919.0","19,056.0","18,376.0","18,049.0","18,082.0","18,904.0","21,581.0","20,805.0","21,919.0","20,368.0","19,336.0","19,815.0","21,008.0","21,219.0","22,206.0","23,195.0","25,638.0","25,423.0","23,698.0","24,739.0","25,937.0","24,075.0","23,426.0","21,603.0","21,345.0","24,648.0","24,678.0","23,932.0","23,158.0","22,067.0","26,635.0","25,779.0","29,808.0","25,740.0","25,786.0","27,441.0","27,020.0","28,729.0","32,486.0","28,576.0","29,473.0","29,985.0","30,130.0","30,346.0"
"66","47","  Other private services","B909RX1","36,232.0","36,769.0","38,032.0","38,295.0","39,846.0","40,700.0","40,747.0","42,250.0","42,021.0","42,783.0","44,699.0","45,945.0","46,476.0","48,982.0","49,796.0","50,761.0","55,159.0","56,959.0","58,255.0","58,704.0","61,684.0","62,709.0","64,210.0","66,289.0","67,711.0","70,157.0","70,831.0","70,925.0","73,585.0","71,469.0","74,228.0","78,289.0","78,320.0","77,763.0","79,575.0","85,518.0","87,859.0","88,901.0","88,747.0","97,184.0","92,339.0","95,930.0","99,087.0","103,920.0","115,976.0","118,499.0","118,208.0","122,420.0","134,402.0","137,813.0","143,366.0","144,557.0","148,030.0","151,622.0","155,567.0","160,586.0","150,219.0","153,087.0","154,887.0","156,200.0","151,796.0","156,694.0","161,286.0","157,628.0","158,730.0","158,922.0"
"67","48","  Other","B910RX1","8,427.0","7,866.0","7,971.0","7,906.0","8,071.0","8,111.0","8,312.0","8,288.0","8,314.0","8,481.0","8,706.0","8,561.0","8,678.0","8,597.0","9,131.0","8,968.0","8,742.0","8,646.0","9,123.0","8,852.0","9,087.0","9,288.0","9,483.0","9,461.0","9,579.0","9,654.0","9,695.0","9,714.0","9,784.0","9,585.0","9,515.0","9,578.0","9,627.0","9,507.0","9,646.0","9,846.0","10,190.0","10,357.0","10,465.0","10,350.0","10,466.0","10,107.0","10,213.0","10,207.0","10,109.0","10,111.0","10,137.0","10,131.0","10,276.0","10,167.0","10,272.0","10,135.0","9,368.0","9,209.0","9,143.0","9,712.0","9,775.0","9,692.0","9,788.0","10,194.0","9,558.0","9,631.0","9,944.0","9,770.0","9,218.0","8,992.0"
"68","49","Residual","A978RX1","-77,300.0","-66,200.0","-64,500.0","-59,900.0","-60,900.0","-61,900.0","-60,800.0","-58,700.0","-52,900.0","-46,100.0","-43,500.0","-45,700.0","-42,900.0","-40,800.0","-42,300.0","-37,100.0","-30,500.0","-20,700.0","-16,300.0","-8,600.0","-12,000.0","-4,900.0","-2,200.0","-5,300.0","-14,000.0","-15,300.0","-13,100.0","-20,000.0","-8,400.0","-6,300.0","-3,800.0","-9,500.0","-4,800.0","-9,500.0","-9,900.0","-900.0","-5,100.0","-1,100.0","-700.0","-900.0","-800.0","-100.0","0.0","900.0","-2,100.0","-1,800.0","400.0","-5,000.0","-4,100.0","-2,900.0","-5,900.0","-4,800.0","-9,600.0","-15,300.0","-15,100.0","9,200.0","7,300.0","5,700.0","-2,700.0","-13,500.0","-14,700.0","-19,200.0","-20,300.0","-25,500.0","-24,900.0","-34,200.0"
"69",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","50","  Exports of durable goods","A332RX1","346,348.0","355,327.0","370,702.0","379,658.0","386,960.0","397,009.0","406,420.0","428,793.0","450,136.0","476,029.0","493,602.0","492,098.0","496,686.0","483,049.0","486,211.0","507,703.0","499,213.0","503,550.0","523,048.0","542,082.0","558,205.0","581,163.0","601,393.0","593,844.0","583,573.0","549,103.0","512,743.0","494,841.0","491,264.0","511,321.0","516,002.0","500,426.0","497,648.0","502,261.0","511,440.0","543,634.0","555,977.0","568,688.0","576,867.0","581,205.0","596,899.0","618,648.0","627,726.0","656,159.0","678,297.0","688,244.0","688,505.0","712,860.0","727,718.0","744,221.0","767,273.0","785,370.0","794,836.0","825,143.0","821,755.0","741,529.0","643,968.0","625,271.0","661,569.0","710,020.0","730,474.0","767,929.0","786,318.0","801,785.0","826,294.0","843,464.0"
"71","51","  Exports of nondurable goods","A339RX1","214,043.0","213,506.0","219,481.0","217,805.0","223,207.0","218,547.0","220,213.0","231,741.0","232,098.0","237,114.0","239,781.0","242,719.0","239,541.0","236,159.0","233,833.0","240,703.0","234,234.0","238,435.0","242,432.0","248,171.0","248,920.0","250,322.0","266,118.0","260,499.0","259,788.0","257,482.0","250,916.0","252,595.0","256,327.0","261,827.0","260,247.0","257,966.0","264,589.0","258,910.0","264,552.0","267,194.0","267,979.0","268,935.0","271,225.0","280,481.0","282,323.0","289,445.0","277,899.0","275,245.0","292,095.0","299,747.0","299,931.0","306,714.0","322,679.0","325,786.0","335,417.0","343,700.0","358,346.0","367,522.0","363,955.0","349,530.0","333,365.0","343,348.0","355,333.0","372,944.0","383,893.0","380,323.0","387,083.0","397,334.0","404,209.0","397,766.0"
"72","52","  Exports of agricultural goods \3\","B181RX1","60,060.0","59,180.0","60,291.0","56,636.0","59,882.0","55,695.0","55,629.0","59,215.0","57,295.0","57,809.0","59,218.0","61,022.0","60,704.0","57,866.0","55,558.0","61,091.0","55,127.0","58,878.0","62,797.0","60,087.0","62,297.0","62,665.0","67,597.0","63,617.0","64,932.0","66,258.0","65,735.0","67,227.0","66,471.0","66,276.0","63,232.0","61,489.0","64,046.0","64,280.0","67,420.0","65,150.0","61,382.0","58,127.0","60,829.0","66,558.0","64,459.0","65,523.0","63,639.0","65,930.0","69,450.0","71,664.0","70,592.0","69,757.0","69,896.0","72,806.0","78,796.0","79,645.0","81,015.0","81,826.0","79,508.0","78,361.0","74,456.0","77,695.0","76,307.0","82,270.0","87,349.0","82,588.0","85,087.0","89,245.0","89,167.0","84,869.0"
"73","53","  Exports of nonagricultural goods","A182RX1","494,238.0","504,161.0","524,543.0","536,238.0","545,322.0","556,390.0","567,936.0","598,086.0","622,929.0","654,199.0","673,641.0","672,874.0","675,201.0","660,634.0","664,169.0","687,559.0","678,547.0","683,287.0","703,708.0","731,088.0","746,611.0","771,399.0","802,186.0","792,822.0","780,386.0","741,345.0","698,071.0","679,423.0","679,537.0","705,565.0","711,896.0","695,342.0","696,168.0","695,499.0","707,033.0","744,899.0","762,118.0","779,482.0","787,057.0","794,759.0","814,688.0","842,667.0","842,099.0","865,338.0","900,662.0","916,056.0","917,717.0","950,046.0","981,337.0","997,683.0","1,023,719.0","1,049,277.0","1,073,136.0","1,111,697.0","1,107,422.0","1,015,654.0","907,159.0","895,511.0","946,600.0","1,006,328.0","1,032,167.0","1,070,375.0","1,092,690.0","1,113,955.0","1,145,649.0","1,159,907.0"
"74","54","  Imports of durable goods","A333RX1","414,286.0","422,324.0","422,253.0","430,249.0","446,355.0","459,908.0","476,872.0","486,825.0","514,959.0","536,872.0","556,707.0","569,959.0","594,661.0","609,643.0","614,790.0","646,514.0","662,360.0","693,188.0","722,280.0","746,793.0","779,625.0","807,227.0","834,348.0","833,717.0","805,964.0","763,581.0","746,427.0","737,685.0","763,258.0","796,977.0","808,918.0","812,327.0","804,343.0","819,938.0","822,361.0","871,972.0","889,466.0","938,797.0","960,831.0","989,258.0","996,603.0","1,015,837.0","1,028,396.0","1,060,589.0","1,103,360.0","1,109,312.0","1,117,170.0","1,132,500.0","1,139,112.0","1,138,249.0","1,151,781.0","1,135,524.0","1,145,653.0","1,142,901.0","1,107,355.0","1,001,156.0","848,791.0","812,787.0","873,420.0","947,482.0","986,689.0","1,060,239.0","1,099,388.0","1,116,589.0","1,155,391.0","1,151,310.0"
