"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","2","Goods","DGDSRX0",2393599,2449834,2478775,2521287,2559102,2572582,2599387,2621931,2628045,2635071,2653920,2749540,2742596,2753580,2788314,2796217,2811721,2872229,2953462,2980393,3012806,3029450,3066039,3099389,3136535,3177837,3195493,3198775,3262214,3267844,3294479,3345579,3363481,3376314,3392331,3394925,3348724,3360387,3296562,3185498,3188798,3166888,3222890,3215201,3246978,3288034,3319130,3380462,3402845,3404623,3415206,3457013,3495841,3514746,3546689,3579176,3611943,3639602,3680036,3706143,3709415
"12","3","  Durable goods","DDURRX0",664025,695778,712454,720989,761222,747154,759844,765106,777690,777013,785934,851425,840968,849219,874118,862044,864685,904370,944695,956807,972679,982167,1001345,1015506,1026252,1055365,1067330,1038837,1081348,1080152,1095075,1109606,1122037,1138252,1150899,1155460,1122489,1118994,1084703,1006754,1008610,1002566,1050555,1031542,1045163,1076300,1093761,1127409,1142338,1139996,1154422,1191689,1219744,1228597,1253399,1285199,1303494,1323245,1348576,1357760,1360464
"13","4","    Motor vehicles and parts","DMOTRX0",320664,343486,344517,334334,362723,336659,342687,343673,353227,347326,351460,404553,375776,377863,401703,377911,377403,393801,406582,400511,402409,401972,407284,410304,401196,414390,416623,367774,382073,381919,388514,388023,390477,396212,393296,391170,371918,355180,337369,298790,307597,308944,342159,309531,306206,319712,325749,341956,345233,330007,331324,351050,360325,356314,363457,375813,380566,379720,384342,384160,385014
"14","5","    Furnishings and durable household equipment","DFDHRX0",164177,168065,173615,179079,183579,187110,189592,190707,193558,195296,197175,203146,209596,211393,211098,214708,213971,223393,232557,237253,241873,245802,251341,254290,257752,261922,266764,272910,280314,276953,278274,277654,281323,279621,280672,280157,273271,276586,267208,253613,245184,240874,243576,247609,253974,261398,262690,267944,269580,273362,276952,283989,289466,290134,294128,297335,300346,306896,316590,318227,316933
"15","6","    Recreational goods and vehicles","DREQRX0",105317,110333,115722,121013,128519,130169,133360,136137,138161,141899,144888,151863,157112,159357,161397,164740,167480,175943,187619,195297,200794,206231,212565,217717,227723,236189,240097,246538,261175,263603,269375,281000,286066,293508,304723,311590,308154,318108,312767,295939,298585,294740,305759,316017,324073,333828,340970,348343,357310,365217,374121,385362,395581,404920,416111,426788,435151,447321,460112,463879,467286
"16","7","    Other durable goods","DODGRX0",102032,103403,106508,111979,112550,116150,116813,116075,114495,111745,110988,114444,117372,119371,120239,122541,122724,128563,134538,138700,142074,141313,142603,145103,149543,152350,152976,158434,163838,163156,163951,166763,167661,172113,174619,174392,170591,169746,167615,158034,156921,157765,158909,159102,162206,162489,165418,169391,170750,174136,175610,174192,177451,181944,185019,190136,192834,196830,196925,201248,201432
"17","8","  Nondurable goods","DNDGRX0",1780218,1796766,1805080,1841834,1825701,1862049,1874305,1892339,1881040,1889822,1898574,1914659,1921736,1922707,1927430,1952556,1965967,1980296,2016969,2030935,2046289,2052617,2068522,2087172,2114017,2123202,2127909,2164197,2182086,2189304,2200274,2237006,2241568,2237132,2240189,2238413,2226156,2241750,2212166,2178566,2180158,2164376,2172498,2183471,2201628,2212076,2225986,2254452,2262573,2266470,2263806,2271034,2283621,2293949,2302958,2306652,2322213,2331664,2348552,2365536,2366368
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",657368,664160,670148,680818,674406,684742,686015,693031,690910,695842,693794,695352,692995,694443,697314,703373,708922,707928,718735,717442,724510,725121,730823,738611,749982,752813,759337,768319,771637,779102,780806,791738,793152,789122,789788,793064,789279,792690,782239,763257,761448,767189,771896,779300,786130,780569,783831,795354,797767,800680,798798,798078,803816,808441,811738,813531,817573,815315,820824,827150,828178
"19","10","    Clothing and footwear","DCLORX0",240668,242744,244358,244989,248981,254374,257151,259325,255164,256830,256528,260953,263899,263976,262420,270618,269692,276913,283003,283664,290795,287376,290329,296149,300171,306489,305668,314753,316629,314417,317703,321032,323087,322893,325434,324191,321616,331113,324243,312274,308498,302726,305931,308840,315859,321042,321801,331955,333983,337980,332162,335674,339651,336259,340543,339033,340514,345451,341745,345485,341870
"20","11","    Gasoline and other energy goods","DGOERX0",299488,305757,301565,302474,290983,295950,296593,294216,294966,290628,295398,295615,293942,296397,297524,297910,294844,293973,297378,300837,299788,300271,298364,298738,304202,296762,292330,298692,296252,294056,296101,303307,301631,297659,295463,292599,290164,285759,275861,281827,291862,284742,282297,279098,279326,282543,284191,282822,280419,273845,273574,273046,269920,274726,272466,268760,271725,271130,273245,272970,273739
"21","12","    Other nondurable goods","DONGRX0",596017,599230,601932,626123,618857,634054,640738,650819,646455,651524,658886,667322,673774,671748,674635,682835,693778,700677,716141,727595,728404,737655,746132,750186,756258,762684,766780,777918,793810,799046,802717,817797,820779,825101,827531,827194,823730,833296,834300,821943,818972,809401,811931,816373,821028,828417,836621,845831,852780,859232,864294,869969,878170,880871,886086,895164,901786,910017,923013,931232,933579
"22","13","Services","DSERRX0",5253000,5310972,5375014,5440045,5523947,5587952,5641897,5692436,5716324,5731854,5739217,5757613,5794649,5829633,5853537,5882148,5909200,5943034,5985768,6024465,6084070,6123749,6173440,6235171,6271944,6328258,6382134,6415415,6457824,6504468,6536521,6580240,6620316,6640716,6664335,6676270,6703598,6710570,6696621,6691737,6655296,6634652,6639525,6648506,6668343,6707235,6744608,6788523,6818228,6854132,6896632,6915511,6951205,6981360,6993443,7004680,7031100,7051472,7063634,7124750,7201680
"23","14","  Household consumption expenditures (for services)","DHCERX0",5115790,5172694,5235822,5298982,5377177,5440774,5487461,5532097,5554936,5565795,5569165,5582763,5615734,5644135,5658520,5681233,5708246,5738739,5780675,5819217,5875257,5915994,5966642,6028850,6073665,6124366,6177130,6198315,6231223,6269238,6296870,6342485,6381627,6405357,6425047,6424811,6444799,6441314,6418697,6403718,6376214,6361763,6366342,6369592,6389203,6425634,6467125,6513546,6544485,6578784,6610136,6634727,6667980,6688315,6698036,6703226,6743181,6766101,6775156,6837650,6915507
"24","15","    Housing and utilities","DHUTRX0",1531197,1546073,1562209,1562348,1570511,1592101,1606656,1632833,1641322,1639633,1646294,1644905,1644706,1651617,1654422,1664544,1668048,1673011,1675315,1687556,1698335,1710582,1720338,1742366,1760857,1782259,1802123,1808224,1803771,1824542,1835961,1828474,1837500,1840125,1845439,1840048,1854624,1860228,1854743,1870817,1874043,1877955,1881417,1890556,1897157,1896528,1906495,1916842,1918871,1925078,1937327,1932353,1927801,1949202,1955465,1941917,1964472,1964791,1952595,1960540,1989429
"25","16","    Health care","DHLCRX0",1167289,1171920,1181428,1192613,1199568,1215413,1223682,1236585,1254419,1268636,1287347,1307909,1333862,1353259,1363879,1371309,1379637,1386684,1397204,1406561,1416198,1432786,1453037,1467043,1473802,1483295,1501563,1503115,1511958,1519805,1527960,1541257,1549487,1556273,1570401,1576769,1593680,1596752,1600080,1604790,1616025,1628555,1634899,1630042,1626026,1640900,1657072,1672761,1681699,1692690,1689212,1709559,1730073,1731353,1741108,1750936,1756469,1771922,1783855,1808275,1851579
"26","17","    Transportation services","DTRSRX0",310529,314364,320654,324309,328635,332272,334500,335721,336180,334717,328462,322770,323324,320300,319786,319871,321660,320561,323811,325761,329028,331804,331776,333485,333905,334982,335934,333987,333245,335219,335063,338587,340306,340336,338947,336445,332118,326510,319565,306938,296540,291074,286952,284213,284593,286171,288039,289634,290431,293785,296062,296965,296549,298046,298774,298590,300760,300824,299268,300752,302255
"27","18","    Recreation services","DRCARX0",308883,313772,320533,324116,323830,326596,327077,326321,328928,325533,323721,323508,325551,326059,326943,330647,330460,335647,341109,346194,351576,355220,357794,358556,362436,364471,364514,367279,372191,374357,377088,386071,388818,390514,394570,394393,393155,392505,387678,382548,378954,375332,373619,376095,379061,377044,382389,385330,383107,388664,391334,392082,394022,394362,395422,393725,396052,395115,399169,399599,395568
"28","19","    Food services and accommodations","DFSARX0",505058,508101,510137,522147,530671,535332,537191,535405,539347,534019,531047,530199,538001,542024,543001,543842,547762,558004,567440,573195,579419,580249,585542,591618,595002,603596,607795,614014,623083,619646,623260,632677,629809,631253,631878,637427,628991,632440,626274,616730,605802,599860,598221,597450,603084,607698,611323,616319,624173,631641,636906,643430,650207,654143,656194,666584,670652,671926,672813,685337,681160
"29","20","    Financial services and insurance","DIFSRX0",576227,590822,603819,623803,655197,656505,660831,664410,654415,647606,638473,643403,640190,639920,643623,642983,637227,640152,644969,649972,659846,661864,669043,684180,691660,703233,710515,710937,718508,718406,717370,725975,735366,743218,747002,744559,742299,738315,738863,730214,723790,719028,719201,713802,721467,736148,735415,742686,750683,751370,762775,759031,757195,751065,738117,737701,747589,754935,758316,769667,779265
"30","21","    Other services","DOTSRX0",719448,729084,737436,747869,763601,778550,794009,797791,798714,815593,814872,810953,811618,812875,808555,809911,826370,827555,833701,832696,843225,846064,851433,853030,857107,853017,855010,861256,868621,877729,880974,890087,900507,903326,896154,894703,899721,894506,891211,891575,881032,869930,872010,877513,877984,880983,886333,889817,895093,895129,896063,900624,911190,909811,913186,913599,907061,906197,908466,912464,915514
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",148074,149323,150508,152488,157693,158515,164661,169704,170717,174463,177611,181491,184956,190398,198151,203161,203454,206507,207471,207840,211235,210489,209865,209692,202655,207893,209119,220116,228893,236928,241110,239499,240483,237440,241137,252577,259544,269493,277776,287578,278930,272876,273229,279032,279239,281713,277411,274772,273458,275058,286560,280519,282994,293354,295840,302316,287569,284762,288034,286406,285233
"32","23","    Gross output of nonprofit institutions \2\","DNPERX0",769722,773811,779606,787812,794532,802124,811035,821326,830445,839256,850709,863001,878016,892713,904394,909035,910288,912809,915929,918660,925592,932328,943171,952419,947525,956196,966965,975954,986711,996051,1004068,1009483,1016761,1017190,1022755,1032084,1043394,1050419,1059353,1067657,1068984,1071230,1074769,1075272,1072550,1084003,1090565,1096962,1094803,1098656,1098439,1107967,1122727,1126215,1138067,1141373,1132738,1142186,1148078,1164344,1181146
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",632620,635346,640009,646218,646452,653584,654839,659105,667630,672010,680101,688097,699619,708125,710334,708775,709818,708709,710872,713351,716588,724516,736549,746344,749354,752293,762058,758797,760000,760621,764240,771585,777965,781732,783359,780478,784481,780983,781272,779441,789855,798344,801594,796395,793481,802431,813042,821899,821009,823279,812154,827197,839389,833223,842538,839864,844802,856596,859348,876794,894372
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  PCE excluding food and energy \4\","DPCCRX0",6494559,6596374,6678671,6783451,6917702,6969088,7044884,7100619,7136092,7168875,7194342,7316148,7344703,7379127,7433909,7457217,7498214,7595960,7713578,7773420,7856313,7910499,7996912,8078502,8137414,8235732,8299988,8326408,8448415,8483187,8532773,8620545,8670902,8711774,8752113,8777719,8756855,8780027,8736211,8617080,8576683,8533920,8594099,8588688,8629378,8714651,8773044,8865443,8925131,8971716,9022662,9096800,9181342,9203219,9243745,9305863,9336008,9388818,9446942,9524471,9579040
"36","26","  Energy goods and services \5\","DNRGRX0",492733,503763,507616,495851,482636,499687,502916,514866,508911,489687,494545,491204,491649,503709,506308,514807,509400,508381,505760,513887,515319,516071,509129,515189,520392,516576,516902,517736,501336,510253,517433,515142,521075,517576,516418,503781,506808,500780,481079,496603,505833,500319,496476,495903,500047,500453,506971,508565,500259,490759,494363,485158,473367,492104,492752,476961,497719,496057,487030,490643,512167
"37","27","  Market-based PCE \6\","DPCMRX0",6768094,6870236,6950401,7048180,7138732,7209761,7272757,7341874,7375107,7385168,7417386,7536978,7560537,7604569,7663169,7689316,7719602,7819354,7936199,7998722,8074296,8119953,8197409,8283138,8350308,8441897,8509687,8527307,8612445,8657512,8711870,8800560,8852881,8881847,8922286,8934403,8907622,8926023,8843643,8715434,8694425,8669093,8729982,8728510,8774784,8839356,8901542,9004582,9052166,9089562,9129504,9192132,9257918,9309445,9356861,9402602,9465606,9508541,9549592,9632655,9714425
"38","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",5636842,5722551,5792376,5885761,5989712,6037007,6095029,6146756,6185731,6206096,6235591,6353376,6378262,6411433,6463930,6477366,6505731,6605134,6711428,6767615,6834181,6878064,6955097,7027184,7078243,7169893,7230884,7238957,7338592,7366840,7411615,7492319,7536961,7573584,7614725,7638197,7610936,7633661,7586706,7456547,7427817,7401866,7461843,7453699,7489116,7559070,7611208,7701399,7756348,7802798,7840608,7916497,7992231,8016691,8060619,8124803,8158775,8206610,8253464,8326834,8382401
"39",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","29","      Personal consumption expenditures","DPCERX0",7625793,7744116,7836779,7945880,8067126,8142119,8223072,8296085,8325661,8348298,8376342,8499765,8527033,8572246,8633030,8669144,8712187,8810052,8938165,9004276,9096346,9152393,9239311,9334528,9409522,9507842,9578935,9614865,9722668,9774239,9833395,9929196,9987130,10020409,10060113,10074508,10054055,10073002,9993727,9876187,9843628,9801543,9862679,9863905,9915428,9995295,10063713,10168988,10221298,10258934,10311937,10373065,10447786,10496845,10540988,10584803,10643994,10691916,10744164,10831464,10912308
"41","30","Household consumption expenditures \7\","DPHCRX0",7484639,7601930,7693572,7800828,7916570,7990943,8065036,8132427,8160929,8179159,8203532,8322884,8346107,8384988,8436812,8467230,8510193,8604971,8732468,8798395,8886939,8943943,9031762,9127382,9210195,9303035,9372970,9397065,9495637,9538689,9593509,9691189,9748177,9784735,9820551,9822910,9795125,9803748,9715878,9588223,9564569,9528652,9589479,9584989,9636283,9713677,9786208,9893951,9947461,9983492,10025418,10092173,10164435,10203706,10245446,10283167,10355870,10406323,10455396,10544108,10625965
"42","31","  Food and beverages purchased for off-premises consumption","DFXARX0",657368,664160,670148,680818,674406,684742,686015,693031,690910,695842,693794,695352,692995,694443,697314,703373,708922,707928,718735,717442,724510,725121,730823,738611,749982,752813,759337,768319,771637,779102,780806,791738,793152,789122,789788,793064,789279,792690,782239,763257,761448,767189,771896,779300,786130,780569,783831,795354,797767,800680,798798,798078,803816,808441,811738,813531,817573,815315,820824,827150,828178
"43","32","  Clothing, footwear, and related services","DCAFRX0",260709,262927,264679,265426,269591,275126,277923,280030,275616,277119,276626,280938,283733,283582,281739,289731,288784,296013,302085,302640,309663,306055,308877,314585,318474,324712,323795,332895,334727,332413,335610,338847,340703,340314,342688,341303,338435,347613,340439,328268,323997,317825,320830,323783,330641,335887,336677,346793,348824,352838,347081,350696,354910,351515,355655,353756,354689,359315,355348,358936,355321
"44","33","  Housing, utilities, and fuels","DHUFRX0",1562077,1577702,1593018,1592132,1598408,1621249,1635369,1661336,1670618,1668306,1674762,1673060,1673131,1681052,1683892,1694599,1696229,1701691,1705767,1718869,1727991,1739679,1749451,1769681,1788613,1808740,1826582,1831438,1825701,1848597,1860508,1852837,1862658,1864338,1869187,1862838,1875704,1879280,1873295,1893731,1899205,1902472,1904705,1914674,1920047,1918179,1928692,1938809,1939758,1942769,1955433,1950468,1942194,1964982,1972429,1957218,1980373,1978826,1965626,1976981,2008080
"45","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",307714,311705,318257,326201,332619,335908,337688,338662,341651,343345,344353,350146,357676,359609,359901,365878,367647,379032,391131,398609,405148,410321,417836,421766,425860,431468,437375,445550,454428,450453,451989,452696,457680,456375,458938,459136,451276,454890,443743,425466,412861,406134,407555,412698,419919,428641,430590,438266,441689,447953,452702,459961,467863,470381,476788,481647,487406,494305,506574,508858,507859
"46","35","  Health","DHLTRX0",1386782,1394333,1404015,1432400,1430011,1461945,1473854,1494762,1508902,1525799,1554127,1581936,1610948,1629379,1643410,1654758,1669652,1680507,1699998,1715239,1722730,1745572,1768762,1784630,1793014,1803495,1823902,1829555,1844951,1862087,1874365,1896319,1908955,1920574,1934449,1938528,1957392,1964088,1970320,1975693,1988269,2001701,2009790,2003912,1998613,2017373,2038993,2055130,2066973,2078142,2078384,2102202,2124465,2125345,2135729,2150355,2159803,2182723,2203767,2234765,2280268
"47","36","  Transportation","DTRNRX0",877031,913739,919312,911114,944544,918188,928478,929284,941250,930063,933051,994493,957254,957733,987649,958394,959065,976544,995795,992511,998638,1001672,1005902,1012705,1007355,1017003,1017403,972665,985223,982345,990551,1001120,1002815,1005168,998890,991973,968315,944059,909415,865441,870821,860260,887819,849025,847441,866775,875693,891525,893400,876997,879422,897504,904834,907269,910573,918338,927657,927838,934216,931999,932972
"48","37","  Communication","DCMCRX0",122015,127618,132799,136419,141389,148108,152349,154374,155018,157707,159047,158726,159379,161513,161132,161829,163915,166540,168819,169638,172277,176458,179565,180760,182366,184790,186470,187926,192626,197438,201984,210620,215966,220780,224281,229522,233047,235016,236111,233242,230914,228804,229765,232782,236736,238866,241489,243960,249858,253900,259019,259372,263295,265700,270874,276709,275325,275611,279352,280795,284196
"49","38","  Recreation","DRRLRX0",502870,515776,531239,547367,560347,565197,572598,578190,582182,585647,587844,598834,609493,614789,619713,629482,632422,649850,672792,689025,701694,712356,724932,733637,752801,768343,774492,787856,813365,816650,825848,849781,859615,869811,887403,896145,889446,902470,890963,861030,858979,850440,860395,877312,891561,902815,918137,933158,941126,956537,969920,985573,999777,1011098,1027779,1037673,1049390,1059646,1077875,1083026,1082193
"50","39","  Education","DEDURX0",227868,228767,229131,232172,233493,236342,237972,239219,240580,241320,240205,239021,236590,234668,235040,233329,233013,233742,233036,231588,230315,228060,226370,226285,227000,226589,226935,227366,227964,228356,227631,229191,229455,230032,230532,230962,230449,230756,231372,229746,228918,227966,228795,230524,232629,233524,234377,235221,236433,236944,237450,238182,238715,239214,239859,239457,238357,239650,240764,241269,241661
"51","40","  Food services and accommodations","DFSARX0",505058,508101,510137,522147,530671,535332,537191,535405,539347,534019,531047,530199,538001,542024,543001,543842,547762,558004,567440,573195,579419,580249,585542,591618,595002,603596,607795,614014,623083,619646,623260,632677,629809,631253,631878,637427,628991,632440,626274,616730,605802,599860,598221,597450,603084,607698,611323,616319,624173,631641,636906,643430,650207,654143,656194,666584,670652,671926,672813,685337,681160
"52","41","  Financial services and insurance","DIFSRX0",576227,590822,603819,623803,655197,656505,660831,664410,654415,647606,638473,643403,640190,639920,643623,642983,637227,640152,644969,649972,659846,661864,669043,684180,691660,703233,710515,710937,718508,718406,717370,725975,735366,743218,747002,744559,742299,738315,738863,730214,723790,719028,719201,713802,721467,736148,735415,742686,750683,751370,762775,759031,757195,751065,738117,737701,747589,754935,758316,769667,779265
"53","42","  Other goods and services","DOISRX0",574393,576094,580381,589084,592272,598598,604057,605334,606167,606127,607389,610887,614258,614716,615600,621569,628570,637814,647828,656851,662610,663396,670799,675084,682499,685794,683018,691386,701344,702500,704623,713085,712702,715567,718110,716797,710573,711894,707907,692402,682188,670055,669150,669458,676437,676854,680297,687568,687980,694232,693259,690898,698119,702506,704253,709602,705868,706737,702700,710970,712642
"54","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-12666,-12998,-13934,-13381,-10611,-8006,-2615,-3955,-6947,5497,1175,-898,3589,1603,-5336,-6622,3488,-2965,-1344,-5738,521,79,-1775,-3402,-4037,-10339,-7725,-4494,-3185,-3355,-6271,-10775,-9263,-11366,-22356,-28491,-26932,-33454,-35176,-25472,-22029,-23622,-19560,-18869,-26427,-28255,-27860,-29466,-29718,-35096,-38991,-37356,-34331,-39398,-42982,-47288,-46182,-46443,-46092,-48567,-51658
"55","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",148074,149323,150508,152488,157693,158515,164661,169704,170717,174463,177611,181491,184956,190398,198151,203161,203454,206507,207471,207840,211235,210489,209865,209692,202655,207893,209119,220116,228893,236928,241110,239499,240483,237440,241137,252577,259544,269493,277776,287578,278930,272876,273229,279032,279239,281713,277411,274772,273458,275058,286560,280519,282994,293354,295840,302316,287569,284762,288034,286406,285233
"56","45","  Gross output of nonprofit institutions \2\","DNPERX0",769722,773811,779606,787812,794532,802124,811035,821326,830445,839256,850709,863001,878016,892713,904394,909035,910288,912809,915929,918660,925592,932328,943171,952419,947525,956196,966965,975954,986711,996051,1004068,1009483,1016761,1017190,1022755,1032084,1043394,1050419,1059353,1067657,1068984,1071230,1074769,1075272,1072550,1084003,1090565,1096962,1094803,1098656,1098439,1107967,1122727,1126215,1138067,1141373,1132738,1142186,1148078,1164344,1181146
"57","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",632620,635346,640009,646218,646452,653584,654839,659105,667630,672010,680101,688097,699619,708125,710334,708775,709818,708709,710872,713351,716588,724516,736549,746344,749354,752293,762058,758797,760000,760621,764240,771585,777965,781732,783359,780478,784481,780983,781272,779441,789855,798344,801594,796395,793481,802431,813042,821899,821009,823279,812154,827197,839389,833223,842538,839864,844802,856596,859348,876794,894372
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
