"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115"
"38","30","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1250C0",1249,1281,1314,1348,1380,1408,1431,1446,1415,1411,1395,1372,1365,1358,1358,1363,1374,1378,1361,1330,1292,1269,1246,1225,1204,1188,1175,1164,1155,1149,1145,1143,1128,1125,1121,1118,1172,1211,1232,1234,1206,1190,1174,1162,1146,1145,1151,1163,1199,1212,1216,1213,1191,1178,1171,1170,1175,1178,1178,1175,1170,1163,1154,1143,1131,1124,1123,1127,1136,1176,1245,1344,1472,1624,1798,1996,2216,2361,2429,2421,2338,2254,2172,2090,2009,1947,1904,1880,1876,1836,1760,1648,1500,1372,1262,1172,1101,1041,990,949,919,895,878,867,862,859,857,856,820,786,753,721
"39","31","      Imputed interest paid to the rest of the world","W370RC0",5961,5599,5174,5034,4751,4752,4717,4692,4673,4669,4991,4758,4944,4855,4552,4357,4264,4120,4048,3996,3815,3783,4082,4144,4510,4846,5056,5372,5705,6027,6393,6531,6929,7346,7273,7468,7474,7224,6947,6728,6459,6156,6167,6122,6120,6238,5939,5982,5814,5537,5277,4804,4849,4583,4684,4861,5016,5077,4838,4525,4131,3909,3804,3644,3538,3710,3782,3970,3969,3880,3803,3692,3832,3972,4250,4454,4458,4442,4550,4597,4809,4757,4606,4520,4636,4402,5005,4797,5094,5625,5664,5926,5572,5783,5635,5922,5559,5764,5766,6015,6242,5870,6418,6365,5953,5581,5400,5286,5089,4702,4703,4862
"40","32","      Adjustment for grossing of parent/affiliate transactions \5\","B2628C0",5848,5928,5644,5516,5160,4976,6184,5356,4696,4680,4952,5488,4624,5196,5232,5336,4924,4660,5384,5640,5716,6312,6120,6304,5368,5056,5100,5732,4948,6632,5400,5208,2636,2868,2960,3244,3088,3512,3492,3580,3168,3404,3444,3592,3860,4020,5000,5332,3964,4356,4352,5024,4580,4660,4764,5500,6056,6112,6528,6676,5892,6076,5664,5456,4184,4972,4692,5372,4060,4096,4416,4576,4040,4408,4612,6140,6100,6312,6600,7568,7388,8184,8828,9272,8212,10636,10064,11436,10244,9884,9256,9124,7852,9132,6948,7196,5708,6368,7596,7796,5464,6888,6900,7776,6412,6712,7344,7036,5848,5704,6306,6750
"41","33","Equals: Income payments, NIPAs","A655RC0",94320,96633,91031,95484,98015,103245,108132,113801,120482,123659,133291,140403,149043,158098,154362,150135,154244,152892,157585,151900,147315,139437,136423,123931,122058,125038,119691,117112,113940,122912,120394,137162,137149,152351,168766,184446,190598,198267,210231,205206,202369,209294,219017,227808,246234,251543,262254,263845,263677,269944,271749,268809,273148,283601,306019,314387,332567,352307,350344,347512,320853,288288,283418,201459,248533,281390,283425,255477,283073,280656,292576,295976,311224,352452,363504,418262,434706,461467,481787,551082,585595,648243,686682,702450,733437,777321,762697,722869,724222,714157,673176,623638,506344,496731,474021,508958,493012,506685,520796,535724,524205,554245,550088,539668,570007,555708,564389,572798,575867,570135,559076,572880
"42","34","Balance on goods and services and income, ITAs (1+6+12-18-24-28)","B1260C0",-116040,-117936,-126364,-131828,-136548,-137932,-137692,-137424,-107512,-93124,-88088,-94808,-89776,-77660,-61680,-64144,-68424,-47520,-56792,-36500,-19484,-4272,-4612,348,3904,-14164,-20744,-28904,-25752,-46272,-45584,-62408,-65944,-78656,-86096,-94688,-87964,-91528,-69736,-52764,-64792,-81268,-105628,-75328,-104448,-74124,-88204,-115864,-127804,-155952,-182996,-180764,-205792,-240084,-275944,-285468,-343716,-344848,-374564,-369508,-369020,-326584,-352824,-282008,-341512,-401500,-402660,-426272,-465500,-449440,-447328,-428892,-452728,-537532,-549228,-623596,-581496,-614412,-640048,-725180,-708708,-708564,-756724,-662252,-664460,-647444,-566196,-515732,-578656,-581512,-574324,-490128,-275024,-227052,-243252,-294976,-297956,-339672,-353788,-295460,-325200,-340464,-294484,-336616,-352284,-311376,-297592,-281656,-287617,-249059,-249621,-198096
"43","35","Less: Gold (2-19+21)","A2031C0",-6804,1488,1136,-2908,-1928,-1068,-1836,-3536,-124,-856,-408,-992,-2444,-2444,-2342,-3750,-808,-2151,-1203,-211,-2348,-2102,-1556,-2271,-520,-3281,-2335,-2445,-1461,-4434,-5552,-478,-4102,-2774,-1982,-2623,-2314,-6670,-2711,-3472,-4040,-5781,-4994,-3661,-5698,-5471,-2935,-3829,-4596,-3833,-4813,-2164,-2387,-2076,-3499,-2988,-2736,-1674,-2283,-2623,-1824,-1268,-2115,-2062,-1509,-2185,-1524,-1187,-918,-985,-1228,-1202,-2118,-1978,-1378,-2173,-763,-1013,-1720,-2260,-1026,-526,863,-156,-878,2514,-523,629,2562,2325,924,1974,1871,-1164,-208,-1295,932,-3143,1970,-10589,6369,1439,13642,7454,14454,9432,2484,6218,19599,13697,7809,-1301
"44","36","      Statistical differences (3+7+13-20-25-29)","B1261C0",0,-3,4,-6,0,-4,-1,5,2,1,-1,-5,19,9,31,22,-8,-30,-22,-24,-52,-63,-56,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-604,-600,-464,-716,-560,-596,-496,-700,-636,-564,-448,-624,-496,-652,-920,-864,-280,-712,-480,-496,-232,-864,-572,-312,4,-604,-136,-260,604,-720,304,-12,-2616,-3164,-2456,-4640,-4668,-5848,-6704,-2404,3352,-448,7796,-13256,0,0,0,0,0,0,0,0,0,0,0,0,-880,9466,3363,3363
"45","37","      Other items (8)","B1262C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1438,1428,1587,1377,1384,1488,1404,1568
"46","38","Plus: Adjustment for U.S. territories and Puerto Rico (4+9+14-22-26-30)","B1263C0",5377,6032,6709,7269,7733,8007,8148,8157,8388,8451,8585,8774,8825,8764,8629,8475,8621,8155,7786,7712,9563,8315,7493,7734,7920,10314,9426,10991,8321,10901,8979,10301,9944,9547,10321,11796,11675,9354,13079,11476,10674,12353,14139,15666,14313,15368,12735,12843,14731,13485,14504,13927,14545,14406,13511,17039,14494,15033,10736,12334,15799,13243,11992,14079,17032,15880,14452,12170,15565,12025,15583,13365,17615,17369,10959,12753,11200,22712,18731,18761,15841,7754,18115,22703,8582,13330,12836,20415,14628,14970,12732,15741,14847,11297,16941,19742,9297,14257,13730,-3388,26765,21241,28499,23464,25413,23119,24919,30464,22063,11551,24924,28737
"47","39","Equals: Net exports of goods and services and net receipts of income, NIPAs (5+11+17-23-27-33)","A1072C0",-103864,-113387,-120793,-121640,-126878,-128855,-127710,-125734,-99010,-83824,-79116,-85047,-78586,-66511,-50797,-51985,-59035,-37230,-47837,-28632,-7704,5346,4012,10141,12168,-759,-9305,-16858,-17721,-31736,-31369,-51994,-52363,-66827,-74707,-80706,-74707,-76095,-54838,-38498,-50667,-63814,-87469,-56568,-84935,-53767,-73011,-99907,-109072,-139036,-164283,-165653,-188851,-223684,-259281,-265384,-326928,-328392,-362354,-354541,-351693,-312360,-338990,-265799,-323084,-383598,-386411,-412645,-449477,-436486,-430827,-414691,-433718,-518311,-537391,-609423,-570852,-591409,-620974,-705519,-693802,-700666,-741015,-640358,-653846,-634821,-551994,-492711,-563320,-564638,-557652,-475563,-267028,-215599,-235437,-262026,-291613,-324528,-344019,-289797,-306336,-321986,-281449,-322118,-342762,-299112,-276748,-258785,-285656,-262159,-237285,-172988
"48","40","Unilateral current transfers, net, ITAs","B1089C0",20796,24832,25832,25076,20512,22008,22824,27704,24296,22460,23608,30740,24192,23012,26520,30956,26160,30576,29356,20532,-59312,-14372,12132,21952,28840,33396,38068,46244,33356,36444,39624,49824,33980,35656,40336,51092,37772,36524,38172,39824,44968,38092,38604,50412,39868,41068,42664,56640,48212,49444,52560,62532,47568,45408,47252,55580,50844,53468,56776,71556,60300,61568,65264,69192,74152,59952,60160,64976,72980,68320,70000,72196,94056,85404,84424,90352,95368,99096,98020,105560,76092,92768,101280,87528,129824,105792,109984,114128,139472,124816,124828,111632,109904,125756,131772,118816,139624,121752,128180,121448,141372,135152,128020,129604,131084,130672,129372,127624,132560,137936,135840,126380
"49","41","Less: Statistical differences \2\","B1264C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,-3632,-696,-1600,-528,76,-772,-1208,-304,-1560,204,-232,-8,0,-196,-520,-28,-2216,-704,-740,2292,-64,-60,-908,-19596,-1604,-452,-3264,-5972,-1672,716,-1464,980,-132,-2384,1012,4532,-572,-1984,-4780,-5716,4432,32,-2340,0,0,0,0,0,0,0,0,0,0,0,0,-5304,-4120,-4656,-4656
"50","42","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1655C0",3670,3647,3606,3589,3551,3528,3524,3576,3580,3683,3743,3846,3939,4069,4357,4561,4863,5080,5203,5170,5059,4963,4931,5012,5139,5256,5357,5333,5469,5513,5583,5603,5752,5817,5799,5884,5940,5998,6024,5942,6429,6550,6553,6449,6366,6284,6368,6438,6792,6791,6973,6828,7005,7000,7166,7637,7339,7560,6662,7607,8020,8148,7598,8285,8511,8676,8381,8482,8829,9096,8803,8776,8783,8584,8594,8857,9206,9104,9187,9279,10171,10239,10283,10232,10610,10748,10803,10465,10642,16281,10998,11545,12116,16036,12775,13779,14012,13910,14158,15027,15725,15652,15580,14806,15057,14775,14963,14978,15947,14520,14768,14557
"51","43","Equals: Current taxes and transfer payments to the rest of the world, net, NIPAs","A123RC0",24468,28483,29438,28665,24064,25538,26351,31287,27876,26144,27353,34583,28131,27079,30874,35514,31021,35653,34561,25704,-54254,-9402,17063,26960,33985,38655,43425,51580,38826,41959,45207,55427,39731,41474,46134,56974,43713,42522,44197,45766,51398,44640,45155,56859,46234,47352,49032,63078,55004,56235,59533,69360,54547,56040,55115,64817,58711,60952,64210,80371,68624,71276,72658,77709,82671,68628,68737,73978,81839,79634,79508,81715,100547,94050,93076,100115,124171,109804,107660,118101,92241,104678,110844,99225,139457,116667,123170,123577,145581,141669,137811,127957,127736,137360,144515,134935,153636,135662,142338,136475,157097,150804,143600,144410,146141,145447,144335,142602,152397,156571,155270,145593
"52","44","Balance on current account, ITAs (34-40)","B1265C0",-136836,-142768,-152196,-156904,-157060,-159940,-160516,-165128,-131808,-115584,-111696,-125548,-113968,-100672,-88200,-95100,-94584,-78096,-86148,-57032,39828,10100,-16744,-21604,-24936,-47560,-58812,-75148,-59108,-82716,-85208,-112232,-99924,-114312,-126432,-145780,-125736,-128052,-107908,-92588,-109760,-119360,-144232,-125740,-144316,-115192,-130868,-172504,-176016,-205396,-235556,-243296,-253360,-285492,-323196,-341048,-394560,-398316,-431340,-441064,-429320,-388152,-418088,-351200,-415664,-461452,-462820,-491248,-538480,-517760,-517328,-501088,-546784,-622936,-633652,-713948,-676864,-713508,-738068,-830740,-784800,-801332,-858004,-749780,-794284,-753236,-676180,-629860,-718128,-706328,-699152,-601760,-384928,-352808,-375024,-413792,-437580,-461424,-481968,-416908,-466572,-475616,-422504,-466220,-483368,-442048,-426964,-409280,-420177,-386995,-385461,-324476
"53","45","Less: Gold (35)","A2031C0",-6804,1488,1136,-2908,-1928,-1068,-1836,-3536,-124,-856,-408,-992,-2444,-2444,-2342,-3750,-808,-2151,-1203,-211,-2348,-2102,-1556,-2271,-520,-3281,-2335,-2445,-1461,-4434,-5552,-478,-4102,-2774,-1982,-2623,-2314,-6670,-2711,-3472,-4040,-5781,-4994,-3661,-5698,-5471,-2935,-3829,-4596,-3833,-4813,-2164,-2387,-2076,-3499,-2988,-2736,-1674,-2283,-2623,-1824,-1268,-2115,-2062,-1509,-2185,-1524,-1187,-918,-985,-1228,-1202,-2118,-1978,-1378,-2173,-763,-1013,-1720,-2260,-1026,-526,863,-156,-878,2514,-523,629,2562,2325,924,1974,1871,-1164,-208,-1295,932,-3143,1970,-10589,6369,1439,13642,7454,14454,9432,2484,6218,19599,13697,7809,-1301
"54","46","      Statistical differences (36-41)","B1266C0",0,-3,4,-6,0,-4,-1,5,2,1,-1,-5,19,9,31,22,-8,-30,-22,-24,-52,-63,-56,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-632,3032,232,884,-32,-672,276,508,-332,996,-652,-392,-488,-652,-724,-344,-252,1504,224,244,-2524,-800,-512,596,19600,1000,316,3004,6576,952,-412,1452,-3596,-3032,-72,-5652,-9200,-5276,-4720,2376,9068,-4880,7764,-10916,0,0,0,0,0,0,0,0,0,0,0,0,4424,13586,8019,8019
"55","47","      Other items (37)","B1267C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1438,1428,1587,1377,1384,1488,1404,1568
"56","48","Plus: Adjustment for U.S. territories and Puerto Rico (38-42)","B1268C0",1707,2385,3103,3680,4182,4479,4624,4581,4808,4768,4842,4928,4886,4695,4272,3914,3758,3075,2583,2542,4504,3352,2562,2722,2781,5058,4069,5658,2852,5388,3396,4698,4192,3730,4522,5912,5735,3356,7055,5534,4245,5803,7586,9217,7947,9084,6367,6405,7939,6694,7531,7099,7540,7406,6345,9402,7155,7473,4074,4727,7779,5095,4394,5794,8521,7204,6071,3688,6736,2929,6780,4589,8832,8785,2365,3896,1994,13608,9544,9482,5670,-2485,7832,12471,-2028,2582,2033,9950,3986,-1311,1734,4196,2731,-4739,4166,5963,-4715,347,-428,-18415,11040,5589,12919,8658,10356,8344,9956,15486,6116,-2969,10156,14180
"57","49","Equals: Balance on current account, NIPAs (39-43)","A124RC0",-128332,-141870,-150231,-150305,-150942,-154393,-154061,-157021,-126886,-109968,-106469,-119630,-106717,-93590,-81671,-87499,-90056,-72883,-82398,-54336,46550,14748,-13051,-16819,-21817,-39414,-52730,-68438,-56547,-73695,-76576,-107421,-92094,-108301,-120841,-137680,-118420,-118617,-99035,-84264,-102065,-108454,-132624,-113427,-131169,-101119,-122043,-162985,-164076,-195271,-223816,-235013,-243398,-279724,-314396,-330201,-385639,-389344,-426564,-434912,-420317,-383636,-411648,-343508,-405755,-452226,-455148,-486623,-531316,-516120,-510335,-496406,-534265,-612361,-630467,-709538,-695023,-701213,-728634,-823620,-786043,-805344,-851859,-739583,-793303,-751488,-675164,-616288,-708901,-706307,-695463,-603520,-394764,-352959,-379952,-396961,-445249,-460190,-486357,-426272,-463433,-472790,-425049,-466528,-488903,-444559,-421083,-401387,-438053,-418730,-392555,-318581
"58","50","Capital account transactions, ITAs","W371RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,688,0,0,28196,4272,396,15840,8,52,248,-6116,20,2488,52,272,44,32,3464,912,40,32,-476,1776,-448,8,8,8,8,64,352,452,156,8,-16,52,-16,28,4,12,16660,0,-8,40,-24,0,-16,-52752,-24,-28,8,276,308,328,5008,1968,-20,224,0,-12692,272,8640,332,-61448,12,4880,1948,8,316,0,-1772,228,8,32,72,-24172,28,80,116,144,224,12,8,584,28,116,3316,1200,220,4,964,1880,-30672,159,906,582,0
"59","51","Less: Statistical differences \2\","W372RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,11,-13,17,7,8,10,-2,-3,8,2,-8,1,2,8,-8,4,-1,0,-6,-5,5,-1,-2,-1,-1,-4,-1,0,0,0,0,0,0,0,0,1,2,3,4,159,1066,1648,1648
"60","52","Plus: Adjustments for U.S. territories and Puerto Rico \3\","W373RC0",120,108,108,108,128,136,144,144,136,132,136,132,132,144,144,144,144,152,156,156,168,172,172,168,172,172,172,172,152,160,176,156,140,148,156,188,204,208,200,180,208,196,196,204,220,224,228,208,208,212,220,252,252,268,292,352,384,380,396,204,228,224,232,348,392,360,364,320,284,363,303,269,267,240,286,250,257,272,258,260,277,278,280,276,260,271,292,350,347,373,371,1310,367,379,444,503,492,550,544,514,486,455,430,412,404,402,399,404,460,376,419,417
"61","53","Equals: Capital account transactions (net), NIPAs \6\","W167RC0",120,108,108,108,128,136,144,144,136,132,136,132,132,144,144,972,832,152,156,28352,4440,568,16012,176,224,420,-5944,192,2640,212,448,200,172,3612,1068,228,236,-268,1976,-268,216,204,204,212,284,576,680,364,216,196,272,236,280,272,304,17012,384,372,436,180,228,208,-52520,324,364,368,640,628,612,5371,2271,249,491,240,-12406,522,8897,604,-61190,272,5157,2226,288,592,260,-1501,520,358,379,445,-23801,1338,447,495,588,727,504,558,1128,542,602,3771,1630,632,408,1366,2279,-30268,460,376,-647,-1231
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Exports and imports of gold in the NIPAs differ from those in the ITAs.  ITA gold exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(line 2) and imports (line 19) are excluded from the NIPAs; imports of gold in the NIPAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","(line 21) is the excess of the value of gold in gross domestic purchases over the value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","U.S. production of gold.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","accounted for in the ITAs until 1992.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1986 through 1991, the NIPAs include estimates of insurance premium supplements that are not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","NIPAs and statistical revisions to the NIPAs that have not yet been incorporated into the ITAs. From",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Consists of statistical revisions to the ITAs that have not yet been incorporated into the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of transactions between the United States and its territories, Puerto Rico, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Northern Mariana Islands.  The treatment of U.S. territories, Puerto Rico, and the Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Mariana Islands in the NIPAs differs from that in the ITAs.  In the NIPAs, they are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","in the rest of the world; in the ITAs, they are treated as part of the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
