"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"16","9","    Food and beverages purchased for off-premises consumption","DFXARA3",61.824,63.552,64.309,65.592,64.449,63.149,64.288,67.441,68.438,68.14,69.088,69.799,69.562,70.912,72.704,74.166,76.355,77.914,77.416,79.461,80.453,82.119,82.017,81.697,82.364,84.66,85.096,85.95,86.699,87.738,91.126,93.177,94.263,94.483,95.661,96.797,100,102.871,104.453,103.342,101.599,103.779,106.326
"17","10","    Clothing and footwear","DCLORA3",21.383,21.137,22.026,23.594,25.291,24.808,25.434,26.606,28.031,30.985,32.79,33.806,35.959,36.557,39.059,42.293,44.179,47.49,49.251,50.699,53.384,53.015,53.052,55.869,58.249,61.512,64.039,67.145,69.353,73.581,78.413,82.207,82.985,85.525,90.007,94.268,100,104.66,108.315,107.666,102.21,107.683,111.445
"18","11","    Gasoline and other energy goods","DGOERA3",63.178,65.591,67.881,71.322,75.421,69.282,70.892,74.689,76.029,77.254,75.025,68.391,67.505,67.615,69.103,70.971,72.344,76.024,77.477,79.682,80.956,79.503,78.858,82.008,84.063,85.408,87.001,88.377,90.161,93.401,96.26,94.506,95.188,96.763,99.39,100.686,100,97.722,96.911,92.368,92.95,92.595,89.387
"19","12","    Other nondurable goods","DONGRA3",31.357,32.401,32.539,34.115,36.426,36.299,35.119,36.598,37.172,39.803,42.109,42.847,43.815,43.659,44.768,47.21,48.478,49.573,51.406,52.585,54.345,55.727,55.421,56.54,58.595,61.559,64.075,66.916,70.596,74.398,79.012,83.059,85.757,88.586,92.897,96.683,100,103.801,106.715,107.033,105.302,107.886,112.498
"20","13","Services","DSERRA3",30.303,31.487,32.574,34.458,36.091,36.783,38.164,39.802,41.447,43.375,44.7,45.389,46.203,47.103,49.568,51.508,54.173,55.784,58.007,60.469,62.301,64.151,65.11,67.431,69.589,71.666,73.488,75.64,77.973,81.409,84.744,88.944,91.134,92.87,94.611,97.134,100,102.599,104.599,105.067,103.558,104.554,106.543
"21","14","  Household consumption expenditures (for services)","DHCERA3",31.732,32.956,34.071,36.037,37.795,38.57,40.062,41.763,43.526,45.54,46.926,47.598,48.353,49.074,51.486,53.311,56.02,57.502,59.728,62.059,63.714,65.253,65.966,67.967,70.035,71.999,73.778,75.857,78.468,81.794,85.054,89.178,91.191,92.651,94.276,96.917,100,102.276,104.172,104.18,102.56,103.538,105.426
"22","15","    Housing and utilities","DHUTRA3",35.088,36.435,38.004,40.036,41.908,43.889,45.295,46.577,47.874,50.152,51.933,53.616,54.503,54.866,56.085,58.072,60.271,61.557,63.428,65.563,67.244,68.45,69.98,71.38,73.271,75.984,78.023,79.717,81.532,84.018,86.673,89.32,91.71,92.374,93.528,95.591,100,102.166,102.78,103.49,104.589,105.44,106.01
"23","16","    Health care","DHLCRA3",29.446,31.026,33.258,35.536,38.091,39.401,41.43,43.243,45.341,47.418,49.015,50.425,52.856,52.984,54.567,55.451,57.143,58.928,61.378,63.791,64.52,66.692,67.97,70.022,70.377,70.928,72.397,73.894,76.188,78.663,79.892,82.638,86.758,91.868,93.845,96.833,100,101.839,104.213,106.691,108.55,109.943,113.724
"24","17","    Transportation services","DTRSRA3",31.052,32.138,33.498,35.422,36.011,36.212,36.7,38.534,41.256,42.251,43.527,40.947,39.423,38.565,41.471,46.334,51.189,53.416,55.607,58.818,60.141,60.078,57.224,60.119,63.523,69.544,74.787,80.916,87.02,90.642,95.648,100.102,99.18,96.471,96.826,99.231,100,99.823,100.677,95.118,86.011,85.151,87.031
"25","18","    Recreation services","DRCARA3",17.647,18.274,18.899,19.903,21.597,23.058,24.248,25.919,27.558,28.895,30.302,31.327,33.985,35.633,38.676,41.246,44.228,46.274,48.376,52.971,56.276,58.715,58.295,62.15,66.069,69.448,74.731,78.109,80.588,83.273,87.336,89.957,89.856,90.419,93.27,98.131,100,103.567,107.603,106.205,101.741,102.795,105.379
"26","19","    Food services and accommodations","DFSARA3",38.718,40.06,40.017,43.073,45.221,44.807,46.67,49.485,50.808,52.961,54.603,54.628,55.173,55.538,57.363,58.951,59.737,61.463,64.657,68.504,70.396,72.903,72.948,74.807,76.518,77.732,77.92,78.434,80.169,82.258,84.288,88.13,88.007,89.382,92.709,96.474,100,103.321,104.713,103.743,99.584,102.093,105.871
"27","20","    Financial services and insurance","DIFSRA3",23.481,24.349,25.239,26.707,28.241,28.923,31.688,33.415,35.498,37.3,38.442,38.93,38.616,41.637,47.625,48.072,53.168,54.849,55.098,55.022,57.119,58.434,62.326,64.077,69.317,69.796,70.139,72.767,75.27,80.057,86.791,95.355,94.689,94.345,94.377,96.713,100,102.576,105.926,104.851,97.445,97.888,97.617
"28","21","    Other services","DOTSRA3",34.781,35.901,36.047,37.615,38.68,37.438,37.744,39.184,41.106,43.282,43.666,43.421,43.205,44.104,46.98,49.336,52.759,53.343,57.091,59.411,61.274,62.344,60.096,62.432,63.745,66.172,67.466,69.741,73.873,80,84.512,90.615,94.278,94.846,97.011,98.886,100,102.616,104.871,103.59,101.426,102.042,103.735
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",8.108,8.546,9.008,9.557,9.648,9.471,9.521,10.054,10.216,10.763,11.131,11.661,12.592,14.595,16.787,19.386,20.921,23.716,25.488,29.313,33.498,40.339,45.892,55.008,59.319,64.235,67.19,71.267,66.37,72.682,77.908,83.975,90.38,98.71,103.311,102.804,100,111.066,115.829,128.888,130.565,132.04,137.017
"30","23","    Gross output of nonprofit institutions \2\","DNPERA3",26.311,27.593,29.518,31.28,32.176,32.556,33.785,35.563,36.905,38.986,40.095,41.272,42.971,44.767,46.43,48.021,49.709,52.192,54.269,57.26,59.323,62.823,65.152,68.659,70.349,71.837,72.794,74.736,75.923,79.689,82.462,85.667,89.82,95.059,96.546,98.417,100,103.223,105.918,109.222,111.092,112.614,115.612
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",37.746,39.503,42.51,45.027,46.657,47.756,50.144,52.722,55.109,58.27,59.817,61.215,62.976,63.411,63.683,63.63,65.008,66.635,68.579,70.456,70.816,72.114,72.733,73.783,74.477,74.755,75.033,76.272,79.504,82.402,84.309,86.488,89.825,93.954,94.364,97.015,100,100.744,102.797,103.147,105.067,106.592,109.037
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRA3",26.251,26.807,27.985,29.957,31.842,31.767,32.482,34.36,36.022,37.987,39.103,39.066,39.924,40.484,43.15,45.806,48.467,50.643,52.468,54.678,56.369,57.669,57.744,60.032,62.344,64.887,66.846,69.396,72.282,76.45,80.878,85.391,87.961,90.52,93.214,96.562,100,103.212,105.806,105.504,103.237,105.123,108.181
"34","26","  Energy goods and services \5\","DNRGRA3",57.002,59.276,61.164,64.316,67.311,64.043,66.25,69.35,71.387,73.31,72.197,68.732,67.732,68.107,69.774,71.017,72.623,74.172,76.147,79.125,80.575,79.141,79.887,81.382,84.333,85.548,86.704,88.755,89.311,91.947,93.858,94.262,93.961,95.921,98.296,99.442,100,97.44,97.57,93.996,94.764,95.801,93.071
"35","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.768,58.082,59.676,60.694,60.452,62.418,64.336,66.781,68.733,71.158,73.936,77.711,81.973,85.92,88.213,90.696,93.351,96.496,100,102.62,105.043,104.363,102.628,104.629,107.547
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.621,54.927,56.584,57.677,57.366,59.574,61.55,64.07,66.199,68.785,71.865,75.947,80.396,84.705,87.259,89.987,92.798,96.26,100,103.001,105.696,105.323,103.374,105.433,108.888
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
