"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","      Stone, clay, and glass products","B3016C0",549,520,858,888,703,835,884,1266,1196,1060,993,1286,1037,962,956,1095,1170,1175,1049,867,1049,1140
"24","17","      Primary metal industries","J3017C0",1841,1399,2536,3156,1931,2554,1749,3114,3101,2921,1888,2383,2025,1568,1503,1985,2585,3194,3628,2801,2094,1855
"25","18","      Fabricated metal products","J3018C0",1044,709,1251,1432,1081,1112,979,1217,1253,1227,970,1124,876,1023,1209,1333,1507,2106,2563,2543,2572,2365
"26","19","      Machinery, except electrical","B3019C0",1664,1284,1895,2529,2324,2086,1746,1993,2469,2237,1521,2215,1863,1897,2386,2593,3328,4100,4796,4441,4599,4318
"27","20","      Electric and electronic equipment","B3020C0",833,673,1407,1397,1469,1459,1217,1245,1287,1512,1290,1729,1304,1295,1464,1575,1671,2629,3179,3022,2973,2591
"28","21","      Motor vehicles and equipment","B3021C0",1637,2032,3274,2514,2414,2679,2100,4223,2417,2647,942,2924,2997,2509,4037,4893,4713,6179,5271,4074,5655,4994
"29","22","      Other transportation equipment","J3022C0",251,211,399,427,583,767,816,793,817,906,669,428,268,364,673,792,982,1240,1289,1175,1409,621
"30","23","      Instruments and related products","B3023C0",203,171,301,410,405,432,457,494,541,515,495,670,618,623,743,796,868,1157,1465,1435,1622,1710
"31","24","      Miscellaneous manufacturing industries","J3024C0",361,260,439,406,318,300,294,379,389,357,324,402,322,353,412,410,430,508,530,535,578,558
"32","25","    Nondurable goods","E564RC0",9850,7397,10873,11303,9182,9931,9469,11847,12226,11169,10044,12813,12246,11956,12254,13201,14584,16816,18869,18041,19830,19123
"33","26","      Food and kindred products","B3026C0",1603,1557,1872,1657,1603,1740,1701,1981,1926,1873,2097,2375,2336,2384,2392,2721,2794,3030,3445,3209,3433,3457
"34","27","      Tobacco manufactures","B3027C0",238,258,287,297,286,343,329,391,411,443,522,573,595,651,642,674,646,644,677,718,765,809
"35","28","      Textile mill products","B3028C0",1503,662,1216,974,518,526,335,605,613,505,434,763,667,593,705,731,902,1132,1096,933,1166,1038
"36","29","      Apparel and other textile products","B3029C0",304,180,310,180,195,179,180,244,246,205,224,307,300,354,421,426,528,628,754,775,892,801
"37","30","      Paper and allied products","B3030C0",800,562,1010,1359,968,966,940,1159,1365,1073,925,1160,1043,1013,999,1011,1104,1275,1520,1299,1470,1570
"38","31","      Printing and publishing","B3031C0",595,544,594,636,643,657,640,825,864,868,757,962,952,916,995,1095,1389,1639,1886,1723,1896,2034
"39","32","      Chemicals and allied products","B3032C0",1552,1530,2589,2786,2154,2210,2211,2921,2867,2860,2462,3422,3171,3174,3222,3640,4067,4694,5040,4404,5138,4772
"40","33","      Petroleum and coal products","B3033C0",2882,1852,2388,2775,2305,2809,2705,3098,3325,2795,2080,2555,2607,2254,2215,2218,2398,2926,3443,3964,3803,3502
"41","34","      Rubber and miscellaneous plastics products","B3034C0",234,156,442,522,380,383,302,463,460,401,418,529,437,480,505,508,561,616,751,734,954,902
"42","35","      Leather and leather products","B3035C0",139,96,165,117,130,118,126,160,149,146,125,167,138,137,158,177,195,232,257,282,313,238
"43","36","  Transportation and public utilities","E567RC0",3263,2915,4296,4764,4980,5076,4704,5834,6071,5883,5950,7142,7507,7896,8481,9491,10212,11124,12076,10961,10990,10930
"44","37","    Transportation","C512RC0",1665,1134,2015,1981,1855,1662,987,1528,1491,1179,881,1160,884,955,1039,1397,1602,2137,2281,1353,1009,711
"45","38","      Railroad transportation","B3038C0",1155,647,1283,1150,1165,1000,382,761,747,616,347,449,317,362,289,480,423,532,654,37,55,56
"46","39","      Local and interurban passenger transit","B3039C0",80,46,56,82,79,65,44,60,57,57,65,106,93,91,92,94,110,148,124,109,112,83
"47","40","      Trucking and warehousing","B3040C0",179,167,260,206,195,212,192,244,194,212,194,292,203,292,362,337,383,548,533,414,607,575
"48","41","      Water transportation","B3041C0",135,138,148,234,136,117,65,139,188,95,64,78,83,96,93,139,180,159,207,160,179,74
"49","42","      Transportation by air","B3042C0",2,24,87,117,92,98,121,135,94,-12,14,13,-49,-111,-1,116,282,515,506,348,-126,-269
"50","43","      Pipelines, except natural gas","B3043C0",64,68,127,130,126,114,120,113,131,133,136,163,156,148,139,175,155,159,156,154,121,132
"51","44","      Transportation services","B3044C0",50,44,54,62,62,56,63,76,80,78,61,59,81,77,65,56,69,76,101,131,61,60
"52","45","    Communication","C513RC0",439,466,737,964,1069,1238,1337,1725,1857,2006,2334,2796,3001,3200,3576,3901,4035,4303,4804,4799,5128,5441
"53","46","      Telephone and telegraph","B3046C0",393,432,682,879,978,1146,1238,1563,1684,1839,2158,2574,2743,2987,3271,3568,3759,3960,4424,4530,4853,5105
"54","47","      Radio and television","B3047C0",46,34,55,85,91,92,99,162,173,167,176,222,258,213,305,333,276,343,380,269,275,336
"55","48","    Electric, gas, and sanitary services","C514RC0",1159,1315,1544,1819,2056,2176,2380,2581,2723,2698,2735,3186,3622,3741,3866,4193,4575,4684,4991,4809,4853,4778
"56","49","  Wholesale trade","C510RC0",2477,1592,2965,2818,2019,1851,1659,2426,2677,2497,2247,2840,2461,2559,2813,2878,3444,4078,4382,4241,5079,5566
"57","50","  Retail trade","C511RC0",3498,2526,3558,2859,2615,2396,2350,2967,2909,2775,2656,3309,2788,2971,3424,3652,4563,5113,5152,6043,6994,7240
"58","51","  Finance, insurance, and real estate","A3051C0",3394,3968,4062,4436,5093,5594,5943,6158,6389,6693,7252,8463,9243,9077,9407,9149,9666,10317,11840,12314,14158,14781
"59","52","    Banking","J3052C0",1593,1667,1796,2159,2343,2538,2528,2799,3330,3672,3605,4168,4829,4379,4422,4748,5105,5569,6225,6521,7859,9629
"60","53","      Federal Reserve banks","B3053C0",228,235,190,294,346,394,322,296,468,625,595,734,942,773,863,954,1135,1342,1685,1953,2502,3075
"61","54","      Commercial and mutual banks","J3054C0",1365,1432,1606,1865,1997,2144,2206,2503,2862,3047,3010,3434,3887,3606,3559,3794,3970,4227,4540,4568,5357,6554
"62","55","    Credit agencies other than banks","J3055C0",383,472,633,701,925,913,1008,1146,1270,1355,1453,1563,1671,1890,1971,1898,1881,1956,1744,1745,1926,1853
"63","56","    Security and commodity brokers","B3056C0",6,18,24,9,20,30,63,36,27,34,46,92,88,150,56,94,121,188,252,424,652,94
"64","57","    Insurance carriers","B3057C0",702,1102,777,742,995,1242,1401,1244,856,707,1168,1547,1570,1660,1666,1279,1215,1315,2211,2289,2204,1989
"65","58","    Insurance agents, brokers, and service","B3058C0",69,59,63,66,74,75,78,73,99,99,107,136,144,121,149,171,214,213,269,246,313,289
"66","59","    Real estate","B3059C0",648,668,754,711,680,751,833,828,713,695,802,856,812,751,813,854,913,1015,1103,1122,1361,1191
"67","60","    Holding and other investment offices","B3060C0",-7,-18,15,48,56,45,32,32,94,131,71,101,129,126,330,105,217,61,36,-33,-157,-264
"68","61","  Services","A3061C0",633,578,565,635,636,604,616,686,787,815,738,940,926,897,915,1128,1366,1681,2046,2299,2355,2146
"69","62","    Hotels and other lodging places","B3062C0",124,107,102,103,106,87,84,74,85,79,43,52,16,-4,-15,-19,-21,46,100,195,247,246
"70","63","    Personal services","B3063C0",73,73,67,73,72,75,76,85,105,115,119,131,133,124,120,159,207,247,259,280,319,285
"71","64","    Business services","B3064C0",135,136,161,190,184,196,187,234,289,355,342,393,403,411,407,484,526,649,819,837,739,648
"72","65","    Auto repair, services, and parking","B3065C0",23,17,25,29,32,32,23,32,33,17,37,69,57,66,81,81,98,114,120,114,161,180
"73","66","    Miscellaneous repair services","J3066C0",13,10,8,11,7,3,-11,2,13,9,-8,-1,15,22,26,22,46,52,60,48,55,74
"74","67","    Motion pictures","B3067C0",140,129,112,104,95,81,138,126,93,54,23,51,73,56,49,72,148,171,201,184,226,77
"75","68","    Amusement and recreation services","B3068C0",62,45,24,38,51,44,35,33,39,49,53,90,69,70,63,64,99,91,140,126,153,184
"76","69","    Other services","A3069C0",63,61,66,87,89,86,84,100,130,137,129,155,160,152,184,265,263,311,347,515,455,452
"77","70","      Health services","B3070C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,79,79,79,172,206,213
"78","71","      Legal services","B3071C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,13,1,5,2,8
"79","72","      Educational services","B3072C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,28,18,35,25,25,5
"80","73","      Other \1\","B3073C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,153,201,232,313,222,226
"81","74","Rest of the world \2\","B394RC0",1261,1125,1269,1744,1888,1798,1962,2354,2821,3092,2523,2718,3137,3316,3772,4081,4469,4706,4528,4775,5636,6595
"82","75","  Receipts from the rest of the world","B3075C0",1652,1554,1767,2249,2345,2288,2442,2890,3356,3630,3078,3382,3790,4045,4494,4885,5379,5782,5656,5990,6996,8047
"83","76","  Less: Payments to the rest of the world","B3076C0",391,429,498,505,457,490,480,536,535,538,555,664,653,729,722,804,910,1076,1128,1215,1360,1452
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","(line 75), net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
