"","Table 3#15#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"17","10","Health","W598RL1",5.5,7.7,3.4,5.2,3,5.9,3.1,0,0.7,2.2,0.3,7.2,-0.5,0.4,1.3,5.7,3.5,2.8,6,5.6,7.2,8.7,5.1,3.5,0.6,0.4,-2.7,-0.2,-2.2,0.1,2.7,1.9,1.4,10.8,7.1,-0.6,4.7,-2.1,4.7,4.3,5,3.1,1.3
"18","11","Recreation and culture","W599RL1",10.2,2.8,1.7,1.4,4.4,10.8,9.2,-1,-1.8,5.9,0.4,-2.5,-4,0,-1.7,2.7,6.9,5.7,1,2.1,5.4,5.7,2.1,0.8,-0.6,1.6,3.4,4.5,5.7,3.4,1.4,7,5.3,5.1,-3.8,-1.9,-0.3,-2.6,3.5,-0.4,4,-1.1,-7.2
"19","12","Education","W600RL1",3.7,3.8,3.5,2.9,3.1,3.8,4.5,1,0.2,1.5,0.1,-1.3,-1.3,-0.5,1.7,2.4,4.5,5.3,1.5,5.4,3.9,2.9,1.9,1.7,1.3,3.6,5,3,4.3,4,3.7,4,3.5,1.4,0.5,1.1,0.1,1.4,1.5,0.2,1.3,-2.7,-3.5
"20","13","Income security","W605RL1",11.4,9,7.4,16.1,6.6,17.1,0.2,6.3,7,-0.2,1.7,1.1,-3.9,-1.9,3.7,2.7,1.8,0.4,2.4,1.5,5.6,6.2,4.7,7.9,1.3,5.8,1.4,0.5,4.8,7.3,3.9,4,6.3,8.6,-1.4,-3.8,2.7,7,-8.9,0.8,1.9,1.3,-4.1
"21","14","      Federal","A823RL1",-3.4,-7.4,-7.7,-4.1,-4.2,0.9,0.3,0,2.1,2.5,2.4,4.7,4.8,3.9,6.6,3.1,7.8,5.7,3.6,-1.6,1.6,2,-0.2,-1.8,-3.9,-3.8,-2.7,-1.2,-1,-1.1,1.9,0.5,4.1,7.3,6.6,4.1,1.3,2.1,1.2,7.2,6.1,4.5,-2.8
"22","15","General public service","W611RL1",17.8,16.8,18.1,6.5,-0.6,12.4,-4,-3.3,3.9,-3,4.9,1.9,-8.6,5.6,-3.5,-1.9,11,3.1,5.1,-5.5,0.3,13.6,3.4,-0.7,-13.6,-4.5,7.3,-14.9,9.9,-5.4,3.4,-8.5,18.2,1.3,1.5,16.7,0.5,2.9,3.2,8.6,8.3,6,-2.9
"23","16","National defense","A824RL1",-4.9,-9.1,-11.3,-7.8,-5.5,-0.8,-0.9,-0.3,1.2,0.9,3,4.4,6.3,7.6,7.2,4.9,8.5,6.4,4.7,-0.5,-0.5,0,-1.1,-5,-5.3,-4.9,-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.5,6,3,-2.6
"24","17","Public order and safety","W615RL1",14.2,7.2,6.3,21.9,5.4,8.2,8,7.3,1.7,4.3,5.6,1.9,-5,-0.7,14.6,8.6,5.2,6.7,10.7,16.6,7,4.1,11.6,9.3,19.7,0.1,1.8,9.6,2.2,4.1,6.4,8.7,5.1,8,4.6,4.1,1.9,4.1,3.2,11,8.1,0.6,-0.1
"25","18","Economic affairs","W620RL1",-0.4,-9,1.5,2.2,-4.4,0.8,6.5,0.9,5.9,12,0.6,6.3,7.7,-7.7,6.3,-7.2,8.5,4.5,-4.7,-12,15.3,9.3,-1.3,8.9,-2.2,-3,-3.1,0.9,0.9,-1.1,3.7,3.3,-1.7,8.7,0.1,-1.9,-1.6,2,1.7,4.2,5.2,12.2,-8.4
"26","19","  Transportation","W625RL1",2.7,7.2,-1.2,6.9,1.5,2.9,-1.1,0.3,4.9,5.8,3.8,2.2,-3.7,-2.5,14.1,2.9,1.6,-1.4,2.2,2,1.9,5.2,8,3.7,1.7,4.4,-8.8,2.6,-0.1,4.7,-2.3,-0.8,6.2,20.2,10.1,-7.1,0.1,2.1,-3.7,5.7,1.6,5.2,2.6
"27","20","  Space","W631RL1",-15.6,-11.5,-8.1,-8,-11.3,2.5,-0.7,-3.7,-2.4,-2.9,0.1,5.6,1.1,-2.5,8.9,-0.5,3.4,-4,7.6,10.9,14.8,11.8,1.4,-1.1,-1.9,-6,-1.6,5.3,0.1,-5.7,-4,-0.9,1.8,-3.5,0.9,3.6,-2.9,-2.4,9.6,6.7,5,-1.7,-8.1
"28","21","  Other economic affairs","W632RL1",11.3,-12.3,8.7,5.9,-3.2,-0.6,12.7,3,9.4,18.9,-0.2,7.8,12.9,-10.4,3.4,-12.1,12.6,9,-10.1,-24.1,22,9.9,-6.2,16.3,-3.9,-4.8,-1.1,-1.7,1.7,-1.8,9.8,6.5,-6.1,7.9,-5.1,-0.6,-2,3.3,2.2,2.5,7.2,20.4,-13.3
"29","22","Housing and community services","W633RL1",-1.7,77.6,67,-14.6,7,-15.3,-17.3,-4.5,-11.9,-14.9,-19.6,21,15.1,-20.1,13.4,-0.4,-2.2,36.8,-24.1,-12.2,6,-1.8,-7.8,-4.1,153.5,-52.1,-25.6,14.7,22.8,65.4,2.3,-107.3,836.7,30.7,14.7,-39.2,77.3,-27.8,47.9,52.3,-27.3,0.2,9.8
"30","23","Health","W634RL1",2.8,5.9,-1.9,22.2,9.8,2.3,7.6,2.8,-1.1,7.5,-1.1,7.8,-0.8,-4.6,11,6.4,1.3,2.4,4.3,3,3.5,5.4,4.9,4.5,2.3,3,-0.6,0.6,1.7,2.5,-1.6,6.7,6.3,5.1,7.4,-3.6,-1.7,-0.9,-0.2,8.5,7.9,6.4,5.2
"31","24","Recreation and culture","W635RL1",16.6,-7.8,-0.5,13.3,2.3,20.2,6,2.6,4.7,3.9,-4.9,-4.9,-3.1,-8.4,-10.7,2.6,-0.7,-0.9,0.9,2.9,1.6,1.4,9.2,6.9,6.3,0,-1.7,1.3,11,4.1,-11.5,11.1,-0.2,9.6,0.5,-0.6,-1.3,-6,-1.9,5.5,6.2,15.2,-10.7
"32","25","Education","W636RL1",-14.4,15.7,1.9,-4.8,-2.3,-23.4,16.3,-6.7,-0.3,-2.7,2.5,4.8,3.9,-5.8,10.4,11.8,-6.3,4.1,3.8,-2.7,5.3,4.1,9.5,1.3,4.1,12.2,6,4,-0.7,6.9,8,4.7,11.6,6.1,-1.9,0.4,-1.7,-14.6,4.5,1.3,5.2,0.2,2.9
"33","26","Income security","W640RL1",7.5,-2.1,-3.6,29.9,-5.7,54.4,-8.8,9.4,17.1,-3.8,1.2,8.2,-12.9,-5.7,-5.2,2.8,-5.6,-11.1,3.5,-7.3,4.7,3.8,3.1,25,-9.5,3.8,-2.8,-4.1,3.1,9.3,-5.6,3.2,0.8,21.6,4.1,-1.1,29.5,38.7,-31.4,-6.6,3.8,12,-15.3
"34","27","      State and local","A829RL1",3.4,2.8,3.1,2.2,2.9,3.8,3.7,0.7,0.4,3.3,1.5,-0.1,-2,0,1.2,3.6,6.2,6.4,1.4,3.7,3.7,4.1,2.1,2.2,1.5,2.6,2.7,2.3,3.6,3.9,4.5,2.8,3.7,3.3,-0.1,-0.2,-0.2,0.9,1.4,0,2.2,-1.8,-3.4
"35","28","General public service","W646RL1",13.2,0.5,4.6,8.2,9.3,7.9,11.2,0.9,2.4,0.1,-1.4,-0.7,-3.1,1.8,5.8,2.9,13.2,18.5,-2.7,0.2,1.7,2.5,0.8,4.8,2.8,1.5,0.2,1.2,3.7,8.6,5.5,1.6,2.8,7,-1.6,-1.1,-0.9,-0.1,-0.7,-1,6.4,-1.5,-3.1
"36","29","Public order and safety","W650RL1",3.6,5.6,6.4,3.9,3.6,4.8,3.6,1.9,1,5.8,3.7,2.1,2.4,5.5,-0.2,2.7,5.2,5.5,3.6,3.8,5.8,4.7,3.2,2.2,2.8,3.6,4,3.7,3.6,4.2,3.8,1.7,3.7,2.7,-1.3,-0.2,0.9,1.6,3.6,1,2.2,-0.6,0
"37","30","Economic affairs","W655RL1",-0.7,-0.9,-0.7,-0.5,-1.4,-2.3,-0.7,0,0.4,7.8,5.2,-1.2,-4.2,-3.2,1.5,6.6,6.7,2.8,-0.3,1.4,0.9,4,0.7,1.6,2.6,2.1,-0.9,0.3,3.2,2.1,5.5,3.6,5,1.9,0.1,-2,-3.8,-1.1,-0.4,-1.2,2,-1.2,-4.3
"38","31","  Transportation","W660RL1",-1.3,-1.4,-0.9,-1,-2.1,-4.2,-0.1,-1.1,0.1,7,6,-1.8,-6.4,-3.4,3.3,9.4,6,3.2,0.3,2.3,1,4.8,0.9,1.4,3.5,3.1,-1.4,0.6,3.4,2.5,5.4,3.4,4.9,1.4,0,-1.9,-4.6,-1.9,-2.4,-0.8,2,-0.8,-4.6
"39","32","  Other economic affairs","W665RL1",1.7,1.2,0.1,1.4,1.1,5.3,-2.9,4.1,1.5,10.6,2.6,0.7,2.6,-2.6,-3.9,-1.7,9.1,1.7,-2.5,-1.8,0.5,1.6,-0.1,2.4,-0.4,-1,0.9,-0.9,2.4,0.8,6.3,4.3,5.4,3.7,0.5,-2.4,-0.8,2.2,7,-2.4,2.1,-2.6,-3.1
"40","33","Housing and community services","W666RL1",-8.1,-1.6,-0.9,-6.5,4.1,7.5,2.1,-1.1,-7.7,11,1.2,7.2,-8.6,-4.3,-7.8,8.2,6.3,10.1,9.4,2.1,0.6,6.7,4,-0.5,-8.4,-4.7,2.3,5.5,2.6,-1,3.5,-4.5,8,7.4,1.6,-1.7,-1.4,12.2,-3.2,0.3,1.5,0.6,-14.8
"41","34","Health","W671RL1",7,8.7,6.2,-2.9,-1,8.3,0.3,-1.8,2,-1.4,1.4,6.7,-0.3,4.4,-6.2,5.1,5.5,3.1,7.7,8.2,10.7,11.8,5.3,2.5,-1.4,-2.8,-5.3,-1.2,-7.4,-3.5,9.1,-4.1,-5.1,19.6,6.8,3.9,13.2,-3.5,10.4,0,1.9,-0.7,-3.7
"42","35","Recreation and culture","W672RL1",8.9,5.3,2.2,-0.9,4.9,8.8,9.9,-1.8,-3.3,6.4,1.6,-2,-4.2,1.7,0,2.7,8.1,6.7,1,2,5.9,6.2,1.2,0,-1.6,1.9,4.3,5,4.9,3.3,3.6,6.5,6.1,4.4,-4.4,-2.1,-0.1,-2.1,4.2,-1.2,3.7,-3.5,-6.7
"43","36","Education","W673RL1",4,3.6,3.5,3.1,3.2,4.2,4.4,1.1,0.2,1.5,0,-1.3,-1.4,-0.4,1.6,2.3,4.6,5.3,1.5,5.5,3.9,2.9,1.9,1.7,1.3,3.5,5,3,4.4,3.9,3.7,4,3.4,1.4,0.6,1.1,0.2,1.6,1.5,0.2,1.3,-2.8,-3.5
"44","37","  Elementary and secondary","W674RL1",3.4,2.4,3.6,2.6,2.5,4.2,5.2,0.8,0.4,1.7,0.3,-1.6,-2.3,-0.9,1.9,2.3,3.9,5.2,2,5.1,3.8,3.1,1.9,1.8,0.2,2.8,5.2,3.2,4.4,3.6,3.7,3.6,2.4,2,1.1,0.3,-0.2,1.6,1,-0.3,0.5,-4.2,-4.3
"45","38","  Higher","W675RL1",5.6,6.9,2.7,4.4,6.9,4,0.8,2.7,0.2,1.4,-0.5,-0.2,2.6,1.8,1.3,2.4,7.4,6.2,-0.8,7.1,4.3,2.5,2.6,1.9,5.9,6.4,4.1,1.9,4.9,5.7,3.2,5.3,7.4,-1.5,-1.4,5.3,1.5,1.8,4.3,2.6,4.2,2.4,-0.8
"46","39","  Libraries and other","W677RL1",8.7,11.1,6,5,0.5,5.9,7.2,-0.6,-3.4,-0.1,-1.7,-2,-4,-2.8,-2.9,2.2,3.9,3.3,3.3,4.7,4.5,1.5,-1.5,-0.3,1.6,3,3.8,3.7,2.4,3.6,4.2,5.8,4.8,2,0.1,-0.7,0.5,0.8,-1.2,-1.3,4.1,1.9,-0.6
"47","40","Income security","W678RL1",12.9,13.1,11.2,12.1,10.8,6.3,4,5.1,3.2,1.3,1.9,-1.6,-0.1,-0.4,6.7,2.6,3.9,3.4,2.2,3.5,5.8,6.7,4.9,4.7,3.7,6.3,2.3,1.4,5.2,6.9,5.6,4.1,7.2,6.6,-2.4,-4.3,-2.6,-1.2,-0.9,2.6,1.4,-1.2,-1.3
