"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"11","3","    Wage and salary disbursements","A576RC1",499.1,511.4,526.4,536.5,542.6,551.2,556.1,556.4,570.1,580.1,588.1,597.5,619.4,630.9,642.6,662.2,683.3,700.4,716.2,735.4,748.2,765.9,784.6,792.4,791.8,800.3,821.2,845.7,871.1,889.3,908.4,929.8,949.9,980.8,1007.4,1038.1,1064.1,1105.9,1136.6,1174.6,1208.2,1234.9,1268.3,1302.5,1335,1351,1376.1,1431.7,1469.1,1496.2,1528.5,1551.5,1567.3,1580.9,1596,1605.8,1623.1,1656.4,1692.2,1740.2,1785,1828,1866.8,1899,1933.7,1964.3,1996.1,2037.1,2063.5,2081.8,2111.7,2152.2,2193.7,2230.1,2270.4,2330.9,2367.2,2422.2,2462.7,2507.1,2542,2563.3,2591.6,2635.3,2686.8,2735.9,2768.6,2773.2,2775.8,2801.6,2826.5,2854.2,2903.4,2942.8,2976.1,3071.9,2962.5,3065.5,3098.3,3180.1,3129.8,3224.6,3258,3310.9,3360.6,3395.3,3438.2,3478,3525.8,3590.5,3646.5,3702.5,3777.1,3835.3,3903.4,3990.5,4075.9,4145.9,4216.9,4287.8,4370.4,4412.7,4474.3,4582.7,4755,4781.9,4874.4,4899.5,4988.1,4961.4,4932.4,4926.8,4963.6,5003,5006.3,5016.4,5049.6,5109.9,5159.6,5239.4,5279.4,5385.1,5493.9,5544.4,5584.2,5651.7,5758.3,5809.7,5978.9,6018.6,6075.4,6202.6,6353.1,6382.8,6427.6,6523.4,6600.5,6554.9,6550.6,6497.4,6279.1,6278.2,6252.2,6271.9,6298.7,6394.6,6449.7,6475.2,6618.5,6656.2,6678.1,6692.4,6825.9,6849.2,6879.6
"12","4","      Private industries","A132RC1",397.8,408.3,418.3,426.6,430.7,432.6,437.4,436.6,446.3,454.5,460.4,468.5,484.6,495,504.2,521,538.4,553.1,566.6,582,592.5,607.1,621.8,625.6,621.4,625.9,643.5,663.6,686.4,702.1,719,735.8,753.3,781.2,803.8,827.9,850.3,888.8,915.6,947.6,977.2,1000.9,1030,1056.6,1083.6,1093.3,1113.1,1157.9,1190.3,1214.1,1241.9,1255.8,1266.8,1276.3,1286.9,1289.9,1303.7,1332.1,1364.7,1410.4,1446.2,1483.4,1515.2,1542.4,1568.2,1593.2,1619.3,1654,1675.6,1688.3,1712,1744.6,1779.1,1810,1845.7,1897.8,1924.4,1973,2008.3,2045.2,2071.3,2086.6,2107.1,2142.7,2180.9,2220.1,2245.5,2242.1,2232.1,2254.1,2276.5,2300.2,2338.7,2372.2,2401.4,2494,2377.1,2479.8,2506.8,2586.5,2528.6,2616.2,2646.2,2694.4,2735.7,2767.7,2808,2844.5,2884.4,2944.2,2996.4,3048.1,3113.9,3167.5,3228.7,3309,3384.8,3447.9,3512,3576.9,3649.1,3684.7,3736.8,3834.7,3989.2,4003.4,4090.2,4109.1,4183.7,4146,4104,4087.6,4102,4132.6,4128.5,4133.7,4146.1,4196,4244,4319,4339,4432.9,4538.1,4581.6,4601.7,4664.1,4763.9,4808.3,4959.9,4990.3,5034.5,5150.4,5276.8,5300.1,5335,5418.9,5472.9,5417.1,5399.6,5337.4,5112.1,5102.1,5074.4,5091.8,5110.7,5198.8,5259.6,5284,5424.7,5458.8,5480.4,5499.9,5626.8,5649.4,5676.3
"13","5","      Government","B202RC1",101.3,103.1,108.2,109.8,111.9,118.6,118.7,119.7,123.9,125.6,127.7,129.1,134.7,135.8,138.4,141.2,145,147.3,149.6,153.4,155.6,158.7,162.7,166.9,170.4,174.4,177.7,182.1,184.7,187.2,189.4,194,196.6,199.6,203.6,210.2,213.9,217.1,221,227,231,234,238.3,245.9,251.4,257.7,263,273.8,278.7,282.1,286.6,295.7,300.5,304.6,309.1,315.9,319.3,324.3,327.6,329.8,338.8,344.6,351.6,356.6,365.4,371.1,376.8,383,387.9,393.6,399.7,407.6,414.6,420.1,424.7,433.1,442.7,449.1,454.4,461.9,470.7,476.7,484.5,492.6,505.9,515.8,523.2,531.1,543.7,547.5,550,554,564.8,570.6,574.7,577.9,585.4,585.7,591.5,593.5,601.2,608.4,611.8,616.5,624.9,627.6,630.2,633.4,641.5,646.3,650.1,654.4,663.2,667.8,674.7,681.5,691.1,698,705,710.8,721.3,728,737.5,748,765.8,778.6,784.1,790.4,804.4,815.4,828.4,839.3,861.6,870.4,877.8,882.7,903.4,913.8,915.6,920.4,940.4,952.2,955.8,962.7,982.4,987.6,994.5,1001.4,1019,1028.3,1041,1052.3,1076.4,1082.7,1092.6,1104.5,1127.6,1137.9,1151,1160,1167,1176.1,1177.8,1180.1,1188,1195.8,1190.1,1191.2,1193.8,1197.4,1197.7,1192.5,1199.1,1199.8,1203.4
"14","6","    Supplements to wages and salaries","A038RC1",56.8,58.4,60.1,61.8,63.5,65.1,66.4,67.6,71.4,73.4,75.3,77.3,83.2,85.3,87.3,89.7,98.3,100.7,103.7,107.1,112.5,116.1,120,123.3,127.6,131.4,136.4,141.9,151.1,156.8,162.4,168.1,177,183.5,189.4,195.6,205.5,212,217.7,224.3,235.1,241.2,248.1,255.5,264.1,270.3,276.9,285.3,299.8,305.7,311.3,316.4,324.6,330.2,334.8,338.9,349.7,355.4,360.6,366.4,390.8,397.5,404.1,409.7,419.9,426,431.8,439.1,446.4,451.5,457.4,465.9,470.8,476.1,482.1,488.5,501.9,510.1,518.3,527.2,536.5,544.5,552.8,559.3,572.2,581.5,589.8,596.7,609,618.2,628.8,639.4,657.7,669.9,680.5,686.5,697.6,709.8,719.5,729.3,740.7,749.3,753.7,756.5,758.5,759.7,761.8,763.1,766.1,770.1,773.2,776.1,780.5,785.6,794.8,807.1,823.2,836.8,849.2,860.1,870.9,880,892.5,911.6,937,949.5,971.5,986.6,1005.8,1018.5,1033.3,1050.8,1074.9,1098.4,1122.6,1158.3,1194.9,1222.9,1241,1253.2,1263.9,1272.8,1287.4,1306.8,1336.9,1351.9,1370.1,1377.4,1394.8,1401.3,1408.7,1422.6,1428.3,1431.6,1441,1460.9,1498.5,1518.5,1534.1,1538.7,1525.8,1523,1521.4,1526,1547.9,1560.8,1571.7,1581.4,1617.8,1630.2,1640,1647.7,1669.8,1678.5,1688.5
"15","7","      Employer contributions for employee pension and insurance funds","B040RC1",34.7,35.9,37.1,38.4,39.8,41.2,42.5,43.7,45.3,47,48.8,50.5,52.5,54.3,56.1,57.9,59.6,61.4,63.7,66.1,68.9,71.6,74.7,77.9,81.8,85.4,89.4,93.7,98,102.8,107.5,112.5,117.9,122.9,127.7,132.6,136.7,141,145.5,150.3,154.6,159.6,164.7,170.6,176.8,182.6,187.9,193.6,198.1,202.7,206.8,211.1,215.6,220.6,224.6,228.6,232.6,236.7,240.1,243.2,255.1,259.3,263.8,267.7,275.3,279.5,283.3,287.7,291.4,295.1,298.7,304.6,307.9,311.4,315.1,318.1,322.3,326.7,332.1,337.9,345.6,352.1,358.5,362.1,369.2,375.2,381.5,388.5,397.1,404.4,412.4,421.1,432.6,442.1,450.5,455.8,462.9,471,478.5,485.2,491.3,496,498.5,498,497.7,496.8,496.5,495.6,496.5,496.7,496.7,496.4,496.7,498.5,503.7,510.6,522.1,531.6,539.9,546.8,551.6,559,568.9,582.2,595.8,607.9,623.6,636.4,646.5,660.1,676.3,693.6,711.5,731.9,755.7,790.5,819.3,842.6,856.9,863.4,863.1,867.3,876.4,891.7,914.3,927.7,939.7,944.6,950.7,956.8,962.7,970.4,970.2,974.2,982,995.6,1026.7,1048.8,1063.5,1070.5,1067.6,1064.5,1065.7,1070.9,1082.8,1092.4,1102,1112.1,1125,1135.4,1144.2,1151.5,1159.6,1167.7,1176.2
"16","8","      Employer contributions for government social insurance","B039RC1",22.1,22.5,23,23.4,23.7,23.9,23.9,23.9,26.1,26.4,26.5,26.8,30.6,31,31.2,31.8,38.7,39.3,39.9,41.1,43.6,44.5,45.3,45.4,45.7,46,47,48.2,53.1,53.9,54.9,55.7,59.1,60.6,61.7,63,68.8,71,72.3,74.1,80.5,81.6,83.3,84.9,87.3,87.7,89,91.7,101.7,102.9,104.5,105.3,109,109.6,110.1,110.3,117.1,118.7,120.5,123.2,135.6,138.2,140.3,142,144.7,146.4,148.5,151.4,155,156.4,158.7,161.3,162.9,164.7,167,170.4,179.6,183.4,186.2,189.3,190.9,192.4,194.3,197.2,203,206.2,208.3,208.2,212,213.8,216.4,218.3,225.1,227.8,230,230.7,234.7,238.9,241,244.1,249.4,253.3,255.3,258.6,260.8,262.9,265.3,267.5,269.6,273.4,276.5,279.7,283.8,287.1,291,296.5,301.1,305.2,309.3,313.3,319.3,321,323.6,329.4,341.2,341.6,347.9,350.2,359.3,358.4,357,357.2,363.3,366.5,366.8,367.8,375.6,380.2,384.1,389.7,400.8,405.5,411,415.1,422.6,424.2,430.4,432.8,444.1,444.5,445.9,452.2,458,457.4,459,465.2,471.8,469.7,470.6,468.3,458.2,458.5,455.7,455.1,465,468.4,469.7,469.3,492.7,494.8,495.8,496.2,510.2,510.8,512.2
"17","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",76.3,77.6,78.2,78,77.6,77.1,79.2,79.9,81.1,83.7,85.3,88.6,88.7,92.2,96.5,106.7,105.9,111.7,114.4,122.5,116.2,109.3,113.3,115.1,113.5,115.5,122.5,126.9,127.6,130,133.8,137.5,140.5,141.9,143.6,158,158.4,168.1,171.3,172.2,179.2,179.3,182.5,183.5,168.5,162.2,175.8,187.3,190.1,177.9,184.2,174.2,167.6,173,174.4,184.2,188,188.2,188.4,198,224.2,234.9,237.1,236,248.2,244.6,244.6,246.9,249.5,257.2,271.5,272.1,282.7,289.7,297.2,307.4,327.5,333.8,343,335.1,357,348.4,347.8,353.2,360.6,364.3,369.2,366.6,357.8,365.2,367.7,378.4,396.4,410.4,420.9,431.9,435.8,450.1,447,465.5,476.7,481.8,485.8,496.1,500.4,506.3,520,537.4,560.2,586.5,588.6,599.4,619.6,619.4,632.8,641.1,663.6,677,692.9,716.6,729.6,738.9,750.6,768.1,783.7,819.4,826.7,840.1,867.4,871.6,878.1,865.8,880.5,884.2,893.3,903.2,889.6,919.1,945.8,968.1,1002.1,1029.8,1040.1,1063.1,1046.8,1054,1082.6,1095.8,1126.9,1133.2,1131.2,1140.6,1103,1090,1079.3,1089.1,1113.7,1127.2,1104,1046.7,969.5,957,975.8,1015.3,1052.4,1104.8,1117.1,1139.2,1148,1154.7,1161.4,1165.3,1184.3,1194.9,1205.9
"18","10","    Farm","B042RC1",11.6,12.5,13.1,14.1,13.5,12.4,13.2,12.5,13.1,13.3,13,14.2,13.1,15.4,17.2,22.4,21.8,27.6,29.5,37.5,28.6,20.1,21.5,23.7,19.7,20.1,23.8,24.3,19.4,17,16.1,16.3,16,14.1,11.8,22,18.5,20.9,20.8,19.5,23.8,21.8,22.3,20.8,13.3,3.1,11.7,18.7,17.6,18.2,23.3,17,14.4,12.8,11.9,14.2,12.9,7.9,0.2,3.8,19.5,21.3,20.4,22.5,22.8,20.4,19.3,21.4,18.2,19.7,26.7,26.7,27.3,29.1,28.9,30.4,33.4,27.4,28.8,17.6,36.7,32.4,30.4,32.5,34.4,32.7,31.8,29.8,26.7,28.5,25.3,29.5,33.9,36.4,37.8,35.1,29.3,35.6,26.7,36.5,42.6,37.5,33.1,29.2,21.6,19.8,22.8,29.5,38.2,45.4,34.6,35.6,38.2,28.3,32.5,31.4,28.2,26.8,27.1,33.4,34.3,28.7,26.6,24.3,25.8,31.6,29.7,31.5,32.1,30.8,31.1,28.1,16.3,11.6,20.1,25.8,29.9,37.5,38.3,40.4,54.2,52,44,48.5,43.7,46.4,45.6,39.9,28.4,28.4,28.4,32.2,36.2,34.1,35,45.9,60.5,55.3,46.6,44.6,33.7,38.5,40.6,46.7,41.5,43.6,44.6,47.6,56,52.6,55.3,54.4,52.3,52.5,59.5
"19","11","    Nonfarm","A045RC1",64.7,65,65.1,63.9,64.1,64.7,66,67.4,68,70.5,72.4,74.3,75.6,76.7,79.4,84.3,84.2,84.1,84.9,85,87.6,89.2,91.9,91.4,93.7,95.4,98.7,102.6,108.2,113,117.7,121.2,124.6,127.9,131.9,136,139.9,147.2,150.5,152.7,155.4,157.4,160.3,162.8,155.2,159.1,164,168.7,172.5,159.7,160.9,157.2,153.2,160.3,162.5,170.1,175.1,180.3,188.2,194.3,204.7,213.7,216.6,213.5,225.4,224.2,225.3,225.5,231.3,237.5,244.8,245.4,255.4,260.7,268.3,277,294.2,306.3,314.2,317.5,320.2,316,317.4,320.6,326.2,331.6,337.4,336.8,331.2,336.6,342.5,348.9,362.5,374,383.1,396.9,406.5,414.5,420.3,429.1,434.1,444.3,452.7,467,478.8,486.5,497.2,507.9,522,541.1,554,563.8,581.5,591.1,600.3,609.7,635.5,650.2,665.8,683.1,695.3,710.1,724.1,743.7,758,787.8,796.9,808.6,835.4,840.8,846.9,837.7,864.3,872.6,873.2,877.4,859.7,881.6,907.4,927.7,947.9,977.8,996.1,1014.6,1003.1,1007.6,1037,1055.9,1098.5,1104.8,1102.8,1108.4,1066.8,1056,1044.3,1043.3,1053.1,1071.9,1057.4,1002.1,935.8,918.5,935.2,968.6,1010.9,1061.2,1072.5,1091.6,1092,1102.1,1106.1,1110.9,1132.1,1142.4,1146.5
"20","12","  Rental income of persons with capital consumption adjustment","A048RC1",20.8,20.9,21,20.9,20.9,20.6,21.2,21.5,21.5,22,22.4,22.8,23.5,20.5,24.3,24.3,24.2,24.1,23.1,24.1,24.4,23.8,24.1,23.9,23.7,23.5,23.3,22.9,22.6,21.7,21.9,22,20.9,19.9,19,18.7,20.4,19.8,21.4,21.9,23.4,21.1,21.2,24.8,28.6,24.1,25,36.3,36.2,35.1,35.7,38.8,39.5,36.2,38,38.5,37.6,37.8,38.2,39.1,38.1,36.7,40.4,44.8,42.9,41.7,42.2,40.5,36.8,35.6,32.5,30.4,31.6,30.5,35.3,39.4,38.4,36.9,38.8,46.8,44.2,43.5,41.1,40.8,43.3,48.2,53.3,54.4,56.1,58.1,62.7,69.4,71.6,81.3,89.3,96.3,105.5,113.5,115.4,122,133.1,141.6,148.5,148.4,151,153,152.8,161.5,166.7,168.4,172.1,174.5,174.9,175.9,176.4,178.9,182.7,188.6,195.7,198.8,203,206.9,209.2,213.5,214.6,212.1,213.3,221.1,225.3,230.6,239.5,234.1,229.2,231.7,212.7,201.4,209.7,204.2,186.2,216.6,204.2,197.1,196.8,195.4,190.7,181.5,168.4,172.3,161.3,153.2,140.3,131.2,122.4,139.8,146.8,165.9,188.9,218.5,243.5,275.6,270.2,281.5,298.9,308.3,340.1,352.7,350,354,390,404.7,413.8,430.3,445.3,452.8,471.1
"21","13","  Personal income receipts on assets","W210RC1",80.5,83,85.3,87.7,89.6,91.9,95.4,97.1,99.5,100.3,101.7,102.4,105.2,107.6,111.1,114.6,117.2,121.1,127.6,132.6,137.7,144,149.1,154.7,159,159.9,163.1,166.7,170.4,176.3,180.8,186.2,190.2,201,210.5,219.5,224.9,230.6,237.4,246.2,257.1,267,277.7,297.2,324,334.6,336,360.1,378.2,405.6,445.5,458.5,474.7,491.7,492.3,494.7,506.4,514.4,539.3,558.2,569.7,596,627.1,638.9,646,653.7,647.6,665.5,687.7,696.4,697.7,696.1,698.3,703.3,720.9,740.7,745.3,750.4,773,799.5,846.9,871.8,885,895.4,908.3,919.3,927.7,927.9,927.3,931.3,931.5,924.2,915.5,912.8,906.3,904.3,907.2,902.5,895.3,896.8,909.2,932.8,962,986.6,993,998.3,1007,1023.1,1041.7,1067.9,1093.6,1119.7,1134.3,1152.2,1173.8,1201.5,1245.4,1276.8,1286.2,1268.3,1229.5,1236.2,1245.4,1276,1334.3,1363.1,1375.9,1369.4,1357.8,1350.6,1340.6,1334.8,1319.1,1315.4,1303.8,1300,1299.2,1306.2,1312.4,1333.8,1350,1372.9,1395.5,1515.5,1459.7,1507.1,1560.4,1640.8,1711.1,1817.2,1881.3,1909,1959.2,2050.4,2098.7,2119.8,2205,2203.1,2197.5,2056,1814.8,1634.4,1537.8,1519.1,1568.6,1594.4,1598,1632.1,1674.3,1692.4,1689.1,1684.6,1696.4,1730.8,1713
"22","14","    Personal interest income","A064RC1",56.6,58.9,61.1,63.1,65.1,67.7,71.1,72.8,74.4,75.4,76.5,77.4,79.1,81.1,84,86.9,88.9,91.9,97.2,101.2,105.2,110.7,115.6,121.3,126.1,127.2,130.3,133.3,134.3,138.3,140.9,144.4,147.6,157.1,164.9,172.7,176.7,181.2,185.7,192.6,201.7,210.1,219.8,237.6,262.3,270.4,271.4,294.6,309.6,333,369.7,380.9,397.2,415.3,415.3,415.3,425.6,432.5,455.1,472,481.2,505.3,536.2,546.3,550.8,556.9,549.4,566.1,584.6,590.1,590.3,588.6,589.7,593.6,607.7,623.7,623.8,624.2,640.3,660.9,699.1,716.3,724.2,728.5,738.4,749.6,757.9,761.9,752,751.2,748.5,741.2,731.5,726.3,717.5,713.3,713.8,704.7,690.8,683.1,684.7,699.5,722.7,744,748.9,750.3,751.6,756.9,762,775.9,791,808.6,816.1,826.7,840.5,859.7,895.5,923.3,934.6,923.9,895.7,906.7,911.6,929.5,969.1,985,992.9,989.7,987.4,985.1,973.6,959.8,931.3,917.9,901.3,897,898.2,898.1,885.7,877.2,855.6,850.3,858,877,927.8,970.6,1003.1,1046.5,1067.2,1128.7,1156.8,1157.2,1205.4,1248.5,1291.6,1315,1372,1402.7,1420,1333.3,1177.5,1108.8,1056.5,1030.4,1030.9,1027.1,1000.7,1007.7,1017.5,1025.3,1004.4,988,991.8,1006.1,976.9
"23","15","    Personal dividend income","B703RC1",24,24.1,24.3,24.6,24.5,24.3,24.2,24.2,25,25,25.2,24.9,26.1,26.4,27.1,27.7,28.4,29.3,30.4,31.5,32.5,33.3,33.5,33.4,32.9,32.6,32.8,33.3,36.1,38.1,39.9,41.8,42.6,43.9,45.6,46.8,48.2,49.4,51.7,53.6,55.3,56.9,58,59.6,61.7,64.2,64.6,65.4,68.6,72.6,75.8,77.6,77.5,76.4,77,79.3,80.9,81.9,84.2,86.2,88.4,90.7,90.9,92.6,95.3,96.8,98.2,99.3,103.1,106.2,107.3,107.5,108.7,109.7,113.2,117.1,121.5,126.2,132.6,138.6,147.9,155.5,160.9,166.9,169.9,169.7,169.8,166,175.2,180.2,183,183,184.1,186.5,188.8,190.9,193.3,197.8,204.6,213.7,224.5,233.3,239.4,242.6,244.1,248,255.4,266.2,279.7,292.1,302.6,311.1,318.2,325.5,333.3,341.7,349.9,353.4,351.6,344.4,333.8,329.6,333.8,346.5,365.2,378.2,383,379.7,370.5,365.5,367,375,387.8,397.5,402.6,402.9,401,408.1,426.7,456.7,494.4,522.6,537.5,638.5,531.9,536.5,557.3,594.3,643.9,688.5,724.5,751.9,753.8,801.8,807.1,804.8,832.9,800.4,777.5,722.8,637.3,525.6,481.3,488.8,537.6,567.3,597.3,624.4,656.9,667.1,684.7,696.6,704.6,724.6,736
"24","16","  Personal current transfer receipts","A577RC1",60.4,61.5,62.9,64.3,66.1,76.1,76.3,80.1,82,89.6,89.6,91.3,94.3,94.9,96,106.4,109.1,111.5,113.3,116.5,121.9,129.9,137.1,144.3,155.9,171.5,174.8,177.6,181.4,179.7,186.4,188.5,190.6,191.1,196.2,199,203.1,204.9,213.6,216.9,222.5,227.1,242.7,248.9,258.7,263.9,295.9,299.3,305.9,309.3,327.9,330.4,335.7,344.9,361.5,377.3,380.2,386.4,381.9,386.5,393.4,397.8,400.5,408.9,419.6,422.1,427.5,430.4,442.6,448.5,455.5,457.2,462.6,467.6,468.6,471.6,488.9,492.5,498.6,505.8,529.8,537.2,546.2,557.2,577.5,588.5,598,615.5,639.4,659.1,668.5,696.5,724.7,743.3,755.3,759.7,779.4,783.8,797.7,802.1,815.6,820.3,824.3,845.4,869.4,879,885.9,881.5,910.9,931.3,926.7,927.5,944.6,944.3,950.5,957.4,968.7,975.1,978.5,989.4,1010,1013.2,1026.3,1036.8,1052.4,1079.4,1093.7,1106.5,1150,1182.6,1188.2,1231.7,1257.7,1280.4,1288.6,1301.9,1318.1,1333.7,1355.6,1359.6,1392.5,1411,1418.5,1440.1,1481.3,1506.4,1516.7,1529.8,1569,1597.9,1620.7,1632.4,1701.6,1698.6,1719.8,1753.8,1798.9,1936.1,1872.2,1909.7,2033.6,2171.2,2169.6,2186.1,2256.9,2266.2,2297.9,2316.2,2322.5,2319.9,2314.7,2319.9,2348,2365.2,2387.9
"25","17","    Government social benefits to persons","A063RC1",57.2,58.2,59.5,61,63,73.1,73.5,77.4,79.3,86.9,86.9,88.5,91.4,91.9,92.9,103.1,105.4,107.6,109.2,112.3,117.5,125.4,132.2,139.1,149.8,164.6,167.7,170.4,174.4,172.7,179.7,182.4,185.1,186.1,191.3,194,197.4,198.7,206.9,209.7,214.6,218.9,234.3,240.4,250.6,255.6,287.2,290,295.5,298.3,316.4,318.6,323.6,332.6,349,364.5,367.4,373.2,368,371.2,375.8,378.5,379.9,387.4,397.6,400,405.1,407.8,419.3,425,432.5,435.3,441.3,447,448.9,452.3,469.3,472.4,477.8,483.9,506.5,514,523,534.1,554.3,565.6,576.2,594.9,620.2,641.2,651.5,680,708.2,726.9,739.1,743.8,764.3,769.5,784.1,789.1,802.8,807.5,811.1,831.2,853.4,861.1,866.2,860.1,888.1,907.7,903.4,905.5,924.8,925.6,931.6,937,945.8,950,951.4,960.5,978.8,980.4,991.5,999.7,1012.6,1038,1050.4,1061.3,1103.3,1134.6,1140.7,1186.8,1216.9,1244.3,1256.9,1273.7,1289.3,1306.8,1330.9,1337.2,1374.9,1394.8,1402.4,1422.2,1457.5,1480,1489.4,1504,1547.3,1578,1600.1,1609.1,1674.9,1669,1687.8,1719.9,1762.1,1899.5,1835.5,1872.7,1996.6,2132.7,2129.3,2143.4,2211.5,2218.9,2249.8,2267.3,2276,2274.8,2270.4,2276,2302.7,2319.5,2341.7
"26","18","      Social security \1\","W823RC1",26,26.3,26.5,26.7,27.1,34.1,32,32.3,32.8,38.7,37.2,37.7,38.3,38.7,39.3,47.5,49.1,50.3,51.2,52,52.5,56.9,59.8,61.2,62,62.9,69,69.7,71,71.4,77,78.6,79.2,80.4,86.3,87.1,87.8,87.9,94.3,95.6,96.5,97.8,107.6,108.3,109.3,110,126.9,128.1,130.7,131.1,146.3,146.5,146.8,147.5,157.6,162.9,162.1,164,164,167.6,170.9,172.7,172.4,176,181.5,182,185.3,184.3,191.1,192.1,195.9,195.4,198.9,201.7,201.4,202,213.5,213.5,214.2,214.5,225.9,226.8,227.8,229,241,243.8,244.7,247,261.3,263.6,265.1,266.8,278.6,281.7,282.8,283.9,295.6,297.1,298.6,300.6,308.8,311.8,313,315.1,324.8,327.5,328.6,329.8,339.1,341.4,342.6,344.9,353.9,355.9,357.5,359.1,366.6,368.2,370.7,371.2,377,378.9,380.8,382.7,392.5,404.7,403.9,404.5,420.8,422.7,428.4,428.5,442.9,445.5,448.1,451.2,458.1,463.1,464.8,468.1,479.7,484.8,486.2,491.4,506.5,512.9,514,517.5,538,543.7,546.1,548.6,568.3,575,578.2,581.1,597.3,602.9,608.9,613.1,651.9,662.4,667.9,675.7,678.7,688.3,693.9,699.8,703.1,712,716,721.9,753.2,759.4,765.1
"27","19","      Medicare \2\","W824RC1",6.4,6.6,6.8,6.9,7,7.2,7.3,7.5,7.8,8,8.1,8.3,8.5,8.7,8.9,9.2,9.5,10,10.5,11,11.7,12.4,13.1,13.8,14.5,15.2,16,16.8,17.6,18.4,19.2,20,20.9,21.7,22.5,23.3,24.2,25,26,27,28,29.2,30.5,32,33.6,35.3,37,38.8,40.7,42.6,44.4,46.3,48.2,50.1,51.8,53.6,55.2,56.9,58.7,60.4,62.5,64.1,65.6,66.9,67.9,69.1,70.3,71.6,73,74.5,76,77.6,79.6,81.1,82.3,83.3,83.4,85,87,89.7,93.8,96.9,99.7,102.3,104.3,106.5,108.7,111,112.9,115.7,118.9,122.5,127.2,131,134.5,137.7,143.4,144.7,147.5,151.6,156.9,162.2,167.1,171.6,175.7,179.6,183.2,186.5,189.6,192.9,196.5,200.4,204.4,207.1,208.3,207.9,206.4,205.3,205,205.5,206.6,207.9,209.4,211,213,216.1,220.7,226.7,233.8,240.4,245.8,250.3,253.8,257.3,260.9,264.7,268.7,273.5,279.3,286,293.5,300.9,308.9,315.3,322.5,328.4,334.9,341.9,379.5,397.9,404.6,414.8,420.8,423.5,428.9,437,452.4,457.3,464.1,472.8,483.3,492.2,499,503.7,506.8,511.2,517.5,525.6,535.1,543.1,549.1,553.1,555.9,556.9,566.2
"28","20","      Medicaid","W729RC1",4.4,4.4,4.6,4.8,5,5.3,5.6,5.9,6.2,6.6,6.9,7.3,7.8,8,8.6,8.5,9,9.6,9.7,10.1,10.2,11.1,11.4,12,13.3,13.8,13.8,14.6,15.2,14.9,15.9,15.9,16.2,17.5,16.7,16.5,17.5,18.6,18.9,19.5,20,20.8,21.1,22.4,23.4,22.2,24.2,25.6,26.5,28.1,28.3,28,28.8,30.2,30.8,30.8,33.2,33.4,34,34.9,35.7,36.2,36.8,37.6,38.4,39.2,40.1,41.1,42.1,43.1,44.1,45.2,46.2,47.3,48.4,49.4,50.9,52.2,53.7,55.4,57.4,59.6,61.9,64.4,66.6,70.3,74.9,80.7,83.7,93.1,98.4,112.5,108.3,115.4,120.6,120.8,124.4,124.8,135.2,136,136.6,137.1,136.2,147.8,152.5,152.5,152.7,140.7,151.3,165.8,158.8,156.9,161.4,159.4,163.7,168,167.2,170,168.1,175.4,181.1,179.1,186.7,191.3,190.2,198.3,204.8,204.8,215,230.1,217.4,246.5,244.5,244,250.7,261.1,259.8,259.4,272,267.1,283.1,292.5,287.4,295.7,300.5,312.3,299.2,305.6,290.5,296.1,308,301.6,331.9,313.8,318.8,331.8,331.4,338.4,340.9,342.2,357,368.3,381.6,369.8,381.6,385.2,405.4,414,418.8,408.7,396.1,392,397.6,413.9,424.2
