"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"59","52","Q1BTA1 D       Pleasure boats and aircraft","Q1BTA10",9033,8004,6974,7699,8204,9932,10781,12214,13024,14122,15407,14895,15072,18802,19706
"60","53","Q1BOA1 D         Pleasure boats","Q1BOA10",8102,7120,6151,6855,7370,8999,9849,11246,11993,13004,14187,13716,13879,17313,18145
"61","54","Q1AIR1 D         Pleasure aircraft","Q1AIR10",931,884,823,844,834,933,932,967,1032,1119,1220,1180,1194,1489,1561
"62","55","Q1JRY1 C     Jewelry and watches (18)","Q1JRY10",26465,25590,26504,28705,30497,32575,35802,37462,41727,46818,50568,49177,52480,57109,60772
"63","56","Q1BKS1 C     Books and maps (87)","Q1BKS10",19236,18945,19282,20664,22711,24547,25626,27248,28248,31444,33654,34198,35392,37275,39330
"64","57","Q1TND1 A Nondurable goods","Q1TND10",1483954,1480527,1510124,1550354,1603902,1638621,1680447,1725331,1794437,1876610,1947216,1986686,2037372,2112359,2208469
"65","58","Q1TFD1 B   Food","Q1TFD10",784373,783327,787925,802154,821842,827097,834711,845248,865556,893579,925164,940244,958396,995069,1043266
"66","59","Q1OPF1 C     Food and alcoholic beverages purchased for off-premise consumption (3)","Q1OPF10",485675,484904,483935,488905,503395,507141,513239,518328,528443,548793,566695,578647,589822,609220,630809
"67","60","Q1FOP1 G       Food purchased for off-premise consumption","Q1FOP10",423831,427750,430213,433815,445123,447145,450732,453666,461975,480701,495517,506517,517379,533840,550777
"68","61","Q1GRA1 D         Cereals","Q1GRA10",23641,24175,24278,24299,24519,25050,25948,26692,25788,27749,27448,27847,27774,28617,30188
"69","62","Q1BAK1 D         Bakery products","Q1BAK10",42252,42037,41029,41345,42293,42782,42885,43443,43711,44494,45467,44976,45330,46323,48176
"70","63","Q1BEE1 D         Beef and veal","Q1BEE10",30267,28942,27862,26205,26283,25800,25308,23865,25189,24925,25770,25514,24489,23654,22302
"71","64","Q1POR1 D         Pork","Q1POR10",19305,19005,19949,19723,20218,20579,19324,18660,19732,21723,21923,23116,22570,23242,23391
"72","65","Q1MEA1 D         Other meats","Q1MEA10",12951,13541,14361,14594,14998,15288,15409,15468,16103,16861,17297,17585,17341,17745,18053
"73","66","Q1POU1 D         Poultry","Q1POU10",21471,23947,26060,26425,27639,28813,28905,29624,30091,29896,32013,33449,32290,33475,33186
"74","67","Q1FIS1 D         Fish and seafood","Q1FIS10",9763,9493,8903,8664,8525,8189,8278,8097,9449,10137,10401,11017,12276,12752,13283
"75","68","Q1GGS1 D         Eggs","Q1GGS10",2978,3150,3560,3677,4255,4458,4172,4625,5125,5446,5704,5774,5661,5247,5347
"76","69","Q1MIL1 D         Fresh milk and cream","Q1MIL10",18145,18480,17125,16496,15962,15546,14195,13484,13297,12773,13915,14190,13949,14524,13728
"77","70","Q1DAI1 D         Processed dairy products","Q1DAI10",26457,27734,28298,28736,29527,29705,28900,28650,29029,30567,29712,29908,31028,32775,33212
"78","71","Q1FRU1 D         Fresh fruits","Q1FRU10",14435,13535,14721,15244,15429,14807,14530,14892,15578,14975,16789,16577,18617,18911,19607
"79","72","Q1VEG1 D         Fresh vegetables","Q1VEG10",20349,20085,19377,19634,21106,20325,22346,23137,22955,24271,25146,25102,26329,27045,27832
"80","73","Q1PFV1 D         Processed fruits and vegetables","Q1PFV10",18393,18322,17454,17719,17742,17791,17508,17351,17519,19270,19179,19135,18946,19700,20651
"81","74","Q1JNB1 D         Juices and nonalcoholic drinks","Q1JNB10",45193,46659,46782,46244,47006,45383,45547,45874,46608,48115,48932,50846,51792,54254,57104
"82","75","Q1CTM1 D         Coffee, tea and beverage materials","Q1CTM10",9269,8930,8554,9792,9144,8532,10472,10340,10461,11246,11646,12434,12794,13283,14237
"83","76","Q1FAT1 D         Fats and oils","Q1FAT10",9247,9364,9811,9706,9520,9155,8933,8721,8659,9365,9519,9694,9826,10182,10095
"84","77","Q1SWE1 D         Sugar and sweets","Q1SWE10",28059,28279,28100,28681,29582,29922,29761,29682,30085,30447,32154,32414,33135,34114,35935
"85","78","Q1OFD1 D         Other foods","Q1OFD10",59406,60000,60692,62691,66024,68453,70962,72698,73437,78236,81186,85123,90503,94103,100008
"86","79","Q1PEF1 D         Pet food","Q1PEF10",12550,12238,13052,14164,15559,16832,17536,18457,19217,20250,21315,21870,22924,24332,25567
"87","80","Q1AOP1 C       Alcoholic beverages purchased for off-premise consumption (9)","Q1AOP10",61824,57111,53845,55168,58295,60001,62503,64662,66475,68087,71179,72128,72439,75373,80038
"88","81","Q1MLT1 D         Beer and ale, at home","Q1MLT10",37044,33370,30542,31882,34038,35504,37252,39192,40190,41193,43052,43449,43510,45398,48163
"89","82","Q1WIN1 D         Wine and brandy, at home","Q1WIN10",11352,10689,10400,10799,11713,12324,12887,13185,13476,13913,14763,15245,15493,16218,17499
"90","83","Q1LIQ1 D         Distilled spirits, at home","Q1LIQ10",13437,13085,12971,12527,12574,12194,12376,12285,12814,12982,13364,13438,13446,13773,14406
"91","84","Q1PMB1 C     Purchased meals and beverages (4)","Q1PMB10",289550,289372,295040,304332,309352,310778,312257,317716,327811,335289,348809,351812,358666,375625,401985
"92","85","Q1FPM1 C       Food in purchased meals","Q1FPM10",248714,248845,253045,264093,270855,273644,276474,282641,291987,298867,311313,314582,320892,336853,360690
"93","86","Q1ESL1 D         Elementary and secondary school lunch","Q1ESL10",4414,4457,4458,4554,4635,4720,4823,4958,5156,5400,5657,5844,5945,6060,6284
"94","87","Q1HSL1 D         Higher education school lunch","Q1HSL10",5365,5279,5452,5591,5761,5828,5930,6033,6182,6458,6769,7020,7145,7471,7921
"95","88","Q1OPM1 D         Other purchased meals","Q1OPM10",238936,239113,243136,253952,260465,263101,265725,271655,280652,287009,298887,301720,307806,323324,346485
"96","89","Q1MLS1 D           Meals at limited service eating places","Q1MLS10",124593,124292,128216,135668,137971,140687,140867,140232,146899,149731,156106,158514,162371,170739,183640
"97","90","Q1MOE1 D           Meals at other eating places","Q1MOE10",112474,112961,113021,116507,120873,120801,123297,129947,132235,135735,141176,141629,143822,150978,161114
"98","91","Q1MDP1 D           Meals at drinking places","Q1MDP10",1869,1861,1890,1760,1608,1593,1548,1483,1519,1544,1605,1578,1612,1605,1728
"99","92","Q1APM1 C       Alcohol in purchased meals","Q1APM10",41157,40823,42340,40444,38615,37201,35812,35080,35825,36422,37497,37235,37780,38792,41322
"100","93","Q1PIF1 C     Food furnished to employees (including military) and food produced and consumed on farms (5+6)","Q1PIF10",8944,8853,8888,8973,9086,9149,9151,9185,9320,9493,9659,9787,9908,10173,10279
"101","94","Q1FOO1 C       Food furnished to employees (including military)","Q1FOO10",8318,8248,8282,8403,8513,8622,8649,8658,8767,8927,9106,9266,9389,9709,9878
"102","95","Q1CFD1 D         Food supplied civilians","Q1CFD10",7671,7619,7682,7780,7881,8003,8066,8106,8233,8390,8533,8673,8737,8866,9034
"103","96","Q1MFD1 D         Food supplied military","Q1MFD10",646,628,600,623,632,619,583,552,534,537,573,593,652,843,843
"104","97","Q1FFD1 C       Food produced and consumed on farms","Q1FFD10",616,598,600,569,572,529,504,528,555,567,554,521,519,458,397
"105","98","Q1TCS1 B   Clothing and shoes","Q1TCS10",188154,188752,199226,207383,218500,227383,238694,245967,263097,282678,297712,303747,316697,330204,352360
"106","99","Q1SHU1 C     Shoes (12)","Q1SHU10",30382,29548,30331,31470,33745,35373,37457,38688,41281,44690,47026,48114,50251,52486,56294
"107","100","Q1WCL1 C     Women's and children's clothing and accessories except shoes (14)","Q1WCL10",98953,99824,106176,110057,114233,118688,124384,127032,136613,147980,156692,159292,165705,172096,183479
"108","101","Q1WCO1 D       Clothing and sewing for females","Q1WCO10",96889,97805,104176,107968,112187,116724,122272,124782,134138,144937,153259,156136,162364,168583,179321
"109","102","Q1WGC1 D         Clothing for females","Q1WGC10",85354,85916,91643,95054,99060,103901,109369,111522,119682,129522,137203,139575,144932,150379,159836
"110","103","Q1WIC1 D         Clothing for infants","Q1WIC10",7899,7804,7908,8255,8594,8776,8740,9059,9843,10281,10617,11003,11432,12025,13045
"111","104","Q1WSG1 D         Sewing goods for females","Q1WSG10",3699,4149,4658,4694,4560,4067,4163,4211,4630,5137,5439,5556,5993,6172,6440
"112","105","Q1WUG1 D       Luggage for females","Q1WUG10",2086,2040,2028,2121,2086,2029,2169,2290,2511,3048,3434,3158,3342,3516,4176
"113","106","Q1MMC1 C     Men's and boys' clothing and accessories except shoes (15+16)","Q1MMC10",58740,59254,62519,65698,70506,73311,76842,80278,85217,90007,93993,96343,100745,105636,112592
"114","107","Q1MCL1 C       Men's and boys' clothing, sewing goods, and luggage, except military issue","Q1MCL10",58571,59064,62243,65406,70214,73019,76550,79961,84911,89722,93682,96015,100397,105090,112256
"115","108","Q1MCO1 D         Clothing and sewing for males","Q1MCO10",57686,58117,61219,64387,69277,72179,75719,79154,84020,88621,92439,94872,99188,103818,110747
"116","109","Q1MBC1 D           Clothing for males","Q1MBC10",57214,57676,60807,63969,68871,71820,75348,78776,83604,88160,91951,94373,98649,103264,110170
"117","110","Q1MSG1 D           Sewing goods for males","Q1MSG10",457,429,402,408,399,359,370,378,416,461,488,499,538,554,578
"118","111","Q1MUG1 D         Luggage for males","Q1MUG10",842,896,969,969,907,836,840,829,909,1104,1243,1144,1210,1273,1512
"119","112","Q1MIC1 C       Standard clothing issued to military personnel (n.d.)","Q1MIC10",164,186,278,295,295,294,292,319,306,285,311,329,348,534,341
"120","113","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",158448,156726,162798,166882,169668,172973,176179,179660,186299,192667,191482,193391,196047,197345,197304
"121","114","Q1GAO1 B     Gasoline and oil (75)","Q1GAO10",141842,140282,145958,149666,151658,154463,157894,162773,170283,176273,175656,178257,180699,181957,181252
"122","115","Q1GAS1 D       Gasoline and other motor fuel","Q1GAS10",138743,137165,142268,145744,147624,150668,154192,159299,166366,173076,172321,175251,177841,179187,178494
"123","116","Q1LUB1 D       Lubricants","Q1LUB10",2979,2994,3511,3722,3824,3629,3557,3370,3754,3212,3335,3027,2907,2834,2829
"124","117","Q1FUL1 B     Fuel oil and coal (40)","Q1FUL10",16746,16584,16974,17351,18186,18702,18432,16940,16035,16408,15826,15157,15371,15414,16093
"125","118","Q1OIL1 D       Fuel oil","Q1OIL10",10629,10171,10635,10569,10935,10995,10571,10257,10056,10131,8964,8729,8860,8728,9094
"126","119","Q1LPF1 D       Liquified petroleum gas and other fuel, and farm fuel","Q1LPF10",6238,6503,6456,6864,7318,7741,7863,6743,6091,6361,6862,6436,6521,6676,6998
"127","120","Q1LPG1 D         Liquified petroleum gas and other fuel","Q1LPG10",6200,6467,6420,6836,7298,7728,7856,6741,6089,6360,6861,6435,6519,6675,6998
"128","121","Q1FFW1 D         Farm fuel","Q1FFW10",37,36,36,28,20,13,6,1,1,1,1,1,1,1,1
"129","122","Q1TON1 B   Other","Q1TON10",360985,359274,366047,379027,397709,414132,432947,456638,481144,508597,532858,549243,566316,589586,617074
"130","123","Q1TOB1 C     Tobacco products (7)","Q1TOB10",87704,81372,84939,83183,84224,85453,86661,86719,84309,79543,78543,78060,76281,74164,73331
"131","124","Q1TLG1 C     Toilet articles and preparations (21)","Q1TLG10",41125,40815,40964,42977,45437,47934,50911,53750,54035,54622,55016,53851,53720,53335,53958
"132","125","Q1SOA1 D       Soap","Q1SOA10",4531,4579,4814,4717,4656,4640,4536,4395,4424,4516,4630,4792,4931,5025,5214
"133","126","Q1CSM1 D       Cosmetics and perfumes","Q1CSM10",17017,15375,14543,14505,14756,15046,15359,15361,15295,15286,15573,15043,15067,14765,15146
"134","127","Q1OPH1 D       Other personal hygiene goods","Q1OPH10",20107,21252,21936,23995,26206,28378,31080,33999,34317,34822,34814,34017,33723,33546,33593
"135","128","Q1SDH1 C     Semidurable house furnishings (33)","Q1SDH10",20065,20796,22664,23785,25247,26487,28092,29547,31608,34152,36465,37378,39438,43197,47396
"136","129","Q1CLP1 C     Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","Q1CLP10",46191,45860,47328,50123,53431,54504,56013,58146,59426,61780,61587,62206,63812,67170,71116
"137","130","Q1CLE1 D       Cleaning preparations","Q1CLE10",23537,22654,22841,24415,26203,27341,28541,29558,30299,31283,31526,31714,32184,33479,35466
"138","131","Q1LIG1 D       Lighting supplies","Q1LIG10",5004,4890,5299,5574,5998,6014,6259,6492,6762,7297,7537,7718,8019,8597,9717
"139","132","Q1PAP1 D       Paper products","Q1PAP10",17670,18443,19368,20295,21366,21225,21246,22136,22390,23217,22525,22776,23611,25098,25960
"140","133","Q1DRG1 C     Drug preparations and sundries (45)","Q1DRG10",90080,91665,92272,95150,99196,105608,112734,122800,138108,154275,169412,184227,195385,208607,220912
"141","134","Q1RXD1 D       Prescription drugs","Q1RXD10",59503,61568,63539,66693,70514,76388,83032,92826,107510,122432,136223,150469,160075,172361,182725
"142","135","Q1NRX1 D       Nonprescription drugs","Q1NRX10",20913,20783,19923,19721,19899,20481,20919,21213,22017,23276,24614,25278,26841,27751,29690
"143","136","Q1MDS1 D       Medical supplies","Q1MDS10",4858,4557,4247,4278,4385,4441,4552,4668,4685,4731,4769,4708,4688,4560,4509
"144","137","Q1GYN1 D       Gynecological goods","Q1GYN10",3459,3546,3556,3576,3603,3607,3660,3718,3752,3808,3807,3719,3687,3668,3673
"145","138","Q1TOY1 C     Nondurable toys and sport supplies (89)","Q1TOY10",28282,29574,30839,32631,35008,37446,39067,41033,45551,51632,56611,60047,65036,70167,77612
"146","139","Q1DOL1 D       Toys, dolls, and games","Q1DOL10",18148,19965,21312,22649,24546,26733,28070,29864,33397,37938,41510,44355,48522,53177,59009
"147","140","Q1AMM1 D       Sport supplies, including ammo","Q1AMM10",6755,6323,6316,6904,7436,7816,8258,8588,9360,10597,11793,12393,13087,13437,14732
"148","141","Q1FLM1 D       Film and photo supplies","Q1FLM10",3673,3503,3394,3246,3170,2992,2807,2602,2799,3097,3308,3305,3459,3667,4026
"149","142","Q1STY1 C     Stationery and writing supplies (35)","Q1STY10",17165,17504,17813,18052,18362,17839,17298,16903,17259,18188,18982,18303,18024,18055,18778
"150","143","Q1STS1 D       Stationery and school supplies","Q1STS10",7285,7062,6831,6987,7115,6837,6468,6197,6527,7137,7772,7482,7553,7724,8306
"151","144","Q1GRE1 D       Greeting cards","Q1GRE10",9875,10440,10982,11065,11246,11001,10830,10706,10731,11051,11210,10820,10470,10330,10471
"152","145","Q1NFR1 C     Net foreign remittances (111 less 113)","Q1NFR10",2374,2032,490,744,940,908,1139,2577,2865,2727,3220,3425,3731,3478,2865
"153","146","Q1ABD1 C       Expenditures abroad by U S  residents","Q1ABD10",3569,3288,2267,2463,2498,2321,2363,3749,4055,4091,4585,4932,5243,5225,4724
"154","147","Q1ART1 D         Government expenditures abroad","Q1ART10",3444,3148,2154,2346,2386,2221,2265,3601,3895,3929,4404,4737,5036,5019,4537
"155","148","Q1ARS1 D         Other private services","Q1ARS10",125,140,114,117,113,100,97,148,160,162,181,195,207,207,187
"156","149","Q1REM1 C       Less: Personal remittances in kind to nonresidents","Q1REM10",1195,1255,1777,1719,1558,1412,1224,1172,1191,1363,1365,1506,1512,1748,1859
"157","150","Q1MAG1 C     Magazines, newspapers, and sheet music (88)","Q1MAG10",29256,28223,27049,27985,29692,30792,31680,33152,33385,34067,35048,34285,33972,34560,35919
"158","151","Q1MGZ1 D       Magazines and sheet music","Q1MGZ10",14147,14067,13783,14257,15196,15974,16412,17051,17141,17491,17995,17603,17442,17744,18442
"159","152","Q1NWP1 D       Newspapers","Q1NWP10",15206,14193,13273,13736,14501,14818,15269,16101,16244,16576,17053,16682,16530,16816,17477
"160","153","Q1FLO1 C     Flowers, seeds, and potted plants (95)","Q1FLO10",11490,11125,11687,12601,13327,13541,14987,16247,16719,17900,17974,17456,17388,18255,18382
"161","154","Q1TSS1 A Services","Q1TSS10",2851667,2899952,3000806,3085708,3176621,3259873,3356012,3467984,3614961,3758010,3928836,4023246,4128617,4220277,4338329
"162","155","Q1HOS1 B   Housing","Q1HOS10",802176,820060,832742,841770,869326,887543,901110,922477,948846,978557,1006456,1033731,1061982,1076052,1094878
"163","156","Q1OWN1 C     Owner-occupied nonfarm dwellings--space rent (24)","Q1OWN10",551605,567367,575458,583905,604767,615870,626725,642408,663676,688227,712236,740156,759400,776430,797341
"164","157","Q1OMH1 D       Owner occupied mobile homes","Q1OMH10",23511,25115,25718,25309,25497,25572,26174,26831,27195,27253,28317,32386,33215,32509,33891
"165","158","Q1OST1 D       Owner occupied stationary homes","Q1OST10",528094,542251,549738,558596,579269,590295,600547,615576,636479,660973,683919,707772,726183,743918,763447
"166","159","Q1TEN1 C     Tenant-occupied nonfarm dwellings--rent (25)","Q1TEN10",199890,201713,203761,204883,209923,216456,217059,218772,222839,226652,227549,230726,238804,235568,233238
"167","160","Q1TMH1 D       Tenant occupied mobile homes","Q1TMH10",5006,5424,5492,5579,6005,6308,6226,5997,5635,5140,4963,5049,6025,5924,5917
"168","161","Q1TSP1 D       Tenant occupied stationary homes","Q1TSP10",190996,192334,194190,195159,199721,205633,206067,207758,211966,216033,216809,219618,226469,223105,220589
"169","162","Q1TLD1 D       Tenant landlord durables","Q1TLD10",4037,4098,4206,4263,4330,4615,4826,5047,5253,5484,5776,6063,6317,6586,6828
"170","163","Q1FAR1 C     Rental value of farm dwellings (26)","Q1FAR10",9616,9619,9606,9572,9615,9626,9673,9994,10204,10456,10656,10807,11203,11299,11195
"171","164","Q1OHO1 C     Other (27)","Q1OHO10",40914,41171,43849,43296,44963,45524,47657,51363,52160,53224,56016,51999,52491,52663,53004
"172","165","Q1HOT1 D       Hotels and motels","Q1HOT10",31687,31756,34447,33501,35197,35681,37504,41204,41859,42698,45221,40863,41280,41386,41635
"173","166","Q1HFR1 D       Clubs and fraternity housing","Q1HFR10",402,431,431,440,444,456,499,487,531,593,667,666,628,631,635
"174","167","Q1HHE1 D       Higher education housing","Q1HHE10",8228,8387,8464,8838,8813,8849,9090,9109,9207,9322,9512,9834,9969,10023,10102
"175","168","Q1HES1 D       Elementary and secondary education housing","Q1HES10",157,154,156,156,158,162,166,164,165,165,166,164,163,161,161
"176","169","Q1TGR1 D       Tenant group room and board","Q1TGR10",415,426,315,338,320,342,359,351,346,390,393,393,370,372,377
"177","170","Q1TGL1 D       Tenant group employee lodging","Q1TGL10",37,36,38,39,41,43,44,49,52,54,57,59,64,68,73
