"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"67","56","D         Drugs and druggists' sundries wholesalers","X42220",1622,1998,3227,4410,6401,1291,637,-54
"68","57","D         Apparel, piece goods, and notions wholesalers","X42230",1530,14,-898,-54,-104,-149,-602,707
"69","58","D         Grocery and related products wholesalers","X42240",784,191,2149,632,-811,1165,547,897
"70","59","D         Farm product raw material wholesalers","X42250",716,5,-312,1290,42,-312,2456,-2222
"71","60","D         Chemical and allied products wholesalers","X42260",259,254,230,-129,59,184,80,253
"72","61","D         Petroleum amd petroleum products wholesalers","X42270",-531,-591,354,580,-202,595,446,1706
"73","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","X42280",385,311,369,418,-148,663,243,482
"74","63","D         Miscellaneous nondurable goods wholesalers","X42290",992,955,1190,523,-66,115,148,3085
"75","64","D     Nonmerchant wholesale industries","X42N0",1342,669,2114,3689,-3053,639,-1021,4692
"76","65","D       Durable goods industries","X42ND0",850,1113,1090,2226,-2262,214,-1341,2568
"77","66","D       Nondurable goods industries","X42NN0",492,-444,1024,1463,-791,425,320,2124
"78","67","D Retail trade industries","X440",10400,13930,29292,23265,-11748,24847,13084,20434
"79","68","D   Motor vehicle and parts dealers","X4410",4050,1874,14010,13405,-9120,17349,4167,2802
"80","69","D   Furniture, furnishings, electronics, and appliance stores","X44230",-217,550,1326,1432,-1348,1122,2046,1744
"81","70","D   Building material and garden equipment and supplies dealers","X4440",1455,2317,2437,1638,2,2740,4010,7667
"82","71","D   Food and beverage stores","X4450",219,1240,2109,-148,1384,149,239,1138
"83","72","D   Clothing and clothing accessories stores","X4480",1228,1162,1195,2633,-1175,1363,534,657
"84","73","D   General merchandise stores","X4520",114,876,2704,786,90,1749,907,3582
"85","74","D     Department stores","X45210",171,-770,469,-979,-1943,-1456,-1799,-102
"86","75","D     Other general merchandise stores","X45290",-57,1646,2235,1765,2033,3205,2706,3684
"87","76","D   Other retail stores","X44X0",3551,5911,5511,3519,-1581,375,1181,2844
"88","77","D Other industries","XOTH0",4861,4849,7595,13400,-746,-1849,971,3841
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
