"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",37485,37312,37422,37463,37533,37484,37600,37543,37446,37583,37616,37515,37401,37559,37343,37336,37224,37268,37402,37258,37429,37352,37345,37430,37434,37721,37737,37937,37835,37995,37576,37848,37985,37892,37892,37794,38175,37694,37713,37368,37686,37626,37486,37503,37414,37435,37378,37764,37890,37559,37525,37619,37459,37585,37666,37600,37450,37530,37546,37395,37720,37507,37692,37648,37414,37422,37558,37698,37685,37665,37708,37530,37463,37441,37803,37660,37780,38008,38062,38210,38260,38176,38321,38396,38134,38456,38498,38695,38889,38608,38769,38853,39118,38829,38997,40195,38468,38712,39243,39630,39307,39677,39430,39442,39424,39708,39569,39608,39606,39717,39626,39785,39941,39808,39787,39909,40020,40105,40022,40283,39820,39654,39519,39134,39339,39286,39270,39166,39061,39298,39454,39390,39716,39517,39518,39667,39195,39686,40016,39851,39848,39748,39668,39487,40043,39721,39977,39929,39923,39948,39949,40113,40421,40350,40621,40718,40924,40948,40954,41003,41089,41235,41245,41440,41493,41674,41658,41789,41696,42064,41914,42132,42260,42432,42485,42605,42336,42809,43049,43361
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",34241,34013,34103,34097,34168,34115,34195,34100,34012,34151,34201,34079,33969,34157,34014,34001,33868,33895,34022,33900,34132,34045,34034,34147,34119,34376,34380,34553,34411,34619,34191,34473,34550,34461,34464,34380,34770,34348,34371,34018,34386,34315,34158,34144,34001,34022,33983,34330,34384,34107,34068,34164,34048,34103,34209,34143,34091,34161,34157,34029,34286,34090,34240,34237,34023,33928,34050,34189,34179,34155,34205,34007,33925,33836,34221,34059,34192,34440,34465,34592,34638,34560,34716,34774,34548,34852,34907,35016,35246,35004,35180,35260,35503,35197,35337,36492,34790,34975,35502,35876,35514,35854,35583,35587,35553,35801,35672,35887,35664,35827,35731,35925,36037,35891,35861,36028,36154,36259,36102,36348,35982,35778,35649,35287,35469,35400,35399,35321,35242,35504,35641,35465,35885,35723,35670,35779,35318,35814,36073,35825,35801,35656,35632,35435,35966,35643,35891,35837,35792,35812,35804,35963,36260,36155,36418,36530,36739,36641,36611,36593,36680,36790,36773,36963,36938,37078,37014,37148,36921,37296,37182,37356,37452,37633,37639,37706,37376,37750,37960,38263
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",1094,1103,1143,1159,1162,1177,1208,1183,1185,1172,1161,1175,1190,1181,1132,1161,1184,1187,1193,1179,1144,1142,1142,1127,1130,1142,1132,1148,1155,1135,1115,1135,1160,1174,1181,1174,1172,1149,1145,1143,1113,1111,1132,1140,1155,1172,1171,1166,1171,1168,1156,1156,1151,1162,1138,1144,1125,1140,1154,1152,1179,1162,1163,1135,1105,1149,1167,1186,1186,1163,1143,1171,1153,1174,1192,1198,1191,1187,1199,1175,1191,1189,1173,1168,1180,1186,1185,1202,1188,1180,1150,1162,1163,1169,1204,1216,1210,1229,1224,1258,1243,1255,1266,1247,1265,1275,1253,1212,1291,1286,1304,1278,1303,1313,1349,1315,1300,1271,1308,1319,1248,1274,1262,1271,1291,1307,1312,1317,1305,1306,1314,1337,1329,1293,1316,1331,1351,1343,1368,1400,1399,1429,1405,1403,1435,1435,1445,1426,1431,1451,1446,1448,1455,1451,1494,1499,1511,1541,1562,1612,1600,1594,1610,1614,1673,1688,1704,1691,1774,1758,1729,1737,1742,1738,1759,1801,1843,1954,1949,1909
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",2149,2194,2174,2204,2199,2189,2194,2255,2246,2256,2251,2256,2238,2216,2194,2172,2169,2183,2183,2176,2151,2162,2166,2154,2182,2201,2224,2233,2266,2239,2268,2237,2273,2254,2243,2237,2230,2194,2194,2204,2184,2197,2193,2216,2256,2239,2222,2266,2334,2283,2299,2298,2258,2319,2319,2313,2233,2226,2233,2211,2252,2254,2288,2275,2284,2344,2340,2321,2319,2346,2360,2352,2385,2432,2389,2403,2397,2381,2398,2444,2430,2427,2433,2454,2406,2417,2405,2478,2454,2423,2439,2431,2451,2464,2456,2486,2468,2509,2517,2495,2549,2567,2581,2609,2605,2633,2644,2510,2651,2604,2591,2581,2601,2605,2576,2565,2565,2575,2611,2616,2590,2602,2607,2577,2579,2580,2558,2527,2513,2489,2500,2587,2503,2501,2532,2557,2526,2529,2575,2626,2648,2664,2631,2650,2642,2643,2642,2667,2701,2686,2700,2703,2707,2746,2710,2689,2674,2767,2782,2800,2810,2854,2864,2865,2884,2912,2945,2954,3006,3015,3008,3044,3071,3067,3094,3104,3124,3111,3147,3197
"27","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",9359,9321,9346,9459,9327,9492,9400,9622,9689,9616,9545,9805,10085,9559,9414,9686,9873,9982,10098,9915,10023,10007,10009,9976,10058,10203,10264,10280,10081,10130,10267,10458,10314,10701,10728,10740,10683,10435,10678,10594,10810,10777,10734,10637,11067,10737,11104,11061,10961,11272,11292,11367,11345,11463,11347,11552,11600,11664,11421,11493,11491,11534,11557,11379,11351,11633,11735,11961,11937,11959,12116,12236,12318,12452,12578,12700,12600,12808,12832,12702,12541,12946,13079,13190,13478,13518,13692,13698,13951,13931,13893,14032,13971,14025,14053,14107,14048,14328,14678,14515,14864,14651,14735,14977,15307,15046,15029,14905,14917,15003,14664,14944,14880,14782,14890,15145,14280,15079,14935,15305,15380,15630,15448,15714,15391,15703,15590,15631,15243,16076,15924,16247,16159,15811,16241,16229,16587,16748,16997,16995,17163,16964,17282,17526,17637,17794,18089,17491,17718,17542,17764,17751,18111,18260,18186,18290,18458,19045,18438,19154,18926,19351,19244,19201,19159,19772,19698,19711,20170,20162,20078,20040,20123,20204,20663,20418,20905,20679,20574,20559
"28","20","S2 QN4481ZZMG     Clothing stores","T060200",6557,6607,6593,6734,6708,6864,6816,6973,6993,6911,6868,7114,7333,6868,6734,6970,7109,7078,7143,6973,7101,7143,7132,7051,7062,7253,7348,7325,7178,7221,7261,7450,7250,7529,7577,7606,7627,7492,7540,7444,7545,7588,7547,7468,7867,7520,7756,7795,7649,7954,7838,7908,7863,8077,7927,8069,8167,8207,8018,8088,8107,8089,8126,7982,8011,8209,8303,8551,8450,8481,8539,8654,8701,8774,8889,9011,8912,9046,9066,8941,8892,9139,9244,9264,9505,9552,9691,9736,9884,9819,9783,9907,9829,9808,9850,9730,9793,10061,10393,10284,10499,10331,10329,10568,10853,10649,10738,10604,10619,10735,10410,10660,10647,10637,10680,10895,10241,10903,10668,11061,11020,11164,11084,11231,10987,11273,11250,11165,10923,11630,11448,11682,11699,11360,11744,11750,12021,12119,12299,12253,12388,12201,12396,12620,12761,12827,13090,12621,12855,12753,12911,12992,13164,13304,13304,13401,13541,13987,13623,14025,13982,14261,14260,14211,14222,14621,14549,14559,14916,14872,14804,14882,14902,15025,15383,15113,15481,15388,15275,15412
"29","21","S2 QN4482ZZMG     Shoe stores","T060210",1571,1534,1505,1503,1448,1454,1408,1445,1484,1481,1458,1468,1519,1456,1451,1474,1492,1509,1482,1537,1543,1521,1531,1555,1563,1553,1580,1554,1542,1526,1583,1588,1620,1654,1658,1643,1602,1483,1642,1664,1667,1684,1660,1643,1656,1642,1710,1684,1711,1681,1694,1780,1743,1716,1743,1767,1709,1744,1730,1707,1706,1754,1756,1704,1710,1761,1751,1743,1728,1733,1772,1789,1760,1853,1851,1823,1801,1790,1833,1808,1761,1875,1856,1875,1904,1907,1878,1883,1935,1946,1901,1911,1914,1906,1886,1915,1937,1934,1988,1914,1927,1901,1944,1977,1964,1970,1956,1931,1950,1899,1894,1991,1982,1951,2006,1987,1875,1918,1967,1981,2046,2035,1956,2021,1965,2010,1986,1980,1933,2010,2004,2014,1944,1985,2059,2007,2039,2049,2084,2137,2120,2085,2119,2126,2140,2164,2175,2124,2103,2086,2111,2075,2100,2120,2059,2113,2084,2184,2028,2130,2129,2131,2127,2101,2124,2206,2244,2205,2275,2219,2171,2181,2161,2188,2231,2281,2347,2311,2310,2323
"30","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",1249,1197,1261,1237,1186,1191,1191,1219,1228,1239,1233,1237,1250,1249,1243,1256,1287,1404,1477,1414,1390,1355,1358,1380,1440,1407,1351,1412,1372,1393,1433,1432,1453,1525,1503,1501,1467,1468,1504,1494,1599,1514,1534,1531,1554,1577,1640,1589,1604,1641,1753,1679,1735,1674,1679,1716,1725,1716,1676,1700,1680,1694,1678,1694,1634,1668,1685,1674,1762,1749,1807,1797,1859,1829,1841,1869,1888,1972,1935,1953,1889,1934,1981,2052,2071,2060,2124,2081,2133,2166,2210,2213,2228,2309,2316,2461,2317,2333,2297,2317,2438,2419,2462,2433,2491,2427,2335,2370,2349,2368,2360,2295,2251,2196,2205,2265,2166,2261,2301,2266,2316,2431,2410,2463,2440,2422,2358,2487,2388,2441,2474,2553,2522,2468,2441,2477,2532,2585,2619,2608,2658,2683,2771,2785,2741,2807,2829,2751,2767,2710,2750,2694,2855,2845,2835,2789,2847,2887,2806,3016,2831,2980,2877,2911,2834,2965,2922,2965,2997,3093,3128,3003,3087,3020,3080,3046,3099,3008,3014,2860
"31","23","S1 QN452ZZZMG   General merchandise stores","T060230",21570,21909,21867,21811,21842,21860,21614,22107,22257,22372,22616,23314,22899,22842,22783,23071,23398,23471,23823,23756,23937,24156,24272,24380,24296,24685,25027,24972,24682,25049,25061,25409,25502,25872,25948,26237,26288,25744,26311,26252,26426,26823,27196,26681,27267,26661,27011,27172,26570,27238,27271,27656,27764,27877,27995,28374,28367,28585,28472,28669,28541,28773,28780,28722,28790,28902,29431,29613,29427,29727,29809,29604,30048,30487,30647,30756,30896,31120,30929,31068,31518,31762,32079,31999,32658,33174,33559,33154,33448,33725,33859,34013,34384,34319,34452,35293,34607,34892,35529,35081,35717,35746,36149,36204,36702,36646,36717,37097,37722,36894,36441,37530,37583,37572,38034,38322,38205,38772,39202,39895,39565,39840,39757,40194,39830,40355,40120,40231,40004,40974,40972,41061,41268,41767,42105,42028,42621,42871,43496,44430,44347,43815,44356,44635,45262,45261,45535,45186,45990,45347,45990,46032,46579,46565,46937,47635,47659,48036,47951,48547,48489,49429,49234,49409,49855,50468,50496,50609,51647,51697,51600,51882,51991,52154,52590,52601,53005,53017,53474,53990
"32","24","S1 QN4521ZZMG     Department stores","T060240",14610,14986,15006,14955,14979,15011,14820,15125,15236,15285,15366,15689,15648,15468,15402,15647,15863,15916,16139,16057,16168,16349,16324,16349,16420,16669,16928,16806,16576,16822,16852,17068,17058,17280,17305,17469,17501,17212,17508,17414,17473,17808,18179,17683,18126,17664,17845,17878,17492,17918,17887,18201,18173,18285,18348,18600,18661,18729,18684,18798,18583,18761,18803,18688,18716,18838,19064,19267,19083,19263,19370,19162,19145,19427,19399,19353,19477,19467,19314,19362,19530,19673,19782,19838,20077,20383,20483,20194,20253,20323,20419,20337,20591,20428,20364,20456,20625,20358,20586,20464,20811,20573,20689,20619,20896,20680,20943,21086,21417,20542,19925,20442,20509,20413,20591,20753,20407,20598,20752,20760,20604,20628,20466,20740,20234,20383,20168,20146,19849,20497,20031,20017,19997,20039,20027,20044,20380,20414,20681,20903,20846,20514,20428,20535,20555,20759,20777,20450,20604,20397,20688,20697,20972,20770,20778,21106,20862,21018,20710,20990,20700,21195,20862,20799,20721,21111,21164,20974,21362,21234,21085,21006,20996,20948,21080,20968,21092,21072,21252,21300
"33","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",6851,6789,6720,6716,6724,6707,6656,6847,6883,6953,7126,7519,7113,7258,7267,7303,7412,7431,7560,7581,7652,7685,7838,7928,7756,7895,7973,8051,7997,8116,8096,8229,8340,8489,8543,8670,8689,8429,8705,8746,8866,8919,8909,8905,9041,8906,9078,9212,8997,9238,9306,9370,9515,9512,9567,9693,9621,9775,9706,9790,9886,9938,9899,9962,10002,9989,10299,10272,10275,10396,10367,10375,10852,11008,11202,11363,11378,11618,11583,11676,11962,12063,12274,12135,12560,12771,13059,12945,13182,13392,13430,13670,13786,13887,14085,14843,13979,14536,14945,14618,14907,15174,15461,15584,15805,15964,15774,16010,16306,16349,16509,17077,17064,17146,17429,17555,17775,18148,18421,19094,18921,19167,19243,19407,19536,19906,19883,20012,20074,20402,20842,20942,21162,21607,21945,21855,22113,22324,22678,23373,23346,23143,23747,23917,24502,24311,24559,24527,25159,24731,25081,25113,25384,25558,25908,26276,26526,26744,26948,27263,27475,27921,28041,28267,28767,28995,28974,29257,29896,30061,30105,30447,30561,30761,31059,31171,31445,31474,31748,32198
"34","26","S1 QN44EZZZMG   Other retail stores","T060260",41088,40529,40122,40666,40846,40766,40823,41084,41402,41707,41745,42287,42409,42129,42035,42464,43200,43133,43306,43156,44119,43839,44305,44599,45059,44863,45643,45224,46072,46479,46546,46776,46942,47173,46972,47273,47448,47561,47442,48210,48570,48418,48934,49217,49338,49147,50147,50506,49395,50243,50801,51073,51204,51944,51856,51710,52443,52735,52968,53811,52679,53570,54322,53819,53920,55069,55235,54480,55193,54909,55618,55494,55968,56736,57283,57847,58051,58220,58902,59422,59394,59845,60529,61068,61435,62483,62829,61673,62518,62425,62302,62743,62774,63122,64511,65898,65046,65505,64757,65055,65459,64864,65467,65998,66167,66761,67027,67473,66429,66744,66678,66789,66762,66032,66779,67783,65532,67523,68172,68645,69624,69985,69500,69832,69946,69911,70742,70460,70673,70696,71009,71888,71464,70704,70023,70432,71608,72564,72947,73357,72385,72929,74604,74796,74649,74542,74137,74669,75026,74849,75503,75728,76294,75644,77416,77999,78595,78694,78646,78746,79648,81083,80949,81088,79978,80706,82398,83268,83966,84511,84421,84580,85168,85502,85357,84933,84997,86174,88019,87571
"35","27","S1 QN446ZZZMG     Health and personal care stores","T060270",9155,9117,9136,9080,9048,9034,8826,9036,9008,9083,8994,9053,9010,9149,9112,9119,9087,9153,9158,9107,9167,9157,9205,9369,9243,9107,9212,9250,9315,9333,9413,9476,9494,9505,9522,9566,9641,9603,9635,9755,9757,9790,9720,9779,9872,9872,9946,10009,9829,10018,10222,10180,10317,10321,10403,10422,10423,10582,10623,10759,10643,10817,10965,10830,10780,11061,11112,11153,11253,11225,11341,11331,11493,11523,11560,11670,11654,11744,11893,12080,12018,12065,12276,12300,12352,12416,12457,12492,12527,12631,12547,12565,12656,12774,12896,13411,12976,13022,13210,13195,13358,13361,13412,13464,13574,13674,13672,13723,13609,13724,13719,13678,13856,13734,13760,13791,13562,13950,13884,13846,14092,14205,14101,14431,14292,14210,14220,14276,14480,14357,14299,14238,14334,14365,14498,14486,14573,14710,14924,14992,14968,15068,15104,15160,14785,14616,14990,14777,14705,14876,14753,14877,14800,14801,14856,14878,15028,15082,14977,15119,15139,15063,15189,15177,15304,15282,15368,15336,15437,15474,15482,15479,15669,15766,15767,15920,15908,16180,16398,16638
"36","28","S1 QN447ZZZMG     Gasoline stations","T060280",17625,17527,17528,17632,17615,17391,17316,17576,17840,17650,17676,17872,17634,17833,17810,17914,18293,18386,18553,18416,18736,18354,18658,18535,18884,18877,19139,18903,19202,19472,19242,18993,19051,19213,19304,19323,19533,19496,19514,19801,19804,19830,20034,20021,20041,19990,20174,20155,20096,20118,20216,20097,19955,20420,20153,20159,20410,20348,20212,20254,20162,20267,20658,20466,20640,20982,21019,20502,20526,20334,20702,20585,20892,21173,21587,21976,21768,21491,21567,21823,21681,21710,22191,22536,22701,22951,22916,21671,21868,21579,21687,21699,21174,21436,22186,22170,21742,21833,20782,20881,21114,20235,20542,21073,20627,21147,21472,21417,21422,21283,20703,21461,21132,20598,21227,21687,20833,21323,22136,22650,22557,22675,22075,21639,21685,21752,22244,21820,21841,21725,21813,22420,22138,21309,20821,20998,21387,21564,21592,21055,20165,20436,21893,21935,21865,21700,21301,21604,21782,21411,21571,21439,21601,21476,22502,22657,23005,22784,22736,22173,22861,23556,23211,22979,22106,22322,23291,23635,23702,23505,23053,23109,22940,23069,22707,22355,21995,22528,23480,23141
"37","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",3982,4105,3972,4042,4032,4015,4091,4018,4084,4130,4115,4290,4296,4158,4143,4350,4336,4344,4253,4281,4301,4327,4383,4522,4479,4629,4616,4592,4655,4697,4685,4781,4846,4867,4769,4844,5009,4818,4847,4912,4914,4964,5061,5087,5053,5013,5161,5127,5207,5083,5145,5185,5029,5190,5243,5320,5249,5311,5307,5578,5346,5249,5306,5273,5355,5419,5387,5352,5411,5507,5611,5609,5531,5716,5637,5780,5776,5836,5807,5851,5886,5917,5889,6027,6049,6261,6270,6218,6298,6438,6400,6377,6532,6558,6511,6613,6416,6761,6800,6929,6972,6885,7007,6850,6954,6813,6674,6694,6711,7109,7078,6979,7006,6946,7023,7133,7001,7138,7401,7226,7309,7183,7233,7163,7232,7165,7187,7228,7311,7398,7508,7402,7374,7202,7183,7393,7376,7588,7466,7876,7707,7571,7672,7734,7843,7831,7729,7711,7735,7834,8017,8074,8119,7945,7993,7963,7943,8053,8127,8189,8248,8174,8304,8347,8210,8419,8343,8486,8827,8830,8933,9083,8970,9038,9018,9049,9244,9089,9085,9098
"38","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",2717,2780,2639,2708,2740,2691,2717,2686,2711,2735,2718,2858,2826,2735,2694,2889,2883,2894,2882,2877,2888,2869,2942,3051,3008,3122,3111,3067,3083,3093,3065,3155,3210,3223,3142,3184,3234,3155,3202,3248,3234,3247,3285,3323,3291,3310,3397,3420,3427,3370,3397,3402,3213,3398,3453,3478,3487,3479,3504,3770,3426,3451,3484,3461,3523,3573,3526,3539,3567,3617,3647,3630,3618,3746,3709,3845,3856,3890,3859,3862,3884,3938,3893,3978,4072,4177,4174,4131,4229,4308,4213,4323,4437,4383,4363,4451,4431,4575,4633,4670,4720,4694,4810,4728,4785,4631,4574,4630,4636,4831,4779,4792,4817,4782,4848,4878,4814,4962,5223,4986,4981,5032,5020,4948,5008,5020,4998,5081,5106,5242,5342,5222,5176,5056,5092,5217,5233,5270,5244,5532,5430,5364,5474,5522,5581,5541,5469,5433,5456,5547,5722,5730,5793,5672,5714,5698,5743,5805,5840,5949,5994,5978,6022,6075,5994,6162,6096,6218,6600,6621,6705,6809,6707,6776,6776,6842,7024,6889,6871,6878
"39","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",1257,1318,1333,1331,1285,1321,1374,1330,1373,1396,1398,1431,1472,1426,1455,1461,1452,1450,1366,1400,1410,1459,1437,1466,1468,1502,1500,1524,1573,1607,1624,1628,1636,1645,1629,1663,1784,1668,1647,1666,1683,1722,1784,1770,1769,1705,1767,1706,1784,1715,1750,1787,1828,1796,1793,1847,1762,1837,1805,1804,1930,1803,1826,1816,1836,1849,1866,1815,1847,1893,1971,1988,1918,1975,1931,1936,1921,1947,1949,1992,2006,1981,1999,2052,1978,2086,2098,2089,2069,2132,2190,2053,2093,2176,2149,2164,1985,2186,2167,2259,2252,2191,2197,2123,2169,2182,2100,2065,2075,2278,2298,2187,2190,2165,2175,2254,2186,2178,2182,2239,2326,2155,2215,2215,2225,2149,2191,2151,2208,2164,2175,2186,2202,2150,2100,2182,2152,2320,2227,2349,2283,2214,2209,2223,2272,2297,2268,2284,2286,2294,2306,2352,2336,2284,2290,2276,2216,2263,2301,2258,2273,2216,2300,2292,2236,2279,2267,2289,2257,2241,2260,2306,2293,2295,2275,2242,2257,2236,2249,2255
"40","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",4881,4896,4824,4895,4826,4863,4919,4982,5036,5369,5543,5606,5862,5395,5309,5466,5421,5643,5575,5574,5667,5889,5663,5899,5827,5781,6134,5926,6243,6207,6396,6520,6577,6542,6477,6540,6414,6552,6470,6710,6790,6623,6796,6823,6767,6770,6795,6881,6544,6720,6852,7181,7495,7485,7503,7366,7469,7565,7659,7594,7748,8026,7957,7754,7551,7851,7862,7999,8136,8100,8166,8228,8453,8377,8358,8244,8400,8470,8635,8764,8906,8900,8934,8995,8904,9142,9076,8979,9113,8977,8857,9055,9094,9221,9657,10008,9805,9828,9716,9663,9339,9321,9456,9319,9581,9613,9428,9276,9117,9243,9543,9173,9476,9422,9397,9351,9113,9300,9180,9207,9373,9492,9393,9528,9489,9629,9573,9732,9685,9598,9324,9615,9530,9358,9451,9411,9702,9766,9782,10045,9851,9957,9919,9973,9997,9780,9984,10152,10399,10062,10156,10191,10349,10141,10404,10525,10337,10477,10485,10597,10752,10838,10926,10847,11101,11218,11220,11086,11758,11759,11879,11953,11920,11946,11949,11956,12203,12215,12260,11951
"41","33","S3 QN4531ZZMG       Florists","T060330",531,531,489,507,509,493,514,521,560,654,737,685,710,553,555,554,535,568,565,566,554,563,563,585,584,577,585,593,609,587,587,592,574,570,572,583,554,558,586,583,593,598,593,572,547,564,563,570,616,614,605,621,601,662,613,629,639,662,661,650,632,659,658,638,652,649,661,677,688,681,682,695,669,659,653,652,675,658,695,686,729,728,712,703,763,684,712,745,689,705,724,723,741,719,737,729,767,737,698,697,716,715,734,769,745,768,761,727,729,700,723,696,699,743,700,707,675,688,681,616,704,713,705,695,689,690,668,646,674,643,627,640,630,660,631,610,625,601,628,617,606,628,624,618,587,567,559,601,583,599,584,595,605,580,575,592,583,600,629,654,632,626,627,637,628,646,706,668,689,682,630,643,643,618,592,591,600,615,596,577
"42","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",1734,1724,1750,1725,1719,1751,1819,1820,1799,1899,1926,1940,1969,1918,1939,2012,1990,2019,1995,1985,2026,2009,2048,2055,2096,2150,2261,2145,2236,2292,2305,2325,2328,2343,2291,2334,2219,2298,2164,2287,2367,2353,2389,2427,2438,2454,2474,2521,2212,2313,2266,2380,2499,2495,2654,2644,2567,2592,2697,2748,2741,2787,2837,2746,2663,2710,2692,2752,2779,2826,2759,2788,2914,2912,2997,2937,2961,3053,3096,3058,3308,3272,3240,3248,3364,3374,3438,3365,3394,3435,3306,3440,3485,3498,3658,3663,3707,3684,3769,3843,3700,3735,3768,3745,3813,3855,3792,3726,3689,3741,3818,3706,3808,3768,3768,3851,3661,3605,3684,3942,3822,3938,3872,3847,3882,3887,3908,4008,4031,4082,3900,4057,3931,3909,3944,3972,4167,4169,4192,4300,4210,4191,4218,4338,4406,4433,4384,4458,4454,4459,4501,4482,4578,4443,4495,4492,4466,4535,4621,4614,4736,4782,4822,4868,4917,4993,4923,4949,5093,5131,5146,5197,5214,5312,5443,5487,5644,5802,5758,5601
"43","35","S4 QN4533ZZMG       Used merchandise stores","T060350",434,429,459,450,457,486,447,469,494,467,482,462,477,474,450,465,482,656,541,527,480,520,494,511,515,494,558,501,473,443,440,512,549,552,517,547,535,538,521,543,587,588,596,568,551,522,560,581,549,497,609,660,783,647,609,592,614,608,616,613,726,722,659,603,606,632,662,674,718,740,744,760,757,742,751,724,735,754,791,801,800,828,830,823,784,831,807,814,832,818,794,832,802,874,852,938,878,896,899,928,914,883,991,902,870,855,891,904,859,872,921,892,891,884,896,864,936,892,898,873,1003,921,876,925,869,935,907,931,885,845,807,923,1010,899,933,890,919,905,907,949,947,975,948,897,908,908,927,954,990,996,1043,1017,1068,1025,1034,1068,1044,1046,1018,1057,1060,1104,1092,1120,1138,1174,1187,1144,1239,1247,1301,1344,1261,1280,1200,1260,1278,1263,1257,1218
"44","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",2174,2209,2108,2209,2128,2113,2117,2150,2159,2333,2380,2517,2718,2446,2354,2422,2400,2359,2456,2484,2608,2814,2550,2756,2625,2543,2711,2682,2936,2892,3085,3106,3139,3085,3115,3085,3131,3179,3238,3332,3262,3089,3232,3271,3245,3242,3204,3210,3196,3331,3409,3556,3639,3721,3649,3515,3680,3737,3707,3594,3661,3882,3822,3794,3655,3894,3879,3928,3983,3874,4014,4017,4141,4089,3970,3948,4050,4017,4065,4240,4072,4077,4162,4233,3997,4259,4122,4060,4203,4020,4040,4063,4070,4132,4413,4681,4456,4513,4349,4194,4008,3988,3963,3902,4152,4135,3984,3920,3840,3931,4083,3881,4080,4027,4035,3935,3846,4106,3919,3795,3853,3930,3947,4063,4052,4118,4094,4157,4107,4048,3999,4017,3977,3905,3962,3960,4022,4116,4084,4210,4119,4186,4155,4159,4146,3945,4165,4190,4406,4073,4099,4158,4170,4151,4346,4411,4290,4343,4276,4323,4386,4397,4454,4314,4497,4494,4477,4413,4796,4769,4873,4851,4878,4840,4837,4764,4840,4732,4828,4725
"45","37","S1 QN454ZZZMG     Nonstore retailers","T060370",6468,5967,5808,6099,6355,6438,6577,6464,6454,6442,6388,6427,6501,6562,6618,6558,6986,6608,6782,6767,7196,7011,7297,7151,7500,7346,7426,7419,7523,7653,7645,7757,7727,7809,7717,7793,7681,7896,7802,7867,8095,8024,8119,8270,8367,8277,8765,8984,8462,8971,9027,9044,9018,9156,9144,9048,9468,9487,9675,10058,9327,9722,9963,10002,10109,10273,10370,9970,10312,10171,10248,10178,10083,10412,10657,10742,10938,11078,11362,11295,11253,11567,11625,11628,11860,12103,12462,12481,12859,12897,12934,13148,13352,13186,13346,13733,14127,14076,14247,14380,14674,15064,15049,15285,15436,15509,15770,16357,15558,15377,15634,15480,15273,15343,15367,15833,15001,15789,15580,15792,16350,16492,16748,17093,17302,17210,17607,17473,17393,17702,18198,18354,18179,18646,18231,18306,18760,19155,19398,19704,20146,20334,20338,20304,20570,21132,20582,20930,20917,21260,21688,21882,22227,22032,22284,22644,22882,22976,23039,23673,23461,24270,24213,24830,24619,24861,25352,25963,25520,26531,26957,26851,27860,27829,28340,28179,28503,28808,29256,29213
"46","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",2058,2014,1932,2109,2208,2372,2496,2405,2385,2391,2388,2379,2482,2515,2518,2497,2505,2492,2543,2572,2668,2763,2916,2869,2877,2897,2964,3045,2990,2999,2991,3054,3047,3077,3120,3162,3167,3146,3184,3227,3360,3355,3464,3520,3617,3607,3753,3773,3759,3889,3869,3940,3976,4099,4168,4189,4222,4297,4446,4538,4432,4560,4828,4913,4869,5018,4955,4999,5326,5243,5207,5319,5438,5630,5675,5733,5943,5829,6084,6152,6209,6357,6455,6468,6620,6959,6996,7053,7275,7438,7480,7694,7870,7930,7979,8302,8597,8605,8961,9121,9041,9366,9430,9541,9692,9784,9992,10275,9735,9592,9909,9873,10039,10157,10119,10427,9637,10426,10360,10532,11057,11223,11168,11433,11515,11505,11825,11840,11902,12102,12456,12580,12574,12850,12843,13038,13245,13648,13886,14100,14474,14564,14538,14637,15114,15474,15584,15564,15893,15892,16107,16360,16476,16666,16878,17250,17425,17498,17614,18181,18315,18819,19135,19578,19516,19961,20408,20812,21343,21742,22076,22009,22526,22821,23314,23465,24128,24303,24633,25046
