"","Table 5#6#6BU# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"60","49","        Metal and mineral (except petroleum) wholesalers","KC42150",1019,1696,73,230,-1441,-371,-550,3410,-317,2301,-1654,1321,-5618,1352,1526
"61","50","        Electrical goods wholesalers","KC42160",459,1902,2979,3516,-4182,-976,-597,2161,1223,2218,1848,931,-4860,4229,2946
"62","51","        Hardware and plumbing and heating equipment wholesalers","KC42170",178,899,168,970,-836,-46,-30,830,347,527,305,-1536,-1926,551,1180
"63","52","        Machinery, equipment, and supplies wholesalers","KC42180",5060,6233,2068,1149,-2599,-3036,-2247,3994,3389,1938,575,1469,-8953,1153,4874
"64","53","        Miscellaneous durable goods wholesalers","KC42190",1372,2075,26,1580,-2114,-640,998,1246,935,-1723,-927,1254,-3297,389,-287
"65","54","      Nondurable goods industries","KC42WN0",8759,5409,4687,5078,6168,867,-901,1181,3357,4578,4485,-3087,-2014,8464,2515
"66","55","        Paper and paper products wholesalers","KC42210",763,26,-201,262,-671,-379,-27,493,310,-322,63,-178,-368,164,15
"67","56","        Drugs and druggists' sundries wholesalers","KC42220",1939,1262,3826,5127,7840,1502,138,-347,-2150,752,-463,-577,-700,687,885
"68","57","        Apparel, piece goods, and notions wholesalers","KC42230",1415,282,-658,116,-29,221,-978,51,619,1359,582,983,-2942,2651,1484
"69","58","        Grocery and related products wholesalers","KC42240",1068,-225,1359,-101,-1797,1437,-1302,-257,1576,1776,1078,885,-1149,1641,2176
"70","59","        Farm product raw material wholesalers","KC42250",1142,1256,1090,405,154,-1193,1734,-1498,2137,1941,1070,-2136,1872,2302,-2643
"71","60","        Chemical and allied products wholesalers","KC42260",385,664,342,-375,426,448,-404,-196,-3,-407,725,-84,-972,454,359
"72","61","        Petroleum amd petroleum products wholesalers","KC42270",122,1857,-2787,-690,3216,-1105,-679,1299,-38,-697,-152,-1229,3241,-627,311
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",410,200,322,139,-276,463,147,295,396,664,764,510,-694,682,365
"74","63","        Miscellaneous nondurable goods wholesalers","KC42290",1007,897,-353,-369,-1278,-913,-147,1850,510,-536,649,-8,-1282,511,2495
"75","64","    Nonmerchant wholesale industries","KC42N0",2994,2329,3097,4650,-5039,-718,-441,2046,3800,-1374,-1289,6230,-13863,4888,6787
"76","65","      Durable goods industries","KC42ND0",1876,1878,1668,3134,-3504,633,-95,991,2398,-1092,-252,1761,-5124,3375,4125
"77","66","      Nondurable goods industries","KC42NN0",930,42,1405,1296,-1274,-1648,-373,1066,1402,-298,-985,4361,-8547,1655,2770
"78","67","Retail trade industries","KC440",14200,15156,25833,20649,-10649,23717,17317,23671,4618,10760,4228,-26482,-45810,16247,-12820
"79","68","  Motor vehicle and parts dealers","KC4410",5144,1941,12336,11734,-8920,17173,12921,7627,-2788,-367,2839,-12169,-32252,9494,-14853
"80","69","  Furniture, furnishings, electronics, and appliance stores","KC44230",549,1073,1491,1742,-316,1760,1823,3264,1258,1086,1248,-3639,-1585,2125,-1074
"81","70","  Building material and garden equipment and supplies dealers","KC4440",1468,2190,2204,1292,17,1643,1122,2412,2258,-26,-711,-3319,-2295,264,-716
"82","71","  Food and beverage stores","KC4450",403,1102,1762,-638,453,173,-1279,406,-104,910,1012,-355,-260,-144,738
"83","72","  Clothing and clothing accessories stores","KC4480",957,1344,1483,3063,-1153,1850,501,2442,1470,3321,-1059,-2228,-4314,439,-638
"84","73","  General merchandise stores","KC4520",151,381,2812,1078,162,1466,1011,4525,2210,1639,-197,-3113,-2582,3324,1631
"85","74","    Department stores","KC45210",247,-990,650,-644,-1924,-1528,-1662,717,49,-182,-418,-3184,-2655,73,-497
"86","75","    Other general merchandise stores","KC45290",-106,1439,2208,1767,2143,3057,2712,3819,2161,1816,215,7,2,3163,2049
"87","76","  Other retail stores","KC44X0",5671,7565,3282,1551,-361,-1254,837,2874,314,4103,1263,-2148,-3906,1419,946
"88","77","Other industries","KCOTH0",5654,5792,7540,12739,-227,-1036,1593,6328,2295,4648,4306,1564,-4784,708,1975
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
