"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","      Garments","DGARRC1",7.1,6.1,5.3,3.7,3.5,4.3,4.6,5,5.1,5.1,5.5,5.7,6.6,7.9,9.6,10.7,12,13.8,14.3,15.4,14.7,14.8,16.1,17,17.2,17.3,18,18.8,18.9,19,20.2,20.6,21.2,22.2,22.9,25,26.4,28.8,30.2,33.1,35.5,36.6,39.6,43.2,47.8,50.8,54.9,59.2,65.1,73.1,78.2,83.3,91.4,94.9,103.3,113.1,121,129.5,138.2,146.9,156.2,160,164,174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230,227.2,228,235,246.4,259,270.5,280.5,276.5
"17","10","        Women's and girls' clothing","DWGCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,12.7,13.1,13.8,14.3,15.6,16.3,17.7,18.3,20.1,21.3,21.9,24,25.8,28.3,29.9,32.2,34.5,37.5,42.5,45.5,48.5,53.3,55.3,60.7,67,72.2,77.9,83.1,87.6,92.7,94.5,96.5,103.2,106.4,108.4,108.9,111.4,113.9,119,126.5,132.7,132.1,133.3,137.4,144.5,151.9,158.9,165.2,162.2
"18","11","        Men's and boys' clothing","DMBCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,7.6,7.8,8.1,8.2,9,9.6,10.6,11.4,12.4,13.4,13.7,14.7,16.3,18.2,19.3,20.9,22.5,25.1,27.6,29.2,30.9,33.5,34.5,37.1,40.2,42.5,44.9,48,51.7,55.6,57.4,59.4,63,66.1,70.1,72.2,75.8,80,82.2,84.6,85.9,83.2,82.4,85.1,89.1,93.6,97.4,100.6,99.5
"19","12","        Children's and infants' clothing","DCICRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.8,1,0.9,1.1,1.3,1.7,1.9,2.2,2.5,3,3.4,3.9,4.6,5.1,5.5,6,6.3,6.7,7,7.6,8,8.1,8.1,8.2,8.4,8.8,9,9.1,9.4,10,10.8,11.4,11.9,12.3,12.4,12.9,13.5,14.1,14.6,14.8
"20","13","      Other clothing materials","DOCMRC1",0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,1,1.4,1.5,1.6,0.9,0.8,0.8,0.8,0.8,1,0.9,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.9,1,1,1.1,1.1,1.1,1.3,1.5,1.6,1.7,1.6,1.9,2,2.1,2.1,2.4,2.4,2.6,2.7,2.9,3,3.2,3.5,3.7,3.8,3.8,3.8,3.9,3.9,3.8,3.6,3.7,3.5,3.7,4,4.4,4.6,5,5.3,5.4,5.6,5.9,6.1,6.2
"21","14","      Cleaning, repair, and rental of clothing","DCRCRC1",1,0.9,0.8,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,1,1.1,1.4,1.5,1.6,2,2.2,2.3,2.3,2.3,2.5,2.6,2.7,2.7,2.8,2.9,3,2.9,3,3.1,3.1,3.1,3.2,3.4,3.6,3.7,3.9,4.1,4.2,4.2,4,4.1,4.1,4.1,4.2,4.3,4.6,4.9,5.2,5.4,5.5,5.5,6,6.6,7,7.5,8.2,9.4,10.4,11.1,10.7,11.2,11.3,11.7,12.4,12.7,14.1,14.7,15.5,16,16,15.9,15.3,15.4,15.8,16.6,17.3,17.5
"22","15","        Laundry and dry cleaning services","DDRYRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,1.7,1.7,1.7,1.9,2.1,2.3,2.4,2.5,2.6,2.5,2.4,2.4,2.1,2.1,2.1,2.1,2.3,2.5,2.7,2.9,2.8,2.7,2.9,3.1,3.1,3.2,3.6,4,4.2,4.1,4.4,5.5,5.6,5.9,6.3,6.5,7.2,7.6,8.1,8.3,8.3,8.2,7.8,8.1,8.4,9,9.4,9.4
"23","16","        Clothing repair, rental, and alterations","DLGRRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.6,1.7,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.9,3.1,3.5,3.9,4.3,4.6,5.5,6.2,7,6.3,5.7,5.7,5.8,6.1,6.2,6.8,7.1,7.4,7.7,7.7,7.6,7.5,7.2,7.4,7.6,8,8.1
"24","17","    Footwear \2\","DFTWRC1",1.8,1.4,1.3,1.1,0.9,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.5,1.9,2,2.1,2.4,2.9,3.1,3.3,3.3,3.5,3.5,3.5,3.5,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,5,5.1,5.4,5.7,6.3,6.6,7.3,8.1,8.1,8.4,9.2,10.2,10.2,10.7,11.4,12.6,14.5,16.4,17.8,19.8,19.6,20.8,22,23.4,24.9,26.5,28.2,30.9,32.1,32,33.5,34.8,36.9,38.1,40,41.2,43.4,45.7,46.9,46.6,46.3,47.3,48.7,51.5,54.3,55.2,55.4
"25","18","  Housing, utilities, and fuels","DHUFRC1",14.5,14,13.1,11.6,10.5,10.4,10.5,11,11.6,11.9,12.3,12.8,13.7,14.8,15.5,16.2,16.9,18.8,21.2,23.9,25.6,28.4,31.6,34.6,37.9,40.9,43.8,46.8,50,53.3,56.9,60.5,64,68.2,72.2,76.2,81,85.9,91.1,97.4,105.5,113.8,124.5,136.2,149.7,166.3,184.8,204.6,228.7,255.6,287.5,327,367.5,401.2,434.5,471.9,514,546.8,582.8,625.9,667.3,709.1,747.8,783.3,826.9,879.2,926.8,975.5,1023.1,1076.8,1137.4,1214.5,1303.2,1349.1,1410.6,1480.6,1603.9,1708.2,1787.2,1870.3
"26","19","    Housing","DHSGRC1",11.4,11,10.2,9,7.9,7.6,7.7,8,8.5,8.9,9.1,9.4,10.2,10.9,11.4,12,12.4,13.7,15.4,17.3,19.1,21.1,23.7,26.3,29.1,31.5,33.6,35.8,38.3,41,44,47,50,53.4,56.5,59.8,63.6,67.5,71.9,77.3,84.2,91,99.7,108.7,119,130,142.4,156,173.4,194.5,218,245.9,277.8,302.5,327.2,358.4,394.7,429.2,461.8,497.3,531.5,570.4,601.8,634.5,665.9,712.6,756.2,794.2,839.3,893.9,950.5,1010.5,1085.8,1134.5,1176.1,1233.9,1328.9,1416.3,1480,1543.1
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.3,126.8,133.8,140.1,150.7,157.6,163.9,168.8,176.7,186.2,191.2,199.4,209,218.7,227.9,241.9,249.2,247.1,253.7,264.7,283.4,311.9,330.3
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRC1",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.2,236,258.1,280.8,304.5,329.4,357.6,384.9,412.8,436.7,462.8,488.5,526.2,559.8,592.5,629.5,674.1,720.3,768.9,829.8,870.9,913.8,962.5,1044.5,1111,1143.5,1186.8
"29","22","      Rental value of farm dwellings","DFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,20.9,23.6,24.9
"30","23","      Group housing","DGRHRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1
"31","24","    Household utilities and fuels","DUTFRC1",3.1,3.1,2.9,2.6,2.6,2.7,2.8,3,3,3,3.1,3.4,3.6,3.9,4.1,4.2,4.5,5,5.8,6.6,6.5,7.3,7.9,8.3,8.7,9.4,10.2,11,11.6,12.3,12.9,13.5,14.1,14.8,15.7,16.5,17.4,18.3,19.3,20.1,21.3,22.7,24.8,27.4,30.7,36.3,42.4,48.6,55.3,61.1,69.5,81.1,89.6,98.7,107.4,113.5,119.3,117.6,121.1,128.6,135.9,138.7,146,148.8,160.9,166.6,170.6,181.3,183.9,182.9,186.9,204,217.5,214.5,234.5,246.7,275,292,307.2,327.2
"32","25","      Water supply and sanitation","DWRSRC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.7,50.4,52.4,54.6,57.3,60.2,63.6,68.8,72.9,77.1
"33","26","      Electricity, gas, and other fuels","DEGFRC1",2.8,2.8,2.5,2.3,2.3,2.4,2.5,2.7,2.7,2.6,2.8,3,3.2,3.5,3.7,3.8,4.1,4.6,5.3,6.1,6,6.7,7.2,7.6,8,8.5,9.3,10,10.6,11.2,11.7,12.2,12.6,13.2,13.9,14.5,15.3,16.2,17,17.7,18.5,19.6,21.2,23.4,26.3,31.3,37,42.6,48.7,53.6,61.1,71.7,79.2,87.1,94.3,98.5,102.3,98.5,100,105.7,110.6,111.5,117.2,118.5,127.4,129.9,131.3,139.2,139.8,136.7,138.2,153.5,165.1,159.9,177.2,186.5,211.4,223.1,234.3,250.2
"34","27","        Electricity","DELCRC1",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6,6.3,6.6,7,7.5,8.1,8.8,9.6,10.6,11.8,13.3,16.1,19.4,21.6,25.2,28,30.7,37.2,42.5,47,51.6,55.3,59.3,60.6,63.3,66.8,69.7,71.8,76.6,76.8,82.7,84.5,87.6,90.5,90.7,93.4,93.6,98.4,103.4,107.1,111.5,115.9,128.7,140.9,148.7,157
"35","28","        Natural gas","DGHERC1",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6,1.8,2.1,2.3,2.4,2.7,3,3.3,3.5,3.8,4,4.2,4.3,4.5,4.7,4.9,5.2,5.6,6.1,6.6,6.8,7.5,9.3,11,12.6,14.2,16.2,19.3,21.2,25.8,29.3,29.6,29.8,26.8,25.7,27.4,29.2,27,28.3,29.6,32.3,32.6,30.7,34.5,35.9,31.7,32.2,39.3,46.2,38.5,48.9,52.3,61.6,59.9,61.5,66.5
"36","29","        Fuel oil and other fuels","DFULRC1",1.6,1.5,1.3,1.1,1.1,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.8,2,2,2.2,2.5,2.9,3.4,3,3.3,3.5,3.4,3.4,3.5,3.7,3.9,4,4.1,4,3.8,3.7,3.7,4,4.1,4.4,4.6,4.8,4.7,4.5,4.4,4.5,5,6.2,7.7,8.3,10,10.9,11.4,14.1,15.2,15.5,14.2,13.4,13.6,13.3,11.1,11,11.5,11.7,12.8,12.3,12.1,12.4,12.7,13,14.3,13.2,11.6,12.4,15.9,15.5,14.3,16.8,18.4,21,22.3,24.1,26.6
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRC1",6.7,5.5,4.7,3.4,3.2,3.7,4.1,5,5.5,4.9,5.5,6,7.1,7.4,7.4,8,8.9,12.7,15.5,16.8,16.3,18.7,19.7,19.3,20,19.9,22.3,23.6,23.9,24.1,25.6,26.2,26.8,28.3,29.8,32.7,34.7,37.8,39.7,43.2,45.4,46.6,48.8,53.5,59.9,64.6,67.8,75,84,93.6,104.3,110.7,118.3,121,132.3,147.1,156,168.7,176.9,186.6,197.5,200.6,199.1,209.4,221.9,238.6,251.7,263.7,277.3,296.8,319.7,342.5,351.1,363.5,376.5,400.4,423.9,445.4,456.2,449.9
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRC1",2.1,1.7,1.4,1,0.9,1,1.2,1.5,1.7,1.5,1.7,1.9,2.3,2.3,2.4,2.5,2.8,4,4.5,4.9,4.8,5.5,5.9,6,6.3,6.3,7.2,7.6,7.7,7.7,8.2,8.2,8.3,8.9,9.7,10.9,11.6,12.5,13,14.3,15,15.1,15.9,18.1,20.5,22.1,22.6,24.8,28.3,31.1,34.5,35.3,36.6,35.9,40.6,46,49.2,54.4,59,62.1,66.1,65.3,63.8,66,69.8,75.1,78.8,83.3,88.4,95.4,104.7,114.4,117.1,122.2,125.8,134.9,143,149.7,150.8,143.4
"39","32","    Household textiles","DTEXRC1",0.7,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.5,2,2.1,2.3,2.3,2.7,2.9,2.7,2.6,2.4,2.6,2.7,2.7,2.6,2.8,2.8,3,3.2,3.3,3.6,3.9,4.3,4.5,4.8,4.7,4.7,4.7,4.9,5.4,5.8,6,6.5,7.2,7.9,8.7,9.4,10.4,10.8,12.4,14.3,15.6,17.7,19.2,20.1,20.4,20.4,20.5,22,23.4,25.6,27.1,28.9,30.1,31,33,34.2,34,35,36.2,38.2,40.2,42.1,43,42.2
"40","33","    Household appliances \6\","DHAPRC1",0.7,0.6,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.7,0.7,0.8,1.1,0.8,0.3,0.2,0.4,1.7,2.9,3.2,2.9,3.7,3.6,3.6,3.8,3.8,4.2,4.5,4.5,4.3,4.7,4.6,4.6,4.6,4.8,5.2,5.2,5.7,6,6.7,7.3,7.7,8.3,9.3,10.2,10.7,11,12,13.3,14.3,15.7,16.1,16.6,16.1,17.8,19.4,20.9,22.3,22.8,23.8,25,24.8,24.4,25.5,26.7,27.7,29,29.6,29.8,32,35.1,37.6,39.3,41.2,42.4,45,47.6,50,51,50.4
"41","34","    Glassware, tableware, and household utensils \7\","DUTERC1",0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.8,1.3,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.9,2,2.2,2.4,2.8,3,3.3,3.5,3.6,3.7,4.1,4.7,5.2,5.7,6.5,7.3,8.6,9.5,10.6,11.8,12.8,13.4,14.1,14.4,15.1,15.1,16.3,17.5,18.4,18.5,20.1,21.1,22.8,23.7,24.8,25.7,28.3,31.9,35.3,37.1,40,41.4,43.4,45.4,47.8,49.1,48.2
"42","35","    Tools and equipment for house and garden","DTOORC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.7,4.2,4.9,5.3,5.7,6,6.5,7,7.3,7.7,8.1,8.7,9.2,9.7,9.9,10.7,11.5,12.5,13,13.6,14.5,15.4,16.4,17.1,17.6,18.1,19.1,20.8,22.3,23.4,23.5,23.2
