"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"11","3","Mining, utilities, and construction","N238RX1",NA,NA,NA,47.6,47.7,49.1,50.3,50.1,52.5,54.7,56.4,59.1,59.1,59.2,58.3,57.1,57.9,57,56.7,54.3,57.2,60.8,62.6,65.1,65,63.9,62.1,61,63.1,63.9,65.7,68.2,67.5,67.7,69,69.6,70.5,72.9,72.5,73.4,75.8,81,85.9,90.3,92,93.4,91.7,89.9,90.5,91.1,90.3,87.5,89.2,91.1,92.1,88.9,87.1
"12","4","Manufacturing","N376RX1",NA,NA,NA,465.7,470,476.6,482.6,490,499.1,503.5,505.4,507.6,511.3,512.8,517.1,523.8,522.9,527,528.7,531.9,526.4,521.2,514.5,505.7,498.3,497.2,499,500.5,500.7,498,492.8,492,491.5,493.3,494.1,498,508.5,509,512,519,523.7,529.5,534.3,536,535.2,537.2,539.1,541,548.6,542.8,535.1,537.1,529.9,520,506.2,504.6,508.3
"13","5","  Durable goods industries","N377RX1",NA,NA,NA,268.7,271.1,275.4,279.4,284.1,292,296.5,299.1,301.5,303.2,302.2,305.1,308.6,308.2,311,312.2,315.7,312,308.6,302.6,294.9,290.6,288.8,288,289.1,289.7,287,282.7,283.8,283,284.6,285.4,287.8,294.8,296.2,299.5,304.4,306.4,309.4,313.5,316,315.6,313.5,313.2,316.2,319.2,318.1,319.8,327.7,321.9,314.2,302.1,298.6,300.1
"14","6","  Nondurable goods industries","N378RX1",NA,NA,NA,197.4,199.4,201.6,203.4,206.2,206.8,206.3,205.5,205.2,207.1,209.9,211.2,214.5,214,215.3,215.8,215.2,213.6,211.7,211.3,210.5,207.4,208.3,211,211.3,211,211.1,210.2,208.3,208.6,208.7,208.7,210.2,213.7,212.8,212.4,214.6,217.3,220.1,220.8,220,219.5,223.5,225.5,224.5,228.9,224.5,215.8,210.3,208.9,206.6,204.7,206.6,208.7
"15","7","Wholesale trade","N379RX1",NA,NA,NA,298,303.4,312.3,316.8,324.9,333.3,336.9,344.5,348.6,354.7,356.9,362.8,369.7,374.2,380.8,384.6,390.4,388.8,387.1,380.8,376.8,374.7,375.9,377.1,376.7,375.1,373.3,372.7,376.3,379.9,384,391.2,396.8,405.7,408.8,409.4,415,419.5,424.5,428.7,428.3,429,429.5,432.3,434.7,433.2,432.8,433.8,429.6,419,400.8,384.1,382.9,385.8
"16","8","  Durable goods industries","N380RX1",NA,NA,NA,170.1,173.8,180.2,182.3,186.9,193.2,195.4,201,204.1,208.1,211,213.7,218.7,221.7,227.3,229.6,232.8,231.1,225.6,219.9,215.1,213.3,214.2,216.7,215.5,216.4,215.6,213.6,216.3,220.1,224.4,231.2,234.4,240.1,243,243.3,247.8,249.3,253.3,257.5,256.9,259.7,257.5,256.2,258.8,261.3,260.9,266,265.6,252.3,238.6,227.6,222.4,224.3
"17","9","  Nondurable goods industries","N381RX1",NA,NA,NA,129,130.4,132.7,135.2,138.8,140.4,141.9,143.6,144.4,146.4,145.3,148.6,150.4,151.9,152.6,154.2,156.8,157,161.2,160.8,162,161.8,162,160.5,161.4,158.8,157.8,159.3,160.2,160,159.7,159.9,162.4,165.6,165.8,166,167.1,170.2,171.2,171.2,171.4,169.4,171.9,175.8,175.7,172.2,172.1,168.6,165,167.1,162.4,156.7,160.2,161.2
"18","10","Retail trade","N382RX1",NA,NA,NA,335.3,336.6,342.4,346.5,349.5,357,357.4,359.5,364.7,374.7,378.2,380.2,390.5,392.5,401.8,407.2,411.1,405.3,407.3,410.3,400.5,405.4,411.8,416,424.2,430.5,432.6,436.9,441.5,449.5,456.8,459.9,465.2,468.9,466.1,464.7,469.8,472.7,474.8,478.3,480.6,479.7,481.9,486.9,486.4,482.1,478.6,480,474.6,462.8,450,445.7,449,452.6
"19","11","  Motor vehicle and parts dealers","N864RX1",NA,NA,NA,98.8,98.9,100.6,102,103.9,106.6,104.9,103.8,105.9,112.2,112.2,112.6,118.2,118.6,124.6,128.5,129.9,123.4,126,128.3,121,125.9,130.5,131.1,138.2,142.5,145.4,147.3,151.1,154.8,158.3,158.8,158.8,159.6,154.8,152.9,156,156.3,156.3,156.6,155.6,153.8,154.7,160.6,158.6,159,157.6,159,158.1,149.2,141,142.2,147.7,152.5
"20","12","  Food and beverage stores","N239RX1",NA,NA,NA,32.3,32.4,32.5,32.9,32.7,33,33.5,33.4,33.8,34.3,34.7,35.3,35.5,35.5,35,35.1,34.9,35.1,35.3,35.3,35.4,35.3,35.3,35.8,35.5,35.3,34.5,34.9,34.2,34.3,34.6,34.7,34.7,34.7,34.8,34.3,34.5,35,35.3,35.4,35.5,35.3,35.6,36.1,36.3,36.3,36.7,36.7,36.6,37.1,37.1,37.1,36.5,36.9
"21","13","  General merchandise stores","N240RX1",NA,NA,NA,61.6,61.5,62.3,62,61.7,61.7,61.7,62.3,62.1,62.9,63.5,64,64.9,65,65.7,65.5,66,67.3,67.5,67.5,66.2,65.7,65.6,66.6,67.6,67.8,68,68.5,68.7,70.2,71,71.3,73.2,74.6,74.6,75.2,75.4,74.8,74.5,76.1,77,77.2,77.2,76.5,76.7,75.2,75,74.6,73.6,72.7,72,71,71,69.7
"22","14","  Other retail stores","N865RX1",NA,NA,NA,143.9,145.1,148.1,150.7,152.2,156.8,158.5,161.3,164.1,166.3,168.9,169.4,172.8,174.3,177.2,178.6,180.7,180.2,179.1,179.7,178.9,179.1,180.8,183.1,183.1,185.1,184.6,186.2,187.5,190.1,193,195.2,198.6,200,201.9,202.3,203.9,206.6,208.7,210.1,212.4,213.4,214.2,213.6,214.8,211.6,209.4,209.7,206.5,203.4,199.1,194.8,193.6,193.7
"23","15","Other industries","N385RX1",NA,NA,NA,87.6,89.8,91,91.9,93.2,94,95.4,96.7,99,100.9,103.3,105.2,106.6,109.3,112.8,117.7,119.3,119.8,119.6,119.5,119.1,118.3,118.7,118.4,118,117.9,118.9,119.2,119.6,121.2,122.7,124.4,126,126.6,127.2,127.3,128.3,129,130.7,131.9,132.9,134.2,135.2,135.5,136.4,137.1,137.2,137.6,138.9,138.1,136.6,135.6,134.8,135.8
"24","16","Residual","N968RX1",NA,NA,NA,-8.9,-8.5,-8,-8.3,-8,-7.5,-7.7,-7.6,-7.4,-5.9,-5.6,-5,-3.3,-2.7,-1.3,-0.5,0.3,-0.9,-1.4,-1.9,-4.1,-3.3,-2.3,-1.8,-0.8,-0.8,-0.5,-0.7,-0.8,-0.4,-0.1,0,-0.2,0,0,0.1,0,0.2,0.6,0.5,0.5,0.5,0.8,1,0.9,0.7,0.5,-1.1,-1.7,-0.3,0.2,-0.3,-0.1,-0.4
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Private inventories","A371RX1",NA,NA,NA,1383.4,1394.2,1420.2,1439,1460.8,1490.1,1500.9,1516,1532.4,1554.7,1565,1576.1,1600.9,1605.6,1630.9,1646.6,1661.1,1652.4,1649.8,1642.1,1619.4,1615.6,1619,1623.9,1632.1,1640,1639.2,1639.9,1649.5,1662.6,1682.2,1697.9,1715.8,1738.7,1742.6,1745.5,1765.8,1782.2,1800.4,1817.2,1825.2,1828.8,1834.6,1842.1,1844.7,1844.8,1835.5,1828.1,1818.8,1790.3,1750.2,1715.4,1710.5,1719
"27","18","    Durable goods industries","N241RX1",NA,NA,NA,593.6,600.5,613.8,622.1,633.9,651.9,657.7,665.8,674.5,688.4,691.2,698,714,718.4,734,742.6,751.6,739.9,733.8,725.2,705.2,706.3,710.8,714.2,723.3,730.6,731,728.1,736.8,745.7,757.7,767,774.9,790.3,792.5,795.5,810.2,815.3,823.5,834.1,835.4,838.2,836.1,838.8,843,846.8,841.9,850.1,852.4,823.6,793.1,769.8,764.4,771.7
"28","19","    Nondurable goods industries","N242RX1",NA,NA,NA,793.5,797.1,809.4,820,829.7,840.1,845,851.8,859.2,867,874.7,878.8,886.9,886.8,896,903,908.3,911.9,915.8,917.2,915.6,910.4,909,910.4,909.2,909.5,908.2,912,912.8,917,924.6,931,940.9,948.2,950,949.9,955.6,966.9,976.8,983.1,989.7,990.5,998.2,1003,1001.5,998.1,993.5,979.1,967.8,967.4,957.2,945.3,945.6,947.1
"29","20","  Nonfarm industries","A373RX1",NA,NA,NA,1230.9,1244.2,1268.1,1284.5,1304.4,1332.1,1343.5,1357.9,1373.9,1396.4,1406.2,1419.6,1444.7,1453.8,1477.3,1493.3,1505.9,1495.9,1494.1,1485.8,1464.4,1459.5,1465.9,1471.6,1480,1486.9,1486.3,1486.9,1497.2,1509.6,1524.6,1538.6,1555.6,1580.2,1584,1585.8,1605.4,1621,1641.1,1659.5,1668.6,1670.7,1677.7,1685.8,1689,1692.6,1683.6,1677.5,1668.6,1639.8,1599.1,1563.7,1560.3,1569.7
"30","21","  Wholesale trade","N379RX1",NA,NA,NA,298,303.4,312.3,316.8,324.9,333.3,336.9,344.5,348.6,354.7,356.9,362.8,369.7,374.2,380.8,384.6,390.4,388.8,387.1,380.8,376.8,374.7,375.9,377.1,376.7,375.1,373.3,372.7,376.3,379.9,384,391.2,396.8,405.7,408.8,409.4,415,419.5,424.5,428.7,428.3,429,429.5,432.3,434.7,433.2,432.8,433.8,429.6,419,400.8,384.1,382.9,385.8
"31","22","    Merchant wholesale trade","N802RX1",NA,NA,NA,252.1,257.1,265.2,269.3,276,283.3,286.8,293.9,297.3,302.8,304,308.9,315.3,318.8,324,326.5,331.4,330.6,329.9,325.8,322.6,321.7,322.2,323.2,323.2,322.3,320.7,320.2,323.3,326.6,329.9,336,341.7,348.3,351.4,352.1,356,360.1,366,369.7,370.8,371.4,372.1,375.2,378.2,376.5,377.2,381.1,379.4,371.2,355.4,340.8,340.4,341.8
"32","23","      Durable goods industries","N803RX1",NA,NA,NA,147.6,151.1,157.1,159,162.5,168.1,170.3,175.3,177.9,181.6,183.8,186.3,190.9,193.1,198,199.3,201.7,200.8,195.8,191.6,187.6,186.2,186.7,188.6,187.4,188.6,188,186.4,188.3,191.9,196.1,201.9,205.4,209.6,212.7,212.9,216.4,218.5,223.2,226.2,226.6,227.9,226.4,225.3,227.4,230.3,231.2,236.9,236.9,225.6,213.6,203.9,199.2,200.1
"33","24","      Nondurable goods industries","N804RX1",NA,NA,NA,105.1,106.4,108.3,110.6,113.8,115.3,116.6,118.5,119.2,120.9,119.7,122.3,123.9,125.2,125.3,126.4,129,129.2,133.8,134,135.2,135.7,135.7,134.7,136,133.7,132.7,133.9,135.1,134.8,133.9,134.1,136.3,138.7,138.7,139.2,139.7,141.6,142.8,143.5,144.2,143.6,145.7,149.6,150.5,146.3,146.2,144.9,143.3,145.7,141.7,136.7,140.6,141
"34","25","    Nonmerchant wholesale trade","N805RX1",NA,NA,NA,46.2,46.5,47.4,47.7,49.2,50.3,50.3,50.8,51.5,52.1,53.1,54.1,54.6,55.6,57.1,58.4,59.3,58.5,57.4,55.1,54.2,53.1,53.7,53.9,53.5,52.8,52.6,52.5,53.1,53.3,54.1,55.3,55.1,57.4,57.4,57.3,58.9,59.4,58.6,59,57.6,57.6,57.4,57.2,56.5,56.8,55.6,52.7,50.1,47.7,45.3,43.2,42.4,44
"35","26","    Final sales of domestic business \2\","A809RX1",NA,NA,NA,529.2,533.7,537.4,548.5,551.4,555.7,566.2,573.6,586.2,590.6,599.7,607.9,616.4,625.3,632.2,635.3,638.7,640.5,641.7,638.9,645.1,644.6,645.3,647.8,645.5,648.9,656.3,671.8,676.7,681,684.7,691.2,698.6,704.8,714.2,719.4,719.8,732.7,736.1,735.9,746.3,751.2,757.1,764,770.4,766.5,772.4,760.7,746,734.7,734.3,737.2,741.1,744.4
"36","27","    Final sales of goods and structures of domestic business \2\","A810RX1",NA,NA,NA,288,291.5,293.5,301.6,302.9,304.9,311.6,317.2,326.2,327.8,333.6,338.1,342.7,347.9,351.1,353.2,354.6,355.3,356.2,353.3,358.3,355.1,353.6,355.1,351.8,354.8,359.8,372.5,375.1,375.4,377.5,382.4,385.4,389.9,397.6,400.9,399.2,409.1,409.1,406.4,411.3,411.7,415.9,420,424.5,420.4,425.5,417.5,402.3,391.9,391.1,393.4,396.2,397.7
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","  Private inventories to final sales","A811RX2",NA,NA,NA,2.61,2.61,2.64,2.62,2.65,2.68,2.65,2.64,2.61,2.63,2.61,2.59,2.6,2.57,2.58,2.59,2.6,2.58,2.57,2.57,2.51,2.51,2.51,2.51,2.53,2.53,2.5,2.44,2.44,2.44,2.46,2.46,2.46,2.47,2.44,2.43,2.45,2.43,2.45,2.47,2.45,2.43,2.42,2.41,2.39,2.41,2.38,2.4,2.44,2.44,2.38,2.33,2.31,2.31
"39","29","  Nonfarm inventories to final sales","A812RX2",NA,NA,NA,2.33,2.33,2.36,2.34,2.37,2.4,2.37,2.37,2.34,2.36,2.34,2.34,2.34,2.33,2.34,2.35,2.36,2.34,2.33,2.33,2.27,2.26,2.27,2.27,2.29,2.29,2.26,2.21,2.21,2.22,2.23,2.23,2.23,2.24,2.22,2.2,2.23,2.21,2.23,2.26,2.24,2.22,2.22,2.21,2.19,2.21,2.18,2.21,2.24,2.23,2.18,2.12,2.11,2.11
"40","30","  Nonfarm inventories to final sales of goods and structures","A813RX2",NA,NA,NA,4.27,4.27,4.32,4.26,4.31,4.37,4.31,4.28,4.21,4.26,4.22,4.2,4.22,4.18,4.21,4.23,4.25,4.21,4.19,4.21,4.09,4.11,4.15,4.14,4.21,4.19,4.13,3.99,3.99,4.02,4.04,4.02,4.04,4.05,3.98,3.96,4.02,3.96,4.01,4.08,4.06,4.06,4.03,4.01,3.98,4.03,3.96,4.02,4.15,4.18,4.09,3.97,3.94,3.95
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change in inventories for 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","equals the current-dollar change in inventories for 2005 and that the average of the 2004 and 2005 end-of-year chain-weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
