"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"17","9","    Current expenditures","A1670C1",0,0,0,0,0,0,0,0.1,0.2,0.7,0.8,0.9,0.8,0.8,0.7,0.7,1.4,3.7,2.7,2.6,3.9,6.2,4.5,4.8,5.6,7.5,8.2,9,11.1,14.8,15.2,16.7,20,20.3,21.4,21.7,23.6,26.1,31.8,36.8,40.1,48.2,56.8,62.5,72.7,85.5,109.1,120.4,129.6,138.3,155,185.3,214.1,247.1,266.9,272.5,288.7,306,318.1,336.1,363.3,394.5,435.3,482.1,508.5,529.1,559.6,589.2,613.2,625,640.2,672.9,733.2,795.9,832.2,867.1,919.4,1018.6,1082.6,1169.5
"18","10","Administrative expenses (consumption expenditures)","L313091",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.5,0.5,0.4,0.6,0.6,0.6,0.8,0.7,0.8,0.8,0.9,1,0.9,1.1,1.5,1.8,1.9,2.3,2.2,2.8,3.2,3.6,3.8,4.1,4.2,4.8,5.2,5.7,6.1,6.3,6.5,6.5,6.6,7.3,7.2,7.4,8.3,9,9.7,8.8,9.5,9.6,9.1,9.7,9.8,10.1,10.7,12,12.4,13.2,14.4,14.7,14.6,15.5
"19","11","Government social benefits","W026RC1",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,16.1,19.2,19.6,20.6,20.9,22.7,25.1,30.9,35.7,38.6,46.4,54.8,60.1,70.5,82.8,105.9,116.8,125.9,134.2,150.8,180.5,208.9,241.5,260.8,266.2,282.2,299.4,311.5,328.9,356,387.1,426.9,473,498.8,520.3,550.1,579.5,604,615.4,630.4,662.9,722.5,783.9,819.7,854,905,1003.9,1068,1154
"20","12","  To persons","A1588C1",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,15.9,19,19.3,20.3,20.6,22.3,24.7,30.3,35.1,38,45.7,54,59.2,69.4,81.6,104.5,114.9,124.1,132.3,148.7,178.1,206,238.5,257.7,263,278.6,295.6,307.8,324.9,351.7,382.3,421.4,467.5,493.2,514.1,544,572.8,597,607.9,622.9,654.9,713.7,774.8,810.2,843.9,894.4,992.1,1055.4,1140.7
"21","13","  To the rest of the world","W872RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.8,1.8,1.9,2.1,2.4,2.9,3,3.1,3.2,3.5,3.8,3.7,4,4.3,4.7,5.5,5.5,5.6,6.2,6.2,6.8,7,7.4,7.5,8,8.9,9,9.5,10.1,10.6,11.8,12.6,13.3
"22","14","    Net saving","B243RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.2,3.2,2.4,1.5,-0.3,2.6,2.7,2.1,1.2,1.5,1.7,1.1,-2.7,-0.7,0.4,-2.3,-0.6,0.8,1.3,0.4,6,4.1,3.2,5.7,1,-3,-0.6,5.9,3.2,-16.3,-16,-14.1,-4.7,0,-15.8,-14.3,-34.4,-37.9,-9.4,0.9,5.7,14.5,39.1,42.6,42.4,24.7,5.4,2.8,15.4,15.6,12.9,28.9,58.3,92.5,114.3,88.1,49.7,37.6,50.3,49,12.4,-4.6,-55.2
"23",NA,"          State and local"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","    Current receipts","A743RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.5,3.2,3.9,4.6,4.4,4.8,5.3,5.6,6.3,6.7,7.9,9.2,10.5,11.2,12.4,14.3,16.2,17.3,17.6,17.1,16.2,14.5,14.9,15.1,16.1,18.3,19.8,23.9,28.2,29.2,26.6,24.8,26.1
"25","16","Contributions for government social insurance","B104RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.4,9.8,10.8,13.7,15.9,20.1,24.1,24.8,21.8,19.8,21.1
"26","17","  Employee and self-employed contributions","B738RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.5,0.7,0.9,1,1.3,1.1,1.6,2,2.2,1.9,2,2.4,2.8,3,3.1,2.6,2.2,1.6,1.8,1.8,2.6,3.6,3.6,3.9,4.6,5.5,4.4,3.7,4.8
"27","18","  Employer contributions","A744RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.2,1.4,1.7,2.2,2.7,3.1,3.1,3.2,3.2,3.1,3.3,3.8,4.4,5.2,6.2,7.1,8,9.2,10.3,11.1,11.5,11,10.2,9.2,8.6,8,8.2,10,12.3,16.1,19.4,19.3,17.3,16,16.4
"28","19","    Government","B739RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.9,0.9,0.8,0.7,0.8,0.8,0.8,0.9,1.1,1.2,1.6,2.1,2.5,2.9,2.8,2.5,2.4,2.5,2.4,2.2,2.3,2.5,2.9,3.4,3.5,3.6,3.6,3.8
"29","20","    Other","B740RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.9,1,1.1,1.3,1.7,2.1,2.3,2.3,2.3,2.3,2.3,2.6,3,3.6,4.4,5.2,6.1,6.8,7.6,8.2,8.7,8.6,8.2,7.8,6.8,6.1,5.6,6,7.7,9.7,13.3,16.1,15.8,13.8,12.5,12.6
"30","21","Interest received","B746RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,1,1.3,1.5,1.6,1.8,1.9,2,2.1,2.2,2.3,2.6,3.1,3.2,3.1,3.5,3.7,3.7,4.5,5.4,5.3,4.6,3.9,3.8,4.2,4.4,4.8,5,4.9
"31","22","    Current expenditures","A745RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.8,3.1,3.5,4.1,4.4,4.9,5.4,6,7,8,8.8,10.4,11.9,13,13.1,13,13,13.3,13.3,13.2,13.4,14.1,15.7,18.3,20.5,21.3,21.8,21.9,23,24.1
"32","23","Administrative expenses (consumption expenditures)","B741RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.4,1.6,1.7,2,2.3,2.4,2.6,2.8,2.8,2.7,3,4.1,4.8,4.7,4.8,5,5.6,5.7
"33","24","Government social benefit payments to persons","B742RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.5,2.8,3.2,3.7,4,4.4,4.9,5.5,6.4,7.2,7.9,9.2,10.5,11.5,11.4,11,10.7,11,10.7,10.4,10.6,11.4,12.7,14.2,15.7,16.6,17,16.9,17.4,18.4
"34","25","    Net saving","B118RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.5,3.4,6.9,7.4,4.7,1.9,2
