"","Table 5#4#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"19","10","    Multimerchandise shopping","W036RW2",-0.47,-1.02,-0.78,-0.7,0.28,0.35,0.46,0.3,-0.43,0.04,0.19,0.1,-0.73,-0.54,0.13,0.72,3.08,-0.57,0.29,-0.14,0.2,-0.06,-0.25,0.4,0.28,0.43,0.23,-0.18,0.02,0.17,0.11,0.22,0.17,-0.1,0.11,0.37,-0.05,-0.06,0.18,0.27,-0.03,0.23,0.53,0.19,-0.17,-0.77,-0.03,0.24,0.35,0.37,-0.02,-0.13,-0.39,0.09,0.84,0.59,-0.07,0.06,0.05,0.01,-0.11,-0.92,-0.06,0.18,0.03,-0.12,0.23,-0.25,0.1,0.23,-0.1,0.13,-0.14,-0.07,0.27,0.2,0.4,0.31,-0.35
"20","11","    Food and beverage establishments","W037RW2",-0.25,-0.55,-0.42,-0.38,0.15,0.19,0.25,0.16,-0.23,0.02,0.1,0.05,-0.39,-0.29,0.07,0.39,1.66,-0.31,0.16,-0.08,0.11,-0.03,-0.13,0.22,0.15,0.23,0.12,-0.09,0.01,0.09,0.06,0.12,0.09,-0.05,0.06,0.2,-0.03,-0.03,0.1,0.15,-0.02,0.13,0.29,0.1,-0.09,-0.42,-0.02,0.13,0.19,0.2,-0.01,-0.07,-0.21,0.05,0.45,0.32,-0.04,0.03,0.03,0,-0.06,-0.5,-0.03,0.1,-0.08,0.16,0.05,0.15,0.04,-0.16,0.04,-0.03,-0.13,0.03,-0.07,-0.12,-0.08,0.01,-0.02
"21","12","    Warehouses","W038RW2",-0.21,-0.46,-0.35,-0.32,0.13,0.16,0.21,0.13,-0.19,0.02,0.08,0.05,-0.33,-0.24,0.06,0.32,1.39,-0.26,0.13,-0.06,0.09,-0.03,-0.11,0.18,0.13,0.19,0.1,-0.08,0.01,0.08,0.05,0.1,0.08,-0.04,0.05,0.17,-0.02,-0.03,0.08,0.12,-0.01,0.11,0.24,0.08,-0.08,-0.35,-0.01,0.11,0.16,0.17,-0.01,-0.06,-0.18,0.04,0.38,0.26,-0.03,0.03,0.02,0,-0.05,-0.42,-0.03,0.08,0.17,0.52,0.39,0.14,-0.05,0.09,0.1,0.06,-0.5,0.01,-0.12,-0.02,0.06,0.13,-0.07
"22","13","    Other commercial \2\","W039RW2",-0.33,-0.72,-0.55,-0.5,0.2,0.25,0.32,0.21,-0.31,0.03,0.13,0.07,-0.52,-0.38,0.09,0.51,2.18,-0.4,0.21,-0.1,0.14,-0.04,-0.18,0.29,0.2,0.31,0.16,-0.12,0.13,0.15,0.07,0.15,0.16,-0.03,0.08,0.26,-0.03,-0.04,0.12,0.18,-0.03,0.16,0.37,0.14,-0.1,-0.55,0,0.15,0.29,0.3,0,-0.06,-0.29,0.06,0.63,0.44,-0.05,0.05,0.04,0.01,-0.08,-0.69,-0.07,0.1,0.64,0.09,0.12,0.35,-0.03,0.05,0.27,-0.31,-0.01,-0.27,0.13,-0.28,-0.18,0.21,-0.24
"23","14","  Manufacturing","C307RW2",-3.68,-4,-3.31,4.72,-0.8,-1.72,3.59,4.88,-5.45,0.75,3.13,4.77,-7.13,-4.61,1.82,10.88,15.82,-1.66,-2.27,-1.57,0.4,2.73,0.48,-0.33,-0.44,0.56,1.82,0.48,-2.69,-0.65,1.63,-0.14,0.06,0.02,1.12,2.38,2,-1.25,-0.35,0.44,-0.3,-1.52,-0.82,1.23,0.86,-0.33,-0.65,0.18,2.01,1.66,-1.42,1.08,-0.31,-2.63,0.22,0.71,-1.02,-0.14,0.29,1.11,0.9,-0.63,-0.67,-1.54,0.99,1.07,0.36,-0.31,0.21,-1.03,0.16,-0.14,-1.98,-0.21,0.12,0.42,0.27,0.67,1.03
"24","15","  Power and communication","W003RW2",-0.04,-4.75,-6.69,-7.53,0.89,2.03,4.09,2.87,-0.39,1.5,0.87,0.63,-1.87,-5.45,3.62,1.91,6.83,3.47,1.83,0.52,-0.06,0.03,0.09,1.04,-0.96,-0.46,1.41,0.39,-0.43,-0.46,0.09,-0.61,0.05,0.56,0.73,0.88,1.21,0.94,1.25,0,1.04,0.1,0.48,0.67,-0.7,-0.97,1.16,-0.19,0.49,0.36,0.09,0.27,-0.58,-1.5,0.18,-0.08,0.47,-0.79,-0.36,0.23,-0.45,1.17,0.5,-0.55,-0.71,0.13,-0.92,-0.19,0.83,0.92,0.88,0.2,-0.15,-0.51,-0.96,-0.1,0.32,1.54,1.23
"25","16","    Power","W028RW2",-0.17,-2.45,-5.15,-5.6,0.91,1.85,3.59,1.98,-0.28,1.49,0.4,-0.14,-1.37,-3.25,2.95,1.15,3.65,2.73,1,1.3,0.33,0.01,-0.14,0.93,-1.06,-0.7,0.67,0.51,-0.03,-0.52,-0.16,-0.32,-0.06,0.35,0.41,0.69,1.11,1.01,1.21,-0.55,0.44,0.07,0.31,0.34,-0.49,-0.48,1.18,-0.36,0.08,0.12,0.06,0.16,-0.62,-1.26,-0.05,-0.12,0.26,-0.85,-0.43,0.41,-0.43,1.39,0.49,-0.66,-0.79,0.07,-0.96,-0.25,0.82,0,0.87,0.17,0.03,0.03,-0.99,-0.34,0.27,1.18,1.43
"26","17","      Electric","C571RW2",0.44,-2.15,-2.44,-2.34,0.04,0.89,1.76,1.74,1,0.91,0.06,-0.42,-0.91,-2.58,0.57,2.07,3.19,1.47,0.85,0.94,-0.59,-0.2,0.65,0.57,-0.43,-0.79,0.41,0.59,0.17,-0.85,0.02,-0.26,-0.01,0.29,0.17,0.5,0.7,0.87,0.51,0.07,0.66,0.17,0.3,0.33,-0.59,-0.78,0.68,0.77,0.33,-0.05,-0.12,0.14,-0.28,-0.82,-0.06,-0.3,0.29,-0.84,-0.49,0.3,-0.52,1.16,0.14,-0.34,-0.44,-0.22,-0.64,-0.03,0.24,0.35,0.99,0.15,-0.12,0.01,-0.73,-0.24,0.19,0.72,1.18
"27","18","      Other power","W029RW2",-0.61,-0.31,-2.71,-3.26,0.87,0.96,1.83,0.24,-1.28,0.58,0.35,0.28,-0.46,-0.67,2.38,-0.92,0.46,1.26,0.15,0.36,0.93,0.2,-0.79,0.36,-0.63,0.09,0.26,-0.08,-0.21,0.34,-0.18,-0.06,-0.05,0.06,0.24,0.19,0.41,0.14,0.7,-0.62,-0.22,-0.11,0.01,0,0.1,0.3,0.5,-1.12,-0.25,0.17,0.18,0.02,-0.35,-0.45,0.01,0.18,-0.03,-0.01,0.06,0.12,0.09,0.23,0.34,-0.32,-0.34,0.29,-0.32,-0.22,0.59,-0.35,-0.12,0.02,0.15,0.02,-0.26,-0.09,0.08,0.46,0.25
"28","19","    Communication","C314RW2",0.13,-2.3,-1.54,-1.93,-0.02,0.18,0.5,0.89,-0.11,0.01,0.46,0.76,-0.49,-2.2,0.67,0.76,3.18,0.74,0.83,-0.78,-0.39,0.02,0.23,0.11,0.1,0.24,0.74,-0.12,-0.39,0.06,0.24,-0.29,0.11,0.21,0.32,0.19,0.11,-0.08,0.04,0.55,0.61,0.03,0.18,0.33,-0.21,-0.49,-0.02,0.17,0.41,0.24,0.03,0.1,0.05,-0.23,0.23,0.04,0.21,0.06,0.07,-0.18,-0.02,-0.22,0.01,0.12,0.08,0.07,0.04,0.06,0.01,0.92,0,0.03,-0.19,-0.54,0.02,0.24,0.05,0.36,-0.2
"29","20","  Mining exploration, shafts, and wells","E318RW2",-1.04,-2.37,1.2,-1.9,4.39,2.36,2.06,2.84,-1.45,-0.61,0.92,0.24,-2.02,-0.76,4.65,1.66,1.98,0.55,1.04,0.06,0.95,0.25,0.64,0.59,0.69,0.5,-0.21,-0.36,-0.41,0.16,-0.34,0.09,0.25,-0.3,0.3,-0.05,-0.21,-0.17,0.02,0.15,-0.21,-0.25,0.2,0.18,0.54,0.73,0.48,0.79,0.91,0.46,2.91,1.91,-1.16,-2.5,1.29,-0.95,-2.96,-0.08,0.32,-0.36,0.55,-0.1,-0.8,0.56,-0.11,-0.52,0.2,0.56,-0.5,-0.51,0.65,0.61,-1.27,0.56,0.77,0.61,1.1,1.01,1.99
"30","21","    Petroleum and natural gas","C319RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,1.04,0.09,0.9,0.23,0.66,0.56,0.72,0.5,-0.2,-0.35,-0.49,0.13,-0.36,0.07,0.24,-0.32,0.3,-0.05,-0.21,-0.17,-0.03,0.11,-0.24,-0.27,0.19,0.14,0.42,0.65,0.31,0.67,1,0.51,2.81,1.72,-0.97,-2.29,1.25,-0.92,-2.79,-0.01,0.32,-0.38,0.52,-0.13,-0.79,0.55,-0.19,-0.41,0.17,0.58,-0.43,-0.49,0.61,0.63,-1.39,0.63,0.68,0.57,0.99,0.99,1.98
"31","22","    Mining","C320RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,-0.03,0.06,0.02,-0.02,0.03,-0.03,0,-0.01,-0.02,0.07,0.03,0.02,0.02,0.02,0.01,0,0,0,0,0.05,0.04,0.03,0.02,0.01,0.04,0.12,0.08,0.18,0.12,-0.09,-0.05,0.1,0.2,-0.19,-0.21,0.04,-0.03,-0.17,-0.07,0.01,0.02,0.03,0.04,-0.01,0.01,0.09,-0.11,0.03,-0.02,-0.06,-0.02,0.04,-0.02,0.12,-0.06,0.1,0.05,0.11,0.02,0
"32","23","  Other structures","W004RW2",-1.28,-6.7,-10.1,-5.25,2.36,1.91,4.21,1.96,-1.96,1.02,-0.15,1.61,-2.23,0.1,5.82,3.74,23.82,-3.82,0,0.15,-0.16,-0.21,0.05,0.4,0.57,0.02,-0.1,0,0.47,1.11,1.12,-0.26,0.23,0.62,1.03,1.35,0.44,-0.26,-1.44,-0.08,-0.6,-0.6,0.09,0.58,-0.67,-0.98,0.41,0.41,0.91,0.68,-0.21,-0.25,-0.42,0.43,1.33,0.8,-0.5,0.47,-0.57,0.16,0.5,-1.18,-0.64,0.61,-0.17,0.86,1.42,1.19,0.51,0.01,0.27,-0.43,-1.35,-0.26,0.09,-0.35,0.52,1.02,0.88
"33","24","    Religious","C309RW2",-0.01,-0.51,-0.76,-1.02,-0.16,0.31,0.15,0.11,0.15,-0.08,0.19,-0.02,-0.48,-0.58,0.14,0.39,0.8,0.13,0.5,0.47,0.22,-0.04,-0.21,0.23,0.42,0.26,0.12,0.07,0.05,0.23,0.15,-0.01,0.04,-0.1,-0.06,0.3,-0.16,-0.18,-0.06,-0.22,-0.14,-0.22,-0.03,-0.08,0.01,-0.1,0.05,0.02,0.09,0.09,-0.01,-0.02,-0.07,0.09,0.12,0.08,0.07,0.03,0.02,0.04,-0.07,-0.09,-0.11,0.07,-0.04,0.06,0.02,0.19,0.1,0.08,0.05,0.01,-0.02,0,-0.1,-0.1,-0.05,-0.05,-0.05
"34","25","    Educational and vocational","W044RW2",0.08,-0.05,-0.85,-1.73,-0.13,0.13,0.78,-0.11,-0.05,-0.02,0.19,0.06,-0.51,-0.42,0.14,0.51,1.54,0.05,0.27,0.09,0.11,0.03,-0.01,0.24,0.36,-0.2,0.13,-0.14,0.16,-0.11,0.09,0.1,0.14,-0.03,0.11,0.02,0.27,0.05,0.07,-0.2,-0.27,0,-0.03,-0.13,-0.25,-0.11,0.03,-0.01,0.03,0.05,0.13,-0.01,0.04,0.05,0.02,0.1,0.12,0.33,-0.26,0.09,0.09,0.02,0.04,0,0,0.1,0.24,0.34,0.11,-0.14,0.25,0.09,-0.01,-0.03,-0.17,-0.07,-0.02,0.12,0.04
"35","26","    Lodging","W045RW2",-0.12,-0.53,-0.84,-0.41,-0.15,0.06,0.3,0.21,0.25,0.09,-0.27,0.03,-0.49,-0.46,0.27,0.49,1.39,-0.36,0.29,0.13,-0.04,0.02,-0.07,0.1,0.16,-0.16,0.11,0.03,0.24,0.31,0.23,0.25,-0.11,0.36,0.91,-0.03,-0.18,-0.3,-0.14,0.06,-0.12,-0.08,0.47,0.15,-0.64,-0.54,-0.17,-0.01,0.14,0.41,0.24,0.23,-0.07,0.38,0.47,0.13,0,-0.05,-0.2,0.18,0.35,-0.82,-0.77,0.23,-0.02,0.56,0.87,0.36,0.3,0.09,-0.06,-0.39,-0.66,-0.13,0.19,-0.03,0.4,0.91,0.79
"36","27","    Amusement and recreation","W046RW2",-0.21,-0.8,-1.27,-0.46,-0.51,-0.07,0.33,0.33,0.33,0.1,-0.34,0.02,-0.75,-0.74,0.43,0.75,2.09,-0.48,0.37,0.2,0.01,-0.04,-0.07,0.18,0.23,-0.19,0.12,0.11,0.32,0.27,0.35,-0.09,0.06,0.17,-0.05,0.52,0.04,-0.08,-1.08,0.19,0.04,-0.06,-0.02,0.05,-0.11,-0.12,0.12,0.04,0.13,0.09,0.03,-0.01,0.13,0.14,0.34,0.29,-0.14,0.08,0.09,-0.22,0.05,-0.12,-0.02,0.13,0.01,0.05,0.11,0.12,-0.05,0.1,-0.2,-0.2,-0.07,0.01,0.02,-0.18,0.12,0.04,0
"37","28","    Transportation","W047RW2",-0.15,-3.81,-5.48,-2.16,3.24,0.12,2.04,0.83,-2.15,1.04,0.52,0.74,0.3,2.09,4.63,-0.53,-2.37,-0.41,-0.01,-0.2,-0.38,0.21,0.21,-0.13,-0.54,-0.21,0.14,-0.17,-0.57,-0.11,0.07,-0.21,0.01,0.16,0.07,0.13,0.15,-0.12,0.04,0.04,-0.18,0.03,0.04,0.05,-0.01,-0.19,0.31,0.09,0.22,-0.01,-0.09,-0.05,-0.1,-0.06,0.18,0.16,-0.29,-0.11,-0.03,0.02,-0.02,-0.07,0.12,0.01,0.04,0.02,0.16,0.1,0.15,-0.13,0.02,-0.01,-0.05,-0.05,0.01,0.01,0.11,0.01,0.05
"38","29","      Air","W048RW2",-0.02,-0.08,-0.13,-0.05,-0.04,0,0.04,0.03,0.04,0.01,-0.04,0,-0.08,-0.08,0.04,0.08,0.22,-0.05,0.04,0.02,0,0,-0.01,0.02,0.02,-0.02,0.01,0.01,0.03,0.03,0.03,-0.01,0.01,0.02,-0.01,0.05,0,-0.01,-0.12,0.02,0,-0.01,0,0.01,-0.01,-0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0.03,0.02,-0.01,0.01,0.02,-0.03,0,-0.01,-0.01,0.02,0.01,0,0.03,0,0.02,0.02,0.08,0.02,-0.09,-0.05,-0.01,-0.02,-0.01,0.01,-0.01
"39","30","      Land \3\","W049RW2",-0.13,-3.72,-5.35,-2.11,3.28,0.12,2,0.8,-2.18,1.03,0.56,0.73,0.38,2.16,4.59,-0.61,-2.58,-0.36,-0.06,-0.22,-0.38,0.21,0.22,-0.15,-0.56,-0.19,0.13,-0.18,-0.61,-0.14,0.04,-0.2,0.01,0.14,0.07,0.07,0.15,-0.12,0.16,0.03,-0.18,0.04,0.04,0.04,0,-0.17,0.29,0.09,0.21,-0.01,-0.09,-0.05,-0.11,-0.08,0.15,0.14,-0.29,-0.12,-0.04,0.05,-0.02,-0.06,0.13,0,0.03,0.02,0.13,0.09,0.13,-0.15,-0.05,-0.03,0.04,0,0.02,0.03,0.12,0.01,0.06
