"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"12","4","Manufacturing","N150RC1",15.5,22.7,20,26,31.6,15.6,6.9,7.6,12.2,4.6,15.5,23.3,-3.6,14.1,5.9,11.1,-20.1,-19.2,-24,-30.7,-25.3,-3,5.9,5.6,1.1,-9.3,-18.3,-3.2,-1.5,6.5,2.4,15.5,41.4,2.2,11.7,28.9,19.5,23.8,20.4,7.1,-5.1,7,6.7,8.2,27.2,-31,-35.9,11.4,-31.4,-42.7,-62.4,-6.6,16.5
"13","5","  Durable goods industries","N624RC1",9,15.8,14.3,17.5,29.7,16.5,9.3,8.6,5.7,-3.6,10.5,12.6,-1.9,9.5,4.4,12.9,-14.6,-12.8,-22.5,-28.2,-15.4,-6.2,-2.7,4.6,1.9,-9.6,-15.4,3.9,-2.8,6.2,3,9.6,27.8,5.7,13.3,19.5,8,12.4,17.6,10.6,-2,-9.6,-1.5,13.1,13,-5.5,7.5,35.5,-25.4,-32.8,-53.2,-15.5,6.6
"14","6","  Nondurable goods industries","N625RC1",6.6,7,5.7,8.5,1.9,-0.9,-2.4,-1.1,6.5,8.2,4.9,10.7,-1.6,4.6,1.5,-1.8,-5.5,-6.4,-1.6,-2.5,-9.9,3.3,8.6,1,-0.9,0.4,-2.8,-7.2,1.4,0.3,-0.6,5.9,13.6,-3.5,-1.6,9.3,11.4,11.4,2.8,-3.5,-3.1,16.6,8.2,-4.9,14.3,-25.5,-43.4,-24.1,-6.1,-9.9,-9.2,8.9,9.9
"15","7","Wholesale trade","N658RC1",20.4,33.8,16.7,30.5,30.6,13.4,27.1,14.7,21.8,7.7,21,25.1,16.3,24.3,13.6,21.2,-5.8,-6.2,-22.8,-14.5,-7.3,4.2,4,-1.3,-6.3,-7,-2.3,13.2,13.7,15.8,27.4,22.1,35.2,12.5,2.1,22.7,18.4,21,17.1,-1.8,3,1.7,12.2,10.5,-9.1,-2.8,3.4,-20.1,-47.3,-81.2,-75.3,-4.9,13.7
"16","8","  Durable goods industries","N661RC1",15.6,26.3,8.3,18.7,25.4,8.7,21.9,12.1,15.6,11.1,10.4,19.2,11.4,21.9,8.6,12.3,-6.5,-20.8,-21.4,-18.1,-6.7,3.3,9.4,-4.5,3.4,-3.2,-7.5,10.4,14.6,16.9,26.8,12.7,22.5,11.8,1.2,18,5.9,16.6,17.4,-2.4,11.7,-9.4,-5.6,11.1,10.7,-1.7,23.2,-1.2,-57.1,-58.6,-48,-23,8.5
"17","9","  Nondurable goods industries","N664RC1",4.7,7.5,8.3,11.7,5.2,4.7,5.2,2.6,6.2,-3.3,10.7,5.8,4.9,2.5,5,8.9,0.6,14.6,-1.4,3.5,-0.6,0.9,-5.4,3.2,-9.7,-3.9,5.3,2.8,-1,-1.1,0.7,9.4,12.7,0.7,0.9,4.7,12.5,4.4,-0.3,0.6,-8.8,11.1,17.8,-0.6,-19.8,-1.1,-19.7,-18.9,9.8,-22.6,-27.3,18.1,5.2
"18","10","Retail trade","N153RC1",6.2,23.1,16.3,12.2,28.2,2.4,8.7,19.2,37.9,14.1,8.4,39.4,8,35.2,21,15.6,-21.9,6.8,10.6,-36.7,19.1,24.5,17,31.7,24.4,8.1,16.9,18.2,30.8,28.9,12.2,20.9,14.7,-11.1,-5.5,20.4,11.8,8.2,14,9.2,-3.7,8.8,20.2,-2.1,-18.6,-15.7,5,-24.2,-50.2,-54.7,-18.4,14.3,15.8
"19","11","  Motor vehicle and parts dealers","N631RC1",0.7,7,5.4,7.5,9.9,-6.2,-4.2,7.9,24.7,0.6,2.5,21.9,2,23.5,15.8,6.1,-26.4,9.3,8.6,-28.8,19.7,18.5,2.9,28.1,17,11.8,7.6,14.8,14.4,13.3,1.9,0,3.2,-19,-7.5,12.1,1.2,0.2,1.1,-4,-7.2,3.7,23.6,-8.4,1.6,-5.8,5.8,-3.7,-35.5,-32.7,4.9,22.5,19.5
"20","12","  Food and beverage stores","N542RC1",0.3,0.4,1.4,-0.7,1,1.8,-0.1,1.1,1.8,1.5,2.1,0.7,-0.1,-1.9,0.4,-0.7,0.9,0.6,0,0.2,-0.1,0,1.6,-0.8,-0.8,-2.9,1.4,-2.4,0.4,0.9,0.4,-0.1,0.3,0.2,-1.9,1,1.7,1.2,0.7,0.1,-0.9,1.4,2.2,0.9,0.1,1.5,0.3,-0.8,2.7,-0.4,0.4,-3.2,1.9
"21","13","  General merchandise stores","N543RC1",-0.4,3.2,-1.2,-1,-0.2,-0.2,2.5,-0.7,3,2.1,2,3.6,0.4,2.6,-0.8,2,5.2,0.7,-0.1,-5.1,-1.8,-0.3,3.8,4,0.6,1,1.8,0.6,6,3.1,1.4,7.4,5.7,-0.1,2.3,0.9,-2.3,-1.3,6.5,3.8,0.5,0.2,-2.8,0.7,-6.5,-1,-1.6,-4.3,-3.9,-2.9,-4.6,0.3,-6
"22","14","  Other retail stores","N558RC1",5.6,12.5,10.7,6.5,17.5,7,10.6,10.9,8.3,9.8,1.9,13.1,5.6,11,5.7,8.1,-1.5,-3.8,2.1,-3,1.3,6.3,8.7,0.4,7.8,-1.8,6.1,5.1,10,11.5,8.5,13.6,5.4,7.7,1.6,6.5,11,8.1,5.8,9.4,3.8,3.5,-2.9,4.7,-13.8,-10.4,0.5,-15.3,-13.4,-18.7,-19,-5.2,0.3
"23","15","Other industries","N154RC1",8.2,4.6,3.3,5.1,3.3,5.5,5.2,8.2,7.3,8.7,6.9,5.5,10.9,13.5,18.5,6.9,1.7,-0.8,-0.8,-1.6,-3.1,1.3,-1.2,-1.5,-0.5,3.7,1.1,1.8,6,5.6,6.6,6,2.6,2.6,0.1,3.9,3.1,7.1,4.7,4.1,5.5,4.1,1.2,3.4,3.1,0.1,1.8,5,-4.1,-6.3,-4.7,-3.4,4.5
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Change in private inventories","A014RC1",49.8,88.4,68,77.8,105.1,37.3,52.4,60,83.3,35.1,40.6,84.3,16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,13.1,23.5,31,9.8,-8.2,-49.3,-37,-44.5,-127.4,-176.2,-156.5,-23.6,36.9
"26","17","    Durable goods industries","N355RC1",28.5,53,32.3,46.2,69.9,22.7,31.8,32.8,51.5,11.5,26.3,60.3,17.2,57.9,32.3,34.8,-44.5,-24.9,-33.8,-74.6,4.8,17.4,14,34.5,27.7,1.9,-10.3,32.9,34.1,46.7,36.5,31.8,61.5,8.5,12,58.8,20.9,33.7,44.1,5.1,11.2,-9.2,11,17.3,16.5,-22,35.9,10.8,-122.7,-129,-100.2,-23.8,31.8
"27","18","    Nondurable goods industries","N357RC1",21.3,35.4,35.7,31.6,35.1,14.6,20.7,27.3,31.8,23.5,14.3,24.1,-1.1,32.5,24.9,19.6,13.9,13.3,3.7,-6.2,-18.2,-4.2,4.3,-4.5,0.9,-5,14.5,2.9,17.3,29.3,24.3,39.7,29.2,7.3,-1,23.4,45.1,38.7,25,27.3,1.9,32.6,20.1,-7.5,-24.7,-27.3,-72.9,-55.3,-4.6,-47.2,-56.3,0.2,5.1
"28","19","  Nonfarm industries","A015RC1",50.3,87.6,59.6,73.1,99.5,42.2,51.9,56.2,79.3,35.3,49.6,90,33.9,84.5,58.4,47,-36.2,-8.6,-31.9,-76.6,-16.7,23.5,20.6,30.7,25.8,-1.7,3.2,37.9,46.9,57.6,53.1,66.8,97.2,15.5,6.7,79.9,62.3,80.6,75.4,36,6.8,27.4,33.4,12.4,5.7,-46.1,-29.4,-40.8,-126.1,-176.8,-156.5,-14.7,42.3
"29","20","    Nonfarm change in book value \1\","B016RC1",28.5,65.1,40.5,61.7,75,22.3,24.6,37,52.4,36.2,68.5,123.1,62.5,114.2,70.1,69.2,-25.5,-18.9,-59.6,-117.5,-51.9,19.6,42.4,63.9,65.1,-9.4,10.4,64.4,85.6,115.4,101.8,134.4,143.4,45.7,54.1,148.6,85.7,127.7,124.6,68.1,59.5,68.6,57.3,108.2,140.1,127.8,36.8,-234.1,-225.7,-203.7,-134.2,45.9,95.4
"30","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",21.8,22.5,19.1,11.4,24.5,20,27.3,19.2,26.9,-0.9,-18.9,-33.1,-28.6,-29.7,-11.8,-22.2,-10.7,10.3,27.7,40.9,35.2,4,-21.8,-33.2,-39.3,7.7,-7.2,-26.5,-38.7,-57.8,-48.7,-67.6,-46.1,-30.2,-47.5,-68.7,-23.4,-47.1,-49.2,-32.1,-52.7,-41.2,-23.9,-95.8,-134.4,-173.9,-66.2,193.2,99.6,26.9,-22.2,-60.6,-53.1
"31","22","  Wholesale trade","N658RC1",20.4,33.8,16.7,30.5,30.6,13.4,27.1,14.7,21.8,7.7,21,25.1,16.3,24.3,13.6,21.2,-5.8,-6.2,-22.8,-14.5,-7.3,4.2,4,-1.3,-6.3,-7,-2.3,13.2,13.7,15.8,27.4,22.1,35.2,12.5,2.1,22.7,18.4,21,17.1,-1.8,3,1.7,12.2,10.5,-9.1,-2.8,3.4,-20.1,-47.3,-81.2,-75.3,-4.9,13.7
"32","23","    Merchant wholesale trade","N151RC1",19.2,30.8,15.4,25.2,27,13.1,25.5,12.3,19.9,4.3,18,23.1,12.9,19.1,8.8,18.2,-3.1,-2.5,-15.1,-11.5,-3.4,2,3.4,0.1,-3.9,-6.2,-1.8,11.1,12.7,12.8,23.3,22.5,26.5,12.4,2.6,15.8,16.5,24.7,15.3,4.2,2.5,2.7,13.2,13.3,-10.4,2.3,18.2,-10.1,-37.2,-70.8,-66,-1.3,6.5
"33","24","      Durable goods industries","N626RC1",14.6,24.2,7.7,14.3,22,8.8,19.6,10,14.3,8.4,9.3,17.7,8.7,18.7,4.8,9.4,-3.7,-18.6,-15.9,-15.1,-5.2,1.7,7.5,-4.8,4.7,-2.2,-6.1,7,14.1,16.1,22.9,14,17,12.3,0.8,13.8,8.7,19.4,12.7,1.4,5.6,-6.6,-4.7,8.9,12.9,3.9,26,0.1,-48.4,-51.5,-42.2,-21.1,4.1
"34","25","      Nondurable goods industries","N627RC1",4.5,6.6,7.7,10.9,5,4.3,5.9,2.3,5.5,-4.1,8.7,5.5,4.2,0.4,4,8.8,0.6,16.1,0.8,3.6,1.8,0.2,-4.1,4.9,-8.6,-4,4.2,4.1,-1.4,-3.2,0.4,8.5,9.5,0.1,1.8,2,7.8,5.2,2.7,2.8,-3.1,9.3,17.9,4.3,-23.3,-1.6,-7.8,-10.3,11.2,-19.2,-23.7,19.8,2.3
"35","26","    Nonmerchant wholesale trade","N152RC1",1.2,3,1.3,5.2,3.6,0.3,1.7,2.3,1.9,3.4,3.1,2,3.4,5.2,4.8,2.9,-2.7,-3.7,-7.7,-3.1,-3.9,2.2,0.6,-1.4,-2.4,-0.9,-0.4,2.1,0.9,3,4.1,-0.4,8.7,0.1,-0.5,7,1.9,-3.6,1.8,-6,0.4,-1,-0.9,-2.7,1.3,-5.1,-14.8,-9.9,-10.1,-10.4,-9.3,-3.6,7.3
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
