"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1",0.1,0,0,0,-0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.3,0.3,0.3,0.6,0.6,0.7,0.9,1,1.1,1.1,1.2,1.2,1.1,0.8,0.8,0.6,0.5,0.6,0.4,0.4,0.4,0.3,0.3,0.2,0.3,0.2,0,0.3,0.6,1.7,2.7,3.5,4.3,6.8,9.8,13.4,19.6,19.9,10.2,11.2,7.5,-3.9,-7.2,-5.1,-7.7,-4.9,-8.1,-7.4,-6.3,-3.8,-2.1,0.6,6.4,3.7,0.5,5.1,10.6,2.5,5.7,9.9,13.9,30.2,".....","....."
"17","10","      State and local taxes on corporate income","B1179C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.1,34.9,35.8,35.2,28.9,30.9,34,41.7,54.9,59.2,".....","....."
"18","11","      Interest payments of regulated investment companies","B1181C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.2,-0.4,-0.3,-0.4,-0.8,-1.1,-1,-1,-1.5,-1.8,-4.4,-8.7,-18.3,-23.2,-17.5,-21.7,-24.4,-28.5,-45.1,-53.5,-67.5,-68,-60.3,-57.1,-59.6,-77.3,-79.2,-86.4,-96.1,-119,-118.2,-143.5,-124.1,-100.7,-71.3,-75.3,-106.2,-165.5,".....","....."
"19","12","      Bad debt expense","B1182C1",0.9,1,1.2,1.3,1.2,1.2,1,0.9,0.8,0.7,0.7,0.6,0.7,0.5,0.4,0.3,0.3,0.3,0.7,0.7,0.8,0.8,0.8,0.9,1.1,1.4,1.7,1.9,1.9,2.1,2.3,2.8,3.1,3.5,3.5,3.9,4.2,4.3,4.4,4.9,5.9,6.5,7.8,8.3,10.5,12.8,13.8,13.8,14.2,15.7,17.4,18.8,22.3,26.7,30.5,33.8,43.3,53.4,54.6,58.6,68.8,83.7,100.9,89.6,80.7,67.9,67.8,74.7,83.6,86.4,100.2,107.7,142.2,168,151.1,139.7,119,105.9,".....","....."
"20","13","      Disaster adjustments (net) \4\","W779RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.1,0,0,0,0.1,0,0.2,0,0,0.1,0.1,0,0,0,0,0,3.9,0,1.3,13.2,2.6,12.7,2,0,0,0,1.8,0,7.4,0,0,18,28.7,0,".....","....."
"21",NA,"Less: Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","        Gains, net of losses, from sale of property","B1183C1",0.7,-0.2,-1.3,-1.6,-1.4,-0.1,0.2,0.4,0.1,0,0,-0.7,-1,-0.2,-0.2,0,0.6,1.1,0.7,0.7,0.6,1,1.1,1.1,0.8,1.8,1.7,1.7,1.6,2.8,1.8,2.6,4,3.4,3.6,3.9,5.2,5.4,7.5,8.9,7.8,5.2,7.4,10.1,9.5,7.7,8.9,10.6,14,16.7,21,27.1,28.8,29.1,42,46.7,75.2,124,82.9,80.1,82.9,62.8,62.2,70.9,90.8,71,115.5,132.8,200.8,201,269.4,286.3,156.6,96.4,123.3,170.8,246.1,281.5,".....","....."
"23","15","        Dividends received from domestic corporations","B1184C1",2.6,2.6,2,1.3,1,2.2,3,2.7,2.7,1.8,1.9,2,2.2,1.3,1.3,1.4,1.4,1.7,1.9,2.2,2.2,2.5,2.4,2.4,2.4,2.3,2.6,2.7,2.7,2.8,2.9,3.1,3.3,3.6,3.6,4,4.5,4.4,4.4,4.9,5,5.2,5.5,6.5,9.4,13.8,8.8,12,13,13.3,16.8,18.7,17.4,18.2,19.7,21.2,17,15.2,13.9,22.3,24.8,23.4,23.5,25.3,28.8,33,38.7,47.2,57.7,64.2,67.3,69.6,67.6,68.1,76.1,98.7,122.3,156.2,".....","....."
"24","16","        Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1",0.4,0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.6,1,1.1,1.2,1.5,1.9,1.8,1.9,1.8,2.4,2.5,2.7,2.7,2.8,2.9,3.5,3.6,4.3,5.2,5.2,5.7,6.5,7.1,7.8,8.5,10.7,13.3,20.6,43.6,41.9,49.8,52.3,53.6,77.8,52.2,44.1,44.8,41.6,44.8,45.7,41.7,48.4,64.9,55,61.9,54.2,67.2,77.1,79.2,92.3,107.1,113.8,107.3,123.4,131.4,115.5,108.1,132.2,167.9,514.1,250.2,".....","....."
"25","17","      Costs of trading or issuing corporate securities \5\","B1186C1",0.3,0.2,0.1,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.6,0.7,1,1.3,1.4,1.7,2.1,2,1.5,1.7,2,2.5,2.1,1.5,1.8,3.2,3.8,5.3,7,5.6,8,12.9,8.3,11.1,12.3,14.3,21.8,22.2,27.2,21.2,30.5,35.3,37.5,39.9,57.3,70.2,51.8,40.8,43.9,42.1,44.4,52.3,".....","....."
"26","18","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1,1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48,57,67.1,76.1,76.5,73.1,76.9,78,92.9,102,107.6,102.8,121.5,145.6,169.7,157.9,165.8,205,239.4,256.8,".....","....."
"27","19","Equals: Profits before taxes, NIPAs","A053RC1",10.6,4.3,0.4,-1.5,1.7,3.1,4.2,6.9,7.5,4.4,7.6,10.4,18.3,22,25.6,24.5,20,24.9,31.9,35.9,29.6,43.2,44.8,40.2,41.7,39.3,49.9,50.5,49.1,43,53.8,51.6,51.6,57,62.1,69.1,80.2,86.7,83.5,92.4,91.4,81,92.9,108.2,135,147.8,145.5,179.7,210.5,246.1,272.1,253.5,243.7,198.6,234,268.6,257.5,246,323.1,389.9,390.5,411.7,425.4,474.4,519,599,684.3,740.7,801.8,722.9,780.5,772.5,712.7,765.3,903.5,1229.4,1640.2,1822.7,"1,774.4","1,462.7"
"28","20","Federal income and excess profits taxes, IRS","B1188C1",1.2,0.7,0.4,0.3,0.4,0.6,0.8,1.2,1.3,0.9,1.2,2.5,7.2,12.3,15.9,14.9,10.8,8.9,11,11.9,9.8,17.3,22.1,19.1,19.9,16.9,21.7,21.4,20.6,18.8,22.5,21.9,22.2,23.9,26.3,27.9,31.7,34.4,33.3,39.7,39.4,33.3,37.5,42.9,52.4,66.1,66.1,83,96.3,107.9,120,105.1,102.3,86.8,92.2,108,111.3,111.1,118.5,131.5,127.9,128.3,121.3,131.4,154.6,172.8,198.8,223.7,239.4,231.4,242,266.3,220.9,209.7,243.8,299.6,419.2,453.1,".....","....."
"29","21","Plus: Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1",0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,-1.1,-2.2,-2.3,-0.5,-0.1,-0.2,-0.1,-0.1,0.1,0,-0.3,-0.1,0.4,0,0.2,0.3,-0.3,0.2,-0.1,0.1,0.1,0.4,0.3,0.3,0.2,0.1,-0.1,-0.4,-0.8,-0.1,-0.2,-0.1,-1.6,-1.5,-1,-1.1,0,-0.7,-4.4,-6.8,-13.2,-4.7,-4.8,-4.9,-7.9,-1.5,-2.3,-0.7,-2,-3.6,0.3,2.4,0.7,-0.5,-0.1,-1.8,-3.9,-5.5,-9.9,-29.1,-27.7,-1.7,7.8,7.4,12.9,".....","....."
"30","22","      Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.9,0.9,0.7,0.8,0.9,1.6,1.3,1.6,1.9,2.5,3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,25.3,27.1,24.5,22,18.1,21.5,29.1,".....","....."
"31","23","      State and local taxes on corporate income","B1179C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.1,34.9,35.8,35.2,28.9,30.9,34,41.7,54.9,59.2,".....","....."
"32","24","      Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,6.4,6.9,7.8,8.3,9.2,10,10.4,9.8,11,12,14.1,16.5,19.1,".....","....."
"33","25","Less: U.S. tax credits claimed for foreign taxes paid","B1191C1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.7,1,1,1.1,1.1,1.2,1.2,1.5,1.6,1.9,2.3,2.6,2.9,3.2,3.7,4,4.5,5.7,6.3,9.6,20.8,20,24.3,26.8,27.5,38.2,26.4,23.8,21.2,21.5,23.1,26.7,24.4,23.5,29.4,26.8,28.2,24.6,25.3,27.6,29.2,33.5,43.3,44.9,39.8,39.9,49.9,42.3,43.2,51.1,57.8,82.9,78.8,".....","....."
"34","26","      Investment tax credit \6\","B1192C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,1.3,1.7,2,2.1,2.4,1.9,0.9,1.6,3,3.8,4.2,6.5,9.1,11,12.9,14.6,15.1,18.9,17.3,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".....","....."
"35","27","      Other tax credits \6\","B1193C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.7,3.1,1.3,0.6,1.2,1.2,2.7,20.9,21.3,12.9,8,6.1,4.8,3.6,4,4.5,6.9,8.1,8.9,9.8,10.3,10.1,9.1,12.3,11.8,12.9,15.2,17.3,24.2,21.2,".....","....."
"36","28","Equals: Taxes on corporate income, NIPAs","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,"451.5","292.2"
"37","29","Profits after tax, NIPAs (19-28)","A055RC1",9.2,3.4,-0.1,-1.9,1.2,2.3,3.3,5.5,5.9,3.4,6.2,7.6,10.7,10.6,11.5,11.5,9.3,15.8,20.7,23.5,19.4,25.3,22.2,20.8,21.4,21.7,27.8,28.5,27.7,24,30,28.8,28.7,32.9,35.7,40.9,49.1,52.8,50.6,52.8,51.4,46.2,54.7,65.9,85,95,93.9,114.5,136.1,161.3,182.1,166.4,159.4,132.1,153.4,171.1,158.1,136.3,192.7,248.3,244.4,266.3,286.8,325.7,348,405.9,466.5,509.3,556.3,474.5,521.7,507.4,509.4,573,659.7,923.3,1227.8,1349.5,"1,322.8","1,170.6"
"38","30","Dividends paid in cash or assets, IRS","B1194C1",8.5,8.2,6.2,3.9,3.1,4.9,5.9,7.4,7.5,5,5.7,6.1,6.7,5.6,5.7,6.1,6.1,7.5,8.4,9.4,9.6,11.6,11.3,11.3,11.6,11.9,13.6,14.5,14.9,15,16.2,17.2,18,19.6,21.1,23.3,26,27,28.2,31.6,33,32,32.6,36,41.8,49.3,44.6,53.4,61.5,68.6,82.6,97.4,120.3,131.2,128.3,144.9,161.5,190.7,197.5,224,263.2,283.2,290.7,304.1,341.7,380.9,445.1,530.8,655.1,718.3,769.8,910.3,724.9,581.5,614.5,785,976,1275.1,".....","....."
"39","31","Plus: Posttabulation amendments and revisions \7\","B1195C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.3,-0.6,-0.6,-0.5,-0.7,-0.5,-0.1,-0.7,-1.6,-1.8,-2.7,-2.7,-1.1,-0.5,-0.7,0,0.8,0.3,1.1,-0.1,0.6,1,-0.7,-4.5,-6.4,-1.7,-5.1,-9.5,-31,-14,-3.1,-10.3,-14,-21.2,-26,-41.2,-40,-68.2,-91.8,-164.6,-176.6,-235.7,-291.2,-156.1,-18.9,-23.2,-59.4,-87.9,-256.3,".....","....."
"40","32","      Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.7,0.6,0.7,0.9,0.7,0.5,0.6,0.7,0.6,0.5,0.8,1,1.1,1.3,1.4,1.6,1.9,1.5,1.8,1.8,1.6,1.5,1.2,1.9,2.5,".....","....."
"41","33","      U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.7,0.8,0.8,1,1.2,1.1,1.1,1.4,1.6,1.8,1.9,1.7,1.9,2,2.4,2.7,2.7,3.2,3.3,2.8,3.2,3.4,3.8,3.9,4.7,4.9,6.8,9.8,6.6,9,11.1,11.2,16,16.7,15.4,16.4,12.1,12.3,11.8,17.9,16.7,31.9,31.6,25,24.3,28,20.6,38.2,32.8,40.4,47.2,42.3,41.7,29.4,40.9,48.1,32.1,62.3,260.9,77.9,".....","....."
"42","34","      Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.7,0.3,0.5,0.8,1,1,1,1.2,1,1.1,1.4,1.5,1.3,1.7,1.4,2,1.9,2.7,2.8,2.8,3.7,3.5,3.5,5.3,4.1,3.9,6.4,3.3,3.8,4.1,4.6,".....","....."
