"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237"
"24","16","      Other household operation","B176RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18.503,18.472,18.601,18.841,19.152,19.345,19.491,19.721,19.422,19.524,20.057,20.289,20.095,20.406,20.631,20.929,20.984,21.314,21.308,21.319,22.264,22.221,22.488,22.448,22.962,23.488,23.978,23.821,24.15,24.464,24.857,25.115,25.376,25.472,25.88,25.968,26.253,26.406,26.553,27.077,27.385,27.666,27.982,28.267,28.241,28.233,28.43,28.426,28.219,28.428,28.92,29.162,29.535,30.306,30.588,31.045,31.571,32.087,32.555,32.502,32.076,31.886,32.096,32.46,33.321,33.749,34.042,34.067,34.692,35.285,35.586,35.936,36.454,37.107,37.925,38.451,38.832,39.322,39.88,40.458,40.878,41.642,41.737,42.185,42.319,41.984,42.24,42.29,42.413,41.89,41.874,41.682,42.049,42.375,42.912,43.105,43.613,43.688,44.522,45.306,45.738,45.809,46.416,46.836,47.844,49.08,49.573,49.745,50.112,50.925,51.092,52.136,52.863,53.888,54.096,54.85,54.546,55.946,56.403,57.438,58.311,59.068,59.91,59.929,60.603,61.167,60.432,59.459,60.087,60.922,61.305,62.246,63.441,64.533,64.922,65.156,66.235,67.476,68.142,69.352,70.27,71.535,72.514,72.696,73.584,74.823,75.783,76.541,77.811,78.671,79.733,81.283,82.627,84.857,86.701,87.794,88.62,90.26,90.966,92.113,94.252,95.997,96.525,98.23,99.976,100.829,100.965,100.804,101.699,101.924,101.064,100.603,100.982,100.586,100.194,100.928,101.66,102.172,102.482,103.04,103.533,104.61,104.232,104.842,105.561
"25","17","    Transportation","B177RA3",19.658,19.768,19.583,19.394,19.781,19.832,19.583,19.33,19.023,19.335,18.825,18.266,18.044,18.639,18.844,19.117,20.031,20.385,20.56,20.366,20.595,20.571,20.561,20.598,21.207,21.307,21.267,20.892,20.902,20.657,20.851,21.083,21.515,21.711,21.751,22,22.142,22.35,22.673,23.101,23.387,23.049,23.067,22.338,22.108,22.382,22.729,23.136,22.724,23.259,23.848,24.196,24.285,24.254,24.28,24.302,24.319,24.505,24.612,24.932,25.132,25.404,25.593,25.893,26.096,26.383,26.786,27.174,27.552,27.793,28.144,28.392,28.527,28.97,29.407,29.737,30.06,30.759,30.788,31.621,32.067,32.254,32.68,33.034,33.803,34.214,34.699,35.14,35.55,36.036,36.581,37.178,36.978,37.089,37.581,37.708,37.794,38.364,38.936,39.568,40.404,40.885,41.259,41.699,42.229,42.38,42.23,42.027,42.07,42.507,42.723,42.867,42.91,42.413,42.969,43.466,43.54,44.071,44.326,44.956,46.388,47.092,47.908,48.193,48.469,49.339,48.966,49.031,48.776,50.944,51.38,50.545,48.869,47.077,47.286,48.397,48.378,46.729,45.761,45.146,45.149,45.201,46.039,47.24,48.309,47.031,50.068,50.105,50.939,53.096,54.812,55.41,57.44,58.024,59.484,58.833,60.13,60.234,61.041,61.277,62.003,62.955,63.571,63.906,64.949,65.868,66.74,67.517,67.248,67.215,67.275,67.137,67.396,67.532,67.252,66.575,64.53,64.037,63.551,63.8,64.97,65.944,67.809,67.985,68.08,68.901,69.891,71.18,72.765,74.274,75.712,77.163,77.914,78.702,80.14,81.557,83.181,84.335,85.495,86.899,89.073,89.913,91.035,91.445,92.164,93.314,93.823,94.26,95.879,96.778,98.01,98.554,99.534,100.206,100.105,100.155,100.571,100.079,98.159,96.68,96.795,96.466,95.829,95.777,96.354,95.917,96.129,96.268,97.443,97.331,97.297,97.18,97.727,98.286
"26","18","    Medical care","B494RA3",8.326,8.341,8.126,8.192,8.563,8.91,9.23,9.432,9.492,9.5,9.339,9.253,9.496,9.929,10.186,10.232,10.345,10.401,10.54,10.645,10.673,10.84,11.061,11.401,11.316,11.569,11.676,11.595,11.748,12.25,12.554,12.589,12.668,12.624,12.67,13.039,13.191,13.396,13.643,14.056,14.171,14.177,14.306,14.789,14.695,15.298,15.674,15.686,16.243,16.425,16.571,16.676,17.041,17.291,16.966,17.284,17.418,17.86,17.992,18.284,18.73,19.201,19.711,20.148,20.38,20.583,20.747,21.111,21.932,22.752,23.492,23.96,24.33,24.293,23.88,23.877,24.264,25.078,25.724,26.335,26.391,26.371,26.296,26.357,27.118,28.15,28.845,29.588,30.005,30.358,30.527,30.804,31.367,31.582,32.226,33.042,33.21,33.819,34.471,35.037,35.553,36.052,36.957,37.348,38.396,39.061,39.353,39.516,39.929,40.344,40.578,41.059,41.972,42.527,42.362,43.335,43.794,44.299,44.755,45.2,45.524,46.575,47.188,47.365,48.174,48.849,49.017,49.527,49.995,50.592,51.169,51.833,52.075,51.691,53.008,54.208,54.753,55.45,55.759,55.553,55.452,55.901,56.337,57.078,57.693,58.299,58.778,59.249,59.722,59.852,60.346,60.849,61.456,62.17,63.111,63.921,64.472,64.775,65.418,66.298,67.192,68.141,69.194,69.887,70.895,71.638,72.528,73.005,73.4,73.538,73.91,74.962,76.039,77.321,78.414,78.941,79.183,79.721,80.582,81.709,82.927,83.924,84.622,84.958,85.285,85.259,85.516,85.654,85.951,86.239,86.51,86.875,87.659,88.058,88.48,88.894,88.972,89.685,89.943,90.762,90.829,91.454,92.254,92.737,94.12,94.299,94.703,95.004,95.242,95.799,96.654,97.564,98.434,99.529,100.514,101.523,102.603,103.783,105.442,107.038,108.445,110.036,111.447,112.855,113.929,114.931,115.655,117.078,117.98,119.353,120.92,122.265,123.6,124.883
"27","19","    Recreation","A490RA3",10.888,10.712,10.4,10.062,10.187,10.287,10.145,10.274,10.357,10.015,10.018,9.832,10.033,10.083,10.034,10.044,10.369,10.139,10.079,9.946,10.251,10.285,10.247,10.427,10.678,10.529,10.322,10.136,10.502,10.585,10.677,10.785,11.577,11.27,10.83,10.811,11.317,11.473,11.95,11.866,11.312,11.586,11.133,11.303,11.373,11.082,11.294,11.391,11.67,11.917,12.116,12.36,12.538,12.682,12.738,12.839,13.022,13.207,13.356,13.711,13.711,14.261,13.945,14.132,14.35,14.452,15.073,14.606,15.189,14.962,15.062,15.455,15.572,15.497,15.53,15.714,15.76,16.149,16.479,16.912,17.063,16.59,17.241,16.126,17.123,17.717,17.983,18.398,18.64,18.948,18.722,18.92,19.415,19.517,19.648,19.691,19.85,20.12,20.266,20.908,20.91,21.16,21.417,21.855,22.555,22.966,23.188,23.635,23.925,24.389,24.984,25.558,25.756,25.678,26.144,26.671,26.997,27.443,28.393,28.806,28.806,29.285,29.938,30.578,30.772,30.829,31.31,31.379,31.956,32.3,32.749,33.141,33.568,33.487,34.084,35.21,35.738,36.878,37.728,38,38.926,39.39,39.974,40.46,41.327,42.453,43.239,43.687,44.006,44.374,45.056,45.862,46.873,47.807,48.453,49.318,49.465,49.536,49.908,50.846,51.17,51.404,51.98,52.893,54.364,56.058,57.55,58.722,59.82,60.492,61.155,61.318,62.432,63.536,63.961,64.442,63.498,63.561,63.944,64.882,67.183,68.02,68.881,70.221,71.361,72.229,73.799,73.945,74.715,75.812,77.08,77.756,79.395,81.304,82.384,83.74,83.985,84.828,86.002,86.093,87.35,87.96,87.738,88.324,90.04,90.477,91.848,92.871,93.867,95.413,97.156,97.988,98.497,99.767,100.686,101.05,102.411,102.185,102.337,102.953,103.8,104.424,104.802,106.259,106.661,108.034,108.675,110.653,112.226,112.23,113.158,113.345,114.713,114.942
"28","20","    Other","B178RA3",14.754,14.746,14.31,14.203,14.516,14.736,14.929,15.06,15.001,15.004,14.795,14.652,14.891,15.451,15.709,15.544,15.527,15.512,15.468,15.538,15.726,15.989,16.234,16.612,16.51,16.741,16.771,16.646,16.797,17.36,17.723,17.801,18.002,18.036,18.077,18.408,18.519,18.655,18.829,19.192,19.272,19.257,19.355,19.758,19.537,20.072,20.539,20.649,20.403,21.115,21.405,21.731,21.863,22.038,21.803,21.799,22.22,23.045,22.847,23.171,23.099,23.513,23.36,23.29,22.926,23.804,24.521,25.405,25.479,25.594,25.875,26.078,26.383,26.901,27.803,28.768,29.115,28.963,28.661,28.771,29.557,30.352,31.212,31.518,31.237,31.926,32.045,32.024,31.891,32.205,32.44,33.046,33.33,33.607,34.079,33.888,34.382,34.562,34.527,34.898,35.743,35.984,36.098,37.152,37.142,37.197,36.834,36.759,36.048,36.138,35.989,36.315,36.887,37.264,37.463,38.086,38.956,38.702,38.949,39.933,40.303,40.399,40.813,41.716,42.126,42.877,42.939,42.45,42.727,42.945,42.634,42.799,42.674,41.952,42.473,42.958,41.79,41.774,41.894,42.219,42.714,43.691,44.736,46.903,48.571,50.142,50.357,51.19,50.97,51.126,52.445,53.593,55.283,56.538,57.358,57.648,57.564,57.796,58.084,58.755,60.855,60.936,60.988,61.381,62.06,62.21,62.669,63.186,63.536,64.179,64.539,64.768,65.221,65.853,66.261,65.632,66.158,66.902,66.818,67.062,68.17,68.497,69.394,70.155,70.799,71.356,72.333,73.439,73.91,73.344,73.554,73.581,73.888,74.563,74.45,74.993,76.583,76.77,78.105,77.508,79.072,79.889,81.645,82.735,84.236,86.193,88.207,88.924,90.44,92.071,93.259,95.34,98.743,98.83,100.764,101.663,100.919,101.931,101.255,101.975,101.772,102.069,102.593,102.286,102.565,103.49,104.07,104.575,105.741,105.793,106.669,107.468,107.777,108.282
"29","21","Gross private domestic investment","B006RA3",9.808,9.032,8.738,10.521,11.675,12.436,12.581,11.982,10.072,8.696,9.466,8.925,11.188,12.417,13.53,15.336,13.708,14.058,12.98,11.877,12.152,11.139,11.728,12.567,12.822,12.864,12.563,11.579,11.475,11.439,12.024,12.573,13.921,14.799,15.007,15.328,14.813,14.644,14.477,14.316,14.075,14.064,14.398,13.179,12.21,11.909,12.897,14.089,14.865,16.121,14.989,15.491,17.198,15.443,15.348,13.458,13.792,14.828,16.075,16.349,17.322,17.152,17.454,16.861,17.802,18.059,18.652,18.889,19.659,19.573,20.034,20.187,22.229,22.222,23.017,23.131,25.075,24.622,24.381,24.501,23.822,22.808,23.465,23.971,24.498,25.486,24.656,24.909,26.55,26.34,26.953,25.509,24.704,24.787,25.207,23.735,26.827,27.65,28.02,27.156,29.065,30.85,31.282,31.434,33.441,34.997,33.628,34.931,32.668,32.538,30.715,30.994,25.571,24.645,26.73,27.499,30.334,31.65,31.694,31.871,33.474,36.04,38.019,36.988,37.687,40.293,41.524,42.442,42.474,42.356,41.521,40.752,40.43,36.8,34.011,37.487,41.259,39.312,41.759,40.13,35.936,35.895,35.484,32.357,33.497,36.746,39.191,43.254,47.832,49.437,50.607,49.805,48.123,48.966,48.431,50.332,50.221,49.104,47.562,47.631,49.096,49.164,49.212,53.049,50.059,51.277,51.607,52.293,54.295,53.664,53.034,52.484,53.009,53.015,51.766,48.505,46.516,46.298,47.45,49.248,48.161,51.324,51.869,53.538,54.76,55.189,55.19,58.042,60.538,64.074,62.946,65.873,66.528,64.752,64.137,65.944,66.855,70.298,73.804,73.533,75.077,80.073,81.679,83.017,87.345,85.955,87.919,90.065,92.577,92.646,94.923,98.442,96.691,103.06,100.411,99.838,96.245,94.35,91.768,86.051,88.835,89.255,90.517,90.29,90.194,90.798,94.533,97.257,99.632,104.469,105.644,107.398,109.645,108.615
"30","22","  Fixed investment","B007RA3",10.594,10.314,10.663,11.599,11.991,11.979,11.851,11.717,11.044,10.696,10.67,11.048,11.753,12.841,13.8,13.513,13.008,12.412,12.212,12.086,12.228,12.397,11.636,12.521,13.026,13.096,13.106,12.965,12.759,12.969,13.487,13.789,14.347,14.963,15.293,15.306,14.981,15.101,15.078,14.976,14.974,14.83,14.979,14.704,13.795,13.404,13.595,14.432,15.32,15.817,16.01,15.796,16.347,16.017,15.589,15.527,15.331,15.557,15.929,16.464,16.817,17.326,17.466,17.381,17.583,18.398,18.875,19.478,20.219,20.165,20.488,20.638,21.579,22.182,22.781,23.292,24.166,23.851,23.843,23.121,22.576,23.155,23.383,24.112,24.699,24.571,24.93,25.539,26.345,26.462,26.907,26.232,26.134,25.555,26.007,26.026,26.614,27.708,28.236,29.018,30.312,30.852,31.187,32.631,34.018,34.31,34.209,33.865,33.067,32.592,32.019,30.207,28.354,27.958,28.659,29.192,30.407,30.923,31.244,32.849,34.037,35.935,36.406,37.075,37.377,40.094,41.24,42.111,42.443,42.108,42.87,42.471,41.87,38.227,38.601,40.133,40.425,40.692,40.696,40.55,39.307,37.94,36.883,36.82,37.632,39.081,41.414,43.836,45.21,47.074,48.085,48.955,49.324,49.946,49.543,50.481,50.555,50.433,50.147,50.476,49.483,50.368,51.44,51.438,51.365,52.373,52.574,53.098,53.628,53.702,54.639,53.741,54.408,53.15,52.575,51.078,49.33,49.256,49.419,49.51,50.026,51.994,52.79,54.439,54.742,55.968,56.958,59.483,60.252,61.704,62.324,64.036,65.493,65.249,66.117,67.499,69.199,71.452,73.104,74.317,75.763,77.395,80.383,81.086,83.53,86.035,87.262,89.8,91.189,93.426,95.212,95.707,98.339,100.6,100.443,100.619,99.953,97.709,96.603,93.924,92.405,92.076,91.914,91.593,91.779,93.732,97.023,98.652,100.323,103.905,106.027,107.88,109.722,112.252
"31","23","    Nonresidential","B008RA3",8.337,8.206,8.044,8.301,8.818,8.509,8.53,8.75,8.334,8.008,7.611,7.479,7.693,8.38,9.132,9.118,8.881,9.004,9.106,8.918,8.952,9.052,8.234,8.975,9.469,9.533,9.749,9.631,9.343,9.245,9.498,9.47,9.64,10.247,10.77,11.065,10.859,11.029,11.119,11.093,11.172,11.143,11.377,11.081,10.28,9.837,9.689,10.05,10.365,10.682,11.02,10.976,11.398,11.574,11.286,11.226,10.988,11.216,11.307,11.686,11.959,12.315,12.474,12.389,12.369,12.764,13.15,13.581,13.918,14.273,14.758,15.066,16.079,16.684,17.313,18.048,18.837,19.128,19.361,19.312,18.901,18.835,18.741,19.125,19.732,19.388,19.644,20.222,20.82,21.048,21.62,21.496,21.366,21.252,21.359,20.558,20.752,21.051,21.138,21.599,22.316,22.692,23.042,24.239,25.381,26.413,26.855,27.067,27.038,26.979,26.666,25.926,24.331,23.698,23.919,24.139,24.583,24.877,25.418,25.921,26.928,27.705,28.293,29.254,29.534,32.03,33.165,34.244,35.005,34.895,35.98,36.074,36.464,34.614,34.872,35.603,36.176,36.903,37.8,38.712,37.78,36.437,35.209,34.498,33.86,34.269,35.813,38.127,39.371,41.334,42.704,43.742,44.24,44.872,44.185,44.945,44.331,43.218,42.584,43.017,41.842,42.844,44.224,44.125,44.46,45.556,45.793,46.272,47.056,47.726,49.097,48.375,49.016,48.169,48.475,47.549,46.323,45.879,45.444,45.203,45.003,46.79,47.742,49.182,49.48,50.797,51.36,53.512,54.047,55.132,56.165,58.651,61.045,61.47,61.888,63.136,64.697,66.558,68.77,70.618,72.413,74.211,78.005,78.65,81.295,83.804,84.605,87.224,88.792,91.499,93.697,93.931,97.126,100.526,101.066,101.282,100.192,96.6,94.908,91.569,88.489,87.116,86.687,85.584,85.353,87.082,89.423,90.394,92.126,95.095,97.79,100.246,101.633,103.806
"32","24","      Structures","B009RA3",24.33,24.202,24.361,23.999,24.501,25.177,25.934,26.322,25.807,25.216,24.101,23.428,24.564,25.794,27.285,27.983,28.068,29.022,28.849,27.746,27.774,27.98,28.213,29.285,30.177,30.749,30.921,31.475,31.783,32.012,31.944,31.805,32.801,33.61,34.72,35.572,36.676,37.985,38.232,38.146,37.815,37.788,37.792,37.578,36.868,35.65,34.833,35.37,35.247,36.332,37.41,37.132,38.677,39.133,39.214,40.708,40.524,39.843,39.853,39.645,40.383,41.85,42.956,41.912,40.446,42.351,42.648,43.51,44.633,46.15,47.673,48.049,50.514,54.03,54.587,57.103,58.472,57.333,58.594,56.605,57.185,55.563,56.152,56.237,57.37,56.875,56.503,57.659,58.542,59.024,61.817,61.373,60.889,60.265,60.494,59.806,59.647,59.479,59.26,59.094,60.644,60.985,61.104,62.071,64.098,66.105,67.607,66.992,66.614,66.348,63.465,62.714,59.487,57.244,57.585,57.618,59.191,59.003,59.592,59.776,59.588,61.801,62.754,63.223,63.082,69.265,73.823,76.908,76.484,77.588,81.192,83.661,84.947,83.064,83.466,85.924,85.843,89.087,91.335,98.029,94.904,91.778,86.699,84.732,81.298,77.448,79.258,81.456,86.085,90.427,93.292,94.26,98.263,98.202,96.163,97.38,94.944,85.984,82.919,83.419,81.487,82.458,85.891,87.525,84.2,85.957,84.797,84.583,85.952,84.977,87.966,87.438,89.359,88.917,88.593,84.601,82.771,80.525,75.3,73.767,72.87,72.876,73.524,74.423,72.463,72.356,72.699,74.044,71.008,75.041,74.954,75.715,77.613,79.167,79.752,79.079,80.486,82.249,83.242,87.439,88.175,87.399,90.735,91.418,91.556,95.138,94.345,95.037,93.238,93.915,93.179,94.144,95.744,99.785,102.088,102.383,100.191,99.168,100.621,90.968,86.299,81.879,78.5,77.438,75.763,78.173,78.146,78.4,77.704,79.361,79.635,80.554,80.145,80.68
"33","25","      Equipment and software","B010RA3",5.15,5.041,4.872,5.156,5.59,5.218,5.152,5.318,4.982,4.74,4.49,4.44,4.517,5.026,5.566,5.477,5.245,5.255,5.37,5.316,5.346,5.418,4.617,5.197,5.564,5.56,5.747,5.572,5.264,5.147,5.392,5.382,5.43,5.912,6.282,6.465,6.146,6.16,6.217,6.203,6.315,6.289,6.511,6.255,5.585,5.303,5.253,5.531,5.836,6.014,6.211,6.2,6.426,6.54,6.266,6.054,5.855,6.135,6.218,6.59,6.764,6.937,6.968,7,7.138,7.3,7.627,7.935,8.127,8.294,8.58,8.828,9.507,9.684,10.214,10.625,11.218,11.627,11.702,11.889,11.426,11.554,11.394,11.754,12.204,11.931,12.223,12.644,13.121,13.284,13.498,13.432,13.365,13.332,13.407,12.7,12.91,13.23,13.348,13.84,14.355,14.691,15.032,16.129,17.026,17.809,18.049,18.367,18.391,18.368,18.494,17.819,16.624,16.3,16.482,16.71,16.938,17.279,17.762,18.268,19.368,19.849,20.328,21.286,21.61,23.3,23.782,24.444,25.347,25.036,25.608,25.28,25.487,23.775,23.992,24.374,25.033,25.259,25.855,25.633,25.158,24.214,23.778,23.338,23.267,24.453,25.871,28.092,28.636,30.055,31.076,32.081,31.882,32.621,32.224,32.862,32.626,33.094,32.96,33.363,32.387,33.355,34.276,33.836,34.887,35.809,36.323,36.928,37.569,38.56,39.554,38.813,39.166,38.255,38.687,38.437,37.368,37.319,37.921,37.962,37.918,40.039,41.033,42.556,43.346,44.954,45.558,47.855,49.204,49.588,50.865,53.725,56.208,56.351,56.723,58.438,60.024,61.892,64.4,65.608,67.669,70.157,74.055,74.685,78.055,80.236,81.522,84.736,87.352,90.702,93.848,93.846,97.587,100.778,100.723,100.912,100.21,95.683,92.82,91.831,89.335,89.13,89.855,88.739,89.097,90.549,93.852,95.117,97.851,101.364,105.087,108.201,110.376,113.274
"34","26","        Information processing equipment and software","A679RA3",0.182,0.171,0.179,0.176,0.186,0.178,0.174,0.19,0.18,0.164,0.155,0.152,0.158,0.181,0.184,0.198,0.184,0.194,0.206,0.209,0.22,0.245,0.213,0.235,0.25,0.253,0.264,0.238,0.233,0.22,0.225,0.226,0.219,0.243,0.281,0.298,0.28,0.316,0.301,0.308,0.314,0.343,0.371,0.335,0.314,0.293,0.3,0.312,0.317,0.323,0.331,0.366,0.386,0.413,0.406,0.435,0.411,0.452,0.46,0.473,0.507,0.496,0.487,0.505,0.543,0.583,0.615,0.626,0.658,0.669,0.669,0.716,0.73,0.781,0.825,0.884,0.959,1.036,1.097,1.152,1.123,1.134,1.114,1.18,1.205,1.192,1.226,1.221,1.316,1.431,1.535,1.609,1.663,1.69,1.636,1.655,1.631,1.759,1.806,1.89,1.986,1.993,2.044,2.109,2.236,2.342,2.419,2.579,2.636,2.637,2.817,2.899,2.816,2.725,2.702,2.707,2.799,3.001,3.195,3.451,3.497,3.679,3.826,4.087,4.335,4.767,5.052,5.332,5.582,5.689,5.988,6.318,6.593,6.699,7.059,7.18,7.513,7.752,8.091,8.503,8.817,8.481,8.533,8.354,8.978,9.624,10.139,11.063,11.457,12.315,12.965,13.757,13.673,14.097,13.946,14.492,14.782,15.235,15.094,15.687,15.491,15.866,16.601,16.61,17.064,17.865,18.284,18.609,19.271,20.275,20.961,21.292,21.603,21.515,21.25,21.804,21.587,22.216,22.973,23.767,24.298,25.647,27.036,27.511,28.243,28.823,30.32,30.872,31.859,32.647,33.596,35.079,36.706,38.535,39.373,41.664,43.871,45.783,47.967,49.611,52.741,55.75,60.013,62.336,66.267,69.001,71.037,75.001,79.007,84.631,88.273,88.928,94.714,99.588,101.315,104.384,103.859,98.677,95.661,94.463,93.015,93.475,94.994,92.654,93.965,95.232,100.286,103.772,107.951,110.636,112.898,115.408,120.857,125.013
"35","27","          Computers and peripheral equipment","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.006,0.007,0.006,0.007,0.007,0.008,0.008,0.008,0.009,0.011,0.012,0.013,0.015,0.014,0.013,0.013,0.013,0.018,0.02,0.023,0.029,0.028,0.03,0.028,0.029,0.031,0.03,0.035,0.035,0.034,0.048,0.049,0.046,0.04,0.038,0.042,0.047,0.059,0.064,0.073,0.075,0.084,0.093,0.109,0.126,0.164,0.194,0.227,0.245,0.267,0.3,0.343,0.354,0.414,0.507,0.549,0.617,0.64,0.713,0.867,0.935,0.832,0.862,0.865,1.085,1.259,1.437,1.524,1.76,2.022,2.311,2.582,2.525,2.772,2.659,2.934,3.106,3.256,3.026,3.132,3.582,3.827,4.149,4.177,4.214,4.457,4.619,4.688,4.986,5.512,5.651,5.709,5.642,5.391,5.112,5.459,5.294,5.485,5.992,6.693,6.805,7.913,8.585,8.793,9.543,9.825,10.792,10.974,11.684,12.233,12.858,14.34,15.888,18.425,19.886,22.883,24.769,26.644,29.025,30.86,34.331,38.337,43.303,45.425,51.75,56.34,59.307,65.555,74.398,83.243,86.736,85.537,90.503,100.704,103.683,105.111,109.491,103.325,95.349,101.429,106.402,104.156,110.039,108.699,111.441,115.738,124.428,131.774,140.673,148.867,156.641,170.366,187.116,200.445
"36","28","          Software \1\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.002,0.004,0.012,0.03,0.048,0.061,0.068,0.065,0.067,0.068,0.076,0.079,0.086,0.097,0.118,0.141,0.179,0.215,0.239,0.244,0.244,0.238,0.233,0.259,0.284,0.323,0.366,0.407,0.451,0.496,0.546,0.555,0.56,0.551,0.565,0.586,0.612,0.638,0.669,0.717,0.795,0.887,0.974,1.045,1.097,1.095,1.064,1.055,1.108,1.166,1.246,1.293,1.333,1.373,1.368,1.424,1.485,1.557,1.639,1.678,1.704,1.81,1.946,2.107,2.116,2.08,2.068,2.108,2.228,2.328,2.429,2.355,2.365,2.358,2.397,2.526,2.702,2.891,3.109,3.243,3.415,3.576,3.749,3.869,4.007,4.205,4.418,4.552,4.675,4.851,5.101,5.443,5.58,5.583,5.538,5.856,6.258,6.794,7.194,7.55,7.927,8.47,9.053,9.384,9.76,9.855,10.199,10.478,10.894,11.104,11.374,11.748,12.236,12.748,13.257,13.796,14.442,15.239,16.113,17.259,18.514,19.897,21.121,21.866,22.595,22.391,23.652,24.418,25.209,25.843,27.035,28.219,29.51,30.659,32.041,32.659,33.251,34.055,34.693,35.738,36.579,37.455,38.117,38.671,39.832,41.271,42.9,44.631,46.498,48.48,51.251,56.637,59.659,63.45,67.39,69.293,71.663,74.648,78.251,82.241,87.697,92.096,94.93,97.302,99.775,100.043,102.88,102.979,98.804,97.787,95.052,94.431,96.641,98.415,95.756,96.397,97.051,101.555,104.005,105.291,106.086,107.845,109.464,113.411,118.726
"37","29","          Other","A937RA3",2.326,2.187,2.283,2.242,2.375,2.268,2.219,2.425,2.298,2.088,1.976,1.937,2.012,2.305,2.348,2.522,2.343,2.477,2.631,2.666,2.809,3.12,2.717,3.002,3.189,3.227,3.37,3.038,2.976,2.813,2.869,2.888,2.793,3.096,3.582,3.798,3.57,4.029,3.836,3.927,4.003,4.376,4.737,4.274,3.999,3.738,3.829,3.968,4.043,4.112,4.189,4.562,4.676,4.956,4.765,5.036,4.753,5.25,5.24,5.386,5.747,5.6,5.337,5.321,5.484,5.68,5.832,5.828,6.059,6.153,6.133,6.592,6.599,6.918,7.241,7.449,7.931,8.277,8.452,8.562,8.275,8.318,8.172,8.615,8.764,8.459,8.566,8.465,9.095,9.692,10.267,10.625,10.59,10.81,10.618,10.738,10.513,10.865,10.84,11.049,11.085,11.209,11.415,12.162,13.025,13.585,14.146,14.853,15.209,15.245,15.36,15.701,15.056,14.737,14.731,14.55,14.859,15.505,16.539,17.779,18.159,19.065,19.738,20.848,21.629,23.023,23.736,24.377,25.416,25.335,26.262,27.146,28.422,27.735,28.06,27.834,28.663,29.52,30.176,30.129,30.625,29.857,29.855,28.965,29.522,30.67,30.903,34.296,33.931,35.667,36.004,37.187,36.792,36.749,36.658,37.14,37.169,37.915,38.256,40.01,36.465,36.382,37.499,36.846,38.003,39.61,39.806,39.912,40.192,40.915,41.712,41.582,42.309,42.102,42.212,41.934,40.857,41.834,42.522,42.315,42.841,43.544,45.685,45.628,45.874,46.704,48.974,49.883,50.803,51.575,52.701,54.161,56.105,56.612,55.673,56.813,59.465,61.138,62.928,63.19,63.626,65.314,68.978,70.022,73.412,74.861,75.332,77.933,78.836,82.603,85.662,85.441,94.658,98.784,101.198,105.36,101.921,96.262,93.554,90.649,85.71,85.572,85.08,82.657,84.057,84.784,88.984,92.036,97.204,99.719,100.55,100.162,103.28,103.42
