"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"11","2","Durable goods","B003RZ2",-2.08,-1.49,-2.27,-0.14,1.17,1.79,2.08,0.55,-1.93,1.66,1.52,1.76,-4.75,-0.96,-0.58,0.8,5.89,2.11,0.83,1.08,3.08,-1.42,-0.38,1.64,-0.05,2.94,-0.61,0.13,-1.12,1.53,0.27,-0.49,1.42,1.25,1.24,1.73,1.19,0.22,1.52,0.51,-0.46,1.31,1.73,1.45,-0.98,0,1.65,1.27,0.74,-0.05,-1.05,0.15,-0.01,1.67,1.77,1.3,1.28,0.24,0.81,0.29,-0.04,-0.69,0.66,0.89,0.99,0.54,0.95,1.05,1.39,1.46,0.93,0.54,0.88,0.81,0.72
"12","3","  Motor vehicles and parts","A165RZ2",-1.32,-0.72,-1,0.38,0.58,1.05,0.82,0.06,-1.37,0.95,0.87,0.55,-3.78,0.02,-0.06,0.17,2.17,1.28,0.53,1.3,1.72,-1.1,-0.6,1.24,-0.27,1.99,-1.03,0.27,-1.06,0.99,0.36,-0.59,0.98,0.74,0.37,1.01,0.12,-0.15,0.96,0.26,-0.62,1.05,0.89,0.6,-1.11,0.03,1.12,0.66,0.28,-0.43,-0.78,0.11,0.13,0.95,0.93,0.79,0.48,-0.25,0.35,-0.01,-0.09,-0.64,0.39,0.3,0.35,-0.08,0.26,0.36,0.61,0.56,0.22,0.28,0.33,0.28,0.09
"13","4","  Furniture and household equipment","A166RZ2",-0.6,-0.46,-0.92,-0.36,0.37,0.57,1.09,0.23,-0.52,0.62,0.55,0.94,-1.05,-1.28,-0.57,0.37,3.12,0.94,0.28,-0.11,1.26,-0.36,0.11,0.32,0.13,0.77,0.29,-0.18,-0.09,0.43,-0.07,0.1,0.33,0.4,0.68,0.53,0.71,0.27,0.38,0.15,0.06,0.22,0.57,0.59,0.06,-0.13,0.35,0.44,0.31,0.29,-0.09,0.01,-0.1,0.6,0.55,0.41,0.58,0.35,0.33,0.25,0.03,0.05,0.23,0.43,0.47,0.46,0.52,0.53,0.59,0.66,0.52,0.27,0.42,0.37,0.49
"14","5","  Other","A167RZ2",-0.16,-0.31,-0.35,-0.17,0.22,0.17,0.17,0.26,-0.04,0.09,0.1,0.27,0.08,0.29,0.05,0.26,0.6,-0.11,0.02,-0.1,0.1,0.04,0.1,0.08,0.09,0.18,0.13,0.04,0.03,0.1,-0.02,-0.01,0.11,0.11,0.2,0.19,0.35,0.09,0.18,0.09,0.11,0.03,0.27,0.26,0.07,0.09,0.18,0.17,0.16,0.09,-0.18,0.03,-0.03,0.12,0.3,0.11,0.22,0.15,0.13,0.05,0.03,-0.1,0.04,0.16,0.17,0.15,0.18,0.15,0.19,0.24,0.19,-0.01,0.13,0.16,0.14
"15","6","Nondurable goods","B004RZ2",-2.27,-0.23,-3.84,-0.71,4.26,3.12,6.13,1.89,0.72,2.73,2.33,3.53,0.93,1.91,2.32,4.25,3.3,-1.58,0.19,0.84,1.65,1.35,2.07,1.63,0.63,2.4,1.64,0.89,0.46,1.97,0.7,0.85,1.44,0.94,2.15,2.31,2.38,0.68,1.95,1.12,1,0.75,1.79,1.32,-0.83,0.61,1.97,0.96,1.45,1.04,-0.06,0.47,0.37,1.25,1.43,0.96,1.21,0.79,1.06,0.9,0.51,-0.08,0.64,0.83,1.06,0.65,0.76,0.79,1.16,1.32,1.09,0.58,0.72,0.9,1.34
"16","7","  Food","A168RZ2",-0.42,0.12,-1.46,0.36,2.68,1.59,3.96,1.4,0.55,0.82,1.3,1.49,0.67,0.86,2.37,2.52,1.62,-1.21,-0.42,0.22,0.55,0.78,0.96,1.08,0.53,1.17,0.84,0.53,0,0.92,0.19,0.28,0.31,0.27,0.92,1.27,0.95,0.29,1.07,0.56,0.68,0.21,0.69,0.07,-0.34,0.54,1.11,0.4,0.22,0.4,0.17,0.02,0.31,0.55,0.4,0.43,0.39,0.23,0.65,0.3,0.45,-0.02,0.1,0.28,0.38,0.1,0.14,0.19,0.35,0.46,0.49,0.22,0.21,0.36,0.68
"17","8","  Clothing and shoes","A169RZ2",-1.22,-0.16,-1.23,-1.09,0.58,0.89,0.95,-0.1,0.15,0.83,0.35,0.8,0.48,1.14,-0.45,0.46,0.32,-0.56,0.11,0.05,0.27,-0.04,0.54,0.1,0.02,0.45,0.24,-0.06,0.08,0.43,0.07,0.15,0.36,0.14,0.61,0.32,0.52,0.04,0.33,0.14,-0.1,0.35,0.49,0.51,-0.1,0.24,0.32,0.36,0.64,0.33,0.15,0.36,0.09,0.42,0.48,0.26,0.44,0.2,0.17,0.31,-0.04,0.02,0.29,0.21,0.27,0.2,0.24,0.14,0.32,0.34,0.24,0.09,0.2,0.2,0.25
"18","9","  Gasoline, fuel oil, and other energy goods","A173RZ2",-0.03,-0.11,-0.31,0.13,0.29,0.28,0.44,0.21,-0.06,0.38,0.35,0.43,-0.72,-0.79,0.02,0.52,1.34,0.24,0.17,0.01,0.24,0.24,0.19,0.12,0.13,0.38,0.21,0.12,0.22,0.12,0.07,-0.02,0.15,0.16,0.22,0.2,0.24,0.11,0.18,0.18,0.15,0.14,0.2,0.23,-0.37,0.1,0.25,0.09,0.08,-0.12,-0.5,-0.07,0,0.1,0.12,0.08,0.17,0.07,0.08,0.05,-0.06,-0.03,0.12,0.07,0.05,0.05,0.05,0.05,0.09,0.08,-0.02,0.03,0.05,0.02,0.04
"19","10","    Gasoline and oil","C170RZ2",0.02,0.1,-0.22,0.01,0.21,0.19,0.25,0.24,0.09,0.22,0.19,0.37,-0.78,-0.83,0.04,0.39,1.2,0.15,0.16,0.24,0.11,0.24,0.24,0.17,0.1,0.29,0.2,0.13,0.17,0.18,0.12,0.04,0.15,0.11,0.18,0.16,0.21,0.11,0.23,0.22,0.21,0.16,0.13,0.17,-0.18,0.11,0.15,0.11,0.08,-0.05,-0.27,0.08,0.06,0.1,0.12,0.07,0.15,0.07,0.07,0.06,-0.03,-0.03,0.11,0.07,0.03,0.05,0.05,0.08,0.1,0.08,-0.01,0.04,0.05,0.02,0.04
"20","11","    Fuel oil and coal","A171RZ2",-0.05,-0.21,-0.09,0.12,0.08,0.09,0.19,-0.02,-0.15,0.17,0.16,0.07,0.06,0.04,-0.02,0.13,0.14,0.09,0.01,-0.23,0.13,0,-0.05,-0.05,0.03,0.09,0,-0.01,0.05,-0.06,-0.05,-0.06,0,0.05,0.04,0.05,0.03,0,-0.05,-0.04,-0.05,-0.02,0.06,0.06,-0.19,-0.02,0.1,-0.03,-0.01,-0.06,-0.23,-0.15,-0.06,0,0,0.01,0.02,-0.01,0.01,-0.01,-0.03,0,0.01,0.01,0.01,0.01,0,-0.02,-0.01,0,-0.01,-0.01,0.01,0,0
"21","12","  Other","A172RZ2",-0.6,-0.08,-0.84,-0.11,0.71,0.36,0.78,0.38,0.08,0.68,0.33,0.81,0.51,0.7,0.39,0.75,0.02,-0.05,0.32,0.56,0.6,0.37,0.37,0.32,-0.05,0.4,0.35,0.29,0.16,0.5,0.37,0.43,0.61,0.38,0.4,0.51,0.67,0.24,0.37,0.24,0.27,0.06,0.42,0.52,-0.02,-0.27,0.29,0.11,0.52,0.42,0.12,0.16,-0.04,0.17,0.43,0.18,0.21,0.29,0.16,0.24,0.16,-0.04,0.14,0.26,0.36,0.3,0.34,0.41,0.41,0.44,0.38,0.24,0.26,0.32,0.37
"22","13","Services","B005RZ2",-0.99,-1.34,-2.76,-1.32,1.62,1.24,1.91,1.26,-0.41,1.17,1.36,1.85,1.54,1.91,1.17,1.14,3.02,1.32,1.19,0.83,1.66,1.67,1.48,1.49,1.45,1.95,1.85,1.46,1.45,2.1,1.78,1.71,2.09,1.93,2.6,2.29,2.12,2.08,2.27,2.08,1.76,1.76,2.6,2.14,1.05,1.69,1.89,2.01,2.2,1.44,0.83,0.81,1.05,2.8,2.11,2.93,1.56,2.3,2.18,1.62,1.57,0.94,1.97,1.62,1.7,1.51,1.71,1.94,2.49,2.32,2.65,1.41,1.14,1.21,1.8
"23","14","  Housing","A174RZ2",-0.19,-0.18,-0.33,-0.34,0.92,0.14,0.24,0.23,0.2,0.34,0.43,0.76,0.6,0.49,0.45,0.26,0.89,0.82,0.54,0.64,0.76,0.81,0.76,0.67,0.63,0.68,0.66,0.69,0.64,0.77,0.74,0.7,0.85,0.7,0.73,0.83,0.67,0.65,0.73,0.76,0.53,0.64,0.85,0.73,0.73,0.42,0.44,0.35,0.69,0.57,0.44,0.38,0.06,0.32,0.65,0.6,0.41,0.48,0.49,0.4,0.38,0.35,0.24,0.17,0.5,0.32,0.24,0.36,0.44,0.48,0.43,0.41,0.12,0.09,0.43
"24","15","  Household operation","A186RZ2",0.01,-0.2,-0.46,-0.27,0.41,0.26,0.38,0.31,-0.07,0.32,0.32,0.16,0.32,-0.05,0.17,0.24,0.17,0.33,0.22,0.18,0.42,0.31,0.15,0.24,0.2,0.52,0.38,0.22,0.2,0.25,0.29,0.22,0.3,0.26,0.3,0.3,0.3,0.29,0.25,0.3,0.21,0.1,0.31,0.29,0.06,0.28,0.26,0.33,0.34,0.19,0.16,-0.06,0.05,0.22,0.18,0.28,0.11,0.29,0.28,0.25,0.06,0.08,0.17,0.29,0.25,0.19,0.28,0.24,0.3,0.24,0.28,0.01,0.03,0.07,0.1
"25","16","    Electricity and gas","A175RZ2",0.12,0.07,0,-0.09,0.1,0.11,0.12,0.12,0.07,0.1,0.16,0.09,0.12,0.07,0.1,0.11,0.2,0.18,0.15,0.13,0.22,0.2,0.16,0.14,0.19,0.16,0.19,0.14,0.13,0.14,0.13,0.13,0.18,0.12,0.14,0.12,0.13,0.13,0.14,0.14,0.11,0.07,0.14,0.07,0.03,0.15,0.1,0.14,0.13,0.02,0.09,-0.06,0.04,0.11,0.02,0.09,-0.04,0.11,0.15,0.06,-0.05,0.08,-0.01,0.14,0.04,0.03,0.09,-0.02,0.05,0.02,0.08,-0.04,0.06,0.03,0.04
"26","17","    Other household operation","A176RZ2",-0.11,-0.27,-0.47,-0.18,0.32,0.15,0.26,0.19,-0.13,0.22,0.16,0.07,0.19,-0.11,0.07,0.13,-0.03,0.15,0.07,0.05,0.2,0.11,-0.01,0.1,0.01,0.36,0.19,0.08,0.07,0.11,0.16,0.09,0.12,0.14,0.16,0.18,0.17,0.16,0.12,0.16,0.1,0.03,0.17,0.22,0.03,0.13,0.15,0.19,0.21,0.17,0.08,0,0.01,0.12,0.16,0.18,0.15,0.18,0.14,0.19,0.1,0,0.18,0.16,0.21,0.16,0.19,0.26,0.24,0.22,0.21,0.05,-0.03,0.04,0.07
"27","18","  Transportation","A177RZ2",-0.39,-0.37,-0.38,-0.01,0.19,0.09,0.34,0.16,-0.13,0.23,0.2,0.33,0.23,0.66,0.29,0.26,0.6,-0.04,0.01,-0.13,-0.04,0.28,0.04,0.1,-0.05,0.14,0.13,0.06,-0.05,0.14,0.11,0.04,0.13,0.15,0.17,0.14,0.19,0.18,0.21,0.19,0.1,0.13,0.24,0.11,0.03,0.03,0.11,0.26,0.12,0.11,-0.19,-0.11,-0.05,0.23,0.34,0.34,0.15,0.15,0.2,0.06,0,-0.18,0.15,0.16,0.3,0.25,0.28,0.27,0.15,0.19,0.12,-0.05,-0.11,0,0.05
"28","19","  Medical care","A494RZ2",-0.07,-0.05,-0.21,-0.29,0.1,0.04,0.23,0.11,-0.05,0.19,0.11,0.18,0.17,0.04,0.23,0.06,0.5,0.23,0.33,0.15,0.23,0.19,0.18,0.2,0.27,0.17,0.28,0.26,0.32,0.37,0.21,0.23,0.49,0.38,0.68,0.3,0.34,0.26,0.55,0.51,0.41,0.52,0.58,0.6,0.3,0.46,0.43,0.46,0.47,0.41,0.37,0.53,0.17,0.49,0.35,0.5,0.5,0.64,0.64,0.36,0.7,0.49,0.73,0.25,0.18,0.35,0.29,0.35,0.47,0.3,0.59,0.72,0.91,0.7,0.69
"29","20","  Recreation","A490RZ2",-0.02,-0.06,-0.49,-0.11,0.19,0.14,0.22,0.15,-0.13,0.07,0.19,0.13,0.18,0.16,-0.04,0.15,0.39,-0.13,-0.06,-0.04,0,0.02,0.03,0.02,0.04,0.09,0.1,-0.06,-0.01,0.13,0.11,0.1,0.11,0.1,0.08,0.06,0.1,0.06,0.14,0.13,0.09,0.09,0.12,0.19,0.16,0.13,0.17,0.15,0.12,0.11,0.11,0.22,0.18,0.21,0.14,0.2,0.11,0.11,0.27,0.22,0.15,0.02,0.24,0.22,0.17,0.25,0.16,0.12,0.15,0.21,0.16,0.1,0.09,0.14,0.16
"30","21","  Other","A178RZ2",-0.33,-0.49,-0.9,-0.31,-0.18,0.57,0.5,0.31,-0.24,0.02,0.11,0.29,0.03,0.6,0.06,0.17,0.47,0.11,0.16,0.03,0.29,0.06,0.31,0.26,0.36,0.35,0.31,0.29,0.36,0.44,0.31,0.41,0.21,0.35,0.64,0.65,0.52,0.62,0.39,0.19,0.43,0.27,0.51,0.22,-0.24,0.38,0.48,0.44,0.46,0.04,-0.06,-0.15,0.62,1.33,0.45,1.02,0.28,0.62,0.3,0.33,0.28,0.18,0.43,0.54,0.29,0.15,0.47,0.6,0.98,0.91,1.07,0.21,0.09,0.2,0.37
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","  Energy goods and services \1\","BA02RZ2",0.1,-0.04,-0.31,0.04,0.39,0.39,0.56,0.33,0,0.48,0.52,0.53,-0.6,-0.72,0.12,0.63,1.54,0.42,0.32,0.14,0.46,0.44,0.35,0.26,0.32,0.54,0.39,0.26,0.35,0.26,0.2,0.11,0.32,0.28,0.36,0.32,0.37,0.24,0.32,0.32,0.26,0.21,0.34,0.3,-0.34,0.25,0.36,0.23,0.21,-0.09,-0.41,-0.13,0.05,0.2,0.14,0.17,0.13,0.17,0.23,0.11,-0.11,0.05,0.1,0.21,0.09,0.08,0.14,0.04,0.14,0.1,0.06,-0.01,0.11,0.04,0.08
"33","23","  Personal consumption expenditures excluding food and energy","BA03RZ2",-5.02,-3.14,-7.11,-2.58,3.99,4.16,5.59,1.97,-2.18,4.26,3.39,5.12,-2.35,2.72,0.43,3.03,9.04,2.64,2.31,2.4,5.39,0.37,1.86,3.4,1.18,5.58,1.65,1.67,0.45,4.41,2.36,1.67,4.31,3.58,4.72,4.73,4.36,2.45,4.35,2.84,1.37,3.4,5.1,4.54,-0.08,1.51,4.05,3.6,3.97,2.13,-0.04,1.53,1.05,4.96,4.76,4.59,3.53,2.93,3.17,2.41,1.69,0.14,3.08,2.85,3.28,2.52,3.15,3.56,4.55,4.54,4.12,2.32,2.41,2.51,3.1
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Consists of gasoline, fuel oil, and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
