"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41"
"34","27","  Industrial supplies and materials, except petroleum and products","A649RC1",9.9,12,11.7,12.2,13.6,16,19.2,27,23.6,28.5,33.4,39.3,45,47.3,52,45.4,51.1,62.6,59.2,62.5,66.1,76.6,78.8,78.2,75.6,82.4,88.7,105,119.9,125.2,135.3,142.5,147.9,172.8,164.8,158.4,174.4,225.1
"35","28","    Durable goods","A820RC1",6,7.6,7.1,7.5,8.3,9.9,12.1,17.1,14.1,16.3,19.9,23.6,26.7,26.5,28.4,22.3,26.3,32.8,30.5,33.4,34,39.6,40.2,38.5,35.7,39.2,43.1,53.5,59.8,63.1,69.2,75.8,78.8,88.4,80,80.9,83.8,119.2
"36","29","    Nondurable goods","B696RC1",3.9,4.4,4.5,4.8,5.3,6.1,7,9.9,9.5,12.2,13.5,15.7,18.3,20.8,23.7,23.1,24.8,29.8,28.7,29.1,32.1,37,38.6,39.7,40,43.2,45.6,51.4,60.2,62.1,66.2,66.7,69.1,84.4,84.8,77.5,90.6,105.9
"37","30","  Petroleum and products","B648RC1",2.1,2.4,2.6,2.9,3.7,4.7,8.4,26.6,27,34.6,45,42.6,60.4,79.5,78.4,62,55.1,58.1,51.4,34.3,42.9,39.6,50.9,62.3,51.7,51.6,51.5,51.3,56,72.7,71.7,50.6,67.8,120.2,103.6,103.5,133.1,180.5
"38","31","  Capital goods, except automotive","A650RC1",2.5,2.8,3.4,4,4.3,5.9,8.3,9.8,10.2,12.3,14,19.3,24.6,31.6,37.1,38.4,43.7,60.4,61.3,72,85.1,102.2,112.4,116.3,121,134.6,152.9,185,222.2,228.5,253.4,269.4,295.7,347,298,283.3,295.8,343.5
"39","32","    Civilian aircraft, engines, and parts","B932RC1",0.1,0.2,0.2,0.2,0.2,0.5,0.6,0.6,0.5,0.4,0.6,0.8,1.4,3.1,3.9,3.5,3.2,3.7,5.3,6.1,6.6,7.9,9.4,10.5,11.7,12.6,11.3,11.3,10.7,12.7,16.6,21.8,23.8,26.4,31.4,25.5,24.1,24.3
"40","33","    Computers, peripherals, and parts","B852RC1",0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.7,1,1.2,1.5,1.9,2.7,5.5,8.3,8.4,11,14.8,18.4,21.4,22.9,26,31.7,38,46.2,56.3,61.5,70.2,72.5,81.5,89.8,74,75.2,76.5,88.6
"41","34","    Other","B853RC1",2.2,2.6,3.1,3.6,3.9,5.2,7.3,8.8,9.2,11.3,12.7,17.5,22,27,31.3,32.2,35,48.4,47.6,54.9,63.7,76,81.6,82.8,83.2,90.4,103.5,127.6,155.2,154.3,166.6,175.2,190.5,230.9,192.6,182.7,195.2,230.5
"42","35","  Automotive vehicles, engines, and parts","B651RC1",2.4,4,5.1,5.7,7.6,9,10.7,12.4,12.1,16.8,19.4,25,26.6,28.3,31,34.3,43,56.5,64.9,78.1,85.2,87.9,87.2,88.4,85.7,91.7,102.4,118.1,123.6,128.7,139.5,148.7,179,195.9,189.8,203.7,210.2,228.2
"43","36","  Consumer goods, except automotive","A652RC1",4.2,5.4,6.5,7.4,8.4,11.1,12.9,14.4,13.2,17.2,21.8,29.4,31.3,34.3,38.4,39.7,47.3,61.1,66.3,79.4,88.8,96.4,103.6,104.9,107.6,122.4,133.7,145.9,159.4,171.9,194.1,217.1,242,282,284.5,308,334,373.1
"44","37","    Durable goods","B697RC1",2.6,3.3,4,4.4,5,6.9,8.1,9.2,7.7,9.6,13.4,18,19.1,21.1,23.4,23.4,27.4,34.9,38.3,45.6,49,52.8,57,55.7,57,64,70.3,77.3,83.8,91,100.4,112.9,126.5,149.5,146.6,160.6,171.1,197.6
"45","38","    Nondurable goods","B698RC1",1.6,2,2.5,3,3.3,4.2,4.8,5.2,5.5,7.6,8.4,11.3,12.2,13.2,15,16.2,19.8,26.2,28,33.7,39.8,43.6,46.6,49.2,50.7,58.4,63.4,68.6,75.6,80.9,93.7,104.2,115.6,132.5,137.9,147.3,162.9,175.4
"46","39","  Other","A653RC1",2,2.1,2.3,2.5,2.7,3,3.3,3.7,3.3,3.8,5.1,6,6.8,9.1,12.3,13.3,13.6,15.8,18.3,19.5,21.8,24.3,26.9,31.7,32.9,34.6,35.8,40.6,43.1,44.7,51.6,59.3,69.5,79.6,80.7,82.7,80.6,83.4
"47","40","Imports of services \1\","B656RC1",12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,83.3,94.3,102.4,106.7,122.3,123.6,123.6,128.1,137.7,146.1,157.4,171.5,186.9,206.3,232.3,231.9,241,262.6,301.9
"48","41","  Direct defense expenditures","B752RC1",4.4,4.5,4.9,4.9,4.8,4.8,4.6,5,4.8,4.9,5.8,7.4,8.3,10.9,11.6,12.5,13.1,12.5,13.1,13.7,15,15.6,15.3,17.5,16.4,13.8,12.1,10.2,10,11.1,11.7,12.2,13.3,13.5,14.8,19.1,25.3,29.3
"49","42","  Travel","B768RC1",3.2,3,3.4,4,4.4,5,5.5,6,6.4,6.9,7.5,8.5,9.4,10.4,11.5,12.4,13.2,22.9,24.6,25.9,29.3,32.1,33.4,37.4,35.3,38.6,40.7,43.8,44.9,48.1,52.1,56.5,59,64.7,60.2,58.7,57.4,65.6
"50","43","  Passenger fares","B769RC1",0.8,0.9,1.1,1.2,1.3,1.6,1.8,2.1,2.3,2.6,2.7,2.9,3.2,3.6,4.5,4.8,6,5.7,6.4,6.5,7.3,7.7,8.2,10.5,10,10.6,11.4,13.1,14.7,15.8,18.1,20,21.3,24.3,22.6,20,21,23.7
"51","44","  Other transportation","B770RC1",2.2,2.4,2.5,2.8,3.1,3.5,4.7,5.9,5.7,6.9,8,9.1,10.9,11.8,12.5,11.7,12.2,14.8,15.6,17.8,19,20.9,22.2,25,25,23.8,24.5,26,27,27.4,29,30.4,34.1,41.4,38.7,38.4,44.7,54.2
"52","45","  Royalties and license fees","B908RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,1,0.9,0.8,0.8,0.9,1.2,1.2,1.4,1.9,2.6,2.5,3.1,4,5.2,5,5.9,6.9,7.8,9.2,11.2,13.1,16.5,16.5,19.3,19.4,23.9
"53","46","  Other private services","B909RC1",0.4,0.5,0.6,0.6,0.7,0.8,0.9,1.9,2.3,2.9,3.2,3.9,4.6,5.1,6.3,7.4,7.3,8.2,9.4,14.2,17.7,18.9,20.4,23.9,27.6,26.1,28.7,32.6,36.2,40.5,44.6,49.6,58.1,64,70.9,77.3,86.2,95.7
"54","47","  Other","B910RC1",1,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.5,2.6,2.8,3.1,3.3,3.4,3.7,3.7,4.2,4.5,4.6,4.9,5.2,5.6,5.7,6.1,6.3,6.6,6.9,7.1,7.3,7.9,8.1,8.2,8.6,9.5
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","A332RC1",18.4,21,23.7,27.1,27.5,31,41.4,56.5,63.8,69,72,85.3,108,133.3,140.1,124.7,120.4,132.4,137.2,142.6,162.9,208.8,239.8,262,282.3,300.6,314,349.7,394.1,421.8,483,487.1,503.3,569.2,521.1,487.2,496.1,561.4
"57","49","  Exports of nondurable goods","A339RC1",13.7,14.3,14.6,17.4,18,20.8,32.6,44.5,45.8,48.7,51.6,60.1,76,92.5,99,90.3,86.9,93.2,85,83.4,94.6,117,129.5,134.6,141.3,147.4,145.9,160.4,189.2,196.6,204.7,193.8,193.9,215.1,210.1,210.4,228.2,256.7
"58","50","  Exports of agricultural goods \2\","B181RC1",6.5,6.3,6.1,7.4,7.8,9.5,18,22.4,22.2,23.4,24.3,29.9,35.5,42,44.1,37.3,37.1,38.4,29.6,27.2,29.5,38.3,41.1,40.2,40.1,44.1,43.6,47.1,57.3,61.5,58.5,53.2,49.7,52.8,54.9,54.5,60.9,62.9
"59","51","  Exports of nonagricultural goods","A182RC1",25.7,29,32.2,37.2,37.7,42.3,55.9,78.6,87.4,94.4,99.3,115.5,148.6,183.7,195,177.7,170.2,187.2,192.6,198.8,228,287.5,328.3,356.4,383.4,403.9,416.3,463,526,556.8,629.2,627.7,647.5,731.5,676.3,643.1,663.4,755.1
"60","52","  Imports of durable goods","A333RC1",14.5,18.8,20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89,100.4,111.9,126,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.4,314.7,315.7,346.9,386.6,454.2,511,533.6,588.3,636.5,714.7,820.7,754.7,770,801.2,930.2
"61","53","  Imports of nondurable goods","A340RC1",13.2,15.1,16.1,18.1,19.9,23.6,31,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.4,193.4,185,198.1,206.2,222.6,246.5,273.8,297.1,292.5,330.8,422.8,413.2,419.4,482.7,565.7
"62","54","  Imports of nonpetroleum goods","A187RC1",25.7,31.6,34.2,37.9,42.9,52.3,63.4,77.9,72,90.1,107.6,134.9,152.4,169.1,189.4,188.6,217.6,278.3,291.9,335.7,371.8,412.5,433.9,445.8,449,493.3,541.3,625.5,701.4,734.7,813.6,878.3,977.7,1123.3,1064.4,1085.9,1150.8,1315.4
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
