"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"11","4","    Corporate business","A438RC1",4.9,4.7,4.4,3.9,3.7,3.7,3.7,3.8,4.2,4.3,4.2,4.4,4.9,5.6,5.6,5.8,6.1,7,8.7,10.1,10.9,11.6,13.2,14,14.8,15.7,16.6,18.7,20.5,21.6,21.8,23.3,23.9,24.6,26,27.2,29.4,32.7,35.6,39.1,44.2,48.9,52.9,59.1,65.9,78.2,92.9,102.8,117.4,136,157.2,180.1,205.3,227.5,236,252.9,274,284.4,300,318.9,344.6,367.5,395.7,408.7,421.3,456.6,486.9,513.6,553.6,589,632,690,752.5,742.1,754.4,799.6
"12","5","      Financial","B580RC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.2,1.3,1.4,1.8,2,2.2,2.7,3.2,4.1,5,5.8,6.8,8.2,9.9,11.9,13.8,16.2,18.5,22.2,26.6,29.1,33.5,37.3,43,48.3,54.3,55,57.9,65,71.9,77.1,86.5,95.7,108.1,122.2,105.7,98.5,101.8,109.3
"13","6","      Nonfinancial","B456RC1",4.7,4.6,4.2,3.8,3.5,3.6,3.6,3.6,4.1,4.1,4.1,4.3,4.7,5.3,5.4,5.6,5.9,6.8,8.4,9.8,10.6,11.3,12.9,13.6,14.4,15.2,16.1,18.1,19.9,21,21.1,22.6,23.2,23.9,25.2,26.4,28.4,31.5,34.3,37.6,42.4,46.8,50.7,56.4,62.7,74.1,87.9,97,110.5,127.8,147.3,168.2,191.5,211.2,217.6,230.7,247.4,255.3,266.5,281.6,301.6,319.2,341.4,353.6,363.4,391.5,415,436.5,467.1,493.3,523.8,567.8,646.8,643.6,652.6,690.3
"14","7","    Noncorporate business","W277RC1",2.4,2.5,2.3,2,1.8,1.9,1.8,1.9,2.1,2.2,2.2,2.3,2.6,2.9,2.9,3,3.2,3.5,4.6,5.4,6,6.5,7.5,7.9,8.1,8.4,8.7,9.4,9.9,10.4,10.3,10.6,10.8,11,11.4,11.8,12.5,13.6,14.4,15.4,17,18.3,19.6,21.8,24,27.8,31.5,34.1,37.9,43.2,49.7,56.7,63.6,69.8,71.4,75.1,79,82.5,85.7,90,96,98.9,101.6,101.8,103.3,111.4,113.3,117,121.5,129.3,137.9,146.1,151.2,151.5,157.1,173.7
"15","8","      Sole proprietorships and partnerships","A1615C1",2.1,2.1,1.9,1.7,1.6,1.6,1.5,1.6,1.7,1.8,1.8,1.9,2.1,2.4,2.3,2.4,2.5,2.8,3.7,4.5,5,5.4,6.3,6.7,6.8,7.1,7.3,8,8.4,8.9,8.8,8.9,9,9.1,9.5,9.7,10.3,11.2,11.8,12.6,13.9,15.1,16.2,17.9,19.7,22.9,26.1,28.1,31.3,35.7,41.1,46.9,52.9,58.3,59.6,62.9,66.3,68.9,71.4,75,80.3,82.6,84.9,84.9,85.6,92.3,94.2,97.3,101.1,108.1,115.6,122.6,126.5,126.1,130.6,142.8
"16","9","        Farm","B1616C1",0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.9,1,1.2,1.5,1.8,2,2.3,2.5,2.6,2.7,2.7,2.9,3,3.1,3.1,3.2,3.2,3.2,3.4,3.4,3.6,3.9,4.2,4.4,4.7,5,5.3,5.8,6.2,7.4,8.7,9.6,10.7,12,13.6,15.5,17,17.9,17.8,17.6,17.1,16.8,16.4,16.2,16.7,17,17.3,17.2,17.2,17.5,17.8,18,18.4,18.9,19.2,19.3,23.4,22.8,23.5,25.3
"17","10","        Nonfarm","B1617C1",1.5,1.5,1.4,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.6,1.5,1.6,1.6,1.8,2.4,2.9,3.2,3.4,4,4.1,4.2,4.4,4.6,5.1,5.4,5.8,5.7,5.8,5.8,5.9,6.1,6.3,6.7,7.2,7.7,8.2,9.2,10.1,10.8,12.2,13.5,15.5,17.4,18.6,20.6,23.7,27.4,31.3,35.9,40.5,41.9,45.2,49.2,52.1,55,58.8,63.6,65.5,67.6,67.6,68.4,74.8,76.4,79.3,82.7,89.2,96.5,103.2,103.1,103.3,107,117.5
"18","11","      Other private business","A1618C1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.9,1,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.8,1.9,2,2.1,2.2,2.4,2.6,2.7,3,3.2,3.5,3.8,4.3,4.9,5.5,5.9,6.6,7.6,8.6,9.8,10.8,11.5,11.7,12.2,12.7,13.6,14.3,15,15.7,16.3,16.7,17,17.7,19.1,19.1,19.7,20.5,21.2,22.2,23.5,24.7,25.4,26.5,30.9
"19","12","        Rental income of persons","B1620C1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.4,2.7,2.8,3.1,3.4,3.8,4.3,4.8,5.2,5.7,6.5,7.4,8.4,9.3,9.9,10.2,10.7,11.2,11.9,12.6,13.3,14,14.5,14.9,15.2,15.8,17.1,17.2,17.8,18.5,19.2,20.2,21.4,22.2,22.9,24.1,28.3
"20","13","          Nonfarm tenant-occupied housing","B2608C1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1.1,1.1,1.3,1.4,1.5,1.6,1.6,1.8,1.9,2.1,2.2,2.4,2.6,2.8,3.1,3.5,4,4.5,4.8,5.3,6.1,6.9,7.9,8.7,9.3,9.6,10,10.4,11,11.6,12.3,12.8,13.3,13.7,14,14.6,15.8,15.8,16.4,17.1,17.8,18.6,19.7,20.5,21.1,22.2,26.3
"21","14","          Farm tenant-occupied housing","W278RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
"22","15","          Farms owned by nonoperator landlords","B2609C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"23","16","          Nonfarm nonresidential properties","B2610C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5
"24","17","        Proprietors' income","B1619C1",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.4,1.5,1.6,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.9,2,1.9,1.9,1.9,2,2,2.2,2.5,2.5,2.5,2.6
"25","18","  Households and institutions","W279RC1",1.1,1.1,1,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.5,2.9,3.1,3.3,3.8,4.2,4.4,4.7,5,5.5,5.8,6.1,6.4,6.7,6.9,7.2,7.5,7.9,8.5,9.2,9.9,10.8,12,12.9,14.2,16.2,18,20.7,23.4,25.6,29,33.6,38.8,44.3,49,52.5,54.7,57.6,61,64.9,69.5,74.6,81.5,85.1,89.5,96.8,100.1,107.1,113.2,118.2,125.1,132.9,144.5,154.8,171.7,186.8,201.3,232.8
"26","19","    Owner-occupied housing","B2607C1",0.9,0.9,0.8,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5,2,2.3,2.5,2.7,3.1,3.3,3.5,3.7,4.1,4.4,4.6,4.8,5.1,5.3,5.4,5.6,5.8,6.1,6.6,7.1,7.6,8.3,9.2,9.8,10.8,12.4,13.7,15.6,17.4,19.2,22,25.7,29.9,34.3,37.9,40.5,42.2,44.5,47.1,50.2,53.8,57.7,63.1,65.2,68,73.9,75.6,81.5,86.4,90.5,95.9,101.4,110.3,117.4,127.4,133.5,143.9,170.5
"27","20","    Nonprofit institutions serving households","B1621C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2,2.1,2.3,2.5,2.8,3,3.4,3.8,4.3,5.1,5.9,6.4,7,7.9,8.9,10,11.1,11.9,12.5,13.2,13.9,14.8,15.7,16.8,18.3,19.9,21.5,23,24.5,25.6,26.8,27.7,29.3,31.5,34.2,37.3,44.3,53.2,57.4,62.4
"28","21","Government","A264RC1",1,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.7,9.7,8.7,8,8.7,9.6,10.5,11.2,11.8,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20.1,21.6,23.1,24.8,26.7,28.3,29.5,31.4,35.9,40,42.6,45.7,49.5,54.5,61.8,70.1,77.1,81.7,87,92.7,99.5,106.7,114.1,122.2,130.9,139.1,144.6,151.8,158.6,165,169.3,174.1,179,187,197,206,211.6,218.5,229.1
"29","22","  General government","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.5,10.3,9.2,8.2,7.5,8.1,8.9,9.8,10.4,11,11.9,12.7,12.9,13.5,13.9,14.4,15.3,16.2,16.7,17.4,18.5,19.8,21.1,22.6,24.2,25.5,26.4,27.8,31.6,34.9,37.1,39.7,42.8,46.9,53.1,60.2,66.3,70.2,74.8,79.8,85.7,92.1,98.4,105.3,113.1,120.2,124.8,130.6,135.9,141.4,144.6,148.2,151.9,158.4,166.4,172.7,178.3,183.5,192
"30","23","    Federal","B995RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,2.1,4.7,7.5,8.7,9.3,8.8,7.6,6.6,5.8,6.1,6.8,7.6,8.2,8.6,9.2,9.7,9.8,10.1,10.5,10.7,11.3,11.9,12.2,12.5,13,13.8,14.5,15.2,15.8,16.1,16.2,16.5,17.6,19,20.5,22.1,24,25.8,28.7,32.3,36,39,42.8,46.1,49.6,53.1,56.9,60.9,65.1,69.1,71.4,74.4,76.4,77.9,78,78,78,79.6,81.6,82.8,83.5,84.9,88.4
"31","24","    State and local","B986RC1",0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.1,1.2,1.1,1.1,1.2,1.5,1.7,1.7,1.7,2,2.2,2.2,2.2,2.4,2.8,3,3.1,3.3,3.5,3.7,3.9,4.2,4.5,4.9,5.5,6,6.6,7.4,8.4,9.4,10.2,11.3,14.1,15.9,16.6,17.5,18.9,21.1,24.3,27.8,30.3,31.2,32,33.7,36.2,39,41.5,44.4,48,51.1,53.4,56.3,59.5,63.4,66.7,70.2,73.9,78.7,84.8,89.9,94.8,98.6,103.6
"32","25","  Government enterprises","A266RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.8,3.1,3.5,4.3,5.1,5.5,6,6.7,7.6,8.8,10,10.9,11.5,12.2,12.9,13.8,14.6,15.6,16.9,17.9,18.8,19.8,21.1,22.7,23.6,24.6,25.9,27.1,28.6,30.6,33.3,33.4,35.1,37.2
"33","26","    Federal","B833RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.7,1.8,1.8,2,2.1,2.2,2.3,2.6,2.8,3.1,3.3,3.6,3.8,3.9,4.1,4.6,4.8,5.2,5.6,5.4,5.4,5.4,5.4
"34","27","    State and local","B846RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.7,3,3.6,4.3,4.6,5,5.6,6.4,7.5,8.5,9.2,9.7,10.3,11,11.7,12.5,13.3,14.4,15.1,15.8,16.5,17.5,18.9,19.7,20.6,21.4,22.3,23.4,25,27.8,28,29.7,31.7
"35",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Nonfarm business","B1667C1",6.9,6.7,6.3,5.5,5.2,5.3,5.3,5.4,6,6.1,6.1,6.4,7.1,8,8,8.3,8.6,9.9,12.4,14.4,15.5,16.6,18.9,20,20.9,22.1,23.3,26,28.3,29.9,30,31.7,32.6,33.5,35.3,36.8,39.6,43.8,47.4,51.8,58.4,64.3,69.7,77.9,86.8,102.4,120.2,132.1,149.8,173,199.7,228.8,260.5,288.8,299.7,321,347.4,362.4,382.5,406.9,439.3,465.7,497.2,511.4,526.8,571.4,604.1,635.4,680.8,724.5,777.2,845.4,909.6,900,918.6,980.4
