"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"51","43","S4 EN7222ZZMA   Limited-service eating places","T050430",22598,22721,23222,24087,24574,24985,25324,25384,25085,25855,26395,26865,27021,27118,27384,27680,27881,28128,28070,28340,28470,28938,29122,29038,29795,30447,30887,31336,31137,31326,31594,32653,33242,33740,34019,34108,35039,34839,35028,35486,35986,36404,36971,36673,36940,37837,38430,39766,40157,40858,41420,42184,42854,43952,44271,45038,46396,46146,46675,47176,47179,48207,49420,50032,49820,50643,51173,51535,51213,51328,50825,50890,51968,52106,52866,53575,54329,54756,55195
"52","44","S4 EN7223ZZMA   Special food Services","T050440",4606,4341,4297,4475,4442,4533,4597,4644,4615,4724,4816,4691,4595,4906,4826,4836,4856,4871,4948,5150,5351,5162,5442,5442,5566,5718,5779,6056,6074,6265,6440,6730,7093,7118,7438,7203,7439,7570,7279,7083,7354,7401,7386,7533,7640,7579,8087,7964,8161,8168,8287,8625,8700,9032,9163,9460,9962,9991,10087,10474,10920,11027,11226,11532,11555,11793,11952,11198,10974,11011,11042,10998,10835,10928,10834,10810,10871,10896,10811
"53","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",3430,3181,3148,3221,3193,3247,3261,3117,3142,3132,3061,3082,3134,3229,3361,3421,3390,3384,3423,3471,3429,3489,3601,3586,3650,3648,3702,3727,3780,3838,3762,3941,4120,4144,4079,3975,4033,4000,4203,4366,4312,4353,4339,4331,4370,4471,4492,4559,4569,4512,4486,4516,4507,4604,4687,4778,4893,4986,4995,5064,5081,5134,5210,5127,4967,5125,5277,5171,5167,5225,5090,5148,5285,5235,5322,5437,5473,5461,5436
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",412359,414258,419429,427537,431427,437463,442873,449423,455624,464520,474159,481454,482595,487113,493066,499150,503975,516890,520859,530200,536791,537378,546559,549841,555405,563046,569739,580381,591126,601595,611950,628972,640570,647607,655456,663419,665318,671247,669656,672496,680117,689284,690317,698809,707930,712852,732981,742044,758454,769962,779789,799573,811685,826677,845028,863136,882489,888215,893506,896628,910169,919503,927393,943919,945066,963673,965170,902183,881804,882962,894580,906565,925803,934071,940619,963379,986527,1004184,1015282
"56","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",358233,361602,366312,372300,375780,380628,384983,391493,397576,405053,413923,420751,421906,425493,430799,436737,441167,453211,456463,464319,469657,469884,477549,481013,485243,491642,497590,506596,517487,526847,536682,551321,560971,567188,574208,582014,582154,587981,585561,587508,593536,601965,602414,610583,618745,621320,639277,646900,661883,672746,680903,698870,709617,722436,739818,755820,772183,777804,781535,781580,794613,802526,808800,823512,825909,842916,843806,781197,761285,763175,775305,786833,804399,811336,817115,838459,859014,875162,884514
"57","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores \1\","T050480",139195,140826,142758,146354,147747,150909,153672,155992,159158,162020,165820,169871,169580,171834,174824,176630,177198,181381,183290,185534,186954,187238,191317,193620,197586,200554,202335,206329,212061,215186,218421,222087,224980,228833,230999,231396,231968,232126,233294,238205,240749,241610,240145,244580,243305,247890,255055,257050,261963,263034,266291,271154,275284,280682,282334,288639,293520,294629,296820,300704,304209,303932,306463,308505,306224,310948,306736,296025,293969,290202,291259,292810,298980,298999,300514,303453,306945,310310,313162
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
