"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"20","13","          Used auto margin","DMARRA3",151.207,144.052,125.045,123.618,123.449,120.233,123.309,116.294,115.87,116.859,114.976,106.067,114.759,119.153,112.719,94.569,96.036,108.025,104.102,100.123,89.012,79.229,88.881,88.673,95.167,94.141,96.963,102.027,95.886,94.867,93.939,93.011,92.09,96.934,99.504,103.657,105.62,106.137,104.715,103.585,103.62,106.041,111.859,97.541,97.682,98.41,100,99.015,97.226,93.511,79.25,78.195
"21","14","          Employee reimbursement","DREERA3",57.911,60.349,65.455,73.318,78.376,82.232,88.886,98.054,101.278,100.097,97.477,92.693,88.169,84.561,80.501,82.032,77.076,75.707,76.494,86.374,91.977,95.172,98.029,100.403,95.504,91.45,88,81.342,76.228,88.361,97.126,105.591,116.77,127.293,120.989,116.621,113.741,112.203,108.427,104.542,101.925,98.981,103.028,97.642,98.71,101.505,100,96.599,94.294,90.55,83.556,86.036
"22","15","        Used light trucks","DUTRRA3",0.555,0.601,0.472,0.641,0.764,0.806,0.97,1.172,1.279,1.189,1.243,1.318,1.527,1.709,2.157,2.065,1.872,2.56,3.296,3.865,4.498,5.221,4.96,4.937,5.963,7.564,9.838,14.735,16.268,19.389,22.872,28.798,30.399,34.485,35.027,34.791,39.528,49.319,59.782,73.473,84.89,86.234,88.942,94.843,95.224,98.908,100,103.743,112.596,106.207,114.557,110.081
"23","16","          Net transactions in used trucks","DUTNRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.069,4.326,5.977,10.693,11.646,14.657,16.444,23.511,26.616,33.594,32.321,29.468,33.12,43.496,54.99,71.435,84.752,85.38,87.528,97.06,94.198,97.949,100,105.351,116.955,112.725,126.694,118.762
"24","17","          Used truck margin","DUTMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.467,15.924,19.78,24.988,28.013,31.316,39.197,41.872,39.406,34.422,41.061,49.098,56.88,64.508,72.034,78.55,85.072,88.243,92.395,89.584,97.274,100.812,100,100.52,103.99,93.263,90.345,92.639
"25","18","      Motor vehicle parts and accessories (58)","DMVPRA3",11.507,12.387,13.181,14.463,15.174,16.297,16.734,17.889,18.556,20.637,23.414,25.175,28.467,31.718,36.199,36.229,35.945,37.087,39.36,42.107,43.47,42.921,44.604,45.446,50.635,54.275,55.946,56.258,56.747,61.412,61.631,64.349,62.759,64.423,70.209,77.35,80.804,86.158,90.042,91.601,95.761,97.094,93.568,92.891,94.446,97.364,100,99.508,99.853,92.735,84.717,88.102
"26","19","        Tires","DTATRA3",14.69,16.242,17.524,18.129,18.357,19.375,20.409,22.213,22.846,25.162,28.408,31.324,36.207,41.795,46.686,44.709,43.219,43.218,45.008,48.206,50.16,49.372,49.578,49.847,55.761,62.293,64.152,66.086,66.771,72.18,71.364,75.735,73.428,73.322,76.603,81.039,80.708,83.191,84.007,83.972,84.942,84.782,83.683,83.828,88.202,93.855,100,101.69,105.116,100.713,93.659,96.612
"27","20","        Accessories and parts","DPAARA3",8.783,9.026,9.383,11.344,12.602,13.912,13.723,14.245,14.992,16.956,19.403,19.95,21.666,22.539,26.79,28.876,29.79,32.051,34.793,37.172,38.046,37.695,40.667,42.017,46.621,47.889,49.411,48.448,48.784,52.855,53.872,55.311,54.272,57.27,64.952,74.16,80.575,88.177,94.45,97.239,103.83,106.293,100.93,99.629,99.071,99.96,100,97.895,95.974,86.881,78.175,81.868
"28","21","    Furnishings and durable household equipment","DFDHRA3",13.034,12.842,12.922,13.645,14.541,16.189,17.249,18.749,19.175,20.328,20.755,20.728,21.656,23.904,26.446,26.34,24.967,26.499,28.906,30.427,31.674,30.457,29.873,28.548,30.99,34.097,35.925,38.869,40.514,41.994,44.135,43.532,42.514,43.962,46.221,48.687,50.925,53.132,55.621,60.208,67.188,73.668,77.413,83.056,87.692,94.614,100,104.31,105.002,100.571,92.086,99.542
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",13.718,13.502,13.506,14.439,15.632,17.6,18.727,19.893,20.062,21.108,21.187,20.776,21.497,23.776,26.309,26.145,24.909,26.604,29.237,30.718,31.977,30.055,29.128,27.382,30.556,34.22,36.045,39.669,42.315,43.319,45.17,43.581,42.006,42.585,44.75,47.517,49.642,52.258,55.58,59.966,66.407,73.052,76.152,81.271,85.547,93.028,100,105.358,107.886,102.669,93.704,101.751
"30","23","        Furniture","DFNRRA3",14.586,14.475,14.361,15.302,16.392,18.302,19.293,20.352,20.287,20.975,21.13,20.544,21.303,23.7,25.899,25.307,23.956,25.352,28.306,29.709,31.246,29.47,28.968,26.88,29.822,33.565,35.431,38.532,40.326,41.143,45.385,43.875,43.1,43.534,46.04,48.643,51.013,54.053,58.421,63.355,69.682,77.054,80.433,85.952,88.038,94.053,100,102.273,103.157,96.322,86.656,93.919
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRA3",6.772,6.879,7.251,7.849,8.648,9.613,10.577,11.658,11.663,12.807,13.538,14.377,15.459,16.956,18.668,19.214,19.297,21.095,22.911,24.64,25.692,24.706,24.562,24.832,25.256,26.042,25.846,27.6,29.158,30.648,31.994,32.535,32.092,33.949,36.29,40.318,43.466,46.842,49.746,52.35,58.47,65.471,68.633,74.055,82.626,91.139,100,117.331,130.837,136.193,134.479,149.401
"32","25","        Carpets and other floor coverings","DFLRRA3",23.133,22.511,22.515,24.337,27.727,32.358,34.292,35.786,37.113,39.685,38.145,35.456,35.403,40.095,46.441,48.603,44.026,46.949,51.609,53.162,54.076,48.411,43.146,38.213,46.856,54.89,57.843,64.553,72.075,75.461,70.451,66.335,60.577,60.756,60.716,61.386,59.636,57.915,56.987,61.337,69.211,74.258,74.748,77.484,83.725,94.102,100,103.194,101.071,91.66,77.945,80.697
"33","26","        Window coverings","DWCTRA3",15.626,14.314,13.835,14.442,14.394,15.972,17.165,18.622,19.158,19.877,19.47,19.227,19.388,19.848,21.943,19.894,19.638,21.171,21.35,22.278,22.515,21.673,21.071,20.062,24.776,29.584,34.444,41.584,45.945,44.178,40.991,37.068,33.294,32.073,34.203,37.208,39.984,43.422,46.359,51.322,57.012,59.994,64.895,70.25,76.903,87.753,100,107.657,110.585,106.95,100.762,113.11
"34","27","      Household appliances (part of 33)","DAPPRA3",14.708,14.476,14.753,15.239,16.209,17.708,18.234,20.224,20.938,23.053,24.67,25.664,27.528,31.015,34.076,33.856,31.212,32.156,34.315,34.906,36.025,35.004,33.993,31.324,33.682,36.78,40.564,43.691,44.462,46.229,48.602,48.515,48.208,50.665,52.42,53.054,55.026,55.585,55.297,60.454,68.255,74.321,78.493,83.47,87.9,96.874,100,100.547,97.384,94.099,85.248,91.549
"35","28","        Major household appliances","DMHARA3",16.307,15.995,16.192,16.566,17.498,18.865,18.909,20.935,22.056,24.032,25.575,26.64,28.756,32.203,34.823,34.665,31.72,31.795,33.808,34.571,36.13,35.34,34.507,31.996,35.192,39.227,44.154,48.369,49.831,50.87,52.412,51.192,49.913,51.749,53.296,53.528,55.288,55.62,55.421,61.124,69.34,75.784,80.068,85.127,88.935,97.688,100,99.628,95.286,91.217,82.128,87.596
"36","29","        Small electric household appliances","DSEARA3",6.04,6.221,6.884,7.9,9.01,11.084,13.977,15.694,14.35,17.053,18.958,19.544,20.065,23.579,28.678,28.157,27.14,32.345,35.122,34.83,33.706,31.59,29.743,26.424,24.51,22.804,20.731,18.303,15.626,20.9,27.419,33.286,38.121,43.76,46.574,49.396,52.547,54.445,53.63,55.467,60.667,64.349,67.775,72.192,80.737,91.181,100,107.257,113.086,116.008,109.123,121.914
"37","30","      Glassware, tableware, and household utensils (34)","DUTERA3",14.1,13.668,13.649,14.095,13.961,15.329,17.103,19.325,20.205,20.704,20.878,20.563,20.949,21.928,23.958,23.448,22.031,23.529,25.391,27.683,28.502,28.559,29.072,30.252,30.951,32.585,33.171,33.971,33.117,35.362,37.473,38.55,38.042,40.344,42.782,45.457,48.359,51.051,53.27,57.491,66.142,73.999,80.057,89.467,94.678,97.334,100,104.932,104.464,100.594,94.701,102.606
"38","31","        Dishes and flatware","DCHNRA3",11.623,11.283,11.288,11.667,11.581,12.713,14.176,16,16.722,17.578,18.538,19.072,20.252,21.665,23.733,23.342,22.037,23.648,25.589,27.221,26.794,25.607,24.785,25.065,26.457,29.437,31.557,33.978,34.045,36.619,39.335,41.008,41.006,43.79,45.847,47.487,49.181,50.461,51.82,56.499,66.36,76.763,85.813,98.728,100.693,100.235,100,103.79,102.57,100.337,95.164,105.8
"39","32","        Nonelectric cookware and tableware","DNECRA3",16.55,16.028,15.986,16.499,16.317,17.919,20.001,22.616,23.652,23.809,23.228,22.093,21.715,22.281,24.283,23.657,22.125,23.52,25.316,28.252,30.276,31.53,33.331,35.382,35.417,35.762,34.872,34.114,32.371,34.308,35.845,36.354,35.356,37.204,40.019,43.704,47.783,51.846,54.903,58.695,66.189,71.611,74.877,81.083,89.25,94.739,100,105.909,106.039,100.933,94.504,100.494
"40","33","      Tools and equipment for house and garden (35)","DTOORA3",5.266,5.528,5.638,6.147,6.507,7.217,8.301,9.743,10.445,11.036,11.261,11.61,12.499,13.795,16.174,17.279,17.815,19.783,22.439,25.041,27.382,27.733,28.154,27.543,29.004,31.548,31.565,33.912,35.788,38.364,42.157,43.852,44.153,47.84,51.484,55.205,57.411,59.058,61.818,67.481,73.19,76.339,79.124,82.219,88.741,96.017,100,103.374,101.605,99.026,89.734,94.844
"41","34","        Tools, hardware, and supplies","DHDWRA3",5.846,6.219,6.356,6.924,7.289,8.089,9.333,10.905,11.675,12.16,12.276,12.619,13.363,14.762,17.304,18.157,18.867,21.075,24.119,27.017,29.712,30.217,30.767,30.229,31.827,34.493,34.346,36.698,38.422,40.972,44.829,46.511,46.498,49.874,53.732,57.402,59.383,60.492,62.951,69.232,75.737,78.991,82.319,86.199,91.933,97.879,100,101.628,97.958,94.681,85.262,89.121
"42","35","        Outdoor equipment and supplies","DLWNRA3",2.818,2.609,2.607,2.866,3.206,3.535,3.945,4.832,5.244,6.284,6.964,7.337,8.83,9.691,11.375,13.536,13.337,14.295,15.311,16.664,17.511,17.218,17.097,16.179,17.065,19.081,19.787,22.109,24.609,27.286,30.798,32.539,34.152,39.13,41.865,45.785,48.927,52.818,56.828,59.915,62.37,65.074,65.591,65.413,75.158,87.968,100,111.13,117.889,118.468,109.766,120.509
"43","36","    Recreational goods and vehicles","DREQRA3",1.204,1.195,1.242,1.325,1.447,1.698,1.98,2.437,2.679,2.967,3.165,3.386,3.502,4.062,4.488,4.508,4.829,5.254,5.606,5.982,6.295,6.048,6.211,6.242,7.225,8.477,9.421,10.905,12.213,13.373,13.949,14.287,14.767,15.699,18.113,21.026,24.041,27.761,32.08,38.536,46.758,54.903,60.358,67.691,76.329,87.808,100,113.873,128.152,133.051,130.824,146.932
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.258,0.255,0.269,0.292,0.327,0.382,0.465,0.591,0.671,0.73,0.766,0.81,0.844,0.965,1.098,1.156,1.245,1.36,1.437,1.548,1.683,1.74,1.831,1.921,2.49,2.953,3.503,4.356,4.982,5.683,6.01,6.327,6.882,7.59,9.115,11.063,13.314,16.446,20.265,26.407,34.125,41.882,48.436,57.371,67.68,82.499,100,120.991,145.046,159.558,168.136,197.222
"45","38","        Video and audio equipment","DVAARA3",0.849,0.842,0.902,0.987,1.095,1.297,1.592,2.053,2.34,2.541,2.677,2.862,2.975,3.348,3.773,3.987,4.329,4.723,4.977,5.391,5.917,6.146,6.465,6.479,7.935,9.493,11.612,13.64,15.445,17.194,18.25,18.701,18.839,19.948,22.017,25.18,27.707,29.745,31.155,36.789,44.522,52.774,59.159,66.893,73.171,85.147,100,117.222,135.916,152.302,164.314,191.658
"46","39","          Televisions","DTVSRA3",1.088,1.066,1.144,1.261,1.4,1.714,2.172,2.897,3.396,3.53,3.534,3.583,3.532,3.816,4.177,4.264,4.439,4.614,4.618,4.914,5.471,5.675,6.024,6.079,7.425,8.783,10.636,12.225,13.487,14.182,14.539,14.017,13.242,13.273,14.311,15.575,16.556,17.218,17.318,19.624,23.716,29.094,34.342,41.063,54.645,74.758,100,142.974,204.323,253.701,325.615,429.442
"47","40","          Other video equipment","DOVARA3",0.255,0.251,0.263,0.276,0.3,0.34,0.392,0.469,0.511,0.583,0.637,0.708,0.764,0.898,1.041,1.152,1.323,1.498,1.669,1.829,1.991,2.057,2.161,2.17,2.647,3.174,3.933,4.713,5.614,6.511,7.052,7.365,7.609,8.27,9.268,11.204,12.551,13.619,14.241,18.147,24.787,34.19,44.108,53.974,67.171,83.562,100,119.658,142.286,173.065,180.001,205.833
"48","41","          Audio equipment","DAUDRA3",1.469,1.473,1.567,1.701,1.877,2.173,2.641,3.385,3.752,4.289,4.723,5.253,5.698,6.665,7.677,8.288,9.328,10.449,11.211,11.641,11.999,11.82,11.596,10.798,12.693,14.838,17.616,20.276,21.884,24.45,25.86,26.335,25.525,27.637,30.544,35.316,38.813,41.22,42.926,48.033,55.213,61.331,64.369,70.072,72.268,81.387,100,107.917,108.506,110.265,103.845,110.931
"49","42","          Recording media","DRECRA3",0.416,0.453,0.515,0.591,0.694,0.758,0.859,1.009,1.075,1.31,1.618,1.98,2.265,2.617,3.025,3.233,3.465,3.926,4.238,4.988,5.828,6.476,7.206,7.622,9.713,11.98,15.033,18.131,21.11,24.19,26.262,28.176,30.143,32.279,35.878,40.884,45.574,49.912,53.67,64.431,75.907,85.37,90.45,97.834,93.391,96.631,100,102.895,103.983,104.366,102.765,111.095
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRA3",1.389,1.511,1.718,1.971,2.313,2.529,2.864,3.366,3.587,4.371,5.396,6.604,7.555,8.729,10.09,10.785,11.558,13.096,14.136,15.616,17.049,17.732,18.304,17.881,21.246,24.377,28.306,31.876,34.072,40.542,45.646,51.406,57.291,63.29,70.457,79.599,88.975,97.786,105.774,114.18,119.179,122.028,117.952,117.351,105.458,103.293,100,97.742,95.392,96.848,98.024,109.475
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275,0.572,0.966,1.379,1.901,2.399,3.471,4.783,6.649,8.686,11.06,12.171,12.636,12.645,12.606,12.671,14.035,16.31,18.063,19.612,20.766,31.714,46.158,59.413,70.452,83.292,84.236,91.485,100,107.097,111.125,110.554,106.438,111.816
"52","45","        Photographic equipment","DCAMRA3",6.796,6.319,5.65,5.632,7.024,7.285,8.67,9.841,11.167,12.39,12.028,10.732,11.546,17.071,22.487,23.129,23.821,27.545,30.501,32.607,33.852,32.782,32.679,33.305,36.553,40.345,41.23,42.471,43.195,40.381,37.479,34.01,30.631,27.867,29.423,31.903,33.654,35.596,37.587,40.227,44.184,47.66,49.33,52.829,63.186,80.342,100,127.198,176.045,192.201,93.68,104.806
"53","46","        Information processing equipment","DIPERA3",0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.007,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.009,0.011,0.026,0.066,0.077,0.079,0.171,0.22,0.31,0.337,0.423,0.651,0.858,1.38,2.01,3.052,5.144,8.653,13.602,20.048,26.542,32.948,43.334,59.322,78.363,100,126.849,158.051,169.527,179.65,212.576
"54","47","          Personal computers and peripheral equipment","DCPPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.001,0.003,0.014,0.043,0.051,0.052,0.125,0.165,0.235,0.254,0.32,0.5,0.66,1.097,1.638,2.542,4.363,7.442,12.218,19.087,26.303,34.755,48.029,63.121,78.723,100,125.704,150.719,174.326,197.252,235.749
"55","48","          Computer software and accessories","DCPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.001,0.002,0.005,0.022,0.064,0.076,0.078,0.187,0.246,0.377,0.435,0.585,0.975,1.366,2.187,3.14,4.726,8.044,13.677,18.909,23.343,27.495,29.043,33.958,52.259,77.175,100,129.236,169.034,167.721,165.955,194.788
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRA3",23.252,24.648,27.065,30.445,33.043,37.28,38.941,42.984,44.396,48.861,54.44,59.656,62.756,66.374,68.589,69.255,67.913,65.817,66.049,60.138,50.99,41.985,32.637,25.515,25.697,26.935,26.735,26.264,26.96,26.958,26.996,25.558,24.258,24.168,24.444,24.484,23.811,22.702,22.345,30.011,41.826,54.547,60.783,70.532,77.547,89.872,100,110.898,120.687,122.833,120.195,131.318
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",3.729,3.892,4.136,4.149,4.129,4.713,5.327,6.527,7,7.47,7.565,7.56,7.804,9.68,10.157,10.955,12.209,14.409,15.473,16.832,17.287,17.779,17.896,17.487,18.119,20.792,22.432,24.479,28.209,30.375,32.596,33.406,32.98,34.845,38.206,41.312,43.595,46.251,48.26,53.47,61.917,71.184,76.776,82.282,86.601,93.12,100,108.678,113.143,110.433,100.047,106.389
"58","51","      Sports and recreational vehicles (79)","DWHLRA3",6.684,5.943,5.429,6.04,6.903,8.695,10.336,12.772,14.085,18.407,21.894,24.185,25.896,32.783,36.694,31.889,34.752,38.114,41.741,42.718,43.18,33.121,33.056,31.555,32.373,40.057,41.393,44.497,46.307,46.487,45.887,42.994,40.481,39.402,44.188,48.943,52.545,55.779,60.733,66.716,72.416,77.995,77.915,80.879,89.248,96.991,100,100.181,101.304,90.503,70.46,70.554
"59","52","        Motorcycles","DMCYRA3",2.296,2.017,1.986,2.398,2.787,4.177,5.726,7.916,9.079,12.74,16.027,20.572,24.606,29.911,41.092,48.099,53.952,42.4,40.078,44.645,57.332,49.898,51.984,47.468,40.803,45.132,45.671,39.993,26.67,27.705,25.78,23.584,25.07,26.629,31.391,34.128,35.647,38.143,40.382,48.101,54.517,65.581,76.189,78.891,90.357,99.79,100,100.202,102.627,98.27,72.788,71.079
"60","53","        Bicycles and accessories","DBCYRA3",15.186,13.207,12.715,15.147,17.443,20.969,23.132,26.312,25.576,33.036,38.267,47.335,54.358,61.257,73.589,70.029,43.084,43.151,51.984,56.593,56.999,57.014,57.159,55.384,58.075,64.902,67.635,74.529,88.111,89.904,89.706,86.781,81.23,78.325,83.343,88.942,89.556,92.195,94.676,93.654,91.578,90.209,87.894,86.452,91.169,95.522,100,104.324,109.341,112.146,110.995,115.66
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRA3",7.511,6.738,5.987,6.415,7.292,9.085,10.795,13.389,15.18,19.588,23.154,23.733,23.923,31.782,32.54,23.92,30.083,37.968,42.683,42.326,39.543,27.219,26.56,25.827,28.449,37.434,38.874,44.075,48.972,48.715,48.451,45.257,41.774,40.035,44.91,50.356,55.115,58.722,65.058,71.132,77.439,81.613,77.476,81.055,88.572,96.007,100,99.695,99.864,85.027,64.9,65.162
