"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"48","40","    Miscellaneous durable goods wholesalers","KS42190",16964,17037,17587,17026,16505,17106,17146,17526,17707,17404,17998,18524,18532,18924,18816,19013,19283,19373,19466,20043,20660,20878,20722,20599,20684,20638,21129,20851,20828,20622,20404,20427,20622,20569,20828,20625,20665,21046,21083,21247,21492,21844,22164,22076,21664,21731,21916,22204,22522,22201,22153,21997,22373,20928,20871,20529,20331,20147,20246,20090,19961,19985,19939,20042,19669,19839,19575,19760,19545,19598,19378,19451,19496,19822,19799,20190,20170,20091,20212,19996,20244,20305,20189,20449,20117,19835,20095,20224,20268,20783,21426,21596,21835,21948,21878,21695,22127,22312,22239,22117,22402,22212,22582,21750,22263,22887,22820,22630,22562,22362,22382,22235,22034,21880,21367,21212,21093,20449,20699,20906,20401,20970,21142,21308,20800,20535,20168,20090,20421,20507,20237,19979,20555,20462,20429,20395,20756,20591,20914,21085,21229,20883,21263,21234,20896,20660,19943,19650,19459,19775,20059,19404,18570,18513,18617,17937,17478,17909,18306,18297,17949,17829,17568,17822,18298,18534,18226,18326,17962,17815,17472,17783,18446,18115,18214,18241
"49","41","  Nondurable goods merchant wholesale industries","KS42WN0",106661,106376,106392,106548,106941,108325,109208,110162,110607,112105,113739,113810,113528,114702,115315,115249,116346,116643,116939,117499,118503,118242,119969,119219,119233,120556,120908,121977,120541,119654,121367,122242,122280,123529,124041,123906,125095,124705,125154,125559,125491,125263,125772,126029,126445,127819,128711,128984,127913,128581,129183,130901,132755,133807,132619,133586,134049,133271,134537,135152,135834,135155,135670,134776,135239,135732,136256,134854,134652,134148,133932,136019,135470,133821,133735,133715,133107,132726,133741,133325,133905,136250,136312,135118,134081,135188,134767,133804,133830,133931,136371,135615,134098,135826,136821,136299,138308,137904,138701,140082,139507,138697,137998,138292,139182,138056,137951,139656,139738,141048,141561,141377,142299,142826,142955,144371,143536,143645,146421,144234,142949,142998,143060,144289,144178,145362,147313,147801,149493,148676,148538,148719,147396,146698,144651,145371,144869,146174,146799,146223,144634,143740,144413,145632,146225,146584,146575,146852,146742,143732,142388,141091,139525,141110,144587,143618,143524,143606,143787,144835,146640,146970,149830,150149,151923,156002,152154,152082,151691,151298,152420,152650,154564,154219,154666,153334
"50","42","    Paper and paper products wholesalers","KS42210",7944,7995,7992,8040,8154,7985,8305,8525,8425,8415,8468,8587,8382,8591,8757,8836,8684,8669,8669,8562,8530,8388,8511,8614,8499,8419,8575,8654,8492,8453,8520,8451,8455,8476,8559,8413,8517,8342,8541,8597,8512,8391,8423,8428,8428,8634,8661,8675,8469,8525,8460,8557,8582,8342,8222,8111,8107,8156,8100,8004,7876,7738,7679,7742,7849,7808,7652,7545,7544,7518,7616,7624,7436,7542,7468,7621,7663,7586,7589,7518,7423,7476,7462,7597,7515,7534,7671,7729,7708,7913,8060,8058,8018,8056,7951,8090,8024,7998,7838,7987,8101,8146,8056,8294,8245,8208,8371,8400,8227,8291,8263,8395,8383,8220,8232,8166,8187,8101,8010,8078,8038,8007,7839,7963,7924,8009,8243,8109,8113,8162,8145,8141,8077,8062,8098,7990,7846,8003,8183,7989,7970,8056,7979,7963,7960,7821,7662,7836,7743,7639,7788,7693,7568,7547,7566,7595,7638,7574,7459,7521,7593,7592,7540,7498,7486,7618,7599,7760,7767,7639,7660,7737,7761,7729,7761,7520
"51","43","    Drugs and druggists' sundries wholesalers","KS42220",15766,15521,15861,15611,15905,16273,16463,17063,17212,16791,17313,17414,17450,17784,17825,17788,18038,17585,17648,17784,17769,18005,18447,18676,18879,19098,19188,19942,20263,20572,20987,21339,21295,22132,22251,22502,23127,23454,23943,24206,24186,25016,25540,25572,25944,26419,26669,27629,27410,27175,28282,29231,30523,31308,30997,32260,33733,33486,34558,35470,35988,35919,36305,36177,36079,36574,36047,35711,36024,36665,36121,36971,36952,37006,37184,37545,37384,36573,37505,37482,36891,37209,37769,37110,36535,37284,37228,36186,36457,36514,37163,36855,36597,36902,37257,36763,37647,36522,36415,36279,36055,35531,34507,33709,34709,34246,33862,34613,33731,34530,35115,35077,34785,35790,35325,36559,35894,34245,35248,35365,35040,34764,34570,35295,35514,35484,34987,35378,35158,34521,34930,34902,34889,34647,34480,34250,34429,33824,35245,35760,34341,34665,34863,34325,34461,35210,34417,34557,34304,33526,33528,33334,33206,33757,33545,33626,33767,33634,33609,33782,34006,34217,34307,34032,34315,34002,33670,34312,33710,33686,34546,34139,33778,34346,34241,34085
"52","44","    Apparel, piece goods, and notions wholesalers","KS42230",11645,11716,11796,11836,11912,12121,12150,12126,12100,12665,12792,12806,12955,12740,12822,12938,12908,13016,12923,13087,12983,13046,13160,13088,12784,13495,13047,12842,12642,12292,12266,12193,12023,12056,12231,12430,12644,12481,12347,12466,12554,12224,12418,12290,12459,12415,12501,12546,12777,13203,13145,13234,13305,13312,12898,12783,12801,12940,12661,12517,12768,12609,12407,12046,12089,12376,12517,12733,13085,12663,12554,12738,12669,12484,12675,12706,12500,12681,12575,12293,12008,11635,11820,11760,11498,11549,11570,11420,11529,11182,11300,11559,11800,11947,12452,11812,12101,12088,12150,12386,12368,12387,12276,12331,12341,12565,12625,12431,12296,12628,12780,12826,12924,12989,13210,13302,13433,13442,13523,13789,13924,13878,13875,13466,13822,14148,14387,14584,14403,14478,14410,14371,14527,14665,15221,14846,14768,14913,14749,14416,14948,15060,14973,15355,15170,15070,14748,14579,14359,14007,13627,13261,13019,12586,12669,12412,12474,12547,12517,12651,12916,13207,13784,14175,14853,14972,15241,15063,15391,15475,15783,15778,16372,16714,17180,16984
"53","45","    Grocery and related products wholesalers","KS42240",19172,19071,19057,18826,19091,19305,19305,19206,19167,19821,20008,20089,20164,20291,19711,20283,20571,20216,20219,20173,20002,19873,20058,19865,19924,20216,20277,20666,20463,19776,20329,20378,20557,20951,21437,21224,21040,21085,20919,20915,20794,20591,20736,20724,21044,21273,21745,21123,20926,20693,20482,20391,20047,20201,19772,19883,19523,18946,19163,19326,19382,19220,19605,19898,20527,21173,21300,21458,20819,21166,20682,20763,21161,21006,20677,20197,19717,19690,19857,19706,19869,19244,18946,19461,19155,19305,19466,19439,19381,19343,19645,19463,19038,19632,19698,19204,19578,19625,19575,19747,19800,19581,19665,20033,20229,20392,20572,20780,20773,21067,21041,21132,21006,21522,21714,21952,21956,21908,22625,22555,22551,22916,23271,23227,23723,23979,23959,23633,23590,23443,23496,23633,23646,23285,23614,23915,24094,24087,24263,24669,24658,24769,24402,24518,24502,24337,24013,24324,24095,23913,23679,23300,23758,23570,23530,23369,23116,23535,23370,23484,24141,24742,25059,25062,24852,25003,24548,25010,25478,25267,25752,26038,26700,26654,26835,26917
"54","46","    Farm product raw material wholesalers","KS42250",10866,11087,10970,11062,10930,11164,11584,11382,11310,12074,12536,11825,11876,11985,12035,11692,11787,12459,12551,12836,13514,13650,13529,13081,12958,12987,13235,13664,13539,13532,13650,14403,14550,14794,14357,14170,14459,14206,14454,14533,14633,14407,14213,14312,14397,14634,14596,14575,14400,14524,14356,14475,14806,14721,14879,14826,14633,14510,14763,14729,14632,14533,14456,13974,13709,13591,14169,13435,13128,12539,13264,13536,13388,13020,12884,12949,13084,13321,13451,13622,14038,16569,16121,15270,15594,15710,15748,15676,15156,14863,14299,14172,13813,13811,13699,13771,14229,14891,15900,16371,16170,16246,16608,16481,16228,16028,15593,15908,16135,16592,16514,16571,17210,17168,17406,17324,16531,18395,19220,17850,16927,16349,16116,15849,15888,16348,17464,18280,19488,19444,19197,18920,18651,18449,17826,17799,17668,18264,17456,17191,16700,16692,16725,16784,17020,16267,17072,17248,18048,16757,16218,15999,15424,16821,19174,18656,18402,18475,18403,18216,18519,18229,19245,19502,20395,23327,21592,20957,20789,20322,20247,19939,19739,18949,18521,18259
"55","47","    Chemical and allied products wholesalers","KS42260",6082,6228,6306,6169,6037,6434,6461,6455,6267,6267,6460,6413,6491,6428,6457,6664,6930,6609,6913,6819,6845,6776,7008,7077,7224,7368,7343,7402,7466,7388,7605,7387,7291,7225,7237,7419,7278,7339,7424,7345,7301,7293,7310,7190,6948,6879,6929,7044,6878,6781,7024,7267,7241,7265,7361,7228,7308,7349,7339,7470,7437,7600,7658,7610,7784,7704,7607,7754,7762,7730,7853,7917,7956,7795,7601,7457,7533,7517,7598,7314,7293,7206,7124,7514,6993,7217,7189,7258,7418,7434,7616,7485,7423,7429,7373,7318,7328,7450,7403,7556,7421,7421,7332,7345,7263,7278,7305,7315,7329,7208,7242,7236,7193,7249,7100,7136,7048,6869,6890,6908,7286,7367,7371,7315,7233,7456,7618,7416,7492,7250,7431,7633,7439,7492,7491,7508,7362,7205,7515,7499,7440,7409,7333,7549,7517,7687,7440,7251,7109,7145,7086,6904,6889,6671,6653,6577,6590,6656,6523,6541,6556,6746,6948,6944,7002,6818,6865,7030,7023,6917,6940,6928,7036,7077,7136,7165
"56","48","    Petroleum and petroleum products wholesalers","KS42270",11511,11609,11593,11744,12050,11735,11635,11412,11586,11613,11541,11729,11710,11575,12171,12759,13379,13244,13341,13582,14623,13987,13645,13586,14012,13961,13329,12451,11666,11753,11638,11068,11307,11284,11370,10799,10808,10528,10469,10549,10367,10519,10261,10609,10181,10171,10585,10109,10083,10575,10802,10977,11473,11592,11958,11826,11671,12146,13054,13324,13868,13802,13461,13243,12819,12274,12408,12025,12239,11644,11548,12220,11656,10796,10676,11217,11766,11908,11278,11732,11942,11985,11822,11540,11199,11447,11302,11203,11224,11391,12919,12973,12360,12424,12107,12839,12755,12480,13027,12727,12742,12177,12819,12990,12833,12277,12548,12801,13826,13625,13088,12594,13106,12699,12884,12513,13010,12990,13110,12104,11859,11959,12047,12698,12550,12488,12486,12209,12215,12040,11704,11952,11076,10878,9607,10230,9664,10167,10503,10336,10177,8944,9787,10723,11808,12228,13312,13466,13400,13179,12732,13194,12860,12907,13660,13964,13754,13607,14060,15050,14993,14793,15268,14988,14790,14543,13607,13337,13050,13399,13106,13515,14315,14348,14959,14626
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5742,5554,5390,5626,5451,5772,5727,5810,5964,5785,5802,6160,5972,6086,6444,5989,5969,6190,6060,6205,6255,6350,6620,6361,6462,6684,7071,6759,6977,6755,6877,6825,6661,6649,6611,6683,6769,6796,6732,6783,6828,6612,6617,6657,6667,6721,6756,6821,6771,6751,6661,6662,6628,6789,6660,6651,6728,6667,6505,6546,6660,6625,6819,6880,6844,6736,6759,6560,6824,6946,6999,7009,7015,6920,6992,6858,6930,6929,6995,6756,7014,7011,7240,7156,7104,7054,7024,7151,7210,7327,7311,7258,7098,7114,7242,7451,7492,7523,7457,7504,7464,7492,7359,7732,7745,7894,7926,7847,7741,7678,7989,8046,8235,8072,8047,8207,8307,8285,8422,8511,8706,8795,8732,8960,8781,8879,9174,8914,9203,9224,9172,9275,9411,9336,9326,9246,9481,9469,9551,9483,9686,9663,9643,9785,9573,9645,9836,9663,9569,9755,9450,9613,9321,9357,9370,9091,9409,9339,9254,8979,9382,9339,9591,9745,9563,9545,9565,9773,9602,9746,9860,9901,10077,9982,9860,9871
"58","50","    Miscellaneous nondurable goods wholesalers","KS42290",18894,18475,18355,18574,18558,18429,18243,18879,19412,19069,19018,19352,19037,19671,19883,19512,19679,19964,20015,19881,20012,19730,20301,20249,20244,19860,19999,20159,19200,19470,19725,20056,20144,19865,19880,19896,19981,19941,19751,19566,19626,19651,19546,19665,19566,19797,19499,19527,19245,19488,19233,19408,19594,19751,19610,19666,19140,18923,18708,18249,17965,17909,17896,17774,17911,17569,17822,17643,17362,17369,17203,17336,17168,16986,17242,16956,16540,16529,16615,16770,17308,17253,17340,17189,17708,17376,16802,16970,17152,17512,18109,17835,17877,18420,18900,19039,19105,19254,18918,19480,19353,19649,19327,19322,19535,19205,19143,19549,19539,19346,19508,19545,19420,19187,19068,19353,19272,19150,18918,19013,18832,19372,19718,20042,19307,19056,19159,19180,19260,19550,19724,19662,19851,20109,20142,20360,20637,20549,20234,19940,19968,19869,19792,19654,19359,19756,19439,19205,18961,19008,19484,19016,18785,18694,18436,18372,18576,18473,18754,18689,18726,18465,18335,18457,18665,18658,18994,18882,19146,19328,19477,19723,20004,20402,20461,20355
"59","51","Retail trade industries","KS440",335397,338649,336607,340817,342559,342365,345143,344039,346473,347980,349349,349502,350420,352910,357009,360764,358405,357422,358182,357522,359543,360615,363815,364658,368991,371190,374718,375894,376524,378200,378925,379032,380151,383000,386071,390491,389635,390479,392469,394800,398879,401771,403787,406742,407218,409866,411170,411140,410016,406560,405298,406454,407638,407268,408109,410030,410280,400470,395795,400491,404051,405208,405408,406003,409240,411757,412909,412047,415990,417970,422723,424208,425978,427791,430515,432263,431484,432558,434349,431701,436862,438110,441400,441525,442889,445273,449457,454424,455498,456848,457409,459779,459937,462272,464213,465196,466749,469254,468880,467692,467420,466088,458667,461002,464715,467111,468324,469814,470345,468143,472738,469625,473242,474794,474262,476784,478275,475619,476344,480574,478513,480242,478478,480140,480184,480857,482927,485941,484224,486529,484727,484802,483495,480548,476515,473952,472809,471827,476168,470030,467774,466594,462371,458320,451072,447662,444845,442651,435210,429878,424098,415165,417639,415950,412652,412510,414402,415126,417006,419974,422188,425071,426233,430008,432175,429881,427140,428757,429050,426805,428585,428167,425327,423468,422796,422506
"60","52","  Motor vehicle and parts dealers","KS4410",98549,99689,98891,101293,101345,100642,102254,102277,102039,103492,104648,103938,104101,105103,106563,109198,108612,104931,104288,102786,103784,104726,106193,105879,108442,110066,112226,112052,112022,112163,112725,112158,112630,114817,116237,118215,118458,117689,118598,120731,122239,124564,126739,127657,128531,129447,129822,129949,128574,125081,123406,124540,125730,125965,127448,127576,128341,118449,115987,121029,123669,125075,125921,126318,128248,130520,129955,129031,131119,133954,138042,138202,139934,140794,142450,143794,144398,145400,145935,144217,147308,147897,150565,151123,152449,153311,154845,157994,157950,158261,158431,158999,158750,160192,159836,158750,158663,160634,159564,158353,157253,154818,148605,149471,152945,156027,155995,155962,155557,154414,156267,153785,155945,156324,155504,155558,156595,153078,152687,155595,153877,153978,153370,155486,153561,154099,156852,159568,158652,159949,160313,158434,157259,155939,155198,152285,152640,152945,156705,151708,149106,147595,147032,146265,140104,137460,135313,134982,129317,124548,119532,111618,116398,115105,113613,114013,116881,118232,117492,119208,120453,122962,124054,127034,127920,127234,124066,123507,123179,121542,121225,121256,117763,115485,115937,114615
"61","53","  Furniture, furnishings, electronics, and appliance stores","KS44230",15526,15563,15382,15153,15520,15482,15648,15470,15598,15771,15768,15769,15755,15960,16230,16336,16224,16204,16347,16448,16528,16675,16846,16841,17024,17256,17101,17353,17346,17581,17779,17836,17913,18013,18057,18332,18170,18427,18829,18814,18969,19432,19386,19678,19326,19678,20304,20075,20131,19932,20216,20256,20016,19708,19579,19600,19504,19654,19795,19758,20228,20353,20359,20320,20651,20468,20827,20843,21275,21376,21454,21519,21672,21953,21867,22056,22070,22519,22537,22569,22830,23299,23367,23341,23325,23686,24345,24681,25054,25036,25258,25730,25684,25454,25797,26605,26452,26503,26709,26934,27481,27781,27638,27716,27530,27334,27498,27863,28024,28254,28493,28528,28701,28727,28689,28683,28692,28619,28729,28949,29268,29582,29489,29305,29218,29405,29539,29524,29765,30273,30374,30197,29754,29478,28898,29001,28465,28492,28960,28860,28938,28979,26978,26558,26352,26198,25998,25943,25660,25531,25300,25261,25235,25620,25023,24973,25001,24972,25306,25493,26040,26235,26175,26375,26527,26389,26753,27098,27010,26649,26957,26865,26687,26747,26545,26493
"62","54","  Building material and garden equipment and supplies dealers","KS4440",36455,36523,36694,36825,36964,37197,37167,37312,37722,37552,37531,37890,38036,38519,38500,38563,38067,38679,38974,39524,39529,39510,39917,40080,40344,40517,40757,40893,40942,41151,41365,41415,41407,41714,41861,42284,42325,42508,42412,42773,42816,42977,43200,43497,43566,43543,43875,43576,43749,43651,43618,43697,43927,43761,43434,43752,43749,43854,43661,43593,43825,43802,44225,44464,44302,44287,44237,44267,44633,45288,44996,45236,44704,45435,45623,45344,45261,45463,45436,45611,46436,46171,46205,46357,46243,46638,46942,47342,47710,47770,47970,47940,47707,48207,48276,48770,49731,49417,49149,48693,49116,49265,49283,49419,49990,50082,50614,51028,51281,50206,50975,50784,50661,50869,51363,51901,51438,51167,51198,51002,50589,50811,50173,51387,51158,51293,51061,50839,50188,50551,50379,50291,50350,49851,49439,49288,49109,48953,48821,48793,48553,48125,47856,46972,46506,46499,46801,46242,45932,45565,45440,45287,45262,45024,44158,44677,44496,44506,44795,44819,45115,44568,44362,44319,44640,44627,44843,44941,45287,45392,45630,45457,45156,44944,44780,44764
"63","55","  Food and beverage stores","KS4450",32215,32250,32361,32300,32485,32492,32427,32769,32892,32727,32888,32672,32873,32743,32958,33234,33198,33479,33648,33558,33440,33441,33788,33774,34116,34166,34304,34202,34562,34745,34899,35113,35335,35365,35396,35536,35475,35502,35514,35483,35610,34977,34872,34897,35085,35058,34749,34898,35005,35125,35136,35196,35193,35299,35266,35268,35303,35477,35498,35351,35233,35307,35311,35298,35314,35316,35193,35354,35756,35027,35149,35524,35242,35226,35294,35004,34744,34499,34670,34628,34864,34398,34247,34245,34326,34244,34347,34393,34570,34584,34689,34653,34676,34629,34764,34651,34884,34845,34734,34761,34723,34784,34657,34752,34304,34564,34627,34547,34735,34889,34979,35086,35236,35277,35327,35339,35444,35447,35427,35457,35358,35192,35311,34942,35360,35663,35811,36168,36198,36405,36352,36469,36341,36384,36341,36480,36441,36453,36318,36287,36301,36435,36278,36114,36523,36594,36662,36637,36706,36484,36573,36421,36466,36484,36470,35854,36091,35979,36081,35822,35776,35827,35787,35785,35832,35700,35633,35710,35829,35659,35640,36012,36093,36172,36307,36440
"64","56","  Clothing and clothing accessories stores","KS4480",27178,27491,26861,27642,27760,27648,27749,27577,27985,27963,27910,28164,28319,28250,28691,28841,28711,29045,29129,29216,29579,29458,29489,29508,29833,30101,29907,30033,30173,30431,30168,30114,29887,30126,30421,30991,30438,31092,31554,31840,32426,32240,32666,33136,33145,33748,33786,34054,33760,33913,33696,33524,33306,33428,33210,33209,33484,33877,33041,32901,33102,32786,32560,33051,33123,33534,34062,34050,34320,34299,34308,34750,35122,35096,35187,34970,34937,34834,35034,35101,35010,34914,35311,35252,35297,35460,35512,36133,36433,36473,36502,36914,37054,37335,37645,37694,38128,38436,38603,38540,38403,38923,38907,38998,39091,39300,39114,39164,39002,39366,40121,40440,40808,40975,40851,40922,41125,41241,41728,42485,42390,42941,42407,42013,42181,41901,41676,41632,41743,41461,41307,41426,41327,41167,40710,40808,40330,40162,40337,40106,40207,40114,39750,39197,38769,38984,38189,37645,37336,37046,36680,36357,35732,35496,35283,34883,34795,34653,34742,34861,35167,35311,35308,35389,35355,35329,34939,35322,35544,35535,35571,35463,35547,35407,35187,35300
"65","57","  General merchandise stores","KS4520",61222,61767,61489,62130,62133,62331,62251,61771,62015,61593,61439,61742,61796,61719,61695,61723,60758,61652,61984,61967,62302,62322,62227,62123,62127,62315,62913,63390,63480,63475,63634,63898,63996,63664,64623,64935,65209,65475,65034,65089,65393,65704,65338,65437,65485,65962,65878,66013,66322,66387,67344,66983,67458,67530,66935,67871,67491,67489,66766,66175,66011,66270,65712,65531,66075,65624,66524,66681,66606,66577,67449,67641,67568,67333,67786,68738,68068,68036,68326,67794,68506,69145,68477,68652,68926,69392,70187,70245,70399,70976,70778,71230,71325,71576,72542,73177,73230,73371,74617,74510,74659,74603,74224,75091,75169,74824,74922,75387,74903,74379,74827,73620,74374,74496,75367,76007,76093,76789,77058,77026,77182,77451,77267,77369,77572,77398,76804,76771,76569,76768,75816,76829,77247,76861,75307,75758,75444,74904,75011,74563,75108,75211,74752,73716,73375,72678,73311,72712,72397,72615,72207,71799,71608,71623,71291,71134,70656,70376,71895,72367,72671,72980,73339,73750,74107,73717,73730,74458,74423,74557,75378,75054,75293,75152,74843,74952
"66","58","    Department stores","KS45210",43164,43544,43490,43877,43854,44043,43882,43553,43731,43554,43419,43618,43500,43318,43216,43111,42314,42940,43237,43104,43144,42929,42751,42627,42779,42592,42970,43155,43092,43003,42992,42975,42855,42504,43207,43277,43318,43446,42983,42952,43108,43110,42601,42583,42425,42846,42716,42633,42788,42680,43076,42859,42914,42767,42055,42555,42463,41904,41226,40709,40186,40295,39818,39396,39273,39153,39394,39270,39016,38680,39168,39181,38935,38468,38663,39267,38579,38390,38148,37751,38005,38225,37599,37520,37643,37654,37908,37964,38028,38010,37965,38091,37788,38016,38164,38237,38189,38232,39224,38353,38190,38242,38320,38363,38296,38074,37948,38286,37714,37300,37384,37214,37219,36877,37193,37446,37577,37776,38066,38104,38217,38239,37970,38152,38000,38126,37910,37736,37616,37881,37098,37687,37344,37244,36720,36524,36408,35887,35777,35414,35628,35710,35038,34503,33988,33448,33762,33380,33086,33293,32852,32789,32710,32474,32001,31848,32008,31752,31817,32010,32041,31931,32134,32045,31746,31825,31846,31921,31894,32042,32046,31777,31802,31552,31426,31427
"67","59","    Other general merchandise stores","KS45290",17737,17899,17667,17923,17950,17955,18043,17893,17958,17708,17691,17795,17976,18090,18172,18313,18157,18419,18449,18572,18875,19123,19211,19234,19080,19470,19688,19984,20142,20231,20406,20695,20921,20946,21197,21443,21681,21820,21850,21938,22087,22402,22555,22675,22887,22939,22988,23210,23365,23543,24108,23965,24390,24615,24743,25180,24889,25459,25421,25353,25724,25875,25798,26049,26727,26392,27058,27345,27529,27846,28229,28410,28588,28829,29087,29432,29458,29619,30159,30026,30485,30905,30866,31122,31274,31731,32274,32276,32367,32961,32809,33135,33534,33557,34377,34941,35041,35139,35393,36157,36470,36362,35905,36728,36874,36750,36974,37102,37189,37079,37442,36403,37153,37617,38173,38560,38513,39010,38988,38918,38962,39207,39291,39212,39563,39267,38890,39029,38946,38884,38707,39134,39878,39596,38574,39205,39010,38980,39189,39097,39427,39451,39642,39141,39298,39131,39451,39229,39202,39217,39239,38900,38786,39026,39152,39143,38526,38495,39913,40191,40457,40861,41017,41502,42130,41677,41670,42306,42297,42289,43082,43018,43227,43325,43143,43249
"68","60","  Other retail stores","KS44X0",65651,66826,66534,67182,67947,68283,69264,68552,70042,70553,70826,71045,71312,72366,74111,74509,74500,75444,75882,76195,76481,76487,77371,78610,79165,78644,79422,79856,79929,80596,80222,80423,80923,81139,81251,81892,81244,81471,82100,81539,82873,83075,82675,83485,83159,83410,83605,83443,83428,83655,83086,83419,83148,82720,83320,83880,83489,83245,82690,83082,83209,82728,82407,82092,82482,82898,82978,82727,83121,82109,81790,81828,82118,82344,82672,82631,82234,81971,82586,81993,82078,82406,83355,82665,82407,82611,83324,83665,83391,83759,83790,84305,84742,84879,85352,85539,85653,86034,85479,85878,85757,85890,85347,85543,85665,84976,85544,85853,86819,86626,87061,87336,87495,88091,87126,88304,88837,89164,89376,89956,89737,90162,90347,89591,90967,90957,91149,91481,91157,91246,90376,91219,91212,90818,90543,90126,90179,89772,90137,89570,89292,89780,89246,89071,88696,88345,87544,87530,86606,86599,86612,86280,85137,84796,84935,85165,84843,84860,85102,85912,85585,85949,86027,86315,86790,85891,86084,86584,86569,86138,86824,86668,87116,87752,87412,88030
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
