"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"74","63","D         Miscellaneous nondurable goods wholesalers","I42290",-157,-57,-678,-582,-510,-296,-451
"75","64","D     Nonmerchant wholesale industries","I42N0",1432,1330,-60,-1150,526,269,-402
"76","65","D       Durable goods industries","I42ND0",1093,800,294,-276,119,366,61
"77","66","D       Nondurable goods industries","I42NN0",339,530,-354,-874,407,-97,-463
"78","67","D Retail trade industries","I440",4204,3077,-1934,-1649,1121,620,-5
"79","68","D   Motor vehicle and parts dealers","I4410",938,323,-1072,-1101,419,1370,2317
"80","69","D   Furniture, furnishings, electronics, and appliance stores","I44230",1462,1564,839,669,777,470,234
"81","70","D   Building material and garden equipment and supplies dealers","I4440",-92,-10,-164,-258,4,-360,-500
"82","71","D   Food and beverage stores","I4450",126,-36,-288,-5,-733,-53,-690
"83","72","D   Clothing and clothing accessories stores","I4480",-56,-10,81,-102,95,131,-317
"84","73","D   General merchandise stores","I4520",56,-15,-18,278,-229,-93,-228
"85","74","D     Department stores","I45210",87,66,186,354,-181,-71,-32
"86","75","D     Other general merchandise stores","I45290",-31,-81,-204,-76,-48,-22,-196
"87","76","D   Other retail stores","I44X0",1770,1261,-1312,-1130,788,-845,-821
"88","77","D Other industries","IOTH0",468,847,-479,-1004,824,203,-159
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
