"","Table 5#6#5BM3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90"
"12","4","D   Durable goods industries","I30D0",4164,6312,4332,5724,6024,5424,6228,5964,4680,5448,3744,4308,6036,8880,10152,6444,4968,7200,8136,9444,8928,9588,11472,11772,9912,9060,8292,7236,4860,1872,960,-216,-1380,-1548,-2052,-4596,-6108,-10572,-9180,-1080,1440,480,-2592,-4464,-3192,-168,900,2880,756,684,2112,-636,-1152,1488,3516,5676,2028,4116,7248,5820,7956,5268,252,1140,888,-3072,132,2328,-1620,-1692,-1248,-1716,-876,-3000,-5700,-2472,120,996,4200,2376,-2472,-3588,-6948,-6108,-9696,-15708,-15636
"13","5","D   Nondurable goods industries","I30N0",7200,3264,3768,4584,2556,792,1452,1260,1284,864,300,1680,4212,5100,5004,4260,3480,3744,3744,3072,3228,3660,4944,6324,5640,5628,4884,2016,396,900,156,-2700,-4656,-5076,-4476,-5016,-7440,-9432,-8568,-5940,-5988,-8280,-7740,-4968,-4464,-6036,-6744,-5892,-6852,-5352,-2364,-2376,-1068,708,3144,5748,6084,9264,11604,11616,10644,6048,2028,1176,1368,900,408,-2532,-4740,-4308,-3600,-4896,-10056,-13548,-11940,-6552,-1980,-2016,-1488,-1416,-2592,-4680,-5724,-4812,-7932,-8268,-5988
"14","6","D Wholesale trade industries","IWT0",7788,5268,3084,3528,7104,9468,10500,7980,4692,5196,5760,8268,8340,9672,9204,7332,6852,7632,8604,12684,12144,8568,6840,4836,5352,4848,4536,2136,1536,2592,804,-2808,-2724,-3048,-4824,-7008,-9396,-12120,-11832,-6276,-2964,-900,2772,3444,588,-1776,-4380,-2604,-444,684,3660,3384,2508,4656,6588,5136,4068,8748,11796,7932,5592,1212,-2904,-420,1128,-1896,-4848,-9264,-12144,-7824,-1488,-1452,-6180,-9348,-8796,-1452,2184,1068,1524,-636,-4512,-9132,-15540,-15924,-17340,-17796,-19416
"15",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","D     Durable goods industries","IWTD0",4632,4944,3540,3456,5076,5388,6528,5988,4644,5820,5376,5640,4704,6336,7332,6240,5520,5676,5844,7944,7800,6852,6120,5388,5784,4836,5088,4524,3000,2052,840,-36,360,-288,-1392,-3144,-4056,-3912,-2460,300,1200,1044,1236,1692,2700,3300,2592,3648,5676,5652,5352,3132,1428,2100,2856,4044,2328,2616,4956,3960,3972,2940,336,216,-12,-1776,-660,1044,-876,-636,-1116,-1320,336,444,-2352,-1512,-48,696,1716,672,-2376,-3696,-5736,-6216,-7980,-11736,-12876
"17","8","D     Nondurable goods industries","IWTN0",3156,324,-456,72,2028,4080,3972,1992,48,-624,384,2628,3636,3336,1872,1092,1332,1956,2760,4740,4344,1716,720,-552,-432,12,-552,-2388,-1464,540,-36,-2772,-3084,-2760,-3432,-3864,-5340,-8208,-9372,-6576,-4164,-1944,1536,1752,-2112,-5076,-6972,-6252,-6120,-4968,-1692,252,1080,2556,3732,1092,1740,6132,6840,3972,1620,-1728,-3240,-636,1140,-120,-4188,-10308,-11268,-7188,-372,-132,-6516,-9792,-6444,60,2232,372,-192,-1308,-2136,-5436,-9804,-9708,-9360,-6060,-6540
"18",NA,"D   By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","      Merchant wholesale industries","I42W0",5688,3384,1536,1704,4968,8340,8664,6432,4128,4176,5256,7176,7368,8316,6864,6156,6348,7020,8220,10752,10872,7200,4884,2748,3936,3936,3384,1452,1428,2508,1068,-1848,-1956,-2124,-4008,-5664,-7308,-8808,-8736,-6036,-3432,-456,3900,5124,1644,-1608,-3744,-2184,228,1668,3096,3288,3024,4248,5964,3648,4020,8100,9060,6060,3000,-888,-2664,-348,624,-1092,-5292,-10776,-11196,-7488,-1260,-156,-4764,-8040,-6516,-996,1656,744,372,-1644,-3972,-8952,-14688,-15120,-15948,-15216,-17760
"20","10","D       Durable goods industries","I42WD0",3780,3144,2496,2436,3504,4452,4836,4536,4212,4824,4920,4776,4368,5760,5772,5652,5412,5496,5856,6372,6852,5832,4704,4080,4848,4176,4020,3468,2460,1692,768,348,432,-72,-1344,-2700,-3324,-2040,-588,-36,288,576,1392,2652,3108,2652,2484,3432,5748,6240,4932,3300,2172,1848,2568,3252,2988,2916,3420,3288,2328,1152,348,-108,-672,-924,-1056,-672,-384,-696,-1152,-444,360,120,-1404,-1464,-240,528,588,-360,-1932,-3780,-5304,-5916,-7584,-10128,-11772
"21","11","D       Nondurable goods industries","I42WN0",1908,240,-960,-732,1464,3888,3828,1896,-84,-648,336,2400,3000,2556,1092,504,936,1524,2364,4380,4020,1368,180,-1332,-912,-240,-636,-2016,-1032,816,300,-2196,-2388,-2052,-2664,-2964,-3984,-6768,-8148,-6000,-3720,-1032,2508,2472,-1464,-4260,-6228,-5616,-5520,-4572,-1836,-12,852,2400,3396,396,1032,5184,5640,2772,672,-2040,-3012,-240,1296,-168,-4236,-10104,-10812,-6792,-108,288,-5124,-8160,-5112,468,1896,216,-216,-1284,-2040,-5172,-9384,-9204,-8364,-5088,-5988
"22","12","D     Nonmerchant wholesale industries","I42N0",2100,1884,1548,1824,2136,1128,1836,1548,564,1020,504,1092,972,1356,2340,1176,504,612,384,1932,1272,1368,1956,2088,1416,912,1152,684,108,84,-264,-960,-768,-924,-816,-1344,-2088,-3312,-3096,-240,468,-444,-1128,-1680,-1056,-168,-636,-420,-672,-984,564,96,-516,408,624,1488,48,648,2736,1872,2592,2100,-240,-72,504,-804,444,1512,-948,-336,-228,-1296,-1416,-1308,-2280,-456,528,324,1152,1008,-540,-180,-852,-804,-1392,-2580,-1656
"23","13","D       Durable goods industries","I42ND0",852,1800,1044,1020,1572,936,1692,1452,432,996,456,864,336,576,1560,588,108,180,-12,1572,948,1020,1416,1308,936,660,1068,1056,540,360,72,-384,-72,-216,-48,-444,-732,-1872,-1872,336,912,468,-156,-960,-408,648,108,216,-72,-588,420,-168,-744,252,288,792,-660,-300,1536,672,1644,1788,-12,324,660,-852,396,1716,-492,60,36,-876,-24,324,-948,-48,192,168,1128,1032,-444,84,-432,-300,-396,-1608,-1104
"24","14","D       Nondurable goods industries","I42NN0",1248,84,504,804,564,192,144,96,132,24,48,228,636,780,780,588,396,432,396,360,324,348,540,780,480,252,84,-372,-432,-276,-336,-576,-696,-708,-768,-900,-1356,-1440,-1224,-576,-444,-912,-972,-720,-648,-816,-744,-636,-600,-396,144,264,228,156,336,696,708,948,1200,1200,948,312,-228,-396,-156,48,48,-204,-456,-396,-264,-420,-1392,-1632,-1332,-408,336,156,24,-24,-96,-264,-420,-504,-996,-972,-552
"25","15","D Retail trade industries","I440",4608,4452,4152,3816,3876,4788,5280,5112,4068,3300,3168,3828,6420,6060,4932,3120,1764,1632,2592,3684,3624,2220,768,108,276,3084,3396,1332,132,-1392,-3876,-5688,-6384,-6012,-4812,-3264,-1416,-1764,-1296,156,-2268,-5052,-1932,828,-384,-2472,-2424,-1764,-720,-1500,1296,-3552,-4764,1356,4080,1020,564,6216,6288,3168,4008,1872,216,1020,2928,2472,180,-468,-1368,-2436,-1572,588,-84,-4236,-4248,-108,2964,2064,288,12,420,1692,840,336,-432,228,-1980
"26","16","D   Motor vehicle dealers","I4410",456,252,264,276,588,1176,1932,2352,1896,828,456,780,2112,1380,780,732,696,420,156,-96,-144,-492,-984,-684,-192,1680,2376,1656,-192,-1740,-2148,-1992,-2940,-4080,-3468,-1824,-396,612,864,204,-1632,-3120,-2004,-588,-684,-1908,-2148,-2412,-996,-2688,540,-1824,-2112,1632,2352,804,924,3864,2388,144,1428,936,1536,2304,2496,1872,972,1224,1428,864,-36,1416,3324,1152,-2232,-2508,960,3528,3408,3072,3516,4596,4620,4368,4380,2796,588
"27","17","D   Food and beverage stores","I4450",624,324,-84,-252,-36,336,528,288,-132,-276,-36,228,432,312,48,-228,-156,48,24,-180,-192,-120,-108,-312,-756,-528,24,216,24,-276,-372,-348,-612,-756,-252,180,636,408,24,-360,-528,-348,168,360,120,-348,-276,84,-720,-1236,-1380,-1140,-972,-804,-468,-444,-696,-600,-168,-168,-132,-480,-504,276,684,408,-156,-264,-120,-108,-132,-108,-252,-552,-564,-672,-852,-660,-264,-252,-804,-1392,-1272,-744,-228,204,-12
"28","18","D   General merchandise stores","I4520",96,132,96,84,12,-12,24,48,72,24,36,60,96,60,36,-48,-132,-120,-72,-24,0,12,12,0,-96,-60,84,168,156,108,48,-72,-108,-204,-180,-60,324,360,276,192,228,228,228,288,312,288,312,300,-204,-300,-336,-408,-396,-372,-264,-216,-180,-108,-24,60,72,48,60,0,-48,-96,-120,-192,-204,-204,-204,-228,-156,-216,-240,-216,-204,-216,-228,-156,-156,-240,-372,-336,-204,-96,-144
"29","19","D   Other retail stores","I44Y0",3432,3744,3876,3708,3312,3288,2796,2424,2232,2724,2712,2760,3780,4308,4068,2664,1356,1284,2484,3984,3960,2820,1848,1104,1320,1992,912,-708,144,516,-1404,-3276,-2724,-972,-912,-1560,-1980,-3144,-2460,120,-336,-1812,-324,768,-132,-504,-312,264,1200,2724,2472,-180,-1284,900,2460,876,516,3060,4092,3132,2640,1368,-876,-1560,-204,288,-516,-1236,-2472,-2988,-1200,-492,-3000,-4620,-1212,3288,3060,-588,-2628,-2652,-2136,-1272,-2136,-2952,-4380,-2676,-2412
"30","20","D Other industries","IOTH0",968,968,968,1144,1144,1144,-52,-52,-52,-188,-188,-188,988,988,988,420,420,420,624,624,624,1356,1356,1356,1048,1048,1048,-420,-420,-420,-1140,-1140,-1140,-1404,-1404,-1404,-2184,-2184,-2184,-520,-520,-520,-328,-328,-328,-984,-984,-984,-844,-844,-844,-624,-624,-624,1296,1296,1296,3468,3468,3468,996,996,996,476,476,476,80,80,80,-740,-740,-740,-2136,-2136,-2136,2176,2176,2176,-560,-560,-560,-116,-116,-116,-372,-372,-372
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","E=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","  monthly data are underlying detail to the published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
