"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"73","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","C42280",336,194,342,237,-211,651,149
"74","63","D         Miscellaneous nondurable goods wholesalers","C42290",835,898,512,-59,-955,656,-593
"75","64","B     Nonmerchant wholesale industries","C42N0",2774,1999,2054,2539,-2519,906,-1508
"76","65","D       Durable goods industries","C42ND0",1943,1913,1384,1950,-2138,580,-1345
"77","66","D       Nondurable goods industries","C42NN0",831,86,670,589,-381,326,-163
"78","67","B Retail trade industries","C440",14604,17007,27358,21616,-11143,19146,16824
"79","68","D   Motor vehicle and parts dealers","C4410",4988,2197,12938,12304,-8903,12740,9749
"80","69","D   Furniture, furnishings, electronics, and appliance stores","C44230",1245,2114,2165,2101,-464,2572,2314
"81","70","D   Building material and garden equipment and supplies dealers","C4440",1363,2307,2273,1380,19,2141,3543
"82","71","D   Food and beverage stores","C4450",345,1204,1821,-153,590,34,-368
"83","72","D   Clothing and clothing accessories stores","C4480",1172,1152,1276,2531,-989,939,320
"84","73","D   General merchandise stores","C4520",170,861,2686,1064,-61,1164,1030
"85","74","D     Department stores","C45210",258,-704,655,-625,-2124,-2912,-1830
"86","75","D     Other general merchandise stores","C45290",-88,1565,2031,1689,2063,4076,2860
"87","76","D   Other retail stores","C44X0",5321,7172,4199,2389,-1335,-444,236
"88","77","B Other industries","COTH0",5329,5696,7116,12396,-491,226,912
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
