"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"27","19","D       Beverage and tobacco product manufacturing","KC3120",721,-80,-166,-110,546,-268,-30
"28","20","D       Textile mills","KC3130",20,129,188,-423,-695,-608,6
"29","21","D       Textile product mills","KC3140",268,-220,343,417,119,207,288
"30","22","D       Apparel manufacturing","KC3150",432,-60,640,-282,-1724,-428,206
"31","23","D       Leather and allied product manufacturing","KC3160",45,24,10,-102,-172,44,18
"32","24","D       Paper manufacturing","KC3220",566,-366,1047,-544,-237,582,-567
"33","25","D       Printing and related support activities","KC3230",215,-498,701,-359,-291,315,-420
"34","26","D       Petroleum and coal product manufacturing","KC3240",1249,-794,-297,-307,1183,1076,-518
"35","27","D       Chemical manufacturing","KC3250",2403,1155,3151,1854,-1165,-78,94
"36","28","D       Plastics and rubber product manufacturing","KC3260",541,724,935,1,-658,868,517
"37",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA
"38","29","D     Materials and supplies","KC30M0",9584,4654,8754,5654,-8487,-7205,-9691
"39","30","D       Durable goods industries","KC30DM0",7406,4809,5611,7630,-7645,-6435,-7196
"40","31","D       Nondurable goods industries","KC30NM0",2058,-271,3125,-1976,-863,-789,-2561
"41","32","D     Work-in-process","KC30W0",3229,7559,1140,-4069,-9419,-2871,-1029
"42","33","D       Durable goods industries","KC30DW0",1231,8043,-197,-4215,-8452,-4192,-983
"43","34","D       Nondurable goods industries","KC30NW0",2069,-619,1393,146,-956,1353,-48
"44","35","D     Finished goods","KC30F0",7897,6444,7069,6297,-5502,2500,-2448
"45","36","D       Durable goods industries","KC30DF0",4881,5095,3113,3842,-3789,979,-2953
"46","37","D       Nondurable goods industries","KC30NF0",2960,1242,3972,2455,-1709,1521,425
"47","38","B Wholesale trade industries","KCWT0",25058,22539,19710,17606,-12659,-729,-1719
"48",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA
"49","39","B     Durable goods industries","KCWTD0",16288,16667,13349,11958,-17096,-1548,-736
"50","40","B     Nondurable goods industries","KCWTN0",8680,5620,6297,5648,4257,783,-949
"51",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA
"52","41","B     Merchant wholesale industries","KC42W0",22281,20342,17545,15067,-10048,-1623,-222
"53","42","B       Durable goods industries","KC42WD0",14508,14823,11968,10008,-14890,-2137,631
"54","43","D         Motor vehicles, parts, and supplies wholesalers","KC42110",1421,444,2320,724,-1757,1582,1061
"55","44","D         Furniture and home furnishings wholesalers","KC42120",179,146,278,423,-593,-143,346
"56","45","D         Lumber and other construction materials wholesalers","KC42130",376,-51,387,448,-6,107,326
"57","46","D         Professional and commercial equipment wholesalers","KC42140",4055,1941,3434,889,-2016,666,1587
"58","47","D           Computers and software wholesalers","K421430",2691,1760,2193,-420,-1158,762,1420
"59","48","D           Other professional and commercial equipment wholesalers","K4214X0",734,-191,1180,1309,-883,33,408
"60","49","D         Metal and mineral (except petroleum) wholesalers","KC42150",797,1417,292,346,-1132,158,-224
"61","50","D         Electrical goods wholesalers","KC42160",774,1921,3266,3477,-4769,-101,-634
"62","51","D         Hardware and plumbing and heating equipment wholesalers","KC42170",115,820,218,913,-597,-157,22
"63","52","D         Machinery, equipment, and supplies wholesalers","KC42180",4543,5666,1099,747,-2930,-3392,-2121
"64","53","D         Miscellaneous durable goods wholesalers","KC42190",1186,2498,434,2041,-1103,-645,573
"65","54","B       Nondurable goods industries","KC42WN0",7715,5378,5534,5059,4629,470,-792
"66","55","D         Paper and paper products wholesalers","KC42210",737,151,46,479,-489,-131,297
"67","56","D         Drugs and druggists' sundries wholesalers","KC42220",1731,960,3177,4245,6148,464,794
"68","57","D         Apparel, piece goods, and notions wholesalers","KC42230",1413,14,-789,-35,-230,73,-565
"69","58","D         Grocery and related products wholesalers","KC42240",957,-21,2004,449,-826,1287,-519
"70","59","D         Farm product raw material wholesalers","KC42250",1112,1908,944,621,-384,-2088,64
"71","60","D         Chemical and allied products wholesalers","KC42260",301,416,155,-399,224,-174,-122
"72","61","D         Petroleum amd petroleum products wholesalers","KC42270",103,734,-1432,-479,1494,-204,-305
"73","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",351,204,353,237,-205,622,141
"74","63","D         Miscellaneous nondurable goods wholesalers","KC42290",900,961,506,-59,-922,618,-553
"75","64","B     Nonmerchant wholesale industries","KC42N0",2756,2140,2140,2539,-2623,915,-1495
"76","65","D       Durable goods industries","KC42ND0",1786,1847,1382,1950,-2206,592,-1376
"77","66","D       Nondurable goods industries","KC42NN0",927,148,737,589,-411,322,-158
"78","67","B Retail trade industries","KC440",14645,17298,27658,21616,-11115,19194,16885
"79","68","D   Motor vehicle and parts dealers","KC4410",5078,2268,13060,12304,-8872,12928,9972
"80","69","D   Furniture, furnishings, electronics, and appliance stores","KC44230",1014,1928,2118,2101,-473,2692,2454
"81","70","D   Building material and garden equipment and supplies dealers","KC4440",1381,2339,2291,1380,20,2124,3471
"82","71","D   Food and beverage stores","KC4450",359,1246,1845,-153,576,34,-332
"83","72","D   Clothing and clothing accessories stores","KC4480",1169,1150,1273,2531,-990,940,318
"84","73","D   General merchandise stores","KC4520",171,874,2697,1064,-63,1150,1008
"85","74","D     Department stores","KC45210",259,-703,656,-625,-2118,-2915,-1821
"86","75","D     Other general merchandise stores","KC45290",-90,1595,2051,1689,2034,4004,2768
"87","76","D   Other retail stores","KC44X0",5432,7468,4352,2389,-1326,-443,310
"88","77","B Other industries","KCOTH0",5414,5868,7346,12396,-515,250,963
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business (NIPA table 5.6.6B).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
