"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"11","3","D Manufacturing industries","X300",5512,15080,14812,18056,19972,9004,-1368,-5948,-1168,1976,18072,36988,14364,26280,12900,15700,-5552,-26136,-40620,-41912,-27524,-12496,4344,1980,2636,-11288,-15668,828,21720
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","D     Durable goods industries","X30D0",5552,11264,9940,8756,21220,13424,3708,-816,-720,-4760,9220,18944,3340,14456,6876,14908,-6164,-18592,-32900,-31848,-25268,-12636,-6408,3396,-10152,-13476,-17264,4516,9764
"14","5","D       Wood product manufacturing","X3210",156,500,1532,284,-428,256,600,552,792,392,-184,1464,412,-348,-640,740,-1056,688,-504,-1792,824,-344,-364,-496,-12,-1052,-604,880,1360
"15","6","D       Nonmetallic mineral product manufacturing","X3270",340,672,-304,112,244,-64,-8,-36,-220,8,1064,756,56,484,484,1060,484,-296,-584,-1036,-996,-52,80,436,1008,564,-516,-1928,-116
"16","7","D       Primary metal manufacturing","X3310",1332,-732,-12,964,-960,672,620,-2032,-2324,-100,-84,2524,1796,532,-896,-1876,-1448,-3764,-2840,-2732,-2904,-120,548,1208,864,-3592,-3220,-364,2832
"17","8","D       Fabricated metal product manufacturing","X3320",888,1692,208,2404,184,3152,-532,-1000,-1340,-148,1416,2404,780,4136,376,-144,-36,-1296,-2108,-4316,-2084,-1728,776,-424,-536,-796,-2384,392,1468
"18","9","D       Machinery manufacturing","X3330",-640,4080,-132,2352,3668,-180,3196,-1740,548,-1476,-536,2744,392,4176,2920,4964,-552,-4848,-6576,-6488,-3428,-4540,-1672,684,-4180,-1776,-2656,708,3200
"19","10","D       Computer and electronic product manufacturing","X3340",1064,3512,5872,1492,2144,-3248,-4988,-5828,4120,548,2668,3756,1868,13196,7848,17872,1204,-4924,-16900,-13088,-5228,-7348,-1968,-3932,-8388,-5784,-3208,3404,-1916
"20","11","D       Electrical equipment, appliance, and component manufacturing","X3350",552,1860,276,-696,360,-1120,172,500,-876,520,420,-80,152,1140,1576,1104,200,-1508,-1720,-1044,-1624,-748,-1192,-1564,-176,-492,-972,240,-364
"21","12","D       Transportation equipment manufacturing","X3360",2100,-772,2744,48,14992,13444,4296,9688,-2148,-5584,3204,3636,-4476,-10292,-7012,-8544,-5648,-1800,-664,64,-9064,508,-3508,7016,280,-268,-3556,704,2196
"22","13","D         Motor vehicle and parts manufacturing","X336MV0",1552,4,1936,-2484,2844,-1092,-2524,2644,2108,-736,-128,4104,380,1184,768,-1604,-3072,-940,-3032,-3476,-1260,2428,1516,64,-592,-952,-1504,912,3316
"23","14","D         Other transportation equipment manufacturing","X336OT0",548,-776,808,2532,12148,14536,6820,7044,-4256,-4848,3332,-468,-4856,-11476,-7780,-6940,-2576,-860,2368,3540,-7804,-1920,-5024,6952,872,684,-2052,-208,-1120
"24","15","D       Furniture and related product manufacturing","X3370",-40,636,-152,220,216,232,-64,-92,312,252,152,820,716,620,232,-452,428,-384,-676,-1356,-716,164,-20,148,128,-4,-596,-496,204
"25","16","D       Miscellaneous durable goods manufacturing","X3390",-200,-184,-92,1576,800,280,416,-828,416,828,1100,920,1644,812,1988,184,260,-460,-328,-60,-48,1572,912,320,860,-276,448,976,900
"26","17","D     Nondurable goods industries","X30N0",-40,3816,4872,9300,-1248,-4420,-5076,-5132,-448,6736,8852,18044,11024,11824,6024,792,612,-7544,-7720,-10064,-2256,140,10752,-1416,12788,2188,1596,-3688,11956
"27","18","D       Food manufacturing","X3110",-440,992,-12,2148,-740,-904,-928,-328,-20,96,2544,2308,4344,80,-492,1000,56,1240,-780,-580,-408,2300,1148,-308,3076,-552,720,-1268,1436
"28","19","D       Beverage and tobacco product manufacturing","X3120",-200,1184,1520,1040,1044,-1268,-476,1128,-908,32,-1368,1736,732,372,528,-976,776,32,1104,188,520,-32,148,-1132,-164,724,1016,-1172,668
"29","20","D       Textile mills","X3130",88,-24,-100,-132,304,0,48,-172,-440,-128,-24,452,-640,-200,-492,-288,-460,-696,-964,-1208,-1352,-888,-164,-192,376,336,-76,-516,-368
"30","21","D       Textile product mills","X3140",248,472,236,112,-40,-444,-308,-436,92,372,-8,324,440,776,400,304,16,-400,-140,328,-532,500,344,-100,428,-72,124,496,-256
"31","22","D       Apparel manufacturing","X3150",172,1112,456,-68,152,-576,-108,-96,-404,508,912,344,-688,-832,-120,508,-732,-1344,-2612,-2540,-1964,-768,288,160,580,408,-84,-448,-992
"32","23","D       Leather and allied product manufacturing","X3160",-136,264,-92,128,-28,52,-40,-196,-180,68,44,104,8,-96,0,-76,144,-368,-48,-352,-376,68,204,324,44,16,-84,368,-232
"33","24","D       Paper manufacturing","X3220",36,-1624,916,1264,368,468,-528,-1716,132,20,1132,92,1428,968,-108,-1596,-752,-488,-88,304,-980,-632,-264,612,584,428,-448,-1460,-924
"34","25","D       Printing and related support activities","X3230",-1128,988,-24,1056,-804,-144,752,-1436,-36,68,-228,924,672,-380,316,-400,296,-600,-596,-696,-1344,768,-504,740,-316,-660,304,-316,-124
"35","26","D       Petroleum and coal product manufacturing","X3240",344,-1904,-28,-480,-4904,-2000,-2008,-656,140,1116,3944,3892,2624,2844,164,228,-80,784,-68,-2076,2020,1448,2344,812,1940,-2540,1272,-1524,4152
"36","27","D       Chemical manufacturing","X3250",360,1384,2248,3948,3444,56,-940,-1548,1240,3964,80,6168,2076,5588,5768,1840,1472,-3452,-2048,-2260,-1776,-1008,5300,-1432,3872,2168,60,592,7908
"37","28","D       Plastics and rubber product manufacturing","X3260",616,972,-248,284,-44,340,-540,324,-64,620,1824,1700,28,2704,60,248,-124,-2252,-1480,-1172,3936,-1616,1908,-900,2368,1932,-1208,1560,688
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","X30M0",7592,5712,10412,4416,10032,2108,-2692,-11724,1728,64,5692,20108,2956,17020,9164,4128,-1108,-11772,-18488,-14924,-7052,-9872,-4472,-8356,-2204,-8652,-11588,-3004,10516
"40","30","D       Durable goods industries","X30DM0",5632,5920,8908,3428,7876,5560,-716,-7228,2976,-1176,3108,11964,16,15096,9144,8052,-3244,-9420,-15772,-10496,-5816,-8740,-5112,-5740,-6224,-6816,-10232,276,7492
"41","31","D       Nondurable goods industries","X30NM0",1960,-208,1504,988,2156,-3452,-1976,-4496,-1248,1240,2584,8144,2940,1924,20,-3924,2136,-2352,-2716,-4428,-1236,-1132,640,-2616,4020,-1836,-1356,-3280,3024
"42","32","D     Work-in-process","X30W0",-3128,-3916,2824,6584,4476,10184,-108,160,-3584,-3744,3388,5788,84,-1908,-8800,3904,-7452,-10488,-6136,-16288,-12556,-1708,612,3536,3100,-4532,-2424,4244,7568
"43","33","D       Durable goods industries","X30DW0",-2312,-5076,-724,3856,7044,10060,2192,928,-5156,-6868,5276,2208,248,-4300,-9772,2128,-5496,-8440,-7360,-13072,-14672,-3904,-4604,6868,-1156,-3228,-3128,5120,2660
"44","34","D       Nondurable goods industries","X30NW0",-816,1160,3548,2728,-2568,124,-2300,-768,1572,3124,-1888,3580,-164,2392,972,1776,-1956,-2048,1224,-3216,2116,2196,5216,-3332,4256,-1304,704,-876,4908
"45","35","D     Finished goods","X30F0",1048,13284,1576,7056,5464,-3288,1432,5616,688,5656,8992,11092,11324,11168,12536,7668,3008,-3876,-15996,-10700,-7916,-916,8204,6800,1740,1896,-1656,-412,3636
"46","36","D       Durable goods industries","X30DF0",2232,10420,1756,1472,6300,-2196,2232,5484,1460,3284,836,4772,3076,3660,7504,4728,2576,-732,-9768,-8280,-4780,8,3308,2268,-2772,-3432,-3904,-880,-388
"47","37","D       Nondurable goods industries","X30NF0",-1184,2864,-180,5584,-836,-1092,-800,132,-772,2372,8156,6320,8248,7508,5032,2940,432,-3144,-6228,-2420,-3136,-924,4896,4532,4512,5328,2248,468,4024
"48","38","D Wholesale trade industries","XWT0",17696,26860,8388,23572,19696,2804,18328,13624,14464,6604,24916,30208,30536,28236,12280,14520,-1160,-4840,-26508,-37352,-14080,-4300,16080,10064,2948,-5676,-168,17188,24288
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","D     Durable goods industries","XWTD0",12104,24288,1808,10760,19396,-944,13552,11468,7812,6708,11104,20372,16240,22252,3948,2964,-4648,-20264,-26392,-29972,-15700,-4836,8980,4972,1124,-4784,-7436,14296,19524
"51","40","D     Nondurable goods industries","XWTN0",5592,2572,6580,12812,300,3748,4776,2156,6652,-104,13812,9836,14296,5984,8332,11556,3488,15424,-116,-7380,1620,536,7100,5092,1824,-892,7268,2892,4764
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","D     Merchant wholesale industries","X42W0",15836,24440,9324,21548,18420,3672,17948,11736,13592,3836,21952,28356,26428,25368,7616,11404,-1796,-3780,-19696,-32408,-10964,-4300,12868,7612,5736,-5252,1864,16368,21536
"54","42","D       Durable goods industries","X42WD0",10208,22224,3264,9864,17116,-180,12508,9576,6912,4464,10296,19964,13876,21004,664,956,-5000,-19592,-21376,-26280,-13268,-4960,7048,3740,4160,-3840,-5028,13532,17944
"55","43","D         Motor vehicles, parts, and supplies wholesalers","X42110",1404,3828,540,-2680,4468,-6980,1276,3528,1688,2392,3776,2176,3152,2912,-3508,1572,-1220,-2876,28,-4304,-2252,1924,2112,3400,912,1288,-4588,6216,3140
"56","44","D         Furniture and home furnishings wholesalers","X42120",-748,688,388,204,-56,676,220,-48,108,200,88,780,576,1120,-204,420,108,-1248,-524,-676,-680,-48,224,92,540,188,-8,884,440
"57","45","D         Lumber and other construction materials wholesalers","X42130",520,1316,280,-412,-324,-128,-372,-156,632,928,920,240,956,300,-804,504,-668,-752,1176,160,-288,100,300,412,396,-256,176,2120,2676
"58","46","D         Professional and commercial equipment wholesalers","X42140",196,7816,2512,1900,4660,-3856,-2296,-3628,816,-584,8,5044,-1452,-596,2016,-1752,-3592,-2720,-4656,-3612,-796,1260,84,-1528,2156,-168,1216,-400,592
"59","47","D           Computers and software wholesalers","X421430",828,6280,2108,-104,3500,-3264,-3608,-1072,-1556,60,-1204,3152,-4668,-2188,1568,-2156,-2560,-3404,-3216,-2300,440,904,-944,-1804,728,-56,-1084,792,-220
"60","48","D           Other professional and commercial equipment wholesalers","X4214X0",-632,1536,404,2004,1160,-592,1312,-2556,2372,-644,1212,1892,3216,1592,448,404,-1032,684,-1440,-1312,-1236,356,1028,276,1428,-112,2300,-1192,812
"61","49","D         Metal and mineral (except petroleum) wholesalers","X42150",2300,1220,-272,64,1096,36,1412,368,-2588,488,-588,2668,3748,1816,-340,-3088,-1664,-1256,-2028,-1656,-524,340,2908,256,-220,-1092,-640,2596,7296
"62","50","D         Electrical goods wholesalers","X42160",2568,232,-292,-1048,2396,2352,1024,852,412,1160,3956,6388,1068,3600,4244,4264,160,-5028,-7908,-7760,-2628,-1656,2720,100,-1188,-1192,-276,-740,3728
"63","51","D         Hardware and plumbing and heating equipment wholesalers","X42170",-624,952,268,72,1588,1168,48,396,324,72,48,716,936,2076,140,772,-748,-748,408,-852,-712,-348,296,296,1560,-1028,-352,304,84
"64","52","D         Machinery, equipment, and supplies wholesalers","X42180",3232,7356,-2148,8968,3500,5216,7432,7896,4320,964,1000,-904,1304,4812,964,-2576,3236,-652,-5688,-6972,-4056,-6260,-1912,-128,-908,-2092,-2068,-1584,-72
"65","53","D         Miscellaneous durable goods wholesalers","X42190",1360,-1184,1988,2796,-212,1336,3764,368,1200,-1156,1088,2856,3588,4964,-1844,840,-612,-4312,-2184,-608,-1332,-272,316,840,912,512,1512,4136,60
"66","54","D       Nondurable goods industries","X42WN0",5628,2216,6060,11684,1304,3852,5440,2160,6680,-628,11656,8392,12552,4364,6952,10448,3204,15812,1680,-6128,2304,660,5820,3872,1576,-1412,6892,2836,3592
"67","55","D         Paper and paper products wholesalers","X42210",468,-60,1648,504,664,-148,-352,44,216,444,644,-440,1752,680,664,540,-348,-644,-884,-864,-820,352,-408,92,152,-16,-52,964,-80
"68","56","D         Drugs and druggists' sundries wholesalers","X42220",1148,960,3016,1364,3968,836,724,2464,3320,5608,2176,1804,4560,2924,4800,5356,3040,10032,9268,2812,712,-1952,404,3584,4644,932,2652,-4016,2176
"69","57","D         Apparel, piece goods, and notions wholesalers","X42230",2244,1712,8,2156,-736,488,-88,392,-1516,-2876,-892,1692,776,-212,148,-928,2296,2596,-2048,-3724,-772,-484,2640,-1656,-4,-104,-1356,-728,340
"70","58","D         Grocery and related products wholesalers","X42240",-224,420,-388,3328,-164,2108,-132,-1048,2872,-328,3756,2296,-188,-1048,2708,1056,-952,-676,-560,440,1128,2952,-164,684,700,-2716,2576,1336,-756
"71","59","D         Farm product raw material wholesalers","X42250",1356,140,-1236,2604,-3120,-644,3120,664,-768,-464,2152,-2168,3448,272,-1652,3092,-1396,692,-1100,-1020,1068,-1084,-404,-2940,-1472,1348,164,4144,6360
"72","60","D         Chemical and allied products wholesalers","X42260",444,548,84,-40,-496,368,1008,136,-16,-272,240,968,388,0,-524,-380,104,600,-16,-344,-200,-120,452,-64,-136,112,-172,540,-996
"73","61","D         Petroleum amd petroleum products wholesalers","X42270",-1292,-1124,72,220,-1080,212,220,-1716,652,676,688,-600,1016,392,-36,948,-1288,-16,-264,1204,1072,-732,964,1776,-1540,-60,1080,812,-872
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","X42280",-1080,964,428,1228,1408,-392,572,-344,2452,-920,-196,140,440,40,420,772,-724,656,-320,-204,948,124,368,1328,92,104,84,396,-880
"75","63","D         Miscellaneous nondurable goods wholesalers","X42290",2564,-1344,2428,320,860,1024,368,1568,-532,-2496,3088,4700,360,1316,424,-8,2472,2572,-2396,-4428,-832,1604,1968,1068,-860,-1012,1916,-612,-1700
"76","64","D     Nonmerchant wholesale industries","X42N0",1860,2420,-936,2024,1276,-868,380,1888,872,2768,2964,1852,4108,2868,4664,3116,636,-1060,-6812,-4944,-3116,0,3212,2452,-2788,-424,-2032,820,2752
"77","65","D       Durable goods industries","X42ND0",1896,2064,-1456,896,2280,-764,1044,1892,900,2244,808,408,2364,1248,3284,2008,352,-672,-5016,-3692,-2432,124,1932,1232,-3036,-944,-2408,764,1580
"78","66","D       Nondurable goods industries","X42NN0",-36,356,520,1128,-1004,-104,-664,-4,-28,524,2156,1444,1744,1620,1380,1108,284,-388,-1796,-1252,-684,-124,1280,1220,248,520,376,56,1172
"79","67","D Retail trade industries","X440",-6316,17380,14092,16444,33012,8700,6664,7344,31160,12396,21756,51856,9588,38756,23584,21132,-4184,-12580,-4044,-28248,1352,16968,28000,27784,29764,13544,10772,13236,29476
"80","68","D   Motor vehicle and parts dealers","X4410",-4260,3788,5056,11616,13352,-940,-3688,-1228,19600,516,10004,25920,3836,25836,17096,6852,-8796,-7212,-2472,-18808,2672,10580,12920,19308,17992,14420,-2216,-468,18824
"81","69","D   Furniture, furnishings, electronics, and appliance stores","X44230",-104,176,-744,-196,1232,-324,304,988,136,1692,1596,1880,1840,2512,-1184,2560,-1472,-2844,-2096,1448,3256,2128,2656,368,-304,3224,1932,3468,840
"82","70","D   Building material and garden equipment and supplies dealers","X4440",372,2264,2536,648,2932,416,3184,2736,1924,1456,2248,4120,1460,4056,2252,-1216,92,-4,240,-268,3716,576,2340,3372,3344,2280,6784,3764,5524
"83","71","D   Food and beverage stores","X4450",-20,24,1600,-728,1956,2028,120,856,2156,880,3224,2176,-148,-1292,524,324,2444,1552,648,648,-1364,-276,2244,-256,1264,-192,1888,-1672,176
"84","72","D   Clothing and clothing accessories stores","X4480",-1820,3596,1696,1440,1888,1944,1992,-1176,2184,1560,-2936,3972,360,2440,3304,4428,-180,-804,0,-3352,-2484,1828,2264,1624,3588,-664,-524,148,1020
"85","73","D   General merchandise stores","X4520",-2964,3140,-1252,1532,1860,564,2700,-1620,2124,784,2456,5452,380,1788,-1304,2280,7680,164,-1760,-5412,-3156,-256,3492,4948,528,-260,92,4672,3300
"86","74","D     Department stores","X45210",-1468,1856,-1524,1820,168,-708,728,-3268,404,-680,-172,2324,-1628,-312,-2596,620,2564,-1392,-1868,-7076,-4748,-3664,-1480,-1472,-1448,-2484,-1264,-1996,140
"87","75","D     Other general merchandise stores","X45290",-1496,1284,272,-288,1692,1272,1972,1648,1720,1464,2628,3128,2008,2100,1292,1660,5116,1556,108,1664,1592,3408,4972,6420,1976,2224,1356,6668,3160
"88","76","D   Other retail stores","X44X0",2480,4392,5200,2132,9792,5012,2052,6788,3036,5508,5164,8336,1860,3416,2896,5904,-3952,-3432,1396,-2504,-1288,2388,2084,-1580,3352,-5264,2816,3324,-208
"89","77","D Other industries","XOTH0",7544,3364,3068,5468,1916,4716,4840,7924,6504,9512,8136,6228,14948,14700,17876,6076,2456,-376,-2444,-4896,-2688,2860,-48,-32,-48,2464,1116,752,2004
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
