"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"20","38","D       Motor vehicle and parts manufacturing","KS3MVW0",7190,7190,8086,7269,7620,6514,6238,7095,7706,6964,7068,7221,6973,7368,7303,7274,7006,6920,6639,6255,6269,6769,6897,7033,7384,6975,6933,6944,7153
"21","39","D       Other transportation equipment manufacturing","KS3OTW0",35382,34204,33009,34115,35528,39886,41574,42284,41119,40250,41206,41255,40525,36414,34219,31849,30653,30801,31370,31697,28893,27838,26774,28293,28375,28778,28631,28489,27928
"22","40","A     Furniture and related product manufacturing","KS337W0",1361,1327,1355,1365,1430,1462,1497,1469,1468,1459,1422,1510,1561,1583,1588,1569,1596,1548,1457,1425,1435,1432,1399,1302,1393,1334,1305,1232,1273
"23","41","A     Miscellaneous durable goods manufacturing","KS339W0",3706,3704,3648,3660,3713,3691,3622,3559,3609,3633,3734,3688,3674,3771,3913,3887,3845,3797,3819,3729,3615,3643,3601,3735,4216,3893,3557,3852,3890
"24","42","A   Nondurable goods industries","KS30NW0",26394,26840,27838,28626,28212,28428,27974,28007,28570,29390,28729,29400,28967,29370,29364,29546,28952,28432,28958,28590,29238,29792,30996,29943,30491,30157,30283,29895,30758
"25","43","A     Food manufacturing","KS311W0",4749,4843,4892,4894,4552,4573,4540,4595,4676,4649,4659,4732,4768,4847,4783,4839,4739,4648,4628,4619,4621,4638,4726,4859,4894,4885,4882,4836,4835
"26","44","A     Beverage and tobacco product manufacturing","KS312W0",894,998,1391,1524,1643,1651,1259,1516,1574,1553,1308,1437,1527,1721,1749,1913,1845,1997,2137,2118,2262,2197,2309,2245,2246,2331,2531,2608,2575
"27","45","A     Textile mills","KS313W0",1676,1683,1672,1662,1653,1656,1681,1636,1610,1577,1582,1632,1595,1625,1555,1517,1504,1464,1396,1335,1261,1195,1103,1142,1146,1204,1199,1194,1187
"28","46","A     Textile product mills","KS314W0",761,780,804,837,838,825,804,796,792,844,839,860,884,886,920,878,844,833,823,827,823,809,792,779,803,771,786,750,754
"29","47","A     Apparel manufacturing","KS315W0",1642,1701,1702,1795,1675,1679,1685,1636,1584,1703,1734,1813,1874,1833,1832,1731,1648,1460,1345,1284,1227,1257,1185,1203,1148,1073,1057,1023,1016
"30","48","A     Leather and allied product manufacturing","KS316W0",336,340,328,334,334,314,304,318,298,301,319,319,307,316,318,298,305,272,269,258,241,247,224,210,198,183,186,205,198
"31","49","A     Paper manufacturing","KS322W0",1588,1571,1609,1627,1589,1495,1464,1501,1550,1562,1608,1606,1588,1610,1600,1527,1457,1442,1468,1511,1527,1563,1536,1470,1481,1439,1438,1360,1399
"32","50","A     Printing and related support activities","KS323W0",1181,1192,1415,1378,1225,1368,1376,1259,1380,1457,1329,1422,1389,1346,1344,1295,1264,1233,1219,1160,1140,1272,1190,1144,1207,1009,1021,1059,957
"33","51","A     Petroleum and coal product manufacturing","KS324W0",3757,3848,4118,4213,4369,4313,4195,3927,3735,3551,3597,3773,3593,3791,3762,3747,3760,3766,4070,3997,4310,4568,4750,4755,4764,4314,4364,4402,4574
"34","52","A     Chemical manufacturing","KS325W0",7791,7807,7859,8341,8426,8605,8620,8624,8979,9682,9341,9455,9175,9187,9339,9587,9359,9142,9492,9389,9676,9987,11070,10065,10494,10767,10714,10360,11166
"35","53","A     Plastics and rubber product manufacturing","KS326W0",2106,2172,2199,2183,2184,2197,2268,2304,2390,2413,2377,2349,2259,2199,2155,2212,2233,2189,2160,2138,2247,2187,2216,2180,2226,2283,2203,2194,2173
