"","Table 6U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"33","26","S1 QN44EZZZMG   Other retail stores","T060260",493068,518690,555019,584936,620183,654308,703262,754711,789579,803026,841975,869009
"34","27","S1 QN446ZZZMG     Health and personal care stores","T060270",108571,109795,112436,117379,124098,132510,142275,151722,160641,164633,170798,177266
"35","28","S1 QN447ZZZMG     Gasoline stations","T060280",211250,219122,229603,238395,242441,246843,260394,264038,252864,255668,260255,253386
"36","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",48875,51694,56460,59967,62848,64826,69654,76524,81756,84811,89469,91160
"37","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",32702,34429,37464,39345,41378,42445,46078,51261,55881,58688,63956,65813
"38","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",16148,17255,18999,20670,21508,22439,23608,25276,25876,26132,25602,25473
"39","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",60639,67362,75170,80391,87432,95380,103438,110082,114344,112064,114064,118748
"40","33","S3 QN4531ZZMG       Florists","T060330",6730,6870,7014,6881,7573,7972,8219,8671,8833,8354,8156,8819
"41","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",21604,23965,27106,28390,30067,33081,36997,41420,45136,44742,47604,50712
"42","35","S4 QN4533ZZMG       Used merchandise stores","T060350",5536,6077,6102,6690,7398,8245,9338,9978,10811,10805,11386,12736
"43","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",26596,30367,35003,38634,42734,46402,49063,50059,49564,48183,47118,46881
"44","37","S1 QN454ZZZMG     Nonstore retailers","T060370",75886,82036,91315,98147,110558,120644,132641,154360,179974,185850,208225,231721
"45","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",27137,31339,36224,41172,49392,59670,71973,89596,112407,121030,141104,163829
"46","39","S4 QN4542ZZMG       Vending machine operators","T060390",8683,8325,8326,7912,8484,8635,8890,9399,9946,9255,9283,8672
"47","40","S4 QN4543ZZMG       Direct selling establishments","T060400",46838,48571,52934,54521,57472,55529,53400,55938,57621,55785,58697,61726
"48","41","S1 QN722ZZZMG Food services and drinking places","T060410",258121,269035,276545,280311,284414,293733,302861,310186,323569,325478,333253,350148
"49","42","S4 QN7221ZZMG   Full-service restaurants","T060420",110567,114698,119839,120090,123138,131219,133500,136356,140995,141761,146244,155897
"50","43","S4 QN7222ZZMG   Limited-service eating places","T060430",110174,117304,120056,123207,123917,124056,129697,132456,138718,140982,143310,150766
"51","44","S4 QN7223ZZMG   Special food Services","T060440",21269,21478,21865,21752,21970,23090,23959,25419,27285,26606,26611,26306
"52","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",16186,15565,14776,15242,15378,15378,15706,15955,16571,16130,17086,17182
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",1815859,1883645,1988384,2064160,2154016,2244941,2382678,2543688,2671913,2746967,2876662,3022475
"55","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",1560381,1617516,1714009,1785329,1870362,1951803,2080022,2233510,2348344,2421636,2543985,2672932
"56","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores\1\","T060480",516549,551884,596507,634649,673824,712215,775470,857266,923300,967083,1041769,1119864
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries QN442ZZZMG, QN443ZZZMG, QN448ZZZMG, QN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","QN452ZZZMG, and QN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
