"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"11","3","B Manufacturing industries","C300",15192,23448,21768,23504,33100,19036,10816,9972,13304,7736,15460,29400,-2736,19824,3760,10680,-9224,-27148,-31888,-25356,-16792,-11696,2336,-3840,-12404,-15256,-16132,-9792,644
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","B     Durable goods industries","C30D0",10488,16988,15564,13256,29576,19628,12544,10128,8368,-104,9008,16212,-5280,14736,3460,16112,-4980,-18692,-29160,-26120,-20776,-12984,-6128,1844,-13344,-13928,-15896,-1032,-3916
"14","5","D       Wood product manufacturing","C3210",-660,196,1580,332,-544,336,928,1176,908,128,-580,1688,208,-12,-20,980,-840,716,-204,-1192,984,-536,-388,-296,-220,-1072,-1008,380,908
"15","6","D       Nonmetallic mineral product manufacturing","C3270",508,740,-396,-156,264,-80,-76,84,-172,-88,984,548,-424,240,92,692,-192,-432,-636,-852,-644,220,120,228,736,416,-528,-2236,-468
"16","7","D       Primary metal manufacturing","C3310",-1136,-128,932,2116,872,2188,2776,624,-244,624,-308,1748,472,848,-1208,-1752,-1196,-2948,-1716,-1612,-2492,-772,388,832,-84,-3900,-3856,-2464,-1100
"17","8","D       Fabricated metal product manufacturing","C3320",548,1932,320,2392,780,3676,296,280,-28,316,1416,1984,-736,3864,-240,-344,132,-1000,-1100,-3188,-1548,-1800,268,-1164,-1712,-964,-2376,-332,-1528
"18","9","D       Machinery manufacturing","C3330",1256,3584,-680,1716,3772,-440,3032,-1744,796,-888,-664,2524,-1020,3688,2736,5184,436,-4608,-5456,-6308,-2344,-4300,-1880,0,-5068,-1992,-2404,416,1924
"19","10","D       Computer and electronic product manufacturing","C3340",7020,9140,11024,5360,6720,132,-1500,-1952,7408,3620,4380,3928,1884,15376,7592,19848,2396,-5724,-16704,-10788,-3372,-6300,248,-2644,-6260,-3904,-360,3508,-2240
"20","11","D       Electrical equipment, appliance, and component manufacturing","C3350",-408,2056,556,-272,880,-744,728,1060,-424,644,184,-460,-460,1080,1232,1380,248,-1216,-1388,-764,-1308,-696,-1176,-1580,-340,-652,-980,12,-1272
"21","12","D       Transportation equipment manufacturing","C3360",3444,-864,2700,24,15424,13956,5552,10952,-1268,-5436,3000,2872,-6464,-11880,-8680,-9476,-6576,-2320,-1500,-736,-9712,-940,-4448,5892,-816,-1100,-4024,-320,288
"22","13","D         Motor vehicle and parts manufacturing","C336MV0",2276,236,2140,-2504,3280,-732,-1724,3684,2920,-392,-124,4044,-544,1168,360,-1704,-3168,-740,-2916,-3288,-628,2252,1648,-388,-888,-1056,-1488,432,2500
"23","14","D         Other transportation equipment manufacturing","C336OT0",1168,-1100,560,2528,12144,14688,7276,7268,-4188,-5044,3124,-1172,-5920,-13048,-9040,-7772,-3408,-1580,1416,2552,-9084,-3192,-6096,6280,72,-44,-2536,-752,-2212
"24","15","D       Furniture and related product manufacturing","C3370",68,564,-212,140,272,192,36,112,444,132,-40,804,544,556,328,-492,476,-620,-620,-1164,-652,144,-136,68,-140,-28,-1024,-836,-152
"25","16","D       Miscellaneous durable goods manufacturing","C3390",-152,-232,-260,1604,1136,412,772,-464,948,844,636,576,716,976,1628,92,136,-540,164,484,312,1996,876,508,560,-732,664,840,-276
"26","17","B     Nondurable goods industries","C30N0",4704,6460,6204,10248,3524,-592,-1728,-156,4936,7840,6452,13188,2544,5088,300,-5432,-4244,-8456,-2728,764,3984,1288,8464,-5684,940,-1328,-236,-8760,4560
"27","18","D       Food manufacturing","C3110",-816,1484,724,1808,812,-404,-560,588,1824,768,1820,1936,3448,-1368,-340,180,-1148,-8,-1380,1416,644,2896,216,-1660,396,-2644,-1220,-3996,92
"28","19","D       Beverage and tobacco product manufacturing","C3120",-316,928,1304,888,884,-1464,-656,912,-916,36,-1432,1676,512,104,244,-1300,748,20,1160,308,368,-168,-16,-1332,-336,600,896,-1296,548
"29","20","D       Textile mills","C3130",260,-16,-76,-84,324,-20,168,60,-152,188,100,592,-640,-268,-440,-344,-608,-408,-732,-1040,-1292,-812,-124,-172,344,248,-40,-536,-388
"30","21","D       Textile product mills","C3140",120,548,308,164,-56,-440,-192,-244,288,556,124,400,432,716,324,196,20,-208,92,548,-356,692,440,8,412,-96,228,540,-256
"31","22","D       Apparel manufacturing","C3150",32,1264,572,-68,-60,-616,208,204,-36,912,1328,332,-648,-724,-220,464,-892,-1208,-2596,-2216,-1860,-536,456,228,732,344,64,-348,-900
"32","23","D       Leather and allied product manufacturing","C3160",-264,308,-20,156,140,72,-16,-104,-152,72,64,52,-52,-104,-48,-204,68,-572,28,-272,-420,116,224,244,-108,0,-112,308,-376
"33","24","D       Paper manufacturing","C3220",1684,-1680,876,1376,12,740,-564,-1696,804,1168,1992,0,1204,328,-932,-2776,-2020,-1420,304,1904,812,748,272,340,472,-88,-956,-1648,-1508
"34","25","D       Printing and related support activities","C3230",-288,512,-264,920,-1056,-88,600,-1536,572,900,312,872,452,-688,-212,-988,-260,-1144,-244,368,-468,1440,-396,568,-372,-1020,120,-324,-344
"35","26","D       Petroleum and coal product manufacturing","C3240",2604,96,780,384,-2092,-248,-680,964,-648,-1800,1572,860,-636,2000,-1476,-1116,1056,1720,1032,280,1600,112,2124,232,-1200,-208,1444,-2336,2704
"36","27","D       Chemical manufacturing","C3250",772,2196,2156,4148,4448,992,-372,-648,2592,4532,-592,5368,-664,3836,3964,280,-864,-3008,-236,-592,48,-1452,4048,-2996,-360,1148,216,-680,5156
"37","28","D       Plastics and rubber product manufacturing","C3260",916,820,-156,556,168,884,336,1344,760,508,1164,1100,-864,1256,-564,176,-344,-2220,-156,60,4908,-1748,1220,-1144,960,388,-876,1556,-168
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","C30M0",11452,8212,12948,6872,14896,6836,2616,-5556,8172,2904,5332,17652,-992,13896,7224,2488,-1032,-10860,-13712,-7820,-2124,-9484,-5948,-10832,-7476,-10444,-12896,-8416,1840
"40","30","D       Durable goods industries","C30DM0",6968,7832,10964,5568,11060,8692,3088,-2952,6996,636,3404,11192,-1572,14688,8824,8580,-1316,-7916,-12852,-7612,-4136,-8984,-5528,-6444,-7472,-7256,-10664,-3068,1504
"41","31","D       Nondurable goods industries","C30NM0",4484,380,1984,1304,3836,-1856,-472,-2604,1176,2268,1928,6460,580,-792,-1600,-6092,284,-2944,-860,-208,2012,-500,-420,-4388,-4,-3188,-2232,-5348,336
"42","32","D     Work-in-process","C30W0",-64,-1072,5300,8580,8460,12916,3472,4760,12,-2176,3032,3856,-4768,-3032,-11484,3008,-7968,-11328,-5024,-13464,-11428,-2360,112,2160,292,-4496,-1932,1948,2256
"43","33","D       Durable goods industries","C30DW0",560,-2792,1460,5528,10036,12084,5116,4596,-2172,-5208,5392,1184,-3056,-4632,-11468,2296,-5552,-9236,-7084,-11992,-13972,-4524,-4640,6332,-1996,-3176,-2480,3732,-1492
"44","34","D       Nondurable goods industries","C30NW0",-624,1720,3840,3052,-1576,832,-1644,164,2184,3032,-2360,2672,-1712,1600,-16,712,-2416,-2092,2060,-1472,2544,2164,4752,-4172,2288,-1320,548,-1784,3748
"45","35","D     Finished goods","C30F0",3804,16308,3520,8052,9744,-716,4728,10768,5120,7008,7096,7892,3024,8960,8020,5184,-224,-4960,-13152,-4072,-3240,148,8172,4832,-5220,-316,-1304,-3324,-3452
"46","36","D       Durable goods industries","C30DF0",2960,11948,3140,2160,8480,-1148,4340,8484,3544,4468,212,3836,-652,4680,6104,5236,1888,-1540,-9224,-6516,-2668,524,4040,1956,-3876,-3496,-2752,-1696,-3928
"47","37","D       Nondurable goods industries","C30NF0",844,4360,380,5892,1264,432,388,2284,1576,2540,6884,4056,3676,4280,1916,-52,-2112,-3420,-3928,2444,-572,-376,4132,2876,-1344,3180,1448,-1628,476
"48","38","B Wholesale trade industries","CWT0",23076,33560,16112,29980,28768,10076,29472,20372,19376,8692,23340,25248,19420,24856,14548,11600,140,-1324,-21244,-27860,-12780,-4696,7328,6476,-5160,-5076,-1376,3656,6104
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","B     Durable goods industries","CWTD0",16476,28928,7528,16372,25520,4868,20748,17588,13048,9900,11492,18764,12764,23100,5824,6144,912,-18044,-23316,-26128,-13284,-5360,8816,3948,600,-5072,-7432,9080,8660
"51","40","B     Nondurable goods industries","CWTN0",6600,4632,8584,13608,3248,5208,8724,2784,6328,-1208,11848,6484,6656,1756,8724,5456,-772,16720,2072,-1732,504,664,-1488,2528,-5760,-4,6056,-5424,-2556
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","B     Merchant wholesale industries","C42W0",19372,29444,15732,27084,25936,10180,27896,16680,17344,5632,21040,24424,18144,22060,11172,8892,-132,-260,-15152,-24668,-11148,-4572,3780,4644,-704,-4784,116,3448,5228
"54","42","B       Durable goods industries","C42WD0",13348,25688,7792,14704,22416,5340,18868,14448,11260,7004,10812,18592,11892,21280,3048,3812,640,-17152,-18440,-23072,-11992,-5528,6344,2976,3852,-4232,-5596,8532,8116
"55","43","D         Motor vehicles, parts, and supplies wholesalers","C42110",1808,4468,1388,-1964,4692,-7012,1104,3000,1716,2260,3588,1664,3032,2548,-3872,1188,-884,-2488,-68,-3536,-2064,2268,2620,3352,884,1560,-4292,5988,3376
"56","44","D         Furniture and home furnishings wholesalers","C42120",-700,764,404,232,-132,608,200,-100,128,184,44,744,548,1048,-272,368,52,-1256,-504,-684,-712,-36,136,36,540,100,-112,884,536
"57","45","D         Lumber and other construction materials wholesalers","C42130",200,944,420,-28,-192,92,-172,76,116,364,444,640,796,540,-304,760,-620,-1368,1224,744,-476,-64,352,612,268,-464,-252,1800,1936
"58","46","D         Professional and commercial equipment wholesalers","C42140",2784,10540,5648,4916,8760,264,1580,-572,4048,1916,2060,6488,32,676,3096,-248,-244,-1456,-3108,-2388,128,2036,1032,-808,3208,400,1748,-108,500
"59","47","D           Computers and software wholesalers","C421430",3568,9176,5252,2984,7640,808,264,2076,1600,2616,948,4660,-3200,-888,2848,-440,680,-2044,-1424,-848,1452,1608,100,-904,1988,580,-432,1456,240
"60","48","D           Other professional and commercial equipment wholesalers","C4214X0",-784,1364,396,1932,1120,-544,1316,-2648,2448,-700,1112,1828,3232,1564,248,192,-924,588,-1684,-1540,-1324,428,932,96,1220,-180,2180,-1564,260
"61","49","D         Metal and mineral (except petroleum) wholesalers","C42150",2184,1112,-124,204,1452,488,2200,1588,-1356,992,-580,2128,2600,1384,-96,-2504,-1084,-652,-1376,-1200,-416,-424,2000,-504,-676,-1176,-524,1540,3660
"62","50","D         Electrical goods wholesalers","C42160",3312,588,-104,-520,2892,2684,1436,892,484,1528,4452,6728,1356,3700,4272,4580,720,-4452,-7444,-7520,-2560,-1288,3004,428,-736,-1044,-116,-540,4212
"63","51","D         Hardware and plumbing and heating equipment wholesalers","C42170",-664,912,212,-12,1572,1200,60,376,284,60,-92,608,864,1988,52,748,-856,-856,288,-988,-784,-356,272,232,1476,-1172,-444,228,-140
"64","52","D         Machinery, equipment, and supplies wholesalers","C42180",3196,7516,-2048,9092,2988,4808,7136,7392,3836,720,920,-1128,844,4428,644,-2928,2820,-1200,-6128,-7360,-4260,-6476,-2360,-680,-1316,-2624,-2692,-2116,-876
"65","53","D         Miscellaneous durable goods wholesalers","C42190",1228,-1156,1996,2784,384,2208,5324,1796,2004,-1020,-24,720,1820,4968,-472,1848,736,-3424,-1324,-140,-848,-1188,-712,308,204,188,1088,856,-5088
"66","54","B       Nondurable goods industries","C42WN0",6024,3756,7940,12380,3520,4840,9028,2232,6084,-1372,10228,5832,6252,780,8124,5080,-772,16892,3288,-1596,844,956,-2564,1668,-4556,-552,5712,-5084,-2888
"67","55","D         Paper and paper products wholesalers","C42210",700,268,1512,124,324,-124,-124,460,464,204,264,-812,1300,-292,424,484,-360,-476,-472,-616,-536,564,-536,8,148,-220,84,1124,-20
"68","56","D         Drugs and druggists' sundries wholesalers","C42220",1116,1104,2908,1096,2876,-1140,-8,1856,3344,5628,1864,1596,4396,2860,4548,5176,2904,10024,9240,2636,564,-2056,132,3304,4460,704,2324,-4252,1804
"69","57","D         Apparel, piece goods, and notions wholesalers","C42230",2184,1576,-108,2024,-864,496,4,416,-1344,-2768,-792,1736,736,-180,236,-932,2248,2424,-1984,-3580,-548,-208,2720,-1680,-172,-124,-1272,-660,392
"70","58","D         Grocery and related products wholesalers","C42240",-32,748,-284,3332,-432,1992,-412,-1240,2652,-708,3524,2488,-356,-1616,3088,680,-2212,-1096,-636,572,52,4528,96,580,-480,-3460,1644,160,-304
"71","59","D         Farm product raw material wholesalers","C42250",1144,-80,1084,3648,-1580,1520,6780,1112,284,1160,3884,-1656,1128,-532,1508,380,-2544,2020,-1468,328,816,-860,-6644,-3324,-1660,1000,1020,-284,2996
"72","60","D         Chemical and allied products wholesalers","C42260",452,700,36,-28,-360,488,1180,272,160,-208,52,600,12,-332,-840,-436,-232,716,460,-40,-32,-504,188,-348,-988,112,-96,436,-1644
"73","61","D         Petroleum amd petroleum products wholesalers","C42270",-780,356,-48,664,908,964,1084,-1196,144,-1344,-1060,-2000,-1352,192,-884,128,-300,376,780,3764,96,-1572,56,820,-5340,3256,232,-400,-2408
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","C42280",-1212,868,392,1296,1296,-456,476,-540,2428,-880,-304,124,344,-248,184,668,-860,604,-324,-264,960,100,336,1208,112,-32,100,416,-1008
"75","63","D         Miscellaneous nondurable goods wholesalers","C42290",2452,-1784,2448,224,1352,1100,48,1092,-2048,-2456,2796,3756,44,928,-140,-1068,584,2300,-2308,-4396,-528,964,1088,1100,-636,-1788,1676,-1624,-2696
"76","64","B     Nonmerchant wholesale industries","C42N0",3704,4116,380,2896,2832,-104,1576,3692,2032,3060,2300,824,1276,2796,3376,2708,272,-1064,-6092,-3192,-1632,-124,3548,1832,-4456,-292,-1492,208,876
"77","65","D       Durable goods industries","C42ND0",3128,3240,-264,1668,3104,-472,1880,3140,1788,2896,680,172,872,1820,2776,2332,272,-892,-4876,-3056,-1292,168,2472,972,-3252,-840,-1836,548,544
"78","66","D       Nondurable goods industries","C42NN0",576,876,644,1228,-272,368,-304,552,244,164,1620,652,404,976,600,376,0,-172,-1216,-136,-340,-292,1076,860,-1204,548,344,-340,332
"79","67","B Retail trade industries","C440",-1912,21540,18912,19876,38816,10872,9964,8376,33412,12420,16440,47160,8096,36368,23088,18912,-4492,-14900,-2156,-23024,3384,19108,27448,26644,26908,15184,11012,14192,28748
"80","68","D   Motor vehicle and parts dealers","C4410",-3936,4468,7116,12304,14776,-324,-3716,-1948,20888,424,7644,22796,4196,24320,16004,4696,-9844,-7980,-1112,-16676,3972,12804,14128,20056,18740,15080,1116,4060,21412
"81","69","D   Furniture, furnishings, electronics, and appliance stores","C44230",1760,1532,772,916,2772,1116,2308,2260,1424,2784,2100,2352,2368,3184,-520,3372,-224,-2244,-1336,1948,3892,2620,3136,640,344,3320,1964,3628,892
"82","70","D   Building material and garden equipment and supplies dealers","C4440",164,1944,2436,908,3016,272,3076,2864,2080,1192,1568,4252,876,3488,2228,-1072,216,-252,120,-8,3712,-32,1692,3192,3380,1788,6200,2804,4468
"83","71","D   Food and beverage stores","C4450",268,40,1828,-756,2220,1916,4,676,1736,868,2780,1900,208,-1704,740,144,1332,580,112,336,-1736,180,2064,-372,808,-920,1448,-2808,164
"84","72","D   Clothing and clothing accessories stores","C4480",-1856,3468,1656,1420,1800,1944,2096,-1232,2220,1704,-2856,4036,168,2280,3256,4420,12,-900,60,-3128,-2172,2152,2368,1408,3032,-1092,-692,32,812
"85","73","D   General merchandise stores","C4520",-2856,3168,-1204,1572,1924,464,2668,-1612,2100,928,2412,5304,700,2004,-1028,2580,7400,-228,-1980,-5436,-3096,-304,3320,4736,324,-472,-88,4356,3152
"86","74","D     Department stores","C45210",-1380,1944,-1432,1900,228,-696,820,-3168,624,-468,0,2464,-1296,48,-2232,980,2392,-1632,-2036,-7220,-4772,-3716,-1564,-1596,-1512,-2528,-1276,-2004,96
"87","75","D     Other general merchandise stores","C45290",-1476,1224,228,-328,1696,1160,1848,1556,1476,1396,2412,2840,1996,1956,1204,1600,5008,1404,56,1784,1676,3412,4884,6332,1836,2056,1188,6360,3056
"88","76","D   Other retail stores","C44X0",4544,6920,6308,3512,12308,5484,3528,7368,2964,4520,2792,6520,-420,2796,2408,4772,-3384,-3876,1980,-60,-1188,1688,740,-3016,280,-2520,1064,2120,-2152
"89","77","B Other industries","COTH0",8512,4508,3016,5280,2904,5136,5464,9280,7552,9092,6996,4824,12764,14180,17548,5092,1612,-1000,-1148,-1428,-1692,3336,32,-772,-2184,4640,556,636,1632
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
