"","Table 5#4#5BU# Private Fixed Investment in Structures by Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"30","22","    Mining","C320RC0",1498,1458,1396,1316,1197,1111,1040,988,939,949,995,1073,1236,1316,1367,1384,1338,1287,1235,1192,1122,1132,1172,1240,1338,1467,1627,1818,1784,2209,2371,2262
"31","23","  Other structures","W004RC0",53606,56236,57635,61523,57969,62420,63706,65166,65208,66528,63861,65030,68177,69873,71545,69833,66349,66700,79853,64664,61565,61513,58683,58320,57164,61328,60103,60928,60433,63910,65386,66280
"32","24","    Religious","C309RC0",5163,5596,5577,6156,6344,5868,6411,7067,7260,7227,7059,7127,7752,7718,7904,7862,7859,8131,8377,8282,8350,8244,7864,7965,8309,8413,8413,7855,7594,7931,7974,7725
"33","25","    Educational and vocational","W044RC0",8666,9570,10315,10749,11332,11426,10398,10730,10132,11012,11010,11405,12136,12849,13699,13480,13351,13674,14478,15529,15240,14995,13889,14373,14021,14913,15078,14657,13984,14185,14181,15400
"34","26","    Lodging","W045RC0",15409,16287,16154,16014,15119,17716,20072,20463,20527,19964,19263,19247,20192,21161,20278,19097,18032,18468,18820,16570,13763,14050,12216,11798,11780,13639,11839,11989,12479,14299,15677,16268
"35","27","    Amusement and recreation","W046RC0",10066,10290,10449,10175,8980,10264,10644,11341,11861,11807,11080,11094,11386,10926,10464,9311,9002,9571,9436,9567,9379,9154,8815,8549,8377,9340,9614,10552,9421,10556,11023,11241
"36","28","    Transportation","W047RC0",5868,5995,6177,6368,7009,7225,7333,7001,6641,6342,6152,6197,6323,6536,6734,6914,7015,7047,6769,6673,6454,6674,6610,6578,6612,6221,6200,6082,6897,6279,6193,6139
"37","29","      Air","W048RC0",1045,998,1014,972,1173,1159,1224,1076,1176,1288,1361,1526,1579,1780,2066,2329,2393,2363,1998,1797,1389,1534,1418,1357,1385,1014,1038,990,911,1034,960,950
"38","30","      Land\3\","W049RC0",4822,4996,5163,5396,5837,6067,6109,5925,5465,5054,4790,4672,4744,4756,4668,4585,4622,4684,4771,4875,5065,5140,5192,5221,5227,5207,5162,5091,5986,5245,5234,5189
"39","31","    Farm","C316RC0",3625,3689,3970,3975,4070,4535,4267,4264,4550,5573,4899,5214,5554,5539,6294,6565,5373,5207,5144,4817,5542,5678,6130,5793,5152,5449,5120,5415,5560,5450,5816,5692
"40","32","    Other\4\","W050RC0",3727,3768,3889,3817,4130,4402,3651,3317,3255,3702,3531,3885,3872,4104,5083,5511,4803,3764,3249,2646,2296,2292,2845,2957,2621,3040,3551,4038,4185,4840,4121,3422
"41","33","    Brokers' commissions on sale of structures","C321RC0",1991,1959,2065,2053,2135,2210,2214,2288,2303,2243,2222,2232,2334,2413,2457,2461,2420,2449,2365,2285,2218,2100,1984,1975,1946,1943,1896,1924,1897,1954,1984,1978
"42","34","    Net purchases of used structures","E322RC0",-908,-919,-961,2216,-1152,-1226,-1284,-1306,-1321,-1341,-1356,-1371,-1372,-1373,-1369,-1368,-1506,-1612,11215,-1703,-1677,-1674,-1671,-1668,-1654,-1630,-1608,-1584,-1584,-1584,-1584,-1584
"43","35","Residential","A012RC0",334526,340503,345055,351246,359529,372085,386154,399267,406726,414670,420613,429294,441179,441461,435720,439813,448204,460230,470223,468862,478490,494197,499768,513821,532031,545932,578732,600596,616105,654632,668302,673072
"44","36","  Permanent site","A943RC0",193921,197078,197840,203409,210079,217609,229099,239145,245673,247783,251630,259998,269321,267974,260250,262643,270495,278349,285504,283216,286145,297379,301804,310036,327136,331699,350699,374034,385964,404251,415355,416305
"45","37","    Single-family structures","A944RC0",172004,174162,175454,179096,185143,193739,204772,213982,218553,220705,223765,232325,240602,238898,233310,234341,240967,248548,255071,251759,253983,264030,268534,277009,292095,297058,314967,338180,349308,365787,376076,377379
"46","38","    Multifamily structures","C292RC0",21918,22917,22385,24312,24936,23870,24327,25163,27120,27078,27865,27673,28719,29076,26940,28301,29528,29801,30433,31458,32162,33348,33270,33027,35041,34641,35732,35853,36656,38464,39279,38927
"47","39","  Other structures","A863RC0",140605,143425,147215,147837,149450,154476,157055,160122,161053,166887,168983,169296,171858,173487,175470,177170,177709,181881,184719,185646,192345,196818,197964,203785,204895,214233,228033,226562,230141,250381,252947,256767
"48","40","    Manufactured homes","A945RC0",13164,13850,14203,14238,14443,15025,15592,16100,15863,15160,14386,14119,13514,11977,10934,9416,8713,9027,9608,9910,9137,8449,8445,8051,7682,6686,6986,6991,7203,6321,6832,7879
"49","41","    Dormitories","C295RC0",708,769,821,862,836,930,943,1116,1138,1174,1237,1554,1598,1304,1154,1375,1596,1451,1551,1631,1587,1521,1354,1658,1775,1785,1832,1693,1705,1841,1645,1440
"50","42","    Improvements","A946RC0",89939,90719,91329,91817,91748,92481,93561,95006,97193,99058,100948,102818,104734,106420,107974,109418,110593,112000,113681,115658,118209,120526,122917,125382,127919,130551,133277,136101,138892,143578,147608,150945
"51","43","    Brokers' commissions on sale of structures","A758RC0",38850,40335,43317,43585,45288,49063,50120,51130,50465,55061,55776,53982,54205,55485,56731,57778,58191,60914,61640,60914,66117,69239,68267,71527,70351,78031,88733,84538,85101,101402,99622,99263
"52","44","    Net purchases of used structures","A759RC0",-2056,-2250,-2455,-2665,-2866,-3022,-3161,-3230,-3604,-3566,-3365,-3178,-2193,-1698,-1322,-817,-1384,-1510,-1761,-2467,-2706,-2917,-3018,-2833,-2831,-2819,-2795,-2760,-2760,-2760,-2760,-2760
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RC0",539734,544537,558261,566011,580278,602589,615759,632150,637175,644283,648977,664577,683407,697050,700305,707796,714348,725686,732557,715012,704535,700845,696940,704958,717854,732712,754765,786656,799433,831081,852230,861342
"55","46","    Nonresidential structures","A771RC0",242002,242119,254068,255685,263171,276545,276564,280783,277309,281108,280776,286087,294240,309376,319993,324944,322951,324860,322213,304597,289456,272970,262421,259832,253343,261991,261971,267838,265670,275091,280790,284773
"56","47","    Residential structures","A756RC0",297732,302418,304193,310326,317107,326044,339195,351367,359866,363175,368201,378490,389167,387674,380312,382852,391397,400826,410344,410415,415079,427875,434519,445126,464511,470721,492794,518818,533763,555990,571440,576569
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
