"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","       Residual","A958RX1",-17.1,-23.6,-19.1,-18.6,-10.2,-13.4,-33.9,-13.3,-10.3,-7.7,-14.1,-30.3,-11.3,-32.6,-29,3.2,-15.1,-20.7,-16.1,-15.8,-12.2,-15.3,-18.2,-15.1,-14.1,-7.9,-11.5,-9.8,-5.7,-5.2,-4.3,-1.8,-2.7,-3.3,-1.4,-0.7,0,-0.2,1.2,-2.3,-2.8,1.8,2.8
"12","5","Goods","A353RX1",912.6,905,931.8,995.5,1101.4,1090.8,1063.5,1147,1202.1,1282.9,1335.9,1324.2,1384,1312.8,1369.5,1539.3,1576.1,1622.2,1687.5,1792.5,1894.4,1914.2,1881.9,1958.7,2034.1,2177.1,2257.1,2380.4,2566,2714.7,2905.1,3046.9,2997.7,3049.9,3160.3,3324.4,3475.7,3659.1,3819.6,3789.7,3569.1,3893,4091.4
"13","6","    Final sales","A325RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234.2,2356.6,2502.1,2654.8,2847,2993.5,3034.2,3038,3142.4,3259.1,3425.8,3599.9,3792.1,3834.7,3726.1,3837.8,4057.2
"14","7","    Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,31.2,77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,27.7,-36.3,-139,50.9,31
"15","8","  Durable goods","A354RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043.9,1119.6,1251,1370.5,1504.5,1617.2,1567.2,1606.6,1672.3,1788.4,1909,2014.6,2142.8,2105.1,1862.6,2098.4,2255
"16","9","    Final sales","A326RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017.9,1105.4,1216.7,1334.8,1469.2,1582.7,1606.7,1588.8,1658,1750.4,1873.8,1989.5,2133.1,2129.9,1989.3,2053.3,2216.3
"17","10","    Change in private inventories \1\","A355RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,17.9,40.2,40.6,39.5,37.7,-46.4,18.1,13.5,38.1,35.2,25.2,10.8,-21.1,-110.7,38.8,33.2
"18","11","  Nondurable goods","A356RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251.8,1295.2,1338.7,1357,1406.2,1429,1432.9,1444.5,1488.8,1536,1566.7,1644.6,1678.4,1684.8,1695.7,1790.8,1839.4
"19","12","    Final sales","A334RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259.3,1286,1309.2,1333.6,1384.2,1411,1427.4,1451,1485.2,1508.8,1552,1610.6,1660.7,1704.8,1729.5,1777.4,1839.8
"20","13","    Change in private inventories \1\","A357RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3,12.5,36.1,29.5,27.7,21.4,7.3,-6.4,3.6,28.1,14.7,34.1,16.9,-15.5,-30.9,13.6,0.6
"21","14","Services \2\","A341RX1",2801,2858.4,2927,3034.9,3125.7,3194.8,3309.3,3400.4,3517.3,3651.8,3740.4,3811.4,3887.6,3957.1,4120.4,4234.4,4449,4635.5,4785.6,4961.7,5115.1,5269.7,5363.4,5522,5648.3,5781.5,5902.9,6045.7,6208.7,6422.2,6664,6919.2,7095.8,7276.1,7415.9,7598.2,7783.8,7961,8131.5,8216.6,8221.8,8310.8,8389.3
"22","15","Structures","A755RX1",703.3,673,735.5,790.2,807.1,723.4,657.6,719.2,787.2,862.8,887.4,823,811.9,742.6,796.3,903.9,951,965.1,969.3,967.6,961,941.9,869.1,902.4,930.5,978.4,988.9,1053.1,1097.8,1155.1,1202.2,1245.3,1254.1,1223.2,1263.6,1325.6,1363.4,1341.1,1267,1169.9,974.5,893.8,869.8
"23","16","Residual","A959RX1",-158.7,-170.1,-184.8,-176.8,-121.4,-123.3,-155,-129.7,-133.5,-124.7,-113.6,-124.6,-101.4,-146.6,-155.3,-106.1,-132.7,-142.3,-135.4,-114.4,-91.3,-98.7,-106.1,-103.1,-96.7,-73.9,-111.1,-94.8,-62.8,-41.1,-16.1,-0.9,-7.4,-7.7,-3.4,-2.3,0.1,-3,-13.6,-22.7,-15.6,-24.7,-49.9
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","17","  Motor vehicle output","A953RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.1,284,307.8,333.1,365.1,359.7,343.8,383.3,387.3,403,418.9,414,413.9,336.9,254.9,325.1,360.8
"26","18","  Gross domestic product excluding motor vehicle output","A962RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8810.4,9146.8,9540.7,9941.7,10402.5,10857.2,10997.1,11159.5,11449.2,11844,12204,12544.2,12791.7,12817.1,12486.9,12727.6,12930.3
"27","19","  Final sales of computers \3\","BB01RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,11.5,17.6,25.1,36,47,53.1,54.8,63.3,65.8,77.2,96.2,112.6,135.3,132.5,114.2,154.5
"28","20","  Gross domestic product excluding final sales of computers","BB00RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9229.3,9531.2,9912.5,10306,10765.3,11182.5,11289.8,11493.2,11774.3,12182.3,12545.8,12863.8,13099,13040.8,12639.8,12951.6,13170.6
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","chained-dollar estimates are usually not additive. The residual line following change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","is the difference between gross domestic product and the sum of final sales of domestic product and of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","change in private inventories; the residual line following structures is the difference between gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","domestic product and the sum of the detailed lines of goods, of services, and of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
