"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Gasoline","B2000C1",3.3,3.5,3.7,3.9,4.1,4,4.1,4.3,4.4,4.5,4.4,4.1,4.1,4.1,7.9,8.9,8.9,9.2,9,9.8,9.5,10,15.2,15.5,16,21.3,21.2,22.3,22.1,23.4,23.4,23.4,23.3,23.3,24,24.2,25.8,25.8,22.5,19.5,20.4,19.2,18.3
"12","5","    Alcoholic beverages","B2001C1",4.5,4.6,4.7,4.9,5,5.1,5.2,5.1,5.1,5.3,5.3,5.2,5.2,5,5.1,4.7,4.8,5.3,5.4,5.2,5.2,5.2,7,7.2,7.2,6.6,7,7.1,7,7,7.3,7.3,7.3,7.6,7.8,8.1,8.1,8.5,8.6,8.7,8.6,8.8,9
"13","6","    Tobacco","B2002C1",2.1,2.2,2.2,2.2,2.4,2.3,2.4,2.5,2.4,2.5,2.5,2.5,2.6,2.5,5,4.6,4.5,4.6,4.6,4.4,4.3,4.2,5,5.4,5.7,5.8,5.9,5.8,5.9,5.6,5.6,6.7,7.1,7.4,7.1,7.1,8.3,8.8,8.4,8,16.3,17.5,17
"14","7","    Diesel fuel","B2003C1",0,0,0,0,0,0,0,0.4,0.5,0.5,0.5,0.5,0.6,0.6,1.2,1.9,2.6,2.6,2.7,4.1,3.2,3.3,4.3,4.2,4.1,7.1,6.6,7.8,7.4,7.7,8.3,8.6,8.6,8.9,9,9.2,9.8,9.3,9.1,7.9,7.6,7.4,8.4
"15","8","    Air transport","B2004C1",0,0,0,0,0,0,0,0.9,1,1.2,1.4,1.5,1.1,1.4,2.1,2.3,2.4,2.6,2.6,3.1,3.2,3.5,4.7,4.8,5,5.5,5.7,2.5,6.5,8.3,8.8,9.9,9.1,10.4,10.5,12.1,12.6,12.2,13.7,13.7,13.6,11.6,13.7
"16","9","    Crude oil windfall profits tax","B2005C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,24.3,15.7,9.9,8.3,5.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Other \1\","B2006C1",5.5,5.3,5.3,4.5,5,5,4.6,3.7,3.9,4.2,4.2,3.4,3.5,3.1,4,4.5,5.5,5.3,6.1,6.8,7,7.1,8.6,7.9,8.5,11.2,9.4,8.2,9.4,9.1,10.9,10.2,9.2,9.3,9.4,10.4,8.9,8.1,3.5,7.1,1.7,2.4,9.2
"18","11","  Customs duties","B235RC1",2.4,2.5,3.1,3,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.4,23.3,25.3,26.7,28.8,29.2,23.1,28.6,31.9
"19","12","  Other \2\","B036RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","13","State and local","W072RC1",66,73.3,81.5,89.4,97.4,104.8,113.2,125,136.9,145.6,154.4,166.7,185.7,200,218.9,242.5,262.1,279.7,301.6,324.6,349.1,374.1,395.3,420.1,436.8,466.3,482.4,507.9,533.8,558.8,590.2,621.3,642.4,676,717.5,769.1,831.4,887.4,932.7,944.6,931.8,959.5,990.4
"21","14","  Sales taxes","B248RC1",28.6,31.6,35.4,39.8,44.1,48.2,51.7,57.8,64,71,77.3,82.9,90.7,96.2,107.7,121,131.1,139.9,150.3,162.4,172.3,184.3,190.7,204.3,216.4,231.4,242.7,256.2,268.7,283.9,301.6,316.8,321.8,331.1,348.8,370.7,402.2,430.4,447.1,444,422.3,442.6,461.5
"22","15","    State","A1666C1",25.7,28.2,31.4,35.2,38.8,42,44.7,49.9,55,60.8,65.7,70,76.5,80.3,90,100.9,109,115.8,124.6,135.1,142.3,152.5,157.5,169.7,179.4,191.7,200.5,211.8,221.3,233.3,245.9,255.5,259.9,267.9,282,300.5,325.7,346.3,358.5,355.1,335.4,354.5,370.8
"23","16","      General \3\","L305131",13.3,14.8,16.6,18.9,21.1,23.9,25.8,29.3,33.1,37.5,41.8,44.8,49,51.2,58.2,66.5,72.3,76.8,83,91.2,96.3,103.4,105,112.1,118.2,127.9,135.1,143.8,151.4,159.5,169.1,177.8,179.5,181.9,190,204.6,221.4,235.1,241.6,238.5,220.7,230.2,237.7
"24","17","      Gasoline","L305141",6,6.4,6.9,7.6,8.3,8.1,8.4,9,9.3,9.7,9.7,9.6,10.1,10.5,11.6,12.9,14,14.9,16.5,17.6,18.6,20.1,21.4,22.9,24,25.2,25.7,26.6,27.7,28.6,29.6,30.4,31.6,32.4,32.7,33.9,35.1,36.4,36.8,35.7,35.2,37.1,39.1
"25","18","      Alcoholic beverages \3\","L305151",1.3,1.5,1.6,1.7,1.9,2,2,2.1,2.2,2.3,2.4,2.5,2.7,2.7,2.8,3,3.1,3.1,3.2,3.1,3.1,3.3,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.8,4,4.1,4.2,4.3,4.5,4.6,4.8,5.1,5.2,5.3,5.4,5.7,5.8
"26","19","      Tobacco \3\","L305161",2.1,2.4,2.6,3,3.2,3.3,3.3,3.5,3.6,3.7,3.7,3.8,3.9,4.1,4,4.2,4.4,4.6,4.7,4.8,5.4,5.8,6.1,6.1,6.5,7,7.3,7.5,7.5,8.1,8.2,8.5,8.6,10.4,11.8,12.7,13.7,14.7,15.9,16.5,16.5,17.1,17.5
"27","20","      Public utilities \4\","L305171",0.8,0.9,1.2,1.3,1.4,1.5,1.9,2.1,2.4,2.7,2.9,3.7,4.6,5.4,5.9,5.9,6.2,6,6.1,6.1,6.2,6.7,7,7.9,8,8.5,7.9,8.9,8.9,8.8,9.4,8.8,9.8,10.3,10.5,10.6,11.7,13.9,14.6,14.6,14.6,14.5,14.7
"28","21","      Insurance receipts \4\","L305181",1.2,1.1,1.4,1.4,1.6,1.7,1.7,2,2.4,2.7,2.9,3.2,3.4,3.5,4,4.2,4.8,5.9,6.7,7.3,7.3,7.5,7.9,7.9,8.1,8.5,9,8.9,9.2,9.6,9.7,9.8,10.4,11.6,13.1,14.5,15.1,15.2,15.5,15.8,15.6,15.7,16.5
"29","22","      Other \4\","L305191",0.9,1,1.2,1.3,1.5,1.5,1.6,1.9,2.1,2.2,2.3,2.4,2.7,3,3.5,4.1,4.3,4.4,4.5,5.1,5.2,5.7,6.6,9.2,10.9,11,11.9,12.5,12.9,14.8,16,16,15.7,17,19.4,19.5,23.8,25.9,28.9,28.6,27.4,34.2,39.6
"30","23","    Local","A1667C1",2.9,3.5,4,4.6,5.2,6.1,7,7.9,9,10.2,11.5,12.8,14.3,15.9,17.7,20.1,22.1,24.1,25.7,27.2,30.1,31.8,33.2,34.6,37,39.7,42.2,44.4,47.4,50.6,55.6,61.3,61.9,63.2,66.8,70.2,76.5,84.2,88.5,88.9,86.9,88.1,90.6
"31","24","      General","L305211",1.8,2.2,2.5,3,3.4,4.1,4.6,5.2,5.9,6.7,7.7,8.8,9.8,10.8,12.2,14,15.5,16.9,17.9,18.8,21,22.2,23,23.9,25.5,27.5,29.3,30.6,32.8,35.4,39.5,43.6,43.6,44.2,46.7,49.2,53.9,60,63.1,62.8,61.1,61.8,63.1
"32","25","      Public utilities","L305221",0.6,0.7,0.9,1,1.1,1.3,1.5,1.8,2,2.3,2.5,2.6,2.8,3.2,3.5,3.8,4,4.1,4.3,4.5,4.8,5.1,5.6,6,6.5,6.8,7.2,7.5,7.9,8.2,8.5,9.2,9.9,10.4,10.6,11.3,12.1,12.7,13.2,13.8,13.8,14.2,14.4
"33","26","      Other","L305231",0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.7,1.8,2,2.3,2.6,3.1,3.5,3.9,4.2,4.4,4.6,4.7,5,5.4,5.7,6.2,6.7,7,7.6,8.5,8.4,8.6,9.4,9.7,10.5,11.4,12.2,12.3,12,12.1,13.2
"34","27","  Property taxes","B249RC1",32.8,36.7,40.4,43.2,46.4,49,53.4,58.2,63.2,63.7,64.4,68.8,77.1,85.3,91.9,99.7,107.5,116.2,126.4,136.5,149.9,161.5,176.1,184.7,187.3,199.4,202.6,212.4,223.5,231,242.8,254.7,268,289.4,306.8,326.7,346.9,370.1,396,408.3,431.2,433.5,439.8
"35","28","  Motor vehicle licenses","S230201",1.1,1.1,1.2,1.3,1.4,1.5,1.4,1.6,1.6,1.7,1.8,2,2.1,2.1,2.1,2.3,2.6,2.7,3,3.2,3.4,3.6,3.7,4,4.5,4.9,5.5,5.4,5.8,6.1,6.3,6.7,6.6,6.9,7.2,7.7,7.9,8.4,8.6,8.5,8.7,9.2,9.6
"36","29","  Severance taxes \5\","S230431",0.7,0.7,0.7,0.8,0.9,1.6,1.8,2.1,2.3,2.6,3.5,5,7.5,7.8,7.1,7.3,7,5,4.3,4.1,4.4,5.2,5.1,4.8,4.4,4.4,4,4.5,4.7,3.6,3.5,5.3,5.8,4.3,5.9,7,9.1,10.6,13,21.5,8.8,12.2,15.6
"37","30","  Special assessments","S230551",0.5,0.6,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.3,2.5,2.4,2.4,2.4,2.5,2.8,2.9,3.1,3.1,3.4,3.7,3.7,3.8,3.9,4.5,5.6,6.2,6.3,6.8,7.8,8,8.1,8.2,8.3,8.6
"38","31","  Other taxes \6\","S230401",2.5,2.6,3.1,3.6,3.9,3.8,4,4.4,4.8,5.5,6.2,6.8,6.8,7,8.4,10.1,11.8,13.6,15.1,16,16.8,17.1,17.4,19.6,21.4,23.1,24.4,26,27.4,30.6,32.2,33.9,35.7,38.7,42.7,50.6,58.4,60.2,60.1,54.2,52.6,53.7,55.4
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and trucks, and of refunds other than those for alcoholic beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Consists of the capital stock tax in 1933-45.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. For 1929-30, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Prior to 1958, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Prior to 1959, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","6. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","See also footnotes 3, 4, and 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
