"","Table 1#1#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"18","11","      Equipment and software","A010RL1",8.8,-1,1,12.9,18.3,2.6,-9.5,6.3,15.1,15.2,8.7,-3.6,4.3,-5.2,5.4,19.8,6.4,1.9,1.4,7.5,7.3,0,-2.6,7.3,12.5,11.9,12,10.6,13.8,14.5,14.1,10.5,-3.2,-4.2,3.1,7.9,8.5,7.6,3.3,-4.3,-16.4,8.9,11
"19","12","    Residential","A011RL1",3,-6,27.4,17.8,-0.6,-20.6,-13,23.5,21.5,6.3,-3.7,-21.2,-8,-18.2,41.4,14.8,1.6,12.3,2,-1,-3,-8.6,-9.6,13.8,8.2,9.7,-3.3,8,1.9,7.7,6.3,1,0.6,5.2,8.2,9.8,6.2,-7.3,-18.7,-23.9,-22.4,-3.7,-1.4
"20","13","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Exports","A020RL1",4.8,10.7,1.7,7.5,18.9,7.9,-0.6,4.4,2.4,10.5,9.9,10.8,1.2,-7.6,-2.6,8.2,3,7.7,10.8,16,11.5,9,6.6,6.9,3.3,8.7,10.1,8.3,11.9,2.3,4.4,8.6,-5.6,-2,1.6,9.5,6.7,9,9.3,6.1,-9.1,11.1,6.7
"23","16","    Goods","A253RL1",5.2,11.4,-0.4,10.7,23,7.9,-2.3,4.7,1.3,11.2,11.8,11.9,-1.1,-9,-2.9,7.9,3.7,5.1,11.1,18.8,11.9,8.4,6.9,7.5,3.3,9.7,11.7,8.8,14.4,2.2,3.8,11.1,-6.2,-3.6,1.8,8.5,7.5,9.4,9.7,6.3,-12,14.3,7.2
"24","17","    Services","A646RL1",3.7,8.9,7.7,-0.6,7.1,7.8,6.1,3,6.5,8.4,3.1,6.2,10.7,-2.8,-1.7,8.9,1.2,14.5,10,9,10.3,10.5,6,5.4,3.3,6.4,6.3,7,5.9,2.4,5.7,2.7,-4.1,1.9,1.2,11.9,5,7.9,8.3,5.6,-2.6,4.7,5.6
"25","18","  Imports","A021RL1",5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.6,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.2,7,8.6,11.9,8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11.1,6.1,6.1,2.4,-2.7,-13.5,12.5,4.8
"26","19","    Goods","A255RL1",5.5,3.9,8.4,13.6,7.1,-2.8,-12.6,22.6,12.2,9,1.7,-7.4,2.1,-2.5,13.6,24.2,6.3,10.2,4.6,4.1,4.3,2.9,0.5,9.4,10,13.4,9,9.4,14.4,11.8,12.5,13.4,-3.2,3.7,4.9,11.1,6.8,5.9,2.6,-3.8,-15.6,14.9,5.2
"27","20","    Services","A656RL1",6.3,5.2,-2.8,4.2,-3.4,-0.1,-4.3,6.9,5,7.1,1.4,-2.2,5.8,5.3,8.1,25.1,7.6,1.1,11.8,3.4,4.8,6.5,-2.6,-2.7,2.7,5.3,3,5.2,8.7,10.9,6.8,11,-0.8,1.8,1.9,11.2,2.8,7.1,1.4,3.6,-3.3,2.5,2.8
"28","21","Government consumption expenditures and gross investment","A822RL1",-0.2,-2.4,-2.2,-0.7,-0.4,2.5,2.3,0.4,1.1,2.9,1.9,1.9,0.9,1.8,3.7,3.4,7,6.1,2.4,1.3,2.7,3.2,1.1,0.5,-0.8,0,0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.3,2.6,3.7,0.6,-3.1
"29","22","  Federal","A823RL1",-3.4,-7.4,-7.7,-4.1,-4.2,0.9,0.3,0,2.1,2.5,2.4,4.7,4.8,3.9,6.6,3.1,7.8,5.7,3.6,-1.6,1.6,2,-0.2,-1.8,-3.9,-3.8,-2.7,-1.2,-1,-1.1,1.9,0.5,4.1,7.3,6.6,4.1,1.3,2.1,1.2,7.2,6.1,4.5,-2.8
"30","23","    National defense","A824RL1",-4.9,-9.1,-11.3,-7.8,-5.5,-0.8,-0.9,-0.3,1.2,0.9,3,4.4,6.3,7.6,7.2,4.9,8.5,6.4,4.7,-0.5,-0.5,0,-1.1,-5,-5.3,-4.9,-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.5,6,3,-2.6
"31","24","    Nondefense","A825RL1",2.7,-1.1,4.7,7.1,-0.6,5.2,3.4,1,4.3,6.2,1.1,5.6,1.3,-4.8,5.2,-1.9,5.9,3.4,-0.1,-5.3,8.3,8.2,2.3,6.6,-0.7,-1.4,-0.4,-0.8,2.7,0.8,2.1,2.4,4.6,7.2,2.8,1,0.9,3.2,-0.8,6.5,6.5,7.7,-3.1
"32","25","  State and local","A829RL1",3.4,2.8,3.1,2.2,2.9,3.8,3.7,0.7,0.4,3.3,1.5,-0.1,-2,0,1.2,3.6,6.2,6.4,1.4,3.7,3.7,4.1,2.1,2.2,1.5,2.6,2.7,2.3,3.6,3.9,4.5,2.8,3.7,3.3,-0.1,-0.2,-0.2,0.9,1.4,0,2.2,-1.8,-3.4
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Gross domestic product, current dollars","A191RP1",8.2,5.5,8.5,9.9,11.7,8.5,9.2,11.4,11.3,13,11.7,8.8,12.1,4,8.7,11.2,7.3,5.8,6.2,7.7,7.5,5.8,3.3,5.8,5.1,6.3,4.7,5.7,6.3,5.5,6.4,6.4,3.4,3.5,4.7,6.4,6.5,6,4.9,1.9,-2.2,3.8,4
