"","Table 6#2D# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"30","23","        Other transportation equipment","N4023C0",47443,48104,47622,49350,49848,53724,54992,57959,61048,63818,66458,66776,64703,69308
"31","24","        Furniture and related products","N4024C0",21209,22723,23890,22930,22506,22407,23153,23628,24063,23823,22164,17754,16831,17298
"32","25","        Miscellaneous manufacturing","N4025C0",31694,33587,35197,35628,37526,39262,40554,41555,42494,43792,45592,45913,44572,46421
"33","26","      Nondurable goods","N4026C0",278345,288015,297314,297095,301425,305100,306448,308574,313639,316462,325947,304054,309503,314997
"34","27","        Food and beverage and tobacco products","N4027C0",65350,68783,71240,74168,76497,79494,80617,80757,82264,84026,87689,87327,89250,90419
"35","28","        Textile mills and textile product mills","N4029C0",20661,20533,20385,18558,17570,16860,16584,15713,14866,14509,13580,11009,11139,11306
"36","29","        Apparel and leather and allied products","N4030C0",17862,16688,15831,14372,12816,12186,11997,11495,11100,10786,10574,8605,8564,8461
"37","30","        Paper products","N4032C0",31129,32220,32715,32224,32166,32114,31258,31285,31934,31575,30842,29401,29568,29910
"38","31","        Printing and related support activities","N4033C0",33134,34309,35090,34253,32724,32271,32305,32688,32926,33338,32158,27335,26506,26441
"39","32","        Petroleum and coal products","N4034C0",9155,9512,9689,10868,14358,14543,12935,13891,16764,15987,21945,17754,19722,20709
"40","33","        Chemical products","N4035C0",64605,67332,72299,73791,76341,78754,80932,81998,82045,85293,88827,87451,87691,89326
"41","34","        Plastics and rubber products","N4036C0",36449,38636,40065,38861,38953,38879,39821,40749,41739,40947,40332,35173,37061,38425
"42","35","    Wholesale trade","N4037C0",291813,302403,327836,330106,330051,338761,358770,381715,407141,431126,438499,408144,415566,437981
"43","36","      Durable goods","N4038C0",181334,189555,206117,204364,200071,203216,215568,230352,246838,260814,263814,239181,242834,258265
"44","37","      Nondurable goods","N4039C0",110479,112848,121720,125742,129980,135545,143202,151363,160303,170312,174685,168963,172733,179716
"45","38","    Retail trade","N4040C0",361781,379997,404248,415886,428074,445148,459307,477641,492999,506473,501008,476897,482537,499395
"46","39","      Motor vehicle and parts dealers","N4041C0",70088,73965,77675,81638,84875,88124,90232,93379,95068,96527,90363,78435,82505,87650
"47","40","      Food and beverage stores","N4042C0",61295,62871,65283,67546,69128,71332,72245,73386,74807,77209,79887,79191,80524,81267
"48","41","      General merchandise stores","N4043C0",49237,51310,55480,57754,61784,66107,68043,71763,75026,77554,79723,82943,80674,84805
"49","42","      Other retail \2\","N4044C0",181161,191851,205810,208948,212286,219584,228786,239113,248098,255182,251035,236328,238834,245673
"50","43","    Transportation and warehousing","N4045C0",178165,190197,202256,206578,204026,209702,222730,233761,243410,255102,257948,244686,251164,264203
"51","44","      Air transportation","N4046C0",31312,35773,37774,40672,39165,38057,37606,35837,36865,38818,37386,35994,37356,39480
"52","45","      Rail transportation","N4047C0",16597,17019,16592,16370,16184,16548,17087,18012,18850,19360,20571,19142,19069,21095
"53","46","      Water transportation","N4048C0",3109,3336,3389,3594,3686,3855,4208,4680,5072,5526,6433,6042,6326,6603
"54","47","      Truck transportation","N4049C0",53701,58956,61349,62057,60871,63504,67213,72105,75335,77031,77375,69430,71270,75516
"55","48","      Transit and ground passenger transportation","N4050C0",9201,10246,10471,10757,11152,11588,12173,12690,13647,14478,15147,15338,15837,16433
"56","49","      Pipeline transportation","N4051C0",3567,3833,4887,4854,3778,3724,3725,3774,4248,4721,4798,4922,5270,5604
"57","50","      Other transportation and support activities \3\","N4052C0",42317,43640,47795,48098,48655,50636,55290,58793,60878,63936,64286,61477,63360,65579
"58","51","      Warehousing and storage","N4053C0",18361,17394,19999,20176,20533,21790,25427,27870,28517,31234,31952,32343,32677,33893
"59","52","    Information","N4054C0",188126,216454,242190,240790,224336,228476,235541,237489,245753,258371,259919,250947,248837,260691
"60","53","      Publishing industries (includes software)","N4055C0",60445,70140,75641,74377,68680,70523,71061,72924,76344,85252,85782,82658,82439,87664
"61","54","      Motion picture and sound recording industries","N4056C0",19081,19135,20127,22125,21623,22442,24242,24771,25161,26264,27410,27039,28143,28913
"62","55","      Broadcasting and telecommunications","N4057C0",84647,96439,105666,105217,101345,103159,105577,103986,106514,115993,115942,110906,107123,110181
"63","56","      Information and data processing services","N4058C0",23952,30741,40757,39071,32688,32352,34662,35807,37734,30862,30785,30343,31132,33933
"64","57","    Finance and insurance","N4059C0",344285,372195,407054,442301,447317,467332,497376,541800,584420,610276,610435,561414,582577,613101
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4060C0",122868,129584,133648,150543,164257,177619,185087,198929,206962,210254,201182,188077,190614,200293
"66","59","      Securities, commodity contracts, and investments","N4061C0",95038,109213,132379,142217,125962,123547,135724,156312,179302,197313,200382,169397,180508,190027
"67","60","      Insurance carriers and related activities","N4062C0",118832,125017,130774,139391,146929,155468,164011,172948,183462,188580,193121,188866,195151,205333
"68","61","      Funds, trusts, and other financial vehicles","N4063C0",7547,8382,10253,10150,10168,10699,12553,13610,14694,14129,15751,15074,16305,17448
"69","62","    Real estate and rental and leasing","N4064C0",67169,73034,78917,81139,86175,87555,95297,101740,108443,112530,110748,104444,106055,109699
"70","63","      Real estate","N4065C0",46362,50592,54582,56540,61105,62778,68933,74300,79527,82082,80622,76516,78553,80669
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4066C0",20806,22442,24335,24599,25070,24777,26364,27440,28915,30448,30127,27928,27502,29030
"72","65","    Professional, scientific, and technical services","N4067C0",364899,403150,462298,476388,469394,479805,508319,555845,607506,653972,694167,672347,690357,732530
"73","66","      Legal services","N4068C0",63713,68323,74804,80793,85377,90106,94252,98909,104353,109377,113924,110467,110997,114107
"74","67","      Computer systems design and related services","N4069C0",78855,93375,113690,111505,99365,97889,104318,115092,126513,140549,149520,147922,156979,172145
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4070C0",222331,241451,273804,284089,284652,291810,309748,341844,376640,404046,430722,413958,422380,446279
"76","69","    Management of companies and enterprises \6\","N4071C0",116708,124880,146207,149546,152097,164009,173038,185764,200620,219448,222507,207626,222155,238424
"77","70","    Administrative and waste management services","N4072C0",177527,192300,218859,224045,227483,239737,248253,274664,292416,310190,314622,290284,303673,324151
"78","71","      Administrative and support services","N4073C0",164441,178333,204397,208768,211670,223177,230746,255805,272525,289553,292704,268754,280542,300553
"79","72","      Waste management and remediation services","N4074C0",13087,13967,14462,15277,15813,16561,17507,18859,19891,20637,21918,21530,23131,23599
"80","73","    Educational services","N4075C0",63881,69269,74272,79716,88841,94596,102534,106119,113405,121180,128908,139539,141667,149389
"81","74","    Health care and social assistance","N4076C0",431722,457209,485236,521254,564159,608478,649147,687431,733176,773818,825011,864372,898332,922858
"82","75","      Ambulatory health care services","N4077C0",195661,204989,217872,233872,251722,269891,288408,306777,328613,346811,367761,383538,405694,418574
"83","76","      Hospitals","N4078C0",145591,153694,161029,174535,190351,208183,223237,236333,252587,265588,286377,302711,308061,316516
"84","77","      Nursing and residential care facilities","N4079C0",56096,59837,64055,68701,73931,78195,82225,84696,89717,94321,100487,104600,107749,111273
"85","78","      Social assistance","N4080C0",34373,38689,42280,44147,48155,52209,55276,59625,62259,67098,70385,73523,76827,76495
"86","79","    Arts, entertainment, and recreation","N4081C0",45720,49743,55123,57825,61379,64145,67525,69179,75890,80588,80874,79089,80207,83159
"87","80","      Performing arts, spectator sports, museums, and related activities","N4082C0",21425,23626,26303,27708,29611,31336,32938,33373,36880,39079,41284,40985,41516,42981
"88","81","      Amusements, gambling, and recreation industries","N4083C0",24295,26118,28819,30116,31768,32809,34587,35805,39010,41509,39590,38105,38691,40179
"89","82","    Accommodation and food services","N4084C0",149331,164337,174976,182993,188194,197841,211801,221994,231411,253684,251032,241440,250925,265025
"90","83","      Accommodation","N4085C0",41562,46322,49862,50552,49836,51983,55701,58361,59878,67741,64149,57554,60262,64192
"91","84","      Food services and drinking places","N4086C0",107769,118015,125114,132441,138358,145858,156100,163633,171533,185943,186883,183887,190663,200832
"92","85","    Other services, except government","N4087C0",150823,157640,170139,175732,186970,194207,205035,209496,217806,230405,238996,235493,237068,245627
"93","86","  Government","A4076C0",918697,964683,1020253,1079303,1150423,1225919,1291135,1355850,1420257,1499036,1579532,1631408,1673514,1693107
"94","87","    Federal","B4077C0",269159,276641,293056,302172,329031,354687,385423,407239,425227,445406,468998,497556,527204,538328
"95","88","      General government","B568RC0",214253,220592,232963,242096,268381,297768,323011,344448,360145,379723,404270,435066,465764,476991
"96","89","        Civilian","B4079C0",129816,134293,142394,145533,158348,170575,184932,194530,202637,212938,224496,240999,263840,270428
"97","90","        Military \7\","W4080C0",84437,86299,90569,96563,110033,127193,138079,149918,157508,166785,179774,194067,201924,206563
"98","91","      Government enterprises","A4081C0",54906,56049,60093,60076,60650,56919,62412,62791,65082,65683,64728,62490,61440,61337
"99","92","    State and local","B4082C0",649538,688042,727197,777131,821392,871232,905712,948611,995030,1053630,1110534,1133852,1146310,1154779
"100","93","      General government","B251RC0",606411,642463,678997,725042,765758,811655,842913,883338,927128,981652,1034116,1056398,1067746,1074448
"101","94","        Education","B4084C0",324381,344260,365026,388464,410133,437189,453376,474646,500392,529748,556751,569663,579433,582948
"102","95","        Other \8\","B4085C0",282030,298203,313971,336578,355625,374466,389537,408689,426736,451903,477365,486735,488313,491500
"103","96","      Government enterprises \8\","B4086C0",43127,45579,48200,52089,55634,59577,62799,65276,67902,71979,76418,77454,78564,80331
"104","97","Rest of the world","A4187C0",-4563,-5213,-4690,-5215,-5574,-5704,-6148,-6407,-6613,-7094,-10759,-7841,-7164,-8014
"105","98","  Receipts from the rest of the world","B4188C0",2437,2748,2835,2879,2811,2813,2822,2890,2883,2970,5181,5478,5641,5810
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,7961,7525,8094,8385,8517,8970,9297,9496,10064,15940,13319,12805,13824
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
