"","Table 1#11# Percentage Shares of Gross Domestic Income          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"11","4","    Disbursements","W269RE1",49.1,50.4,51.7,52.2,52,51.4,50,50.8,50.2,50.4,50.6,49.7,49.1,50.4,52.7,53.9,53.6,50.7,50.9,50.2,50.8,50.3,51.1,52.2,53,52.3,51.5,52.2,52.1,51.8,51.4,51.8,51.5,51.2,50.9,51,50.7,51.2,51.8,52.1,52.8,53.5,52.3,52,51.6,51.9,50.3,50,49.5,49.4,49.9,50.1,49,49,48.3,47.3,47.5,47.9,48.2,47.9,47.7,48,47.7,47.8,47.3,46.7,46.9,46.9,47.1,47.8,48.1,48.6,48.4,47.5,46.9,46.3,45.4,45.2,45.9
"12","5","      To persons","W270RE1",49.1,50.4,51.7,52.2,52,51.4,50,50.8,50.2,50.4,50.6,49.7,49.1,50.4,52.7,53.9,53.6,50.7,50.9,50.2,50.7,50.3,51.1,52.2,53,52.3,51.4,52.1,52,51.7,51.3,51.7,51.4,51.1,50.9,50.9,50.7,51.2,51.8,52.1,52.8,53.5,52.3,51.9,51.6,51.9,50.3,50,49.5,49.4,49.9,50.1,49,49,48.3,47.3,47.5,47.9,48.1,47.9,47.7,48,47.6,47.8,47.3,46.6,46.8,46.8,47.1,47.7,48,48.5,48.3,47.5,46.8,46.2,45.4,45.2,45.8
"13","6","      To the rest of the world","B4189E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"14","7","    Wage accruals less disbursements","A062RE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.1,0.3,0.2,0,0,0,0.1,0,0,0,0.1,-0.1,0,0,0
"15","8","  Supplements to wages and salaries","A038RE1",0.6,0.7,0.8,1,1,0.9,0.9,1.2,2,2.4,2.4,2.3,2.2,2,1.9,2.1,2.6,3.4,2.9,2.4,2.7,2.7,2.9,3,3,3.2,3.3,3.5,3.8,3.9,4.2,4.5,4.5,4.7,4.9,5,5,5.4,5.6,5.8,6,6.4,6.7,7,7.5,7.9,8.3,8.9,9.3,9.5,9.7,10,10,10.2,10.3,10.2,10.2,10.3,10.2,10,10.1,10.2,10.5,10.8,10.9,10.8,10.4,9.9,9.6,9.5,9.5,9.6,9.8,10.6,11,10.9,10.8,10.5,10.5
"16","9","Taxes on production and imports","W056RE1",6.6,7.6,8.8,11.2,12.3,11.6,10.9,10.2,9.7,10.5,10.1,9.8,8.7,7.1,6.2,6.3,6.9,7.6,7.5,7.3,7.9,7.8,7.4,7.6,7.8,7.7,7.6,7.8,7.9,8.1,8.1,8.5,8.6,8.6,8.6,8.6,8.5,8.1,8.2,8.4,8.6,8.9,9,8.8,8.5,8.4,8.4,8.1,8,7.5,7.2,7.3,7.6,7.4,7.6,7.4,7.3,7.3,7.4,7.3,7.3,7.4,7.7,7.8,7.7,7.9,7.7,7.5,7.4,7.3,7.2,7.1,7.1,7.3,7.4,7.4,7.4,7.3,7.3
"17","10","Less: Subsidies \1\","A107RE1",0,0,0.1,0.1,0.2,0.6,0.7,0.2,0.3,0.4,0.8,0.6,0.2,0.2,0.2,0.4,0.4,0.5,0.1,0.1,0.1,0.2,0.2,0.1,0,0,0,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4
"18","11","Net operating surplus","W271RE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,25,25.2,25.7,25.8,26,26.6,26.1,25,24.3,23.1,21.4,22,22.5,22.7,21.1,21.8,21.9,22.2,22.4,21.6,20.5,21.3,20.8,21.8,23.5,23.4,23,23,23.7,23.5,22.9,22.3,22.3,22.5,22.8,23.3,24.1,24.5,24,23.8,23.2,22.7,22.7,22.8,23.6,23.8,25.1,24.4
"19","12","  Private enterprises","W260RE1",34.5,31.2,27.4,22.8,22,25.1,28.7,28.5,28.9,26.8,27.8,29.5,31.7,32.5,31.2,29.3,27.7,28.3,27.9,29.8,28,29.2,28.9,27.3,26.2,26.3,27.4,26,25.5,25.2,25.9,24.8,25.1,25.6,25.6,25.8,26.4,26,24.9,24.2,23,21.4,22,22.4,22.7,21.2,22,22,22.3,22.5,21.7,20.6,21.4,20.9,21.9,23.5,23.4,22.9,23,23.6,23.5,22.9,22.2,22.2,22.4,22.7,23.1,24,24.3,23.9,23.7,23.1,22.7,22.7,22.8,23.6,23.9,25.2,24.4
"20","13","    Net interest and miscellaneous payments, domestic industries","W272RE1",3.9,4.6,5.7,7,6.6,5.8,5.3,4.4,3.9,4.2,4,3.3,2.6,2,1.4,1.1,1.1,0.9,1,0.9,1,1.1,1,1.1,1.2,1.4,1.5,1.6,1.7,2,1.9,2,2.2,2.4,2.4,2.6,2.7,2.8,3,2.9,3.4,3.9,4,4,4.2,4.9,5.1,4.7,5,5.1,5.6,6.7,7.4,8.2,8.1,8.3,8.4,8.8,8.4,8.2,8.7,8.4,7.8,6.9,6.3,6,5.8,5.7,5.9,6.4,6.2,6.6,6.7,6.1,5.8,5.2,5.7,6.1,6.5
"21","14","    Business current transfer payments (net)","B029RE1",0.5,0.5,0.7,1,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.7
"22","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RE1",13.8,12.1,11.2,8.8,9.6,10.8,13.9,12.7,13.7,12.4,12.3,12.2,13.2,14.4,14.1,13.5,14.1,16.1,14.3,14.6,13.1,12.8,12.7,12.1,11.2,11.2,10.7,10.4,10.4,10.8,10,9.6,9.8,9.5,9.1,9,8.9,8.7,8.4,8.2,7.9,7.6,7.6,7.8,8.3,7.6,7.4,7.3,7.3,7.3,7.2,6.3,5.9,5.4,5.5,6.2,6.2,6.2,6.4,6.7,6.7,6.6,6.4,6.9,7,6.8,6.7,7,7,7.2,7.3,7.3,7.6,7.3,7.4,7.8,7.7,7.6,7.6
"23","16","    Rental income of persons with capital consumption adjustment","A048RE1",6,6,6,6.2,5.2,3.9,3.6,3.3,3.3,4.2,4.2,3.9,3.6,3.4,3.1,3,3.1,3.2,3,2.9,3.1,3.1,3,3.2,3.3,3.6,3.4,3.2,3.2,3.3,3.2,3.2,3.3,3.2,3.2,3,2.8,2.7,2.6,2.3,2.2,2.1,2,1.9,1.8,1.6,1.5,1.2,1,1,0.9,1.1,1.2,1.2,1.1,1,1,0.8,0.7,0.8,0.8,0.9,1,1.3,1.5,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.6,1.5,1.2,1,0.3,0.3,0.3
"24","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RE1",10.2,8,3.9,-0.2,-0.3,3.7,5.3,7.4,7.4,5.5,6.9,9.6,11.9,12.5,12.3,11.3,9.1,7.8,9.4,11.1,10.5,11.9,11.8,10.5,10.1,9.8,11.4,10.4,9.8,8.8,10.5,9.6,9.5,10.2,10.5,10.9,11.5,11.3,10.5,10.3,9,7.4,8.1,8.3,8.1,6.6,7.4,8.2,8.6,8.5,7.5,6,6.3,5.4,6.6,7.2,7,6.3,6.8,7.3,6.6,6.3,6.3,6.5,7.1,7.6,8.3,8.9,9.2,8,7.8,6.8,5.8,7,7.6,8.9,9.7,10.5,9.3
"25","18","      Taxes on corporate income","A054RE1",1.3,0.9,0.7,0.7,0.9,1.1,1.3,1.7,1.6,1.2,1.6,2.8,6,7,7,6,4.9,4.1,4.7,4.6,3.8,6.1,6.7,5.5,5.4,4.7,5.3,5,4.6,4.1,4.7,4.3,4.2,4.1,4.3,4.2,4.3,4.3,4,4.4,4.1,3.4,3.4,3.4,3.6,3.5,3.2,3.6,3.7,3.7,3.6,3.2,2.7,2,2.3,2.5,2.4,2.5,2.8,2.8,2.7,2.5,2.3,2.4,2.6,2.8,3,3,3,2.8,2.8,2.7,2,1.8,2.2,2.6,3.3,3.5,3.2
"26","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RE1",8.9,7.1,3.2,-0.9,-1.2,2.6,4,5.7,5.8,4.3,5.3,6.7,5.9,5.4,5.2,5.3,4.2,3.6,4.7,6.5,6.7,5.8,5,5.1,4.7,5.1,6.1,5.4,5.2,4.7,5.8,5.3,5.3,6,6.2,6.6,7.2,7,6.5,5.9,5,4,4.7,4.9,4.4,3.1,4.2,4.5,4.9,4.8,3.9,2.9,3.6,3.4,4.3,4.7,4.6,3.9,4,4.6,3.9,3.8,4,4.1,4.5,4.8,5.3,5.9,6.2,5.1,5.1,4.1,3.9,5.1,5.4,6.3,6.4,7,6.1
"27","20","        Net dividends","A449RE1",5.4,5.8,5.4,4.4,3.7,3.8,3.7,5.4,4.9,3.4,3.9,3.8,3.3,2.5,2.1,2,2,2.3,2.3,2.3,2.4,2.7,2.2,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.3,2.4,2.3,2.2,2.2,2.1,2,1.8,1.8,1.7,1.6,1.6,1.7,1.7,1.7,1.6,1.7,1.9,1.9,2,2,2,2,2,1.9,2.3,2.5,2.6,2.6,2.8,2.8,3,3.3,3.4,3.5,3.2,3.5,3.2,3.3,3.6,4.2,2.5,4.7,4.8
"28","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RE1",3.5,1.2,-2.2,-5.3,-4.8,-1.2,0.3,0.4,0.8,0.9,1.4,3,2.6,3,3.1,3.3,2.2,1.3,2.4,4.2,4.3,3.1,2.8,3,2.6,3,3.9,3.2,3,2.6,3.7,3.1,3.1,3.9,4,4.4,4.9,4.7,4.3,3.7,2.9,2.1,2.8,3.1,2.7,1.5,2.6,2.9,3.2,3.1,2.3,1.1,1.7,1.5,2.2,2.7,2.5,1.9,2,2.7,1.6,1.3,1.3,1.6,1.7,1.9,2.2,2.5,2.8,1.6,1.9,0.6,0.6,1.8,1.8,2,3.8,2.3,1.3
"29","22","  Current surplus of government enterprises \1\","A108RE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,-0.1,-0.1,-0.1
"30","23","Consumption of fixed capital","A262RE1",9.1,10.1,11.4,12.9,12.9,11.6,10.3,9.5,9.4,10.5,9.9,9.4,8.6,8.2,8.1,8.9,9.6,10.5,10.9,10.4,10.8,10.1,9.9,10,10.1,10.6,10.2,10.6,10.8,11.2,10.5,10.5,10.5,10.1,10.1,9.8,9.7,9.7,9.8,9.8,10,10.3,10.3,10.3,10.1,10.9,11.6,11.4,11.5,11.6,11.9,12.5,12.5,13.1,12.7,12.1,12.1,12,11.9,11.7,11.8,11.9,12.3,12.1,11.9,12,12,11.9,11.8,11.8,11.8,11.9,12.5,12.3,12.2,12.3,12.9,12.2,12.4
"31","24","  Private","A024RE1",8.2,9,10.2,11.5,11.3,9.9,8.8,8,8,8.9,8.3,7.9,6.9,6.1,5,4.8,5,5.6,6.5,6.8,7.5,7.3,7.3,7.3,7.3,7.6,7.4,7.6,7.9,8.2,7.6,7.7,7.6,7.3,7.3,7.1,7,7.1,7.2,7.2,7.4,7.8,7.8,7.9,7.9,8.5,9.1,9,9.2,9.4,9.8,10.2,10.3,10.7,10.4,9.8,9.8,9.8,9.6,9.4,9.6,9.6,9.9,9.7,9.6,9.7,9.8,9.7,9.7,9.7,9.8,10,10.5,10.3,10.2,10.3,10.9,10.2,10.3
"32","25","  Government","A264RE1",0.9,1,1.2,1.4,1.6,1.6,1.5,1.5,1.4,1.6,1.6,1.5,1.6,2.2,3.1,4.1,4.6,4.9,4.4,3.6,3.3,2.7,2.6,2.7,2.8,3,2.9,2.9,3,3,2.9,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.6,2.5,2.4,2.3,2.4,2.5,2.4,2.3,2.2,2.2,2.3,2.3,2.4,2.3,2.2,2.2,2.3,2.3,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2,2,2,2,2,2,2,2,2,2.1
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
