"","Table 2#2B# Wage and Salary Disbursements by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36"
"12","4","    Manufacturing","N552RC1",747,719.3,692.9,675.8,676.1,683.1,675.5,667.1,665.9,664.5,662.9,682.2,668.6,681.4,698.4,699.3,696.8,699.3,709.3,710.7,733,727.1,726.6,738.2,746.4,744,743.4,750.2,748.4,745,742.2,730.2,702.7
"13","5","  Services-producing industries","N233RC1",3085.1,3086.9,3081.8,3076.6,3089.9,3108,3109.8,3109.2,3127.3,3179.8,3225.5,3269,3311.4,3368.5,3436.5,3492.3,3504.2,3549.9,3627.8,3685,3773.5,3793.4,3843.9,3937.5,4035.6,4041.9,4092.6,4155.3,4190.5,4195.2,4231.8,4228.8,4184.4
"14","6","    Trade, transportation, and utilities","N234RC1",855.5,848.1,840.4,834.6,839.2,845.1,846.1,842,849.5,853.2,859,871.6,877.5,892.4,906.4,918.1,920.9,930.7,946.3,954.9,975.1,979.1,988.1,1004.5,1020.8,1036.5,1035.3,1048.3,1050.4,1048.4,1050.4,1037.5,1026.6
"15","7","    Other services-producing industries \1\","N235RC1",2229.6,2238.9,2241.4,2241.9,2250.7,2262.9,2263.7,2267.2,2277.8,2326.6,2366.6,2397.5,2433.9,2476.2,2530,2574.2,2583.3,2619.2,2681.5,2730.1,2798.4,2814.3,2855.8,2932.9,3014.8,3005.4,3057.4,3106.9,3140.2,3146.7,3181.5,3191.4,3157.8
"16","8","Government","B202RC1",798,809.1,822.2,834.1,855.4,863.7,869.3,875.4,893.8,904.5,907.1,912.2,931.6,942.3,946.4,952.2,970.6,974,984.8,993.6,1007.7,1013.2,1029.4,1041.9,1059.9,1068.1,1080.8,1092.1,1109.7,1123.4,1138.3,1146.7,1163.3
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 1997 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
