"","Table 6#18C# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"46","39","      Local and interurban passenger transit","B3139C0",55,53,63,48,66,72,72,82,60,69,75,71,62,52
"47","40","      Trucking and warehousing","B3140C0",610,701,806,791,880,1218,1464,1442,1244,1369,1352,2336,2227,2600
"48","41","      Water transportation","B3141C0",113,199,271,236,252,222,240,256,296,252,512,270,205,267
"49","42","      Transportation by air","B3142C0",845,1803,876,500,91,128,431,723,991,1569,2161,1834,1385,564
"50","43","      Pipelines, except natural gas","B3143C0",369,295,286,269,263,256,271,261,293,293,253,306,253,228
"51","44","      Transportation services","B3144C0",188,167,252,246,224,241,265,285,270,265,263,361,327,321
"52","45","    Communications","A3145C0",7721,7500,8169,8200,8103,8805,10553,12294,12356,13396,11846,14406,15693,15212
"53","46","      Telephone and telegraph","B3146C0",7022,6209,6898,7269,7513,7954,9183,10463,10609,12553,10547,12936,11503,12899
"54","47","      Radio and television","B3147C0",699,1291,1271,931,590,851,1370,1831,1747,843,1299,1470,4190,2313
"55","48","    Electric, gas, and sanitary services","B3148C0",8667,8037,8758,8968,9878,9789,10291,12081,14084,13418,13596,14217,15861,11406
"56","49","  Wholesale trade","B3149C0",7795,7121,6806,6200,5718,6807,7845,9057,9575,10662,10311,10776,12333,13429
"57","50","  Retail trade","B3150C0",9850,8891,9092,9080,8948,9908,11417,13439,12580,14155,15680,18679,19777,20038
"58","51","  Finance, insurance, and real estate","A3151C0",37475,39004,46057,47799,50516,55218,64128,61873,78729,80370,86065,92074,89712,97290
"59","52","    Depository institutions","B3191C0",26459,26893,32371,35010,33155,34305,36500,40049,49655,45054,48042,51197,49665,54067
"60","53","      Federal Reserve banks","B3153C0",17739,17364,21646,23608,20778,16774,15987,20470,23389,20083,20659,26561,25410,25344
"61","54","      Commercial and mutual depository institutions","B3192C0",8720,9529,10725,11402,12377,17531,20513,19579,26266,24971,27383,24636,24255,28723
"62","55","    Nondepository institutions","B3193C0",1267,1160,1676,2140,2431,3162,4075,4361,4581,5008,5468,4790,5599,5732
"63","56","    Security and commodity brokers","B3156C0",1023,986,705,857,1703,2069,3777,2895,3463,4998,6001,6412,11057,9988
"64","57","    Insurance carriers","B3157C0",5185,6532,8099,7019,11107,13099,16699,11456,17510,19472,20598,23140,16193,18888
"65","58","    Insurance agents, brokers, and service","B3158C0",778,655,500,600,608,584,591,832,886,935,1102,1653,1559,1551
"66","59","    Real estate","B3159C0",1264,1327,1197,828,523,957,1136,1000,1091,1798,1903,2384,2327,2345
"67","60","    Holding and other investment offices","B3160C0",1499,1451,1509,1345,989,1042,1350,1280,1543,3105,2951,2498,3312,4719
"68","61","  Services","A3161C0",5292,5094,6218,5600,5531,6659,8348,10888,10858,12622,14333,14508,16550,11228
"69","62","    Hotels and other lodging places","B3162C0",262,290,251,186,184,311,440,667,649,745,1198,938,1055,1062
"70","63","    Personal services","B3163C0",264,267,355,367,346,409,437,463,462,373,628,1010,522,568
"71","64","    Business services","B3164C0",1825,1874,2052,1911,1743,2396,2842,3389,4121,5195,6558,6300,8916,3770
"72","65","    Auto repair, services, and parking","B3165C0",205,301,251,276,188,266,362,353,263,305,301,357,425,431
"73","66","    Miscellaneous repair services","B3166C0",79,79,106,111,128,131,113,120,134,165,199,143,148,145
"74","67","    Motion pictures","B3167C0",168,216,1045,180,68,166,205,277,235,341,353,855,428,102
"75","68","    Amusement and recreation services","B3168C0",274,456,562,475,419,537,594,665,624,872,1574,579,468,400
"76","69","    Other services","A3169C0",2215,1611,1596,2094,2455,2443,3355,4954,4370,4626,3522,4326,4588,4750
"77","70","      Health services","B3170C0",1454,1017,988,1249,1743,1637,2338,3768,2953,3039,1711,2068,1994,1862
"78","71","      Legal services","B3171C0",231,91,66,56,31,35,55,197,207,215,207,211,204,186
"79","72","      Educational services","B3172C0",67,61,57,89,52,76,81,80,123,127,119,188,189,308
"80","73","      Other \2\","B3173C0",463,442,485,700,629,695,881,909,1087,1245,1485,1859,2201,2394
"81","74","Rest of the world","B3174C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","1. Consists of taxes on corporate income paid to Federal, state, and local government and taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","paid by domestic corporations to foreign governments on income earned abroad.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Consists of social services; membership organizations; engineering and management services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","except for commercial research and testing services and for management and public relations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
