"","Table 6#2C# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"42","35","        Rubber and miscellaneous plastics products","B4035C0",23139,24473,25877,27015,27496,29631,31444,33990,35482,36044,38120,40359,41367,43153
"43","36","        Leather and leather products","B4036C0",2677,2786,2880,2907,2837,2906,3033,3036,2947,2802,2800,2722,2670,2669
"44","37","    Transportation and public utilities","A4037C0",191591,199323,207216,219540,227447,237646,248347,263262,275223,285748,302133,323413,352525,378423
"45","38","      Transportation","A4038C0",102675,107864,113363,119470,123404,129546,134995,143629,150506,157837,165615,178140,189479,200608
"46","39","        Railroad transportation","B4039C0",16815,15385,15151,14822,14997,15632,15252,15202,15205,15550,15830,17099,17168,16998
"47","40","        Local and interurban passenger transit","B4040C0",5387,5958,6301,6738,7150,7628,8121,8819,9423,10175,10824,11742,12524,12967
"48","41","        Trucking and warehousing \2\","B4041C0",42806,41138,42699,44302,45203,47572,50368,54608,57376,59348,62963,67221,71687,75570
"49","42","        Water transportation","B4042C0",6438,6139,6397,6821,7313,7377,7518,7859,7955,8082,8468,8960,9275,9938
"50","43","        Transportation by air \2\","B4043C0",22757,29857,32602,35673,37197,39023,40728,42996,45322,48706,50483,54884,59623,64196
"51","44","        Pipelines, except natural gas","B4044C0",853,908,903,981,1064,1164,1144,1113,1040,982,976,988,997,1018
"52","45","        Transportation services","B4045C0",7619,8479,9311,10133,10479,11149,11864,13031,14185,14993,16072,17245,18205,19922
"53","46","      Communications","A4046C0",49608,51210,51670,55296,56715,58370,61231,66803,70648,74188,81874,89063,103771,114339
"54","47","        Telephone and telegraph","B4047C0",39138,40421,40470,42831,44141,45032,47001,51354,52872,55543,62119,66536,78339,86616
"55","48","        Radio and television","B4048C0",10470,10788,11200,12465,12575,13338,14230,15449,17777,18645,19755,22527,25432,27723
"56","49","      Electric, gas, and sanitary services","B4049C0",39307,40250,42184,44773,47327,49730,52121,52830,54069,53724,54644,56210,59276,63475
"57","50","    Wholesale trade","B4050C0",180650,198496,212728,221950,226022,237700,243565,259420,275082,288045,310194,336608,361644,388787
"58","51","    Retail trade","B4051C0",261860,280263,294478,306426,313856,330355,341507,360876,379922,395795,417393,447480,480186,511886
"59","52","    Finance, insurance, and real estate","A4052C0",204072,222193,229991,243476,253328,274696,299564,309425,324593,350123,382565,430589,462293,505821
"60","53","      Depository institutions","B4053C0",57600,61833,64675,67341,67494,70593,73843,76746,79273,82619,87919,94198,98282,99937
"61","54","      Nondepository institutions","B4054C0",11810,12629,12983,13903,14863,17521,21501,21584,21896,25052,29671,38787,41134,42060
"62","55","      Security and commodity brokers","B4055C0",32625,33885,31570,32993,35654,44743,54262,53994,59150,69887,79242,93719,106961,133942
"63","56","      Insurance carriers","B4056C0",44277,47560,50845,55611,59931,63220,67127,70037,73354,76108,80612,89072,93405,96889
"64","57","      Insurance agents, brokers, and service","B4057C0",18879,21572,22938,24527,25563,26223,27435,29422,30954,32740,35413,37403,39580,42219
"65","58","      Real estate","B4058C0",29610,32967,34503,35414,35331,36589,38345,40663,41654,44419,48444,54202,58363,62789
"66","59","      Holding and other investment offices","B4059C0",9270,11748,12476,13687,14493,15807,17050,16978,18312,19298,21265,23209,24567,27985
"67","60","    Services","A4060C0",549918,610999,674426,747698,785555,854741,908682,957898,1037395,1109366,1196309,1315839,1432212,1580419
"68","61","      Hotels and other lodging places","B4061C0",22647,24866,27005,29250,29511,30674,32133,33570,35163,36881,39247,42099,46009,49287
"69","62","      Personal services","B4062C0",15758,16735,17700,19052,19554,20406,21249,21953,23167,24260,25592,27447,29253,31028
"70","63","      Business services","B4063C0",85341,97578,109559,122020,124365,137160,151921,167702,191687,218897,254016,300312,351329,412577
"71","64","      Auto repair, services, and parking","B4064C0",17210,18761,20110,21935,21484,22352,23889,25480,26466,29361,30930,33587,36260,38995
"72","65","      Miscellaneous repair services","B4065C0",7696,8767,9705,10482,9436,9992,10642,10218,11161,12012,12410,13453,13792,14331
"73","66","      Motion pictures","B4066C0",8232,8531,9603,11244,11334,11613,12880,14183,16782,18031,20166,21672,22464,23874
"74","67","      Amusement and recreation services","B4067C0",16097,17544,19360,22269,23734,26441,29115,30509,33807,36314,39094,42238,45983,50003
"75","68","      Health services","B4068C0",177273,195035,215696,242030,265397,292917,306552,319758,339605,352560,367290,385664,402662,425613
"76","69","      Legal services","B4069C0",35846,42470,45879,50344,52226,55823,57467,58367,60688,63017,66283,71338,76645,83657
"77","70","      Educational services","B4070C0",29114,30589,33230,35728,38673,41867,44477,47034,49696,52362,55495,60700,65376,71152
"78","71","      Social services and membership organizations","A4071C0",45549,50184,55514,61030,66409,71078,76920,82437,88321,92883,98920,108734,117965,128083
"79","72","        Social services","B4072C0",20072,21964,24874,28131,31339,34780,37509,40563,43894,46299,49409,54587,59534,65423
"80","73","        Membership organizations","B4073C0",25477,28220,30640,32900,35070,36298,39412,41874,44427,46584,49511,54147,58431,62661
"81","74","      Other services \3\","B4074C0",81446,91626,102141,112935,114304,124284,130696,135589,148963,160777,174826,194613,211756,238248
"82","75","      Private households","W151RC0",7709,8314,8923,9378,9128,10132,10740,11097,11890,12010,12039,13983,12718,13570
"83","76","  Government","A4076C0",557951,595625,633420,681922,722735,756230,781442,807604,829011,854756,882983,916240,955307,1010811
"84","77","    Federal","B4077C0",204493,215365,224556,236666,250602,258642,259332,259474,257462,262867,266460,270047,277379,293875
"85","78","      General government","B568RC0",170292,177973,185701,193865,205860,210697,211927,209844,206766,210670,212917,215079,221292,233761
"86","79","        Civilian","B4079C0",85397,91463,96989,103268,110426,115822,122196,123823,123720,124876,127278,129739,134187,142298
"87","80","        Military \4\","W4080C0",84895,86510,88712,90597,95434,94875,89733,86024,83045,85796,85639,85341,87105,91463
"88","81","      Government enterprises","A4081C0",34201,37392,38855,42801,44742,47945,47405,49630,50696,52197,53543,54968,56087,60114
"89","82","    State and local","B4082C0",353458,380259,408863,445255,472136,497588,522110,548133,571547,591889,616523,646194,677927,716937
"90","83","      General government","B251RC0",328803,353682,380525,414649,439789,463931,486707,511206,533485,552665,575547,603303,633051,669441
"91","84","        Education","B4084C0",173459,186164,200347,217963,231269,242611,255414,267570,280494,292614,306898,322869,339494,360115
"92","85","        Other \1\","B4085C0",155344,167518,180178,196686,208520,221320,231293,243636,252991,260051,268649,280434,293557,309326
"93","86","      Government enterprises \1\","B4086C0",24655,26577,28338,30606,32347,33657,35403,36927,38062,39224,40976,42891,44876,47496
"94","87","Rest of the world","A4187C0",-1356,-867,-1285,-2307,-2751,-2965,-3320,-4015,-4090,-4125,-4402,-4563,-5213,-4592
"95","88","  Receipts from the rest of the world","B4188C0",994,995,1017,1172,1290,1796,1820,1943,2179,2181,2270,2437,2748,2933
"96","89","  Less:  Payments to the rest of the world \5\","B4189C0",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6672,7000,7961,7525
"97",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","90"," Households and institutions","W506RC0",172652,192543,211048,232733,251192,273152,287926,301369,320349,333719,349849,374317,394212,421402
"99","91"," Nonfarm business","A4091C0",2070330,2233080,2357836,2485868,2537929,2677602,2803960,2964387,3121416,3281595,3510630,3813034,4094855,4442935
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","from the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","3. Consists of museums, botanical and zoological gardens; engineering and management services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","5. Beginning with 1993, includes estimates of foreign professional workers and undocumented",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Mexican migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
