"","Table 5#4#3B# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"34","27","    Amusement and recreation","W046RA3",109.258,106.676,113.77,100,85.47,80.167,80.952,82.675,68.094,77.832,82.684
"35","28","    Transportation","W047RA3",99.341,113.603,98.57,100,99.468,91.916,84.479,89.262,90.71,106.978,113.352
"36","29","      Air","W048RA3",58.367,65.052,72.09,100,105.589,69.019,51.161,45.388,36.712,33.135,31.992
"37","30","      Land \3\","W049RA3",116.029,133.356,109.426,100,96.935,101.37,98.237,107.446,113.342,138.418,148.18
"38","31","    Farm","B316RA3",71.905,77.91,88.249,100,82.096,88.078,77.738,78.921,77.545,71.22,85.07
"39","32","    Other \4\","W050RA3",89.014,89.409,80.863,100,75.391,52.993,48.627,59.8,63.06,61.776,60.276
"40","33","    Brokers' commissions on sale of structures","B321RA3",86.831,93.133,94.966,100,94.103,80.794,80.647,83.526,89.636,104.621,125.323
"41","34","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RA3",87.01,93.701,99.322,100,100.356,105.165,114.034,125.399,133.325,123.659,101.216
"43","36","  Permanent site","B943RA3",84.329,92.336,99.197,100,100.587,104.637,114.874,128.17,137.217,125.587,93.247
"44","37","    Single-family structures","B944RA3",83.04,92.109,98.897,100,100.145,104.025,115.115,128.929,137.631,124.554,90.399
"45","38","    Multifamily structures","B292RA3",95.304,94.237,101.711,100,104.331,109.838,112.735,121.486,133.603,134.561,117.306
"46","39","  Other structures","A863RA3",91.02,95.756,99.512,100,100.005,105.974,112.732,121.076,127.227,120.705,114.25
"47","40","    Manufactured homes","B945RA3",128.183,139.504,132.224,100,79.887,71.995,58.793,57.092,63.444,50.276,40.99
"48","41","    Dormitories","B295RA3",65.311,77.03,98.293,100,109.172,104.39,113.979,99.78,85.08,107.878,152.92
"49","42","    Improvements","B946RA3",93.454,93.973,97.327,100,101.388,107.112,112.467,115.542,118.705,117.921,119.035
"50","43","    Brokers' commissions on sale of structures","B758RA3",81.569,93.93,100.667,100,101.527,112.893,126.104,144.947,155.092,138.81,118.464
"51","44","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RA3",88.599,94.126,96.968,100,98.714,93.916,96.935,102.796,107.17,105.658,98.988
"54","46","    Nonresidential structures","A771RA3",89.113,94.042,93.646,100,96.849,81.231,77.944,78.753,79.588,86.311,97.241
"55","47","    Residential structures","A756RA3",88.16,94.173,99.669,100,100.232,104.368,112.598,122.585,129.874,121.254,98.884
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
