"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"24","16","    Professional and business services \1\","N5016C1",1137,1171.4,1189.1,1187.7,1199,1210.8,1218.1,1216.8,1263,1256.1,1241.9,1252.5,1280,1299.1,1333.5,1396.5,1469.1,1480.2,1532.1,1560.2,1623.4,1635.5,1667.5,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",703.3,714,724.5,735,754.2,772.3,786.2,795.3,809.6,817.5,826.8,841.2,855.5,870.9,881.1,896.8,920.1,938.5,939.8,954.4,981.7,1000.4,1005.5,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",314.1,318.5,318.3,316.6,322.9,329.2,332.7,336.1,338,338.7,344.1,352.8,361.9,366.7,366.5,368.6,390.9,397.6,394.1,394.2,420.7,426.3,425.2,NA
"27","19","    Other services, except government","N5019C1",225.8,226.4,226.9,225.6,231.6,235.4,239.7,241.8,244.6,245.9,247.3,250.7,253.1,254.8,257.4,259.6,262.9,265.8,268.9,272.9,277.5,281.2,282.4,NA
"28","20","  Government","B436RC1",1031.2,1043.4,1060.1,1076.6,1106.6,1119.7,1135,1151.4,1181.1,1196.6,1206.4,1216.8,1243.8,1255.9,1264.9,1276.2,1300.6,1308.4,1305.5,1331.1,1351.4,1363.4,1382.3,NA
"29","21","Rest of the world","A192RC1",38.7,44.5,16.7,74.6,26.2,16.6,29.6,50,39.4,56.6,53.7,77.7,70.6,40.5,45.9,28.2,34.3,28.4,52.2,12.5,29.1,22.7,16.7,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
